"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE  RULE 56C (2)©]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency/Segment  228659"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/Segment… 25-Parihar (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"20"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"21"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"22"	"11"	"11"	""	"90"	"6"	"35"	"83"	"243"	"16"	"7"	"2"	"2"	"11"	"4"	"7"	"3"	"5"	"514"	"0"	"514"	"0"	""
"23"	"12"	"12"	""	"15"	"2"	"1"	"181"	"339"	"18"	"1"	"10"	"8"	"13"	"44"	"9"	"8"	"15"	"664"	"0"	"664"	"0"	""
"24"	"13"	"13"	""	"46"	"4"	"76"	"98"	"493"	"21"	"3"	"8"	"15"	"4"	"72"	"10"	"11"	"24"	"885"	"0"	"885"	"0"	""
"25"	"14"	"14"	""	"27"	"0"	"50"	"68"	"180"	"17"	"4"	"23"	"9"	"7"	"67"	"11"	"6"	"18"	"487"	"0"	"487"	"0"	""
"26"	"15"	"15"	""	"33"	"2"	"11"	"117"	"163"	"12"	"2"	"3"	"8"	"4"	"81"	"8"	"4"	"11"	"459"	"0"	"459"	"0"	""
"27"	"16"	"16"	""	"13"	"1"	"63"	"115"	"141"	"16"	"2"	"3"	"20"	"15"	"60"	"9"	"5"	"16"	"479"	"0"	"479"	"0"	""
"28"	"17"	"17"	""	"85"	"4"	"57"	"86"	"87"	"9"	"6"	"7"	"18"	"6"	"110"	"2"	"3"	"9"	"489"	"0"	"489"	"0"	""
"29"	"18"	"18"	""	"8"	"1"	"19"	"166"	"98"	"6"	"1"	"1"	"10"	"8"	"36"	"1"	"3"	"5"	"363"	"0"	"363"	"0"	""
"30"	"19"	"19"	""	"53"	"3"	"9"	"137"	"200"	"11"	"8"	"2"	"3"	"11"	"11"	"14"	"3"	"12"	"477"	"0"	"477"	"0"	""
"31"	"20"	"20"	""	"56"	"2"	"14"	"216"	"166"	"5"	"2"	"3"	"6"	"5"	"19"	"3"	"2"	"10"	"509"	"0"	"509"	"0"	""
"32"	"21"	"21"	""	"3"	"1"	"5"	"212"	"133"	"10"	"4"	"1"	"6"	"5"	"22"	"2"	"1"	"4"	"409"	"0"	"409"	"0"	""
"33"	"22"	"22"	""	"31"	"1"	"8"	"138"	"223"	"17"	"3"	"2"	"16"	"14"	"91"	"10"	"5"	"14"	"573"	"0"	"573"	"0"	""
"34"	"23"	"23"	""	"12"	"4"	"3"	"146"	"244"	"11"	"4"	"1"	"2"	"8"	"2"	"4"	"7"	"19"	"467"	"0"	"467"	"0"	""
"35"	"24"	"24"	""	"56"	"2"	"14"	"211"	"112"	"4"	"1"	"1"	"1"	"23"	"6"	"7"	"4"	"14"	"456"	"0"	"456"	"0"	""
"36"	"25"	"25"	""	"24"	"2"	"4"	"293"	"119"	"12"	"6"	"1"	"5"	"15"	"13"	"1"	"10"	"9"	"514"	"0"	"514"	"0"	""
"37"	"26"	"26"	""	"80"	"6"	"6"	"288"	"105"	"10"	"5"	"8"	"10"	"16"	"39"	"6"	"10"	"24"	"613"	"0"	"613"	"0"	""
"38"	"27"	"27"	""	"52"	"3"	"26"	"318"	"157"	"31"	"11"	"5"	"13"	"40"	"33"	"15"	"11"	"16"	"731"	"0"	"731"	"0"	""
"39"	"28"	"28"	""	"79"	"1"	"42"	"78"	"106"	"8"	"3"	"3"	"25"	"6"	"152"	"1"	"4"	"5"	"513"	"0"	"513"	"0"	""
"40"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"41"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"42"	"29"	"29"	""	"67"	"3"	"17"	"93"	"149"	"23"	"3"	"8"	"8"	"9"	"93"	"4"	"11"	"10"	"498"	"0"	"498"	"0"	""
"43"	"30"	"30"	""	"55"	"2"	"4"	"134"	"61"	"5"	"4"	"9"	"40"	"7"	"201"	"10"	"11"	"13"	"556"	"0"	"556"	"0"	""
"44"	"31"	"31"	""	"92"	"10"	"8"	"87"	"145"	"15"	"8"	"6"	"22"	"8"	"79"	"8"	"5"	"10"	"503"	"0"	"503"	"0"	""
"45"	"32"	"32"	""	"39"	"2"	"1"	"82"	"91"	"5"	"2"	"1"	"12"	"8"	"150"	"4"	"2"	"10"	"409"	"0"	"409"	"0"	""
"46"	"33"	"33"	""	"285"	"4"	"5"	"14"	"41"	"2"	"2"	"1"	"0"	"2"	"2"	"10"	"1"	"3"	"372"	"0"	"372"	"0"	""
"47"	"34"	"34"	""	"275"	"6"	"3"	"23"	"51"	"3"	"0"	"0"	"1"	"1"	"11"	"3"	"3"	"15"	"395"	"0"	"395"	"0"	""
"48"	"35"	"35"	""	"85"	"11"	"9"	"312"	"133"	"21"	"6"	"12"	"23"	"19"	"57"	"3"	"6"	"5"	"702"	"0"	"702"	"0"	""
"49"	"36"	"36"	""	"68"	"4"	"8"	"289"	"112"	"3"	"3"	"8"	"10"	"15"	"29"	"5"	"3"	"14"	"571"	"0"	"571"	"0"	""
"50"	"37"	"37"	""	"14"	"1"	"32"	"232"	"91"	"5"	"5"	"4"	"2"	"8"	"7"	"3"	"3"	"16"	"423"	"0"	"423"	"0"	""
"51"	"38"	"38"	""	"84"	"4"	"5"	"141"	"134"	"1"	"1"	"1"	"0"	"5"	"5"	"1"	"4"	"10"	"396"	"0"	"396"	"0"	""
"52"	"39"	"39"	""	"119"	"3"	"0"	"151"	"99"	"6"	"0"	"2"	"2"	"11"	"18"	"3"	"6"	"11"	"431"	"0"	"431"	"0"	""
"53"	"40"	"40"	""	"36"	"1"	"19"	"394"	"186"	"5"	"1"	"2"	"2"	"6"	"6"	"3"	"1"	"5"	"667"	"0"	"667"	"0"	""
"54"	"41"	"41"	""	"226"	"5"	"55"	"126"	"246"	"7"	"1"	"0"	"2"	"5"	"2"	"1"	"2"	"23"	"701"	"0"	"701"	"0"	""
"55"	"42"	"42"	""	"24"	"2"	"45"	"396"	"201"	"8"	"6"	"1"	"2"	"14"	"11"	"29"	"10"	"8"	"757"	"0"	"757"	"0"	""
"56"	"43"	"43"	""	"10"	"0"	"47"	"209"	"133"	"7"	"4"	"1"	"7"	"9"	"13"	"3"	"10"	"15"	"468"	"0"	"468"	"0"	""
"57"	"44"	"44"	""	"5"	"0"	"11"	"77"	"217"	"8"	"4"	"1"	"12"	"5"	"32"	"11"	"10"	"22"	"415"	"0"	"415"	"0"	""
"58"	"45"	"45"	""	"12"	"4"	"9"	"458"	"136"	"7"	"1"	"1"	"3"	"20"	"16"	"2"	"3"	"6"	"678"	"0"	"678"	"0"	""
"59"	"46"	"46"	""	"34"	"1"	"29"	"179"	"212"	"15"	"5"	"1"	"3"	"9"	"3"	"44"	"5"	"9"	"549"	"0"	"549"	"0"	""
"60"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"61"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"62"	"47"	"47"	""	"93"	"1"	"42"	"362"	"140"	"12"	"5"	"3"	"1"	"17"	"10"	"9"	"10"	"22"	"727"	"0"	"727"	"0"	""
"63"	"48"	"48"	""	"40"	"0"	"4"	"303"	"123"	"11"	"2"	"2"	"2"	"3"	"3"	"1"	"2"	"0"	"496"	"0"	"496"	"0"	""
"64"	"49"	"49"	""	"47"	"5"	"18"	"386"	"221"	"14"	"3"	"2"	"9"	"13"	"13"	"13"	"2"	"10"	"756"	"0"	"756"	"0"	""
"65"	"50"	"50"	""	"130"	"11"	"10"	"82"	"37"	"8"	"6"	"6"	"19"	"13"	"382"	"34"	"16"	"25"	"779"	"0"	"779"	"0"	""
"66"	"51"	"51"	""	"54"	"4"	"114"	"192"	"122"	"7"	"0"	"3"	"3"	"1"	"6"	"0"	"4"	"4"	"514"	"0"	"514"	"0"	""
"67"	"52"	"51"	"A"	"235"	"4"	"21"	"38"	"117"	"2"	"1"	"2"	"3"	"3"	"10"	"4"	"4"	"10"	"454"	"0"	"454"	"0"	""
"68"	"53"	"52"	""	"171"	"9"	"6"	"282"	"70"	"5"	"1"	"5"	"5"	"7"	"6"	"4"	"5"	"15"	"591"	"0"	"591"	"0"	""
"69"	"54"	"53"	""	"83"	"4"	"36"	"165"	"22"	"3"	"2"	"1"	"3"	"2"	"5"	"4"	"3"	"10"	"343"	"0"	"343"	"0"	""
"70"	"55"	"54"	""	"76"	"5"	"27"	"435"	"160"	"10"	"2"	"2"	"2"	"6"	"13"	"11"	"7"	"20"	"776"	"0"	"776"	"0"	""
"71"	"56"	"55"	""	"15"	"5"	"48"	"252"	"312"	"17"	"5"	"7"	"19"	"12"	"76"	"23"	"7"	"20"	"818"	"0"	"818"	"0"	""
"72"	"57"	"56"	""	"92"	"0"	"26"	"188"	"102"	"5"	"0"	"9"	"1"	"3"	"3"	"2"	"5"	"7"	"443"	"0"	"443"	"0"	""
"73"	"58"	"57"	""	"166"	"5"	"3"	"266"	"29"	"3"	"0"	"0"	"2"	"6"	"1"	"10"	"3"	"8"	"502"	"0"	"502"	"0"	""
"74"	"59"	"58"	""	"98"	"3"	"2"	"494"	"17"	"1"	"2"	"1"	"4"	"8"	"11"	"3"	"5"	"6"	"655"	"0"	"655"	"0"	""
"75"	"60"	"59"	""	"25"	"2"	"27"	"407"	"187"	"8"	"3"	"7"	"1"	"5"	"6"	"81"	"10"	"11"	"780"	"0"	"780"	"0"	""
"76"	"61"	"60"	""	"76"	"0"	"16"	"148"	"63"	"4"	"1"	"1"	"0"	"6"	"8"	"5"	"4"	"5"	"337"	"0"	"337"	"0"	""
"77"	"62"	"60"	"A"	"29"	"5"	"24"	"241"	"78"	"4"	"0"	"2"	"5"	"3"	"6"	"3"	"2"	"4"	"406"	"0"	"406"	"0"	""
"78"	"63"	"61"	""	"9"	"0"	"0"	"324"	"65"	"3"	"1"	"1"	"3"	"8"	"18"	"2"	"4"	"9"	"447"	"0"	"447"	"0"	""
"79"	"64"	"62"	""	"3"	"0"	"1"	"174"	"100"	"9"	"2"	"2"	"1"	"3"	"10"	"1"	"0"	"1"	"307"	"0"	"307"	"0"	""
"80"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"81"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"82"	"65"	"63"	""	"63"	"5"	"21"	"85"	"313"	"26"	"5"	"6"	"9"	"6"	"21"	"11"	"9"	"26"	"606"	"0"	"606"	"0"	""
"83"	"66"	"64"	""	"15"	"1"	"13"	"89"	"71"	"9"	"4"	"4"	"19"	"5"	"343"	"6"	"14"	"8"	"601"	"0"	"601"	"0"	""
"84"	"67"	"65"	""	"6"	"1"	"11"	"381"	"15"	"1"	"0"	"1"	"1"	"5"	"4"	"0"	"0"	"1"	"427"	"0"	"427"	"0"	""
"85"	"68"	"66"	""	"109"	"1"	"4"	"144"	"128"	"8"	"3"	"3"	"2"	"2"	"15"	"5"	"3"	"22"	"449"	"0"	"449"	"0"	""
"86"	"69"	"67"	""	"74"	"0"	"6"	"54"	"202"	"19"	"3"	"5"	"4"	"6"	"13"	"13"	"6"	"15"	"420"	"0"	"420"	"0"	""
"87"	"70"	"68"	""	"273"	"4"	"24"	"71"	"215"	"12"	"0"	"2"	"8"	"1"	"77"	"2"	"1"	"6"	"696"	"0"	"696"	"0"	""
"88"	"71"	"69"	""	"43"	"3"	"13"	"203"	"57"	"9"	"1"	"6"	"24"	"14"	"128"	"15"	"7"	"15"	"538"	"0"	"538"	"0"	""
"89"	"72"	"70"	""	"2"	"1"	"1"	"86"	"48"	"7"	"1"	"1"	"15"	"6"	"177"	"4"	"13"	"5"	"367"	"0"	"367"	"0"	""
"90"	"73"	"71"	""	"112"	"5"	"4"	"240"	"93"	"17"	"3"	"6"	"14"	"10"	"78"	"20"	"5"	"7"	"614"	"0"	"614"	"0"	""
"91"	"74"	"72"	""	"326"	"11"	"6"	"24"	"40"	"4"	"1"	"2"	"4"	"3"	"7"	"21"	"1"	"12"	"462"	"0"	"462"	"0"	""
"92"	"75"	"73"	""	"10"	"5"	"15"	"177"	"76"	"15"	"4"	"2"	"16"	"13"	"43"	"6"	"7"	"16"	"405"	"0"	"405"	"0"	""
"93"	"76"	"74"	""	"105"	"2"	"8"	"60"	"329"	"16"	"1"	"4"	"3"	"5"	"45"	"3"	"2"	"15"	"598"	"0"	"598"	"0"	""
"94"	"77"	"75"	""	"84"	"5"	"21"	"136"	"289"	"14"	"3"	"4"	"8"	"3"	"16"	"4"	"4"	"13"	"604"	"0"	"604"	"0"	""
"95"	"78"	"76"	""	"10"	"0"	"5"	"200"	"134"	"16"	"4"	"4"	"16"	"22"	"153"	"7"	"3"	"7"	"581"	"0"	"581"	"0"	""
"96"	"79"	"77"	""	"13"	"1"	"0"	"187"	"58"	"2"	"2"	"1"	"8"	"7"	"21"	"0"	"3"	"4"	"307"	"0"	"307"	"0"	""
"97"	"80"	"77"	"A"	"14"	"4"	"7"	"104"	"174"	"11"	"6"	"5"	"3"	"4"	"10"	"11"	"5"	"17"	"375"	"0"	"375"	"0"	""
"98"	"81"	"78"	""	"12"	"3"	"7"	"122"	"20"	"7"	"0"	"5"	"23"	"8"	"195"	"7"	"11"	"6"	"426"	"0"	"426"	"0"	""
"99"	"82"	"79"	""	"17"	"3"	"46"	"133"	"207"	"15"	"2"	"11"	"22"	"2"	"164"	"9"	"10"	"9"	"650"	"0"	"650"	"0"	""
"100"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"101"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"102"	"83"	"80"	""	"17"	"1"	"19"	"120"	"208"	"21"	"15"	"5"	"49"	"15"	"192"	"10"	"5"	"18"	"695"	"0"	"695"	"0"	""
"103"	"84"	"81"	""	"20"	"3"	"10"	"17"	"52"	"6"	"1"	"1"	"28"	"11"	"268"	"14"	"18"	"17"	"466"	"0"	"466"	"0"	""
"104"	"85"	"82"	""	"16"	"1"	"4"	"17"	"15"	"5"	"1"	"5"	"22"	"10"	"282"	"9"	"25"	"20"	"432"	"0"	"432"	"0"	""
"105"	"86"	"83"	""	"160"	"4"	"5"	"217"	"238"	"4"	"0"	"1"	"6"	"4"	"43"	"3"	"4"	"7"	"696"	"0"	"696"	"0"	""
"106"	"87"	"84"	""	"162"	"6"	"24"	"31"	"151"	"6"	"7"	"4"	"31"	"7"	"92"	"15"	"11"	"23"	"570"	"0"	"570"	"0"	""
"107"	"88"	"85"	""	"15"	"3"	"20"	"93"	"210"	"22"	"5"	"9"	"46"	"10"	"261"	"7"	"7"	"4"	"712"	"0"	"712"	"0"	""
"108"	"89"	"86"	""	"51"	"3"	"8"	"228"	"278"	"16"	"6"	"1"	"7"	"14"	"38"	"7"	"11"	"13"	"681"	"0"	"681"	"0"	""
"109"	"90"	"87"	""	"139"	"1"	"98"	"38"	"110"	"10"	"0"	"1"	"17"	"11"	"362"	"17"	"4"	"20"	"828"	"0"	"828"	"0"	""
"110"	"91"	"88"	""	"135"	"6"	"5"	"73"	"251"	"11"	"2"	"5"	"3"	"9"	"10"	"7"	"4"	"10"	"531"	"0"	"531"	"0"	""
"111"	"92"	"89"	""	"16"	"0"	"9"	"105"	"243"	"5"	"3"	"2"	"3"	"6"	"12"	"7"	"5"	"16"	"432"	"0"	"432"	"0"	""
"112"	"93"	"90"	""	"7"	"1"	"56"	"82"	"365"	"5"	"2"	"1"	"5"	"6"	"22"	"6"	"3"	"6"	"567"	"0"	"567"	"0"	""
"113"	"94"	"91"	""	"277"	"10"	"51"	"16"	"32"	"5"	"2"	"1"	"3"	"6"	"9"	"4"	"0"	"10"	"426"	"0"	"426"	"0"	""
"114"	"95"	"92"	""	"93"	"5"	"65"	"13"	"112"	"7"	"4"	"3"	"0"	"1"	"4"	"2"	"2"	"0"	"311"	"0"	"311"	"0"	""
"115"	"96"	"93"	""	"6"	"2"	"35"	"70"	"45"	"2"	"4"	"2"	"8"	"15"	"74"	"7"	"12"	"24"	"306"	"0"	"306"	"0"	""
"116"	"97"	"94"	""	"215"	"6"	"30"	"79"	"114"	"11"	"6"	"6"	"23"	"11"	"160"	"12"	"15"	"25"	"713"	"0"	"713"	"0"	""
"117"	"98"	"95"	""	"20"	"1"	"78"	"63"	"198"	"21"	"5"	"8"	"18"	"5"	"121"	"17"	"10"	"25"	"590"	"0"	"590"	"0"	""
"118"	"99"	"96"	""	"27"	"2"	"4"	"54"	"184"	"4"	"0"	"6"	"17"	"7"	"173"	"3"	"10"	"9"	"500"	"0"	"500"	"0"	""
"119"	"100"	"97"	""	"51"	"3"	"2"	"43"	"37"	"6"	"4"	"2"	"15"	"10"	"82"	"1"	"3"	"7"	"266"	"0"	"266"	"0"	""
"120"	"Sl No."	"Serial No. of Polling Station"	""	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"121"	""	""	""	"Md. Parvej Alam"	"Md. Kamrul Hasan."	"Raghwend ra Kumar Ravi."	"Dr.
Ramchand ra Purve"	"Ram Naresh Pr. Yadav."	"Basiran Khatoon."	"Mohamm ad Shahanaw aj Nujharul."	"Veer Bahadur Prasad Yadav."	"Akhilesh Narayan Thakur."	"Jay Narayan Mahto."	"Mahendra Singh Yadav."	"Mohamad Majlum Shah."	"Mohamad Hazrool Sah."	"Vishun Dev Sah."	""	""	""	""	""
"122"	"101"	"98"	""	"6"	"1"	"3"	"52"	"35"	"8"	"2"	"1"	"21"	"5"	"100"	"6"	"5"	"5"	"250"	"0"	"250"	"0"	""
"123"	"102"	"99"	""	"14"	"3"	"7"	"151"	"528"	"25"	"6"	"9"	"9"	"5"	"4"	"2"	"3"	"11"	"777"	"0"	"777"	"0"	""
"124"	"103"	"100"	""	"183"	"1"	"3"	"216"	"127"	"6"	"1"	"0"	"2"	"3"	"2"	"3"	"1"	"5"	"553"	"0"	"553"	"0"	""
"125"	"104"	"101"	""	"174"	"4"	"3"	"205"	"43"	"0"	"1"	"3"	"4"	"5"	"1"	"10"	"1"	"4"	"458"	"0"	"458"	"0"	""
"126"	"105"	"102"	""	"259"	"11"	"5"	"98"	"6"	"2"	"3"	"2"	"1"	"3"	"5"	"2"	"0"	"4"	"401"	"0"	"401"	"0"	""
"127"	"106"	"103"	""	"334"	"11"	"6"	"90"	"5"	"0"	"1"	"5"	"4"	"11"	"3"	"6"	"3"	"14"	"493"	"0"	"493"	"0"	""
"128"	"107"	"104"	""	"23"	"1"	"3"	"107"	"95"	"13"	"3"	"5"	"9"	"5"	"19"	"18"	"3"	"14"	"318"	"0"	"318"	"0"	""
"129"	"108"	"105"	""	"7"	"4"	"14"	"157"	"208"	"13"	"5"	"5"	"17"	"13"	"53"	"14"	"5"	"22"	"537"	"0"	"537"	"0"	""
"130"	"109"	"106"	""	"251"	"10"	"8"	"103"	"105"	"8"	"5"	"8"	"12"	"10"	"28"	"56"	"8"	"27"	"639"	"0"	"639"	"0"	""
"131"	"110"	"107"	""	"201"	"8"	"5"	"113"	"33"	"8"	"1"	"4"	"18"	"3"	"55"	"27"	"4"	"21"	"501"	"0"	"501"	"0"	""
"132"	"111"	"108"	""	"51"	"6"	"5"	"192"	"153"	"9"	"4"	"4"	"3"	"6"	"35"	"15"	"9"	"20"	"512"	"0"	"512"	"0"	""
"133"	"112"	"109"	""	"43"	"1"	"7"	"165"	"112"	"7"	"3"	"1"	"3"	"1"	"21"	"5"	"1"	"7"	"377"	"0"	"377"	"0"	""
"134"	"113"	"110"	""	"19"	"3"	"8"	"105"	"72"	"13"	"4"	"6"	"38"	"16"	"277"	"7"	"9"	"16"	"593"	"0"	"593"	"0"	""
"135"	"114"	"111"	""	"89"	"2"	"16"	"75"	"22"	"6"	"1"	"3"	"15"	"12"	"128"	"3"	"2"	"9"	"383"	"0"	"383"	"0"	""
