"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"50"	"35"	"146"	"73"	"6"	"75"	"8"	"2"	"4"	"3"	"5"	"10"	"13"	"35"	"380"
"51"	"36"	"246"	"35"	"0"	"20"	"0"	"1"	"0"	"1"	"5"	"2"	"4"	"8"	"322"
"52"	"37"	"151"	"9"	"1"	"46"	"3"	"0"	"1"	"0"	"0"	"2"	"3"	"9"	"225"
"53"	"38"	"236"	"151"	"10"	"40"	"0"	"1"	"3"	"0"	"2"	"12"	"16"	"29"	"500"
"54"	"39"	"198"	"242"	"13"	"18"	"2"	"1"	"2"	"4"	"0"	"6"	"4"	"9"	"499"
"55"	"40"	"95"	"131"	"6"	"4"	"1"	"0"	"4"	"2"	"1"	"2"	"3"	"7"	"256"
"56"	"Page 2 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"63"	"41"	"85"	"115"	"3"	"21"	"1"	"1"	"2"	"4"	"1"	"8"	"2"	"20"	"263"
"64"	"42"	"81"	"195"	"8"	"18"	"1"	"0"	"0"	"0"	"0"	"6"	"4"	"6"	"319"
"65"	"43"	"66"	"82"	"1"	"43"	"2"	"0"	"0"	"1"	"1"	"4"	"0"	"1"	"201"
"66"	"44"	"117"	"78"	"4"	"60"	"4"	"3"	"3"	"4"	"4"	"11"	"11"	"21"	"320"
"67"	"44A"	"254"	"55"	"8"	"20"	"11"	"5"	"2"	"6"	"2"	"7"	"2"	"22"	"394"
"68"	"45"	"80"	"117"	"4"	"5"	"1"	"1"	"1"	"7"	"0"	"9"	"1"	"15"	"241"
"69"	"46"	"370"	"151"	"6"	"10"	"8"	"2"	"2"	"1"	"0"	"5"	"3"	"11"	"569"
"70"	"47"	"346"	"101"	"6"	"25"	"0"	"2"	"0"	"6"	"1"	"4"	"8"	"22"	"521"
"71"	"48"	"329"	"115"	"5"	"26"	"0"	"4"	"5"	"3"	"5"	"7"	"10"	"41"	"550"
"72"	"49"	"133"	"63"	"3"	"25"	"2"	"2"	"1"	"3"	"3"	"7"	"7"	"11"	"260"
"73"	"50"	"171"	"77"	"3"	"29"	"6"	"1"	"2"	"0"	"0"	"1"	"3"	"8"	"301"
"74"	"51"	"105"	"95"	"12"	"23"	"6"	"1"	"1"	"3"	"2"	"15"	"9"	"29"	"301"
"75"	"52"	"86"	"142"	"12"	"26"	"6"	"1"	"2"	"1"	"2"	"13"	"8"	"21"	"320"
"76"	"53"	"233"	"98"	"6"	"55"	"7"	"5"	"3"	"1"	"3"	"10"	"8"	"40"	"469"
"77"	"54"	"233"	"50"	"4"	"46"	"5"	"2"	"4"	"1"	"2"	"9"	"7"	"24"	"387"
"78"	"55"	"187"	"128"	"6"	"125"	"4"	"3"	"3"	"3"	"0"	"4"	"3"	"12"	"478"
"79"	"56"	"225"	"52"	"7"	"123"	"14"	"4"	"3"	"13"	"9"	"18"	"10"	"43"	"521"
"80"	"57"	"234"	"105"	"14"	"127"	"7"	"2"	"0"	"4"	"3"	"9"	"2"	"18"	"525"
"81"	"58"	"178"	"91"	"6"	"10"	"6"	"10"	"3"	"4"	"0"	"7"	"13"	"60"	"388"
"82"	"59"	"182"	"494"	"12"	"22"	"6"	"2"	"4"	"4"	"2"	"16"	"8"	"46"	"798"
"83"	"60"	"68"	"240"	"9"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"5"	"66"	"392"
"84"	"61"	"221"	"246"	"19"	"40"	"3"	"3"	"1"	"1"	"2"	"6"	"7"	"26"	"575"
"85"	"Page 3 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"92"	"62"	"123"	"265"	"19"	"8"	"1"	"1"	"1"	"2"	"2"	"6"	"8"	"12"	"448"
"93"	"63"	"71"	"201"	"1"	"16"	"0"	"1"	"0"	"2"	"0"	"4"	"2"	"7"	"305"
"94"	"64"	"248"	"134"	"14"	"8"	"5"	"1"	"1"	"1"	"2"	"3"	"3"	"12"	"432"
"95"	"65"	"139"	"101"	"8"	"22"	"3"	"1"	"1"	"1"	"2"	"6"	"6"	"12"	"302"
"96"	"66"	"247"	"200"	"7"	"23"	"4"	"1"	"1"	"1"	"0"	"6"	"2"	"9"	"501"
"97"	"67"	"214"	"91"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"5"	"2"	"12"	"333"
"98"	"68"	"107"	"305"	"11"	"6"	"2"	"1"	"2"	"3"	"3"	"6"	"8"	"26"	"480"
"99"	"69"	"169"	"87"	"5"	"31"	"0"	"2"	"0"	"0"	"1"	"4"	"1"	"10"	"310"
"100"	"70"	"222"	"90"	"2"	"12"	"3"	"3"	"2"	"3"	"2"	"6"	"2"	"15"	"362"
"101"	"71"	"293"	"146"	"8"	"35"	"3"	"7"	"2"	"3"	"3"	"12"	"6"	"23"	"541"
"102"	"72"	"80"	"251"	"11"	"48"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"10"	"409"
"103"	"73"	"241"	"156"	"6"	"11"	"3"	"0"	"4"	"3"	"1"	"7"	"1"	"18"	"451"
"104"	"74"	"166"	"112"	"3"	"65"	"10"	"0"	"0"	"1"	"0"	"4"	"3"	"14"	"378"
"105"	"75"	"51"	"181"	"8"	"9"	"13"	"7"	"1"	"3"	"2"	"4"	"4"	"6"	"289"
"106"	"76"	"150"	"328"	"13"	"17"	"3"	"3"	"4"	"4"	"1"	"3"	"9"	"14"	"549"
"107"	"77"	"188"	"47"	"11"	"36"	"3"	"5"	"6"	"6"	"3"	"5"	"8"	"29"	"347"
"108"	"78"	"203"	"55"	"7"	"39"	"5"	"6"	"4"	"5"	"5"	"11"	"5"	"37"	"382"
"109"	"79"	"161"	"331"	"9"	"3"	"1"	"2"	"4"	"3"	"4"	"13"	"21"	"18"	"570"
"110"	"80"	"102"	"152"	"2"	"4"	"1"	"3"	"1"	"3"	"3"	"7"	"5"	"23"	"306"
"111"	"81"	"77"	"326"	"33"	"5"	"3"	"3"	"4"	"1"	"6"	"12"	"15"	"32"	"517"
"112"	"82"	"100"	"220"	"52"	"11"	"7"	"3"	"4"	"2"	"1"	"9"	"5"	"11"	"425"
"113"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"114"	"Page 4 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"121"	"84"	"302"	"73"	"3"	"17"	"5"	"0"	"2"	"0"	"1"	"6"	"1"	"3"	"413"
"122"	"85"	"205"	"107"	"7"	"3"	"4"	"1"	"2"	"2"	"1"	"8"	"4"	"21"	"365"
"123"	"86"	"132"	"54"	"7"	"1"	"1"	"0"	"1"	"1"	"2"	"7"	"5"	"20"	"231"
"124"	"87"	"77"	"225"	"12"	"3"	"5"	"1"	"2"	"1"	"1"	"3"	"5"	"6"	"341"
"125"	"88"	"88"	"184"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"8"	"9"	"14"	"309"
"126"	"89"	"147"	"101"	"5"	"97"	"1"	"0"	"2"	"0"	"2"	"1"	"4"	"7"	"367"
"127"	"89A"	"89"	"252"	"3"	"5"	"2"	"0"	"0"	"0"	"1"	"3"	"7"	"3"	"365"
"128"	"90"	"123"	"323"	"12"	"3"	"3"	"1"	"1"	"2"	"1"	"10"	"1"	"11"	"491"
"129"	"91"	"27"	"219"	"11"	"12"	"0"	"1"	"0"	"0"	"3"	"3"	"7"	"6"	"289"
"130"	"92"	"16"	"145"	"1"	"2"	"1"	"0"	"1"	"1"	"1"	"3"	"4"	"6"	"181"
"131"	"93"	"64"	"236"	"7"	"8"	"1"	"2"	"2"	"3"	"1"	"3"	"6"	"9"	"342"
"132"	"94"	"217"	"142"	"21"	"9"	"5"	"4"	"3"	"1"	"1"	"3"	"12"	"23"	"441"
"133"	"95"	"305"	"144"	"11"	"44"	"3"	"0"	"2"	"1"	"2"	"1"	"6"	"26"	"545"
"134"	"96"	"162"	"160"	"9"	"8"	"2"	"0"	"2"	"1"	"0"	"6"	"5"	"4"	"359"
"135"	"96A"	"206"	"118"	"12"	"2"	"4"	"0"	"1"	"3"	"4"	"4"	"2"	"5"	"361"
"136"	"97"	"171"	"125"	"6"	"26"	"5"	"0"	"0"	"0"	"1"	"2"	"2"	"9"	"347"
"137"	"98"	"51"	"155"	"8"	"39"	"0"	"3"	"3"	"2"	"2"	"4"	"4"	"18"	"289"
"138"	"99"	"169"	"308"	"9"	"12"	"8"	"2"	"4"	"11"	"4"	"4"	"5"	"25"	"561"
"139"	"100"	"282"	"112"	"9"	"9"	"5"	"1"	"0"	"1"	"3"	"4"	"6"	"21"	"453"
"140"	"101"	"352"	"47"	"2"	"9"	"0"	"2"	"2"	"1"	"0"	"0"	"2"	"2"	"419"
"141"	"102"	"541"	"92"	"14"	"53"	"6"	"3"	"4"	"3"	"3"	"7"	"3"	"14"	"743"
"142"	"103"	"462"	"112"	"4"	"5"	"3"	"0"	"1"	"3"	"0"	"5"	"3"	"49"	"647"
"143"	"Page 5 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"150"	"104"	"226"	"120"	"9"	"37"	"2"	"3"	"1"	"4"	"3"	"7"	"13"	"16"	"441"
"151"	"105"	"164"	"77"	"6"	"55"	"3"	"2"	"2"	"2"	"2"	"2"	"3"	"9"	"327"
"152"	"106"	"392"	"15"	"8"	"64"	"11"	"0"	"2"	"1"	"0"	"4"	"5"	"26"	"528"
"153"	"107"	"191"	"19"	"2"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"240"
"154"	"108"	"353"	"87"	"4"	"28"	"6"	"1"	"6"	"0"	"1"	"2"	"3"	"10"	"501"
"155"	"109"	"291"	"34"	"7"	"18"	"1"	"0"	"0"	"1"	"1"	"4"	"1"	"3"	"361"
"156"	"110"	"186"	"56"	"7"	"27"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"14"	"298"
"157"	"111"	"153"	"215"	"5"	"13"	"4"	"2"	"3"	"4"	"2"	"0"	"5"	"8"	"414"
"158"	"112"	"253"	"83"	"7"	"21"	"6"	"1"	"2"	"1"	"0"	"2"	"2"	"7"	"385"
"159"	"113"	"209"	"109"	"10"	"42"	"1"	"0"	"2"	"3"	"5"	"8"	"13"	"20"	"422"
"160"	"114"	"297"	"47"	"1"	"49"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"9"	"409"
"161"	"115"	"333"	"56"	"11"	"21"	"4"	"1"	"2"	"2"	"0"	"2"	"2"	"13"	"447"
"162"	"116"	"229"	"84"	"6"	"6"	"26"	"1"	"2"	"3"	"0"	"6"	"5"	"15"	"383"
"163"	"117"	"129"	"25"	"6"	"21"	"13"	"0"	"1"	"2"	"1"	"4"	"2"	"8"	"212"
"164"	"118"	"175"	"152"	"11"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"15"	"364"
"165"	"119"	"229"	"146"	"4"	"10"	"5"	"0"	"5"	"1"	"1"	"4"	"12"	"14"	"431"
"166"	"120"	"233"	"134"	"4"	"58"	"3"	"1"	"14"	"1"	"2"	"2"	"7"	"42"	"501"
"167"	"121"	"208"	"316"	"20"	"40"	"7"	"3"	"0"	"2"	"4"	"4"	"7"	"30"	"641"
"168"	"122"	"187"	"29"	"8"	"18"	"5"	"0"	"88"	"5"	"0"	"1"	"4"	"13"	"358"
"169"	"123"	"310"	"34"	"4"	"32"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"388"
"170"	"124"	"159"	"96"	"7"	"41"	"5"	"0"	"1"	"3"	"3"	"7"	"5"	"17"	"344"
"171"	"125"	"247"	"312"	"16"	"6"	"6"	"0"	"0"	"0"	"2"	"6"	"10"	"14"	"619"
"172"	"Page 6 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"179"	"126"	"248"	"351"	"5"	"4"	"1"	"0"	"1"	"1"	"1"	"8"	"8"	"27"	"655"
"180"	"127"	"201"	"189"	"40"	"31"	"27"	"1"	"5"	"1"	"3"	"13"	"9"	"33"	"553"
"181"	"128"	"180"	"325"	"37"	"19"	"1"	"1"	"2"	"2"	"1"	"6"	"3"	"13"	"590"
"182"	"129"	"18"	"261"	"6"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"5"	"304"
"183"	"130"	"326"	"143"	"9"	"48"	"7"	"4"	"4"	"0"	"1"	"7"	"7"	"19"	"575"
"184"	"131"	"305"	"278"	"18"	"40"	"8"	"12"	"3"	"1"	"3"	"10"	"16"	"37"	"731"
"185"	"132"	"184"	"74"	"4"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"10"	"28"	"308"
"186"	"133"	"12"	"96"	"8"	"103"	"2"	"2"	"0"	"0"	"2"	"5"	"3"	"3"	"236"
"187"	"134"	"116"	"221"	"5"	"82"	"4"	"0"	"0"	"0"	"6"	"6"	"11"	"15"	"466"
"188"	"135"	"77"	"143"	"4"	"11"	"2"	"0"	"1"	"3"	"2"	"6"	"8"	"17"	"274"
"189"	"136"	"101"	"96"	"4"	"12"	"0"	"1"	"0"	"0"	"1"	"6"	"8"	"23"	"252"
"190"	"137"	"187"	"213"	"15"	"15"	"13"	"0"	"1"	"0"	"1"	"9"	"7"	"31"	"492"
"191"	"138"	"181"	"418"	"10"	"44"	"3"	"20"	"5"	"1"	"1"	"2"	"6"	"6"	"697"
"192"	"139"	"423"	"94"	"6"	"34"	"2"	"0"	"0"	"2"	"1"	"2"	"2"	"10"	"576"
"193"	"140"	"163"	"199"	"4"	"18"	"4"	"0"	"2"	"1"	"1"	"3"	"6"	"11"	"412"
"194"	"141"	"418"	"153"	"15"	"35"	"3"	"3"	"3"	"8"	"4"	"14"	"6"	"34"	"696"
"195"	"142"	"131"	"182"	"16"	"50"	"5"	"0"	"4"	"4"	"4"	"2"	"26"	"33"	"457"
"196"	"143"	"67"	"226"	"10"	"48"	"6"	"3"	"2"	"3"	"1"	"7"	"10"	"25"	"408"
"197"	"144"	"52"	"63"	"277"	"22"	"2"	"1"	"2"	"3"	"5"	"9"	"4"	"12"	"452"
"198"	"145"	"226"	"73"	"14"	"5"	"0"	"0"	"1"	"0"	"1"	"4"	"2"	"18"	"344"
"199"	"146"	"142"	"140"	"5"	"9"	"0"	"2"	"2"	"1"	"3"	"6"	"6"	"20"	"336"
"200"	"147"	"117"	"131"	"15"	"8"	"4"	"2"	"1"	"3"	"0"	"2"	"10"	"27"	"320"
"201"	"Page 7 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"208"	"148"	"208"	"177"	"16"	"21"	"5"	"7"	"3"	"1"	"0"	"10"	"13"	"16"	"477"
"209"	"149"	"137"	"233"	"20"	"53"	"7"	"7"	"3"	"1"	"4"	"8"	"4"	"30"	"507"
"210"	"150"	"128"	"259"	"15"	"13"	"4"	"0"	"2"	"2"	"5"	"5"	"5"	"19"	"457"
"211"	"151"	"59"	"201"	"10"	"14"	"1"	"1"	"1"	"1"	"0"	"4"	"14"	"10"	"316"
"212"	"152"	"320"	"139"	"6"	"18"	"5"	"0"	"2"	"2"	"1"	"1"	"5"	"17"	"516"
"213"	"153"	"124"	"180"	"8"	"49"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"5"	"373"
"214"	"154"	"104"	"232"	"10"	"74"	"2"	"2"	"3"	"1"	"3"	"8"	"7"	"15"	"461"
"215"	"155"	"127"	"197"	"9"	"143"	"3"	"9"	"6"	"3"	"6"	"18"	"11"	"37"	"569"
"216"	"156"	"225"	"278"	"24"	"56"	"10"	"3"	"5"	"3"	"1"	"9"	"5"	"11"	"630"
"217"	"157"	"209"	"109"	"25"	"14"	"1"	"0"	"2"	"0"	"1"	"2"	"2"	"5"	"370"
"218"	"158"	"291"	"160"	"12"	"52"	"5"	"3"	"2"	"3"	"3"	"7"	"5"	"28"	"571"
"219"	"159"	"373"	"80"	"16"	"15"	"6"	"0"	"1"	"2"	"2"	"11"	"5"	"30"	"541"
"220"	"160"	"365"	"178"	"12"	"12"	"4"	"1"	"1"	"3"	"1"	"3"	"0"	"9"	"589"
"221"	"161"	"355"	"58"	"4"	"20"	"5"	"1"	"2"	"1"	"2"	"3"	"2"	"7"	"460"
"222"	"162"	"197"	"103"	"6"	"6"	"3"	"2"	"5"	"1"	"4"	"4"	"2"	"10"	"343"
"223"	"162A"	"191"	"105"	"6"	"1"	"1"	"0"	"2"	"0"	"0"	"5"	"2"	"6"	"319"
"224"	"163"	"130"	"111"	"5"	"36"	"5"	"0"	"1"	"1"	"0"	"2"	"1"	"10"	"302"
"225"	"164"	"274"	"71"	"2"	"6"	"25"	"0"	"2"	"1"	"2"	"3"	"3"	"32"	"421"
"226"	"165"	"196"	"247"	"12"	"5"	"5"	"0"	"2"	"7"	"0"	"1"	"14"	"14"	"503"
"227"	"166"	"194"	"58"	"8"	"20"	"30"	"2"	"3"	"11"	"2"	"1"	"3"	"22"	"354"
"228"	"167"	"172"	"88"	"4"	"14"	"0"	"14"	"4"	"14"	"1"	"0"	"0"	"11"	"322"
"229"	"168"	"320"	"122"	"3"	"22"	"1"	"3"	"1"	"1"	"1"	"3"	"2"	"3"	"482"
"230"	"Page 8 of 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Assembly Constituency :235---Rajuli(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"No of Voters :235696"	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"235"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"33"
"237"	"169"	"199"	"85"	"6"	"21"	"0"	"2"	"4"	"2"	"2"	"5"	"2"	"45"	"373"
"238"	"170"	"151"	"96"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"6"	"261"
"239"	"171"	"257"	"179"	"6"	"12"	"1"	"3"	"0"	"0"	"4"	"3"	"3"	"10"	"478"
"240"	"172"	"119"	"229"	"11"	"6"	"38"	"6"	"4"	"2"	"2"	"3"	"2"	"12"	"434"
"241"	"173"	"149"	"125"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"281"
"242"	"174"	"265"	"441"	"16"	"13"	"0"	"1"	"1"	"0"	"1"	"5"	"2"	"27"	"772"
