"Serial.No..of.Polling.Station"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"TOTAL.NO..OF.VALID.VOTES"	"X..16"	"NO..OF.RAJECTED.VOTES"	"TOTAL"
"28"	"23"	"188"	"29"	"209"	"38"	"143"	"3"	"34"	"2"	"5"	"68"	"3"	"8"	"20"	"23"	"0"	"7"	"10"	"790"	""	"0"	"790"
"29"	"24"	"63"	"44"	"40"	"1"	"132"	"3"	"29"	"1"	"5"	"291"	"1"	"1"	"2"	"5"	"2"	"6"	"0"	"626"	""	"0"	"626"
"30"	"25"	"181"	"148"	"93"	"4"	"109"	"2"	"39"	"28"	"5"	"152"	"10"	"7"	"6"	"19"	"4"	"13"	"5"	"825"	""	"0"	"825"
"31"	"26"	"243"	"86"	"198"	"2"	"56"	"5"	"36"	"6"	"3"	"14"	"3"	"5"	"44"	"2"	"3"	"4"	"16"	"726"	""	"0"	"726"
"32"	"27"	"79"	"1"	"59"	"0"	"22"	"0"	"21"	"15"	"2"	"102"	"5"	"3"	"0"	"3"	"0"	"5"	"2"	"319"	""	"0"	"319"
"33"	"28"	"92"	"10"	"10"	"1"	"76"	"2"	"39"	"13"	"4"	"97"	"4"	"1"	"0"	"10"	"2"	"4"	"2"	"367"	""	"0"	"367"
"34"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"35"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"36"	"TOTAL"	"5438"	"1182"	"2988"	"143"	"2187"	"72"	"759"	"186"	"90"	"2693"	"96"	"211"	"183"	"571"	"261"	"360"	"143"	"17563"	""	"0"	"17563"
"37"	"BF"	"5438"	"1182"	"2988"	"143"	"2187"	"72"	"759"	"186"	"90"	"2693"	"96"	"211"	"183"	"571"	"261"	"360"	"143"	"17563"	""	"0"	"17563"
"38"	"29"	"78"	"91"	"15"	"1"	"97"	"6"	"22"	"4"	"2"	"25"	"4"	"2"	"0"	"0"	"0"	"3"	"2"	"352"	""	"0"	"352"
"39"	"30"	"48"	"40"	"148"	"4"	"127"	"3"	"50"	"1"	"5"	"155"	"6"	"5"	"6"	"6"	"5"	"13"	"5"	"627"	""	"0"	"627"
"40"	"31"	"128"	"33"	"173"	"8"	"95"	"7"	"111"	"6"	"3"	"214"	"9"	"7"	"4"	"73"	"6"	"15"	"8"	"900"	""	"0"	"900"
"41"	"32"	"167"	"2"	"4"	"1"	"40"	"0"	"78"	"1"	"3"	"118"	"1"	"1"	"1"	"1"	"0"	"6"	"7"	"431"	""	"0"	"431"
"42"	"33"	"23"	"10"	"339"	"5"	"25"	"4"	"6"	"1"	"1"	"25"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"444"	""	"0"	"444"
"43"	"34"	"230"	"9"	"165"	"5"	"181"	"2"	"9"	"1"	"4"	"55"	"13"	"3"	"2"	"9"	"3"	"18"	"8"	"717"	""	"0"	"717"
"44"	"35"	"154"	"3"	"0"	"0"	"26"	"0"	"51"	"0"	"0"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"247"	""	"0"	"247"
"45"	"36"	"0"	"0"	"3"	"3"	"0"	"2"	"25"	"3"	"10"	"145"	"5"	"44"	"0"	"22"	"17"	"276"	"5"	"560"	""	"0"	"560"
"46"	"37"	"316"	"32"	"82"	"8"	"34"	"5"	"126"	"4"	"6"	"291"	"7"	"3"	"5"	"7"	"0"	"4"	"4"	"934"	""	"0"	"934"
"47"	"38"	"231"	"164"	"144"	"3"	"125"	"4"	"38"	"9"	"9"	"121"	"5"	"7"	"2"	"27"	"7"	"14"	"9"	"919"	""	"0"	"919"
"48"	"39"	"4"	"12"	"5"	"2"	"115"	"2"	"134"	"5"	"3"	"161"	"4"	"0"	"1"	"2"	"4"	"3"	"1"	"458"	""	"0"	"458"
"49"	"40"	"21"	"11"	"157"	"9"	"44"	"4"	"311"	"16"	"5"	"61"	"7"	"5"	"1"	"9"	"2"	"6"	"7"	"676"	""	"0"	"676"
"50"	"41"	"210"	"17"	"9"	"1"	"82"	"6"	"6"	"2"	"15"	"65"	"6"	"3"	"4"	"6"	"0"	"12"	"5"	"449"	""	"0"	"449"
"51"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"52"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"53"	"42"	"156"	"9"	"4"	"0"	"20"	"1"	"4"	"0"	"5"	"21"	"2"	"0"	"0"	"8"	"0"	"3"	"2"	"235"	""	"0"	"235"
"54"	"TOTAL"	"7204"	"1615"	"4236"	"193"	"3198"	"118"	"1730"	"239"	"161"	"4162"	"165"	"291"	"213"	"741"	"305"	"733"	"208"	"25512"	""	"0"	"25512"
"55"	"BF"	"7204"	"1615"	"4236"	"193"	"3198"	"118"	"1730"	"239"	"161"	"4162"	"165"	"291"	"213"	"741"	"305"	"733"	"208"	"25512"	""	"0"	"25512"
"56"	"43"	"273"	"12"	"90"	"3"	"54"	"2"	"11"	"2"	"1"	"111"	"4"	"2"	"2"	"3"	"5"	"6"	"10"	"591"	""	"0"	"591"
"57"	"44"	"183"	"50"	"228"	"1"	"12"	"0"	"20"	"1"	"0"	"76"	"3"	"1"	"1"	"22"	"2"	"3"	"1"	"604"	""	"0"	"604"
"58"	"45"	"114"	"16"	"104"	"0"	"81"	"1"	"2"	"3"	"3"	"240"	"3"	"6"	"2"	"9"	"2"	"1"	"4"	"591"	""	"0"	"591"
"59"	"46"	"140"	"18"	"93"	"1"	"39"	"1"	"0"	"2"	"3"	"172"	"3"	"1"	"2"	"3"	"4"	"4"	"7"	"493"	""	"0"	"493"
"60"	"47"	"114"	"79"	"170"	"4"	"78"	"1"	"15"	"2"	"2"	"58"	"1"	"7"	"4"	"10"	"7"	"11"	"1"	"564"	""	"0"	"564"
"61"	"48"	"90"	"138"	"330"	"6"	"88"	"0"	"43"	"2"	"3"	"124"	"3"	"2"	"2"	"9"	"2"	"5"	"2"	"849"	""	"0"	"849"
"62"	"49"	"42"	"125"	"145"	"2"	"143"	"3"	"1"	"3"	"4"	"431"	"9"	"3"	"1"	"15"	"1"	"13"	"3"	"944"	""	"0"	"944"
"63"	"50"	"35"	"8"	"5"	"2"	"47"	"2"	"55"	"4"	"2"	"151"	"4"	"6"	"2"	"5"	"13"	"8"	"5"	"354"	""	"0"	"354"
"64"	"51"	"52"	"88"	"122"	"1"	"29"	"2"	"3"	"1"	"1"	"114"	"3"	"3"	"3"	"6"	"3"	"3"	"0"	"434"	""	"0"	"434"
"65"	"52"	"38"	"58"	"33"	"0"	"9"	"0"	"0"	"0"	"2"	"46"	"2"	"1"	"1"	"3"	"0"	"0"	"0"	"193"	""	"0"	"193"
"66"	"53"	"53"	"3"	"0"	"1"	"43"	"0"	"8"	"0"	"1"	"185"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"299"	""	"0"	"299"
"67"	"54"	"192"	"28"	"17"	"2"	"40"	"3"	"29"	"0"	"1"	"33"	"1"	"3"	"1"	"10"	"0"	"3"	"5"	"368"	""	"0"	"368"
"68"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"69"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"70"	"55"	"12"	"36"	"79"	"1"	"42"	"0"	"9"	"1"	"1"	"118"	"1"	"3"	"2"	"1"	"0"	"2"	"1"	"309"	""	"0"	"309"
"71"	"56"	"28"	"60"	"5"	"1"	"40"	"3"	"46"	"3"	"1"	"10"	"2"	"0"	"2"	"3"	"2"	"4"	"1"	"211"	""	"0"	"211"
"72"	"TOTAL"	"8570"	"2334"	"5657"	"218"	"3943"	"136"	"1972"	"263"	"186"	"6031"	"205"	"330"	"238"	"841"	"347"	"797"	"248"	"32316"	""	"0"	"32316"
"73"	"BF"	"8570"	"2334"	"5657"	"218"	"3943"	"136"	"1972"	"263"	"186"	"6031"	"205"	"330"	"238"	"841"	"347"	"797"	"248"	"32316"	""	"0"	"32316"
"74"	"57"	"197"	"8"	"91"	"0"	"25"	"2"	"40"	"3"	"0"	"13"	"2"	"7"	"1"	"20"	"2"	"9"	"21"	"441"	""	"0"	"441"
"75"	"58"	"100"	"40"	"227"	"4"	"126"	"3"	"19"	"2"	"1"	"172"	"8"	"5"	"2"	"5"	"6"	"14"	"0"	"734"	""	"0"	"734"
"76"	"59"	"147"	"10"	"43"	"1"	"6"	"2"	"72"	"34"	"3"	"36"	"3"	"0"	"1"	"0"	"0"	"5"	"4"	"367"	""	"0"	"367"
"77"	"60"	"156"	"26"	"5"	"0"	"99"	"4"	"17"	"1"	"1"	"377"	"6"	"3"	"2"	"3"	"17"	"7"	"7"	"731"	""	"0"	"731"
"78"	"61"	"194"	"14"	"82"	"1"	"15"	"1"	"31"	"17"	"4"	"97"	"1"	"3"	"2"	"7"	"6"	"7"	"10"	"492"	""	"0"	"492"
"79"	"62"	"137"	"22"	"2"	"0"	"55"	"3"	"10"	"2"	"4"	"128"	"1"	"2"	"0"	"25"	"7"	"15"	"11"	"424"	""	"0"	"424"
"80"	"63"	"141"	"10"	"88"	"1"	"28"	"0"	"4"	"1"	"1"	"162"	"3"	"2"	"1"	"9"	"5"	"4"	"1"	"461"	""	"0"	"461"
"81"	"64"	"77"	"2"	"137"	"5"	"13"	"1"	"21"	"0"	"0"	"75"	"2"	"2"	"4"	"2"	"4"	"1"	"4"	"350"	""	"0"	"350"
"82"	"65"	"149"	"11"	"4"	"4"	"80"	"5"	"211"	"5"	"7"	"76"	"1"	"2"	"2"	"6"	"1"	"6"	"6"	"576"	""	"0"	"576"
"83"	"66"	"355"	"17"	"3"	"2"	"133"	"1"	"20"	"3"	"3"	"96"	"1"	"1"	"0"	"9"	"1"	"3"	"6"	"654"	""	"0"	"654"
"84"	"67"	"168"	"23"	"84"	"3"	"46"	"2"	"23"	"46"	"4"	"318"	"6"	"9"	"7"	"53"	"8"	"24"	"7"	"831"	""	"0"	"831"
"85"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"86"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"87"	"68"	"272"	"18"	"1"	"2"	"23"	"2"	"50"	"67"	"14"	"346"	"6"	"6"	"5"	"14"	"8"	"23"	"7"	"864"	""	"0"	"864"
"88"	"69"	"113"	"34"	"88"	"0"	"41"	"1"	"14"	"1"	"0"	"147"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"446"	""	"0"	"446"
"89"	"70"	"211"	"13"	"35"	"0"	"129"	"3"	"1"	"2"	"1"	"41"	"0"	"0"	"2"	"0"	"0"	"4"	"3"	"445"	""	"0"	"445"
"90"	"TOTAL"	"10987"	"2582"	"6547"	"241"	"4762"	"166"	"2505"	"447"	"229"	"8115"	"249"	"372"	"267"	"995"	"413"	"920"	"335"	"40132"	""	"0"	"40132"
"91"	"BF"	"10987"	"2582"	"6547"	"241"	"4762"	"166"	"2505"	"447"	"229"	"8115"	"249"	"372"	"267"	"995"	"413"	"920"	"335"	"40132"	""	"0"	"40132"
"92"	"71"	"162"	"73"	"114"	"2"	"116"	"4"	"7"	"3"	"3"	"146"	"6"	"4"	"2"	"5"	"3"	"5"	"5"	"660"	""	"0"	"660"
"93"	"72"	"169"	"31"	"162"	"2"	"142"	"2"	"1"	"0"	"2"	"263"	"6"	"4"	"1"	"3"	"2"	"6"	"13"	"809"	""	"0"	"809"
"94"	"73"	"225"	"7"	"5"	"1"	"73"	"2"	"4"	"1"	"3"	"74"	"4"	"3"	"7"	"87"	"5"	"17"	"3"	"521"	""	"0"	"521"
"95"	"74"	"341"	"22"	"46"	"2"	"52"	"9"	"31"	"2"	"2"	"77"	"3"	"1"	"2"	"27"	"7"	"7"	"9"	"640"	""	"0"	"640"
"96"	"75"	"110"	"130"	"158"	"3"	"55"	"1"	"31"	"1"	"2"	"262"	"5"	"4"	"1"	"7"	"5"	"5"	"6"	"786"	""	"0"	"786"
"97"	"76"	"121"	"11"	"4"	"3"	"110"	"5"	"2"	"1"	"3"	"107"	"3"	"1"	"4"	"8"	"1"	"8"	"9"	"401"	""	"0"	"401"
"98"	"77"	"98"	"50"	"12"	"0"	"33"	"4"	"1"	"4"	"0"	"24"	"1"	"2"	"1"	"13"	"2"	"6"	"2"	"253"	""	"0"	"253"
"99"	"78"	"274"	"15"	"62"	"1"	"122"	"2"	"4"	"18"	"3"	"129"	"3"	"1"	"2"	"12"	"2"	"8"	"4"	"662"	""	"0"	"662"
"100"	"79"	"101"	"6"	"13"	"0"	"166"	"4"	"3"	"12"	"2"	"187"	"7"	"4"	"2"	"1"	"4"	"10"	"2"	"524"	""	"0"	"524"
"101"	"80"	"140"	"14"	"127"	"3"	"25"	"0"	"1"	"1"	"4"	"61"	"2"	"2"	"1"	"0"	"2"	"2"	"5"	"390"	""	"0"	"390"
"102"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"103"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"104"	"81"	"41"	"7"	"16"	"1"	"14"	"1"	"1"	"1"	"6"	"162"	"3"	"0"	"0"	"7"	"1"	"6"	"1"	"268"	""	"0"	"268"
"105"	"82"	"142"	"48"	"171"	"5"	"112"	"2"	"7"	"2"	"3"	"71"	"2"	"0"	"3"	"1"	"2"	"4"	"9"	"584"	""	"0"	"584"
"106"	"83"	"180"	"27"	"74"	"0"	"122"	"1"	"3"	"0"	"0"	"69"	"1"	"0"	"1"	"0"	"1"	"4"	"1"	"484"	""	"0"	"484"
"107"	"84"	"82"	"29"	"158"	"0"	"203"	"0"	"7"	"14"	"0"	"56"	"0"	"4"	"6"	"6"	"0"	"4"	"3"	"572"	""	"0"	"572"
"108"	"TOTAL"	"13173"	"3052"	"7669"	"264"	"6107"	"203"	"2608"	"507"	"262"	"9803"	"295"	"402"	"300"	"1172"	"450"	"1012"	"407"	"47686"	""	"0"	"47686"
"109"	"BF"	"13173"	"3052"	"7669"	"264"	"6107"	"203"	"2608"	"507"	"262"	"9803"	"295"	"402"	"300"	"1172"	"450"	"1012"	"407"	"47686"	""	"0"	"47686"
"110"	"85"	"132"	"58"	"45"	"1"	"94"	"0"	"3"	"2"	"1"	"156"	"9"	"3"	"1"	"10"	"0"	"2"	"4"	"521"	""	"0"	"521"
"111"	"86"	"184"	"26"	"34"	"3"	"311"	"4"	"3"	"0"	"8"	"8"	"1"	"3"	"1"	"14"	"0"	"3"	"15"	"618"	""	"0"	"618"
"112"	"87"	"170"	"15"	"292"	"8"	"134"	"6"	"12"	"0"	"3"	"4"	"3"	"4"	"6"	"37"	"4"	"4"	"12"	"714"	""	"0"	"714"
"113"	"88"	"32"	"48"	"191"	"2"	"200"	"4"	"2"	"1"	"0"	"21"	"6"	"14"	"6"	"8"	"3"	"15"	"2"	"555"	""	"0"	"555"
"114"	"89"	"102"	"34"	"7"	"3"	"52"	"7"	"94"	"9"	"5"	"229"	"2"	"6"	"4"	"8"	"118"	"8"	"4"	"692"	""	"0"	"692"
"115"	"90"	"124"	"16"	"34"	"1"	"10"	"0"	"13"	"9"	"2"	"139"	"2"	"3"	"0"	"41"	"4"	"0"	"3"	"401"	""	"0"	"401"
"116"	"91"	"37"	"2"	"2"	"1"	"80"	"1"	"1"	"2"	"5"	"308"	"4"	"3"	"3"	"12"	"4"	"6"	"3"	"474"	""	"0"	"474"
"117"	"91A"	"19"	"19"	"101"	"4"	"100"	"6"	"3"	"2"	"7"	"188"	"5"	"2"	"3"	"4"	"4"	"2"	"3"	"472"	""	"0"	"472"
"118"	"92"	"99"	"10"	"123"	"3"	"91"	"1"	"2"	"0"	"2"	"30"	"0"	"4"	"0"	"19"	"4"	"13"	"6"	"407"	""	"0"	"407"
"119"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	"NO. OF RAJECTED VOTES"	"TOTAL"
"120"	""	"Ambika Singh"	"Parshuram Tiwari"	"Dr. Prabhawati Devi"	"Saroj Ansari"	"Sudhakar Singh"	"Amar Dayal Singh"	"Jamuna Singh"	"Baban Singh"	"Sushil Kumar Singh"	"Ashok Kumar Singh"	"Ashok Tiwari"	"Chhote Lal"	"Chhote Lal Ram"	"Malti Gupta"	"Ram Karan Bind"	"Ram Bachan Singh"	"Vanshlochan Ram"	""	""	""	""
"121"	"93"	"232"	"31"	"20"	"1"	"155"	"3"	"6"	"1"	"1"	"147"	"5"	"4"	"3"	"26"	"5"	"18"	"12"	"670"	""	"0"	"670"
"122"	"94"	"55"	"7"	"139"	"6"	"174"	"4"	"1"	"2"	"0"	"86"	"5"	"1"	"4"	"15"	"5"	"9"	"7"	"520"	""	"0"	"520"
"123"	"95"	"188"	"28"	"386"	"8"	"48"	"3"	"1"	"3"	"2"	"82"	"4"	"6"	"2"	"32"	"6"	"14"	"45"	"858"	""	"0"	"858"
"124"	"96"	"387"	"38"	"184"	"6"	"144"	"4"	"2"	"2"	"4"	"72"	"9"	"8"	"7"	"26"	"6"	"17"	"8"	"924"	""	"0"	"924"
"125"	"97"	"255"	"15"	"217"	"2"	"115"	"8"	"14"	"2"	"1"	"129"	"4"	"6"	"1"	"15"	"1"	"3"	"5"	"793"	""	"0"	"793"
"126"	"TOTAL"	"15189"	"3399"	"9444"	"313"	"7815"	"254"	"2765"	"542"	"303"	"11402"	"354"	"469"	"341"	"1439"	"614"	"1126"	"536"	"56305"	""	"0"	"56305"
"127"	"BF"	"15189"	"3399"	"9444"	"313"	"7815"	"254"	"2765"	"542"	"303"	"11402"	"354"	"469"	"341"	"1439"	"614"	"1126"	"536"	"56305"	""	"0"	"56305"
"128"	"98"	"213"	"55"	"35"	"2"	"80"	"2"	"6"	"1"	"0"	"25"	"0"	"1"	"4"	"7"	"4"	"5"	"3"	"443"	""	"0"	"443"
"129"	"99"	"44"	"12"	"112"	"1"	"81"	"3"	"12"	"3"	"2"	"266"	"0"	"2"	"1"	"5"	"0"	"11"	"1"	"556"	""	"0"	"556"
"130"	"100"	"26"	"37"	"234"	"7"	"59"	"4"	"1"	"5"	"4"	"195"	"3"	"6"	"5"	"5"	"3"	"6"	"6"	"606"	""	"0"	"606"
"131"	"101"	"117"	"15"	"9"	"1"	"159"	"2"	"1"	"2"	"1"	"133"	"1"	"3"	"1"	"40"	"2"	"3"	"4"	"494"	""	"0"	"494"
"132"	"102"	"227"	"13"	"18"	"1"	"283"	"5"	"25"	"5"	"2"	"139"	"2"	"6"	"1"	"7"	"5"	"14"	"8"	"761"	""	"0"	"761"
"133"	"103"	"159"	"17"	"17"	"2"	"498"	"7"	"35"	"2"	"10"	"31"	"1"	"11"	"6"	"13"	"0"	"4"	"3"	"816"	""	"0"	"816"
"134"	"104"	"267"	"25"	"98"	"6"	"321"	"5"	"29"	"6"	"1"	"6"	"7"	"14"	"21"	"7"	"0"	"5"	"6"	"824"	""	"0"	"824"
"135"	"105"	"111"	"43"	"4"	"5"	"278"	"5"	"1"	"2"	"6"	"128"	"2"	"4"	"1"	"48"	"4"	"16"	"4"	"662"	""	"0"	"662"
