"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total..Valid.Votes"
"24"	"23"	"2"	"4"	"7"	"221"	"8"	"0"	"2"	"0"	"0"	"2"	"246"
"25"	"24"	"6"	"14"	"318"	"124"	"20"	"0"	"4"	"8"	"2"	"7"	"503"
"26"	"25"	"17"	"6"	"197"	"145"	"13"	"2"	"9"	"6"	"8"	"21"	"424"
"27"	"26"	"31"	"11"	"388"	"157"	"6"	"1"	"4"	"4"	"9"	"19"	"630"
"28"	"27"	"56"	"12"	"112"	"74"	"7"	"3"	"0"	"4"	"3"	"6"	"277"
"29"	"28"	"21"	"6"	"161"	"87"	"10"	"1"	"7"	"2"	"7"	"12"	"314"
"30"	"29"	"58"	"12"	"278"	"152"	"36"	"3"	"14"	"6"	"5"	"13"	"577"
"31"	"30"	"5"	"5"	"113"	"75"	"22"	"1"	"6"	"4"	"7"	"5"	"243"
"32"	"31"	"117"	"20"	"299"	"30"	"7"	"1"	"8"	"9"	"6"	"16"	"513"
"33"	"32"	"54"	"8"	"258"	"58"	"4"	"2"	"3"	"6"	"4"	"7"	"404"
"34"	"33"	"9"	"16"	"253"	"183"	"13"	"0"	"3"	"1"	"0"	"6"	"484"
"35"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"36"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"37"	"34"	"13"	"7"	"271"	"130"	"6"	"0"	"0"	"1"	"1"	"4"	"433"
"38"	"35"	"15"	"8"	"307"	"156"	"25"	"1"	"7"	"10"	"7"	"11"	"547"
"39"	"36"	"114"	"11"	"302"	"8"	"7"	"1"	"4"	"7"	"2"	"7"	"463"
"40"	"37"	"46"	"9"	"366"	"39"	"15"	"3"	"10"	"16"	"10"	"25"	"539"
"41"	"38"	"53"	"9"	"462"	"96"	"21"	"2"	"2"	"4"	"5"	"7"	"661"
"42"	"39"	"44"	"15"	"323"	"33"	"7"	"2"	"3"	"7"	"5"	"11"	"450"
"43"	"40"	"154"	"12"	"284"	"26"	"19"	"3"	"8"	"5"	"6"	"18"	"535"
"44"	"41"	"13"	"12"	"126"	"257"	"12"	"4"	"15"	"9"	"3"	"14"	"465"
"45"	"42"	"23"	"3"	"182"	"162"	"20"	"2"	"4"	"3"	"5"	"10"	"414"
"46"	"43"	"68"	"11"	"177"	"146"	"27"	"6"	"7"	"7"	"5"	"18"	"472"
"47"	"44"	"78"	"21"	"340"	"110"	"6"	"1"	"6"	"10"	"7"	"24"	"603"
"48"	"45"	"134"	"7"	"180"	"36"	"5"	"1"	"1"	"3"	"3"	"5"	"375"
"49"	"46"	"26"	"10"	"289"	"173"	"28"	"3"	"10"	"2"	"1"	"9"	"551"
"50"	"47"	"8"	"3"	"37"	"138"	"6"	"1"	"3"	"1"	"0"	"1"	"198"
"51"	"48"	"19"	"19"	"299"	"267"	"17"	"2"	"8"	"11"	"8"	"27"	"677"
"52"	"49"	"40"	"53"	"164"	"92"	"14"	"1"	"5"	"1"	"2"	"8"	"380"
"53"	"50"	"10"	"12"	"203"	"86"	"7"	"0"	"9"	"4"	"3"	"5"	"339"
"54"	"51"	"76"	"117"	"210"	"79"	"5"	"3"	"11"	"10"	"7"	"22"	"540"
"55"	"52"	"3"	"40"	"17"	"118"	"4"	"1"	"2"	"0"	"0"	"4"	"189"
"56"	"53"	"1"	"5"	"169"	"45"	"15"	"0"	"0"	"2"	"1"	"3"	"241"
"57"	"54"	"2"	"3"	"234"	"29"	"4"	"1"	"1"	"0"	"0"	"1"	"275"
"58"	"55"	"3"	"4"	"228"	"158"	"16"	"4"	"6"	"14"	"9"	"14"	"456"
"59"	"56"	"9"	"1"	"592"	"19"	"1"	"1"	"1"	"3"	"1"	"1"	"629"
"60"	"57"	"27"	"8"	"335"	"27"	"20"	"0"	"0"	"3"	"1"	"5"	"426"
"61"	"58"	"1"	"16"	"178"	"28"	"1"	"0"	"1"	"0"	"2"	"1"	"228"
"62"	"59"	"4"	"28"	"340"	"47"	"22"	"1"	"3"	"8"	"3"	"10"	"466"
"63"	"60"	"27"	"98"	"172"	"167"	"14"	"2"	"8"	"10"	"1"	"12"	"511"
"64"	"61"	"22"	"26"	"149"	"130"	"18"	"1"	"5"	"1"	"4"	"4"	"360"
"65"	"62"	"8"	"37"	"287"	"14"	"20"	"2"	"3"	"1"	"3"	"6"	"381"
"66"	"63"	"6"	"8"	"165"	"362"	"8"	"0"	"5"	"2"	"1"	"12"	"569"
"67"	"64"	"7"	"16"	"163"	"163"	"16"	"3"	"4"	"2"	"2"	"4"	"380"
"68"	"65"	"11"	"3"	"209"	"127"	"5"	"1"	"2"	"4"	"6"	"11"	"379"
"69"	"66"	"23"	"6"	"386"	"98"	"25"	"3"	"7"	"8"	"4"	"15"	"575"
"70"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"71"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"72"	"67"	"6"	"54"	"330"	"145"	"5"	"1"	"3"	"2"	"0"	"8"	"554"
"73"	"68"	"39"	"7"	"549"	"93"	"6"	"5"	"5"	"8"	"9"	"5"	"726"
"74"	"69"	"9"	"17"	"543"	"84"	"10"	"1"	"7"	"2"	"3"	"7"	"683"
"75"	"70"	"16"	"9"	"360"	"82"	"3"	"1"	"2"	"2"	"3"	"10"	"488"
"76"	"71"	"33"	"8"	"327"	"53"	"20"	"1"	"7"	"9"	"6"	"11"	"475"
"77"	"72"	"31"	"11"	"423"	"104"	"16"	"3"	"13"	"9"	"6"	"16"	"632"
"78"	"73"	"32"	"7"	"351"	"5"	"3"	"0"	"3"	"2"	"2"	"2"	"407"
"79"	"74"	"107"	"5"	"124"	"126"	"11"	"3"	"1"	"3"	"2"	"11"	"393"
"80"	"75"	"0"	"3"	"15"	"193"	"6"	"1"	"1"	"0"	"1"	"0"	"220"
"81"	"76"	"68"	"21"	"280"	"92"	"22"	"2"	"7"	"14"	"6"	"13"	"525"
"82"	"77"	"2"	"8"	"27"	"177"	"17"	"3"	"1"	"0"	"1"	"0"	"236"
"83"	"78"	"6"	"11"	"77"	"349"	"16"	"4"	"1"	"6"	"4"	"7"	"481"
"84"	"79"	"4"	"0"	"122"	"64"	"0"	"0"	"0"	"0"	"1"	"2"	"193"
"85"	"80"	"9"	"4"	"21"	"347"	"10"	"0"	"2"	"1"	"1"	"3"	"398"
"86"	"81"	"7"	"4"	"32"	"147"	"4"	"1"	"1"	"0"	"1"	"2"	"199"
"87"	"82"	"8"	"5"	"267"	"52"	"3"	"1"	"5"	"2"	"0"	"7"	"350"
"88"	"83"	"0"	"1"	"22"	"180"	"4"	"0"	"0"	"2"	"0"	"0"	"209"
"89"	"84"	"36"	"7"	"330"	"22"	"1"	"2"	"2"	"4"	"9"	"7"	"420"
"90"	"85"	"6"	"9"	"227"	"59"	"9"	"3"	"3"	"5"	"5"	"14"	"340"
"91"	"86"	"7"	"3"	"135"	"245"	"7"	"4"	"8"	"8"	"2"	"7"	"426"
"92"	"87"	"1"	"1"	"149"	"145"	"7"	"1"	"4"	"0"	"2"	"3"	"313"
"93"	"88"	"31"	"6"	"167"	"272"	"17"	"2"	"8"	"7"	"3"	"7"	"520"
"94"	"89"	"3"	"10"	"75"	"386"	"9"	"1"	"1"	"1"	"0"	"0"	"486"
"95"	"90"	"2"	"2"	"523"	"6"	"3"	"1"	"0"	"0"	"2"	"1"	"540"
"96"	"91"	"23"	"7"	"163"	"136"	"20"	"0"	"3"	"3"	"4"	"7"	"366"
"97"	"92"	"53"	"12"	"408"	"107"	"22"	"3"	"6"	"12"	"7"	"18"	"648"
"98"	"93"	"27"	"8"	"319"	"61"	"3"	"3"	"6"	"3"	"2"	"4"	"436"
"99"	"94"	"53"	"8"	"162"	"94"	"6"	"3"	"7"	"6"	"4"	"10"	"353"
"100"	"95"	"30"	"5"	"322"	"50"	"1"	"2"	"2"	"3"	"4"	"7"	"426"
"101"	"96"	"11"	"6"	"231"	"74"	"11"	"1"	"2"	"4"	"1"	"8"	"349"
"102"	"97"	"31"	"7"	"363"	"118"	"7"	"4"	"3"	"0"	"2"	"7"	"542"
"103"	"98"	"1"	"5"	"298"	"159"	"8"	"0"	"2"	"3"	"2"	"7"	"485"
"104"	"99"	"12"	"11"	"640"	"58"	"14"	"5"	"2"	"1"	"8"	"5"	"756"
"105"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"106"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"107"	"100"	"14"	"4"	"336"	"51"	"8"	"2"	"4"	"0"	"2"	"2"	"423"
"108"	"101"	"78"	"11"	"220"	"40"	"6"	"2"	"5"	"9"	"3"	"12"	"386"
"109"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"110"	"103"	"17"	"65"	"475"	"61"	"16"	"1"	"8"	"5"	"3"	"17"	"668"
"111"	"104"	"1"	"2"	"218"	"112"	"6"	"1"	"5"	"1"	"0"	"3"	"349"
"112"	"105"	"13"	"5"	"444"	"116"	"13"	"6"	"11"	"11"	"15"	"28"	"662"
"113"	"106"	"36"	"16"	"329"	"66"	"29"	"3"	"5"	"2"	"11"	"12"	"509"
"114"	"107"	"16"	"13"	"187"	"65"	"2"	"2"	"4"	"2"	"2"	"5"	"298"
"115"	"108"	"8"	"8"	"126"	"172"	"3"	"4"	"3"	"3"	"2"	"4"	"333"
"116"	"109"	"43"	"23"	"323"	"92"	"4"	"2"	"4"	"6"	"6"	"16"	"519"
"117"	"110"	"9"	"13"	"81"	"228"	"14"	"2"	"0"	"1"	"3"	"12"	"363"
"118"	"111"	"72"	"5"	"196"	"106"	"5"	"4"	"4"	"6"	"2"	"12"	"412"
"119"	"112"	"8"	"14"	"62"	"384"	"52"	"11"	"5"	"2"	"8"	"17"	"563"
"120"	"113"	"12"	"20"	"317"	"72"	"10"	"1"	"7"	"8"	"2"	"5"	"454"
"121"	"114"	"1"	"11"	"380"	"77"	"8"	"0"	"1"	"6"	"0"	"1"	"485"
"122"	"115"	"59"	"26"	"284"	"135"	"9"	"4"	"4"	"8"	"3"	"3"	"535"
"123"	"116"	"5"	"7"	"415"	"17"	"4"	"0"	"1"	"2"	"1"	"4"	"456"
"124"	"117"	"74"	"8"	"220"	"9"	"3"	"3"	"5"	"6"	"7"	"15"	"350"
"125"	"118"	"32"	"13"	"410"	"38"	"7"	"3"	"6"	"11"	"13"	"17"	"550"
"126"	"119"	"6"	"23"	"187"	"124"	"24"	"3"	"4"	"4"	"3"	"20"	"398"
"127"	"120"	"136"	"7"	"101"	"134"	"17"	"2"	"5"	"0"	"6"	"16"	"424"
"128"	"121"	"64"	"16"	"339"	"135"	"38"	"8"	"5"	"1"	"6"	"15"	"627"
"129"	"122"	"18"	"11"	"233"	"235"	"24"	"3"	"12"	"4"	"3"	"4"	"547"
"130"	"123"	"5"	"5"	"188"	"60"	"4"	"0"	"3"	"5"	"2"	"8"	"280"
"131"	"124"	"6"	"3"	"207"	"15"	"8"	"0"	"2"	"2"	"2"	"3"	"248"
"132"	"125"	"4"	"69"	"317"	"76"	"4"	"0"	"5"	"6"	"2"	"9"	"492"
"133"	"126"	"16"	"7"	"174"	"155"	"9"	"6"	"6"	"5"	"1"	"11"	"390"
"134"	"127"	"0"	"2"	"27"	"4"	"351"	"2"	"0"	"0"	"0"	"1"	"387"
"135"	"128"	"63"	"3"	"350"	"17"	"7"	"1"	"2"	"1"	"3"	"7"	"454"
"136"	"129"	"13"	"2"	"164"	"120"	"46"	"6"	"4"	"1"	"1"	"5"	"362"
"137"	"130"	"7"	"4"	"93"	"147"	"19"	"2"	"0"	"0"	"0"	"1"	"273"
"138"	"131"	"2"	"5"	"297"	"15"	"13"	"1"	"0"	"8"	"0"	"4"	"345"
"139"	"132"	"33"	"87"	"87"	"85"	"60"	"5"	"1"	"4"	"4"	"9"	"375"
"140"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"141"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"142"	"133"	"29"	"28"	"298"	"27"	"24"	"3"	"3"	"5"	"2"	"7"	"426"
"143"	"134"	"3"	"32"	"190"	"59"	"4"	"5"	"2"	"1"	"0"	"4"	"300"
"144"	"135"	"16"	"32"	"232"	"69"	"13"	"3"	"5"	"8"	"0"	"1"	"379"
"145"	"136"	"1"	"31"	"211"	"8"	"2"	"0"	"1"	"0"	"1"	"2"	"257"
"146"	"137"	"15"	"136"	"249"	"44"	"100"	"5"	"3"	"4"	"7"	"5"	"568"
"147"	"138"	"6"	"45"	"66"	"125"	"8"	"4"	"10"	"3"	"3"	"3"	"273"
"148"	"139"	"46"	"29"	"92"	"145"	"9"	"1"	"4"	"8"	"3"	"1"	"338"
"149"	"140"	"21"	"77"	"176"	"123"	"26"	"0"	"3"	"6"	"2"	"6"	"440"
"150"	"141"	"0"	"5"	"235"	"37"	"3"	"0"	"0"	"0"	"0"	"4"	"284"
"151"	"142"	"4"	"50"	"254"	"6"	"8"	"4"	"2"	"6"	"2"	"5"	"341"
"152"	"143"	"79"	"49"	"174"	"32"	"15"	"1"	"1"	"3"	"2"	"11"	"367"
"153"	"144"	"53"	"18"	"429"	"51"	"6"	"1"	"1"	"2"	"5"	"4"	"570"
"154"	"145"	"5"	"17"	"104"	"69"	"17"	"0"	"2"	"1"	"2"	"7"	"224"
"155"	"146"	"3"	"15"	"137"	"16"	"1"	"0"	"1"	"0"	"1"	"1"	"175"
"156"	"147"	"6"	"129"	"26"	"12"	"1"	"0"	"1"	"0"	"1"	"3"	"179"
"157"	"148"	"8"	"88"	"321"	"54"	"11"	"0"	"2"	"4"	"9"	"5"	"502"
"158"	"149"	"25"	"46"	"214"	"58"	"7"	"1"	"3"	"3"	"1"	"3"	"361"
"159"	"150"	"2"	"14"	"29"	"75"	"7"	"1"	"2"	"4"	"1"	"4"	"139"
"160"	"151"	"14"	"12"	"256"	"191"	"13"	"3"	"6"	"5"	"4"	"5"	"509"
"161"	"152"	"25"	"12"	"344"	"99"	"10"	"5"	"1"	"5"	"4"	"10"	"515"
"162"	"153"	"10"	"7"	"68"	"160"	"12"	"2"	"8"	"3"	"6"	"12"	"288"
"163"	"154"	"39"	"9"	"281"	"200"	"21"	"11"	"11"	"8"	"14"	"17"	"611"
"164"	"155"	"6"	"20"	"154"	"26"	"0"	"1"	"1"	"0"	"1"	"2"	"211"
"165"	"156"	"2"	"16"	"59"	"251"	"16"	"0"	"1"	"3"	"0"	"6"	"354"
"166"	"157"	"7"	"5"	"28"	"169"	"14"	"3"	"0"	"6"	"1"	"4"	"237"
"167"	"158"	"1"	"43"	"197"	"79"	"10"	"4"	"4"	"4"	"3"	"7"	"352"
"168"	"159"	"3"	"70"	"19"	"52"	"4"	"0"	"8"	"5"	"5"	"14"	"180"
"169"	"160"	"5"	"79"	"24"	"30"	"3"	"1"	"0"	"0"	"1"	"3"	"146"
"170"	"161"	"4"	"16"	"49"	"228"	"6"	"0"	"0"	"1"	"1"	"0"	"305"
"171"	"162"	"84"	"146"	"81"	"63"	"14"	"3"	"2"	"1"	"4"	"11"	"409"
"172"	"163"	"7"	"83"	"244"	"62"	"11"	"5"	"5"	"6"	"9"	"7"	"439"
"173"	"164"	"12"	"120"	"100"	"205"	"13"	"3"	"4"	"2"	"7"	"8"	"474"
"174"	"165"	"21"	"252"	"108"	"46"	"14"	"2"	"2"	"2"	"14"	"20"	"481"
"175"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"176"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"177"	"166"	"8"	"12"	"96"	"121"	"11"	"5"	"2"	"2"	"0"	"3"	"260"
"178"	"167"	"5"	"35"	"193"	"52"	"8"	"2"	"7"	"8"	"8"	"9"	"327"
"179"	"168"	"11"	"174"	"78"	"55"	"5"	"1"	"2"	"6"	"11"	"4"	"347"
"180"	"169"	"13"	"20"	"272"	"135"	"13"	"3"	"5"	"9"	"3"	"8"	"481"
"181"	"170"	"6"	"8"	"26"	"324"	"8"	"2"	"3"	"0"	"0"	"0"	"377"
"182"	"171"	"63"	"44"	"120"	"84"	"6"	"3"	"4"	"4"	"1"	"4"	"333"
"183"	"172"	"18"	"71"	"181"	"34"	"7"	"0"	"4"	"6"	"0"	"8"	"329"
"184"	"173"	"93"	"12"	"252"	"42"	"4"	"1"	"1"	"4"	"2"	"5"	"416"
"185"	"174"	"2"	"8"	"175"	"105"	"4"	"1"	"1"	"2"	"0"	"2"	"300"
"186"	"175"	"30"	"11"	"194"	"392"	"28"	"5"	"5"	"2"	"5"	"13"	"685"
"187"	"176"	"0"	"14"	"105"	"242"	"12"	"1"	"2"	"1"	"1"	"3"	"381"
"188"	"177"	"14"	"21"	"507"	"103"	"8"	"5"	"7"	"16"	"7"	"18"	"706"
"189"	"178"	"5"	"2"	"387"	"37"	"4"	"2"	"2"	"4"	"1"	"0"	"444"
"190"	"179"	"6"	"3"	"273"	"101"	"4"	"1"	"2"	"2"	"3"	"6"	"401"
"191"	"180"	"31"	"5"	"157"	"72"	"75"	"0"	"0"	"2"	"4"	"2"	"348"
"192"	"181"	"3"	"18"	"12"	"186"	"21"	"3"	"6"	"2"	"2"	"3"	"256"
"193"	"182"	"3"	"25"	"318"	"71"	"3"	"1"	"2"	"4"	"2"	"1"	"430"
"194"	"183"	"31"	"33"	"131"	"209"	"18"	"3"	"2"	"7"	"5"	"11"	"450"
"195"	"184"	"8"	"8"	"153"	"174"	"26"	"4"	"7"	"8"	"4"	"15"	"407"
"196"	"185"	"5"	"4"	"358"	"190"	"19"	"1"	"2"	"4"	"4"	"4"	"591"
"197"	"186"	"8"	"6"	"13"	"383"	"92"	"6"	"2"	"1"	"4"	"14"	"529"
"198"	"187"	"25"	"10"	"433"	"43"	"10"	"1"	"2"	"5"	"3"	"3"	"535"
"199"	"188"	"15"	"174"	"65"	"208"	"21"	"6"	"13"	"5"	"11"	"13"	"531"
"200"	"189"	"13"	"98"	"185"	"129"	"13"	"2"	"6"	"4"	"5"	"8"	"463"
"201"	"190"	"19"	"117"	"262"	"124"	"14"	"4"	"5"	"2"	"1"	"3"	"551"
"202"	"191"	"1"	"91"	"15"	"226"	"17"	"1"	"4"	"1"	"2"	"2"	"360"
"203"	"192"	"10"	"79"	"136"	"67"	"19"	"3"	"4"	"6"	"11"	"6"	"341"
"204"	"193"	"0"	"9"	"176"	"30"	"3"	"1"	"2"	"2"	"1"	"3"	"227"
"205"	"194"	"41"	"31"	"158"	"200"	"13"	"6"	"6"	"5"	"5"	"15"	"480"
"206"	"195"	"2"	"12"	"231"	"85"	"4"	"2"	"4"	"3"	"3"	"4"	"350"
"207"	"196"	"3"	"11"	"137"	"281"	"17"	"2"	"10"	"10"	"4"	"5"	"480"
"208"	"197"	"3"	"2"	"82"	"334"	"16"	"4"	"4"	"8"	"3"	"9"	"465"
"209"	"198"	"19"	"7"	"136"	"231"	"16"	"2"	"7"	"5"	"3"	"3"	"429"
"210"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"211"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"212"	"199"	"11"	"34"	"138"	"318"	"11"	"6"	"6"	"7"	"1"	"3"	"535"
"213"	"200"	"16"	"122"	"132"	"71"	"2"	"1"	"5"	"7"	"6"	"9"	"371"
"214"	"201"	"2"	"4"	"236"	"38"	"3"	"3"	"2"	"3"	"1"	"4"	"296"
"215"	"202"	"7"	"16"	"304"	"191"	"20"	"3"	"3"	"4"	"2"	"6"	"556"
"216"	"203"	"2"	"12"	"146"	"122"	"5"	"2"	"3"	"5"	"1"	"6"	"304"
"217"	"204"	"42"	"7"	"217"	"175"	"17"	"9"	"15"	"10"	"6"	"14"	"512"
"218"	"205"	"10"	"10"	"145"	"167"	"16"	"5"	"6"	"6"	"3"	"13"	"381"
"219"	"206"	"5"	"52"	"167"	"117"	"8"	"3"	"7"	"1"	"5"	"4"	"369"
"220"	"207"	"2"	"3"	"182"	"34"	"5"	"0"	"2"	"2"	"3"	"1"	"234"
"221"	"208"	"4"	"10"	"293"	"47"	"6"	"1"	"4"	"3"	"1"	"4"	"373"
"222"	"209"	"0"	"7"	"209"	"68"	"17"	"0"	"1"	"2"	"2"	"4"	"310"
"223"	"210"	"20"	"50"	"226"	"105"	"18"	"4"	"6"	"5"	"1"	"15"	"450"
"224"	"211"	"5"	"13"	"181"	"162"	"7"	"1"	"1"	"5"	"2"	"3"	"380"
"225"	"212"	"16"	"38"	"122"	"193"	"15"	"1"	"4"	"5"	"5"	"12"	"411"
"226"	"213"	"9"	"5"	"428"	"73"	"15"	"3"	"6"	"9"	"6"	"5"	"559"
"227"	"214"	"18"	"98"	"273"	"138"	"7"	"9"	"5"	"9"	"9"	"12"	"578"
"228"	"215"	"6"	"7"	"313"	"61"	"3"	"1"	"0"	"1"	"2"	"1"	"395"
"229"	"216"	"3"	"20"	"374"	"59"	"7"	"0"	"1"	"2"	"3"	"1"	"470"
"230"	"217"	"9"	"7"	"306"	"86"	"13"	"0"	"1"	"2"	"0"	"1"	"425"
"231"	"218"	"5"	"6"	"83"	"83"	"5"	"4"	"4"	"5"	"6"	"8"	"209"
"232"	"219"	"4"	"31"	"87"	"160"	"19"	"4"	"3"	"2"	"1"	"2"	"313"
"233"	"220"	"29"	"14"	"41"	"639"	"23"	"8"	"10"	"4"	"7"	"8"	"783"
"234"	"221"	"4"	"52"	"97"	"223"	"44"	"2"	"8"	"1"	"4"	"9"	"444"
"235"	"222"	"7"	"15"	"231"	"70"	"39"	"2"	"8"	"6"	"4"	"7"	"389"
"236"	"223"	"22"	"18"	"146"	"127"	"78"	"17"	"4"	"5"	"3"	"16"	"436"
"237"	"224"	"18"	"92"	"6"	"259"	"29"	"1"	"5"	"2"	"3"	"5"	"420"
"238"	"225"	"71"	"78"	"146"	"56"	"19"	"7"	"10"	"5"	"6"	"11"	"409"
"239"	"226"	"2"	"91"	"189"	"135"	"6"	"2"	"7"	"5"	"4"	"1"	"442"
"240"	"227"	"0"	"4"	"56"	"49"	"20"	"0"	"1"	"1"	"1"	"1"	"133"
"241"	"228"	"5"	"43"	"28"	"149"	"11"	"3"	"9"	"1"	"0"	"4"	"253"
"242"	"229"	"24"	"133"	"58"	"280"	"34"	"8"	"6"	"1"	"0"	"7"	"551"
"243"	"230"	"38"	"16"	"122"	"67"	"26"	"3"	"2"	"7"	"2"	"4"	"287"
"244"	"231"	"40"	"59"	"46"	"190"	"18"	"24"	"1"	"2"	"4"	"17"	"401"
"245"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total  Valid Votes"
"246"	""	"Alivendra Kumar"	"Rakesh Kumar Rousan"	"Rajib Ranjan"	"Virendra Gop"	"Vivek Sinha"	"Hemaun Kesar urf Ladun"	"Om Prakash Singh"	"Munna Ahmad"	"Prakash Chandra"	"Ranjeet Kumar"	""
"247"	"232"	"7"	"71"	"177"	"150"	"11"	"0"	"5"	"8"	"6"	"14"	"449"
"248"	"233"	"26"	"209"	"52"	"57"	"7"	"2"	"3"	"1"	"2"	"3"	"362"
"249"	"234"	"9"	"47"	"316"	"31"	"7"	"0"	"1"	"8"	"5"	"2"	"426"
"250"	"235"	"61"	"87"	"80"	"125"	"11"	"3"	"6"	"4"	"6"	"5"	"388"
"251"	"236"	"18"	"192"	"168"	"94"	"10"	"2"	"3"	"5"	"3"	"15"	"510"
