"Candidat.es..Name........"	"ANITA.RAM"	"X."	"KUSHESHWAR.DAS"	"X..1"	"RAMSEWAK.HAZARI"	"X..2"	"BISHWNATH.PASWAN"	"X..3"	"ANUP.LAL.DAS"	"X..4"	"ARVIND.KUMAR.RAM"	"X..5"	"KUSHESHWAR.MAHTO"	"X..6"	"SHATRUDHAN.KUMAR.PASWAN"	"X..7"	"SINGHESHWAR.RAM"	"X..8"	"SUNIL.PASWAN"	"X..9"	"KAILASH.PASWAN"	"X..10"	"Total.Valied.Votes"	"X..11"	"X..12"
"42"	"36A"	32	""	1	""	212	""	14	""	7	""	4	""	1	""	1	""	3	""	5	""	8	""	288	""	""
"43"	"37"	44	""	5	""	265	""	116	""	16	""	19	""	5	""	2	""	6	""	9	""	29	""	516	""	""
"44"	"38"	54	""	9	""	419	""	139	""	23	""	7	""	5	""	7	""	10	""	7	""	16	""	696	""	""
"45"	"39"	7	""	9	""	283	""	85	""	6	""	4	""	4	""	2	""	9	""	4	""	19	""	432	""	""
"46"	"40"	41	""	5	""	129	""	174	""	21	""	3	""	2	""	9	""	4	""	8	""	20	""	416	""	""
"47"	"41"	22	""	4	""	86	""	377	""	38	""	33	""	7	""	22	""	6	""	7	""	32	""	634	""	""
"48"	"42"	49	""	10	""	40	""	320	""	22	""	6	""	8	""	14	""	8	""	9	""	27	""	513	""	""
"49"	"43"	14	""	8	""	71	""	172	""	18	""	4	""	3	""	8	""	3	""	4	""	14	""	319	""	""
"50"	"44"	98	""	20	""	177	""	135	""	21	""	7	""	10	""	5	""	8	""	9	""	24	""	514	""	""
"51"	"45"	66	""	18	""	215	""	223	""	17	""	10	""	8	""	9	""	18	""	17	""	42	""	643	""	""
"52"	"46"	90	""	8	""	295	""	83	""	13	""	3	""	4	""	1	""	6	""	4	""	19	""	526	""	""
"53"	"47"	19	""	11	""	187	""	161	""	22	""	2	""	2	""	0	""	4	""	5	""	9	""	422	""	""
"54"	"48"	14	""	1	""	77	""	95	""	4	""	2	""	2	""	2	""	3	""	9	""	14	""	223	""	""
"55"	"49"	57	""	1	""	290	""	34	""	3	""	22	""	0	""	0	""	0	""	1	""	3	""	411	""	""
"56"	"50"	34	""	5	""	224	""	99	""	17	""	28	""	7	""	6	""	14	""	14	""	37	""	485	""	""
"57"	"51"	12	""	4	""	142	""	33	""	4	""	12	""	1	""	1	""	3	""	1	""	13	""	226	""	""
"58"	"52"	25	""	1	""	120	""	177	""	5	""	17	""	3	""	1	""	4	""	5	""	9	""	367	""	""
"59"	"53"	41	""	9	""	271	""	152	""	20	""	9	""	3	""	3	""	5	""	9	""	12	""	534	""	""
"60"	"54"	12	""	2	""	159	""	185	""	16	""	8	""	4	""	4	""	6	""	11	""	34	""	441	""	""
"61"	"55"	19	""	6	""	51	""	282	""	34	""	7	""	6	""	16	""	8	""	6	""	19	""	454	""	""
"62"	"56"	69	""	9	""	142	""	109	""	20	""	4	""	4	""	1	""	3	""	4	""	7	""	372	""	""
"63"	"57"	40	""	4	""	140	""	190	""	7	""	1	""	1	""	9	""	4	""	3	""	16	""	415	""	""
"64"	"57A"	21	""	3	""	54	""	167	""	11	""	7	""	5	""	4	""	1	""	1	""	4	""	278	""	""
"65"	"58"	28	""	4	""	77	""	248	""	11	""	5	""	9	""	4	""	5	""	4	""	19	""	414	""	""
"66"	"59"	11	""	2	""	5	""	347	""	13	""	1	""	5	""	3	""	0	""	4	""	1	""	392	""	""
"67"	"60"	27	""	5	""	146	""	267	""	19	""	7	""	11	""	6	""	3	""	6	""	11	""	508	""	""
"68"	"61"	16	""	2	""	244	""	109	""	7	""	6	""	5	""	2	""	11	""	13	""	23	""	438	""	""
"69"	"62"	38	""	7	""	239	""	170	""	31	""	68	""	7	""	7	""	5	""	13	""	24	""	609	""	""
"70"	"63"	24	""	1	""	184	""	38	""	4	""	76	""	4	""	5	""	7	""	13	""	17	""	373	""	""
"71"	"64"	46	""	3	""	214	""	22	""	5	""	19	""	4	""	42	""	4	""	12	""	14	""	385	""	""
"72"	"65"	47	""	18	""	338	""	179	""	27	""	72	""	5	""	37	""	11	""	8	""	28	""	770	""	""
"73"	"66"	27	""	2	""	238	""	26	""	4	""	4	""	3	""	5	""	7	""	6	""	15	""	337	""	""
"74"	"67"	24	""	8	""	248	""	343	""	37	""	19	""	6	""	9	""	6	""	10	""	35	""	745	""	""
"75"	"68"	27	""	8	""	372	""	131	""	17	""	11	""	5	""	6	""	20	""	9	""	37	""	643	""	""
"76"	"69"	76	""	8	""	239	""	223	""	30	""	1	""	3	""	5	""	14	""	7	""	30	""	636	""	""
"77"	"70"	17	""	4	""	349	""	185	""	12	""	12	""	1	""	7	""	16	""	8	""	15	""	626	""	""
"78"	"71"	34	""	1	""	308	""	5	""	0	""	1	""	4	""	1	""	5	""	3	""	11	""	373	""	""
"79"	"72"	36	""	8	""	261	""	22	""	4	""	6	""	3	""	5	""	6	""	2	""	20	""	373	""	""
"80"	"73"	18	""	5	""	241	""	37	""	8	""	1	""	5	""	2	""	6	""	11	""	31	""	365	""	""
"81"	"73A"	21	""	6	""	87	""	147	""	19	""	5	""	2	""	3	""	2	""	1	""	12	""	305	""	""
"82"	"74"	60	""	7	""	359	""	11	""	4	""	2	""	1	""	5	""	4	""	4	""	10	""	467	""	""
"83"	"75"	21	""	1	""	198	""	8	""	1	""	4	""	5	""	1	""	8	""	5	""	32	""	284	""	""
"84"	"76"	40	""	2	""	259	""	136	""	8	""	5	""	5	""	1	""	5	""	5	""	15	""	481	""	""
"85"	"77"	49	""	7	""	320	""	90	""	7	""	3	""	1	""	4	""	4	""	11	""	13	""	509	""	""
"86"	"78"	35	""	8	""	296	""	181	""	33	""	15	""	9	""	5	""	6	""	8	""	17	""	613	""	""
"87"	"79"	53	""	15	""	376	""	255	""	24	""	4	""	5	""	9	""	5	""	11	""	19	""	776	""	""
"88"	"80"	108	""	4	""	318	""	154	""	8	""	4	""	4	""	4	""	12	""	12	""	31	""	659	""	""
"89"	"81"	33	""	5	""	167	""	61	""	26	""	17	""	6	""	0	""	2	""	6	""	10	""	333	""	""
"90"	"82"	49	""	10	""	333	""	50	""	14	""	7	""	6	""	4	""	16	""	8	""	34	""	531	""	""
"91"	"83"	84	""	4	""	426	""	34	""	11	""	2	""	5	""	2	""	15	""	13	""	21	""	617	""	""
"92"	"84"	64	""	14	""	590	""	49	""	8	""	5	""	2	""	6	""	10	""	8	""	21	""	777	""	""
"93"	"85"	115	""	6	""	346	""	100	""	13	""	12	""	0	""	3	""	3	""	3	""	9	""	610	""	""
"94"	"86"	67	""	8	""	134	""	75	""	12	""	8	""	11	""	8	""	6	""	5	""	17	""	351	""	""
"95"	"87"	47	""	10	""	445	""	87	""	13	""	27	""	1	""	4	""	8	""	6	""	29	""	677	""	""
"96"	"88"	89	""	13	""	267	""	116	""	12	""	17	""	6	""	9	""	8	""	15	""	40	""	592	""	""
"97"	"89"	15	""	1	""	188	""	35	""	1	""	18	""	2	""	2	""	5	""	4	""	9	""	280	""	""
"98"	"90"	78	""	22	""	466	""	59	""	10	""	23	""	6	""	1	""	2	""	11	""	17	""	695	""	""
"99"	"91"	68	""	9	""	435	""	131	""	9	""	5	""	3	""	7	""	12	""	16	""	37	""	732	""	""
"100"	"92"	66	""	8	""	347	""	68	""	9	""	7	""	9	""	7	""	18	""	21	""	46	""	606	""	""
"101"	"93"	55	""	6	""	278	""	38	""	3	""	4	""	4	""	3	""	11	""	11	""	34	""	447	""	""
"102"	"94"	131	""	7	""	356	""	7	""	2	""	5	""	5	""	4	""	7	""	7	""	20	""	551	""	""
"103"	"95"	43	""	9	""	320	""	92	""	18	""	5	""	6	""	5	""	10	""	23	""	31	""	562	""	""
"104"	"96"	21	""	3	""	152	""	104	""	6	""	2	""	1	""	2	""	1	""	0	""	8	""	300	""	""
"105"	"97"	55	""	4	""	522	""	21	""	4	""	8	""	1	""	4	""	7	""	7	""	43	""	676	""	""
"106"	"98"	63	""	4	""	436	""	96	""	16	""	10	""	8	""	0	""	11	""	11	""	24	""	679	""	""
"107"	"99"	37	""	9	""	399	""	145	""	22	""	16	""	9	""	11	""	20	""	14	""	33	""	715	""	""
"108"	"100"	35	""	9	""	405	""	197	""	25	""	14	""	9	""	12	""	12	""	7	""	27	""	752	""	""
"109"	"101"	28	""	10	""	271	""	197	""	32	""	9	""	1	""	5	""	3	""	5	""	7	""	568	""	""
"110"	"102"	67	""	14	""	475	""	38	""	7	""	6	""	7	""	7	""	8	""	2	""	18	""	649	""	""
"111"	"103"	13	""	2	""	140	""	92	""	19	""	0	""	2	""	0	""	5	""	4	""	17	""	294	""	""
"112"	"104"	69	""	14	""	537	""	44	""	11	""	9	""	0	""	5	""	8	""	5	""	24	""	726	""	""
"113"	"105"	22	""	4	""	344	""	76	""	11	""	5	""	6	""	4	""	8	""	9	""	21	""	510	""	""
"114"	"106"	120	""	4	""	257	""	114	""	23	""	5	""	3	""	2	""	5	""	7	""	10	""	550	""	""
"115"	"107"	57	""	7	""	555	""	43	""	10	""	3	""	6	""	13	""	29	""	20	""	56	""	799	""	""
"116"	"108"	41	""	7	""	425	""	60	""	5	""	10	""	5	""	4	""	10	""	20	""	40	""	627	""	""
"117"	"109"	199	""	12	""	291	""	58	""	9	""	56	""	6	""	4	""	7	""	5	""	29	""	676	""	""
"118"	"110"	111	""	8	""	301	""	133	""	25	""	18	""	8	""	7	""	8	""	8	""	25	""	652	""	""
"119"	"111"	94	""	7	""	229	""	57	""	12	""	8	""	1	""	4	""	3	""	9	""	22	""	446	""	""
"120"	"111A"	71	""	5	""	169	""	19	""	5	""	1	""	3	""	0	""	1	""	3	""	13	""	290	""	""
"121"	"112"	85	""	14	""	295	""	208	""	39	""	25	""	8	""	4	""	6	""	5	""	22	""	711	""	""
"122"	"113"	51	""	2	""	491	""	38	""	3	""	0	""	1	""	0	""	2	""	5	""	11	""	604	""	""
"123"	"114"	19	""	2	""	288	""	12	""	0	""	2	""	1	""	2	""	5	""	1	""	10	""	342	""	""
"124"	"115"	30	""	8	""	139	""	79	""	14	""	5	""	1	""	4	""	5	""	6	""	10	""	301	""	""
"125"	"116"	173	""	9	""	345	""	61	""	6	""	27	""	3	""	3	""	2	""	9	""	4	""	642	""	""
"126"	"117"	25	""	5	""	311	""	91	""	8	""	26	""	10	""	2	""	6	""	9	""	12	""	505	""	""
"127"	"117A"	29	""	1	""	343	""	21	""	4	""	23	""	2	""	3	""	6	""	9	""	21	""	462	""	""
"128"	"118"	63	""	6	""	321	""	76	""	16	""	97	""	5	""	2	""	3	""	0	""	15	""	604	""	""
"129"	"119"	17	""	2	""	222	""	7	""	0	""	12	""	1	""	3	""	2	""	6	""	7	""	279	""	""
"130"	"120"	47	""	9	""	147	""	214	""	22	""	3	""	2	""	8	""	9	""	2	""	23	""	486	""	""
"131"	"121"	33	""	10	""	398	""	142	""	13	""	17	""	3	""	7	""	8	""	19	""	31	""	681	""	""
"132"	"122"	46	""	10	""	447	""	253	""	29	""	5	""	1	""	5	""	3	""	7	""	8	""	814	""	""
"133"	"123"	66	""	3	""	480	""	76	""	9	""	9	""	3	""	1	""	10	""	7	""	19	""	683	""	""
"134"	"124"	18	""	4	""	128	""	218	""	15	""	6	""	1	""	5	""	5	""	7	""	19	""	426	""	""
"135"	"125"	69	""	12	""	379	""	69	""	9	""	7	""	2	""	10	""	10	""	14	""	40	""	621	""	""
"136"	"126"	17	""	4	""	68	""	80	""	16	""	2	""	2	""	2	""	1	""	2	""	7	""	201	""	""
"137"	"127"	48	""	16	""	465	""	129	""	21	""	7	""	6	""	5	""	6	""	7	""	41	""	751	""	""
"138"	"128"	57	""	6	""	215	""	216	""	22	""	6	""	3	""	8	""	10	""	10	""	28	""	581	""	""
"139"	"129"	70	""	6	""	269	""	221	""	26	""	11	""	6	""	8	""	2	""	15	""	25	""	659	""	""
"140"	"130"	40	""	11	""	329	""	80	""	9	""	9	""	5	""	10	""	9	""	6	""	22	""	530	""	""
"141"	"131"	56	""	11	""	466	""	169	""	28	""	18	""	11	""	19	""	16	""	11	""	60	""	865	""	""
"142"	"132"	35	""	9	""	331	""	254	""	22	""	5	""	4	""	3	""	14	""	22	""	57	""	756	""	""
"143"	"133"	12	""	4	""	151	""	149	""	16	""	10	""	5	""	10	""	7	""	10	""	36	""	410	""	""
"144"	"134"	55	""	6	""	275	""	90	""	24	""	3	""	5	""	3	""	9	""	6	""	17	""	493	""	""
"145"	"135"	48	""	7	""	346	""	29	""	7	""	4	""	3	""	3	""	9	""	15	""	16	""	487	""	""
"146"	"136"	41	""	2	""	295	""	4	""	2	""	2	""	1	""	4	""	4	""	1	""	19	""	375	""	""
"147"	"137"	73	""	4	""	255	""	77	""	14	""	27	""	3	""	7	""	7	""	13	""	28	""	508	""	""
"148"	"138"	41	""	6	""	283	""	130	""	18	""	10	""	0	""	3	""	3	""	4	""	9	""	507	""	""
"149"	"139"	21	""	5	""	226	""	120	""	9	""	10	""	8	""	6	""	11	""	7	""	38	""	461	""	""
"150"	"140"	21	""	13	""	160	""	322	""	32	""	12	""	9	""	19	""	9	""	13	""	24	""	634	""	""
"151"	"141"	23	""	11	""	40	""	353	""	31	""	3	""	9	""	29	""	6	""	8	""	22	""	535	""	""
"152"	"142"	8	""	6	""	267	""	111	""	12	""	29	""	4	""	5	""	2	""	7	""	19	""	470	""	""
"153"	"143"	45	""	11	""	120	""	221	""	27	""	4	""	4	""	11	""	5	""	3	""	22	""	473	""	""
"154"	"144"	46	""	5	""	120	""	217	""	14	""	1	""	4	""	5	""	7	""	6	""	14	""	439	""	""
"155"	"145"	28	""	5	""	200	""	149	""	17	""	9	""	5	""	9	""	9	""	10	""	32	""	473	""	""
"156"	"145A"	15	""	2	""	67	""	131	""	8	""	4	""	0	""	3	""	1	""	8	""	7	""	246	""	""
"157"	"146"	37	""	5	""	130	""	334	""	45	""	5	""	4	""	17	""	3	""	15	""	30	""	625	""	""
"158"	"147"	39	""	5	""	320	""	99	""	14	""	2	""	2	""	9	""	5	""	4	""	6	""	505	""	""
"159"	"148"	81	""	2	""	198	""	44	""	5	""	1	""	2	""	0	""	2	""	1	""	12	""	348	""	""
"160"	"149"	62	""	6	""	292	""	69	""	4	""	3	""	2	""	5	""	7	""	12	""	32	""	494	""	""
"161"	"150"	76	""	8	""	208	""	122	""	14	""	4	""	1	""	5	""	1	""	6	""	25	""	470	""	""
"162"	"151"	57	""	1	""	206	""	37	""	1	""	4	""	0	""	5	""	8	""	3	""	15	""	337	""	""
"163"	"152"	78	""	11	""	167	""	167	""	28	""	34	""	7	""	8	""	2	""	4	""	12	""	518	""	""
"164"	"153"	83	""	8	""	255	""	294	""	28	""	48	""	7	""	7	""	11	""	6	""	40	""	787	""	""
"165"	"154"	51	""	6	""	223	""	119	""	17	""	1	""	4	""	4	""	2	""	3	""	21	""	451	""	""
"166"	"155"	56	""	0	""	168	""	55	""	4	""	4	""	1	""	3	""	1	""	1	""	5	""	298	""	""
"167"	"156"	129	""	22	""	253	""	204	""	27	""	14	""	8	""	11	""	12	""	14	""	29	""	723	""	""
"168"	"157"	151	""	6	""	90	""	272	""	25	""	7	""	1	""	6	""	7	""	14	""	27	""	606	""	""
"169"	"158"	55	""	1	""	36	""	390	""	33	""	5	""	5	""	11	""	6	""	7	""	17	""	566	""	""
"170"	"158A"	32	""	13	""	80	""	209	""	24	""	6	""	2	""	3	""	3	""	2	""	7	""	381	""	""
"171"	"159"	45	""	8	""	147	""	166	""	25	""	13	""	2	""	4	""	6	""	7	""	16	""	439	""	""
"172"	"159A"	24	""	3	""	145	""	168	""	19	""	9	""	5	""	0	""	4	""	11	""	27	""	415	""	""
"173"	"160"	108	""	17	""	250	""	105	""	19	""	24	""	3	""	3	""	2	""	6	""	22	""	559	""	""
"174"	"161"	49	""	5	""	260	""	47	""	5	""	21	""	1	""	3	""	2	""	2	""	6	""	401	""	""
"175"	"162"	54	""	3	""	302	""	127	""	12	""	9	""	3	""	2	""	7	""	17	""	25	""	561	""	""
"176"	"163"	62	""	12	""	247	""	240	""	27	""	10	""	4	""	8	""	9	""	11	""	39	""	669	""	""
"177"	"164"	58	""	7	""	269	""	178	""	24	""	33	""	13	""	14	""	14	""	20	""	36	""	666	""	""
"178"	"165"	56	""	12	""	355	""	174	""	31	""	20	""	6	""	7	""	4	""	10	""	13	""	688	""	""
"179"	"166"	42	""	8	""	194	""	228	""	20	""	24	""	4	""	22	""	10	""	14	""	33	""	599	""	""
"180"	"167"	67	""	6	""	117	""	177	""	28	""	25	""	4	""	3	""	5	""	2	""	7	""	441	""	""
"181"	"168"	61	""	5	""	209	""	45	""	9	""	18	""	2	""	1	""	1	""	3	""	6	""	360	""	""
"182"	"169"	77	""	5	""	208	""	66	""	4	""	18	""	6	""	3	""	5	""	7	""	25	""	424	""	""
"183"	"169A"	35	""	10	""	263	""	43	""	7	""	50	""	7	""	5	""	17	""	10	""	22	""	469	""	""
"184"	"170"	88	""	8	""	86	""	353	""	31	""	22	""	5	""	15	""	3	""	9	""	10	""	630	""	""
"185"	"171"	109	""	6	""	317	""	139	""	10	""	3	""	5	""	3	""	2	""	0	""	14	""	608	""	""
"186"	"172"	72	""	4	""	210	""	74	""	5	""	2	""	2	""	0	""	3	""	4	""	11	""	387	""	""
"187"	"173"	130	""	4	""	273	""	45	""	4	""	1	""	0	""	1	""	1	""	0	""	7	""	466	""	""
"188"	"174"	62	""	2	""	151	""	33	""	1	""	1	""	0	""	0	""	2	""	1	""	3	""	256	""	""
"189"	"175"	64	""	0	""	94	""	25	""	3	""	0	""	2	""	1	""	4	""	0	""	2	""	195	""	""
"190"	"176"	47	""	2	""	259	""	55	""	7	""	19	""	4	""	4	""	7	""	7	""	23	""	434	""	""
"191"	"177"	44	""	5	""	106	""	280	""	31	""	17	""	5	""	8	""	2	""	6	""	17	""	521	""	""
"192"	"177A"	69	""	7	""	100	""	72	""	12	""	10	""	1	""	3	""	0	""	5	""	3	""	282	""	""
"193"	"178"	99	""	11	""	377	""	92	""	17	""	87	""	8	""	3	""	5	""	4	""	17	""	720	""	""
"194"	"179"	31	""	4	""	129	""	166	""	19	""	7	""	5	""	15	""	4	""	10	""	34	""	424	""	""
"195"	"180"	96	""	8	""	269	""	60	""	18	""	1	""	3	""	1	""	1	""	3	""	10	""	470	""	""
"196"	"181"	20	""	2	""	81	""	132	""	13	""	4	""	1	""	1	""	2	""	3	""	10	""	269	""	""
"197"	"182"	108	""	11	""	262	""	47	""	14	""	8	""	5	""	3	""	6	""	5	""	22	""	491	""	""
"198"	"183"	73	""	4	""	264	""	169	""	7	""	9	""	5	""	7	""	11	""	13	""	32	""	594	""	""
"199"	"184"	113	""	7	""	114	""	107	""	14	""	14	""	3	""	8	""	5	""	14	""	31	""	430	""	""
"200"	"185"	45	""	11	""	241	""	96	""	7	""	2	""	2	""	2	""	0	""	6	""	13	""	425	""	""
"201"	"186"	91	""	8	""	154	""	100	""	9	""	10	""	2	""	5	""	6	""	5	""	5	""	395	""	""
"202"	"187"	55	""	24	""	272	""	140	""	13	""	52	""	3	""	2	""	9	""	5	""	25	""	600	""	""
"203"	"188"	130	""	7	""	96	""	28	""	5	""	148	""	8	""	1	""	7	""	3	""	26	""	459	""	""
"204"	"189"	168	""	5	""	266	""	21	""	7	""	40	""	4	""	4	""	3	""	1	""	11	""	530	""	""
"205"	"190"	56	""	18	""	258	""	63	""	12	""	56	""	7	""	5	""	8	""	9	""	34	""	526	""	""
"206"	"191"	43	""	17	""	309	""	61	""	23	""	205	""	18	""	10	""	7	""	8	""	40	""	741	""	""
"207"	"192"	64	""	4	""	252	""	50	""	19	""	46	""	3	""	4	""	1	""	8	""	17	""	468	""	""
"208"	"193"	12	""	2	""	101	""	4	""	1	""	4	""	1	""	0	""	1	""	1	""	2	""	129	""	""
"209"	"194"	54	""	13	""	280	""	204	""	27	""	3	""	5	""	2	""	2	""	3	""	11	""	604	""	""
"210"	"195"	86	""	22	""	270	""	285	""	28	""	14	""	3	""	4	""	12	""	9	""	34	""	767	""	""
"211"	"196"	82	""	10	""	213	""	120	""	17	""	8	""	3	""	6	""	6	""	8	""	12	""	485	""	""
"212"	"197"	75	""	10	""	248	""	170	""	16	""	13	""	5	""	2	""	3	""	8	""	13	""	563	""	""
"213"	"198"	123	""	8	""	282	""	193	""	19	""	10	""	5	""	11	""	5	""	11	""	27	""	694	""	""
"214"	"199"	83	""	3	""	299	""	140	""	19	""	10	""	4	""	11	""	13	""	10	""	30	""	622	""	""
"215"	"200"	62	""	15	""	244	""	263	""	25	""	9	""	10	""	37	""	4	""	10	""	25	""	704	""	""
"216"	"201"	78	""	3	""	260	""	16	""	4	""	1	""	0	""	0	""	4	""	4	""	19	""	389	""	""
"217"	"202"	87	""	6	""	360	""	34	""	6	""	0	""	4	""	8	""	4	""	8	""	22	""	539	""	""
"218"	"203"	67	""	9	""	347	""	106	""	16	""	63	""	7	""	7	""	10	""	6	""	29	""	667	""	""
"219"	"204"	62	""	9	""	172	""	249	""	32	""	24	""	15	""	13	""	15	""	13	""	33	""	637	""	""
"220"	"205"	60	""	27	""	259	""	177	""	31	""	16	""	9	""	6	""	13	""	12	""	31	""	641	""	""
"221"	"206"	58	""	2	""	298	""	117	""	13	""	17	""	8	""	17	""	17	""	11	""	57	""	615	""	""
"222"	"207"	55	""	12	""	355	""	199	""	27	""	16	""	11	""	10	""	22	""	19	""	69	""	795	""	""
"223"	"208"	25	""	7	""	343	""	107	""	25	""	7	""	4	""	4	""	1	""	7	""	15	""	545	""	""
"224"	"209"	56	""	23	""	104	""	232	""	29	""	21	""	7	""	10	""	12	""	10	""	32	""	536	""	""
"225"	"210"	78	""	4	""	253	""	168	""	15	""	85	""	5	""	3	""	4	""	4	""	7	""	626	""	""
"226"	"211"	83	""	3	""	200	""	50	""	6	""	8	""	1	""	0	""	0	""	1	""	6	""	358	""	""
"227"	"212"	114	""	16	""	235	""	115	""	17	""	21	""	4	""	9	""	9	""	18	""	49	""	607	""	""
"228"	"213"	48	""	19	""	404	""	121	""	15	""	12	""	7	""	8	""	7	""	25	""	37	""	703	""	""
"229"	"214"	31	""	4	""	341	""	73	""	9	""	27	""	6	""	6	""	13	""	12	""	27	""	549	""	""
"230"	"215"	82	""	45	""	241	""	319	""	33	""	49	""	13	""	15	""	9	""	11	""	49	""	866	""	""
"231"	"216"	49	""	8	""	140	""	308	""	29	""	9	""	2	""	13	""	4	""	10	""	8	""	580	""	""
