"Candidates.Name"	"KRISHNA.KUMAR.RISHI"	"JIWACHH.PASWAN"	"DHARMLAL.RISHI"	"SHALIGRAM.RISHIDEO"	"SANJEEV.KUMAR.PASWAN"	"AKHILESH.RISHIDEO"	"ASHOK.KUMAR.BHARTI"	"GYANCHAND.PASWAN"	"SURESH.BAITHA"	"DILIP.KUMAR.RAJAK"	"SHYAMDEO.PASWAN"	"Total"
"80"	71	43	0	21	554	20	5	6	2	6	7	6	670
"81"	72	254	11	110	206	10	6	12	2	7	3	4	625
"82"	73	448	12	123	29	8	5	3	6	44	17	67	762
"83"	74	139	4	14	13	1	0	3	2	30	3	8	217
"84"	75	364	13	40	26	3	5	1	3	11	7	29	502
"85"	76	358	5	101	219	8	7	18	7	7	5	71	806
"86"	77	464	7	38	49	7	7	7	5	3	6	28	621
"87"	78	126	8	209	14	3	5	9	4	7	235	19	639
"88"	79	175	6	15	4	1	0	5	5	5	165	3	384
"89"	80	254	9	351	37	5	6	6	1	3	21	10	703
"90"	81	160	7	197	22	0	10	7	0	12	2	18	435
"91"	82	289	11	206	9	7	6	16	7	21	4	24	600
"92"	83	440	19	142	44	6	6	15	8	14	5	135	834
"93"	84	514	16	12	40	3	6	5	6	3	11	127	743
"94"	85	468	13	59	12	2	4	6	2	3	4	44	617
"95"	86	266	8	154	33	2	7	12	13	7	13	100	615
"96"	87	363	13	149	20	4	7	10	6	7	8	66	653
"97"	88	464	17	10	5	2	5	3	4	7	3	49	569
"98"	89	387	22	119	20	3	6	10	9	17	12	116	721
"99"	90	332	10	8	15	2	2	2	5	0	2	112	490
"100"	91	290	7	54	53	3	2	3	14	1	4	160	591
"101"	92	254	7	104	24	5	2	7	2	8	4	138	555
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	1	2	3	4	5	6	7	8	9	10	11	12	13
"104"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	93	358	6	42	11	1	3	3	15	5	9	256	709
"106"	94	258	16	25	4	3	5	3	0	0	4	125	443
"107"	95	186	0	39	8	1	0	1	6	0	1	158	400
"108"	96	46	1	114	37	0	4	1	5	1	2	116	327
"109"	97	224	0	14	7	0	0	1	5	0	3	288	542
"110"	98	211	2	18	9	0	1	0	1	1	1	142	386
"111"	99	176	7	117	27	1	4	6	5	2	8	340	693
"112"	100	331	4	62	60	8	8	6	2	3	2	60	546
"113"	101	541	2	25	4	4	0	4	4	1	5	98	688
"114"	102	254	13	337	21	4	7	21	8	10	15	50	740
"115"	103	155	6	79	227	7	3	5	3	2	5	57	549
"116"	104	408	3	50	100	5	5	4	2	0	9	147	733
"117"	105	478	14	41	10	3	1	2	4	2	7	82	644
"118"	106	367	8	50	5	3	8	5	5	5	12	73	541
"119"	107	203	16	167	114	10	7	17	9	11	14	67	635
"120"	108	365	11	79	36	8	2	10	6	7	11	81	616
"121"	109	252	3	4	87	5	66	14	4	3	3	21	462
"122"	110	151	2	429	15	3	3	15	5	8	6	31	668
"123"	111	312	13	112	11	2	7	16	11	5	12	94	595
"124"	112	358	11	19	40	6	7	13	12	2	7	237	712
"125"	113	82	9	342	13	4	3	11	5	14	17	46	546
"126"	114	444	9	42	8	2	1	3	8	5	4	114	640
"127"	115	42	3	38	72	8	2	4	3	3	9	200	384
"128"	116	30	7	32	106	5	0	8	8	4	10	240	450
"129"	117	326	10	36	17	2	6	5	5	2	0	56	465
"130"	118	412	12	44	43	7	1	4	2	8	3	29	565
"131"	119	418	6	272	20	3	7	12	5	7	8	33	791
"132"	120	426	5	79	32	3	4	5	2	3	4	44	607
"133"	121	366	16	311	18	5	7	19	14	14	5	44	819
"134"	122	156	3	20	65	109	3	6	3	3	2	34	404
"135"	123	298	10	65	36	97	5	8	10	8	15	72	624
"136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	1	2	3	4	5	6	7	8	9	10	11	12	13
"138"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	124	261	11	243	16	18	13	25	18	12	21	61	699
"140"	125	33	2	83	5	1	2	4	53	2	2	16	203
"141"	126	245	11	116	10	3	3	4	54	4	12	50	512
"142"	127	641	16	30	58	8	5	8	6	7	4	43	826
"143"	128	232	7	371	14	8	1	18	5	6	2	24	688
"144"	129	641	21	81	56	13	7	9	9	5	2	28	872
"145"	130	562	12	36	41	19	9	22	12	5	8	37	763
"146"	131	288	12	179	28	36	5	13	4	6	5	25	601
"147"	132	450	9	18	17	3	33	8	3	2	5	21	569
"148"	133	130	14	226	139	11	5	12	2	4	3	6	552
"149"	134	163	7	235	19	10	33	28	7	6	5	15	528
"150"	135	321	13	139	17	5	3	10	1	6	5	28	548
"151"	136	147	7	229	10	5	7	85	4	14	10	14	532
"152"	137	152	8	233	63	1	2	7	3	5	3	15	492
"153"	138	201	10	238	52	11	13	16	10	16	10	35	612
"154"	139	394	13	78	18	3	1	5	7	4	5	25	553
"155"	140	420	20	36	113	8	21	27	17	20	16	79	777
"156"	141	67	1	47	20	1	0	1	0	0	1	15	153
"157"	142	429	10	34	95	9	4	11	6	2	11	29	640
"158"	143	295	12	45	3	5	5	4	2	9	3	12	395
"159"	144	230	17	230	27	14	18	22	10	9	10	39	626
"160"	145	357	15	166	47	15	11	16	15	13	13	70	738
"161"	146	168	8	225	28	2	10	9	2	5	2	4	463
"162"	147	416	14	64	37	10	6	8	4	2	11	35	607
"163"	148	352	7	42	47	5	36	10	9	7	2	39	556
"164"	149	153	5	27	121	4	10	6	3	3	2	39	373
"165"	150	493	16	41	36	3	13	12	3	2	6	28	653
"166"	151	245	22	95	15	4	7	5	8	10	9	45	465
"167"	152	91	3	67	219	12	5	5	0	1	6	11	420
"168"	153	83	3	33	129	7	9	6	1	2	2	13	288
"169"	154	95	0	38	17	2	1	2	1	1	1	8	166
"170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	1	2	3	4	5	6	7	8	9	10	11	12	13
"172"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	155	418	6	43	6	3	1	6	3	1	0	9	496
"174"	156	303	6	96	33	10	2	7	7	5	5	27	501
"175"	157	366	12	124	7	4	6	4	4	7	4	18	556
"176"	158	538	21	40	6	4	3	12	3	3	6	24	660
"177"	159	315	5	0	2	1	0	5	1	0	0	11	340
"178"	160	317	13	141	5	4	4	9	1	2	3	6	505
"179"	161	200	8	190	19	1	3	8	5	3	3	13	453
"180"	162	135	6	301	49	1	6	4	4	4	6	17	533
"181"	163	444	9	192	10	4	4	6	2	4	6	11	692
"182"	164	306	11	80	103	10	9	10	7	9	4	16	565
"183"	165	379	13	57	4	1	3	5	1	6	2	19	490
"184"	166	138	8	454	21	6	4	8	6	4	7	29	685
"185"	167	447	17	74	8	4	4	9	2	3	5	144	717
"186"	168	464	20	58	20	5	0	5	4	7	9	69	661
"187"	169	97	6	274	108	12	1	14	5	8	16	122	663
"188"	170	188	7	49	12	4	0	1	0	2	1	14	278
"189"	171	314	8	306	20	4	3	3	4	7	3	21	693
"190"	172	393	11	89	65	6	5	6	10	5	7	62	659
"191"	173	290	12	150	86	6	14	9	11	3	7	60	648
"192"	174	580	12	47	11	2	9	9	1	2	6	38	717
"193"	175	372	8	21	4	4	7	2	2	2	4	24	450
"194"	176	385	36	74	27	32	7	2	3	3	3	4	576
"195"	177	199	8	71	39	4	17	6	8	10	7	33	402
"196"	178	220	17	347	16	7	13	11	5	6	1	17	660
"197"	179	318	9	9	43	10	24	4	4	4	5	11	441
"198"	180	317	8	34	25	0	3	4	3	4	4	17	419
"199"	181	272	9	17	13	1	3	0	2	1	0	13	331
"200"	182	247	10	17	10	3	1	9	4	4	4	20	329
"201"	183	202	8	332	26	11	22	22	12	10	8	37	690
"202"	184	214	7	20	305	8	18	10	5	5	15	20	627
"203"	185	373	13	36	79	9	5	14	3	8	6	21	567
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	1	2	3	4	5	6	7	8	9	10	11	12	13
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	186	343	11	22	114	4	18	9	4	5	6	26	562
"208"	187	176	13	120	176	9	9	9	5	4	4	14	539
"209"	188	0	0	0	0	0	0	0	0	0	0	0	0
"210"	189	455	18	46	8	2	13	15	7	5	3	39	611
"211"	190	227	12	134	6	7	13	9	4	6	9	10	437
"212"	191	86	9	152	15	3	8	7	1	8	4	10	303
"213"	192	547	16	15	26	8	11	20	6	9	9	48	715
"214"	193	490	18	52	7	2	5	7	1	4	6	40	632
"215"	194	264	13	233	20	9	34	18	7	10	7	10	625
"216"	195	563	7	31	8	2	14	12	8	7	8	30	690
"217"	196	421	25	67	12	8	17	14	8	3	7	26	608
"218"	197	239	6	53	240	10	62	24	7	2	11	24	678
"219"	198	184	6	22	17	2	9	3	0	0	2	3	248
"220"	199	122	5	3	3	0	7	0	0	1	0	4	145
"221"	200	210	7	1	39	0	3	4	0	0	3	7	274
"222"	201	279	9	5	25	5	24	20	5	2	8	23	405
"223"	202	142	3	88	122	6	21	5	7	4	7	22	427
"224"	203	175	7	22	143	7	17	7	14	7	8	17	424
"225"	204	465	23	26	27	6	40	13	15	11	12	30	668
"226"	205	201	1	15	34	1	13	5	3	2	2	9	286
"227"	206	344	10	14	16	3	9	4	2	4	5	139	550
"228"	207	396	6	48	37	6	6	4	3	7	2	17	532
"229"	208	423	15	77	70	0	4	6	1	7	2	11	616
"230"	209	151	5	38	29	2	1	3	2	12	6	48	297
"231"	NA	135	9	32	37	1	2	4	3	5	0	34	262
"232"	210	222	4	19	19	0	2	1	4	7	9	148	435
"233"	211	338	9	31	50	7	152	17	6	5	3	18	636
"234"	212	347	12	90	19	0	4	10	2	1	3	8	496
"235"	213	368	8	57	7	5	3	9	4	7	4	29	501
"236"	214	329	12	8	17	4	10	4	5	9	2	29	429
"237"	215	329	6	27	42	0	1	2	0	7	2	3	419
"238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	1	2	3	4	5	6	7	8	9	10	11	12	13
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	216	562	29	35	56	5	9	5	2	2	6	80	791
"242"	217	213	15	209	37	6	4	9	5	16	4	18	536
"243"	218	410	17	6	20	3	1	8	6	33	5	76	585
"244"	219	382	13	32	13	5	15	4	4	6	0	10	484
"245"	220	225	7	172	27	7	36	7	3	5	4	35	528
"246"	221	331	3	28	9	8	4	5	2	2	6	148	546
"247"	222	207	12	110	7	2	8	7	3	3	5	49	413
"248"	223	187	28	31	115	9	26	14	13	5	4	40	472
"249"	224	549	30	15	34	1	8	4	2	3	6	57	709
"250"	225	344	11	22	113	15	11	3	2	1	0	73	595
"251"	226	260	11	12	0	2	0	1	1	1	0	19	307
"252"	227	360	18	39	19	12	44	23	5	28	28	115	691
"253"	228	212	28	242	26	8	13	12	7	6	9	41	604
"254"	229	286	9	24	65	7	12	10	10	6	17	61	507
"255"	230	246	10	275	28	3	11	20	9	12	16	86	716
"256"	NA	67872	2438	23002	10501	1407	1997	2078	1338	2017	1821	11869	126340
"257"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"258"	NA	78	6	58	14	0	0	0	0	2	3	19	180
"259"	NA	67950	2444	23060	10515	1407	1997	2078	1338	2019	1824	11888	126520
"260"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"261"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"262"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"263"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
