"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"34"	"27A"	"7"	"10"	"183"	"51"	"11"	"6"	"27"	"5"	"4"	"5"	"1"	"5"	"6"	"7"	"8"	"6"	"342"
"35"	"28"	"4"	"34"	"350"	"60"	"15"	"4"	"45"	"1"	"11"	"3"	"14"	"7"	"17"	"26"	"20"	"18"	"629"
"36"	"29"	"51"	"9"	"148"	"79"	"9"	"7"	"207"	"10"	"7"	"11"	"5"	"9"	"14"	"4"	"8"	"3"	"581"
"37"	"30"	"3"	"5"	"3"	"148"	"17"	"6"	"13"	"5"	"5"	"1"	"1"	"5"	"83"	"2"	"3"	"1"	"301"
"38"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"44"	"31"	"23"	"11"	"335"	"232"	"50"	"9"	"54"	"11"	"12"	"8"	"6"	"7"	"37"	"24"	"9"	"24"	"852"
"45"	"32"	"7"	"7"	"267"	"100"	"27"	"6"	"38"	"2"	"5"	"3"	"8"	"5"	"5"	"7"	"2"	"10"	"499"
"46"	"33"	"11"	"30"	"255"	"59"	"14"	"3"	"46"	"4"	"3"	"8"	"9"	"1"	"5"	"4"	"4"	"16"	"472"
"47"	"34"	"11"	"14"	"236"	"88"	"39"	"4"	"20"	"5"	"6"	"8"	"4"	"9"	"115"	"11"	"3"	"14"	"587"
"48"	"34A"	"11"	"16"	"96"	"210"	"26"	"6"	"14"	"4"	"3"	"3"	"2"	"1"	"18"	"9"	"4"	"14"	"437"
"49"	"35"	"5"	"37"	"37"	"269"	"31"	"10"	"70"	"2"	"5"	"5"	"16"	"6"	"92"	"9"	"4"	"11"	"609"
"50"	"36"	"15"	"81"	"156"	"118"	"19"	"9"	"129"	"18"	"7"	"22"	"12"	"19"	"85"	"6"	"9"	"9"	"714"
"51"	"37"	"10"	"13"	"94"	"271"	"36"	"11"	"97"	"11"	"8"	"6"	"9"	"12"	"84"	"10"	"6"	"12"	"690"
"52"	"38"	"2"	"21"	"25"	"213"	"32"	"5"	"100"	"9"	"6"	"26"	"11"	"15"	"16"	"14"	"6"	"13"	"514"
"53"	"39"	"8"	"17"	"20"	"248"	"14"	"0"	"43"	"3"	"3"	"4"	"20"	"3"	"0"	"3"	"0"	"1"	"387"
"54"	"40"	"1"	"1"	"4"	"175"	"17"	"5"	"12"	"6"	"6"	"15"	"4"	"8"	"251"	"13"	"4"	"18"	"540"
"55"	"41"	"1"	"3"	"34"	"335"	"35"	"7"	"16"	"6"	"7"	"15"	"4"	"6"	"66"	"6"	"6"	"19"	"566"
"56"	"42"	"7"	"8"	"37"	"260"	"41"	"6"	"9"	"20"	"11"	"27"	"8"	"14"	"315"	"14"	"8"	"23"	"808"
"57"	"43"	"3"	"15"	"14"	"147"	"26"	"5"	"3"	"13"	"9"	"56"	"3"	"9"	"254"	"7"	"4"	"11"	"579"
"58"	"44"	"1"	"25"	"6"	"56"	"35"	"2"	"2"	"6"	"6"	"11"	"4"	"4"	"133"	"5"	"7"	"8"	"311"
"59"	"45"	"10"	"4"	"16"	"353"	"61"	"11"	"75"	"6"	"5"	"35"	"3"	"5"	"82"	"3"	"5"	"3"	"677"
"60"	"46"	"9"	"4"	"79"	"29"	"10"	"4"	"109"	"16"	"6"	"8"	"7"	"7"	"83"	"14"	"3"	"12"	"400"
"61"	"47"	"6"	"6"	"124"	"25"	"27"	"4"	"142"	"8"	"7"	"4"	"6"	"5"	"24"	"11"	"4"	"6"	"409"
"62"	"48"	"1"	"6"	"77"	"46"	"8"	"20"	"236"	"25"	"18"	"27"	"21"	"11"	"95"	"5"	"8"	"6"	"610"
"63"	"49"	"8"	"5"	"177"	"73"	"6"	"5"	"87"	"9"	"3"	"63"	"8"	"2"	"18"	"16"	"2"	"7"	"489"
"64"	"50"	"1"	"13"	"14"	"59"	"25"	"6"	"98"	"6"	"8"	"6"	"6"	"6"	"234"	"16"	"6"	"28"	"532"
"65"	"51"	"6"	"7"	"23"	"38"	"51"	"10"	"30"	"3"	"9"	"3"	"6"	"4"	"234"	"39"	"6"	"7"	"476"
"66"	"52"	"3"	"6"	"40"	"268"	"25"	"17"	"2"	"37"	"7"	"15"	"5"	"43"	"253"	"9"	"2"	"20"	"752"
"67"	"53"	"4"	"2"	"54"	"87"	"50"	"12"	"7"	"56"	"8"	"26"	"17"	"9"	"204"	"13"	"11"	"15"	"575"
"68"	"54"	"3"	"3"	"44"	"163"	"24"	"6"	"2"	"20"	"17"	"45"	"20"	"17"	"315"	"9"	"15"	"13"	"716"
"69"	"55"	"2"	"3"	"44"	"60"	"27"	"13"	"12"	"47"	"8"	"28"	"10"	"14"	"123"	"16"	"3"	"4"	"414"
"70"	"56"	"18"	"38"	"170"	"29"	"13"	"3"	"32"	"5"	"6"	"25"	"26"	"17"	"61"	"75"	"5"	"25"	"548"
"71"	"57"	"8"	"79"	"41"	"31"	"8"	"9"	"30"	"20"	"12"	"268"	"40"	"17"	"278"	"15"	"5"	"16"	"877"
"72"	"58"	"0"	"2"	"19"	"16"	"2"	"4"	"6"	"11"	"7"	"64"	"3"	"5"	"173"	"2"	"0"	"1"	"315"
"73"	"59"	"8"	"19"	"6"	"10"	"5"	"4"	"7"	"9"	"12"	"346"	"146"	"14"	"6"	"13"	"4"	"18"	"627"
"74"	"60"	"9"	"6"	"6"	"11"	"3"	"2"	"1"	"4"	"8"	"179"	"81"	"3"	"1"	"8"	"1"	"1"	"324"
"75"	"61"	"4"	"3"	"7"	"43"	"9"	"17"	"18"	"8"	"9"	"201"	"322"	"11"	"5"	"11"	"2"	"3"	"673"
"76"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"82"	"62"	"4"	"26"	"228"	"87"	"17"	"6"	"5"	"17"	"5"	"9"	"8"	"16"	"14"	"16"	"11"	"10"	"479"
"83"	"63"	"35"	"40"	"246"	"59"	"14"	"8"	"23"	"25"	"5"	"64"	"11"	"61"	"16"	"9"	"13"	"16"	"645"
"84"	"64"	"58"	"16"	"109"	"35"	"9"	"0"	"6"	"1"	"0"	"2"	"0"	"11"	"1"	"1"	"5"	"2"	"256"
"85"	"65"	"8"	"20"	"193"	"45"	"9"	"2"	"15"	"2"	"1"	"2"	"2"	"13"	"2"	"2"	"14"	"4"	"334"
"86"	"66"	"37"	"133"	"98"	"164"	"159"	"12"	"91"	"10"	"4"	"13"	"7"	"55"	"10"	"7"	"19"	"18"	"837"
"87"	"67"	"7"	"14"	"162"	"113"	"56"	"2"	"40"	"8"	"6"	"7"	"1"	"4"	"29"	"15"	"1"	"13"	"478"
"88"	"68"	"2"	"6"	"112"	"42"	"7"	"2"	"14"	"6"	"4"	"18"	"33"	"241"	"11"	"8"	"3"	"9"	"518"
"89"	"69"	"10"	"9"	"340"	"49"	"12"	"2"	"53"	"3"	"5"	"2"	"4"	"3"	"13"	"11"	"4"	"10"	"530"
"90"	"70"	"4"	"12"	"205"	"19"	"4"	"0"	"69"	"4"	"5"	"6"	"3"	"4"	"6"	"6"	"23"	"11"	"381"
"91"	"71"	"2"	"15"	"144"	"55"	"55"	"5"	"112"	"12"	"11"	"9"	"7"	"16"	"85"	"35"	"4"	"35"	"602"
"92"	"72"	"7"	"63"	"207"	"77"	"8"	"2"	"31"	"6"	"4"	"2"	"9"	"7"	"12"	"34"	"7"	"49"	"525"
"93"	"73"	"13"	"17"	"282"	"63"	"28"	"4"	"8"	"1"	"4"	"4"	"8"	"2"	"3"	"3"	"20"	"2"	"462"
"94"	"74"	"12"	"7"	"198"	"96"	"10"	"1"	"10"	"1"	"1"	"2"	"1"	"2"	"3"	"8"	"16"	"6"	"374"
"95"	"75"	"7"	"13"	"402"	"145"	"27"	"4"	"17"	"2"	"10"	"15"	"7"	"8"	"18"	"24"	"13"	"6"	"718"
"96"	"76"	"5"	"11"	"235"	"38"	"8"	"2"	"36"	"2"	"7"	"9"	"16"	"211"	"12"	"17"	"2"	"8"	"619"
"97"	"77"	"2"	"14"	"239"	"45"	"3"	"5"	"19"	"2"	"2"	"7"	"5"	"11"	"9"	"36"	"5"	"13"	"417"
"98"	"78"	"5"	"8"	"162"	"35"	"6"	"2"	"12"	"0"	"11"	"5"	"3"	"9"	"10"	"18"	"11"	"15"	"312"
"99"	"79"	"1"	"71"	"2"	"79"	"17"	"2"	"1"	"6"	"1"	"35"	"1"	"1"	"15"	"1"	"3"	"5"	"241"
"100"	"80"	"5"	"28"	"10"	"170"	"12"	"5"	"3"	"15"	"9"	"116"	"9"	"6"	"51"	"4"	"2"	"11"	"456"
"101"	"81"	"6"	"6"	"10"	"54"	"15"	"7"	"7"	"28"	"23"	"169"	"12"	"11"	"301"	"8"	"24"	"7"	"688"
"102"	"82"	"12"	"8"	"11"	"27"	"5"	"15"	"8"	"8"	"5"	"405"	"228"	"8"	"1"	"3"	"2"	"4"	"750"
"103"	"83"	"5"	"2"	"36"	"62"	"20"	"8"	"9"	"59"	"13"	"391"	"13"	"7"	"71"	"11"	"27"	"10"	"744"
"104"	"84"	"5"	"4"	"47"	"32"	"4"	"2"	"4"	"2"	"6"	"452"	"75"	"7"	"1"	"5"	"1"	"4"	"651"
"105"	"85"	"4"	"5"	"55"	"36"	"17"	"1"	"7"	"3"	"10"	"537"	"12"	"5"	"1"	"1"	"2"	"1"	"697"
"106"	"86"	"7"	"32"	"112"	"23"	"8"	"5"	"2"	"3"	"7"	"184"	"11"	"3"	"1"	"11"	"1"	"2"	"412"
"107"	"87"	"1"	"59"	"77"	"18"	"3"	"2"	"2"	"2"	"0"	"104"	"14"	"2"	"3"	"6"	"2"	"3"	"298"
"108"	"88"	"5"	"19"	"121"	"57"	"3"	"9"	"8"	"5"	"9"	"147"	"186"	"0"	"0"	"4"	"0"	"2"	"575"
"109"	"89"	"5"	"2"	"56"	"28"	"3"	"6"	"3"	"5"	"2"	"88"	"2"	"4"	"3"	"70"	"1"	"3"	"281"
"110"	"90"	"3"	"4"	"15"	"36"	"0"	"0"	"8"	"0"	"2"	"121"	"9"	"1"	"3"	"29"	"1"	"1"	"233"
"111"	"91"	"9"	"8"	"74"	"40"	"16"	"1"	"7"	"2"	"8"	"84"	"8"	"3"	"4"	"331"	"4"	"10"	"609"
"112"	"92"	"3"	"83"	"117"	"114"	"18"	"7"	"2"	"17"	"10"	"24"	"116"	"8"	"36"	"79"	"10"	"10"	"654"
"113"	"93"	"2"	"82"	"55"	"121"	"44"	"7"	"5"	"6"	"8"	"66"	"51"	"8"	"8"	"40"	"8"	"18"	"529"
"114"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"120"	"94"	"1"	"20"	"22"	"23"	"4"	"8"	"3"	"4"	"1"	"32"	"17"	"4"	"3"	"148"	"6"	"5"	"301"
"121"	"95"	"1"	"64"	"115"	"41"	"3"	"6"	"7"	"5"	"5"	"45"	"94"	"5"	"6"	"23"	"8"	"6"	"434"
"122"	"96"	"1"	"5"	"26"	"58"	"24"	"1"	"2"	"3"	"7"	"7"	"5"	"3"	"6"	"276"	"6"	"17"	"447"
"123"	"97"	"8"	"4"	"104"	"63"	"6"	"3"	"2"	"2"	"4"	"28"	"11"	"2"	"5"	"251"	"6"	"10"	"509"
"124"	"98"	"0"	"3"	"40"	"19"	"5"	"0"	"1"	"0"	"5"	"2"	"3"	"3"	"4"	"286"	"5"	"8"	"384"
"125"	"99"	"0"	"0"	"21"	"0"	"1"	"0"	"1"	"4"	"2"	"7"	"2"	"1"	"5"	"388"	"4"	"12"	"448"
"126"	"100"	"0"	"14"	"34"	"40"	"20"	"2"	"5"	"3"	"5"	"95"	"4"	"1"	"2"	"16"	"1"	"2"	"244"
"127"	"101"	"0"	"3"	"26"	"34"	"64"	"1"	"3"	"14"	"3"	"6"	"4"	"1"	"0"	"20"	"1"	"2"	"182"
"128"	"102"	"6"	"10"	"70"	"51"	"6"	"1"	"3"	"2"	"4"	"33"	"6"	"2"	"5"	"191"	"5"	"6"	"401"
"129"	"103"	"8"	"31"	"141"	"36"	"8"	"1"	"4"	"0"	"2"	"2"	"2"	"0"	"4"	"94"	"1"	"8"	"342"
"130"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"131"	"105"	"4"	"7"	"123"	"147"	"22"	"2"	"6"	"13"	"3"	"2"	"6"	"0"	"5"	"5"	"11"	"187"	"543"
"132"	"106"	"2"	"1"	"31"	"166"	"13"	"3"	"3"	"5"	"3"	"5"	"4"	"4"	"1"	"89"	"6"	"45"	"381"
"133"	"107"	"4"	"13"	"233"	"111"	"5"	"2"	"7"	"2"	"1"	"3"	"6"	"6"	"10"	"20"	"3"	"22"	"448"
"134"	"108"	"8"	"33"	"116"	"93"	"8"	"3"	"3"	"4"	"11"	"3"	"2"	"2"	"2"	"50"	"6"	"105"	"449"
"135"	"109"	"6"	"4"	"275"	"106"	"9"	"2"	"4"	"5"	"7"	"3"	"2"	"2"	"9"	"10"	"5"	"16"	"465"
"136"	"110"	"10"	"13"	"386"	"102"	"7"	"1"	"18"	"3"	"6"	"7"	"6"	"7"	"17"	"25"	"15"	"12"	"635"
"137"	"111"	"6"	"35"	"234"	"151"	"47"	"5"	"8"	"12"	"16"	"5"	"1"	"7"	"39"	"87"	"8"	"21"	"682"
"138"	"112"	"17"	"12"	"301"	"134"	"57"	"9"	"7"	"5"	"32"	"7"	"5"	"3"	"3"	"17"	"8"	"7"	"624"
"139"	"113"	"3"	"10"	"129"	"79"	"27"	"1"	"5"	"0"	"13"	"3"	"1"	"2"	"2"	"2"	"6"	"3"	"286"
"140"	"114"	"3"	"16"	"213"	"51"	"48"	"0"	"14"	"1"	"11"	"14"	"0"	"0"	"10"	"17"	"4"	"53"	"455"
"141"	"115"	"1"	"4"	"122"	"268"	"9"	"0"	"3"	"4"	"1"	"2"	"1"	"5"	"11"	"3"	"1"	"5"	"440"
"142"	"116"	"1"	"7"	"168"	"254"	"73"	"2"	"0"	"0"	"9"	"7"	"2"	"1"	"31"	"4"	"4"	"7"	"570"
"143"	"117"	"6"	"2"	"96"	"194"	"50"	"4"	"1"	"2"	"2"	"0"	"1"	"2"	"4"	"4"	"0"	"6"	"374"
"144"	"118"	"5"	"8"	"246"	"143"	"18"	"2"	"35"	"3"	"9"	"5"	"3"	"3"	"11"	"15"	"7"	"18"	"531"
"145"	"119"	"11"	"7"	"239"	"198"	"36"	"5"	"3"	"1"	"1"	"3"	"1"	"1"	"2"	"3"	"1"	"2"	"514"
"146"	"120"	"10"	"10"	"331"	"100"	"27"	"6"	"3"	"11"	"1"	"6"	"0"	"3"	"15"	"9"	"7"	"3"	"542"
"147"	"121"	"4"	"8"	"266"	"129"	"14"	"2"	"5"	"1"	"14"	"10"	"7"	"5"	"6"	"14"	"3"	"7"	"495"
"148"	"122"	"2"	"5"	"137"	"182"	"14"	"5"	"3"	"7"	"4"	"8"	"3"	"1"	"17"	"12"	"9"	"10"	"419"
"149"	"123"	"7"	"5"	"241"	"334"	"51"	"2"	"3"	"1"	"11"	"6"	"3"	"10"	"4"	"5"	"0"	"6"	"689"
"150"	"124"	"3"	"9"	"242"	"199"	"29"	"1"	"21"	"5"	"3"	"7"	"0"	"2"	"8"	"5"	"2"	"11"	"547"
"151"	"125"	"1"	"4"	"307"	"35"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"3"	"6"	"0"	"6"	"368"
"152"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"bly Constituency :052---Bahadurganj                                                                                                   No of Voters :208170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"No of valid votes caste in favTooutarl Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"OOTH N"	"MD
AKHTER NAMI"	"MOHAMMAD ANZAR NAIMI"	"MOHAMMAD TOUSIF ALAM"	"MOHAMMAD
MASWAR ALAM"	"SHUKAL MURMU"	"AZIM UDDIN"	"ASIF RAHMAN"	"KHOSHI DEVI"	"JAMIRU DIN"	"NOOR AZAM"	"MD. YAHYA"	"RAKESH KUMAR DAS"	"LAKHAN LAL PANDIT"	"SHAMIM ALAM"	"SAKIL AKHTAR"	"HARI
MOHAN SINGH"	"Total"
"158"	"126"	"13"	"4"	"306"	"39"	"12"	"5"	"9"	"6"	"4"	"3"	"0"	"0"	"2"	"5"	"1"	"2"	"411"
"159"	"127"	"6"	"18"	"324"	"125"	"44"	"4"	"18"	"0"	"4"	"3"	"2"	"3"	"3"	"17"	"3"	"2"	"576"
"160"	"128"	"14"	"14"	"518"	"69"	"13"	"2"	"7"	"4"	"4"	"3"	"2"	"3"	"9"	"14"	"3"	"6"	"685"
"161"	"129"	"12"	"5"	"255"	"166"	"12"	"1"	"2"	"2"	"2"	"2"	"2"	"3"	"13"	"10"	"6"	"1"	"494"
"162"	"130"	"5"	"6"	"300"	"34"	"7"	"0"	"3"	"2"	"0"	"0"	"2"	"0"	"5"	"15"	"3"	"8"	"390"
"163"	"131"	"7"	"8"	"366"	"16"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"8"	"10"	"2"	"4"	"427"
"164"	"132"	"15"	"1"	"227"	"104"	"21"	"2"	"1"	"3"	"3"	"5"	"0"	"3"	"28"	"13"	"7"	"14"	"447"
"165"	"133"	"5"	"11"	"194"	"172"	"42"	"5"	"2"	"3"	"1"	"2"	"1"	"3"	"5"	"2"	"4"	"3"	"455"
"166"	"134"	"10"	"15"	"411"	"241"	"32"	"1"	"5"	"2"	"0"	"6"	"2"	"4"	"1"	"1"	"6"	"1"	"738"
"167"	"135"	"5"	"31"	"259"	"302"	"13"	"7"	"0"	"1"	"2"	"4"	"2"	"7"	"8"	"13"	"15"	"7"	"676"
"168"	"136"	"17"	"35"	"99"	"490"	"25"	"4"	"4"	"1"	"3"	"8"	"2"	"8"	"14"	"4"	"10"	"10"	"734"
"169"	"137"	"16"	"56"	"165"	"251"	"184"	"10"	"3"	"4"	"6"	"10"	"2"	"7"	"15"	"17"	"20"	"13"	"779"
"170"	"138"	"5"	"4"	"128"	"136"	"32"	"3"	"4"	"7"	"6"	"0"	"4"	"7"	"80"	"5"	"7"	"14"	"442"
