"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X265858.184.266042.36.Madhubani"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"35"	"26"	"33"	"129"	"232"	"63"	"3"	"1"	"3"	"0"	"4"	"9"	"3"	"6"	"5"	"2"	"6"	"11"	"510"	""	"510"	""
"36"	"27"	"41"	"65"	"306"	"92"	"26"	"7"	"1"	"2"	"1"	"3"	"0"	"5"	"4"	"1"	"5"	"2"	"561"	""	"561"	""
"37"	"28"	"23"	"13"	"184"	"171"	"28"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"3"	"0"	"0"	"429"	""	"429"	""
"38"	"Total -2"	"602"	"1405"	"3331"	"618"	"82"	"29"	"20"	"21"	"11"	"36"	"15"	"33"	"107"	"21"	"36"	"32"	"6399"	"0"	"6399"	"0"
"39"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"43"	"B.F."	"1001"	"3341"	"5987"	"850"	"107"	"77"	"70"	"98"	"65"	"106"	"72"	"1189"	"189"	"71"	"144"	"127"	"13494"	"0"	"13494"	"0"
"44"	"28A"	"7"	"27"	"161"	"41"	"3"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"0"	"3"	"0"	"250"	""	"250"	""
"45"	"29"	"17"	"21"	"201"	"102"	"11"	"1"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"0"	"5"	"1"	"369"	""	"369"	""
"46"	"30"	"14"	"16"	"146"	"70"	"3"	"3"	"1"	"1"	"1"	"1"	"3"	"0"	"2"	"0"	"3"	"0"	"264"	""	"264"	""
"47"	"31"	"59"	"53"	"289"	"68"	"5"	"2"	"1"	"3"	"2"	"5"	"5"	"5"	"23"	"1"	"6"	"6"	"533"	""	"533"	""
"48"	"32"	"19"	"48"	"115"	"65"	"4"	"1"	"2"	"1"	"1"	"1"	"4"	"2"	"3"	"0"	"9"	"2"	"277"	""	"277"	""
"49"	"33"	"17"	"43"	"265"	"25"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"31"	"3"	"2"	"6"	"401"	""	"401"	""
"50"	"34"	"20"	"104"	"202"	"33"	"3"	"0"	"2"	"1"	"3"	"0"	"1"	"2"	"14"	"0"	"6"	"6"	"397"	""	"397"	""
"51"	"35"	"21"	"60"	"97"	"6"	"1"	"3"	"2"	"0"	"1"	"1"	"0"	"0"	"31"	"0"	"0"	"4"	"227"	""	"227"	""
"52"	"36"	"54"	"47"	"186"	"13"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"2"	"50"	"2"	"3"	"5"	"369"	""	"369"	""
"53"	"37"	"22"	"112"	"275"	"15"	"1"	"3"	"1"	"1"	"1"	"2"	"2"	"3"	"8"	"2"	"2"	"4"	"454"	""	"454"	""
"54"	"38"	"104"	"32"	"164"	"0"	"0"	"2"	"0"	"4"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"313"	""	"313"	""
"55"	"39"	"45"	"12"	"145"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"2"	"2"	"1"	"0"	"1"	"215"	""	"215"	""
"56"	"40"	"13"	"19"	"87"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"49"	"2"	"0"	"1"	"1"	"179"	""	"179"	""
"57"	"41"	"26"	"39"	"130"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"4"	"0"	"0"	"1"	"209"	""	"209"	""
"58"	"Total -3"	"438"	"633"	"2463"	"444"	"35"	"17"	"12"	"18"	"12"	"17"	"31"	"70"	"178"	"9"	"40"	"40"	"4457"	"0"	"4457"	"0"
"59"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"63"	"B.F."	"1439"	"3974"	"8450"	"1294"	"142"	"94"	"82"	"116"	"77"	"123"	"103"	"1259"	"367"	"80"	"184"	"167"	"17951"	"0"	"17951"	"0"
"64"	"42"	"26"	"68"	"104"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"5"	"2"	"0"	"1"	"6"	"220"	""	"220"	""
"65"	"42A"	"40"	"221"	"102"	"2"	"2"	"5"	"5"	"1"	"0"	"2"	"1"	"25"	"0"	"0"	"4"	"0"	"410"	""	"410"	""
"66"	"43"	"18"	"243"	"223"	"4"	"4"	"7"	"1"	"3"	"4"	"9"	"2"	"30"	"1"	"0"	"9"	"1"	"559"	""	"559"	""
"67"	"44"	"17"	"66"	"279"	"0"	"1"	"1"	"0"	"3"	"3"	"4"	"3"	"167"	"1"	"6"	"9"	"11"	"571"	""	"571"	""
"68"	"45"	"6"	"23"	"2"	"5"	"6"	"4"	"2"	"6"	"1"	"4"	"8"	"351"	"5"	"1"	"9"	"3"	"436"	""	"436"	""
"69"	"46"	"11"	"122"	"13"	"2"	"1"	"1"	"1"	"2"	"1"	"4"	"13"	"479"	"2"	"4"	"8"	"3"	"667"	""	"667"	""
"70"	"47"	"4"	"38"	"1"	"1"	"3"	"1"	"3"	"0"	"0"	"5"	"10"	"359"	"4"	"2"	"11"	"10"	"452"	""	"452"	""
"71"	"48"	"54"	"65"	"47"	"4"	"4"	"2"	"4"	"2"	"0"	"4"	"15"	"482"	"7"	"1"	"11"	"8"	"710"	""	"710"	""
"72"	"49"	"39"	"80"	"454"	"7"	"3"	"2"	"1"	"1"	"2"	"6"	"4"	"21"	"3"	"2"	"7"	"2"	"634"	""	"634"	""
"73"	"50"	"20"	"3"	"296"	"13"	"1"	"0"	"1"	"3"	"2"	"3"	"2"	"3"	"2"	"4"	"3"	"7"	"363"	""	"363"	""
"74"	"51"	"29"	"189"	"271"	"4"	"0"	"1"	"2"	"0"	"1"	"3"	"1"	"6"	"0"	"1"	"5"	"2"	"515"	""	"515"	""
"75"	"52"	"19"	"98"	"235"	"5"	"0"	"4"	"2"	"2"	"2"	"4"	"0"	"7"	"3"	"4"	"4"	"3"	"392"	""	"392"	""
"76"	"53"	"16"	"205"	"147"	"5"	"2"	"2"	"3"	"1"	"2"	"11"	"5"	"159"	"10"	"7"	"24"	"14"	"613"	""	"613"	""
"77"	"54"	"19"	"213"	"174"	"5"	"4"	"2"	"2"	"1"	"1"	"7"	"2"	"32"	"6"	"4"	"14"	"21"	"507"	""	"507"	""
"78"	"Total -4"	"318"	"1634"	"2348"	"58"	"31"	"33"	"27"	"25"	"20"	"67"	"70"	"2126"	"46"	"36"	"119"	"91"	"7049"	"0"	"7049"	"0"
"79"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"83"	"B.F."	"1757"	"5608"	"10798"	"1352"	"173"	"127"	"109"	"141"	"97"	"190"	"173"	"3385"	"413"	"116"	"303"	"258"	"25000"	"0"	"25000"	"0"
"84"	"55"	"5"	"14"	"58"	"2"	"4"	"6"	"0"	"1"	"2"	"2"	"8"	"395"	"4"	"4"	"5"	"8"	"518"	""	"518"	""
"85"	"56"	"13"	"76"	"128"	"4"	"4"	"1"	"2"	"6"	"3"	"8"	"10"	"155"	"4"	"0"	"4"	"9"	"427"	""	"427"	""
"86"	"56A"	"5"	"39"	"69"	"1"	"0"	"1"	"1"	"2"	"3"	"2"	"5"	"236"	"6"	"0"	"6"	"2"	"378"	""	"378"	""
"87"	"57"	"15"	"158"	"61"	"4"	"0"	"4"	"2"	"0"	"2"	"5"	"5"	"8"	"1"	"1"	"10"	"4"	"280"	""	"280"	""
"88"	"58"	"18"	"137"	"232"	"8"	"2"	"9"	"2"	"3"	"2"	"3"	"4"	"4"	"0"	"4"	"10"	"4"	"442"	""	"442"	""
"89"	"59"	"18"	"198"	"104"	"8"	"5"	"9"	"6"	"1"	"0"	"6"	"9"	"56"	"9"	"6"	"17"	"14"	"466"	""	"466"	""
"90"	"60"	"12"	"31"	"356"	"11"	"0"	"4"	"1"	"0"	"2"	"2"	"1"	"0"	"3"	"2"	"3"	"1"	"429"	""	"429"	""
"91"	"61"	"28"	"316"	"305"	"14"	"2"	"9"	"2"	"2"	"1"	"7"	"2"	"25"	"0"	"2"	"4"	"1"	"720"	""	"720"	""
"92"	"62"	"43"	"420"	"140"	"9"	"0"	"5"	"3"	"1"	"0"	"7"	"3"	"3"	"3"	"2"	"5"	"1"	"645"	""	"645"	""
"93"	"63"	"35"	"243"	"127"	"7"	"4"	"6"	"2"	"3"	"4"	"5"	"1"	"23"	"1"	"2"	"3"	"10"	"476"	""	"476"	""
"94"	"64"	"28"	"82"	"169"	"0"	"0"	"6"	"4"	"0"	"1"	"4"	"3"	"12"	"0"	"3"	"8"	"7"	"327"	""	"327"	""
"95"	"65"	"21"	"142"	"145"	"2"	"1"	"3"	"0"	"2"	"1"	"7"	"3"	"37"	"4"	"0"	"3"	"3"	"374"	""	"374"	""
"96"	"65A"	"16"	"263"	"78"	"4"	"0"	"8"	"1"	"0"	"0"	"5"	"0"	"4"	"3"	"0"	"1"	"1"	"384"	""	"384"	""
"97"	"66"	"26"	"78"	"491"	"11"	"3"	"6"	"1"	"4"	"3"	"4"	"1"	"3"	"8"	"9"	"8"	"12"	"668"	""	"668"	""
"98"	"Total -5"	"283"	"2197"	"2463"	"85"	"25"	"77"	"27"	"25"	"24"	"67"	"55"	"961"	"46"	"35"	"87"	"77"	"6534"	"0"	"6534"	"0"
"99"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"103"	"B.F."	"2040"	"7805"	"13261"	"1437"	"198"	"204"	"136"	"166"	"121"	"257"	"228"	"4346"	"459"	"151"	"390"	"335"	"31534"	"0"	"31534"	"0"
"104"	"67"	"52"	"177"	"91"	"7"	"0"	"5"	"2"	"0"	"1"	"2"	"1"	"3"	"2"	"1"	"2"	"2"	"348"	""	"348"	""
"105"	"68"	"22"	"165"	"201"	"7"	"1"	"5"	"2"	"6"	"4"	"5"	"5"	"3"	"6"	"6"	"7"	"3"	"448"	""	"448"	""
"106"	"68A"	"7"	"76"	"109"	"4"	"0"	"0"	"1"	"2"	"0"	"2"	"4"	"1"	"5"	"3"	"10"	"3"	"227"	""	"227"	""
"107"	"69"	"71"	"85"	"331"	"23"	"3"	"5"	"5"	"1"	"3"	"3"	"2"	"0"	"14"	"2"	"0"	"6"	"554"	""	"554"	""
"108"	"70"	"14"	"272"	"280"	"5"	"9"	"16"	"3"	"6"	"4"	"14"	"3"	"6"	"4"	"3"	"6"	"10"	"655"	""	"655"	""
"109"	"71"	"95"	"258"	"110"	"9"	"3"	"9"	"4"	"6"	"1"	"1"	"0"	"0"	"1"	"4"	"0"	"4"	"505"	""	"505"	""
"110"	"71A"	"13"	"226"	"13"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"2"	"0"	"1"	"3"	"267"	""	"267"	""
"111"	"72"	"25"	"288"	"35"	"5"	"1"	"7"	"9"	"1"	"4"	"7"	"0"	"24"	"0"	"29"	"8"	"4"	"447"	""	"447"	""
"112"	"73"	"32"	"347"	"208"	"14"	"4"	"9"	"1"	"7"	"5"	"12"	"4"	"7"	"2"	"4"	"8"	"8"	"672"	""	"672"	""
"113"	"74"	"66"	"97"	"285"	"14"	"1"	"7"	"4"	"5"	"2"	"5"	"3"	"2"	"5"	"10"	"8"	"10"	"524"	""	"524"	""
"114"	"75"	"53"	"229"	"4"	"2"	"1"	"3"	"3"	"3"	"1"	"4"	"1"	"1"	"3"	"3"	"10"	"4"	"325"	""	"325"	""
"115"	"76"	"16"	"231"	"15"	"0"	"0"	"2"	"2"	"2"	"1"	"8"	"1"	"5"	"0"	"4"	"10"	"5"	"302"	""	"302"	""
"116"	"77"	"124"	"111"	"84"	"23"	"0"	"1"	"2"	"1"	"6"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"358"	""	"358"	""
"117"	"78"	"24"	"181"	"202"	"9"	"1"	"6"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"5"	"2"	"436"	""	"436"	""
"118"	"Total -6"	"614"	"2743"	"1968"	"123"	"25"	"75"	"39"	"40"	"33"	"69"	"24"	"56"	"45"	"71"	"77"	"66"	"6068"	"0"	"6068"	"0"
"119"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"123"	"B.F."	"2654"	"10548"	"15229"	"1560"	"223"	"279"	"175"	"206"	"154"	"326"	"252"	"4402"	"504"	"222"	"467"	"401"	"37602"	"0"	"37602"	"0"
"124"	"79"	"204"	"189"	"143"	"7"	"3"	"11"	"6"	"4"	"6"	"6"	"1"	"5"	"1"	"2"	"9"	"3"	"600"	""	"600"	""
"125"	"80"	"23"	"304"	"211"	"5"	"6"	"8"	"4"	"2"	"2"	"8"	"2"	"11"	"0"	"4"	"3"	"1"	"594"	""	"594"	""
"126"	"81"	"35"	"119"	"193"	"16"	"1"	"0"	"0"	"1"	"4"	"5"	"1"	"2"	"3"	"8"	"10"	"18"	"416"	""	"416"	""
"127"	"82"	"41"	"236"	"219"	"9"	"3"	"5"	"4"	"1"	"0"	"8"	"5"	"8"	"4"	"5"	"13"	"18"	"579"	""	"579"	""
"128"	"83"	"78"	"103"	"72"	"7"	"0"	"8"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"4"	"0"	"280"	""	"280"	""
"129"	"84"	"71"	"135"	"193"	"4"	"4"	"2"	"3"	"6"	"4"	"6"	"1"	"3"	"3"	"3"	"5"	"7"	"450"	""	"450"	""
"130"	"85"	"103"	"141"	"239"	"10"	"3"	"7"	"4"	"4"	"4"	"9"	"4"	"8"	"2"	"9"	"16"	"16"	"579"	""	"579"	""
"131"	"86"	"66"	"68"	"67"	"2"	"3"	"2"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"1"	"2"	"4"	"221"	""	"221"	""
"132"	"87"	"42"	"258"	"87"	"7"	"4"	"12"	"2"	"8"	"2"	"7"	"5"	"3"	"1"	"6"	"19"	"4"	"467"	""	"467"	""
"133"	"88"	"36"	"151"	"154"	"78"	"3"	"4"	"8"	"3"	"3"	"17"	"4"	"12"	"4"	"4"	"10"	"14"	"505"	""	"505"	""
"134"	"89"	"18"	"109"	"261"	"23"	"4"	"6"	"2"	"10"	"7"	"16"	"3"	"13"	"2"	"8"	"3"	"5"	"490"	""	"490"	""
"135"	"90"	"9"	"414"	"15"	"1"	"4"	"4"	"1"	"2"	"0"	"6"	"0"	"7"	"3"	"0"	"7"	"2"	"475"	""	"475"	""
"136"	"91"	"16"	"66"	"245"	"10"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"6"	"4"	"4"	"359"	""	"359"	""
"137"	"92"	"19"	"273"	"64"	"11"	"2"	"7"	"0"	"0"	"0"	"7"	"0"	"0"	"1"	"1"	"6"	"12"	"403"	""	"403"	""
"138"	"Total -7"	"761"	"2566"	"2163"	"190"	"42"	"77"	"36"	"43"	"34"	"102"	"28"	"74"	"26"	"57"	"111"	"108"	"6418"	"0"	"6418"	"0"
"139"	""	""	""	""	""	""	"265858+184=266042
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Kishor Kumar Jha"	"Naiyar Azam"	"Ram Deo Mahto"	"Sanjay Kumar Mahto"	"Santosh Kumar Mahto"	"Ashok Prasad"	"Md. Idrish"	"Kalyan Bharti"	"Iivanand Mishra Jivan"	"Aghnu Yadav"	"Anil Kumar Das"	"Md. Abdullah"	"Amresh Kumar Shrivastav"	"Md. Faiyaj"	"Binod Kumar Azad"	"Mihir Jha"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"143"	"B.F."	"3415"	"13114"	"17392"	"1750"	"265"	"356"	"211"	"249"	"188"	"428"	"280"	"4476"	"530"	"279"	"578"	"509"	"44020"	"0"	"44020"	"0"
"144"	"93"	"17"	"176"	"348"	"6"	"3"	"10"	"2"	"5"	"3"	"8"	"1"	"1"	"0"	"2"	"6"	"3"	"591"	""	"591"	""
"145"	"94"	"80"	"168"	"162"	"4"	"0"	"7"	"0"	"2"	"7"	"6"	"2"	"0"	"2"	"3"	"6"	"3"	"452"	""	"452"	""
"146"	"95"	"100"	"48"	"140"	"14"	"2"	"3"	"3"	"4"	"3"	"4"	"6"	"1"	"1"	"3"	"0"	"5"	"337"	""	"337"	""
"147"	"95A"	"101"	"15"	"52"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"1"	"5"	"186"	""	"186"	""
"148"	"96"	"125"	"12"	"195"	"11"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"7"	"1"	"1"	"361"	""	"361"	""
