"Candidates..Name"	"DADAN.YADAV..MANPA."	"DR..DAUD.ALI"	"PRATIBHA.DEVI"	"SUNIL.KUMAR"	"AYODHYA.KUMAR.SINGH"	"DADAN.YADAV..SAMHAR."	"DHRUV.PRASAD.GUPTA"	"RAJ.RAM.CHOUDHARY"	"BINOD.SINGH"	"SATYENDAR.PRASAD"	"KAMALA.DEVI"	"GORAKH.NATH.SINGH"	"RANJIT.SINGH"	"HARERAM.SINGH"	"TOTAL"
"25"	"19"	"17"	"209"	"43"	"70"	"12"	"46"	"25"	"3"	"2"	"4"	"0"	"2"	"2"	"6"	"441"
"26"	"20"	"14"	"342"	"38"	"95"	"11"	"71"	"73"	"5"	"6"	"9"	"8"	"5"	"5"	"25"	"707"
"27"	"21"	"56"	"156"	"4"	"53"	"8"	"16"	"53"	"2"	"2"	"1"	"1"	"4"	"0"	"5"	"361"
"28"	"21A"	"4"	"88"	"26"	"81"	"51"	"10"	"46"	"4"	"0"	"5"	"4"	"3"	"3"	"12"	"337"
"29"	"22"	"61"	"33"	"22"	"173"	"5"	"25"	"13"	"4"	"4"	"0"	"5"	"0"	"2"	"3"	"350"
"30"	"23"	"29"	"41"	"29"	"102"	"0"	"85"	"4"	"1"	"0"	"0"	"1"	"4"	"1"	"2"	"299"
"31"	"24"	"166"	"109"	"82"	"21"	"4"	"6"	"25"	"2"	"2"	"1"	"0"	"3"	"3"	"12"	"436"
"32"	"25"	"28"	"90"	"3"	"72"	"5"	"124"	"36"	"112"	"8"	"6"	"7"	"10"	"2"	"15"	"518"
"33"	"26"	"11"	"300"	"22"	"65"	"2"	"32"	"66"	"9"	"2"	"2"	"3"	"14"	"11"	"15"	"554"
"34"	"27"	"4"	"230"	"5"	"102"	"11"	"39"	"28"	"0"	"0"	"0"	"1"	"1"	"3"	"5"	"429"
"35"	"28"	"8"	"164"	"21"	"33"	"2"	"8"	"29"	"2"	"0"	"2"	"0"	"8"	"7"	"6"	"290"
"36"	"29"	"5"	"192"	"3"	"27"	"142"	"9"	"41"	"2"	"1"	"0"	"23"	"3"	"3"	"26"	"477"
"37"	"30"	"32"	"247"	"25"	"79"	"49"	"23"	"59"	"5"	"2"	"5"	"9"	"4"	"6"	"14"	"559"
"38"	"31"	"15"	"182"	"26"	"181"	"7"	"77"	"38"	"10"	"5"	"8"	"5"	"7"	"7"	"26"	"594"
"39"	"32"	"7"	"118"	"82"	"18"	"0"	"10"	"16"	"0"	"0"	"0"	"1"	"1"	"4"	"3"	"260"
"40"	"33"	"27"	"259"	"59"	"77"	"10"	"19"	"77"	"1"	"2"	"4"	"5"	"7"	"7"	"16"	"570"
"41"	"34"	"11"	"10"	"7"	"256"	"5"	"69"	"3"	"0"	"0"	"0"	"1"	"6"	"1"	"1"	"370"
"42"	"35"	"18"	"7"	"2"	"165"	"1"	"22"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"3"	"224"
"43"	"36"	"17"	"263"	"48"	"140"	"10"	"39"	"50"	"9"	"7"	"6"	"4"	"5"	"14"	"18"	"630"
"44"	"37"	"60"	"215"	"53"	"58"	"46"	"117"	"55"	"4"	"8"	"13"	"10"	"17"	"13"	"34"	"703"
"45"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"46"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"50"	"38"	"17"	"224"	"10"	"121"	"9"	"17"	"28"	"2"	"1"	"5"	"6"	"8"	"13"	"36"	"497"
"51"	"39"	"8"	"47"	"34"	"167"	"8"	"136"	"20"	"74"	"4"	"4"	"3"	"2"	"2"	"3"	"512"
"52"	"40"	"17"	"136"	"60"	"82"	"19"	"84"	"67"	"9"	"6"	"5"	"10"	"4"	"9"	"11"	"519"
"53"	"41"	"159"	"45"	"17"	"196"	"21"	"93"	"21"	"5"	"4"	"10"	"11"	"8"	"8"	"18"	"616"
"54"	"42"	"9"	"171"	"31"	"63"	"11"	"124"	"71"	"5"	"2"	"5"	"2"	"6"	"2"	"4"	"506"
"55"	"43"	"38"	"176"	"16"	"203"	"87"	"72"	"65"	"11"	"12"	"13"	"16"	"28"	"13"	"35"	"785"
"56"	"44"	"36"	"139"	"10"	"282"	"28"	"81"	"67"	"6"	"7"	"8"	"12"	"16"	"7"	"21"	"720"
"57"	"45"	"10"	"13"	"1"	"51"	"5"	"325"	"12"	"118"	"1"	"2"	"6"	"23"	"1"	"1"	"569"
"58"	"46"	"61"	"6"	"3"	"22"	"2"	"173"	"11"	"0"	"2"	"2"	"3"	"19"	"0"	"3"	"307"
"59"	"47"	"4"	"19"	"0"	"16"	"1"	"482"	"20"	"139"	"3"	"0"	"2"	"9"	"0"	"1"	"696"
"60"	"48"	"57"	"155"	"43"	"34"	"7"	"115"	"40"	"5"	"7"	"2"	"2"	"12"	"6"	"11"	"496"
"61"	"49"	"4"	"2"	"1"	"39"	"6"	"154"	"3"	"1"	"3"	"2"	"6"	"24"	"1"	"0"	"246"
"62"	"50"	"34"	"254"	"10"	"3"	"4"	"33"	"39"	"2"	"4"	"2"	"4"	"28"	"4"	"24"	"445"
"63"	"51"	"1"	"154"	"9"	"6"	"6"	"44"	"32"	"2"	"1"	"1"	"3"	"68"	"6"	"5"	"338"
"64"	"52"	"7"	"74"	"8"	"2"	"2"	"76"	"12"	"3"	"1"	"5"	"2"	"54"	"2"	"3"	"251"
"65"	"53"	"21"	"136"	"3"	"77"	"11"	"27"	"39"	"7"	"1"	"3"	"2"	"16"	"7"	"10"	"360"
"66"	"54"	"40"	"124"	"14"	"16"	"68"	"30"	"37"	"22"	"1"	"2"	"1"	"1"	"6"	"13"	"375"
"67"	"55"	"16"	"215"	"22"	"45"	"31"	"37"	"70"	"180"	"9"	"7"	"6"	"10"	"8"	"33"	"689"
"68"	"56"	"83"	"256"	"20"	"81"	"71"	"111"	"54"	"7"	"4"	"10"	"14"	"7"	"1"	"21"	"740"
"69"	"57"	"60"	"186"	"52"	"116"	"19"	"23"	"41"	"4"	"4"	"3"	"4"	"5"	"14"	"27"	"558"
"70"	"58"	"13"	"208"	"133"	"44"	"13"	"18"	"62"	"2"	"0"	"1"	"3"	"5"	"9"	"8"	"519"
"71"	"59"	"50"	"354"	"73"	"58"	"67"	"61"	"43"	"3"	"4"	"4"	"2"	"4"	"6"	"9"	"738"
"72"	"60"	"32"	"289"	"68"	"27"	"12"	"26"	"62"	"2"	"1"	"1"	"2"	"4"	"5"	"9"	"540"
"73"	"61"	"209"	"29"	"9"	"319"	"14"	"81"	"8"	"2"	"1"	"5"	"6"	"8"	"4"	"15"	"710"
"74"	"62"	"28"	"7"	"11"	"233"	"10"	"180"	"6"	"2"	"3"	"0"	"3"	"1"	"7"	"5"	"496"
"75"	"63"	"5"	"296"	"53"	"17"	"1"	"53"	"75"	"77"	"4"	"4"	"1"	"3"	"5"	"6"	"600"
"76"	"64"	"6"	"269"	"36"	"24"	"13"	"89"	"32"	"3"	"2"	"4"	"5"	"8"	"1"	"5"	"497"
"77"	"65"	"3"	"314"	"20"	"22"	"15"	"104"	"25"	"0"	"1"	"1"	"3"	"4"	"3"	"9"	"524"
"78"	"66"	"1"	"145"	"74"	"38"	"5"	"67"	"31"	"2"	"2"	"3"	"1"	"2"	"2"	"3"	"376"
"79"	"67"	"49"	"377"	"56"	"47"	"11"	"79"	"71"	"53"	"3"	"7"	"2"	"15"	"2"	"9"	"781"
"80"	"68"	"4"	"226"	"17"	"21"	"10"	"86"	"32"	"6"	"2"	"4"	"3"	"3"	"8"	"15"	"437"
"81"	"68A"	"9"	"185"	"20"	"16"	"2"	"76"	"36"	"5"	"3"	"1"	"1"	"3"	"5"	"8"	"370"
"82"	"69"	"11"	"208"	"11"	"6"	"6"	"248"	"38"	"2"	"6"	"4"	"4"	"3"	"5"	"8"	"560"
"83"	"70"	"21"	"154"	"15"	"32"	"5"	"324"	"50"	"5"	"4"	"5"	"3"	"1"	"3"	"0"	"622"
"84"	"71"	"5"	"355"	"6"	"27"	"7"	"77"	"38"	"5"	"0"	"7"	"1"	"4"	"4"	"13"	"549"
"85"	"72"	"14"	"248"	"6"	"6"	"14"	"212"	"51"	"8"	"5"	"7"	"3"	"5"	"6"	"7"	"592"
"86"	"73"	"9"	"338"	"13"	"25"	"8"	"259"	"80"	"16"	"4"	"7"	"11"	"7"	"13"	"27"	"817"
"87"	"74"	"2"	"117"	"6"	"9"	"4"	"175"	"24"	"3"	"2"	"1"	"1"	"7"	"2"	"6"	"359"
"88"	"75"	"7"	"170"	"11"	"18"	"3"	"193"	"36"	"6"	"4"	"3"	"3"	"5"	"3"	"7"	"469"
"89"	"76"	"3"	"217"	"7"	"11"	"4"	"195"	"48"	"9"	"5"	"9"	"8"	"11"	"8"	"11"	"546"
"90"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"91"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"95"	"77"	"3"	"317"	"16"	"15"	"9"	"154"	"39"	"2"	"1"	"6"	"3"	"7"	"4"	"6"	"582"
"96"	"78"	"8"	"193"	"14"	"32"	"8"	"137"	"41"	"63"	"3"	"1"	"6"	"8"	"3"	"15"	"532"
"97"	"79"	"2"	"140"	"11"	"22"	"3"	"188"	"28"	"3"	"3"	"1"	"4"	"9"	"2"	"2"	"418"
"98"	"79A"	"11"	"139"	"18"	"12"	"6"	"130"	"42"	"4"	"1"	"2"	"2"	"7"	"1"	"2"	"377"
"99"	"80"	"1"	"178"	"11"	"18"	"6"	"134"	"35"	"2"	"2"	"2"	"3"	"3"	"6"	"9"	"410"
"100"	"81"	"26"	"192"	"29"	"65"	"10"	"254"	"51"	"10"	"9"	"10"	"5"	"8"	"12"	"14"	"695"
"101"	"82"	"1"	"299"	"39"	"30"	"12"	"225"	"87"	"13"	"11"	"9"	"4"	"25"	"7"	"22"	"784"
"102"	"83"	"6"	"131"	"9"	"52"	"7"	"214"	"45"	"7"	"5"	"6"	"5"	"9"	"6"	"5"	"507"
"103"	"83A"	"5"	"159"	"15"	"25"	"1"	"80"	"33"	"2"	"0"	"1"	"0"	"13"	"1"	"0"	"335"
"104"	"84"	"8"	"224"	"39"	"7"	"4"	"101"	"54"	"1"	"3"	"1"	"3"	"13"	"5"	"6"	"469"
"105"	"85"	"5"	"320"	"14"	"8"	"6"	"48"	"52"	"3"	"1"	"4"	"3"	"3"	"1"	"2"	"470"
"106"	"86"	"11"	"261"	"18"	"70"	"15"	"173"	"46"	"11"	"8"	"12"	"12"	"30"	"14"	"37"	"718"
"107"	"87"	"19"	"249"	"7"	"171"	"12"	"139"	"98"	"21"	"10"	"5"	"4"	"13"	"7"	"14"	"769"
"108"	"88"	"45"	"198"	"7"	"36"	"65"	"111"	"34"	"10"	"6"	"5"	"3"	"6"	"4"	"20"	"550"
"109"	"88A"	"32"	"157"	"7"	"24"	"69"	"23"	"32"	"1"	"0"	"1"	"4"	"8"	"2"	"6"	"366"
"110"	"89"	"21"	"64"	"10"	"10"	"13"	"115"	"57"	"217"	"18"	"11"	"8"	"12"	"5"	"20"	"581"
"111"	"90"	"51"	"107"	"33"	"46"	"71"	"59"	"66"	"31"	"11"	"6"	"11"	"5"	"7"	"21"	"525"
"112"	"91"	"9"	"120"	"137"	"21"	"2"	"53"	"32"	"0"	"4"	"2"	"1"	"4"	"7"	"9"	"401"
"113"	"92"	"15"	"139"	"13"	"30"	"4"	"101"	"32"	"54"	"4"	"1"	"4"	"1"	"14"	"13"	"425"
"114"	"93"	"26"	"177"	"17"	"188"	"115"	"78"	"43"	"108"	"3"	"8"	"5"	"7"	"10"	"19"	"804"
"115"	"94"	"416"	"21"	"4"	"113"	"11"	"22"	"1"	"1"	"2"	"1"	"2"	"3"	"1"	"6"	"604"
"116"	"95"	"167"	"40"	"17"	"29"	"40"	"23"	"11"	"0"	"0"	"8"	"12"	"2"	"103"	"18"	"470"
"117"	"96"	"148"	"83"	"47"	"131"	"19"	"81"	"18"	"4"	"2"	"0"	"3"	"2"	"4"	"12"	"554"
"118"	"97"	"74"	"106"	"27"	"79"	"128"	"51"	"41"	"9"	"5"	"6"	"5"	"4"	"4"	"15"	"554"
"119"	"98"	"86"	"57"	"71"	"142"	"21"	"54"	"15"	"3"	"2"	"3"	"4"	"11"	"7"	"16"	"492"
"120"	"99"	"32"	"217"	"4"	"39"	"6"	"12"	"19"	"0"	"1"	"4"	"3"	"5"	"5"	"6"	"353"
"121"	"100"	"40"	"65"	"44"	"36"	"1"	"12"	"19"	"0"	"0"	"4"	"3"	"3"	"5"	"6"	"238"
"122"	"101"	"11"	"70"	"151"	"124"	"190"	"13"	"28"	"2"	"1"	"6"	"3"	"16"	"6"	"15"	"636"
"123"	"102"	"34"	"179"	"4"	"27"	"48"	"137"	"28"	"6"	"7"	"4"	"3"	"0"	"7"	"9"	"493"
"124"	"103"	"101"	"35"	"1"	"13"	"3"	"240"	"18"	"1"	"7"	"5"	"1"	"1"	"7"	"9"	"442"
"125"	"104"	"48"	"208"	"20"	"35"	"104"	"29"	"48"	"6"	"6"	"10"	"6"	"7"	"3"	"14"	"544"
"126"	"105"	"33"	"165"	"21"	"82"	"56"	"74"	"38"	"10"	"1"	"3"	"2"	"4"	"7"	"23"	"519"
"127"	"106"	"13"	"103"	"25"	"35"	"55"	"7"	"20"	"2"	"0"	"6"	"2"	"6"	"224"	"22"	"520"
"128"	"107"	"79"	"165"	"34"	"132"	"44"	"15"	"19"	"4"	"3"	"4"	"4"	"10"	"95"	"28"	"636"
"129"	"108"	"12"	"71"	"33"	"43"	"50"	"8"	"15"	"5"	"8"	"2"	"0"	"8"	"97"	"16"	"368"
"130"	"109"	"15"	"132"	"31"	"78"	"19"	"45"	"32"	"3"	"6"	"6"	"6"	"3"	"154"	"26"	"556"
"131"	"110"	"9"	"168"	"7"	"56"	"13"	"9"	"19"	"2"	"2"	"2"	"1"	"1"	"32"	"16"	"337"
"132"	"111"	"8"	"73"	"11"	"34"	"4"	"12"	"19"	"2"	"0"	"4"	"3"	"1"	"192"	"17"	"380"
"133"	"112"	"20"	"157"	"21"	"7"	"15"	"3"	"35"	"4"	"2"	"8"	"7"	"2"	"114"	"24"	"419"
"134"	"113"	"12"	"97"	"17"	"10"	"8"	"22"	"26"	"0"	"5"	"9"	"8"	"10"	"143"	"28"	"395"
"135"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"136"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"140"	"114"	"17"	"106"	"10"	"9"	"56"	"36"	"27"	"2"	"5"	"7"	"5"	"8"	"24"	"19"	"331"
"141"	"114A"	"109"	"165"	"6"	"35"	"13"	"24"	"12"	"2"	"2"	"3"	"10"	"1"	"14"	"9"	"405"
"142"	"115"	"10"	"226"	"11"	"30"	"39"	"43"	"45"	"4"	"2"	"2"	"2"	"0"	"7"	"10"	"431"
"143"	"116"	"5"	"96"	"10"	"66"	"72"	"38"	"45"	"6"	"2"	"6"	"4"	"11"	"17"	"19"	"397"
"144"	"117"	"25"	"201"	"16"	"24"	"49"	"18"	"27"	"4"	"0"	"5"	"2"	"7"	"12"	"20"	"410"
"145"	"118"	"8"	"113"	"8"	"30"	"163"	"6"	"51"	"4"	"2"	"7"	"1"	"2"	"8"	"13"	"416"
"146"	"119"	"27"	"60"	"10"	"304"	"11"	"73"	"19"	"5"	"3"	"3"	"6"	"12"	"7"	"7"	"547"
"147"	"120"	"6"	"258"	"31"	"101"	"12"	"5"	"30"	"2"	"1"	"2"	"1"	"2"	"6"	"9"	"466"
"148"	"121"	"67"	"76"	"8"	"279"	"16"	"34"	"29"	"0"	"6"	"1"	"2"	"10"	"9"	"18"	"555"
"149"	"122"	"61"	"54"	"21"	"223"	"2"	"25"	"21"	"1"	"1"	"2"	"1"	"4"	"4"	"4"	"424"
"150"	"123"	"18"	"84"	"3"	"109"	"0"	"3"	"2"	"1"	"0"	"1"	"5"	"4"	"3"	"5"	"238"
"151"	"124"	"20"	"306"	"23"	"63"	"5"	"9"	"36"	"0"	"3"	"2"	"0"	"5"	"5"	"13"	"490"
"152"	"125"	"11"	"106"	"12"	"15"	"0"	"35"	"18"	"2"	"2"	"1"	"1"	"3"	"0"	"8"	"214"
"153"	"126"	"10"	"86"	"64"	"79"	"6"	"51"	"22"	"2"	"1"	"1"	"1"	"3"	"16"	"11"	"353"
"154"	"127"	"18"	"421"	"7"	"61"	"16"	"9"	"43"	"2"	"1"	"1"	"4"	"1"	"6"	"12"	"602"
"155"	"128"	"6"	"175"	"7"	"267"	"10"	"28"	"23"	"2"	"3"	"7"	"10"	"7"	"5"	"8"	"558"
"156"	"129"	"2"	"127"	"21"	"263"	"13"	"59"	"32"	"2"	"1"	"2"	"5"	"6"	"15"	"14"	"562"
"157"	"130"	"2"	"68"	"70"	"139"	"151"	"32"	"17"	"0"	"1"	"0"	"4"	"6"	"8"	"7"	"505"
"158"	"131"	"20"	"27"	"16"	"275"	"42"	"150"	"21"	"1"	"4"	"6"	"7"	"8"	"19"	"8"	"604"
"159"	"132"	"6"	"121"	"3"	"144"	"29"	"32"	"25"	"1"	"2"	"2"	"2"	"3"	"2"	"7"	"379"
"160"	"133"	"49"	"137"	"5"	"187"	"97"	"10"	"27"	"2"	"2"	"4"	"3"	"3"	"5"	"10"	"541"
"161"	"134"	"5"	"181"	"19"	"254"	"10"	"18"	"58"	"5"	"2"	"4"	"5"	"4"	"3"	"12"	"580"
"162"	"135"	"9"	"163"	"8"	"229"	"107"	"39"	"47"	"4"	"3"	"4"	"4"	"6"	"7"	"21"	"651"
"163"	"136"	"9"	"84"	"42"	"54"	"32"	"7"	"39"	"3"	"1"	"6"	"2"	"5"	"6"	"11"	"301"
"164"	"137"	"33"	"139"	"9"	"103"	"253"	"129"	"54"	"1"	"3"	"3"	"6"	"6"	"5"	"20"	"764"
"165"	"138"	"8"	"83"	"13"	"49"	"21"	"96"	"12"	"0"	"0"	"2"	"16"	"0"	"2"	"1"	"303"
"166"	"139"	"11"	"120"	"8"	"43"	"81"	"9"	"12"	"1"	"2"	"3"	"0"	"3"	"5"	"7"	"305"
"167"	"140"	"16"	"64"	"86"	"52"	"122"	"48"	"28"	"2"	"0"	"2"	"8"	"2"	"1"	"11"	"442"
"168"	"141"	"5"	"177"	"26"	"40"	"41"	"15"	"34"	"5"	"2"	"1"	"0"	"1"	"12"	"5"	"364"
"169"	"141A"	"22"	"305"	"17"	"70"	"84"	"46"	"52"	"3"	"3"	"3"	"10"	"1"	"6"	"16"	"638"
"170"	"142"	"50"	"31"	"10"	"42"	"2"	"93"	"21"	"55"	"1"	"3"	"5"	"5"	"2"	"9"	"329"
"171"	"143"	"36"	"89"	"16"	"7"	"1"	"7"	"6"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"167"
"172"	"144"	"1"	"169"	"134"	"4"	"1"	"25"	"46"	"2"	"2"	"4"	"0"	"2"	"4"	"8"	"402"
"173"	"145"	"23"	"111"	"31"	"114"	"2"	"37"	"29"	"60"	"0"	"1"	"3"	"3"	"2"	"1"	"417"
"174"	"146"	"13"	"211"	"6"	"38"	"3"	"34"	"14"	"3"	"2"	"3"	"2"	"0"	"4"	"9"	"342"
"175"	"147"	"5"	"172"	"8"	"5"	"0"	"10"	"22"	"0"	"1"	"0"	"0"	"1"	"4"	"7"	"235"
"176"	"148"	"31"	"226"	"18"	"182"	"8"	"46"	"31"	"6"	"2"	"4"	"8"	"3"	"11"	"15"	"591"
"177"	"148A"	"9"	"64"	"4"	"115"	"10"	"131"	"18"	"0"	"4"	"4"	"5"	"6"	"2"	"7"	"379"
"178"	"149"	"5"	"271"	"50"	"14"	"20"	"99"	"75"	"9"	"1"	"6"	"14"	"25"	"13"	"7"	"609"
"179"	"150"	"15"	"321"	"36"	"51"	"13"	"139"	"69"	"15"	"2"	"8"	"2"	"10"	"6"	"16"	"703"
"180"	"Candidates  Name"	"DADAN YADAV (MANPA)"	"DR. DAUD ALI"	"PRATIBHA DEVI"	"SUNIL KUMAR"	"AYODHYA KUMAR SINGH"	"DADAN YADAV (SAMHAR)"	"DHRUV PRASAD GUPTA"	"RAJ RAM CHOUDHARY"	"BINOD SINGH"	"SATYENDAR PRASAD"	"KAMALA DEVI"	"GORAKH NATH SINGH"	"RANJIT SINGH"	"HARERAM SINGH"	"TOTAL"
"181"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"33"
"185"	"151"	"11"	"169"	"30"	"31"	"6"	"47"	"57"	"320"	"17"	"13"	"10"	"14"	"21"	"34"	"780"
"186"	"152"	"0"	"95"	"24"	"59"	"3"	"45"	"11"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"245"
"187"	"153"	"33"	"21"	"30"	"116"	"90"	"15"	"7"	"1"	"1"	"1"	"3"	"2"	"52"	"8"	"380"
"188"	"154"	"4"	"136"	"14"	"11"	"7"	"7"	"17"	"3"	"0"	"2"	"2"	"10"	"2"	"9"	"224"
"189"	"155"	"9"	"76"	"6"	"123"	"21"	"45"	"8"	"2"	"0"	"1"	"0"	"3"	"2"	"9"	"305"
"190"	"156"	"10"	"92"	"167"	"62"	"60"	"20"	"16"	"4"	"2"	"2"	"1"	"3"	"15"	"9"	"463"
"191"	"157"	"1"	"221"	"42"	"102"	"8"	"49"	"53"	"5"	"2"	"2"	"7"	"4"	"4"	"10"	"510"
"192"	"158"	"5"	"113"	"22"	"15"	"6"	"31"	"27"	"1"	"1"	"0"	"1"	"1"	"1"	"6"	"230"
"193"	"159"	"10"	"41"	"5"	"151"	"19"	"174"	"30"	"4"	"2"	"10"	"30"	"4"	"2"	"10"	"492"
"194"	"159A"	"13"	"39"	"3"	"209"	"8"	"70"	"13"	"0"	"2"	"2"	"5"	"3"	"2"	"6"	"375"
"195"	"160"	"18"	"104"	"7"	"78"	"3"	"0"	"9"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"225"
