"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"22"	"16"	""	"15"	"24"	"3"	"442"	"27"	"5"	"2"	"3"	"3"	"3"	"3"	"6"	"4"	"2"	"3"	"545"
"23"	"17"	""	"7"	"23"	"4"	"104"	"20"	"1"	"4"	"6"	"5"	"2"	"5"	"9"	"24"	"7"	"8"	"229"
"24"	"18"	""	"3"	"14"	"8"	"115"	"192"	"5"	"0"	"2"	"2"	"28"	"3"	"5"	"3"	"2"	"9"	"391"
"25"	"19"	""	"4"	"5"	"9"	"316"	"104"	"7"	"1"	"1"	"7"	"2"	"11"	"21"	"18"	"5"	"3"	"514"
"26"	"20"	""	"5"	"1"	"16"	"23"	"308"	"3"	"1"	"3"	"1"	"16"	"16"	"7"	"8"	"5"	"15"	"428"
"27"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"29"	"21"	""	"23"	"43"	"14"	"148"	"199"	"4"	"0"	"2"	"4"	"4"	"7"	"4"	"13"	"3"	"8"	"476"
"30"	"22"	""	"7"	"34"	"4"	"62"	"275"	"4"	"2"	"6"	"0"	"4"	"3"	"0"	"14"	"3"	"0"	"418"
"31"	"23"	""	"4"	"58"	"63"	"55"	"266"	"5"	"1"	"2"	"4"	"6"	"6"	"7"	"12"	"7"	"10"	"506"
"32"	"24"	""	"5"	"117"	"3"	"54"	"284"	"5"	"6"	"35"	"6"	"9"	"3"	"1"	"40"	"6"	"7"	"581"
"33"	"25"	""	"4"	"3"	"4"	"46"	"143"	"4"	"0"	"1"	"2"	"1"	"3"	"2"	"33"	"0"	"2"	"248"
"34"	"26"	""	"12"	"28"	"5"	"258"	"131"	"3"	"3"	"1"	"6"	"1"	"3"	"2"	"14"	"1"	"1"	"469"
"35"	"27"	""	"1"	"40"	"11"	"60"	"245"	"4"	"1"	"4"	"0"	"1"	"3"	"4"	"33"	"0"	"1"	"408"
"36"	"28"	""	"10"	"10"	"9"	"242"	"113"	"6"	"3"	"3"	"3"	"3"	"3"	"4"	"7"	"0"	"0"	"416"
"37"	"29"	""	"4"	"12"	"64"	"136"	"163"	"3"	"4"	"2"	"6"	"9"	"12"	"12"	"15"	"5"	"22"	"469"
"38"	"30"	""	"6"	"2"	"3"	"153"	"110"	"3"	"1"	"3"	"5"	"3"	"7"	"2"	"67"	"4"	"4"	"373"
"39"	"31"	""	"18"	"12"	"40"	"335"	"235"	"5"	"8"	"5"	"16"	"9"	"8"	"5"	"39"	"2"	"7"	"744"
"40"	"32"	""	"4"	"5"	"7"	"97"	"181"	"2"	"2"	"3"	"1"	"9"	"6"	"7"	"6"	"8"	"5"	"343"
"41"	"33"	""	"30"	"18"	"6"	"202"	"26"	"2"	"3"	"2"	"3"	"6"	"2"	"1"	"1"	"0"	"4"	"306"
"42"	"34"	""	"35"	"2"	"8"	"393"	"181"	"2"	"0"	"5"	"1"	"3"	"5"	"3"	"5"	"2"	"0"	"645"
"43"	"35"	""	"55"	"22"	"1"	"110"	"211"	"1"	"4"	"3"	"6"	"6"	"5"	"9"	"21"	"4"	"4"	"462"
"44"	"36"	""	"1"	"13"	"4"	"156"	"128"	"0"	"0"	"3"	"1"	"1"	"4"	"2"	"10"	"1"	"1"	"325"
"45"	"37"	""	"4"	"14"	"10"	"25"	"280"	"12"	"1"	"1"	"1"	"6"	"10"	"6"	"11"	"7"	"12"	"400"
"46"	"38"	""	"24"	"25"	"7"	"112"	"391"	"13"	"7"	"7"	"9"	"22"	"33"	"13"	"10"	"21"	"21"	"715"
"47"	"39"	""	"45"	"8"	"4"	"458"	"47"	"5"	"2"	"6"	"7"	"3"	"4"	"3"	"7"	"3"	"4"	"606"
"48"	"40"	""	"112"	"40"	"10"	"162"	"188"	"7"	"3"	"14"	"6"	"16"	"11"	"10"	"38"	"10"	"17"	"644"
"49"	"41"	""	"22"	"146"	"13"	"97"	"194"	"6"	"4"	"4"	"7"	"12"	"1"	"5"	"9"	"7"	"9"	"536"
"50"	"42"	""	"9"	"177"	"12"	"174"	"321"	"7"	"7"	"2"	"4"	"7"	"13"	"7"	"27"	"4"	"7"	"778"
"51"	"43"	""	"7"	"39"	"6"	"180"	"129"	"2"	"1"	"2"	"3"	"6"	"2"	"2"	"4"	"2"	"1"	"386"
"52"	"44"	""	"7"	"368"	"10"	"92"	"121"	"4"	"0"	"1"	"1"	"4"	"1"	"1"	"5"	"2"	"3"	"620"
"53"	"45"	""	"6"	"50"	"30"	"11"	"82"	"0"	"1"	"0"	"1"	"0"	"3"	"3"	"29"	"2"	"2"	"220"
"54"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"55"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"56"	"46"	""	"3"	"37"	"1"	"46"	"136"	"4"	"1"	"0"	"7"	"10"	"6"	"8"	"60"	"8"	"5"	"332"
"57"	"47"	""	"20"	"6"	"1"	"19"	"64"	"1"	"1"	"0"	"6"	"2"	"5"	"1"	"203"	"5"	"3"	"337"
"58"	"48"	""	"7"	"27"	"28"	"42"	"50"	"2"	"3"	"4"	"4"	"4"	"4"	"7"	"6"	"3"	"9"	"200"
"59"	"49"	""	"5"	"1"	"20"	"81"	"38"	"1"	"1"	"4"	"5"	"2"	"4"	"7"	"123"	"1"	"8"	"301"
"60"	"50"	""	"295"	"9"	"46"	"35"	"19"	"5"	"4"	"1"	"7"	"5"	"5"	"2"	"34"	"6"	"21"	"494"
"61"	"51"	""	"31"	"29"	"32"	"199"	"49"	"5"	"3"	"14"	"15"	"8"	"16"	"9"	"41"	"8"	"6"	"465"
"62"	"52"	""	"12"	"13"	"4"	"232"	"11"	"2"	"1"	"1"	"9"	"1"	"5"	"5"	"67"	"4"	"3"	"370"
"63"	"53"	""	"71"	"19"	"9"	"102"	"286"	"15"	"10"	"6"	"10"	"20"	"10"	"12"	"61"	"5"	"29"	"665"
"64"	"54"	""	"9"	"14"	"5"	"76"	"520"	"4"	"2"	"2"	"3"	"14"	"4"	"2"	"19"	"2"	"5"	"681"
"65"	"55"	""	"52"	"11"	"9"	"11"	"72"	"3"	"2"	"0"	"1"	"3"	"2"	"1"	"3"	"1"	"8"	"179"
"66"	"56"	""	"51"	"8"	"7"	"57"	"72"	"6"	"0"	"3"	"2"	"13"	"16"	"14"	"10"	"7"	"20"	"286"
"67"	"57"	""	"9"	"6"	"22"	"65"	"216"	"6"	"2"	"1"	"5"	"6"	"8"	"1"	"31"	"1"	"2"	"381"
"68"	"58"	""	"14"	"8"	"57"	"137"	"168"	"4"	"5"	"8"	"8"	"15"	"19"	"14"	"45"	"4"	"12"	"518"
"69"	"59"	""	"3"	"6"	"66"	"35"	"152"	"2"	"1"	"1"	"3"	"5"	"8"	"2"	"58"	"4"	"0"	"346"
"70"	"60"	""	"3"	"6"	"69"	"112"	"265"	"2"	"2"	"6"	"10"	"3"	"6"	"10"	"71"	"4"	"2"	"571"
"71"	"61"	""	"25"	"1"	"6"	"37"	"208"	"2"	"3"	"1"	"5"	"4"	"5"	"2"	"4"	"1"	"1"	"305"
"72"	"62"	""	"111"	"5"	"4"	"80"	"67"	"3"	"0"	"0"	"8"	"3"	"4"	"7"	"74"	"3"	"18"	"387"
"73"	"62"	"A"	"82"	"4"	"2"	"91"	"25"	"3"	"1"	"3"	"4"	"7"	"6"	"8"	"57"	"7"	"10"	"310"
"74"	"63"	""	"45"	"4"	"26"	"196"	"129"	"4"	"8"	"5"	"15"	"13"	"11"	"8"	"16"	"9"	"18"	"507"
"75"	"64"	""	"1"	"3"	"1"	"9"	"64"	"1"	"0"	"1"	"4"	"2"	"1"	"3"	"130"	"4"	"0"	"224"
"76"	"65"	""	"4"	"2"	"8"	"81"	"205"	"1"	"3"	"1"	"2"	"11"	"7"	"17"	"8"	"15"	"6"	"371"
"77"	"66"	""	"19"	"30"	"39"	"106"	"328"	"12"	"4"	"3"	"12"	"13"	"7"	"13"	"34"	"82"	"14"	"716"
"78"	"67"	""	"8"	"3"	"5"	"108"	"122"	"2"	"1"	"2"	"5"	"7"	"5"	"8"	"149"	"12"	"3"	"440"
"79"	"68"	""	"1"	"3"	"0"	"28"	"224"	"2"	"1"	"1"	"2"	"1"	"3"	"1"	"39"	"1"	"1"	"308"
"80"	"69"	""	"8"	"7"	"2"	"67"	"436"	"3"	"2"	"3"	"3"	"12"	"17"	"11"	"30"	"2"	"4"	"607"
"81"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"82"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"83"	"70"	""	"21"	"17"	"9"	"128"	"96"	"4"	"0"	"1"	"8"	"14"	"10"	"14"	"109"	"12"	"13"	"456"
"84"	"71"	""	"4"	"3"	"6"	"83"	"117"	"6"	"2"	"1"	"6"	"9"	"3"	"6"	"4"	"4"	"4"	"258"
"85"	"72"	""	"28"	"3"	"6"	"38"	"10"	"2"	"0"	"1"	"4"	"0"	"3"	"0"	"83"	"5"	"3"	"186"
"86"	"73"	""	"12"	"6"	"44"	"119"	"55"	"1"	"3"	"7"	"8"	"8"	"6"	"9"	"109"	"5"	"4"	"396"
"87"	"74"	""	"1"	"11"	"0"	"32"	"182"	"0"	"2"	"1"	"3"	"5"	"8"	"1"	"98"	"3"	"7"	"354"
"88"	"75"	""	"7"	"2"	"4"	"15"	"149"	"8"	"0"	"1"	"4"	"19"	"15"	"2"	"135"	"8"	"5"	"374"
"89"	"76"	""	"37"	"8"	"4"	"48"	"160"	"5"	"7"	"4"	"14"	"6"	"8"	"13"	"209"	"8"	"16"	"547"
"90"	"77"	""	"5"	"5"	"44"	"126"	"82"	"0"	"0"	"3"	"2"	"4"	"4"	"5"	"44"	"2"	"8"	"334"
"91"	"78"	""	"3"	"4"	"1"	"86"	"22"	"2"	"4"	"1"	"4"	"5"	"1"	"5"	"42"	"1"	"1"	"182"
"92"	"79"	""	"3"	"11"	"0"	"165"	"9"	"2"	"1"	"2"	"3"	"2"	"2"	"0"	"1"	"0"	"1"	"202"
"93"	"80"	""	"3"	"4"	"12"	"30"	"46"	"2"	"4"	"5"	"9"	"3"	"5"	"14"	"344"	"4"	"12"	"497"
"94"	"81"	""	"12"	"6"	"42"	"137"	"209"	"8"	"10"	"5"	"11"	"13"	"7"	"5"	"6"	"3"	"6"	"480"
"95"	"82"	""	"23"	"16"	"12"	"264"	"109"	"7"	"9"	"6"	"14"	"7"	"11"	"4"	"21"	"3"	"6"	"512"
"96"	"83"	""	"1"	"0"	"2"	"21"	"106"	"5"	"2"	"2"	"3"	"2"	"1"	"3"	"3"	"1"	"2"	"154"
"97"	"84"	""	"8"	"2"	"16"	"82"	"358"	"9"	"3"	"11"	"10"	"18"	"21"	"15"	"14"	"12"	"19"	"598"
"98"	"85"	""	"9"	"6"	"7"	"70"	"220"	"4"	"1"	"1"	"9"	"8"	"9"	"4"	"27"	"3"	"4"	"382"
"99"	"86"	""	"2"	"4"	"1"	"90"	"151"	"5"	"1"	"1"	"1"	"4"	"5"	"7"	"8"	"1"	"3"	"284"
"100"	"87"	""	"23"	"8"	"4"	"132"	"275"	"4"	"2"	"3"	"8"	"10"	"5"	"3"	"13"	"8"	"10"	"508"
"101"	"88"	""	"5"	"1"	"9"	"185"	"89"	"6"	"0"	"5"	"4"	"7"	"9"	"4"	"10"	"3"	"2"	"339"
"102"	"89"	""	"14"	"5"	"14"	"119"	"353"	"8"	"2"	"3"	"9"	"8"	"16"	"12"	"4"	"1"	"8"	"576"
"103"	"90"	""	"7"	"5"	"2"	"184"	"95"	"3"	"0"	"0"	"2"	"0"	"2"	"5"	"0"	"10"	"1"	"316"
"104"	"91"	""	"6"	"39"	"6"	"250"	"64"	"3"	"1"	"2"	"2"	"3"	"5"	"5"	"2"	"8"	"7"	"403"
"105"	"92"	""	"5"	"5"	"20"	"83"	"112"	"2"	"1"	"2"	"0"	"2"	"5"	"8"	"11"	"3"	"1"	"260"
"106"	"93"	""	"15"	"33"	"6"	"115"	"227"	"8"	"2"	"6"	"7"	"16"	"12"	"14"	"63"	"7"	"12"	"543"
"107"	"94"	""	"8"	"2"	"27"	"73"	"175"	"5"	"2"	"1"	"2"	"5"	"6"	"7"	"13"	"4"	"7"	"337"
"108"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"109"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"110"	"95"	""	"7"	"5"	"3"	"384"	"60"	"4"	"1"	"1"	"2"	"4"	"5"	"6"	"13"	"3"	"3"	"501"
"111"	"96"	""	"16"	"6"	"28"	"117"	"230"	"6"	"4"	"2"	"4"	"15"	"6"	"6"	"6"	"6"	"13"	"465"
"112"	"97"	""	"1"	"7"	"1"	"178"	"220"	"2"	"0"	"0"	"2"	"2"	"4"	"3"	"7"	"5"	"2"	"434"
"113"	"98"	""	"6"	"6"	"9"	"175"	"215"	"8"	"1"	"7"	"2"	"10"	"5"	"12"	"7"	"12"	"8"	"483"
"114"	"99"	""	"4"	"8"	"11"	"220"	"186"	"13"	"4"	"4"	"2"	"2"	"7"	"8"	"4"	"2"	"4"	"479"
"115"	"100"	""	"21"	"13"	"31"	"184"	"290"	"6"	"4"	"2"	"5"	"6"	"6"	"4"	"4"	"5"	"6"	"587"
"116"	"101"	""	"76"	"7"	"4"	"125"	"247"	"4"	"5"	"1"	"2"	"4"	"2"	"1"	"1"	"7"	"3"	"489"
"117"	"102"	""	"8"	"11"	"21"	"171"	"262"	"6"	"3"	"3"	"5"	"9"	"8"	"6"	"5"	"7"	"4"	"529"
"118"	"103"	""	"5"	"10"	"5"	"73"	"214"	"9"	"2"	"3"	"6"	"16"	"13"	"20"	"13"	"6"	"15"	"410"
"119"	"104"	""	"9"	"3"	"6"	"165"	"371"	"7"	"2"	"2"	"4"	"19"	"4"	"15"	"6"	"7"	"7"	"627"
"120"	"105"	""	"12"	"5"	"3"	"91"	"235"	"4"	"5"	"7"	"9"	"6"	"5"	"1"	"6"	"6"	"10"	"405"
"121"	"106"	""	"1"	"10"	"1"	"20"	"141"	"3"	"2"	"3"	"4"	"10"	"12"	"7"	"15"	"29"	"6"	"264"
"122"	"107"	""	"2"	"6"	"2"	"30"	"118"	"2"	"1"	"4"	"10"	"3"	"9"	"9"	"24"	"81"	"8"	"309"
"123"	"108"	""	"1"	"20"	"8"	"58"	"112"	"0"	"1"	"1"	"4"	"4"	"2"	"5"	"127"	"2"	"3"	"348"
"124"	"109"	""	"5"	"6"	"1"	"93"	"102"	"3"	"0"	"1"	"8"	"2"	"4"	"3"	"223"	"13"	"5"	"469"
"125"	"110"	""	"1"	"19"	"2"	"244"	"159"	"1"	"0"	"0"	"7"	"1"	"4"	"7"	"5"	"3"	"3"	"456"
"126"	"111"	""	"20"	"4"	"16"	"301"	"52"	"3"	"5"	"3"	"9"	"7"	"5"	"14"	"7"	"5"	"9"	"460"
"127"	"112"	""	"97"	"11"	"6"	"251"	"52"	"4"	"2"	"0"	"5"	"1"	"3"	"8"	"8"	"2"	"9"	"459"
"128"	"113"	""	"42"	"9"	"2"	"87"	"101"	"2"	"2"	"0"	"2"	"0"	"1"	"5"	"64"	"13"	"4"	"334"
"129"	"114"	""	"32"	"25"	"7"	"227"	"219"	"14"	"9"	"6"	"12"	"6"	"9"	"9"	"10"	"4"	"5"	"594"
"130"	"115"	""	"6"	"9"	"5"	"235"	"150"	"12"	"4"	"1"	"5"	"6"	"2"	"2"	"2"	"0"	"2"	"441"
"131"	"116"	""	"4"	"6"	"5"	"133"	"364"	"7"	"2"	"3"	"3"	"8"	"9"	"3"	"6"	"1"	"4"	"558"
"132"	"117"	""	"2"	"18"	"2"	"166"	"166"	"3"	"0"	"5"	"2"	"4"	"5"	"4"	"3"	"1"	"2"	"383"
"133"	"118"	""	"20"	"31"	"11"	"294"	"198"	"4"	"1"	"3"	"2"	"10"	"6"	"7"	"2"	"3"	"10"	"602"
"134"	"119"	""	"6"	"44"	"7"	"210"	"150"	"7"	"2"	"1"	"4"	"8"	"21"	"15"	"10"	"7"	"10"	"502"
"135"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"136"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"137"	"120"	""	"6"	"3"	"32"	"138"	"144"	"3"	"1"	"1"	"4"	"4"	"2"	"1"	"5"	"1"	"8"	"353"
"138"	"121"	""	"24"	"7"	"7"	"187"	"339"	"11"	"2"	"3"	"6"	"9"	"10"	"11"	"38"	"24"	"16"	"694"
"139"	"122"	""	"16"	"8"	"4"	"25"	"118"	"0"	"1"	"3"	"2"	"1"	"0"	"3"	"6"	"42"	"4"	"233"
"140"	"123"	""	"17"	"2"	"0"	"70"	"289"	"2"	"0"	"0"	"3"	"6"	"5"	"4"	"5"	"0"	"4"	"407"
"141"	"124"	""	"28"	"17"	"5"	"117"	"283"	"3"	"1"	"3"	"1"	"4"	"10"	"3"	"8"	"3"	"6"	"492"
"142"	"125"	""	"23"	"10"	"13"	"146"	"206"	"1"	"1"	"2"	"8"	"11"	"10"	"7"	"5"	"6"	"9"	"458"
"143"	"126"	""	"10"	"3"	"16"	"115"	"240"	"3"	"0"	"1"	"4"	"4"	"9"	"8"	"2"	"4"	"5"	"424"
"144"	"127"	""	"13"	"5"	"7"	"343"	"47"	"1"	"1"	"1"	"5"	"11"	"7"	"13"	"12"	"8"	"9"	"483"
"145"	"128"	""	"2"	"4"	"7"	"14"	"137"	"0"	"3"	"1"	"5"	"2"	"6"	"3"	"17"	"18"	"3"	"222"
"146"	"129"	""	"12"	"8"	"3"	"211"	"35"	"2"	"0"	"5"	"8"	"2"	"4"	"8"	"11"	"10"	"11"	"330"
"147"	"130"	""	"1"	"12"	"38"	"19"	"100"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"20"	"17"	"0"	"213"
"148"	"131"	""	"3"	"2"	"27"	"56"	"152"	"5"	"1"	"3"	"3"	"3"	"6"	"3"	"30"	"8"	"13"	"315"
"149"	"132"	""	"5"	"7"	"4"	"164"	"79"	"9"	"2"	"0"	"4"	"4"	"8"	"9"	"6"	"7"	"12"	"320"
"150"	"133"	""	"1"	"13"	"2"	"58"	"70"	"2"	"2"	"2"	"5"	"2"	"4"	"4"	"151"	"1"	"5"	"322"
"151"	"134"	""	"13"	"13"	"15"	"90"	"67"	"2"	"1"	"5"	"34"	"8"	"46"	"9"	"123"	"6"	"6"	"438"
"152"	"135"	""	"2"	"5"	"0"	"12"	"113"	"1"	"0"	"1"	"2"	"3"	"5"	"1"	"76"	"43"	"3"	"267"
"153"	"136"	""	"7"	"2"	"2"	"62"	"67"	"0"	"0"	"1"	"3"	"0"	"1"	"4"	"9"	"8"	"4"	"170"
"154"	"137"	""	"8"	"16"	"13"	"260"	"94"	"11"	"5"	"6"	"9"	"17"	"20"	"18"	"9"	"6"	"8"	"500"
"155"	"138"	""	"10"	"11"	"5"	"299"	"89"	"7"	"3"	"5"	"3"	"7"	"21"	"19"	"7"	"9"	"15"	"510"
"156"	"139"	""	"4"	"13"	"5"	"106"	"79"	"3"	"1"	"2"	"1"	"4"	"6"	"2"	"2"	"4"	"1"	"233"
"157"	"140"	""	"17"	"9"	"7"	"352"	"98"	"5"	"6"	"3"	"3"	"5"	"6"	"13"	"14"	"0"	"3"	"541"
"158"	"141"	""	"17"	"8"	"5"	"305"	"101"	"3"	"3"	"0"	"3"	"4"	"4"	"2"	"7"	"4"	"7"	"473"
"159"	"142"	""	"6"	"6"	"12"	"395"	"149"	"7"	"3"	"6"	"6"	"10"	"7"	"4"	"10"	"6"	"2"	"629"
"160"	"143"	""	"11"	"2"	"9"	"165"	"131"	"6"	"4"	"3"	"10"	"5"	"7"	"3"	"4"	"2"	"7"	"369"
"161"	"144"	""	"2"	"11"	"6"	"241"	"94"	"6"	"6"	"2"	"2"	"10"	"10"	"6"	"7"	"3"	"2"	"408"
"162"	"BOOTH NO"	""	"ANWAR KHAN"	"ANIRUDDHA PRASAD"	"PRAVEEN KUMAR"	"BINDESHWARI PRASAD YADAV"	"SURENDRA PRASAD SINHA"	"PABAN PRASAD"	"WARIS ALI KHAN"	"SUNIL PASWAN"	"UDAY KUMAR VERMA"	"KRISHNA SINGH"	"PRAKASH YADAV"	"PRIYA RANJAN KUMAR"	"RAJENDRA SINGH"	"VIJAY SINGH"	"VIRAN SINGH"	"Total Valid  Votes"
"163"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"164"	"145"	""	"3"	"2"	"5"	"215"	"107"	"1"	"2"	"4"	"11"	"4"	"8"	"7"	"9"	"7"	"8"	"393"
"165"	"146"	""	"2"	"0"	"18"	"103"	"83"	"3"	"0"	"0"	"1"	"2"	"2"	"2"	"1"	"4"	"1"	"222"
"166"	"147"	""	"3"	"4"	"122"	"62"	"218"	"4"	"2"	"8"	"10"	"19"	"19"	"10"	"48"	"11"	"13"	"553"
"167"	"148"	""	"0"	"2"	"2"	"17"	"151"	"5"	"2"	"1"	"2"	"3"	"10"	"6"	"96"	"6"	"4"	"307"
"168"	"149"	""	"6"	"2"	"2"	"257"	"24"	"1"	"2"	"3"	"2"	"2"	"2"	"8"	"6"	"3"	"5"	"325"
"169"	"150"	""	"8"	"2"	"2"	"122"	"74"	"3"	"3"	"2"	"3"	"6"	"3"	"5"	"1"	"4"	"3"	"241"
"170"	"151"	""	"28"	"6"	"8"	"227"	"89"	"6"	"4"	"7"	"10"	"1"	"5"	"1"	"3"	"3"	"6"	"404"
