"Annexure.XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"18"	"5"	"386"	"15"	"31"	"354"	"49"	"12"	"31"	"878"	"0"	"878"	"0"
"19"	"6"	"260"	"16"	"4"	"215"	"35"	"7"	"11"	"548"	"0"	"548"	"0"
"20"	"7"	"8"	"4"	"15"	"522"	"141"	"3"	"10"	"703"	"0"	"703"	"0"
"21"	"8"	"5"	"1"	"10"	"634"	"17"	"1"	"1"	"669"	"0"	"669"	"0"
"22"	"9"	"36"	"0"	"3"	"379"	"23"	"1"	"7"	"449"	"0"	"449"	"0"
"23"	"Page 1 of 13"	""	""	""	""	""	""	""	""	""	""	""
"24"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"25"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"27"	"10"	"27"	"1"	"10"	"217"	"42"	"4"	"4"	"305"	"0"	"305"	"0"
"28"	"11"	"39"	"5"	"19"	"602"	"36"	"6"	"11"	"718"	"0"	"718"	"0"
"29"	"12"	"142"	"5"	"18"	"277"	"22"	"6"	"65"	"535"	"0"	"535"	"0"
"30"	"13"	"215"	"11"	"25"	"373"	"44"	"13"	"117"	"798"	"0"	"798"	"0"
"31"	"14"	"288"	"12"	"14"	"46"	"15"	"6"	"84"	"465"	"0"	"465"	"0"
"32"	"15"	"208"	"6"	"5"	"111"	"15"	"2"	"326"	"673"	"0"	"673"	"0"
"33"	"16"	"147"	"9"	"21"	"175"	"23"	"8"	"104"	"487"	"0"	"487"	"0"
"34"	"17"	"229"	"8"	"5"	"68"	"4"	"1"	"58"	"373"	"0"	"373"	"0"
"35"	"18"	"137"	"2"	"1"	"5"	"3"	"6"	"492"	"646"	"0"	"646"	"0"
"36"	"19"	"345"	"14"	"63"	"232"	"14"	"5"	"122"	"795"	"0"	"795"	"0"
"37"	"20"	"371"	"11"	"4"	"112"	"21"	"3"	"17"	"539"	"0"	"539"	"0"
"38"	"21"	"262"	"5"	"2"	"44"	"26"	"1"	"4"	"344"	"0"	"344"	"0"
"39"	"22"	"268"	"3"	"5"	"39"	"43"	"11"	"19"	"388"	"0"	"388"	"0"
"40"	"23"	"262"	"3"	"3"	"58"	"38"	"4"	"27"	"395"	"0"	"395"	"0"
"41"	"24"	"379"	"7"	"1"	"92"	"42"	"5"	"41"	"567"	"0"	"567"	"0"
"42"	"25"	"345"	"8"	"3"	"48"	"35"	"6"	"10"	"455"	"0"	"455"	"0"
"43"	"26"	"313"	"2"	"10"	"108"	"12"	"2"	"5"	"452"	"0"	"452"	"0"
"44"	"27"	"247"	"17"	"8"	"215"	"22"	"8"	"26"	"543"	"0"	"543"	"0"
"45"	"Page 2 of 13"	""	""	""	""	""	""	""	""	""	""	""
"46"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"47"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"48"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"49"	"28"	"331"	"21"	"8"	"177"	"43"	"2"	"4"	"586"	"0"	"586"	"0"
"50"	"29"	"158"	"16"	"17"	"303"	"61"	"4"	"4"	"563"	"0"	"563"	"0"
"51"	"30"	"229"	"1"	"7"	"185"	"20"	"4"	"5"	"451"	"0"	"451"	"0"
"52"	"31"	"394"	"11"	"12"	"282"	"22"	"5"	"17"	"743"	"0"	"743"	"0"
"53"	"32"	"327"	"10"	"9"	"192"	"45"	"10"	"15"	"608"	"0"	"608"	"0"
"54"	"33"	"277"	"6"	"10"	"27"	"13"	"4"	"15"	"352"	"0"	"352"	"0"
"55"	"34"	"345"	"13"	"9"	"169"	"24"	"5"	"9"	"574"	"0"	"574"	"0"
"56"	"35"	"302"	"4"	"12"	"41"	"17"	"0"	"3"	"379"	"0"	"379"	"0"
"57"	"36"	"310"	"3"	"38"	"39"	"14"	"0"	"15"	"419"	"0"	"419"	"0"
"58"	"37"	"604"	"4"	"26"	"86"	"23"	"0"	"5"	"748"	"0"	"748"	"0"
"59"	"38"	"543"	"28"	"36"	"140"	"38"	"4"	"3"	"792"	"0"	"792"	"0"
"60"	"39"	"395"	"6"	"29"	"40"	"46"	"4"	"8"	"528"	"0"	"528"	"0"
"61"	"40"	"289"	"18"	"28"	"31"	"9"	"0"	"2"	"377"	"0"	"377"	"0"
"62"	"41"	"416"	"2"	"33"	"28"	"37"	"1"	"6"	"523"	"0"	"523"	"0"
"63"	"42"	"399"	"0"	"50"	"39"	"25"	"6"	"8"	"527"	"0"	"527"	"0"
"64"	"43"	"272"	"30"	"19"	"266"	"19"	"2"	"10"	"618"	"0"	"618"	"0"
"65"	"44"	"588"	"4"	"13"	"66"	"31"	"2"	"6"	"710"	"0"	"710"	"0"
"66"	"45"	"591"	"6"	"31"	"135"	"32"	"1"	"16"	"812"	"0"	"812"	"0"
"67"	"Page 3 of 13"	""	""	""	""	""	""	""	""	""	""	""
"68"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"69"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"71"	"46"	"452"	"14"	"12"	"215"	"17"	"6"	"18"	"734"	"0"	"734"	"0"
"72"	"47"	"304"	"6"	"11"	"120"	"33"	"1"	"10"	"485"	"0"	"485"	"0"
"73"	"48"	"290"	"13"	"8"	"120"	"24"	"2"	"10"	"467"	"0"	"467"	"0"
"74"	"49"	"271"	"10"	"12"	"390"	"51"	"5"	"21"	"760"	"0"	"760"	"0"
"75"	"50"	"335"	"3"	"7"	"125"	"7"	"2"	"2"	"481"	"0"	"481"	"0"
"76"	"51"	"216"	"12"	"62"	"405"	"57"	"13"	"25"	"790"	"0"	"790"	"0"
"77"	"52"	"207"	"44"	"21"	"229"	"35"	"4"	"19"	"559"	"0"	"559"	"0"
"78"	"53"	"83"	"87"	"53"	"301"	"96"	"3"	"9"	"632"	"0"	"632"	"0"
"79"	"54"	"345"	"7"	"19"	"85"	"18"	"1"	"39"	"514"	"0"	"514"	"0"
"80"	"55"	"31"	"0"	"19"	"674"	"47"	"2"	"3"	"776"	"0"	"776"	"0"
"81"	"56"	"240"	"6"	"73"	"352"	"14"	"10"	"21"	"716"	"0"	"716"	"0"
"82"	"57"	"3"	"0"	"4"	"496"	"34"	"1"	"1"	"539"	"0"	"539"	"0"
"83"	"58"	"10"	"2"	"14"	"650"	"14"	"2"	"5"	"697"	"0"	"697"	"0"
"84"	"59"	"22"	"2"	"17"	"245"	"15"	"0"	"7"	"308"	"0"	"308"	"0"
"85"	"60"	"392"	"24"	"15"	"159"	"13"	"4"	"8"	"615"	"0"	"615"	"0"
"86"	"61"	"262"	"8"	"4"	"295"	"10"	"4"	"68"	"651"	"0"	"651"	"0"
"87"	"62"	"245"	"12"	"43"	"174"	"64"	"5"	"17"	"560"	"0"	"560"	"0"
"88"	"63"	"182"	"7"	"12"	"194"	"15"	"5"	"9"	"424"	"0"	"424"	"0"
"89"	"Page 4 of 13"	""	""	""	""	""	""	""	""	""	""	""
"90"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"91"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"93"	"64"	"135"	"6"	"9"	"252"	"15"	"5"	"44"	"466"	"0"	"466"	"0"
"94"	"65"	"193"	"6"	"56"	"260"	"97"	"9"	"18"	"639"	"0"	"639"	"0"
"95"	"66"	"238"	"5"	"7"	"196"	"31"	"2"	"25"	"504"	"0"	"504"	"0"
"96"	"67"	"65"	"71"	"15"	"288"	"111"	"4"	"13"	"567"	"0"	"567"	"0"
"97"	"68"	"207"	"7"	"11"	"213"	"48"	"2"	"12"	"500"	"0"	"500"	"0"
"98"	"69"	"180"	"3"	"3"	"149"	"43"	"6"	"25"	"409"	"0"	"409"	"0"
"99"	"70"	"294"	"8"	"93"	"213"	"67"	"16"	"23"	"714"	"0"	"714"	"0"
"100"	"71"	"371"	"7"	"31"	"78"	"141"	"14"	"46"	"688"	"0"	"688"	"0"
"101"	"72"	"350"	"14"	"17"	"182"	"134"	"11"	"14"	"722"	"0"	"722"	"0"
"102"	"73"	"136"	"47"	"11"	"78"	"76"	"9"	"21"	"378"	"0"	"378"	"0"
"103"	"74"	"191"	"4"	"7"	"32"	"143"	"3"	"9"	"389"	"0"	"389"	"0"
"104"	"75"	"112"	"9"	"6"	"70"	"266"	"8"	"15"	"486"	"0"	"486"	"0"
"105"	"76"	"443"	"17"	"8"	"61"	"50"	"12"	"20"	"611"	"0"	"611"	"0"
"106"	"77"	"369"	"18"	"5"	"53"	"61"	"1"	"10"	"517"	"0"	"517"	"0"
"107"	"78"	"86"	"4"	"7"	"215"	"96"	"1"	"2"	"411"	"0"	"411"	"0"
"108"	"79"	"206"	"8"	"7"	"146"	"118"	"8"	"4"	"497"	"0"	"497"	"0"
"109"	"80"	"127"	"12"	"1"	"103"	"104"	"3"	"24"	"374"	"0"	"374"	"0"
"110"	"81"	"336"	"11"	"40"	"99"	"132"	"6"	"4"	"628"	"0"	"628"	"0"
"111"	"Page 5 of 13"	""	""	""	""	""	""	""	""	""	""	""
"112"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"113"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"115"	"82"	"141"	"17"	"1"	"176"	"115"	"0"	"3"	"453"	"0"	"453"	"0"
"116"	"83"	"100"	"8"	"8"	"15"	"105"	"0"	"4"	"240"	"0"	"240"	"0"
"117"	"84"	"88"	"7"	"71"	"123"	"301"	"5"	"5"	"600"	"0"	"600"	"0"
"118"	"85"	"35"	"11"	"6"	"86"	"264"	"12"	"10"	"424"	"0"	"424"	"0"
"119"	"86"	"9"	"21"	"9"	"39"	"113"	"5"	"7"	"203"	"0"	"203"	"0"
"120"	"87"	"29"	"84"	"26"	"142"	"87"	"8"	"7"	"383"	"0"	"383"	"0"
"121"	"88"	"209"	"12"	"11"	"183"	"29"	"7"	"7"	"458"	"0"	"458"	"0"
"122"	"89"	"167"	"6"	"34"	"164"	"32"	"8"	"11"	"422"	"0"	"422"	"0"
"123"	"90"	"180"	"31"	"5"	"189"	"11"	"2"	"9"	"427"	"0"	"427"	"0"
"124"	"91"	"57"	"16"	"5"	"198"	"14"	"2"	"3"	"295"	"0"	"295"	"0"
"125"	"92"	"337"	"17"	"14"	"109"	"21"	"1"	"4"	"503"	"0"	"503"	"0"
"126"	"93"	"208"	"11"	"2"	"90"	"22"	"5"	"9"	"347"	"0"	"347"	"0"
"127"	"94"	"575"	"14"	"29"	"125"	"27"	"7"	"77"	"854"	"0"	"854"	"0"
"128"	"95"	"296"	"22"	"12"	"76"	"201"	"5"	"4"	"616"	"0"	"616"	"0"
"129"	"96"	"55"	"19"	"6"	"54"	"103"	"2"	"4"	"243"	"0"	"243"	"0"
"130"	"97"	"176"	"7"	"5"	"36"	"291"	"17"	"16"	"548"	"0"	"548"	"0"
"131"	"98"	"195"	"17"	"8"	"37"	"293"	"9"	"7"	"566"	"0"	"566"	"0"
"132"	"99"	"267"	"3"	"28"	"91"	"71"	"9"	"9"	"478"	"0"	"478"	"0"
"133"	"Page 6 of 13"	""	""	""	""	""	""	""	""	""	""	""
"134"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"135"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"137"	"100"	"290"	"10"	"6"	"153"	"64"	"9"	"5"	"537"	"0"	"537"	"0"
"138"	"101"	"181"	"8"	"8"	"176"	"79"	"10"	"11"	"473"	"0"	"473"	"0"
"139"	"102"	"389"	"12"	"13"	"80"	"14"	"4"	"6"	"518"	"0"	"518"	"0"
"140"	"103"	"96"	"18"	"12"	"334"	"54"	"3"	"13"	"530"	"0"	"530"	"0"
"141"	"104"	"175"	"34"	"7"	"335"	"75"	"10"	"17"	"653"	"0"	"653"	"0"
"142"	"105"	"337"	"41"	"8"	"33"	"9"	"1"	"10"	"439"	"0"	"439"	"0"
"143"	"106"	"282"	"11"	"77"	"69"	"9"	"1"	"11"	"460"	"0"	"460"	"0"
"144"	"107"	"178"	"43"	"22"	"259"	"20"	"7"	"9"	"538"	"0"	"538"	"0"
"145"	"107(A)"	"108"	"26"	"9"	"144"	"17"	"1"	"5"	"310"	"0"	"310"	"0"
"146"	"108"	"381"	"6"	"17"	"279"	"34"	"8"	"15"	"740"	"0"	"740"	"0"
"147"	"109"	"122"	"8"	"5"	"235"	"21"	"6"	"12"	"409"	"0"	"409"	"0"
"148"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"149"	"111"	"192"	"19"	"11"	"219"	"36"	"4"	"14"	"495"	"0"	"495"	"0"
"150"	"112"	"238"	"9"	"11"	"128"	"53"	"6"	"12"	"457"	"0"	"457"	"0"
"151"	"113"	"271"	"8"	"21"	"38"	"96"	"10"	"12"	"456"	"0"	"456"	"0"
"152"	"114"	"433"	"10"	"17"	"173"	"71"	"8"	"13"	"725"	"0"	"725"	"0"
"153"	"115"	"260"	"43"	"71"	"338"	"27"	"8"	"11"	"758"	"0"	"758"	"0"
"154"	"116"	"312"	"23"	"26"	"429"	"20"	"13"	"10"	"833"	"0"	"833"	"0"
"155"	"Page 7 of 13"	""	""	""	""	""	""	""	""	""	""	""
"156"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"157"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"159"	"117"	"655"	"15"	"26"	"62"	"108"	"11"	"14"	"891"	"0"	"891"	"0"
"160"	"118"	"259"	"93"	"25"	"201"	"148"	"11"	"7"	"744"	"0"	"744"	"0"
"161"	"119"	"272"	"9"	"10"	"67"	"107"	"8"	"4"	"477"	"0"	"477"	"0"
"162"	"120"	"393"	"4"	"9"	"24"	"127"	"7"	"12"	"576"	"0"	"576"	"0"
"163"	"121"	"275"	"7"	"62"	"71"	"37"	"5"	"8"	"465"	"0"	"465"	"0"
"164"	"122"	"253"	"20"	"58"	"106"	"18"	"2"	"14"	"471"	"0"	"471"	"0"
"165"	"123"	"216"	"6"	"28"	"203"	"119"	"9"	"7"	"588"	"0"	"588"	"0"
"166"	"124"	"70"	"3"	"17"	"169"	"16"	"2"	"14"	"291"	"0"	"291"	"0"
"167"	"125"	"252"	"22"	"22"	"182"	"20"	"5"	"7"	"510"	"0"	"510"	"0"
"168"	"126"	"156"	"28"	"26"	"174"	"19"	"3"	"6"	"412"	"0"	"412"	"0"
"169"	"127"	"372"	"7"	"39"	"73"	"6"	"2"	"9"	"508"	"0"	"508"	"0"
"170"	"128"	"184"	"30"	"83"	"166"	"15"	"10"	"15"	"503"	"0"	"503"	"0"
"171"	"129"	"44"	"24"	"11"	"511"	"36"	"7"	"7"	"640"	"0"	"640"	"0"
"172"	"130"	"106"	"8"	"70"	"342"	"28"	"11"	"25"	"590"	"0"	"590"	"0"
"173"	"131"	"335"	"45"	"18"	"159"	"46"	"7"	"19"	"629"	"0"	"629"	"0"
"174"	"132"	"127"	"3"	"93"	"211"	"11"	"7"	"9"	"461"	"0"	"461"	"0"
"175"	"133"	"289"	"14"	"49"	"84"	"9"	"2"	"7"	"454"	"0"	"454"	"0"
"176"	"134"	"69"	"56"	"38"	"230"	"10"	"3"	"2"	"408"	"0"	"408"	"0"
"177"	"Page 8 of 13"	""	""	""	""	""	""	""	""	""	""	""
"178"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"179"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"181"	"135"	"132"	"20"	"42"	"168"	"48"	"3"	"3"	"416"	"0"	"416"	"0"
"182"	"136"	"195"	"6"	"63"	"159"	"27"	"2"	"4"	"456"	"0"	"456"	"0"
"183"	"137"	"116"	"24"	"86"	"254"	"15"	"3"	"8"	"506"	"0"	"506"	"0"
"184"	"138"	"321"	"6"	"88"	"82"	"8"	"0"	"6"	"511"	"0"	"511"	"0"
"185"	"139"	"178"	"3"	"136"	"79"	"10"	"0"	"2"	"408"	"0"	"408"	"0"
"186"	"140"	"234"	"12"	"68"	"282"	"18"	"6"	"46"	"666"	"0"	"666"	"0"
"187"	"141"	"112"	"14"	"61"	"211"	"45"	"10"	"10"	"463"	"0"	"463"	"0"
"188"	"142"	"393"	"9"	"179"	"225"	"11"	"3"	"12"	"832"	"0"	"832"	"0"
"189"	"143"	"306"	"14"	"81"	"165"	"29"	"2"	"11"	"608"	"0"	"608"	"0"
"190"	"144"	"258"	"41"	"12"	"187"	"41"	"2"	"16"	"557"	"0"	"557"	"0"
"191"	"145"	"87"	"17"	"8"	"110"	"36"	"6"	"5"	"269"	"0"	"269"	"0"
"192"	"146"	"416"	"26"	"12"	"126"	"61"	"11"	"14"	"666"	"0"	"666"	"0"
"193"	"147"	"493"	"16"	"51"	"258"	"24"	"8"	"11"	"861"	"0"	"861"	"0"
"194"	"148"	"563"	"34"	"11"	"127"	"20"	"11"	"18"	"784"	"0"	"784"	"0"
"195"	"149"	"264"	"4"	"19"	"210"	"39"	"6"	"9"	"551"	"0"	"551"	"0"
"196"	"150"	"271"	"9"	"14"	"315"	"69"	"10"	"24"	"712"	"0"	"712"	"0"
"197"	"151"	"246"	"6"	"8"	"317"	"53"	"3"	"11"	"644"	"0"	"644"	"0"
"198"	"152"	"470"	"16"	"38"	"186"	"46"	"14"	"35"	"805"	"0"	"805"	"0"
"199"	"Page 9 of 13"	""	""	""	""	""	""	""	""	""	""	""
"200"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"201"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"202"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"203"	"153"	"158"	"34"	"42"	"441"	"30"	"5"	"8"	"718"	"0"	"718"	"0"
"204"	"154"	"451"	"18"	"25"	"231"	"27"	"14"	"35"	"801"	"0"	"801"	"0"
"205"	"155"	"144"	"83"	"60"	"139"	"29"	"6"	"16"	"477"	"0"	"477"	"0"
"206"	"156"	"46"	"266"	"66"	"64"	"39"	"26"	"17"	"524"	"0"	"524"	"0"
"207"	"157"	"18"	"191"	"44"	"22"	"3"	"2"	"4"	"284"	"0"	"284"	"0"
"208"	"158"	"92"	"90"	"35"	"146"	"25"	"7"	"11"	"406"	"0"	"406"	"0"
"209"	"159"	"326"	"19"	"290"	"105"	"8"	"3"	"10"	"761"	"0"	"761"	"0"
"210"	"160"	"127"	"3"	"268"	"53"	"27"	"5"	"10"	"493"	"0"	"493"	"0"
"211"	"161"	"196"	"7"	"210"	"71"	"17"	"2"	"11"	"514"	"0"	"514"	"0"
"212"	"162"	"51"	"25"	"328"	"44"	"14"	"4"	"13"	"479"	"0"	"479"	"0"
"213"	"163"	"57"	"3"	"328"	"27"	"2"	"1"	"6"	"424"	"0"	"424"	"0"
"214"	"164"	"324"	"7"	"48"	"200"	"29"	"4"	"15"	"627"	"0"	"627"	"0"
"215"	"165"	"372"	"14"	"62"	"210"	"24"	"1"	"29"	"712"	"0"	"712"	"0"
"216"	"166"	"376"	"4"	"58"	"227"	"19"	"6"	"6"	"696"	"0"	"696"	"0"
"217"	"167"	"277"	"8"	"12"	"33"	"4"	"2"	"18"	"354"	"0"	"354"	"0"
"218"	"168"	"234"	"5"	"46"	"149"	"22"	"4"	"6"	"466"	"0"	"466"	"0"
"219"	"169"	"48"	"14"	"62"	"373"	"90"	"15"	"17"	"619"	"0"	"619"	"0"
"220"	"170"	"418"	"12"	"48"	"141"	"9"	"3"	"3"	"634"	"0"	"634"	"0"
"221"	"Page 10 of 13"	""	""	""	""	""	""	""	""	""	""	""
"222"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"223"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
"224"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"225"	"171"	"198"	"26"	"112"	"149"	"12"	"1"	"11"	"509"	"0"	"509"	"0"
"226"	"172"	"201"	"12"	"142"	"69"	"18"	"5"	"21"	"468"	"0"	"468"	"0"
"227"	"173"	"294"	"15"	"24"	"79"	"38"	"6"	"8"	"464"	"0"	"464"	"0"
"228"	"174"	"291"	"4"	"76"	"58"	"17"	"3"	"13"	"462"	"0"	"462"	"0"
"229"	"175"	"164"	"3"	"20"	"448"	"73"	"11"	"4"	"723"	"0"	"723"	"0"
"230"	"176"	"44"	"2"	"18"	"270"	"11"	"12"	"15"	"372"	"0"	"372"	"0"
"231"	"177"	"88"	"5"	"6"	"220"	"54"	"4"	"4"	"381"	"0"	"381"	"0"
"232"	"178"	"207"	"11"	"86"	"470"	"18"	"9"	"14"	"815"	"0"	"815"	"0"
"233"	"179"	"188"	"4"	"80"	"244"	"28"	"14"	"29"	"587"	"0"	"587"	"0"
"234"	"180"	"44"	"7"	"42"	"471"	"60"	"6"	"5"	"635"	"0"	"635"	"0"
"235"	"181"	"247"	"5"	"34"	"282"	"18"	"9"	"18"	"613"	"0"	"613"	"0"
"236"	"182"	"130"	"13"	"329"	"35"	"13"	"4"	"20"	"544"	"0"	"544"	"0"
"237"	"183"	"287"	"9"	"175"	"231"	"15"	"11"	"13"	"741"	"0"	"741"	"0"
"238"	"184"	"390"	"50"	"79"	"114"	"15"	"5"	"12"	"665"	"0"	"665"	"0"
"239"	"185"	"260"	"23"	"41"	"208"	"16"	"4"	"4"	"556"	"0"	"556"	"0"
"240"	"186"	"516"	"25"	"127"	"70"	"14"	"8"	"41"	"801"	"0"	"801"	"0"
"241"	"187"	"138"	"14"	"9"	"232"	"46"	"4"	"17"	"460"	"0"	"460"	"0"
"242"	"188"	"212"	"5"	"25"	"283"	"33"	"4"	"11"	"573"	"0"	"573"	"0"
"243"	"Page 11 of 13"	""	""	""	""	""	""	""	""	""	""	""
"244"	"S.No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of tendered voted"
"245"	""	"DR AJAY KUMAR SINGH"	"MD. NASIM AKHTAR"	"PRAMANAND PRASAD"	"RAJNANDAN RAI"	"RAMBABU PRASAD YADAV"	"BHAG MATI DEVI"	"JAGAT NARAYAN PATEL"	""	""	""	""
