"Assembly.Constituency..140...Hasanpur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"57"	"47"	"23"	"2"	"91"	"178"	"40"	"0"	"6"	"72"	"16"	"4"	"28"	"460"
"58"	"48"	"16"	"0"	"89"	"93"	"48"	"2"	"5"	"50"	"9"	"1"	"20"	"333"
"59"	"49"	"6"	"5"	"223"	"113"	"31"	"8"	"6"	"61"	"25"	"3"	"22"	"503"
"60"	"50"	"28"	"2"	"179"	"84"	"37"	"5"	"2"	"46"	"6"	"4"	"19"	"412"
"61"	"51"	"14"	"2"	"243"	"67"	"30"	"1"	"1"	"31"	"22"	"2"	"16"	"429"
"62"	"52"	"22"	"1"	"96"	"271"	"172"	"3"	"8"	"60"	"12"	"2"	"13"	"660"
"63"	"53"	"8"	"8"	"222"	"171"	"183"	"10"	"8"	"107"	"17"	"10"	"34"	"778"
"64"	"54"	"14"	"1"	"40"	"285"	"47"	"7"	"8"	"66"	"11"	"7"	"25"	"511"
"65"	"55"	"96"	"3"	"4"	"146"	"82"	"4"	"4"	"25"	"2"	"3"	"7"	"376"
"66"	"56"	"19"	"1"	"146"	"131"	"122"	"8"	"9"	"60"	"13"	"6"	"45"	"560"
"67"	"57"	"47"	"4"	"90"	"70"	"115"	"4"	"8"	"10"	"3"	"2"	"0"	"353"
"68"	"58"	"8"	"1"	"6"	"212"	"19"	"6"	"9"	"80"	"4"	"4"	"20"	"369"
"69"	"59"	"41"	"5"	"74"	"172"	"120"	"3"	"4"	"46"	"3"	"2"	"18"	"488"
"70"	"60"	"11"	"4"	"36"	"199"	"58"	"2"	"2"	"48"	"14"	"7"	"45"	"426"
"71"	"61"	"20"	"2"	"16"	"244"	"236"	"11"	"15"	"70"	"13"	"13"	"39"	"679"
"72"	"62"	"14"	"1"	"15"	"261"	"104"	"11"	"7"	"104"	"16"	"10"	"143"	"686"
"73"	"63"	"7"	"0"	"47"	"139"	"10"	"1"	"4"	"35"	"9"	"0"	"72"	"324"
"74"	"64"	"16"	"2"	"17"	"42"	"31"	"1"	"2"	"14"	"1"	"5"	"255"	"386"
"75"	"65"	"36"	"2"	"35"	"158"	"51"	"3"	"4"	"73"	"8"	"2"	"55"	"427"
"76"	"66"	"10"	"3"	"45"	"161"	"66"	"0"	"5"	"48"	"9"	"7"	"85"	"439"
"77"	"67"	"59"	"4"	"102"	"107"	"58"	"1"	"5"	"72"	"5"	"6"	"41"	"460"
"78"	"68"	"4"	"2"	"16"	"263"	"107"	"9"	"6"	"90"	"7"	"3"	"22"	"529"
"79"	"69"	"19"	"4"	"15"	"205"	"268"	"4"	"9"	"41"	"8"	"7"	"20"	"600"
"80"	"70"	"29"	"4"	"205"	"177"	"83"	"12"	"9"	"67"	"34"	"8"	"130"	"758"
"81"	"71"	"9"	"0"	"43"	"42"	"12"	"0"	"3"	"8"	"0"	"0"	"84"	"201"
"82"	"72"	"13"	"2"	"82"	"118"	"252"	"7"	"7"	"44"	"9"	"5"	"61"	"600"
"83"	"73"	"162"	"5"	"3"	"24"	"99"	"4"	"5"	"4"	"5"	"4"	"31"	"346"
"84"	"74"	"19"	"2"	"12"	"170"	"394"	"10"	"8"	"46"	"6"	"4"	"47"	"718"
"85"	"75"	"6"	"1"	"1"	"26"	"217"	"14"	"6"	"17"	"1"	"7"	"59"	"355"
"86"	"76"	"37"	"4"	"20"	"297"	"124"	"3"	"5"	"70"	"3"	"2"	"40"	"605"
"87"	"77"	"10"	"6"	"9"	"412"	"108"	"7"	"10"	"105"	"8"	"5"	"15"	"695"
"88"	"78"	"14"	"2"	"2"	"106"	"34"	"2"	"8"	"37"	"5"	"3"	"138"	"351"
"89"	"79"	"46"	"3"	"9"	"233"	"73"	"13"	"11"	"70"	"8"	"8"	"36"	"510"
"90"	"80"	"12"	"3"	"2"	"71"	"85"	"2"	"1"	"14"	"5"	"2"	"9"	"206"
"91"	"81"	"6"	"2"	"14"	"200"	"148"	"3"	"9"	"67"	"10"	"5"	"77"	"541"
"92"	"82"	"7"	"2"	"3"	"117"	"99"	"5"	"8"	"44"	"7"	"5"	"89"	"386"
"93"	"83"	"77"	"2"	"19"	"25"	"191"	"8"	"6"	"13"	"6"	"6"	"180"	"533"
"94"	"84"	"95"	"2"	"0"	"3"	"32"	"0"	"1"	"3"	"2"	"2"	"201"	"341"
"95"	"85"	"4"	"0"	"24"	"148"	"38"	"4"	"3"	"27"	"2"	"4"	"40"	"294"
"96"	"86"	"14"	"6"	"83"	"79"	"267"	"4"	"3"	"20"	"5"	"4"	"125"	"610"
"97"	"87"	"11"	"6"	"59"	"119"	"422"	"19"	"22"	"45"	"11"	"9"	"80"	"803"
"98"	"88"	"12"	"4"	"130"	"66"	"173"	"11"	"3"	"29"	"6"	"5"	"103"	"542"
"99"	"89"	"7"	"2"	"9"	"75"	"632"	"16"	"27"	"14"	"10"	"11"	"38"	"841"
"100"	"90"	"28"	"6"	"8"	"231"	"336"	"18"	"10"	"46"	"16"	"9"	"105"	"813"
"101"	"91"	"4"	"2"	"0"	"70"	"179"	"2"	"4"	"8"	"2"	"1"	"4"	"276"
"102"	"92"	"23"	"10"	"12"	"266"	"62"	"5"	"12"	"107"	"36"	"15"	"57"	"605"
"103"	"93"	"32"	"3"	"12"	"274"	"56"	"2"	"1"	"39"	"6"	"2"	"60"	"487"
"104"	"94"	"23"	"3"	"8"	"334"	"44"	"3"	"4"	"49"	"4"	"4"	"28"	"504"
"105"	"95"	"37"	"5"	"33"	"186"	"167"	"5"	"13"	"50"	"5"	"9"	"61"	"571"
"106"	"96"	"55"	"9"	"10"	"235"	"217"	"6"	"12"	"46"	"17"	"12"	"126"	"745"
"107"	"97"	"22"	"3"	"19"	"314"	"174"	"11"	"7"	"75"	"6"	"11"	"37"	"679"
"108"	"98"	"17"	"3"	"13"	"242"	"111"	"7"	"10"	"101"	"17"	"14"	"92"	"627"
"109"	"99"	"17"	"5"	"52"	"227"	"139"	"7"	"6"	"94"	"15"	"15"	"55"	"632"
"110"	"100"	"14"	"3"	"31"	"350"	"60"	"9"	"4"	"71"	"10"	"4"	"45"	"601"
"111"	"101"	"8"	"2"	"9"	"173"	"15"	"0"	"1"	"60"	"3"	"5"	"55"	"331"
"112"	"102"	"127"	"10"	"8"	"284"	"113"	"7"	"9"	"98"	"13"	"11"	"63"	"743"
"113"	"103"	"24"	"3"	"3"	"283"	"103"	"2"	"4"	"81"	"14"	"7"	"42"	"566"
"114"	"104"	"31"	"3"	"9"	"351"	"46"	"6"	"3"	"52"	"6"	"1"	"15"	"523"
"115"	"105"	"21"	"0"	"12"	"355"	"111"	"2"	"2"	"62"	"4"	"3"	"78"	"650"
"116"	"106"	"46"	"3"	"13"	"131"	"251"	"15"	"8"	"42"	"5"	"25"	"33"	"572"
"117"	"107"	"12"	"0"	"16"	"255"	"40"	"4"	"3"	"49"	"7"	"2"	"107"	"495"
"118"	"108"	"12"	"2"	"4"	"274"	"93"	"5"	"8"	"51"	"12"	"10"	"112"	"583"
"119"	"109"	"31"	"7"	"34"	"119"	"88"	"5"	"2"	"39"	"5"	"12"	"427"	"769"
"120"	"110"	"15"	"3"	"8"	"141"	"178"	"6"	"10"	"41"	"10"	"32"	"195"	"639"
"121"	"111"	"25"	"0"	"1"	"310"	"117"	"1"	"2"	"46"	"1"	"4"	"120"	"627"
"122"	"112"	"19"	"5"	"10"	"238"	"217"	"8"	"9"	"62"	"11"	"40"	"150"	"769"
"123"	"113"	"15"	"1"	"12"	"90"	"413"	"13"	"7"	"21"	"5"	"2"	"15"	"594"
"124"	"114"	"28"	"5"	"5"	"80"	"345"	"5"	"7"	"15"	"3"	"8"	"17"	"518"
"125"	"114A"	"22"	"2"	"4"	"136"	"198"	"7"	"6"	"26"	"9"	"1"	"33"	"444"
"126"	"115"	"5"	"5"	"8"	"42"	"281"	"9"	"3"	"26"	"3"	"5"	"35"	"422"
"127"	"116"	"25"	"4"	"22"	"106"	"381"	"12"	"7"	"24"	"6"	"8"	"54"	"649"
"128"	"117"	"11"	"0"	"20"	"118"	"90"	"1"	"4"	"37"	"3"	"2"	"4"	"290"
"129"	"118"	"222"	"7"	"7"	"64"	"241"	"8"	"6"	"17"	"7"	"10"	"121"	"710"
"130"	"119"	"46"	"3"	"64"	"278"	"81"	"7"	"5"	"95"	"9"	"9"	"43"	"640"
"131"	"120"	"122"	"3"	"45"	"152"	"172"	"6"	"5"	"47"	"11"	"6"	"35"	"604"
"132"	"121"	"257"	"9"	"13"	"164"	"201"	"11"	"9"	"57"	"5"	"3"	"20"	"749"
"133"	"122"	"108"	"6"	"4"	"144"	"243"	"7"	"8"	"61"	"21"	"9"	"44"	"655"
"134"	"123"	"1"	"1"	"5"	"344"	"33"	"1"	"4"	"57"	"17"	"3"	"15"	"481"
"135"	"124"	"115"	"4"	"20"	"190"	"50"	"4"	"3"	"28"	"2"	"6"	"97"	"519"
"136"	"125"	"7"	"4"	"57"	"386"	"77"	"16"	"7"	"81"	"12"	"14"	"87"	"748"
"137"	"126"	"17"	"9"	"22"	"214"	"380"	"16"	"12"	"41"	"6"	"4"	"8"	"729"
"138"	"127"	"15"	"3"	"22"	"53"	"167"	"8"	"3"	"11"	"4"	"1"	"12"	"299"
"139"	"128"	"16"	"2"	"5"	"44"	"90"	"6"	"6"	"14"	"4"	"7"	"288"	"482"
"140"	"128A"	"9"	"1"	"14"	"173"	"55"	"2"	"5"	"41"	"5"	"8"	"99"	"412"
"141"	"129"	"4"	"1"	"27"	"120"	"94"	"1"	"3"	"44"	"4"	"4"	"79"	"381"
"142"	"130"	"9"	"0"	"5"	"35"	"234"	"4"	"2"	"23"	"4"	"1"	"66"	"383"
"143"	"131"	"3"	"1"	"73"	"97"	"251"	"4"	"4"	"16"	"3"	"4"	"9"	"465"
"144"	"132"	"4"	"1"	"54"	"88"	"297"	"4"	"7"	"25"	"8"	"1"	"13"	"502"
"145"	"133"	"91"	"7"	"7"	"113"	"324"	"13"	"8"	"25"	"8"	"3"	"21"	"620"
"146"	"134"	"7"	"0"	"3"	"58"	"248"	"16"	"10"	"40"	"9"	"16"	"39"	"446"
"147"	"135"	"20"	"3"	"54"	"502"	"100"	"12"	"13"	"115"	"19"	"11"	"59"	"908"
"148"	"136"	"42"	"4"	"8"	"124"	"351"	"11"	"14"	"53"	"9"	"12"	"49"	"677"
"149"	"137"	"40"	"1"	"18"	"358"	"34"	"4"	"7"	"71"	"9"	"1"	"19"	"562"
"150"	"138"	"215"	"5"	"4"	"41"	"21"	"2"	"4"	"13"	"1"	"4"	"125"	"435"
"151"	"139"	"14"	"1"	"10"	"147"	"364"	"18"	"9"	"48"	"9"	"6"	"64"	"690"
"152"	"140"	"5"	"2"	"13"	"152"	"42"	"2"	"1"	"43"	"6"	"3"	"10"	"279"
"153"	"141"	"8"	"0"	"17"	"86"	"153"	"13"	"3"	"33"	"3"	"7"	"24"	"347"
"154"	"141A"	"18"	"5"	"31"	"219"	"38"	"3"	"4"	"43"	"4"	"3"	"96"	"464"
"155"	"142"	"29"	"3"	"5"	"230"	"196"	"6"	"7"	"16"	"0"	"2"	"153"	"647"
"156"	"143"	"7"	"0"	"142"	"142"	"102"	"9"	"10"	"25"	"8"	"5"	"37"	"487"
"157"	"144"	"15"	"4"	"87"	"262"	"51"	"7"	"4"	"69"	"4"	"7"	"40"	"550"
"158"	"145"	"28"	"5"	"6"	"156"	"153"	"7"	"7"	"50"	"11"	"4"	"25"	"452"
"159"	"146"	"11"	"2"	"16"	"54"	"387"	"12"	"1"	"10"	"7"	"3"	"50"	"553"
"160"	"146A"	"2"	"1"	"2"	"18"	"161"	"2"	"0"	"10"	"2"	"0"	"24"	"222"
"161"	"147"	"11"	"5"	"8"	"81"	"71"	"1"	"4"	"26"	"4"	"3"	"178"	"392"
"162"	"148"	"51"	"4"	"5"	"172"	"85"	"4"	"3"	"10"	"3"	"11"	"328"	"676"
"163"	"149"	"10"	"4"	"26"	"217"	"43"	"3"	"6"	"25"	"8"	"3"	"232"	"577"
"164"	"150"	"13"	"1"	"9"	"322"	"61"	"2"	"5"	"26"	"3"	"2"	"12"	"456"
"165"	"151"	"8"	"0"	"24"	"359"	"43"	"0"	"10"	"57"	"6"	"3"	"15"	"525"
"166"	"151A"	"5"	"2"	"6"	"268"	"97"	"8"	"8"	"20"	"2"	"3"	"25"	"444"
"167"	"152"	"13"	"2"	"86"	"300"	"16"	"2"	"5"	"46"	"12"	"3"	"10"	"495"
"168"	"153"	"176"	"3"	"67"	"47"	"15"	"4"	"3"	"11"	"6"	"6"	"87"	"425"
"169"	"154"	"225"	"9"	"0"	"6"	"15"	"0"	"0"	"0"	"1"	"1"	"38"	"295"
"170"	"155"	"161"	"1"	"2"	"7"	"33"	"0"	"2"	"5"	"0"	"0"	"18"	"229"
"171"	"156"	"263"	"17"	"5"	"23"	"53"	"5"	"3"	"7"	"4"	"7"	"36"	"423"
"172"	"157"	"134"	"3"	"26"	"212"	"194"	"10"	"11"	"38"	"11"	"3"	"32"	"674"
"173"	"158"	"356"	"7"	"54"	"69"	"27"	"1"	"0"	"5"	"4"	"3"	"30"	"556"
"174"	"159"	"16"	"4"	"112"	"386"	"100"	"12"	"5"	"46"	"11"	"4"	"41"	"737"
"175"	"160"	"12"	"1"	"4"	"101"	"77"	"4"	"3"	"25"	"6"	"2"	"36"	"271"
"176"	"161"	"9"	"1"	"7"	"112"	"242"	"20"	"5"	"32"	"13"	"8"	"33"	"482"
"177"	"162"	"13"	"0"	"37"	"59"	"260"	"22"	"7"	"69"	"20"	"13"	"45"	"545"
"178"	"163"	"17"	"5"	"122"	"386"	"159"	"14"	"8"	"48"	"10"	"4"	"22"	"795"
"179"	"164"	"126"	"7"	"110"	"221"	"84"	"7"	"3"	"31"	"7"	"5"	"22"	"623"
"180"	"165"	"9"	"1"	"40"	"264"	"46"	"1"	"1"	"51"	"5"	"5"	"22"	"445"
"181"	"166"	"155"	"2"	"83"	"63"	"54"	"4"	"4"	"33"	"14"	"8"	"64"	"484"
"182"	"167"	"167"	"5"	"126"	"41"	"61"	"8"	"3"	"9"	"4"	"5"	"48"	"477"
"183"	"168"	"16"	"0"	"44"	"127"	"42"	"3"	"3"	"44"	"4"	"10"	"119"	"412"
"184"	"169"	"9"	"2"	"27"	"227"	"66"	"52"	"13"	"70"	"11"	"7"	"21"	"505"
"185"	"169A"	"4"	"1"	"52"	"44"	"81"	"47"	"4"	"26"	"13"	"4"	"10"	"286"
"186"	"170"	"6"	"5"	"133"	"255"	"100"	"41"	"6"	"33"	"5"	"2"	"9"	"595"
"187"	"171"	"3"	"2"	"59"	"87"	"121"	"11"	"2"	"22"	"3"	"1"	"12"	"323"
"188"	"172"	"199"	"3"	"70"	"22"	"17"	"2"	"1"	"10"	"2"	"0"	"8"	"334"
"189"	"173"	"115"	"1"	"24"	"39"	"183"	"4"	"1"	"28"	"11"	"5"	"24"	"435"
"190"	"174"	"93"	"3"	"55"	"15"	"243"	"13"	"7"	"17"	"6"	"6"	"51"	"509"
"191"	"175"	"301"	"7"	"11"	"87"	"111"	"8"	"1"	"19"	"6"	"2"	"24"	"577"
"192"	"176"	"17"	"6"	"83"	"340"	"31"	"8"	"6"	"53"	"6"	"4"	"11"	"565"
"193"	"176A"	"2"	"1"	"102"	"133"	"26"	"12"	"1"	"33"	"10"	"3"	"6"	"329"
"194"	"177"	"5"	"2"	"31"	"118"	"162"	"3"	"5"	"34"	"7"	"1"	"12"	"380"
"195"	"178"	"15"	"5"	"123"	"180"	"333"	"39"	"17"	"62"	"12"	"4"	"25"	"815"
"196"	"179"	"17"	"2"	"4"	"283"	"246"	"11"	"7"	"44"	"6"	"7"	"27"	"654"
"197"	"180"	"245"	"7"	"9"	"7"	"67"	"7"	"6"	"3"	"1"	"4"	"33"	"389"
"198"	"181"	"217"	"12"	"60"	"50"	"10"	"4"	"2"	"41"	"12"	"8"	"22"	"438"
"199"	"182"	"13"	"2"	"15"	"236"	"132"	"3"	"6"	"46"	"11"	"5"	"15"	"484"
"200"	"182A"	"5"	"2"	"8"	"235"	"36"	"2"	"3"	"48"	"8"	"4"	"9"	"360"
"201"	"183"	"8"	"6"	"150"	"171"	"227"	"4"	"6"	"20"	"4"	"0"	"9"	"605"
"202"	"184"	"3"	"1"	"1"	"26"	"195"	"6"	"1"	"3"	"0"	"0"	"5"	"241"
"203"	"185"	"10"	"3"	"224"	"282"	"148"	"9"	"9"	"59"	"15"	"4"	"19"	"782"
"204"	"186"	"36"	"9"	"29"	"77"	"101"	"2"	"1"	"21"	"9"	"6"	"262"	"553"
"205"	"187"	"23"	"3"	"28"	"101"	"143"	"8"	"5"	"24"	"8"	"7"	"225"	"575"
"206"	"188"	"21"	"4"	"119"	"114"	"200"	"3"	"5"	"39"	"5"	"1"	"150"	"661"
"207"	"189"	"15"	"8"	"21"	"78"	"327"	"18"	"12"	"25"	"7"	"8"	"58"	"577"
"208"	"190"	"8"	"5"	"170"	"147"	"77"	"8"	"3"	"58"	"20"	"8"	"69"	"573"
"209"	"191"	"10"	"4"	"24"	"58"	"86"	"6"	"2"	"34"	"5"	"4"	"91"	"324"
"210"	"192"	"18"	"1"	"16"	"169"	"479"	"16"	"17"	"55"	"14"	"13"	"29"	"827"
"211"	"193"	"26"	"2"	"7"	"121"	"468"	"20"	"7"	"25"	"14"	"4"	"31"	"725"
"212"	"194"	"25"	"5"	"4"	"102"	"333"	"15"	"8"	"14"	"11"	"9"	"57"	"583"
"213"	"195"	"9"	"0"	"22"	"91"	"329"	"5"	"3"	"12"	"1"	"5"	"19"	"496"
"214"	"196"	"13"	"3"	"139"	"346"	"186"	"7"	"8"	"63"	"4"	"2"	"14"	"785"
"215"	"197"	"9"	"1"	"243"	"120"	"45"	"3"	"6"	"37"	"17"	"6"	"56"	"543"
"216"	"198"	"7"	"4"	"197"	"150"	"15"	"4"	"4"	"39"	"13"	"6"	"5"	"444"
"217"	"199"	"89"	"3"	"36"	"116"	"133"	"3"	"1"	"25"	"4"	"5"	"29"	"444"
"218"	"200"	"60"	"1"	"84"	"381"	"150"	"6"	"12"	"60"	"8"	"4"	"15"	"781"
"219"	"201"	"80"	"2"	"25"	"238"	"48"	"1"	"2"	"38"	"6"	"2"	"15"	"457"
"220"	"202"	"44"	"0"	"37"	"377"	"106"	"7"	"9"	"69"	"11"	"10"	"12"	"682"
"221"	"203"	"16"	"4"	"60"	"215"	"283"	"14"	"7"	"49"	"12"	"4"	"16"	"680"
"222"	"204"	"22"	"5"	"4"	"124"	"386"	"5"	"5"	"33"	"6"	"3"	"9"	"602"
"223"	"204A"	"75"	"6"	"2"	"40"	"48"	"1"	"2"	"1"	"1"	"1"	"5"	"182"
"224"	"205"	"25"	"2"	"159"	"182"	"34"	"7"	"6"	"50"	"16"	"5"	"12"	"498"
"225"	"206"	"10"	"1"	"148"	"269"	"32"	"7"	"7"	"85"	"14"	"5"	"31"	"609"
"226"	"207"	"155"	"4"	"6"	"27"	"113"	"7"	"1"	"10"	"2"	"1"	"11"	"337"
"227"	"208"	"9"	"3"	"16"	"135"	"279"	"14"	"13"	"23"	"7"	"8"	"13"	"520"
"228"	"209"	"6"	"0"	"11"	"149"	"160"	"6"	"3"	"17"	"5"	"1"	"1"	"359"
"229"	"210"	"12"	"2"	"107"	"188"	"210"	"8"	"8"	"73"	"13"	"3"	"13"	"637"
"230"	"211"	"18"	"6"	"103"	"165"	"218"	"6"	"14"	"85"	"13"	"2"	"7"	"637"
"231"	"212"	"18"	"6"	"121"	"150"	"297"	"9"	"6"	"42"	"12"	"4"	"21"	"686"
"232"	"Total:"	"8819"	"746"	"9345"	"36767"	"33472"	"1690"	"1349"	"9995"	"1810"	"1217"	"11479"	"116689"
"233"	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Postal Ballot"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"235"	"Grand Total:"	"8819"	"746"	"9345"	"36767"	"33476"	"1690"	"1349"	"9995"	"1810"	"1217"	"11479"	"116693"
"236"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""
