"Rounnd.No.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                                           final result sheet                                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assmebly from the ………212 Dehri Assembly….Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"8"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"28"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"29"	"1"	"14"	"118"	"10"	"316"	"20"	"7"	"24"	"1"	"4"	"5"	"3"	"5"	"9"	"229"	"19"	"1"	"10"	"781"	""	"781"	""
"30"	"2"	"15"	"14"	"14"	"151"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"62"	"2"	"0"	"0"	"247"	""	"247"	""
"31"	"3"	"16"	"113"	"31"	"102"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"78"	"15"	"2"	"6"	"352"	""	"352"	""
"32"	"4"	"17"	"181"	"26"	"38"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"65"	"2"	"2"	"7"	"324"	""	"324"	""
"33"	"5"	"18"	"201"	"21"	"203"	"6"	"2"	"16"	"0"	"1"	"2"	"1"	"2"	"6"	"101"	"15"	"6"	"19"	"602"	""	"602"	""
"34"	"6"	"19"	"181"	"23"	"93"	"6"	"4"	"4"	"1"	"0"	"1"	"0"	"1"	"3"	"148"	"3"	"10"	"12"	"490"	""	"490"	""
"35"	"7"	"20"	"155"	"13"	"147"	"4"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"19"	"65"	"1"	"7"	"416"	""	"416"	""
"36"	"8"	"21"	"56"	"13"	"82"	"13"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"60"	"8"	"0"	"6"	"245"	""	"245"	""
"37"	"9"	"22"	"81"	"10"	"349"	"8"	"5"	"3"	"0"	"1"	"0"	"0"	"1"	"4"	"27"	"19"	"2"	"13"	"523"	""	"523"	""
"38"	"10"	"23"	"149"	"1"	"52"	"4"	"2"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"73"	"8"	"0"	"2"	"299"	""	"299"	""
"39"	"11"	"24"	"136"	"27"	"166"	"53"	"2"	"5"	"1"	"0"	"0"	"0"	"4"	"2"	"52"	"11"	"2"	"5"	"466"	""	"466"	""
"40"	"12"	"25"	"138"	"11"	"144"	"6"	"3"	"2"	"0"	"0"	"3"	"0"	"3"	"3"	"109"	"5"	"0"	"5"	"432"	""	"432"	""
"41"	"13"	"26"	"210"	"9"	"163"	"18"	"3"	"1"	"0"	"1"	"3"	"1"	"1"	"1"	"21"	"10"	"2"	"12"	"456"	""	"456"	""
"42"	"14"	"27"	"180"	"21"	"140"	"31"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"5"	"23"	"4"	"2"	"11"	"421"	""	"421"	""
"43"	""	"Total"	"1913"	"230"	"2146"	"175"	"36"	"65"	"3"	"8"	"15"	"12"	"19"	"34"	"1067"	"186"	"30"	"115"	"6054"	"0"	"6054"	"0"
"44"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"47"	""	"Polling Station"	"Awadhesh Narayan
Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar
Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar
Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar
Dubey"	"Krishna Prasad
Singh"	"Jyoti Rashmi"	"Phate Bahadur
Singh"	"Birbal Ram"	"Srawan Kumar"	"valid votes"	"rejected votes"	"Total"	"tendered votes"
"48"	"1"	"28"	"180"	"6"	"216"	"14"	"3"	"1"	"2"	"1"	"0"	"3"	"9"	"6"	"261"	"16"	"6"	"20"	"744"	""	"744"	""
"49"	"2"	"29"	"163"	"4"	"215"	"9"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"37"	"20"	"2"	"11"	"467"	""	"467"	""
"50"	"3"	"30"	"267"	"59"	"188"	"54"	"3"	"1"	"2"	"0"	"2"	"0"	"2"	"2"	"68"	"16"	"6"	"9"	"679"	""	"679"	""
"51"	"4"	"31"	"171"	"6"	"334"	"10"	"3"	"0"	"2"	"3"	"0"	"1"	"2"	"1"	"100"	"15"	"3"	"14"	"665"	""	"665"	""
"52"	"5"	"32"	"56"	"22"	"228"	"9"	"0"	"48"	"0"	"0"	"0"	"0"	"1"	"1"	"36"	"3"	"0"	"1"	"405"	""	"405"	""
"53"	"6"	"33"	"123"	"95"	"93"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"5"	"0"	"1"	"325"	""	"325"	""
"54"	"7"	"34"	"116"	"3"	"192"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"19"	"41"	"1"	"10"	"389"	""	"389"	""
"55"	"8"	"34 A"	"263"	"15"	"83"	"5"	"4"	"0"	"0"	"0"	"8"	"1"	"2"	"1"	"56"	"70"	"1"	"9"	"518"	""	"518"	""
"56"	"9"	"35"	"327"	"11"	"69"	"128"	"6"	"17"	"0"	"2"	"3"	"7"	"7"	"0"	"15"	"58"	"4"	"14"	"668"	""	"668"	""
"57"	"10"	"36"	"66"	"4"	"259"	"8"	"1"	"5"	"2"	"0"	"1"	"1"	"0"	"2"	"45"	"12"	"3"	"12"	"421"	""	"421"	""
"58"	"11"	"37"	"43"	"5"	"109"	"8"	"13"	"6"	"1"	"1"	"1"	"0"	"2"	"6"	"205"	"57"	"4"	"11"	"472"	""	"472"	""
"59"	"12"	"38"	"110"	"4"	"107"	"4"	"3"	"9"	"0"	"0"	"0"	"2"	"1"	"0"	"28"	"57"	"1"	"4"	"330"	""	"330"	""
"60"	"13"	"39"	"138"	"7"	"111"	"6"	"6"	"16"	"0"	"2"	"1"	"1"	"7"	"6"	"300"	"12"	"2"	"6"	"621"	""	"621"	""
"61"	"14"	"40"	"24"	"5"	"153"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"3"	"113"	"11"	"3"	"9"	"327"	""	"327"	""
"62"	""	"Total"	"2047"	"246"	"2357"	"259"	"44"	"106"	"10"	"9"	"19"	"21"	"34"	"30"	"1289"	"393"	"36"	"131"	"7031"	"0"	"7031"	"0"
"63"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"66"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"67"	"1"	"41"	"95"	"4"	"183"	"60"	"2"	"3"	"1"	"3"	"5"	"1"	"0"	"0"	"60"	"19"	"3"	"4"	"443"	""	"443"	""
"68"	"2"	"42"	"164"	"115"	"358"	"9"	"8"	"2"	"1"	"2"	"2"	"3"	"2"	"4"	"62"	"12"	"3"	"15"	"762"	""	"762"	""
"69"	"3"	"43"	"166"	"10"	"260"	"4"	"1"	"19"	"1"	"2"	"1"	"3"	"1"	"0"	"45"	"77"	"5"	"4"	"599"	""	"599"	""
"70"	"4"	"44"	"132"	"4"	"115"	"25"	"3"	"8"	"2"	"0"	"0"	"4"	"2"	"1"	"372"	"14"	"4"	"18"	"704"	""	"704"	""
"71"	"5"	"45"	"98"	"12"	"204"	"9"	"12"	"7"	"1"	"1"	"2"	"7"	"3"	"5"	"262"	"26"	"2"	"21"	"672"	""	"672"	""
"72"	"6"	"46"	"182"	"16"	"157"	"7"	"3"	"3"	"2"	"0"	"2"	"0"	"1"	"7"	"319"	"4"	"0"	"8"	"711"	""	"711"	""
"73"	"7"	"47"	"282"	"8"	"288"	"13"	"3"	"19"	"6"	"1"	"2"	"2"	"3"	"3"	"69"	"41"	"4"	"11"	"755"	""	"755"	""
"74"	"8"	"48"	"194"	"21"	"210"	"7"	"1"	"6"	"1"	"2"	"3"	"3"	"2"	"3"	"289"	"50"	"3"	"10"	"805"	""	"805"	""
"75"	"9"	"49"	"223"	"18"	"177"	"16"	"10"	"24"	"2"	"3"	"0"	"1"	"2"	"8"	"197"	"32"	"6"	"20"	"739"	""	"739"	""
"76"	"10"	"50"	"33"	"18"	"500"	"8"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"37"	"6"	"1"	"1"	"611"	""	"611"	""
"77"	"11"	"51"	"154"	"17"	"196"	"16"	"10"	"52"	"3"	"5"	"3"	"3"	"14"	"6"	"358"	"26"	"7"	"21"	"891"	""	"891"	""
"78"	"12"	"52"	"72"	"9"	"344"	"8"	"1"	"2"	"1"	"0"	"1"	"2"	"0"	"2"	"162"	"20"	"0"	"7"	"631"	""	"631"	""
"79"	"13"	"53"	"230"	"8"	"129"	"0"	"4"	"6"	"1"	"1"	"1"	"0"	"2"	"3"	"121"	"195"	"3"	"8"	"712"	""	"712"	""
"80"	"14"	"54"	"42"	"62"	"270"	"3"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"77"	"10"	"2"	"2"	"478"	""	"478"	""
"81"	""	"Total"	"2067"	"322"	"3391"	"185"	"63"	"154"	"23"	"21"	"23"	"30"	"34"	"45"	"2430"	"532"	"43"	"150"	"9513"	"0"	"9513"	""
"82"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"85"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"86"	"1"	"54 A"	"103"	"18"	"132"	"10"	"2"	"4"	"0"	"0"	"1"	"1"	"1"	"4"	"128"	"22"	"1"	"7"	"434"	""	"434"	""
"87"	"2"	"55"	"40"	"16"	"235"	"5"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"5"	"252"	"12"	"0"	"5"	"578"	""	"578"	""
"88"	"3"	"56"	"177"	"27"	"224"	"11"	"4"	"9"	"2"	"0"	"2"	"1"	"2"	"9"	"252"	"14"	"2"	"15"	"751"	""	"751"	""
"89"	"4"	"57"	"123"	"16"	"76"	"2"	"1"	"1"	"2"	"2"	"0"	"6"	"1"	"4"	"148"	"23"	"1"	"18"	"424"	""	"424"	""
"90"	"5"	"58"	"153"	"18"	"69"	"6"	"2"	"41"	"1"	"1"	"1"	"1"	"5"	"0"	"60"	"2"	"0"	"3"	"363"	""	"363"	""
"91"	"6"	"59"	"137"	"8"	"89"	"7"	"3"	"4"	"0"	"2"	"1"	"3"	"3"	"5"	"231"	"8"	"2"	"6"	"509"	""	"509"	""
"92"	"7"	"60"	"9"	"24"	"303"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"2"	"1"	"2"	"351"	""	"351"	""
"93"	"8"	"61"	"104"	"78"	"359"	"42"	"2"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"154"	"12"	"5"	"4"	"768"	""	"768"	""
"94"	"9"	"62"	"296"	"94"	"137"	"16"	"2"	"5"	"0"	"0"	"1"	"0"	"2"	"3"	"174"	"22"	"6"	"14"	"772"	""	"772"	""
"95"	"10"	"63"	"68"	"6"	"84"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"62"	"5"	"0"	"1"	"232"	""	"232"	""
"96"	"11"	"64"	"91"	"29"	"337"	"32"	"1"	"2"	"0"	""	"1"	"1"	"0"	"0"	"60"	"12"	"0"	"1"	"567"	""	"567"	""
"97"	"12"	"65"	"54"	"90"	"231"	"5"	"1"	"7"	"1"	"0"	"1"	"0"	"1"	"1"	"5"	"7"	"0"	"4"	"408"	""	"408"	""
"98"	"13"	"66"	"92"	"68"	"130"	"3"	"4"	"2"	"0"	"1"	"3"	"0"	"2"	"3"	"241"	"24"	"9"	"6"	"588"	""	"588"	""
"99"	"14"	"67"	"93"	"54"	"13"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"48"	"10"	"0"	"1"	"226"	""	"226"	""
"100"	""	"Total"	"1540"	"546"	"2419"	"145"	"25"	"78"	"12"	"8"	"14"	"16"	"20"	"36"	"1823"	"175"	"27"	"87"	"6971"	"0"	"6971"	""
"101"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Total No. of Electors in Assembly Constituency……231642……...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"106"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"107"	"1"	"68"	"71"	"88"	"219"	"3"	"7"	"1"	"0"	"0"	"1"	"1"	"1"	"7"	"164"	"14"	"5"	"13"	"595"	""	"595"	""
"108"	"2"	"69"	"34"	"0"	"73"	"13"	"6"	"1"	"0"	"1"	"2"	"4"	"0"	"7"	"266"	"3"	"1"	"6"	"417"	""	"417"	""
"109"	"3"	"70"	"50"	"10"	"66"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"160"	"6"	"1"	"6"	"310"	""	"310"	""
"110"	"4"	"71"	"271"	"21"	"165"	"14"	"2"	"10"	"1"	"0"	"1"	"1"	"1"	"4"	"83"	"30"	"3"	"10"	"617"	""	"617"	""
"111"	"5"	"72"	"263"	"37"	"187"	"10"	"7"	"22"	"1"	"1"	"0"	"4"	"6"	"3"	"154"	"14"	"7"	"30"	"746"	""	"746"	""
"112"	"6"	"73"	"253"	"41"	"179"	"9"	"6"	"76"	"2"	"5"	"1"	"4"	"17"	"6"	"120"	"8"	"2"	"18"	"747"	""	"747"	""
"113"	"7"	"74"	"57"	"32"	"66"	"11"	"1"	"14"	"1"	"0"	"0"	"0"	"1"	"0"	"66"	"19"	"0"	"2"	"270"	""	"270"	""
"114"	"8"	"75"	"107"	"41"	"92"	"4"	"8"	"46"	"3"	"7"	"3"	"1"	"4"	"4"	"277"	"2"	"2"	"8"	"609"	""	"609"	""
"115"	"9"	"76"	"30"	"15"	"131"	"6"	"6"	"47"	"2"	"2"	"3"	"5"	"6"	"7"	"210"	"11"	"1"	"8"	"490"	""	"490"	""
"116"	"10"	"77"	"18"	"22"	"90"	"0"	"3"	"13"	"2"	"0"	"0"	"0"	"3"	"2"	"118"	"1"	"0"	"6"	"278"	""	"278"	""
"117"	"11"	"78"	"76"	"31"	"74"	"4"	"4"	"127"	"3"	"0"	"2"	"2"	"10"	"3"	"49"	"10"	"5"	"6"	"406"	""	"406"	""
"118"	"12"	"79"	"169"	"5"	"80"	"1"	"1"	"41"	"2"	"1"	"1"	"2"	"10"	"3"	"159"	"12"	"1"	"12"	"500"	""	"500"	""
"119"	"13"	"80"	"65"	"27"	"79"	"1"	"6"	"39"	"1"	"0"	"2"	"3"	"22"	"2"	"89"	"3"	"3"	"3"	"345"	""	"345"	""
"120"	"14"	"81"	"166"	"7"	"103"	"2"	"3"	"43"	"2"	"0"	"3"	"2"	"5"	"0"	"57"	"4"	"0"	"4"	"401"	""	"401"	""
"121"	""	"Total"	"1630"	"377"	"1604"	"81"	"61"	"480"	"20"	"18"	"20"	"30"	"88"	"50"	"1972"	"137"	"31"	"132"	"6731"	"0"	"6731"	""
"122"	"Date :-                    11/24/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Place :-                   Sasaram                                                                                                                                                                                                                                                                                                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"part-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency…231642………...-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Table No"	"Sl. No. of"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No. of"	""	""
"127"	""	"Polling Station"	"Awadhesh Narayan Singh"	"Jahid Pravej"	"Mohammad Illiyas Husain"	"Vijay Kumar Mahto"	"Ajay Kumar Mehta"	"Ashok Kumar Singh"	"Dhan Jee Singh"	"Ramnath Singh"	"Vimal Singh"	"Ajay Kumar"	"Ajay Kumar Dubey"	"Krishna Prasad Singh"	"Jyoti Rashmi"	"Phate Bahadur Singh"	"Birbal Ram"	"Srawan Kumar"	"Total No. of
valid votes"	"rejected votes"	"Total"	"Total no. of
tendered votes"
"128"	"1"	"82"	"247"	"50"	"181"	"9"	"1"	"25"	"7"	"3"	"0"	"4"	"12"	"4"	"48"	"8"	"6"	"21"	"626"	""	"626"	""
"129"	"2"	"83"	"97"	"1"	"88"	"0"	"2"	"15"	"0"	"0"	"0"	"1"	"3"	"1"	"178"	"7"	"2"	"9"	"404"	""	"404"	""
"130"	"3"	"84"	"265"	"12"	"40"	"1"	"3"	"14"	"2"	"2"	"0"	"1"	"7"	"4"	"90"	"11"	"1"	"8"	"461"	""	"461"	""
"131"	"4"	"85"	"81"	"21"	"249"	"13"	"4"	"52"	"3"	"0"	"2"	"6"	"19"	"4"	"101"	"15"	"3"	"13"	"586"	""	"586"	""
"132"	"5"	"86"	"192"	"20"	"142"	"11"	"1"	"24"	"3"	"1"	"1"	"1"	"1"	"3"	"34"	"254"	"6"	"19"	"713"	""	"713"	""
"133"	"6"	"87"	"266"	"6"	"54"	"7"	"2"	"39"	"1"	"1"	"2"	"3"	"10"	"8"	"250"	"70"	"4"	"19"	"742"	""	"742"	""
"134"	"7"	"88"	"136"	"17"	"176"	"5"	"6"	"16"	"2"	"1"	"4"	"2"	"2"	"4"	"164"	"35"	"2"	"10"	"582"	""	"582"	""
"135"	"8"	"89"	"155"	"13"	"170"	"11"	"10"	"39"	"1"	"1"	"16"	"3"	"5"	"6"	"255"	"104"	"6"	"13"	"808"	""	"808"	""
"136"	"9"	"90"	"169"	"12"	"277"	"6"	"7"	"16"	"3"	"4"	"4"	"4"	"5"	"11"	"260"	"36"	"8"	"32"	"854"	""	"854"	""
"137"	"10"	"91"	"65"	"60"	"254"	"7"	"4"	"4"	"2"	"1"	"0"	"2"	"6"	"4"	"85"	"25"	"5"	"22"	"546"	""	"546"	""
"138"	"11"	"92"	"153"	"12"	"97"	"7"	"5"	"1"	"1"	"3"	"0"	"2"	"0"	"4"	"151"	"65"	"9"	"16"	"526"	""	"526"	""
