"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 122-Sonepur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :122-Sonepur                                                                                        No of Voters :223186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates
Name
"74"	"10"	"128"	""	""	"289"	""	""	"9"	""	""	"3"	""	""	"8"	""	""	"6"	""	""	"24"	""	""	"2"	""	""	"27"	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"10"	"168"	""	""	"187"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"6"	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"11"	"193"	""	""	"307"	""	""	"8"	""	""	"3"	""	""	"2"	""	""	"2"	""	""	"9"	""	""	"3"	""	""	"7"	""	""	"545"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"14"	"141"	""	""	"454"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"17"	""	""	"4"	""	""	"11"	""	""	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"17"	"200"	""	""	"372"	""	""	"8"	""	""	"4"	""	""	"7"	""	""	"8"	""	""	"12"	""	""	"13"	""	""	"15"	""	""	"656"	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"13"	"180"	""	""	"590"	""	""	"10"	""	""	"6"	""	""	"1"	""	""	"4"	""	""	"11"	""	""	"6"	""	""	"17"	""	""	"838"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"11"	"164"	""	""	"452"	""	""	"5"	""	""	"3"	""	""	"9"	""	""	"6"	""	""	"3"	""	""	"3"	""	""	"3"	""	""	"659"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"10"	"80"	""	""	"642"	""	""	"7"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"13"	""	""	"0"	""	""	"84"	""	""	"840"	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"14"	"230"	""	""	"227"	""	""	"17"	""	""	"3"	""	""	"10"	""	""	"3"	""	""	"11"	""	""	"4"	""	""	"10"	""	""	"529"	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"5"	"98"	""	""	"216"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	"2"	""	""	"11"	""	""	"1"	""	""	"4"	""	""	"351"	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"5"	"178"	""	""	"290"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	"4"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"9"	"100"	""	""	"221"	""	""	"5"	""	""	"0"	""	""	"4"	""	""	"6"	""	""	"5"	""	""	"4"	""	""	"8"	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"12"	"272"	""	""	"341"	""	""	"4"	""	""	"4"	""	""	"4"	""	""	"2"	""	""	"9"	""	""	"7"	""	""	"12"	""	""	"667"	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"20"	"267"	""	""	"399"	""	""	"19"	""	""	"1"	""	""	"4"	""	""	"4"	""	""	"20"	""	""	"8"	""	""	"18"	""	""	"760"	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"49"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"51"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"52"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"59"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"60"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"62"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"63"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"64"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"65"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"66"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"68"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"72"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"73"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"75"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"2"	"125"	""	""	"189"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"327"	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"9"	"248"	""	""	"274"	""	""	"3"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"7"	""	""	"6"	""	""	"11"	""	""	"562"	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"16"	"109"	""	""	"349"	""	""	"11"	""	""	"4"	""	""	"4"	""	""	"1"	""	""	"10"	""	""	"3"	""	""	"3"	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"15"	"156"	""	""	"381"	""	""	"13"	""	""	"3"	""	""	"6"	""	""	"6"	""	""	"9"	""	""	"8"	""	""	"10"	""	""	"607"	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"9"	"208"	""	""	"356"	""	""	"8"	""	""	"0"	""	""	"2"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"11"	""	""	"615"	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"6"	"35"	""	""	"742"	""	""	"8"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"795"	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"12"	"140"	""	""	"627"	""	""	"9"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	"8"	""	""	"4"	""	""	"11"	""	""	"819"	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"17"	"184"	""	""	"393"	""	""	"11"	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"19"	""	""	"5"	""	""	"17"	""	""	"653"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"8"	"34"	""	""	"354"	""	""	"6"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	"4"	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""
