"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"50"	"37"	"69"	"7"	"422"	"23"	"1"	"1"	"1"	"0"	"0"	"5"	"0"	"1"	"2"	"11"	"5"	"3"	"2"	"2"	"555"	"0"	"555"	""
"51"	"38"	"56"	"26"	"119"	"129"	"6"	"0"	"2"	"0"	"3"	"13"	"4"	"2"	"22"	"8"	"15"	"21"	"7"	"4"	"437"	"0"	"437"	""
"52"	"39"	"171"	"10"	"119"	"56"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"20"	"3"	"5"	"1"	"1"	"393"	"0"	"393"	""
"53"	"40"	"5"	"103"	"317"	"46"	"1"	"1"	"0"	"1"	"1"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"484"	"0"	"484"	""
"54"	"41"	"27"	"16"	"310"	"13"	"1"	"2"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"2"	"1"	"12"	"0"	"2"	"392"	"0"	"392"	""
"55"	"TOTAL"	"3160"	"1745"	"7550"	"6470"	"225"	"74"	"87"	"238"	"169"	"683"	"91"	"91"	"364"	"256"	"418"	"304"	"90"	"94"	"22109"	"0"	"22109"	"0"
"56"	"B.F."	"3160"	"1745"	"7550"	"6470"	"225"	"74"	"87"	"238"	"169"	"683"	"91"	"91"	"364"	"256"	"418"	"304"	"90"	"94"	"22109"	"0"	"22109"	"0"
"57"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"59"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"60"	"42"	"8"	"10"	"133"	"266"	"11"	"4"	"2"	"1"	"2"	"1"	"1"	"1"	"4"	"1"	"3"	"4"	"1"	"1"	"454"	"0"	"454"	""
"61"	"43"	"11"	"67"	"208"	"195"	"4"	"2"	"2"	"1"	"5"	"1"	"2"	"1"	"12"	"2"	"1"	"5"	"1"	"5"	"525"	"0"	"525"	""
"62"	"44"	"152"	"0"	"45"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"206"	"0"	"206"	""
"63"	"45"	"131"	"4"	"159"	"104"	"2"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"1"	"2"	"1"	"4"	"0"	"1"	"416"	"0"	"416"	""
"64"	"46"	"6"	"3"	"156"	"166"	"5"	"1"	"2"	"1"	"1"	"54"	"1"	"0"	"3"	"2"	"2"	"1"	"0"	"0"	"404"	"0"	"404"	""
"65"	"47"	"80"	"53"	"92"	"4"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"2"	"3"	"2"	"1"	"6"	"1"	"1"	"251"	"0"	"251"	""
"66"	"48"	"51"	"43"	"174"	"220"	"8"	"6"	"3"	"0"	"5"	"108"	"2"	"1"	"11"	"4"	"27"	"4"	"4"	"2"	"673"	"0"	"673"	""
"67"	"49"	"18"	"25"	"306"	"129"	"4"	"4"	"4"	"1"	"2"	"54"	"2"	"0"	"5"	"18"	"22"	"5"	"2"	"0"	"601"	"0"	"601"	""
"68"	"50"	"24"	"3"	"288"	"162"	"7"	"1"	"8"	"7"	"12"	"160"	"7"	"5"	"6"	"20"	"18"	"15"	"1"	"2"	"746"	"0"	"746"	""
"69"	"51"	"34"	"13"	"186"	"142"	"4"	"4"	"1"	"1"	"9"	"122"	"4"	"7"	"19"	"16"	"9"	"12"	"2"	"4"	"589"	"0"	"589"	""
"70"	"52"	"50"	"7"	"199"	"225"	"7"	"2"	"2"	"7"	"6"	"11"	"9"	"4"	"17"	"16"	"9"	"20"	"3"	"2"	"596"	"0"	"596"	""
"71"	"53"	"72"	"11"	"300"	"203"	"6"	"4"	"1"	"6"	"14"	"19"	"9"	"4"	"10"	"59"	"25"	"13"	"2"	"2"	"760"	"0"	"760"	""
"72"	"54"	"70"	"77"	"123"	"177"	"8"	"4"	"3"	"6"	"10"	"32"	"3"	"7"	"6"	"66"	"13"	"23"	"5"	"6"	"639"	"0"	"639"	""
"73"	"55"	"62"	"2"	"127"	"150"	"4"	"3"	"0"	"1"	"4"	"6"	"6"	"5"	"8"	"113"	"10"	"7"	"1"	"2"	"511"	"0"	"511"	""
"74"	"TOTAL"	"3929"	"2063"	"10046"	"8618"	"295"	"110"	"116"	"274"	"242"	"1253"	"139"	"129"	"469"	"577"	"559"	"424"	"115"	"122"	"29480"	"0"	"29480"	""
"75"	"B.F."	"3929"	"2063"	"10046"	"8618"	"295"	"110"	"116"	"274"	"242"	"1253"	"139"	"129"	"469"	"577"	"559"	"424"	"115"	"122"	"29480"	"0"	"29480"	""
"76"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"78"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"79"	"56"	"91"	"7"	"237"	"101"	"4"	"2"	"1"	"2"	"7"	"37"	"6"	"3"	"10"	"75"	"18"	"10"	"4"	"2"	"617"	"0"	"617"	""
"80"	"57"	"22"	"3"	"254"	"63"	"1"	"0"	"0"	"4"	"1"	"16"	"6"	"1"	"2"	"24"	"12"	"5"	"3"	"2"	"419"	"0"	"419"	""
"81"	"58"	"87"	"6"	"45"	"29"	"4"	"0"	"0"	"1"	"2"	"8"	"0"	"15"	"3"	"4"	"3"	"3"	"1"	"1"	"212"	"0"	"212"	""
"82"	"59"	"83"	"32"	"50"	"71"	"4"	"1"	"2"	"1"	"5"	"2"	"3"	"3"	"14"	"2"	"8"	"7"	"2"	"3"	"293"	"0"	"293"	""
"83"	"60"	"177"	"8"	"100"	"328"	"2"	"2"	"3"	"1"	"3"	"1"	"4"	"3"	"11"	"10"	"2"	"6"	"1"	"1"	"663"	"0"	"663"	""
"84"	"61"	"101"	"128"	"111"	"223"	"9"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"14"	"2"	"4"	"8"	"0"	"0"	"608"	"0"	"608"	""
"85"	"62"	"93"	"120"	"115"	"180"	"5"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"8"	"1"	"2"	"1"	"532"	"0"	"532"	""
"86"	"63"	"25"	"136"	"100"	"262"	"10"	"1"	"2"	"0"	"7"	"0"	"0"	"2"	"15"	"3"	"44"	"10"	"1"	"2"	"620"	"0"	"620"	""
"87"	"64"	"8"	"17"	"94"	"235"	"8"	"3"	"5"	"1"	"1"	"5"	"3"	"4"	"7"	"1"	"8"	"6"	"1"	"0"	"407"	"0"	"407"	""
"88"	"65"	"72"	"131"	"143"	"75"	"5"	"2"	"1"	"0"	"2"	"3"	"2"	"0"	"14"	"10"	"30"	"24"	"5"	"7"	"526"	"0"	"526"	""
"89"	"66"	"22"	"2"	"64"	"91"	"2"	"2"	"1"	"2"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"193"	"0"	"193"	""
"90"	"67"	"2"	"53"	"190"	"103"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"4"	"4"	"14"	"6"	"1"	"5"	"387"	"0"	"387"	""
"91"	"68"	"61"	"83"	"197"	"82"	"2"	"0"	"2"	"0"	"5"	"2"	"6"	"0"	"3"	"5"	"20"	"1"	"3"	"0"	"472"	"0"	"472"	""
"92"	"69"	"60"	"138"	"286"	"72"	"5"	"0"	"1"	"1"	"2"	"30"	"10"	"2"	"5"	"15"	"12"	"10"	"2"	"5"	"656"	"0"	"656"	""
"93"	"TOTAL"	"4833"	"2927"	"12032"	"10533"	"356"	"124"	"138"	"287"	"283"	"1358"	"184"	"165"	"575"	"734"	"742"	"522"	"141"	"151"	"36085"	"0"	"36085"	""
"94"	"B.F."	"4833"	"2927"	"12032"	"10533"	"356"	"124"	"138"	"287"	"283"	"1358"	"184"	"165"	"575"	"734"	"742"	"522"	"141"	"151"	"36085"	"0"	"36085"	""
"95"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"97"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"98"	"70"	"14"	"217"	"252"	"240"	"7"	"2"	"3"	"5"	"6"	"2"	"6"	"2"	"10"	"9"	"2"	"8"	"0"	"17"	"802"	"0"	"802"	""
"99"	"71"	"13"	"2"	"75"	"51"	"5"	"0"	"0"	"1"	"2"	"0"	"0"	"3"	"5"	"3"	"2"	"4"	"1"	"3"	"170"	"0"	"170"	""
"100"	"72"	"99"	"44"	"473"	"73"	"2"	"2"	"6"	"2"	"2"	"3"	"1"	"5"	"7"	"13"	"4"	"8"	"0"	"2"	"746"	"0"	"746"	""
"101"	"73"	"39"	"69"	"82"	"135"	"1"	"0"	"2"	"1"	"5"	"1"	"0"	"1"	"1"	"4"	"29"	"1"	"4"	"1"	"376"	"0"	"376"	""
"102"	"74"	"171"	"6"	"201"	"165"	"8"	"2"	"175"	"8"	"5"	"6"	"2"	"5"	"8"	"3"	"14"	"20"	"2"	"3"	"804"	"0"	"804"	""
"103"	"75"	"45"	"4"	"39"	"114"	"3"	"1"	"117"	"1"	"3"	"2"	"0"	"2"	"2"	"2"	"4"	"4"	"1"	"3"	"347"	"0"	"347"	""
"104"	"76"	"55"	"76"	"114"	"70"	"2"	"4"	"285"	"6"	"3"	"9"	"4"	"2"	"3"	"3"	"1"	"11"	"1"	"2"	"651"	"0"	"651"	""
"105"	"77"	"171"	"10"	"422"	"107"	"6"	"0"	"25"	"3"	"2"	"3"	"17"	"2"	"10"	"20"	"18"	"13"	"7"	"4"	"840"	"0"	"840"	""
"106"	"78"	"55"	"82"	"103"	"239"	"9"	"2"	"0"	"1"	"7"	"2"	"0"	"2"	"19"	"11"	"24"	"14"	"5"	"9"	"584"	"0"	"584"	""
"107"	"79"	"139"	"44"	"136"	"352"	"9"	"2"	"3"	"2"	"7"	"33"	"3"	"2"	"9"	"2"	"14"	"5"	"3"	"0"	"765"	"0"	"765"	""
"108"	"80"	"67"	"31"	"365"	"41"	"8"	"5"	"0"	"3"	"4"	"1"	"2"	"2"	"1"	"5"	"43"	"1"	"2"	"7"	"588"	"0"	"588"	""
"109"	"80 A"	"14"	"21"	"229"	"84"	"9"	"0"	"2"	"3"	"8"	"3"	"3"	"1"	"3"	"8"	"27"	"4"	"2"	"5"	"426"	"0"	"426"	""
"110"	"81"	"24"	"53"	"121"	"283"	"5"	"2"	"2"	"2"	"3"	"5"	"2"	"5"	"13"	"10"	"42"	"14"	"1"	"0"	"587"	"0"	"587"	""
"111"	"82"	"19"	"81"	"288"	"172"	"8"	"5"	"2"	"1"	"5"	"65"	"5"	"2"	"2"	"13"	"23"	"10"	"2"	"5"	"708"	"0"	"708"	""
"112"	"TOTAL"	"5758"	"3667"	"14932"	"12659"	"438"	"151"	"760"	"326"	"345"	"1493"	"229"	"201"	"668"	"840"	"989"	"639"	"172"	"212"	"44479"	"0"	"44479"	""
"113"	"B.F."	"5758"	"3667"	"14932"	"12659"	"438"	"151"	"760"	"326"	"345"	"1493"	"229"	"201"	"668"	"840"	"989"	"639"	"172"	"212"	"44479"	"0"	"44479"	""
"114"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"117"	"83"	"5"	"21"	"127"	"130"	"3"	"2"	"0"	"0"	"1"	"6"	"1"	"1"	"2"	"2"	"0"	"2"	"1"	"1"	"305"	"0"	"305"	""
"118"	"84"	"86"	"0"	"245"	"103"	"2"	"2"	"1"	"0"	"1"	"2"	"0"	"2"	"4"	"0"	"5"	"2"	"1"	"1"	"457"	"0"	"457"	""
"119"	"85"	"195"	"7"	"90"	"127"	"1"	"1"	"1"	"1"	"2"	"2"	"0"	"3"	"7"	"6"	"6"	"4"	"5"	"0"	"458"	"0"	"458"	""
"120"	"86"	"55"	"58"	"326"	"232"	"8"	"5"	"2"	"7"	"5"	"3"	"1"	"11"	"16"	"11"	"16"	"7"	"0"	"4"	"767"	"0"	"767"	""
"121"	"87"	"52"	"68"	"118"	"74"	"4"	"0"	"3"	"7"	"5"	"9"	"0"	"4"	"1"	"6"	"68"	"33"	"0"	"0"	"452"	"0"	"452"	""
"122"	"87 A"	"56"	"64"	"73"	"123"	"6"	"0"	"0"	"1"	"1"	"9"	"2"	"1"	"4"	"3"	"3"	"45"	"5"	"6"	"402"	"0"	"402"	""
"123"	"88"	"83"	"48"	"180"	"312"	"12"	"5"	"4"	"1"	"5"	"7"	"4"	"2"	"11"	"4"	"106"	"8"	"3"	"3"	"798"	"0"	"798"	""
"124"	"89"	"168"	"68"	"251"	"125"	"2"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"7"	"5"	"4"	"3"	"1"	"0"	"641"	"0"	"641"	""
"125"	"90"	"80"	"22"	"270"	"239"	"7"	"2"	"4"	"2"	"5"	"3"	"11"	"4"	"12"	"8"	"102"	"5"	"2"	"1"	"779"	"0"	"779"	""
"126"	"91"	"120"	"2"	"19"	"191"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"347"	"0"	"347"	""
"127"	"92"	"78"	"2"	"177"	"253"	"9"	"3"	"2"	"3"	"4"	"9"	"3"	"1"	"16"	"7"	"15"	"3"	"5"	"3"	"593"	"0"	"593"	""
"128"	"92 A"	"33"	"60"	"49"	"151"	"10"	"2"	"1"	"2"	"4"	"6"	"3"	"1"	"3"	"6"	"5"	"2"	"4"	"0"	"342"	"0"	"342"	""
"129"	"93"	"219"	"95"	"36"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"5"	"3"	"1"	"368"	"0"	"368"	""
