"X."	"Candidates..Name"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"32"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"33"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"34"	"25"	3	56	3	14	281	7	1	2	0	0	4	3	3	1	3	3	5	2	2	0	4	4	"401"	"0"	"401"	"0"
"35"	"26"	3	56	9	16	283	3	9	2	3	1	10	1	2	2	8	9	6	2	2	2	10	18	"457"	"0"	"457"	"0"
"36"	"27"	11	125	5	48	384	4	1	22	2	2	3	2	0	0	2	1	4	2	2	0	4	7	"631"	"0"	"631"	"0"
"37"	"28"	1	297	2	9	72	1	0	1	2	0	2	0	0	0	0	0	0	0	0	1	2	2	"392"	"0"	"392"	"0"
"38"	"29"	1	64	0	20	86	2	1	1	0	0	0	2	2	0	2	1	1	3	0	2	1	3	"192"	"0"	"192"	"0"
"39"	"30"	7	32	6	64	175	5	2	4	0	0	2	4	2	1	3	2	10	1	1	2	6	10	"339"	"0"	"339"	"0"
"40"	"31"	1	100	1	6	150	4	1	0	1	0	2	1	2	0	5	3	1	2	1	0	0	3	"284"	"0"	"284"	"0"
"41"	"32"	11	30	5	25	246	4	1	4	1	0	4	4	1	2	9	4	3	6	2	2	9	19	"392"	"0"	"392"	"0"
"42"	"33"	12	258	11	32	106	1	2	2	0	1	3	0	2	2	3	3	17	19	10	4	21	20	"529"	"0"	"529"	"0"
"43"	"34"	5	148	3	5	17	0	0	0	0	1	1	0	2	6	33	7	4	14	0	1	2	1	"250"	"0"	"250"	"0"
"44"	"35"	0	53	5	151	304	5	2	6	3	4	4	9	6	4	9	15	1	4	2	0	10	6	"603"	"0"	"603"	"0"
"45"	"36"	16	431	9	7	89	2	5	3	1	1	7	1	2	1	0	2	1	4	5	0	5	2	"594"	"0"	"594"	"0"
"46"	"37"	10	314	9	0	23	1	0	1	0	2	2	1	5	2	17	8	3	5	1	3	3	5	"415"	"0"	"415"	"0"
"47"	"38"	12	297	8	7	58	1	0	3	1	1	9	9	9	10	32	17	2	7	5	2	10	3	"503"	"0"	"503"	"0"
"48"	"39"	9	385	11	25	107	5	5	5	5	3	5	7	15	7	8	24	8	20	15	4	12	15	"700"	"0"	"700"	"0"
"49"	"40"	17	260	14	12	317	9	1	11	2	4	5	4	11	0	8	4	20	15	12	2	10	18	"756"	"0"	"756"	"0"
"50"	"41"	3	149	4	14	81	0	0	2	4	0	2	2	2	2	5	5	1	2	2	2	1	2	"285"	"0"	"285"	"0"
"51"	"42"	1	9	2	7	558	2	2	1	0	2	0	0	0	0	4	0	0	0	3	1	2	6	"600"	"0"	"600"	"0"
"52"	"43"	12	219	6	16	260	4	0	0	2	0	3	1	2	3	2	5	6	8	2	1	7	12	"571"	"0"	"571"	"0"
"53"	"44"	11	294	7	71	47	1	0	0	0	0	1	1	3	1	6	6	14	10	4	0	12	8	"497"	"0"	"497"	"0"
"54"	"45"	14	436	6	3	38	0	0	0	0	1	0	0	2	2	3	3	4	14	5	1	5	5	"542"	"0"	"542"	"0"
"55"	"46"	7	306	4	11	13	0	1	0	0	1	3	1	3	3	10	8	7	34	8	3	13	6	"442"	"0"	"442"	"0"
"56"	"46A"	3	307	2	1	7	1	0	0	0	0	0	1	8	9	20	11	3	13	3	1	3	2	"395"	"0"	"395"	"0"
"57"	"47"	15	412	8	19	33	2	3	3	1	1	1	5	3	2	4	3	5	15	3	1	9	2	"550"	"0"	"550"	"0"
"58"	"48"	22	408	14	13	232	4	5	4	0	1	5	6	4	8	12	12	5	11	2	1	11	7	"787"	"0"	"787"	"0"
"59"	"49"	13	113	13	28	463	12	7	3	2	9	1	5	1	2	3	7	19	12	12	2	12	21	"760"	"0"	"760"	"0"
"60"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"61"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"62"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"63"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"64"	"50"	11	405	6	3	47	1	2	1	1	0	1	3	5	0	11	2	3	12	2	0	2	1	"519"	"0"	"519"	"0"
"65"	"51"	3	47	14	10	178	3	8	10	0	0	5	0	1	0	2	2	5	1	0	0	2	7	"298"	"0"	"298"	"0"
"66"	"52"	2	407	6	3	33	0	0	0	0	0	2	2	1	1	1	0	2	2	1	0	2	1	"466"	"0"	"466"	"0"
"67"	"53"	9	235	5	11	111	0	0	2	1	0	3	6	3	0	6	3	3	4	1	0	5	0	"408"	"0"	"408"	"0"
"68"	"54"	7	147	10	11	229	5	0	4	1	3	1	5	3	4	4	4	9	3	2	1	2	17	"472"	"0"	"472"	"0"
"69"	"55"	2	43	1	5	207	1	1	0	0	0	1	1	2	0	1	4	1	3	0	0	1	1	"275"	"0"	"275"	"0"
"70"	"56"	4	107	8	10	265	10	0	5	1	1	6	6	2	4	7	25	8	6	4	3	11	15	"508"	"0"	"508"	"0"
"71"	"57"	6	93	8	16	162	4	1	1	1	2	5	5	1	2	7	10	3	1	2	1	1	10	"342"	"0"	"342"	"0"
"72"	"58"	24	478	14	4	171	3	2	1	1	2	15	4	5	1	9	7	16	22	5	4	14	12	"814"	"0"	"814"	"0"
"73"	"59"	10	185	4	16	184	0	3	2	2	1	6	3	4	1	13	6	15	15	14	3	12	16	"515"	"0"	"515"	"0"
"74"	"60"	2	106	5	54	114	8	2	1	2	1	65	7	2	3	8	9	1	5	4	0	1	3	"403"	"0"	"403"	"0"
"75"	"61"	13	154	4	22	244	13	4	7	0	2	136	7	9	5	9	2	5	4	3	0	8	4	"655"	"0"	"655"	"0"
"76"	"62"	8	193	10	5	9	0	1	0	0	0	3	1	1	5	14	13	2	11	2	0	5	2	"285"	"0"	"285"	"0"
"77"	"63"	5	245	11	7	75	3	1	1	3	0	6	5	5	4	11	8	6	7	0	2	5	7	"417"	"0"	"417"	"0"
"78"	"64"	9	177	4	3	126	1	2	3	0	1	3	1	2	1	4	5	12	11	10	1	6	8	"390"	"0"	"390"	"0"
"79"	"65"	4	124	3	57	208	3	3	9	5	7	4	18	6	17	18	20	5	5	3	1	6	4	"530"	"0"	"530"	"0"
"80"	"66"	7	312	2	22	78	2	1	0	2	0	0	2	6	3	8	2	1	3	3	2	4	2	"462"	"0"	"462"	"0"
"81"	"67"	9	173	3	9	179	5	4	1	3	5	7	7	3	1	6	3	11	14	4	4	20	14	"485"	"0"	"485"	"0"
"82"	"68"	7	303	6	11	43	4	0	1	0	2	2	1	6	14	18	18	4	16	3	2	6	1	"468"	"0"	"468"	"0"
"83"	"69"	7	37	1	75	4	3	0	0	0	0	0	3	0	3	2	4	1	3	1	0	0	1	"145"	"0"	"145"	"0"
"84"	"70"	1	71	2	3	70	3	0	0	0	1	1	0	0	1	5	4	0	6	1	1	3	7	"180"	"0"	"180"	"0"
"85"	"71"	1	100	5	27	92	2	0	3	0	1	2	2	2	1	6	1	1	4	0	1	7	1	"259"	"0"	"259"	"0"
"86"	"72"	6	367	6	4	86	2	1	3	1	1	4	1	6	3	21	12	6	19	6	1	5	6	"567"	"0"	"567"	"0"
"87"	"73"	7	62	4	23	257	6	3	1	2	4	5	14	3	2	16	23	6	1	2	1	2	5	"449"	"0"	"449"	"0"
"88"	"74"	4	56	2	20	211	7	3	2	3	3	16	11	4	2	23	8	4	1	0	0	4	7	"391"	"0"	"391"	"0"
"89"	"75"	12	94	12	38	306	3	0	13	0	2	4	3	0	2	5	4	15	11	8	5	15	23	"575"	"0"	"575"	"0"
"90"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"91"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"92"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"93"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"94"	"76"	12	240	9	53	216	4	0	3	0	0	2	2	4	1	4	22	4	1	3	1	2	6	"589"	"0"	"589"	"0"
"95"	"77"	21	342	5	8	58	1	2	1	2	0	3	2	8	2	13	2	7	5	5	0	9	6	"502"	"0"	"502"	"0"
"96"	"78"	23	227	14	11	68	5	4	4	2	2	8	2	7	6	14	10	15	15	6	2	15	15	"475"	"0"	"475"	"0"
"97"	"79"	12	370	10	10	56	3	1	1	3	3	2	7	12	9	27	9	6	11	1	2	4	1	"560"	"0"	"560"	"0"
"98"	"80"	14	205	5	8	15	0	2	0	2	1	4	1	5	1	2	0	6	9	2	0	2	3	"287"	"0"	"287"	"0"
"99"	"81"	6	296	13	9	107	2	6	4	0	3	0	5	4	10	20	22	9	19	4	3	5	9	"556"	"0"	"556"	"0"
"100"	"82"	6	224	5	17	208	6	1	1	1	1	5	4	2	5	7	12	3	5	2	0	5	6	"526"	"0"	"526"	"0"
"101"	"83"	20	306	4	13	139	2	2	0	1	2	4	9	6	1	12	3	11	14	12	5	13	14	"593"	"0"	"593"	"0"
"102"	"84"	12	319	7	5	18	0	1	2	2	1	2	3	2	3	5	2	4	4	2	1	1	0	"396"	"0"	"396"	"0"
"103"	"85"	8	215	10	21	314	14	6	9	4	6	8	19	5	15	28	21	6	10	2	2	7	9	"739"	"0"	"739"	"0"
"104"	"86"	6	127	5	12	288	13	6	10	3	4	5	15	4	7	16	16	4	9	4	3	5	13	"575"	"0"	"575"	"0"
"105"	"87"	3	112	4	4	309	7	1	1	0	5	9	8	6	3	6	10	2	12	2	1	10	6	"521"	"0"	"521"	"0"
"106"	"88"	8	157	4	9	84	0	0	0	0	0	2	5	1	1	2	1	5	7	2	0	1	8	"297"	"0"	"297"	"0"
"107"	"89"	4	66	3	7	162	2	0	1	0	0	1	3	1	1	0	1	0	0	1	1	3	7	"264"	"0"	"264"	"0"
"108"	"90"	2	7	0	4	135	3	2	2	1	0	1	13	0	0	0	3	5	1	1	0	9	13	"202"	"0"	"202"	"0"
"109"	"91"	8	82	3	17	348	7	5	6	4	4	12	30	7	7	13	22	9	5	5	5	18	26	"643"	"0"	"643"	"0"
"110"	"92"	4	236	8	25	170	3	3	14	3	3	4	8	12	9	19	18	10	18	8	4	16	10	"605"	"0"	"605"	"0"
"111"	"93"	8	218	5	81	261	3	0	5	0	2	4	15	6	4	4	2	19	9	11	11	26	24	"718"	"0"	"718"	"0"
"112"	"94"	4	14	3	95	384	8	3	10	2	4	6	15	5	3	4	18	1	0	0	4	6	6	"595"	"0"	"595"	"0"
"113"	"95"	4	4	3	0	4	1	1	0	2	2	3	345	14	2	61	2	1	2	0	0	1	0	"452"	"0"	"452"	"0"
"114"	"96"	21	106	9	15	450	5	1	7	1	5	4	5	2	4	5	2	24	11	4	4	25	28	"738"	"0"	"738"	"0"
"115"	"97"	6	40	3	7	571	4	1	5	2	2	2	6	0	0	6	2	13	1	0	2	5	14	"692"	"0"	"692"	"0"
"116"	"98"	17	36	4	4	162	3	1	2	0	1	1	0	2	1	1	3	11	1	0	0	1	6	"257"	"0"	"257"	"0"
"117"	"99"	3	44	2	14	602	4	10	2	3	2	5	10	4	5	8	11	8	0	1	0	1	4	"743"	"0"	"743"	"0"
"118"	"100"	16	200	11	38	189	2	6	3	2	4	2	5	7	3	5	1	14	2	3	0	1	4	"518"	"0"	"518"	"0"
"119"	"101"	0	79	3	12	372	4	0	5	2	5	15	7	4	4	10	6	1	1	0	0	3	5	"538"	"0"	"538"	"0"
"120"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"121"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"122"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"123"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"124"	"102"	2	11	2	2	386	2	3	4	3	3	2	1	0	0	5	5	7	2	2	1	8	25	"476"	"0"	"476"	"0"
"125"	"103"	6	9	1	7	399	0	0	1	0	1	3	0	0	0	1	1	1	0	0	0	3	4	"437"	"0"	"437"	"0"
"126"	"104"	7	71	2	13	580	11	3	7	4	3	13	19	7	4	7	19	9	2	0	2	7	8	"798"	"0"	"798"	"0"
"127"	"105"	7	191	10	10	408	3	6	2	5	0	3	5	6	1	9	11	10	9	5	1	9	12	"723"	"0"	"723"	"0"
"128"	"106"	6	45	2	6	705	9	3	10	2	3	3	13	1	5	8	12	5	4	1	0	6	18	"867"	"0"	"867"	"0"
"129"	"107"	8	152	5	8	232	4	1	5	0	5	0	4	2	6	5	4	6	5	3	1	4	6	"466"	"0"	"466"	"0"
"130"	"108"	2	82	3	5	263	4	1	2	3	3	3	1	3	0	3	3	8	6	7	3	7	16	"428"	"0"	"428"	"0"
"131"	"109"	27	483	19	5	109	5	2	8	1	1	5	5	7	4	7	5	12	25	13	4	15	11	"773"	"0"	"773"	"0"
"132"	"110"	3	302	4	3	26	0	0	0	0	2	1	0	1	0	1	2	2	6	6	4	8	6	"377"	"0"	"377"	"0"
"133"	"110A"	9	336	9	9	37	3	1	7	1	2	2	2	4	2	4	7	0	3	0	0	0	1	"439"	"0"	"439"	"0"
"134"	"111"	1	157	3	21	133	2	0	0	0	0	1	2	1	6	5	5	2	23	4	1	17	6	"390"	"0"	"390"	"0"
"135"	"112"	11	214	19	12	94	3	2	4	4	5	3	0	4	3	4	3	5	7	6	1	7	5	"416"	"0"	"416"	"0"
"136"	"113"	14	238	7	28	83	3	2	46	2	1	1	1	6	2	10	5	21	24	17	0	14	10	"535"	"0"	"535"	"0"
"137"	"114"	7	145	1	13	164	3	1	3	3	0	2	3	2	0	2	1	6	7	5	0	5	2	"375"	"0"	"375"	"0"
"138"	"115"	0	160	3	18	120	2	0	1	3	1	3	4	6	4	15	9	6	1	4	1	12	1	"374"	"0"	"374"	"0"
"139"	"116"	10	230	9	16	149	7	1	7	3	1	1	1	3	0	6	5	4	7	2	2	0	4	"468"	"0"	"468"	"0"
"140"	"117"	0	65	2	35	62	0	0	0	1	0	1	2	1	0	0	17	1	5	2	0	4	2	"200"	"0"	"200"	"0"
"141"	"118"	41	100	8	18	227	9	1	5	2	2	2	7	5	1	4	18	5	12	3	2	8	7	"487"	"0"	"487"	"0"
"142"	"119"	5	207	8	6	97	27	1	6	1	3	10	7	12	13	15	17	4	12	2	1	5	3	"462"	"0"	"462"	"0"
"143"	"120"	4	155	8	16	127	21	3	4	2	2	7	6	6	8	18	13	5	6	3	0	4	6	"424"	"0"	"424"	"0"
"144"	"121"	15	175	6	8	101	5	1	3	0	2	3	3	4	4	7	3	19	38	11	6	28	22	"464"	"0"	"464"	"0"
"145"	"122"	10	73	4	5	260	2	0	2	0	1	0	3	3	1	5	2	22	3	9	4	14	19	"442"	"0"	"442"	"0"
"146"	"123"	7	60	4	17	297	3	1	1	2	2	0	4	1	0	2	0	9	2	2	0	4	8	"426"	"0"	"426"	"0"
"147"	"124"	15	130	1	9	298	3	1	1	0	1	2	3	4	1	1	2	7	9	8	1	15	10	"522"	"0"	"522"	"0"
"148"	"125"	6	74	3	25	163	1	3	2	0	2	1	0	2	1	1	1	4	2	1	2	2	3	"299"	"0"	"299"	"0"
"149"	"126"	17	171	13	11	215	5	1	4	1	3	1	0	4	1	4	4	9	3	5	2	0	6	"480"	"0"	"480"	"0"
"150"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"151"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"152"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"153"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"154"	"127"	3	108	5	12	235	6	0	6	4	3	10	2	4	7	6	5	9	11	11	10	13	32	"502"	"0"	"502"	"0"
"155"	"128"	5	127	7	7	211	2	3	5	3	2	10	12	9	9	20	21	7	9	5	6	10	6	"496"	"0"	"496"	"0"
"156"	"129"	15	221	9	16	284	6	1	7	5	2	9	10	9	7	13	16	61	18	14	1	12	9	"745"	"0"	"745"	"0"
"157"	"130"	5	5	0	17	225	4	0	0	3	1	0	9	5	0	2	3	0	0	0	2	1	7	"289"	"0"	"289"	"0"
"158"	"130A"	5	69	4	11	130	2	1	3	0	1	2	3	8	9	15	6	9	18	13	4	9	7	"329"	"0"	"329"	"0"
"159"	"131"	4	69	5	6	178	4	2	0	0	0	1	3	11	1	1	16	3	41	3	1	6	5	"360"	"0"	"360"	"0"
"160"	"132"	5	47	2	7	254	6	3	0	0	1	3	6	3	3	2	9	4	13	4	1	8	2	"383"	"0"	"383"	"0"
"161"	"133"	16	189	9	5	63	6	3	5	1	1	4	0	2	3	4	2	16	10	4	0	4	3	"350"	"0"	"350"	"0"
"162"	"134"	10	155	2	7	24	0	0	0	3	0	1	1	4	61	1	4	2	4	1	1	2	0	"283"	"0"	"283"	"0"
"163"	"135"	16	266	7	3	106	0	1	5	2	9	5	5	7	5	8	2	46	25	21	7	18	20	"584"	"0"	"584"	"0"
"164"	"136"	14	96	4	3	144	2	3	1	0	2	0	3	4	1	3	3	9	1	1	0	4	2	"300"	"0"	"300"	"0"
"165"	"137"	6	42	1	7	284	3	0	3	2	0	0	3	2	2	2	2	22	6	0	3	3	7	"400"	"0"	"400"	"0"
"166"	"138"	5	71	6	5	257	4	2	2	0	5	2	2	4	0	2	6	23	11	6	2	7	7	"429"	"0"	"429"	"0"
"167"	"139"	2	3	0	4	345	5	2	2	2	2	9	5	1	1	0	2	15	1	1	0	0	5	"407"	"0"	"407"	"0"
"168"	"140"	0	342	21	11	188	3	5	3	2	1	2	2	5	0	4	4	9	7	2	0	0	6	"617"	"0"	"617"	"0"
"169"	"141"	18	108	1	14	154	5	2	9	3	2	3	1	3	0	2	3	46	11	9	2	9	4	"409"	"0"	"409"	"0"
"170"	"142"	5	12	1	25	290	4	1	2	0	1	0	0	1	2	1	1	29	1	0	0	1	8	"385"	"0"	"385"	"0"
"171"	"143"	3	120	8	2	54	0	0	3	1	0	2	2	1	2	4	0	19	5	0	0	2	1	"229"	"0"	"229"	"0"
"172"	"144"	5	193	6	39	234	4	7	8	22	11	9	10	6	9	15	11	21	0	3	1	0	10	"624"	"0"	"624"	"0"
"173"	"145"	5	10	9	5	0	1	1	5	0	0	1	24	30	7	274	5	7	4	3	0	1	3	"395"	"0"	"395"	"0"
"174"	"146"	2	82	9	26	297	12	4	1	17	7	7	15	13	4	11	17	4	0	3	2	6	2	"541"	"0"	"541"	"0"
"175"	"147"	6	75	5	19	207	5	0	3	3	0	2	5	2	2	3	4	9	11	5	2	6	14	"388"	"0"	"388"	"0"
"176"	"148"	3	223	11	46	38	3	0	2	3	2	1	3	11	7	26	19	3	5	4	1	4	8	"423"	"0"	"423"	"0"
"177"	"149"	10	134	8	18	358	7	1	2	9	5	3	6	3	2	11	1	26	14	14	4	12	30	"678"	"0"	"678"	"0"
"178"	"150"	18	360	22	20	106	6	5	13	8	6	12	10	15	13	38	30	4	18	9	8	13	9	"743"	"0"	"743"	"0"
"179"	"151"	12	134	5	5	199	2	3	2	0	1	4	33	4	1	9	7	41	13	20	7	20	44	"566"	"0"	"566"	"0"
"180"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"181"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	""	""	""	""
"182"	"BOOTH NO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL VAILID VOTE"	"TOTAL REJECTED VOTE"	"TOTAL"	"TOTAL TENDAR VOTE"
"183"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	"24"	"25"	"26"	"27"
"184"	"152"	10	257	13	11	170	1	1	2	0	0	4	21	4	1	4	5	20	13	6	1	15	20	"579"	"0"	"579"	"0"
"185"	"153"	1	155	0	0	27	0	0	0	0	0	1	1	1	0	4	1	0	3	0	0	1	0	"195"	"0"	"195"	"0"
"186"	"154"	6	37	9	17	332	5	2	4	1	1	5	15	3	2	1	1	3	2	2	3	0	7	"458"	"0"	"458"	"0"
"187"	"155"	4	47	3	11	124	5	1	1	2	1	4	21	5	1	6	8	2	3	1	0	7	4	"261"	"0"	"261"	"0"
"188"	"156"	17	380	6	4	89	2	1	7	2	1	2	1	2	0	2	5	7	9	7	3	7	15	"569"	"0"	"569"	"0"
"189"	"157"	13	221	11	16	132	3	5	4	5	0	11	4	6	3	11	6	9	8	10	1	5	7	"491"	"0"	"491"	"0"
"190"	"158"	3	86	4	5	273	7	4	2	3	4	10	9	7	3	12	5	4	5	3	2	7	1	"459"	"0"	"459"	"0"
"191"	"158A"	9	49	0	17	263	5	2	3	0	3	10	8	4	3	8	11	7	5	1	0	2	6	"416"	"0"	"416"	"0"
"192"	"159"	6	200	6	20	58	2	0	1	1	2	0	2	2	1	7	4	15	24	10	3	23	8	"395"	"0"	"395"	"0"
"193"	"160"	12	185	5	15	39	0	1	2	4	3	6	0	4	2	3	5	2	3	1	0	0	1	"293"	"0"	"293"	"0"
