"Candidates.Name..........BOOTH.NO"	"ASHOK.KUMAR"	"MANOJ.KUMAR.SINGH"	"SHIV.BACHAN.YADAV"	"SATYADEO.SINGH"	"SUCHITRA.SINHA"	"UPENDRA.PASWAN"	"JAY.PRAKASH.PANDIT"	"PROF.JAIRAM.PRASAD.SINGH"	"MANTU.KUMAR"	"VINOD.KUMAR"	"BHART.SINGH.BHARTI"	"RAM.ASHRAY.MANJHI"	"LUVKUSH.SINGH"	"VIKRANT.PRATAP.SINGH"	"Total.Valid.Votes"	"X."
"151"	140	25	0	105	21	0	2	3	1	0	1	0	4	4	5	171	""
"152"	141	8	48	247	131	1	7	4	2	1	0	0	0	0	3	452	""
"153"	142	141	16	16	121	2	0	3	0	1	2	0	1	1	3	307	""
"154"	NA	82	22	53	118	18	2	6	1	0	1	3	1	2	8	317	""
"155"	143	6	22	93	191	14	16	11	16	0	10	5	4	2	4	394	""
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"157"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"158"	144	13	5	270	14	6	1	4	1	2	2	2	4	4	10	338	""
"159"	145	5	2	42	35	19	0	0	0	0	0	0	1	0	3	107	""
"160"	146	10	22	97	6	1	1	0	0	0	0	0	0	0	1	138	""
"161"	147	34	43	52	51	7	9	12	0	0	1	1	2	1	5	218	""
"162"	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""
"163"	149	6	50	223	89	2	2	1	2	0	2	0	6	1	6	390	""
"164"	150	26	1	114	200	41	8	7	4	5	14	8	6	7	19	460	""
"165"	151	0	13	82	133	13	0	0	3	0	9	5	1	3	8	270	""
"166"	152	19	18	121	277	10	20	15	7	2	5	12	4	8	24	542	""
"167"	153	18	7	169	216	6	48	18	16	9	30	12	15	6	30	600	""
"168"	154	17	2	36	158	3	35	14	1	3	2	4	2	1	4	282	""
"169"	155	2	5	50	190	12	1	5	0	3	3	2	1	0	5	279	""
"170"	156	22	3	7	214	10	1	2	3	0	0	2	2	0	2	268	""
"171"	157	11	39	27	256	10	1	3	6	7	6	8	3	4	16	397	""
"172"	158	20	13	215	123	7	2	3	3	2	0	2	3	5	8	406	""
"173"	159	11	9	114	86	8	12	4	3	0	18	4	2	1	2	274	""
"174"	160	58	12	107	204	22	45	19	6	2	13	12	15	11	15	541	""
"175"	161	17	0	278	25	1	1	0	1	1	8	0	0	2	2	336	""
"176"	162	1	3	391	8	2	0	2	0	1	1	0	0	2	2	413	""
"177"	163	1	3	134	114	8	1	1	2	3	1	1	0	1	1	271	""
"178"	164	48	4	24	131	44	1	6	1	0	3	2	1	2	2	269	""
"179"	165	6	12	252	244	12	6	4	8	0	12	8	14	6	18	602	""
"180"	166	19	1	76	169	26	2	3	1	1	2	0	3	0	3	306	""
"181"	167	7	3	67	238	3	2	4	2	1	5	6	2	0	0	340	""
"182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"183"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"184"	168	18	6	112	55	15	2	1	1	0	0	3	3	1	5	222	""
"185"	169	3	0	175	92	19	0	0	1	0	0	0	2	2	1	295	""
"186"	170	78	61	181	134	19	18	5	5	2	5	1	4	1	2	516	""
"187"	171	2	2	103	72	3	15	2	2	0	0	4	0	1	2	208	""
"188"	172	9	4	187	140	5	0	4	4	5	6	6	4	2	15	391	""
"189"	173	7	4	61	419	13	2	5	18	5	6	13	6	1	13	573	""
"190"	174	2	6	151	166	10	2	25	5	0	0	0	1	1	1	370	""
"191"	175	7	2	114	185	8	2	3	3	0	19	5	1	1	2	352	""
"192"	176	6	0	210	44	3	1	0	1	0	3	1	2	0	0	271	""
"193"	177	6	11	104	251	5	7	4	10	3	1	3	0	1	2	408	""
"194"	178	9	99	94	186	5	3	4	9	4	2	5	0	2	8	430	""
"195"	179	10	14	155	155	16	88	16	6	1	6	1	0	4	5	477	""
"196"	180	108	39	261	244	13	14	3	7	0	5	6	5	5	5	715	""
"197"	181	64	6	72	180	11	3	6	4	3	6	5	6	2	4	372	""
"198"	182	2	5	360	29	14	7	1	0	0	0	0	2	1	2	423	""
"199"	183	1	0	419	2	2	0	1	0	0	0	0	0	5	0	430	""
"200"	184	17	42	113	267	4	10	4	5	3	1	4	3	1	8	482	""
"201"	185	11	12	121	378	9	17	7	4	1	1	5	2	4	10	582	""
"202"	186	16	9	146	551	8	15	0	7	2	4	4	2	2	3	769	""
"203"	187	8	25	149	216	1	35	4	17	1	3	5	4	11	6	485	""
"204"	188	15	30	200	188	1	34	5	5	1	2	6	1	3	8	499	""
"205"	189	37	19	153	275	12	4	5	12	4	4	3	4	3	6	541	""
"206"	190	11	8	179	217	13	9	9	20	4	11	10	6	9	27	533	""
"207"	191	1	1	210	34	2	12	2	1	0	0	4	2	1	1	271	""
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"209"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"210"	192	1	5	143	21	2	75	3	1	1	0	0	1	0	2	255	""
"211"	193	2	1	263	16	3	4	3	0	0	0	0	2	0	1	295	""
"212"	194	9	12	49	305	17	12	5	25	2	6	20	3	5	18	488	""
"213"	195	21	35	129	157	8	5	4	7	3	2	7	5	2	8	393	""
"214"	196	5	9	44	123	19	0	2	17	1	0	2	0	0	3	225	""
"215"	197	18	34	71	263	11	15	7	33	2	3	5	1	2	14	479	""
"216"	198	10	65	236	102	11	38	4	3	1	0	2	3	2	3	480	""
"217"	199	24	42	50	171	15	2	5	6	1	2	1	1	0	5	325	""
"218"	200	12	0	72	64	5	2	3	1	0	3	1	3	1	5	172	""
"219"	201	13	26	270	14	2	5	1	1	0	1	0	2	0	3	338	""
"220"	202	3	63	77	413	17	25	14	3	3	6	7	3	6	22	662	""
"221"	203	72	5	51	49	8	71	8	8	1	0	0	3	1	5	282	""
"222"	204	25	81	129	248	23	7	5	5	3	3	7	17	10	11	574	""
"223"	205	128	56	69	205	11	32	9	9	7	5	12	1	4	22	570	""
"224"	206	8	12	54	269	14	8	42	0	1	1	0	1	1	2	413	""
"225"	207	10	12	172	99	18	2	11	6	3	5	7	6	3	8	362	""
"226"	208	7	65	117	140	8	6	6	10	1	9	6	4	8	10	397	""
"227"	NA	13	14	176	170	1	86	9	4	1	0	1	2	3	3	483	""
"228"	209	11	2	57	67	5	3	0	2	1	0	3	0	0	2	153	""
"229"	210	16	44	101	151	12	97	16	8	2	10	5	5	4	26	497	""
"230"	211	14	71	126	194	7	34	8	3	3	2	5	1	7	13	488	""
"231"	212	22	28	152	284	63	6	6	5	4	2	2	3	2	6	585	""
"232"	213	5	56	460	109	7	10	5	7	0	3	2	5	6	7	682	""
"233"	214	18	323	143	54	25	87	20	9	7	4	4	7	12	13	726	""
"234"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"235"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	""
"236"	215	20	171	14	253	60	42	7	3	3	3	2	1	0	5	584	""
"237"	216	15	154	77	87	52	12	6	2	3	2	2	2	8	6	428	""
"238"	217	0	13	276	13	13	80	2	1	1	0	1	1	3	1	405	""
"239"	218	9	30	51	70	9	69	12	9	2	4	4	6	4	8	287	""
"240"	219	3	17	217	18	3	2	2	0	1	1	1	5	3	5	278	""
"241"	220	7	41	52	117	9	6	5	2	3	6	2	3	2	5	260	""
"242"	221	65	41	38	315	17	2	0	0	1	0	2	0	3	1	485	""
"243"	222	19	11	172	84	5	36	15	7	1	6	8	6	14	5	389	""
"244"	223	3	54	161	23	6	1	1	1	1	1	1	0	5	1	259	""
"245"	224	68	18	4	174	8	0	2	0	0	1	1	0	4	4	284	""
"246"	225	30	28	118	108	44	2	3	2	0	1	3	6	12	2	359	""
"247"	NA	5458	5359	28130	37607	2297	4065	1396	1078	553	1171	928	938	962	1893	91835	""
"248"	NA	3	3	10	26	0	0	0	0	0	0	0	0	0	0	42	""
"249"	NA	5461	5362	28140	37633	2297	4065	1396	1078	553	1171	928	938	962	1893	91877	""
"250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
