"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"102&  d qpk; dksV  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"24"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"25"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"26"	"13¼d½"	""	"47"	"1"	"78"	"8"	"3"	"2"	"1"	"4"	""	"3"	"6"	"3"	"34"	"3"	"15"	"208"	"0"	"208"
"27"	"14"	""	"413"	"7"	"122"	"18"	"5"	"14"	"4"	"7"	""	"5"	"19"	"15"	"136"	"11"	"75"	"851"	"0"	"851"
"28"	"15"	""	"174"	"10"	"148"	"47"	"40"	"11"	"6"	"10"	""	"7"	"11"	"17"	"217"	"9"	"16"	"723"	"0"	"723"
"29"	"16"	""	"290"	"9"	"259"	"38"	"10"	"11"	"7"	"20"	""	"6"	"17"	"13"	"241"	"15"	"23"	"959"	"0"	"959"
"30"	"17"	""	"308"	"11"	"65"	"117"	"10"	"6"	"2"	"4"	""	"1"	"15"	"4"	"120"	"1"	"8"	"672"	"0"	"672"
"31"	"18"	""	"261"	"7"	"166"	"62"	"12"	"4"	"1"	"3"	""	"3"	"3"	"4"	"70"	"4"	"7"	"607"	"0"	"607"
"32"	"19"	""	"348"	"8"	"57"	"83"	"11"	"7"	"3"	"7"	""	"12"	"13"	"9"	"79"	"20"	"94"	"751"	"0"	"751"
"33"	"20"	""	"158"	"11"	"99"	"287"	"13"	"4"	"5"	"6"	""	"5"	"3"	"10"	"91"	"5"	"15"	"712"	"0"	"712"
"34"	"21"	""	"203"	"3"	"77"	"137"	"9"	"8"	"5"	"18"	""	"6"	"11"	"7"	"92"	"8"	"18"	"602"	"0"	"602"
"35"	"22"	""	"212"	"7"	"79"	"103"	"7"	"3"	"1"	"17"	""	"7"	"15"	"7"	"107"	"12"	"13"	"590"	"0"	"590"
"36"	"23"	""	"227"	"40"	"59"	"36"	"4"	"5"	"2"	"5"	""	"3"	"9"	"7"	"91"	"5"	"32"	"525"	"0"	"525"
"37"	"24"	""	"153"	"2"	"16"	"5"	"6"	"6"	"2"	"5"	""	"3"	"5"	"5"	"93"	"4"	"16"	"321"	"0"	"321"
"38"	"25"	""	"199"	"14"	"314"	"29"	"10"	"7"	"3"	"5"	""	"3"	"11"	"10"	"89"	"10"	"18"	"722"	"0"	"722"
"39"	"26"	""	"438"	"9"	"148"	"14"	"21"	"5"	"2"	"7"	""	"5"	"17"	"2"	"28"	"10"	"33"	"739"	"0"	"739"
"40"	"; ksx"	""	"3431"	"139"	"1687"	"984"	"161"	"93"	"44"	"118"	""	"69"	"155"	"113"	"1488"	"117"	"383"	"8982"	"0"	"8982"
"41"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"2279"	"94"	"1634"	"488"	"321"	"62"	"69"	"675"	""	"72"	"181"	"111"	"1494"	"137"	"349"	"7966"	"0"	"7966"
"42"	"d qy  ; ksx"	""	"5710"	"233"	"3321"	"1472"	"482"	"155"	"113"	"793"	""	"141"	"336"	"224"	"2982"	"254"	"732"	"16948"	"0"	"16948"
"43"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"44"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"45"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"46"	"27"	""	"147"	"6"	"138"	"72"	"17"	"6"	"8"	"4"	""	"9"	"12"	"8"	"51"	"5"	"30"	"513"	"0"	"513"
"47"	"28"	""	"163"	"1"	"56"	"7"	"5"	"3"	"3"	"7"	""	"1"	"6"	"2"	"64"	"3"	"14"	"335"	"0"	"335"
"48"	"29"	""	"454"	"4"	"116"	"31"	"7"	"3"	"0"	"3"	""	"0"	"4"	"4"	"16"	"7"	"31"	"680"	"0"	"680"
"49"	"30"	""	"418"	"13"	"151"	"21"	"9"	"3"	"0"	"12"	""	"6"	"9"	"9"	"55"	"5"	"14"	"725"	"0"	"725"
"50"	"31"	""	"240"	"12"	"151"	"14"	"8"	"6"	"4"	"9"	""	"8"	"24"	"18"	"208"	"17"	"30"	"749"	"0"	"749"
"51"	"32"	""	"237"	"2"	"94"	"24"	"6"	"2"	"0"	"6"	""	"2"	"5"	"3"	"62"	"3"	"13"	"459"	"0"	"459"
"52"	"33"	""	"270"	"3"	"91"	"37"	"2"	"6"	"3"	"14"	""	"1"	"8"	"1"	"31"	"5"	"4"	"476"	"0"	"476"
"53"	"34"	""	"205"	"19"	"163"	"22"	"19"	"5"	"1"	"6"	""	"1"	"3"	"7"	"54"	"0"	"7"	"512"	"0"	"512"
"54"	"35"	""	"39"	"4"	"145"	"40"	"1"	"2"	"1"	"2"	""	"9"	"6"	"11"	"47"	"7"	"32"	"346"	"0"	"346"
"55"	"36"	""	"237"	"10"	"265"	"14"	"16"	"4"	"0"	"12"	""	"4"	"4"	"2"	"91"	"8"	"3"	"670"	"0"	"670"
"56"	"37"	""	"339"	"15"	"63"	"80"	"14"	"5"	"2"	"20"	""	"2"	"13"	"8"	"158"	"15"	"28"	"762"	"0"	"762"
"57"	"38"	""	"114"	"7"	"114"	"35"	"8"	"0"	"2"	"5"	""	"0"	"5"	"5"	"68"	"3"	"9"	"375"	"0"	"375"
"58"	"39"	""	"64"	"3"	"67"	"12"	"5"	"1"	"3"	"5"	""	"0"	"5"	"11"	"136"	"9"	"25"	"346"	"0"	"346"
"59"	"40"	""	"119"	"2"	"52"	"3"	"12"	"4"	"1"	"3"	""	"2"	"4"	"6"	"130"	"8"	"9"	"355"	"0"	"355"
"60"	"; ksx"	""	"3046"	"101"	"1666"	"412"	"129"	"50"	"28"	"108"	""	"45"	"108"	"95"	"1171"	"95"	"249"	"7303"	"0"	"7303"
"61"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"5710"	"233"	"3321"	"1472"	"482"	"155"	"113"	"793"	""	"141"	"336"	"224"	"2982"	"254"	"732"	"16948"	"0"	"16948"
"62"	"d qy  ; ksx"	""	"8756"	"334"	"4987"	"1884"	"611"	"205"	"141"	"901"	""	"186"	"444"	"319"	"4153"	"349"	"981"	"24251"	"0"	"24251"
"63"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"64"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"65"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"66"	"41"	""	"368"	"12"	"73"	"15"	"7"	"6"	"7"	"16"	""	"3"	"4"	"4"	"116"	"3"	"2"	"636"	"0"	"636"
"67"	"42"	""	"425"	"14"	"209"	"12"	"5"	"12"	"3"	"6"	""	"7"	"11"	"12"	"87"	"8"	"35"	"846"	"0"	"846"
"68"	"43"	""	"190"	"10"	"233"	"70"	"11"	"9"	"6"	"7"	""	"5"	"13"	"13"	"142"	"13"	"19"	"741"	"0"	"741"
"69"	"44"	""	"221"	"13"	"303"	"32"	"9"	"3"	"3"	"14"	""	"7"	"21"	"16"	"57"	"17"	"56"	"772"	"0"	"772"
"70"	"45"	""	"279"	"5"	"106"	"3"	"3"	"4"	"2"	"7"	""	"4"	"7"	"6"	"133"	"3"	"12"	"574"	"0"	"574"
"71"	"46"	""	"441"	"12"	"39"	"10"	"13"	"4"	"2"	"9"	""	"4"	"12"	"3"	"60"	"11"	"40"	"660"	"0"	"660"
"72"	"47"	""	"112"	"1"	"19"	"1"	"0"	"2"	"1"	"2"	""	"1"	"8"	"2"	"89"	"5"	"10"	"253"	"0"	"253"
"73"	"48"	""	"121"	"3"	"42"	"6"	"3"	"2"	"0"	"5"	""	"5"	"5"	"13"	"558"	"26"	"50"	"839"	"0"	"839"
"74"	"49"	""	"75"	"3"	"47"	"5"	"5"	"0"	"2"	"7"	""	"0"	"6"	"7"	"278"	"13"	"22"	"470"	"0"	"470"
"75"	"50"	""	"82"	"1"	"15"	"6"	"9"	"2"	"1"	"10"	""	"4"	"4"	"7"	"350"	"7"	"6"	"504"	"0"	"504"
"76"	"51"	""	"218"	"1"	"38"	"7"	"93"	"13"	"3"	"8"	""	"5"	"7"	"3"	"44"	"9"	"42"	"491"	"0"	"491"
"77"	"52"	""	"216"	"2"	"10"	"3"	"78"	"7"	"2"	"6"	""	"5"	"13"	"8"	"43"	"5"	"19"	"417"	"0"	"417"
"78"	"53"	""	"320"	"13"	"203"	"26"	"24"	"5"	"5"	"10"	""	"8"	"15"	"6"	"83"	"7"	"11"	"736"	"0"	"736"
"79"	"54"	""	"207"	"9"	"71"	"12"	"9"	"4"	"2"	"11"	""	"1"	"10"	"9"	"197"	"13"	"5"	"560"	"0"	"560"
"80"	"; ksx"	""	"3275"	"99"	"1408"	"208"	"269"	"73"	"39"	"118"	""	"59"	"136"	"109"	"2237"	"140"	"329"	"8499"	"0"	"8499"
"81"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"8756"	"334"	"4987"	"1884"	"611"	"205"	"141"	"901"	""	"186"	"444"	"319"	"4153"	"349"	"981"	"24251"	"0"	"24251"
"82"	"d qy  ; ksx"	""	"12031"	"433"	"6395"	"2092"	"880"	"278"	"180"	"1019"	""	"245"	"580"	"428"	"6390"	"489"	"1310"	"32750"	"0"	"32750"
"83"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"84"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"85"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"86"	"55"	""	"305"	"11"	"49"	"11"	"12"	"2"	"1"	"3"	""	"1"	"7"	"5"	"197"	"9"	"11"	"624"	"0"	"624"
"87"	"56"	""	"312"	"14"	"44"	"12"	"17"	"6"	"4"	"14"	""	"3"	"7"	"14"	"246"	"9"	"6"	"708"	"0"	"708"
"88"	"57"	""	"178"	"8"	"102"	"3"	"18"	"1"	"2"	"6"	""	"6"	"7"	"8"	"164"	"4"	"17"	"524"	"0"	"524"
"89"	"58"	""	"66"	"1"	"36"	"4"	"8"	"1"	"0"	"4"	""	"0"	"3"	"1"	"76"	"0"	"3"	"203"	"0"	"203"
"90"	"59"	""	"229"	"4"	"59"	"7"	"108"	"3"	"1"	"11"	""	"4"	"14"	"9"	"118"	"4"	"17"	"588"	"0"	"588"
"91"	"60"	""	"255"	"8"	"66"	"8"	"36"	"7"	"0"	"6"	""	"3"	"8"	"1"	"65"	"2"	"2"	"467"	"0"	"467"
"92"	"61"	""	"272"	"4"	"54"	"14"	"15"	"2"	"1"	"5"	""	"0"	"2"	"3"	"94"	"1"	"1"	"468"	"0"	"468"
"93"	"62"	""	"269"	"9"	"82"	"8"	"44"	"8"	"6"	"4"	""	"1"	"11"	"10"	"90"	"12"	"56"	"610"	"0"	"610"
"94"	"63"	""	"366"	"7"	"182"	"11"	"108"	"3"	"1"	"8"	""	"5"	"6"	"4"	"92"	"6"	"18"	"817"	"0"	"817"
"95"	"64"	""	"283"	"14"	"18"	"8"	"142"	"10"	"6"	"8"	""	"10"	"16"	"4"	"93"	"2"	"19"	"633"	"0"	"633"
"96"	"65"	""	"215"	"7"	"76"	"23"	"45"	"5"	"2"	"7"	""	"5"	"9"	"4"	"66"	"6"	"20"	"490"	"0"	"490"
"97"	"66"	""	"177"	"3"	"93"	"7"	"79"	"5"	"6"	"15"	""	"3"	"25"	"4"	"128"	"8"	"28"	"581"	"0"	"581"
"98"	"67"	""	"71"	"9"	"45"	"2"	"9"	"1"	"0"	"0"	""	"1"	"2"	"2"	"6"	"3"	"11"	"162"	"0"	"162"
"99"	"68"	""	"111"	"15"	"120"	"6"	"3"	"1"	"1"	"1"	""	"3"	"3"	"0"	"19"	"3"	"8"	"294"	"0"	"294"
"100"	"; ksx"	""	"3109"	"114"	"1026"	"124"	"644"	"55"	"31"	"92"	""	"45"	"120"	"69"	"1454"	"69"	"217"	"7169"	"0"	"7169"
"101"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"12031"	"433"	"6395"	"2092"	"880"	"278"	"180"	"1019"	""	"245"	"580"	"428"	"6390"	"489"	"1310"	"32750"	"0"	"32750"
"102"	"d qy  ; ksx"	""	"15140"	"547"	"7421"	"2216"	"1524"	"333"	"211"	"1111"	""	"290"	"700"	"497"	"7844"	"558"	"1527"	"39919"	"0"	"39919"
"103"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"104"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"105"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"106"	"69"	""	"222"	"3"	"72"	"8"	"9"	"1"	"1"	"2"	""	"4"	"8"	"0"	"22"	"7"	"23"	"382"	"0"	"382"
"107"	"70"	""	"197"	"5"	"134"	"11"	"2"	"1"	"1"	"2"	""	"1"	"7"	"1"	"8"	"0"	"4"	"374"	"0"	"374"
"108"	"71"	""	"283"	"4"	"125"	"8"	"8"	"2"	"2"	"4"	""	"2"	"6"	"3"	"8"	"1"	"25"	"481"	"0"	"481"
"109"	"72"	""	"107"	"4"	"23"	"4"	"20"	"2"	"0"	"1"	""	"1"	"1"	"3"	"22"	"2"	"5"	"195"	"0"	"195"
"110"	"73"	""	"97"	"0"	"15"	"1"	"4"	"2"	"1"	"2"	""	"0"	"1"	"0"	"2"	"0"	"9"	"134"	"0"	"134"
"111"	"74"	""	"175"	"6"	"141"	"11"	"34"	"3"	"1"	"7"	""	"2"	"15"	"8"	"97"	"4"	"28"	"532"	"0"	"532"
"112"	"75"	""	"248"	"11"	"132"	"10"	"13"	"2"	"0"	"3"	""	"0"	"10"	"4"	"30"	"4"	"21"	"488"	"0"	"488"
"113"	"76"	""	"171"	"4"	"137"	"4"	"10"	"0"	"0"	"5"	""	"3"	"21"	"2"	"22"	"5"	"12"	"396"	"0"	"396"
"114"	"77"	""	"78"	"9"	"221"	"4"	"9"	"0"	"0"	"6"	""	"1"	"4"	"3"	"7"	"3"	"15"	"360"	"0"	"360"
"115"	"78"	""	"269"	"1"	"238"	"36"	"6"	"3"	"3"	"8"	""	"5"	"7"	"4"	"38"	"5"	"23"	"646"	"0"	"646"
"116"	"79"	""	"151"	"5"	"175"	"9"	"11"	"3"	"1"	"5"	""	"3"	"5"	"3"	"20"	"0"	"9"	"400"	"0"	"400"
"117"	"80"	""	"87"	"3"	"134"	"1"	"12"	"1"	"2"	"0"	""	"2"	"5"	"4"	"6"	"1"	"4"	"262"	"0"	"262"
"118"	"81"	""	"71"	"4"	"131"	"8"	"4"	"0"	"0"	"1"	""	"0"	"4"	"4"	"14"	"6"	"6"	"253"	"0"	"253"
"119"	"82"	""	"269"	"12"	"171"	"27"	"7"	"0"	"0"	"1"	""	"2"	"6"	"4"	"10"	"2"	"8"	"519"	"0"	"519"
"120"	"; ksx"	""	"2425"	"71"	"1849"	"142"	"149"	"20"	"12"	"47"	""	"26"	"100"	"43"	"306"	"40"	"192"	"5422"	"0"	"5422"
"121"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"15140"	"547"	"7421"	"2216"	"1524"	"333"	"211"	"1111"	""	"290"	"700"	"497"	"7844"	"558"	"1527"	"39919"	"0"	"39919"
"122"	"d qy  ; ksx"	""	"17565"	"618"	"9270"	"2358"	"1673"	"353"	"223"	"1158"	""	"316"	"800"	"540"	"8150"	"598"	"1719"	"45341"	"0"	"45341"
"123"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"er nku dsUnzksa
dh dze l a0"	""	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"
"125"	""	""	"vej sUnz dqekj
i kaMs;"	"vo/k fd' kksj
Bkdqj"	"vkfnR;  ukj k; .k
i kaMs;"	"mi sUnj  ; kno"	"egs' k j k;"	"vQj hu dyke
gkl eh"	"bZzUt hfu; j  i zl kn"	"' kkj nk fl ag"	""	"l aft o fr okj h"	"l kfcj  gql Su"	"mes' k nÙk
fr okj h"	"mes' k i z/kku"	"Nkxqj
j ke"	"cPpk pkS/kj h"	""	""	""
"126"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""
"127"	"82¼d½"	""	"213"	"8"	"73"	"2"	"5"	"0"	"2"	"4"	""	"0"	"2"	"1"	"3"	"1"	"3"	"317"	"0"	"317"
"128"	"83"	""	"98"	"0"	"68"	"2"	"1"	"1"	"0"	"0"	""	"0"	"2"	"0"	"2"	"1"	"0"	"175"	"0"	"175"
"129"	"84"	""	"332"	"2"	"307"	"12"	"23"	"6"	"1"	"6"	""	"4"	"6"	"3"	"6"	"0"	"14"	"722"	"0"	"722"
"130"	"85"	""	"220"	"2"	"268"	"8"	"13"	"6"	"0"	"4"	""	"2"	"9"	"2"	"4"	"2"	"3"	"543"	"0"	"543"
"131"	"86"	""	"263"	"4"	"194"	"9"	"6"	"2"	"4"	"5"	""	"1"	"23"	"1"	"12"	"2"	"12"	"538"	"0"	"538"
"132"	"87"	""	"305"	"8"	"292"	"12"	"5"	"4"	"3"	"11"	""	"1"	"13"	"3"	"17"	"5"	"12"	"691"	"0"	"691"
"133"	"88"	""	"127"	"4"	"157"	"19"	"3"	"0"	"1"	"3"	""	"3"	"2"	"0"	"11"	"0"	"5"	"335"	"0"	"335"
"134"	"89"	""	"129"	"2"	"174"	"6"	"6"	"8"	"1"	"4"	""	"0"	"6"	"1"	"8"	"1"	"8"	"354"	"0"	"354"
"135"	"90"	""	"58"	"2"	"364"	"4"	"4"	"2"	"1"	"1"	""	"0"	"2"	"0"	"2"	"0"	"0"	"440"	"0"	"440"
"136"	"91"	""	"36"	"2"	"556"	"6"	"5"	"1"	"0"	"3"	""	"5"	"3"	"0"	"10"	"0"	"5"	"632"	"0"	"632"
"137"	"92"	""	"276"	"7"	"163"	"12"	"16"	"9"	"4"	"16"	""	"3"	"20"	"8"	"19"	"3"	"12"	"568"	"0"	"568"
"138"	"93"	""	"185"	"12"	"217"	"23"	"30"	"3"	"2"	"13"	""	"7"	"24"	"18"	"40"	"11"	"34"	"619"	"0"	"619"
"139"	"94"	""	"244"	"9"	"187"	"15"	"6"	"6"	"3"	"10"	""	"5"	"19"	"3"	"17"	"7"	"16"	"547"	"0"	"547"
"140"	"95"	""	"110"	"4"	"313"	"8"	"3"	"1"	"2"	"2"	""	"0"	"2"	"4"	"7"	"1"	"13"	"470"	"0"	"470"
"141"	"; ksx"	""	"2596"	"66"	"3333"	"138"	"126"	"49"	"24"	"82"	""	"31"	"133"	"44"	"158"	"34"	"137"	"6951"	"0"	"6951"
"142"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	""	"17565"	"618"	"9270"	"2358"	"1673"	"353"	"223"	"1158"	""	"316"	"800"	"540"	"8150"	"598"	"1719"	"45341"	"0"	"45341"
"143"	"d qy  ; ksx"	""	"20161"	"684"	"12603"	"2496"	"1799"	"402"	"247"	"1240"	""	"347"	"933"	"584"	"8308"	"632"	"1856"	"52292"	"0"	"52292"
