"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"43"	"34"	"77"	"1"	"12"	"3"	"213"	""	"2"	""	"1"	""	"1"	""	"45"	""	"3"	""	"3"	""	"6"	""	"3"	"6"	"9"	"385"
"44"	"35"	"162"	"5"	"24"	"2"	"247"	""	"2"	""	"1"	""	"4"	""	"96"	""	"14"	""	"11"	""	"11"	""	"9"	"28"	"35"	"651"
"45"	"36"	"84"	"3"	"84"	"1"	"375"	""	"3"	""	"0"	""	"3"	""	"75"	""	"2"	""	"12"	""	"4"	""	"2"	"9"	"13"	"670"
"46"	"37"	"171"	"4"	"74"	"4"	"445"	""	"3"	""	"3"	""	"2"	""	"132"	""	"3"	""	"18"	""	"17"	""	"7"	"10"	"17"	"910"
"47"	"38"	"51"	"4"	"68"	"2"	"189"	""	"5"	""	"4"	""	"3"	""	"21"	""	"4"	""	"54"	""	"5"	""	"1"	"7"	"7"	"425"
"48"	"38A"	"92"	"2"	"56"	"1"	"284"	""	"3"	""	"0"	""	"1"	""	"11"	""	"0"	""	"7"	""	"6"	""	"0"	"4"	"4"	"471"
"49"	"39"	"375"	"7"	"27"	"2"	"217"	""	"7"	""	"1"	""	"1"	""	"20"	""	"6"	""	"19"	""	"11"	""	"4"	"22"	"29"	"748"
"50"	"40"	"358"	"5"	"21"	"4"	"211"	""	"8"	""	"6"	""	"3"	""	"22"	""	"3"	""	"32"	""	"12"	""	"6"	"8"	"22"	"721"
"51"	"41"	"87"	"5"	"71"	"8"	"314"	""	"7"	""	"2"	""	"2"	""	"26"	""	"3"	""	"11"	""	"6"	""	"3"	"4"	"2"	"551"
"52"	"42"	"77"	"2"	"8"	"0"	"209"	""	"1"	""	"2"	""	"0"	""	"15"	""	"1"	""	"8"	""	"3"	""	"1"	"2"	"7"	"336"
"53"	"43"	"49"	"2"	"16"	"7"	"480"	""	"5"	""	"2"	""	"0"	""	"44"	""	"1"	""	"15"	""	"8"	""	"2"	"6"	"4"	"641"
"54"	"44"	"8"	"0"	"29"	"2"	"430"	""	"6"	""	"2"	""	"2"	""	"22"	""	"5"	""	"3"	""	"3"	""	"2"	"1"	"3"	"518"
"55"	"44A"	"22"	"0"	"18"	"1"	"273"	""	"3"	""	"0"	""	"0"	""	"28"	""	"1"	""	"7"	""	"5"	""	"3"	"0"	"1"	"362"
"56"	"45"	"282"	"5"	"31"	"4"	"159"	""	"0"	""	"0"	""	"1"	""	"18"	""	"1"	""	"3"	""	"4"	""	"1"	"5"	"12"	"526"
"57"	"46"	"149"	"3"	"15"	"3"	"182"	""	"1"	""	"0"	""	"1"	""	"37"	""	"3"	""	"8"	""	"4"	""	"4"	"6"	"13"	"429"
"58"	"47"	"665"	"16"	"13"	"6"	"62"	""	"4"	""	"1"	""	"3"	""	"7"	""	"4"	""	"5"	""	"1"	""	"1"	"22"	"23"	"833"
"59"	"48"	"187"	"3"	"13"	"4"	"314"	""	"6"	""	"2"	""	"3"	""	"69"	""	"7"	""	"18"	""	"28"	""	"8"	"11"	"44"	"717"
"60"	"49"	"197"	"7"	"56"	"4"	"219"	""	"2"	""	"1"	""	"3"	""	"51"	""	"1"	""	"6"	""	"11"	""	"2"	"34"	"17"	"611"
"61"	"50"	"37"	"0"	"89"	"4"	"230"	""	"2"	""	"1"	""	"0"	""	"29"	""	"2"	""	"4"	""	"2"	""	"2"	"2"	"3"	"407"
"62"	"51"	"114"	"6"	"35"	"18"	"345"	""	"12"	""	"4"	""	"6"	""	"107"	""	"8"	""	"19"	""	"12"	""	"6"	"21"	"24"	"737"
"63"	"52"	"106"	"4"	"42"	"3"	"204"	""	"3"	""	"3"	""	"5"	""	"30"	""	"2"	""	"3"	""	"7"	""	"1"	"3"	"5"	"421"
"64"	"53"	"371"	"8"	"36"	"3"	"172"	""	"2"	""	"2"	""	"0"	""	"21"	""	"3"	""	"7"	""	"5"	""	"3"	"15"	"6"	"654"
"65"	"54"	"188"	"3"	"47"	"7"	"240"	""	"0"	""	"0"	""	"2"	""	"52"	""	"1"	""	"5"	""	"4"	""	"2"	"7"	"17"	"575"
"66"	"55"	"48"	"0"	"55"	"2"	"147"	""	"0"	""	"0"	""	"0"	""	"21"	""	"0"	""	"4"	""	"3"	""	"3"	"3"	"5"	"291"
"67"	"56"	"225"	"1"	"46"	"3"	"198"	""	"6"	""	"0"	""	"4"	""	"73"	""	"7"	""	"37"	""	"9"	""	"4"	"33"	"22"	"668"
"68"	"57"	"35"	"0"	"121"	"1"	"297"	""	"1"	""	"0"	""	"0"	""	"43"	""	"1"	""	"0"	""	"5"	""	"1"	"9"	"15"	"529"
"69"	"58"	"150"	"2"	"35"	"3"	"203"	""	"2"	""	"0"	""	"2"	""	"32"	""	"1"	""	"5"	""	"5"	""	"1"	"15"	"31"	"487"
"70"	"59"	"76"	"1"	"26"	"1"	"360"	""	"6"	""	"1"	""	"4"	""	"57"	""	"3"	""	"9"	""	"3"	""	"3"	"3"	"8"	"561"
"71"	"60"	"262"	"6"	"35"	"5"	"138"	""	"7"	""	"2"	""	"2"	""	"41"	""	"0"	""	"8"	""	"6"	""	"2"	"12"	"16"	"542"
"72"	"61"	"79"	"3"	"83"	"5"	"236"	""	"3"	""	"0"	""	"2"	""	"82"	""	"4"	""	"0"	""	"4"	""	"2"	"11"	"69"	"583"
"73"	"62"	"53"	"1"	"48"	"0"	"220"	""	"0"	""	"0"	""	"1"	""	"27"	""	"0"	""	"1"	""	"4"	""	"2"	"4"	"9"	"370"
"74"	"63"	"54"	"1"	"57"	"3"	"131"	""	"3"	""	"2"	""	"1"	""	"48"	""	"1"	""	"1"	""	"6"	""	"3"	"18"	"7"	"336"
"75"	"64"	"155"	"5"	"35"	"5"	"197"	""	"2"	""	"3"	""	"0"	""	"20"	""	"1"	""	"2"	""	"3"	""	"4"	"11"	"9"	"452"
"76"	"65"	"269"	"5"	"69"	"10"	"156"	""	"2"	""	"1"	""	"2"	""	"36"	""	"5"	""	"4"	""	"10"	""	"6"	"19"	"19"	"613"
"77"	"66"	"390"	"9"	"30"	"3"	"66"	""	"4"	""	"1"	""	"1"	""	"34"	""	"4"	""	"6"	""	"8"	""	"5"	"20"	"13"	"594"
"78"	"67"	"452"	"6"	"24"	"2"	"102"	""	"1"	""	"0"	""	"1"	""	"23"	""	"3"	""	"15"	""	"12"	""	"1"	"20"	"45"	"707"
"79"	"68"	"220"	"2"	"7"	"2"	"74"	""	"2"	""	"0"	""	"1"	""	"7"	""	"1"	""	"3"	""	"4"	""	"6"	"10"	"14"	"353"
"80"	"69"	"303"	"3"	"19"	"10"	"232"	""	"4"	""	"1"	""	"0"	""	"32"	""	"12"	""	"10"	""	"6"	""	"4"	"10"	"21"	"667"
"81"	"70"	"604"	"11"	"39"	"10"	"51"	""	"2"	""	"1"	""	"3"	""	"24"	""	"2"	""	"10"	""	"7"	""	"5"	"19"	"49"	"837"
"82"	"71"	"549"	"14"	"43"	"7"	"106"	""	"3"	""	"3"	""	"2"	""	"28"	""	"5"	""	"3"	""	"4"	""	"2"	"10"	"15"	"794"
"83"	"72"	"129"	"4"	"50"	"0"	"252"	""	"7"	""	"0"	""	"2"	""	"40"	""	"4"	""	"9"	""	"13"	""	"1"	"8"	"17"	"536"
"84"	"73"	"450"	"4"	"17"	"0"	"81"	""	"3"	""	"3"	""	"2"	""	"25"	""	"1"	""	"3"	""	"9"	""	"9"	"44"	"39"	"690"
"85"	"74"	"451"	"9"	"7"	"2"	"13"	""	"0"	""	"1"	""	"1"	""	"6"	""	"3"	""	"1"	""	"5"	""	"4"	"17"	"20"	"540"
"86"	"75"	"414"	"10"	"57"	"3"	"54"	""	"7"	""	"2"	""	"0"	""	"12"	""	"4"	""	"3"	""	"7"	""	"2"	"18"	"9"	"602"
"87"	"76"	"446"	"8"	"6"	"2"	"21"	""	"0"	""	"0"	""	"2"	""	"4"	""	"0"	""	"2"	""	"2"	""	"4"	"10"	"11"	"518"
"88"	"77"	"147"	"4"	"98"	"3"	"187"	""	"4"	""	"0"	""	"1"	""	"41"	""	"4"	""	"5"	""	"5"	""	"8"	"10"	"10"	"527"
"89"	"78"	"226"	"5"	"29"	"2"	"205"	""	"5"	""	"2"	""	"1"	""	"77"	""	"1"	""	"13"	""	"4"	""	"6"	"8"	"13"	"597"
"90"	"79"	"113"	"2"	"64"	"1"	"216"	""	"9"	""	"0"	""	"1"	""	"56"	""	"0"	""	"3"	""	"6"	""	"4"	"4"	"12"	"491"
"91"	"80"	"228"	"6"	"30"	"6"	"185"	""	"10"	""	"4"	""	"7"	""	"87"	""	"10"	""	"17"	""	"15"	""	"13"	"16"	"27"	"661"
"92"	"81"	"190"	"6"	"15"	"4"	"191"	""	"5"	""	"2"	""	"2"	""	"28"	""	"2"	""	"4"	""	"13"	""	"2"	"10"	"10"	"484"
"93"	"82"	"449"	"16"	"19"	"11"	"256"	""	"8"	""	"1"	""	"2"	""	"76"	""	"6"	""	"5"	""	"15"	""	"4"	"20"	"14"	"902"
"94"	"83"	"335"	"5"	"15"	"4"	"243"	""	"5"	""	"2"	""	"2"	""	"51"	""	"6"	""	"10"	""	"14"	""	"3"	"13"	"30"	"738"
"95"	"84"	"446"	"4"	"60"	"9"	"180"	""	"7"	""	"0"	""	"0"	""	"34"	""	"6"	""	"3"	""	"18"	""	"3"	"25"	"25"	"820"
"96"	"85"	"45"	"3"	"106"	"11"	"348"	""	"7"	""	"0"	""	"0"	""	"91"	""	"4"	""	"7"	""	"13"	""	"8"	"5"	"8"	"656"
"97"	"86"	"294"	"9"	"22"	"4"	"277"	""	"7"	""	"3"	""	"1"	""	"68"	""	"4"	""	"3"	""	"7"	""	"2"	"9"	"5"	"715"
"98"	"87"	"192"	"6"	"36"	"0"	"232"	""	"5"	""	"1"	""	"0"	""	"62"	""	"1"	""	"6"	""	"7"	""	"1"	"9"	"9"	"567"
"99"	"88"	"200"	"3"	"11"	"24"	"196"	""	"9"	""	"1"	""	"3"	""	"75"	""	"10"	""	"31"	""	"25"	""	"6"	"11"	"25"	"630"
"100"	"89"	"475"	"12"	"39"	"3"	"115"	""	"3"	""	"1"	""	"0"	""	"46"	""	"3"	""	"1"	""	"6"	""	"2"	"26"	"12"	"744"
"101"	"90"	"401"	"15"	"29"	"10"	"174"	""	"7"	""	"7"	""	"6"	""	"43"	""	"3"	""	"3"	""	"17"	""	"7"	"21"	"10"	"753"
"102"	"91"	"437"	"2"	"22"	"0"	"32"	""	"0"	""	"1"	""	"1"	""	"19"	""	"2"	""	"0"	""	"2"	""	"0"	"19"	"29"	"566"
"103"	"92"	"291"	"7"	"32"	"3"	"243"	""	"11"	""	"2"	""	"4"	""	"118"	""	"4"	""	"7"	""	"11"	""	"5"	"23"	"33"	"794"
"104"	"93"	"183"	"1"	"10"	"1"	"187"	""	"7"	""	"1"	""	"0"	""	"43"	""	"2"	""	"3"	""	"8"	""	"1"	"7"	"7"	"461"
"105"	"94"	"219"	"3"	"22"	"12"	"288"	""	"6"	""	"4"	""	"6"	""	"86"	""	"11"	""	"16"	""	"29"	""	"5"	"19"	"15"	"741"
"106"	"95"	"281"	"5"	"185"	"5"	"184"	""	"3"	""	"5"	""	"2"	""	"49"	""	"5"	""	"11"	""	"4"	""	"10"	"31"	"7"	"787"
"107"	"96"	"146"	"5"	"24"	"1"	"107"	""	"4"	""	"2"	""	"1"	""	"31"	""	"2"	""	"3"	""	"6"	""	"9"	"5"	"8"	"354"
"108"	"97"	"75"	"7"	"28"	"0"	"127"	""	"0"	""	"0"	""	"0"	""	"12"	""	"1"	""	"0"	""	"2"	""	"0"	"5"	"1"	"258"
"109"	"98"	"269"	"4"	"41"	"10"	"100"	""	"4"	""	"1"	""	"0"	""	"24"	""	"1"	""	"0"	""	"4"	""	"8"	"9"	"16"	"491"
"110"	"98A"	"262"	"8"	"11"	"0"	"70"	""	"2"	""	"2"	""	"1"	""	"16"	""	"1"	""	"1"	""	"5"	""	"0"	"8"	"11"	"398"
"111"	"99"	"296"	"6"	"47"	"1"	"152"	""	"3"	""	"1"	""	"1"	""	"34"	""	"1"	""	"8"	""	"4"	""	"1"	"5"	"14"	"574"
"112"	"100"	"231"	"3"	"10"	"0"	"193"	""	"1"	""	"3"	""	"1"	""	"42"	""	"3"	""	"3"	""	"3"	""	"1"	"10"	"7"	"511"
"113"	"101"	"419"	"3"	"35"	"2"	"33"	""	"2"	""	"1"	""	"0"	""	"8"	""	"2"	""	"13"	""	"1"	""	"2"	"9"	"17"	"547"
"114"	"101A"	"244"	"0"	"14"	"0"	"45"	""	"0"	""	"0"	""	"0"	""	"10"	""	"0"	""	"0"	""	"1"	""	"0"	"3"	"1"	"318"
"115"	"102"	"539"	"1"	"21"	"0"	"35"	""	"0"	""	"0"	""	"0"	""	"4"	""	"1"	""	"0"	""	"2"	""	"3"	"9"	"12"	"627"
"116"	"103"	"260"	"1"	"22"	"0"	"134"	""	"1"	""	"0"	""	"3"	""	"16"	""	"0"	""	"1"	""	"2"	""	"0"	"5"	"3"	"448"
"117"	"104"	"21"	"0"	"43"	"1"	"170"	""	"1"	""	"0"	""	"0"	""	"21"	""	"1"	""	"1"	""	"0"	""	"0"	"2"	"5"	"266"
"118"	"104A"	"44"	"4"	"49"	"1"	"221"	""	"2"	""	"0"	""	"0"	""	"24"	""	"0"	""	"5"	""	"2"	""	"0"	"3"	"3"	"358"
"119"	"105"	"100"	"2"	"59"	"2"	"123"	""	"4"	""	"0"	""	"1"	""	"17"	""	"0"	""	"2"	""	"1"	""	"0"	"3"	"5"	"319"
"120"	"106"	"21"	"0"	"64"	"1"	"141"	""	"4"	""	"1"	""	"2"	""	"18"	""	"1"	""	"0"	""	"1"	""	"1"	"1"	"4"	"260"
"121"	"107"	"20"	"3"	"42"	"1"	"160"	""	"0"	""	"0"	""	"0"	""	"31"	""	"1"	""	"0"	""	"1"	""	"1"	"8"	"3"	"271"
"122"	"108"	"139"	"4"	"64"	"9"	"212"	""	"0"	""	"0"	""	"1"	""	"48"	""	"1"	""	"2"	""	"4"	""	"10"	"15"	"13"	"522"
"123"	"109"	"25"	"0"	"58"	"0"	"177"	""	"1"	""	"0"	""	"1"	""	"20"	""	"0"	""	"2"	""	"1"	""	"1"	"1"	"1"	"288"
"124"	"110"	"39"	"0"	"40"	"7"	"145"	""	"0"	""	"0"	""	"0"	""	"28"	""	"2"	""	"1"	""	"0"	""	"3"	"0"	"0"	"265"
"125"	"111"	"235"	"1"	"30"	"0"	"287"	""	"1"	""	"0"	""	"0"	""	"26"	""	"1"	""	"2"	""	"1"	""	"1"	"2"	"3"	"590"
"126"	"112"	"64"	"0"	"23"	"4"	"208"	""	"1"	""	"0"	""	"0"	""	"23"	""	"1"	""	"5"	""	"2"	""	"0"	"2"	"3"	"336"
"127"	"113"	"275"	"2"	"55"	"3"	"284"	""	"2"	""	"0"	""	"1"	""	"72"	""	"1"	""	"4"	""	"4"	""	"3"	"7"	"16"	"729"
"128"	"114"	"75"	"0"	"110"	"2"	"332"	""	"4"	""	"0"	""	"1"	""	"109"	""	"4"	""	"10"	""	"4"	""	"8"	"8"	"6"	"673"
"129"	"115"	"115"	"5"	"81"	"5"	"254"	""	"8"	""	"3"	""	"3"	""	"56"	""	"4"	""	"10"	""	"3"	""	"2"	"9"	"14"	"572"
"130"	"116"	"156"	"2"	"97"	"1"	"284"	""	"3"	""	"2"	""	"0"	""	"34"	""	"1"	""	"18"	""	"2"	""	"2"	"4"	"15"	"621"
"131"	"117"	"37"	"2"	"63"	"2"	"224"	""	"3"	""	"0"	""	"6"	""	"24"	""	"0"	""	"2"	""	"1"	""	"1"	"8"	"13"	"386"
"132"	"118"	"10"	"0"	"49"	"0"	"134"	""	"4"	""	"0"	""	"0"	""	"19"	""	"0"	""	"0"	""	"1"	""	"0"	"4"	"1"	"222"
"133"	"119"	"57"	"2"	"63"	"0"	"189"	""	"1"	""	"1"	""	"0"	""	"24"	""	"1"	""	"3"	""	"0"	""	"1"	"2"	"4"	"348"
"134"	"120"	"67"	"3"	"71"	"0"	"163"	""	"2"	""	"0"	""	"2"	""	"24"	""	"0"	""	"3"	""	"4"	""	"3"	"2"	"4"	"348"
"135"	"120A"	"15"	"0"	"25"	"1"	"166"	""	"1"	""	"0"	""	"0"	""	"23"	""	"1"	""	"0"	""	"4"	""	"3"	"0"	"0"	"239"
"136"	"121"	"56"	"1"	"94"	"0"	"303"	""	"1"	""	"0"	""	"2"	""	"46"	""	"1"	""	"2"	""	"1"	""	"2"	"0"	"4"	"513"
"137"	"122"	"101"	"2"	"88"	"2"	"101"	""	"3"	""	"1"	""	"0"	""	"42"	""	"3"	""	"1"	""	"2"	""	"5"	"12"	"5"	"368"
"138"	"123"	"120"	"3"	"103"	"5"	"221"	""	"3"	""	"1"	""	"1"	""	"41"	""	"0"	""	"2"	""	"2"	""	"0"	"1"	"1"	"504"
"139"	"123A"	"80"	"1"	"30"	"3"	"90"	""	"1"	""	"1"	""	"0"	""	"22"	""	"2"	""	"1"	""	"0"	""	"1"	"2"	"5"	"239"
"140"	"124"	"69"	"0"	"44"	"5"	"192"	""	"5"	""	"2"	""	"0"	""	"41"	""	"0"	""	"0"	""	"1"	""	"3"	"2"	"2"	"366"
"141"	"125"	"67"	"0"	"114"	"0"	"363"	""	"2"	""	"1"	""	"0"	""	"77"	""	"1"	""	"0"	""	"1"	""	"1"	"2"	"5"	"634"
"142"	"126"	"59"	"2"	"76"	"2"	"254"	""	"1"	""	"1"	""	"0"	""	"50"	""	"2"	""	"3"	""	"3"	""	"0"	"3"	"5"	"461"
"143"	"127"	"147"	"2"	"41"	"1"	"136"	""	"2"	""	"0"	""	"1"	""	"30"	""	"1"	""	"3"	""	"2"	""	"1"	"6"	"9"	"382"
"144"	"127A"	"186"	"0"	"56"	"3"	"135"	""	"3"	""	"0"	""	"0"	""	"32"	""	"3"	""	"6"	""	"3"	""	"2"	"4"	"8"	"441"
"145"	"128"	"38"	"0"	"9"	"0"	"81"	""	"0"	""	"0"	""	"0"	""	"8"	""	"0"	""	"0"	""	"1"	""	"0"	"2"	"2"	"141"
"146"	"129"	"127"	"0"	"87"	"0"	"237"	""	"2"	""	"0"	""	"0"	""	"26"	""	"0"	""	"0"	""	"1"	""	"0"	"2"	"4"	"486"
"147"	"130"	"54"	"0"	"78"	"4"	"156"	""	"1"	""	"0"	""	"0"	""	"29"	""	"1"	""	"0"	""	"0"	""	"0"	"4"	"2"	"329"
"148"	"131"	"41"	"3"	"81"	"3"	"273"	""	"2"	""	"2"	""	"0"	""	"41"	""	"2"	""	"2"	""	"1"	""	"1"	"1"	"1"	"454"
"149"	"132"	"101"	"1"	"89"	"2"	"179"	""	"2"	""	"1"	""	"0"	""	"46"	""	"3"	""	"1"	""	"1"	""	"2"	"4"	"4"	"436"
"150"	"133"	"56"	"3"	"139"	"8"	"386"	""	"6"	""	"3"	""	"4"	""	"71"	""	"5"	""	"5"	""	"1"	""	"2"	"24"	"5"	"718"
"151"	"134"	"65"	"1"	"101"	"4"	"114"	""	"1"	""	"0"	""	"1"	""	"49"	""	"2"	""	"4"	""	"2"	""	"1"	"3"	"8"	"356"
"152"	"134A"	"229"	"4"	"63"	"0"	"113"	""	"1"	""	"0"	""	"0"	""	"22"	""	"3"	""	"4"	""	"4"	""	"4"	"5"	"6"	"458"
"153"	"135"	"64"	"1"	"207"	"3"	"146"	""	"1"	""	"0"	""	"1"	""	"15"	""	"1"	""	"1"	""	"0"	""	"0"	"5"	"2"	"447"
