"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"36"	"57"	""	"157"	""	""	"164"	""	"4"	""	"0"	""	"2"	"0"	"4"	""	"1"	""	"4"	"6"	""	"2"	""	"2"	"18"	"6"	""	"3"	""	"11"	""	"8"	"4"	""	"4"	""	"4"	""	"1"	""	"6"	"1"	"5"	""	"6"	"12"	""	"2"	"25"	""	"519"	""	"0"	""	"519"	""	""	""
"37"	"104"	""	"48"	""	""	"62"	""	"6"	""	"4"	""	"2"	"3"	"1"	""	"7"	""	"5"	"10"	""	"1"	""	"5"	"133"	"5"	""	"6"	""	"15"	""	"3"	"8"	""	"2"	""	"5"	""	"2"	""	"42"	"2"	"7"	""	"7"	"115"	""	"5"	"21"	""	"636"	""	"0"	""	"636"	""	""	""
"38"	"50"	""	"32"	""	""	"74"	""	"7"	""	"4"	""	"2"	"1"	"3"	""	"8"	""	"3"	"4"	""	"0"	""	"3"	"122"	"12"	""	"3"	""	"4"	""	"2"	"4"	""	"1"	""	"1"	""	"3"	""	"2"	"2"	"2"	""	"4"	"68"	""	"2"	"7"	""	"430"	""	"0"	""	"430"	""	""	""
"39"	"33"	""	"48"	""	""	"31"	""	"2"	""	"2"	""	"2"	"0"	"2"	""	"5"	""	"1"	"4"	""	"1"	""	"5"	"256"	"4"	""	"3"	""	"26"	""	"2"	"7"	""	"6"	""	"8"	""	"8"	""	"6"	"5"	"7"	""	"9"	"114"	""	"10"	"34"	""	"641"	""	"0"	""	"641"	""	""	""
"40"	"2"	""	"86"	""	""	"7"	""	"3"	""	"0"	""	"0"	"1"	"0"	""	"4"	""	"0"	"0"	""	"0"	""	"0"	"27"	"3"	""	"1"	""	"5"	""	"2"	"4"	""	"1"	""	"4"	""	"0"	""	"2"	"0"	"2"	""	"0"	"27"	""	"1"	"4"	""	"186"	""	"0"	""	"186"	""	""	""
"41"	"14"	""	"9"	""	""	"17"	""	"5"	""	"6"	""	"2"	"1"	"1"	""	"5"	""	"2"	"8"	""	"4"	""	"4"	"46"	"3"	""	"3"	""	"2"	""	"2"	"4"	""	"3"	""	"1"	""	"3"	""	"0"	"0"	"1"	""	"3"	"162"	""	"6"	"9"	""	"326"	""	"0"	""	"326"	""	""	""
"42"	"3"	""	"3"	""	""	"4"	""	"0"	""	"0"	""	"0"	"0"	"1"	""	"1"	""	"2"	"0"	""	"1"	""	"1"	"13"	"0"	""	"0"	""	"1"	""	"2"	"0"	""	"1"	""	"3"	""	"0"	""	"0"	"0"	"2"	""	"5"	"152"	""	"3"	"7"	""	"205"	""	"0"	""	"205"	""	""	""
"43"	"19"	""	"145"	""	""	"20"	""	"3"	""	"0"	""	"3"	"2"	"2"	""	"0"	""	"2"	"10"	""	"2"	""	"2"	"8"	"5"	""	"4"	""	"13"	""	"7"	"5"	""	"5"	""	"8"	""	"2"	""	"1"	"3"	"2"	""	"6"	"172"	""	"13"	"8"	""	"472"	""	"0"	""	"472"	""	""	""
"44"	"7"	""	"49"	""	""	"71"	""	"2"	""	"1"	""	"2"	"2"	"1"	""	"9"	""	"0"	"5"	""	"1"	""	"4"	"200"	"7"	""	"1"	""	"7"	""	"6"	"6"	""	"2"	""	"3"	""	"5"	""	"2"	"4"	"9"	""	"3"	"20"	""	"1"	"11"	""	"441"	""	"0"	""	"441"	""	""	""
"45"	"13"	""	"131"	""	""	"36"	""	"6"	""	"0"	""	"1"	"0"	"0"	""	"4"	""	"1"	"2"	""	"1"	""	"4"	"54"	"2"	""	"2"	""	"14"	""	"14"	"5"	""	"3"	""	"5"	""	"2"	""	"2"	"3"	"5"	""	"2"	"25"	""	"2"	"11"	""	"350"	""	"0"	""	"350"	""	""	""
"46"	"16"	""	"18"	""	""	"56"	""	"7"	""	"5"	""	"3"	"4"	"6"	""	"5"	""	"5"	"6"	""	"4"	""	"5"	"326"	"3"	""	"5"	""	"6"	""	"3"	"5"	""	"2"	""	"6"	""	"3"	""	"5"	"4"	"3"	""	"4"	"10"	""	"4"	"4"	""	"533"	""	"0"	""	"533"	""	""	""
"47"	"441"	""	"1354"	""	""	"712"	""	"57"	""	"26"	""	"22"	"15"	"23"	""	"53"	""	"27"	"66"	""	"24"	""	"39"	"1239"	"56"	""	"37"	""	"119"	""	"62"	"94"	""	"44"	""	"85"	""	"35"	""	"70"	"29"	"50"	""	"53"	"885"	""	"60"	"156"	""	"12070"	""	"0"	""	"12070"	""	""	""
"48"	"9  A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"28"	""	""	""	""	""	"25"	""	"18"	""	"22"	""	"3"	""	"4"	""	"0"	"0"	"0"	"3"	""	"2"	""	"12"	"1"	"4"	""	"503"	""	"3"	""	"3"	"2"	""	"0"	""	"4"	""	"0"	""	"0"	""	"0"	"0"	""	"1"	"1"	"1"	"11"	""	"0"	""	"0"	""	"623"	""	""
"70"	"29"	""	""	""	""	""	"11"	""	"15"	""	"47"	""	"4"	""	"3"	""	"4"	"2"	"1"	"5"	""	"1"	""	"10"	"1"	"7"	""	"314"	""	"5"	""	"5"	"15"	""	"4"	""	"11"	""	"10"	""	"5"	""	"4"	"3"	""	"5"	"3"	"3"	"16"	""	"1"	""	"17"	""	"532"	""	""
"71"	"30"	""	""	""	""	""	"15"	""	"278"	""	"154"	""	"1"	""	"0"	""	"2"	"0"	"2"	"5"	""	"0"	""	"0"	"2"	"0"	""	"23"	""	"5"	""	"0"	"7"	""	"5"	""	"3"	""	"3"	""	"1"	""	"0"	"1"	""	"0"	"14"	"2"	"3"	""	"2"	""	"5"	""	"533"	""	""
"72"	"31"	""	""	""	""	""	"126"	""	"341"	""	"164"	""	"1"	""	"0"	""	"3"	"0"	"0"	"1"	""	"2"	""	"1"	"1"	"1"	""	"25"	""	"0"	""	"2"	"3"	""	"4"	""	"3"	""	"6"	""	"3"	""	"0"	"1"	""	"0"	"0"	"0"	"2"	""	"3"	""	"5"	""	"698"	""	""
"73"	"32"	""	""	""	""	""	"15"	""	"140"	""	"138"	""	"3"	""	"0"	""	"3"	"4"	"5"	"3"	""	"1"	""	"6"	"2"	"5"	""	"127"	""	"4"	""	"4"	"14"	""	"9"	""	"23"	""	"7"	""	"6"	""	"3"	"1"	""	"6"	"5"	"6"	"10"	""	"6"	""	"5"	""	"561"	""	""
"74"	"33"	""	""	""	""	""	"25"	""	"83"	""	"194"	""	"2"	""	"2"	""	"7"	"2"	"5"	"6"	""	"2"	""	"7"	"7"	"4"	""	"113"	""	"2"	""	"5"	"9"	""	"1"	""	"8"	""	"1"	""	"2"	""	"1"	"4"	""	"0"	"3"	"8"	"1"	""	"3"	""	"10"	""	"517"	""	""
"75"	"34"	""	""	""	""	""	"2"	""	"80"	""	"51"	""	"1"	""	"0"	""	"0"	"0"	"1"	"2"	""	"0"	""	"2"	"1"	"4"	""	"104"	""	"1"	""	"1"	"6"	""	"0"	""	"3"	""	"3"	""	"1"	""	"3"	"0"	""	"3"	"2"	"4"	"3"	""	"1"	""	"2"	""	"281"	""	""
"76"	"35"	""	""	""	""	""	"10"	""	"40"	""	"122"	""	"2"	""	"1"	""	"1"	"1"	"12"	"5"	""	"1"	""	"0"	"2"	"6"	""	"102"	""	"0"	""	"11"	"0"	""	"1"	""	"5"	""	"5"	""	"1"	""	"2"	"1"	""	"1"	"1"	"1"	"1"	""	"1"	""	"2"	""	"338"	""	""
"77"	"36"	""	""	""	""	""	"23"	""	"101"	""	"49"	""	"1"	""	"0"	""	"0"	"0"	"0"	"0"	""	"2"	""	"2"	"0"	"2"	""	"66"	""	"3"	""	"2"	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"0"	"0"	""	"1"	"3"	"0"	"3"	""	"0"	""	"4"	""	"266"	""	""
"78"	"37"	""	""	""	""	""	"4"	""	"131"	""	"60"	""	"3"	""	"1"	""	"1"	"0"	"0"	"2"	""	"0"	""	"3"	"0"	"1"	""	"50"	""	"2"	""	"1"	"4"	""	"1"	""	"2"	""	"10"	""	"3"	""	"2"	"0"	""	"1"	"3"	"5"	"21"	""	"1"	""	"2"	""	"314"	""	""
"79"	"38"	""	""	""	""	""	"7"	""	"62"	""	"47"	""	"0"	""	"1"	""	"2"	"2"	"0"	"1"	""	"0"	""	"6"	"0"	"1"	""	"174"	""	"0"	""	"1"	"6"	""	"4"	""	"6"	""	"1"	""	"1"	""	"0"	"0"	""	"5"	"3"	"1"	"10"	""	"0"	""	"6"	""	"347"	""	""
"80"	"39"	""	""	""	""	""	"12"	""	"181"	""	"118"	""	"4"	""	"2"	""	"3"	"4"	"3"	"1"	""	"1"	""	"2"	"0"	"1"	""	"101"	""	"4"	""	"2"	"8"	""	"1"	""	"5"	""	"5"	""	"2"	""	"2"	"4"	""	"7"	"3"	"4"	"8"	""	"3"	""	"7"	""	"498"	""	""
"81"	"40"	""	""	""	""	""	"15"	""	"157"	""	"242"	""	"6"	""	"6"	""	"2"	"2"	"1"	"4"	""	"2"	""	"5"	"4"	"3"	""	"98"	""	"4"	""	"4"	"6"	""	"5"	""	"1"	""	"6"	""	"0"	""	"1"	"1"	""	"0"	"2"	"0"	"4"	""	"1"	""	"6"	""	"588"	""	""
"82"	"41"	""	""	""	""	""	"13"	""	"103"	""	"311"	""	"4"	""	"5"	""	"6"	"2"	"6"	"6"	""	"3"	""	"10"	"5"	"8"	""	"106"	""	"3"	""	"2"	"4"	""	"3"	""	"3"	""	"2"	""	"2"	""	"2"	"2"	""	"1"	"4"	"3"	"5"	""	"0"	""	"1"	""	"625"	""	""
"83"	"Round"	""	""	""	""	""	"303"	""	"1730"	""	"1719"	""	"35"	""	"25"	""	"34"	"19"	"36"	"44"	""	"17"	""	"66"	"26"	"47"	""	"1906"	""	"36"	""	"43"	"84"	""	"38"	""	"79"	""	"60"	""	"28"	""	"20"	"18"	""	"31"	"47"	"38"	"98"	""	"22"	""	"72"	""	"18791"	""	""
