"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	"12"	"12"	"67"	"4"	"8"	"10"	"56"	"5"	"7"	"5"	"33"	"4"	"5"	"11"	"227"	"2"	"2"	"12"	"458"	"0"	"458"	"0"
"14"	"13"	"13"	"44"	"13"	"9"	"22"	"154"	"7"	"5"	"12"	"76"	"6"	"19"	"3"	"210"	"5"	"4"	"2"	"591"	"0"	"591"	"0"
"15"	"14"	"14"	"24"	"9"	"10"	"17"	"65"	"2"	"8"	"37"	"372"	"11"	"10"	"14"	"214"	"11"	"12"	"10"	"826"	"0"	"826"	"0"
"16"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"18"	"15"	"15"	"25"	"1"	"5"	"18"	"36"	"3"	"2"	"26"	"221"	"12"	"12"	"20"	"328"	"11"	"8"	"30"	"758"	"0"	"758"	"0"
"19"	"16"	"16"	"11"	"4"	"7"	"23"	"57"	"8"	"9"	"19"	"189"	"7"	"12"	"6"	"218"	"11"	"8"	"19"	"608"	"0"	"608"	"0"
"20"	"17"	"17"	"31"	"4"	"2"	"15"	"5"	"1"	"3"	"35"	"123"	"9"	"15"	"12"	"131"	"4"	"3"	"14"	"407"	"0"	"407"	"0"
"21"	"18"	"18"	"8"	"3"	"1"	"17"	"130"	"6"	"5"	"25"	"225"	"5"	"2"	"4"	"39"	"1"	"2"	"5"	"478"	"0"	"478"	"0"
"22"	"19"	"19"	"5"	"7"	"2"	"5"	"193"	"8"	"6"	"10"	"42"	"4"	"6"	"3"	"52"	"2"	"1"	"4"	"350"	"0"	"350"	"0"
"23"	"20"	"19A"	"35"	"1"	"11"	"8"	"263"	"5"	"0"	"4"	"64"	"2"	"2"	"1"	"40"	"4"	"3"	"8"	"451"	"0"	"451"	"0"
"24"	"21"	"20"	"11"	"4"	"17"	"28"	"174"	"10"	"24"	"19"	"155"	"15"	"10"	"16"	"134"	"11"	"5"	"29"	"662"	"0"	"662"	"0"
"25"	"22"	"21"	"15"	"9"	"9"	"59"	"70"	"9"	"10"	"10"	"123"	"10"	"26"	"17"	"310"	"20"	"18"	"17"	"732"	"0"	"732"	"0"
"26"	"23"	"22"	"24"	"7"	"16"	"17"	"274"	"10"	"4"	"17"	"153"	"3"	"11"	"13"	"79"	"3"	"1"	"6"	"638"	"0"	"638"	"0"
"27"	"24"	"23"	"63"	"7"	"13"	"34"	"68"	"7"	"8"	"21"	"103"	"5"	"28"	"18"	"359"	"3"	"4"	"13"	"754"	"0"	"754"	"0"
"28"	"25"	"24"	"4"	"2"	"4"	"7"	"16"	"3"	"4"	"7"	"140"	"4"	"16"	"8"	"50"	"3"	"2"	"9"	"279"	"0"	"279"	"0"
"29"	"26"	"25"	"61"	"5"	"3"	"21"	"85"	"8"	"13"	"11"	"176"	"9"	"9"	"6"	"25"	"3"	"2"	"14"	"451"	"0"	"451"	"0"
"30"	"27"	"26"	"22"	"7"	"16"	"7"	"30"	"3"	"4"	"7"	"96"	"5"	"11"	"11"	"231"	"8"	"11"	"8"	"477"	"0"	"477"	"0"
"31"	"28"	"27"	"11"	"4"	"1"	"11"	"5"	"1"	"1"	"2"	"8"	"4"	"15"	"4"	"318"	"6"	"0"	"13"	"404"	"0"	"404"	"0"
"32"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"34"	"29"	"28"	"61"	"1"	"8"	"9"	"34"	"7"	"7"	"14"	"143"	"9"	"14"	"7"	"176"	"10"	"6"	"12"	"518"	"0"	"518"	"0"
"35"	"30"	"29"	"17"	"2"	"6"	"18"	"0"	"2"	"2"	"4"	"52"	"4"	"13"	"13"	"265"	"10"	"1"	"21"	"430"	"0"	"430"	"0"
"36"	"31"	"30"	"46"	"6"	"6"	"39"	"8"	"3"	"6"	"19"	"6"	"4"	"8"	"6"	"222"	"5"	"7"	"54"	"445"	"0"	"445"	"0"
"37"	"32"	"31"	"31"	"1"	"3"	"16"	"3"	"0"	"2"	"10"	"30"	"0"	"7"	"4"	"117"	"3"	"1"	"20"	"248"	"0"	"248"	"0"
"38"	"33"	"32"	"25"	"4"	"4"	"7"	"17"	"2"	"2"	"8"	"143"	"6"	"11"	"10"	"134"	"2"	"2"	"8"	"385"	"0"	"385"	"0"
"39"	"34"	"33"	"36"	"4"	"4"	"3"	"12"	"2"	"4"	"12"	"231"	"8"	"8"	"5"	"15"	"0"	"1"	"11"	"356"	"0"	"356"	"0"
"40"	"35"	"34"	"69"	"7"	"8"	"10"	"20"	"3"	"6"	"24"	"338"	"16"	"6"	"8"	"58"	"8"	"10"	"20"	"611"	"0"	"611"	"0"
"41"	"36"	"35"	"134"	"1"	"11"	"3"	"12"	"4"	"4"	"6"	"118"	"4"	"1"	"3"	"14"	"1"	"0"	"9"	"325"	"0"	"325"	"0"
"42"	"37"	"36"	"53"	"4"	"7"	"2"	"16"	"4"	"5"	"12"	"148"	"9"	"13"	"8"	"204"	"10"	"8"	"23"	"526"	"0"	"526"	"0"
"43"	"38"	"37"	"27"	"0"	"4"	"9"	"8"	"4"	"2"	"19"	"245"	"7"	"5"	"14"	"400"	"7"	"3"	"23"	"777"	"0"	"777"	"0"
"44"	"39"	"38"	"28"	"1"	"12"	"19"	"33"	"6"	"2"	"15"	"445"	"8"	"9"	"5"	"129"	"6"	"5"	"9"	"732"	"0"	"732"	"0"
"45"	"40"	"39"	"79"	"7"	"16"	"10"	"5"	"5"	"9"	"3"	"6"	"3"	"5"	"2"	"292"	"8"	"12"	"14"	"476"	"0"	"476"	"0"
"46"	"41"	"40"	"208"	"4"	"25"	"11"	"12"	"5"	"6"	"11"	"61"	"6"	"8"	"12"	"87"	"7"	"7"	"44"	"514"	"0"	"514"	"0"
"47"	"42"	"41"	"45"	"5"	"10"	"7"	"11"	"6"	"4"	"10"	"173"	"6"	"9"	"35"	"78"	"3"	"0"	"13"	"415"	"0"	"415"	"0"
"48"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"50"	"43"	"42"	"24"	"10"	"16"	"78"	"28"	"5"	"2"	"8"	"22"	"3"	"22"	"9"	"321"	"6"	"1"	"10"	"565"	"0"	"565"	"0"
"51"	"44"	"43"	"21"	"1"	"8"	"64"	"15"	"4"	"3"	"3"	"37"	"5"	"21"	"16"	"289"	"10"	"8"	"25"	"530"	"0"	"530"	"0"
"52"	"45"	"44"	"17"	"4"	"14"	"63"	"7"	"5"	"4"	"31"	"11"	"11"	"29"	"12"	"427"	"17"	"6"	"61"	"719"	"0"	"719"	"0"
"53"	"46"	"45"	"3"	"1"	"3"	"41"	"7"	"6"	"1"	"25"	"8"	"3"	"10"	"4"	"278"	"12"	"6"	"28"	"436"	"0"	"436"	"0"
"54"	"47"	"46"	"11"	"4"	"11"	"38"	"12"	"6"	"10"	"24"	"18"	"12"	"25"	"25"	"468"	"19"	"12"	"265"	"960"	"0"	"960"	"0"
"55"	"48"	"47"	"2"	"2"	"1"	"20"	"9"	"4"	"4"	"4"	"4"	"4"	"11"	"13"	"422"	"10"	"5"	"126"	"641"	"0"	"641"	"0"
"56"	"49"	"48"	"26"	"7"	"30"	"28"	"33"	"10"	"3"	"11"	"9"	"4"	"20"	"11"	"687"	"10"	"4"	"23"	"916"	"0"	"916"	"0"
"57"	"50"	"49"	"162"	"7"	"3"	"11"	"5"	"4"	"3"	"6"	"25"	"2"	"6"	"1"	"197"	"5"	"2"	"18"	"457"	"0"	"457"	"0"
"58"	"51"	"50"	"543"	"6"	"1"	"0"	"3"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"9"	"0"	"2"	"29"	"597"	"0"	"597"	"0"
"59"	"52"	"51"	"376"	"4"	"4"	"3"	"11"	"3"	"8"	"2"	"4"	"3"	"16"	"6"	"179"	"2"	"2"	"67"	"690"	"0"	"690"	"0"
"60"	"53"	"52"	"237"	"6"	"1"	"1"	"6"	"1"	"0"	"0"	"3"	"0"	"6"	"2"	"119"	"1"	"1"	"17"	"401"	"0"	"401"	"0"
"61"	"54"	"53"	"20"	"1"	"10"	"9"	"5"	"3"	"1"	"7"	"3"	"1"	"7"	"5"	"488"	"9"	"4"	"16"	"589"	"0"	"589"	"0"
"62"	"55"	"54"	"14"	"3"	"17"	"42"	"9"	"7"	"7"	"20"	"3"	"3"	"9"	"8"	"491"	"6"	"5"	"20"	"664"	"0"	"664"	"0"
"63"	"56"	"55"	"22"	"4"	"2"	"19"	"2"	"2"	"1"	"3"	"19"	"6"	"5"	"5"	"206"	"9"	"1"	"15"	"321"	"0"	"321"	"0"
"64"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"66"	"57"	"56"	"6"	"2"	"5"	"66"	"14"	"0"	"7"	"8"	"51"	"1"	"5"	"6"	"296"	"6"	"2"	"5"	"480"	"0"	"480"	"0"
"67"	"58"	"57"	"30"	"7"	"2"	"17"	"63"	"6"	"4"	"69"	"129"	"8"	"9"	"10"	"130"	"8"	"12"	"35"	"539"	"0"	"539"	"0"
"68"	"59"	"58"	"16"	"6"	"5"	"23"	"74"	"1"	"5"	"21"	"98"	"4"	"11"	"7"	"293"	"3"	"1"	"14"	"582"	"0"	"582"	"0"
"69"	"60"	"59"	"48"	"5"	"9"	"51"	"52"	"7"	"4"	"170"	"43"	"2"	"12"	"5"	"324"	"3"	"5"	"19"	"759"	"0"	"759"	"0"
"70"	"61"	"60"	"13"	"3"	"14"	"7"	"184"	"3"	"0"	"33"	"122"	"3"	"7"	"9"	"127"	"1"	"3"	"8"	"537"	"0"	"537"	"0"
"71"	"62"	"61"	"24"	"5"	"6"	"11"	"126"	"2"	"9"	"34"	"167"	"9"	"5"	"7"	"259"	"11"	"5"	"38"	"718"	"0"	"718"	"0"
"72"	"63"	"62"	"18"	"4"	"11"	"31"	"109"	"3"	"6"	"57"	"165"	"5"	"14"	"13"	"344"	"8"	"5"	"16"	"809"	"0"	"809"	"0"
"73"	"64"	"63"	"21"	"4"	"19"	"21"	"63"	"8"	"9"	"20"	"95"	"6"	"14"	"23"	"367"	"12"	"6"	"32"	"720"	"0"	"720"	"0"
"74"	"65"	"64"	"14"	"8"	"7"	"15"	"34"	"5"	"8"	"11"	"122"	"6"	"9"	"7"	"262"	"7"	"1"	"11"	"527"	"0"	"527"	"0"
"75"	"66"	"65"	"8"	"2"	"1"	"16"	"59"	"4"	"2"	"52"	"39"	"4"	"8"	"2"	"130"	"4"	"2"	"5"	"338"	"0"	"338"	"0"
"76"	"67"	"66"	"22"	"2"	"6"	"8"	"206"	"8"	"1"	"3"	"54"	"3"	"4"	"13"	"177"	"2"	"0"	"12"	"521"	"0"	"521"	"0"
"77"	"68"	"67"	"12"	"4"	"5"	"20"	"169"	"5"	"2"	"5"	"12"	"1"	"6"	"12"	"148"	"9"	"11"	"10"	"431"	"0"	"431"	"0"
"78"	"69"	"68"	"29"	"2"	"7"	"14"	"97"	"4"	"1"	"3"	"66"	"2"	"8"	"8"	"298"	"6"	"2"	"43"	"590"	"0"	"590"	"0"
"79"	"70"	"69"	"6"	"4"	"3"	"9"	"58"	"5"	"15"	"2"	"2"	"0"	"8"	"9"	"328"	"6"	"2"	"42"	"499"	"0"	"499"	"0"
"80"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"82"	"71"	"70"	"3"	"1"	"3"	"13"	"277"	"2"	"2"	"1"	"10"	"4"	"10"	"10"	"483"	"8"	"5"	"46"	"878"	"0"	"878"	"0"
"83"	"72"	"71"	"47"	"4"	"6"	"11"	"249"	"17"	"4"	"5"	"40"	"6"	"10"	"5"	"94"	"12"	"8"	"423"	"941"	"0"	"941"	"0"
"84"	"73"	"72"	"24"	"8"	"2"	"23"	"239"	"11"	"2"	"5"	"16"	"4"	"11"	"13"	"285"	"10"	"0"	"114"	"767"	"0"	"767"	"0"
"85"	"74"	"73"	"5"	"1"	"0"	"2"	"229"	"7"	"3"	"2"	"14"	"2"	"6"	"9"	"77"	"2"	"1"	"52"	"412"	"0"	"412"	"0"
"86"	"75"	"74"	"56"	"6"	"11"	"30"	"298"	"6"	"1"	"8"	"69"	"1"	"4"	"6"	"116"	"6"	"1"	"6"	"625"	"0"	"625"	"0"
"87"	"76"	"75"	"56"	"4"	"17"	"17"	"244"	"5"	"4"	"6"	"61"	"7"	"14"	"15"	"215"	"8"	"5"	"53"	"731"	"0"	"731"	"0"
"88"	"77"	"76"	"21"	"7"	"8"	"6"	"43"	"6"	"8"	"11"	"229"	"6"	"9"	"7"	"150"	"8"	"4"	"18"	"541"	"0"	"541"	"0"
"89"	"78"	"77"	"78"	"6"	"10"	"2"	"166"	"0"	"2"	"2"	"99"	"1"	"3"	"3"	"80"	"5"	"2"	"8"	"467"	"0"	"467"	"0"
"90"	"79"	"78"	"6"	"0"	"0"	"6"	"17"	"3"	"2"	"2"	"9"	"3"	"13"	"11"	"381"	"10"	"5"	"239"	"707"	"0"	"707"	"0"
"91"	"80"	"79"	"23"	"9"	"11"	"25"	"27"	"6"	"1"	"5"	"52"	"10"	"15"	"5"	"396"	"9"	"3"	"15"	"612"	"0"	"612"	"0"
"92"	"81"	"80"	"21"	"3"	"10"	"41"	"25"	"6"	"24"	"9"	"125"	"8"	"13"	"14"	"324"	"11"	"3"	"17"	"654"	"0"	"654"	"0"
"93"	"82"	"80A"	"10"	"3"	"3"	"7"	"4"	"3"	"4"	"5"	"91"	"2"	"5"	"9"	"129"	"2"	"1"	"8"	"286"	"0"	"286"	"0"
"94"	"83"	"81"	"2"	"1"	"6"	"15"	"45"	"8"	"28"	"7"	"151"	"4"	"20"	"7"	"427"	"7"	"6"	"30"	"764"	"0"	"764"	"0"
"95"	"84"	"82"	"23"	"3"	"10"	"12"	"11"	"6"	"32"	"2"	"60"	"5"	"18"	"19"	"296"	"6"	"7"	"28"	"538"	"0"	"538"	"0"
"96"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"98"	"85"	"82A"	"3"	"2"	"4"	"4"	"3"	"2"	"31"	"6"	"41"	"3"	"7"	"2"	"294"	"3"	"3"	"9"	"417"	"0"	"417"	"0"
"99"	"86"	"83"	"21"	"6"	"10"	"4"	"10"	"6"	"7"	"19"	"236"	"6"	"37"	"8"	"194"	"11"	"3"	"34"	"612"	"0"	"612"	"0"
"100"	"87"	"84"	"58"	"7"	"19"	"15"	"16"	"11"	"7"	"16"	"187"	"10"	"14"	"6"	"153"	"8"	"2"	"14"	"543"	"0"	"543"	"0"
"101"	"88"	"85"	"29"	"1"	"14"	"6"	"221"	"2"	"18"	"4"	"55"	"3"	"3"	"3"	"15"	"2"	"2"	"8"	"386"	"0"	"386"	"0"
"102"	"89"	"86"	"20"	"2"	"14"	"22"	"136"	"14"	"7"	"6"	"150"	"6"	"10"	"42"	"230"	"7"	"2"	"33"	"701"	"0"	"701"	"0"
"103"	"90"	"87"	"23"	"14"	"14"	"6"	"326"	"6"	"18"	"7"	"80"	"0"	"3"	"4"	"248"	"5"	"0"	"51"	"805"	"0"	"805"	"0"
"104"	"91"	"88"	"15"	"3"	"15"	"25"	"205"	"8"	"114"	"6"	"50"	"6"	"7"	"11"	"315"	"4"	"4"	"95"	"883"	"0"	"883"	"0"
"105"	"92"	"89"	"31"	"3"	"11"	"13"	"190"	"6"	"12"	"17"	"85"	"7"	"10"	"10"	"325"	"7"	"1"	"43"	"771"	"0"	"771"	"0"
"106"	"93"	"90"	"8"	"0"	"4"	"9"	"612"	"12"	"5"	"1"	"155"	"7"	"5"	"5"	"33"	"4"	"7"	"17"	"884"	"0"	"884"	"0"
"107"	"94"	"91"	"1"	"1"	"3"	"3"	"137"	"8"	"1"	"9"	"50"	"2"	"10"	"10"	"350"	"4"	"1"	"20"	"610"	"0"	"610"	"0"
"108"	"95"	"92"	"7"	"2"	"3"	"25"	"231"	"8"	"3"	"4"	"39"	"1"	"6"	"1"	"164"	"2"	"0"	"6"	"502"	"0"	"502"	"0"
"109"	"96"	"92A"	"5"	"0"	"1"	"153"	"157"	"4"	"2"	"4"	"30"	"1"	"2"	"7"	"56"	"4"	"4"	"8"	"438"	"0"	"438"	"0"
"110"	"97"	"93"	"4"	"1"	"3"	"60"	"178"	"5"	"22"	"3"	"4"	"3"	"10"	"8"	"182"	"3"	"1"	"13"	"500"	"0"	"500"	"0"
"111"	"98"	"94"	"21"	"12"	"14"	"302"	"352"	"4"	"4"	"4"	"18"	"1"	"9"	"3"	"114"	"2"	"4"	"4"	"868"	"0"	"868"	"0"
"112"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	""	"vkfny  gl u vkt kn"	"ekfud  panz j k;"	"eks0 ' kkSdr  gql Su"	"eks0 fl fíd"	"gchcwj  j geku"	"mi sUnz egr ks"	"fnyhi  dqekj  j k;"	"i zse dqekj  j k;"	"egcwc vkye"	"' kkg vkye"	"l quhy  pkS/kj h"	"[ okt k ' kkghn"	"nqy ky  pUnz xksLokeh"	"eks0 ' kdhy"	"' kkghu f' kj hu vkt kn"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"114"	"99"	"95"	"21"	"9"	"5"	"20"	"16"	"12"	"6"	"16"	"191"	"11"	"25"	"40"	"600"	"19"	"6"	"17"	"1014"	"0"	"1014"	"0"
"115"	"100"	"96"	"50"	"4"	"3"	"18"	"11"	"25"	"3"	"12"	"158"	"7"	"9"	"114"	"106"	"2"	"3"	"7"	"532"	"0"	"532"	"0"
"116"	"101"	"97"	"55"	"0"	"1"	"11"	"8"	"5"	"0"	"1"	"41"	"2"	"0"	"86"	"13"	"1"	"2"	"4"	"230"	"0"	"230"	"0"
"117"	"102"	"98"	"31"	"2"	"10"	"11"	"5"	"25"	"14"	"8"	"72"	"9"	"17"	"139"	"256"	"10"	"5"	"17"	"631"	"0"	"631"	"0"
"118"	"103"	"99"	"74"	"3"	"22"	"12"	"12"	"18"	"1"	"5"	"66"	"10"	"4"	"71"	"143"	"6"	"2"	"4"	"453"	"0"	"453"	"0"
"119"	"104"	"99A"	"16"	"0"	"3"	"8"	"4"	"11"	"5"	"8"	"118"	"5"	"11"	"74"	"170"	"4"	"3"	"7"	"447"	"0"	"447"	"0"
"120"	"105"	"100"	"28"	"0"	"13"	"42"	"3"	"4"	"4"	"6"	"3"	"3"	"10"	"13"	"421"	"13"	"7"	"26"	"596"	"0"	"596"	"0"
"121"	"106"	"101"	"60"	"15"	"18"	"34"	"14"	"24"	"4"	"19"	"88"	"25"	"26"	"101"	"209"	"8"	"3"	"12"	"660"	"0"	"660"	"0"
"122"	"107"	"102"	"208"	"3"	"11"	"20"	"29"	"12"	"3"	"9"	"58"	"10"	"14"	"56"	"341"	"7"	"8"	"26"	"815"	"0"	"815"	"0"
"123"	"108"	"103"	"199"	"4"	"2"	"0"	"7"	"1"	"3"	"1"	"4"	"3"	"8"	"4"	"187"	"3"	"3"	"24"	"453"	"0"	"453"	"0"
"124"	"109"	"103A"	"99"	"3"	"5"	"1"	"21"	"9"	"7"	"6"	"172"	"13"	"5"	"65"	"85"	"0"	"7"	"9"	"507"	"0"	"507"	"0"
"125"	"110"	"104"	"130"	"7"	"17"	"6"	"11"	"5"	"0"	"3"	"20"	"4"	"5"	"19"	"75"	"1"	"0"	"11"	"314"	"0"	"314"	"0"
"126"	"111"	"104A"	"56"	"4"	"9"	"3"	"27"	"30"	"4"	"12"	"45"	"68"	"10"	"163"	"36"	"1"	"1"	"8"	"477"	"0"	"477"	"0"
