"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"11"	"9"	"69"	"8"	"197"	"7"	"179"	"9"	"2"	"6"	"4"	"11"	"14"	"5"	"16"	"7"	"9"	"543"	"0"	"543"	""
"12"	"10"	"35"	"3"	"78"	"0"	"91"	"2"	"5"	"5"	"7"	"7"	"7"	"3"	"8"	"5"	"10"	"266"	"0"	"266"	""
"13"	"11"	"83"	"14"	"182"	"8"	"236"	"10"	"15"	"9"	"4"	"6"	"16"	"8"	"10"	"11"	"19"	"631"	"0"	"631"	""
"14"	"12"	"124"	"7"	"188"	"6"	"106"	"4"	"3"	"1"	"0"	"4"	"4"	"3"	"4"	"2"	"2"	"458"	"0"	"458"	""
"15"	"13"	"60"	"13"	"307"	"6"	"220"	"7"	"1"	"4"	"5"	"0"	"2"	"1"	"2"	"0"	"5"	"633"	"0"	"633"	""
"16"	"14"	"43"	"7"	"239"	"4"	"197"	"1"	"3"	"0"	"4"	"1"	"5"	"0"	"3"	"5"	"2"	"514"	"0"	"514"	""
"17"	"15"	"24"	"21"	"277"	"13"	"119"	"5"	"1"	"3"	"0"	"3"	"6"	"1"	"10"	"2"	"8"	"493"	"0"	"493"	""
"18"	"16"	"39"	"10"	"417"	"6"	"64"	"3"	"1"	"2"	"2"	"5"	"4"	"6"	"18"	"5"	"3"	"585"	"0"	"585"	""
"19"	"17"	"22"	"1"	"18"	"2"	"203"	"6"	"1"	"0"	"0"	"3"	"3"	"2"	"1"	"1"	"1"	"264"	"0"	"264"	""
"20"	"18"	"16"	"11"	"183"	"3"	"58"	"4"	"1"	"3"	"1"	"2"	"2"	"0"	"3"	"1"	"6"	"294"	"0"	"294"	""
"21"	"19"	"130"	"98"	"114"	"2"	"75"	"6"	"1"	"1"	"1"	"2"	"3"	"2"	"4"	"7"	"7"	"453"	"0"	"453"	""
"22"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"23"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"24"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"25"	"20"	"76"	"4"	"314"	"12"	"90"	"5"	"4"	"4"	"4"	"2"	"6"	"4"	"11"	"7"	"4"	"547"	"0"	"547"	""
"26"	"21"	"73"	"10"	"203"	"3"	"155"	"6"	"3"	"4"	"0"	"6"	"4"	"3"	"10"	"6"	"3"	"489"	"0"	"489"	""
"27"	"22"	"134"	"27"	"266"	"7"	"286"	"7"	"1"	"4"	"3"	"2"	"5"	"5"	"4"	"2"	"3"	"756"	"0"	"756"	""
"28"	"23"	"39"	"2"	"43"	"1"	"28"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"2"	"1"	"3"	"126"	"0"	"126"	""
"29"	"24"	"223"	"7"	"204"	"2"	"173"	"6"	"4"	"4"	"6"	"10"	"7"	"12"	"22"	"12"	"25"	"717"	"0"	"717"	""
"30"	"25"	"137"	"5"	"96"	"4"	"316"	"7"	"0"	"8"	"7"	"13"	"19"	"6"	"7"	"11"	"11"	"647"	"0"	"647"	""
"31"	"26"	"100"	"8"	"145"	"8"	"248"	"5"	"3"	"5"	"3"	"6"	"10"	"4"	"5"	"2"	"12"	"564"	"0"	"564"	""
"32"	"27"	"96"	"6"	"51"	"1"	"60"	"4"	"1"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"5"	"230"	"0"	"230"	""
"33"	"28"	"60"	"18"	"208"	"4"	"96"	"4"	"4"	"0"	"1"	"5"	"1"	"5"	"5"	"5"	"10"	"426"	"0"	"426"	""
"34"	"29"	"103"	"2"	"110"	"4"	"126"	"8"	"1"	"3"	"1"	"0"	"5"	"1"	"6"	"5"	"4"	"379"	"0"	"379"	""
"35"	"30"	"81"	"8"	"74"	"11"	"384"	"12"	"6"	"3"	"4"	"33"	"23"	"9"	"3"	"9"	"19"	"679"	"0"	"679"	""
"36"	"31"	"163"	"24"	"45"	"2"	"169"	"2"	"3"	"1"	"0"	"3"	"3"	"1"	"0"	"1"	"6"	"423"	"0"	"423"	""
"37"	"32"	"61"	"1"	"126"	"6"	"130"	"4"	"1"	"0"	"2"	"0"	"0"	"1"	"3"	"2"	"2"	"339"	"0"	"339"	""
"38"	"33"	"183"	"6"	"316"	"8"	"135"	"6"	"2"	"3"	"2"	"5"	"10"	"9"	"18"	"4"	"9"	"716"	"0"	"716"	""
"39"	"34"	"89"	"34"	"271"	"13"	"90"	"7"	"4"	"2"	"5"	"2"	"8"	"6"	"18"	"7"	"5"	"561"	"0"	"561"	""
"40"	"35"	"79"	"5"	"298"	"16"	"203"	"8"	"4"	"3"	"4"	"4"	"13"	"3"	"10"	"3"	"5"	"658"	"0"	"658"	""
"41"	"36"	"115"	"22"	"441"	"7"	"82"	"2"	"4"	"4"	"5"	"5"	"6"	"8"	"33"	"10"	"7"	"751"	"0"	"751"	""
"42"	"37"	"140"	"8"	"589"	"11"	"24"	"7"	"2"	"1"	"2"	"1"	"0"	"3"	"11"	"3"	"10"	"812"	"0"	"812"	""
"43"	"38"	"42"	"4"	"369"	"6"	"4"	"3"	"3"	"3"	"1"	"0"	"0"	"3"	"19"	"1"	"3"	"461"	"0"	"461"	""
"44"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"45"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"47"	"39"	"46"	"11"	"365"	"5"	"45"	"1"	"2"	"1"	"1"	"0"	"5"	"6"	"15"	"1"	"10"	"514"	"0"	"514"	""
"48"	"40"	"75"	"5"	"441"	"11"	"7"	"2"	"2"	"1"	"3"	"1"	"1"	"3"	"45"	"3"	"9"	"609"	"0"	"609"	""
"49"	"41"	"88"	"5"	"348"	"8"	"13"	"0"	"2"	"1"	"0"	"0"	"5"	"3"	"26"	"1"	"5"	"505"	"0"	"505"	""
"50"	"42"	"116"	"149"	"121"	"3"	"16"	"0"	"2"	"1"	"0"	"0"	"5"	"0"	"3"	"2"	"10"	"428"	"0"	"428"	""
"51"	"43"	"138"	"61"	"351"	"2"	"3"	"2"	"2"	"3"	"1"	"0"	"1"	"4"	"0"	"1"	"3"	"572"	"0"	"572"	""
"52"	"44"	"59"	"4"	"347"	"6"	"47"	"4"	"1"	"1"	"4"	"6"	"7"	"4"	"8"	"7"	"11"	"516"	"0"	"516"	""
"53"	"45"	"95"	"22"	"417"	"5"	"12"	"1"	"1"	"1"	"1"	"2"	"0"	"3"	"4"	"1"	"2"	"567"	"0"	"567"	""
"54"	"46"	"20"	"8"	"535"	"8"	"50"	"4"	"0"	"2"	"2"	"1"	"2"	"5"	"25"	"3"	"7"	"672"	"0"	"672"	""
"55"	"47"	"31"	"6"	"346"	"5"	"30"	"4"	"2"	"0"	"1"	"2"	"1"	"1"	"6"	"4"	"3"	"442"	"0"	"442"	""
"56"	"48"	"86"	"114"	"163"	"10"	"57"	"6"	"1"	"3"	"2"	"2"	"1"	"2"	"4"	"2"	"4"	"457"	"0"	"457"	""
"57"	"49"	"66"	"10"	"202"	"4"	"76"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"5"	"3"	"372"	"0"	"372"	""
"58"	"50"	"177"	"10"	"166"	"8"	"124"	"14"	"6"	"1"	"3"	"2"	"20"	"5"	"12"	"3"	"19"	"570"	"0"	"570"	""
"59"	"51"	"394"	"14"	"177"	"6"	"21"	"4"	"1"	"3"	"0"	"2"	"9"	"2"	"9"	"6"	"8"	"656"	"0"	"656"	""
"60"	"52"	"79"	"5"	"152"	"2"	"40"	"3"	"7"	"4"	"3"	"3"	"30"	"2"	"2"	"1"	"4"	"337"	"0"	"337"	""
"61"	"53"	"87"	"5"	"113"	"4"	"8"	"8"	"9"	"3"	"1"	"2"	"42"	"3"	"5"	"4"	"6"	"300"	"0"	"300"	""
"62"	"54"	"65"	"23"	"137"	"2"	"19"	"1"	"4"	"0"	"1"	"0"	"47"	"1"	"5"	"7"	"6"	"318"	"0"	"318"	""
"63"	"55"	"9"	"0"	"11"	"4"	"12"	"2"	"22"	"5"	"11"	"10"	"577"	"9"	"4"	"5"	"12"	"693"	"0"	"693"	""
"64"	"56"	"253"	"12"	"89"	"5"	"61"	"7"	"2"	"0"	"4"	"3"	"4"	"6"	"6"	"4"	"9"	"465"	"0"	"465"	""
"65"	"57"	"220"	"5"	"75"	"7"	"81"	"6"	"2"	"2"	"1"	"4"	"7"	"4"	"4"	"3"	"7"	"428"	"0"	"428"	""
"66"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"67"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"69"	"58"	"77"	"2"	"204"	"6"	"90"	"4"	"0"	"0"	"1"	"1"	"5"	"0"	"6"	"3"	"4"	"403"	"0"	"403"	""
"70"	"59"	"231"	"6"	"207"	"3"	"62"	"4"	"3"	"0"	"2"	"3"	"10"	"0"	"7"	"2"	"10"	"550"	"0"	"550"	""
"71"	"60"	"251"	"3"	"39"	"1"	"32"	"2"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"2"	"5"	"342"	"0"	"342"	""
"72"	"61"	"100"	"4"	"22"	"3"	"358"	"6"	"2"	"2"	"1"	"2"	"6"	"2"	"1"	"3"	"3"	"515"	"0"	"515"	""
"73"	"62"	"14"	"14"	"9"	"3"	"477"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"525"	"0"	"525"	""
"74"	"63"	"35"	"12"	"22"	"1"	"175"	"1"	"0"	"0"	"1"	"5"	"4"	"0"	"0"	"3"	"3"	"262"	"0"	"262"	""
"75"	"64"	"22"	"6"	"6"	"6"	"708"	"1"	"2"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"758"	"0"	"758"	""
"76"	"65"	"45"	"4"	"0"	"4"	"638"	"0"	"1"	"0"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"700"	"0"	"700"	""
"77"	"66"	"766"	"2"	"5"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"784"	"0"	"784"	""
"78"	"67"	"63"	"18"	"278"	"8"	"91"	"1"	"3"	"5"	"2"	"3"	"1"	"1"	"8"	"1"	"12"	"495"	"0"	"495"	""
"79"	"68"	"46"	"9"	"125"	"8"	"226"	"5"	"1"	"4"	"4"	"6"	"11"	"2"	"6"	"3"	"9"	"465"	"0"	"465"	""
"80"	"69"	"52"	"8"	"101"	"4"	"325"	"6"	"1"	"1"	"3"	"7"	"4"	"5"	"4"	"0"	"3"	"524"	"0"	"524"	""
"81"	"70"	"207"	"6"	"97"	"5"	"98"	"9"	"2"	"19"	"3"	"5"	"5"	"4"	"7"	"8"	"13"	"488"	"0"	"488"	""
"82"	"71"	"59"	"4"	"78"	"2"	"273"	"7"	"2"	"148"	"2"	"5"	"6"	"1"	"0"	"3"	"3"	"593"	"0"	"593"	""
"83"	"72"	"51"	"3"	"94"	"6"	"539"	"5"	"5"	"46"	"3"	"16"	"10"	"4"	"3"	"6"	"6"	"797"	"0"	"797"	""
"84"	"73"	"35"	"2"	"38"	"0"	"332"	"2"	"1"	"4"	"1"	"4"	"1"	"0"	"1"	"0"	"2"	"423"	"0"	"423"	""
"85"	"74"	"158"	"5"	"40"	"3"	"279"	"4"	"1"	"0"	"3"	"11"	"10"	"3"	"4"	"5"	"7"	"533"	"0"	"533"	""
"86"	"75"	"136"	"9"	"125"	"4"	"307"	"8"	"0"	"7"	"1"	"6"	"7"	"4"	"14"	"5"	"13"	"646"	"0"	"646"	""
"87"	"76"	"264"	"15"	"207"	"5"	"40"	"6"	"2"	"0"	"1"	"3"	"9"	"5"	"11"	"3"	"13"	"584"	"0"	"584"	""
"88"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"89"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"91"	"77"	"183"	"6"	"138"	"2"	"285"	"9"	"4"	"5"	"4"	"1"	"5"	"4"	"1"	"9"	"8"	"664"	"0"	"664"	""
"92"	"78"	"146"	"3"	"250"	"11"	"136"	"5"	"5"	"6"	"4"	"3"	"4"	"2"	"9"	"2"	"14"	"600"	"0"	"600"	""
"93"	"79"	"92"	"8"	"133"	"10"	"121"	"4"	"2"	"3"	"1"	"10"	"10"	"3"	"7"	"9"	"14"	"427"	"0"	"427"	""
"94"	"80"	"114"	"6"	"379"	"10"	"107"	"9"	"4"	"2"	"6"	"9"	"7"	"5"	"11"	"13"	"17"	"699"	"0"	"699"	""
"95"	"81"	"87"	"0"	"86"	"4"	"280"	"2"	"0"	"0"	"0"	"5"	"1"	"1"	"0"	"1"	"0"	"467"	"0"	"467"	""
"96"	"82"	"38"	"5"	"176"	"0"	"61"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"285"	"0"	"285"	""
"97"	"83"	"50"	"4"	"187"	"5"	"10"	"6"	"3"	"1"	"3"	"1"	"1"	"1"	"4"	"1"	"3"	"280"	"0"	"280"	""
"98"	"84"	"87"	"6"	"538"	"12"	"44"	"10"	"2"	"2"	"6"	"1"	"5"	"3"	"16"	"1"	"5"	"738"	"0"	"738"	""
"99"	"85"	"27"	"3"	"268"	"5"	"107"	"4"	"4"	"0"	"5"	"6"	"4"	"7"	"10"	"1"	"6"	"457"	"0"	"457"	""
"100"	"86"	"94"	"34"	"168"	"2"	"102"	"3"	"3"	"0"	"8"	"2"	"2"	"0"	"4"	"2"	"5"	"429"	"0"	"429"	""
"101"	"87"	"142"	"5"	"55"	"0"	"21"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"234"	"0"	"234"	""
"102"	"88"	"203"	"12"	"329"	"8"	"96"	"3"	"1"	"1"	"0"	"4"	"3"	"2"	"4"	"4"	"4"	"674"	"0"	"674"	""
"103"	"89"	"148"	"13"	"503"	"9"	"37"	"12"	"4"	"4"	"5"	"1"	"1"	"2"	"6"	"6"	"10"	"761"	"0"	"761"	""
"104"	"90"	"53"	"7"	"142"	"4"	"358"	"5"	"3"	"1"	"5"	"5"	"2"	"11"	"7"	"12"	"8"	"623"	"0"	"623"	""
"105"	"91"	"95"	"8"	"174"	"17"	"319"	"17"	"4"	"6"	"7"	"8"	"9"	"11"	"8"	"17"	"10"	"710"	"0"	"710"	""
"106"	"92"	"94"	"15"	"208"	"4"	"310"	"3"	"2"	"3"	"4"	"8"	"7"	"6"	"5"	"6"	"12"	"687"	"0"	"687"	""
"107"	"93"	"82"	"8"	"270"	"17"	"281"	"9"	"1"	"6"	"5"	"14"	"7"	"4"	"7"	"11"	"14"	"736"	"0"	"736"	""
"108"	"94"	"50"	"8"	"81"	"1"	"101"	"8"	"2"	"2"	"1"	"1"	"2"	"1"	"0"	"3"	"3"	"264"	"0"	"264"	""
"109"	"95"	"143"	"5"	"51"	"4"	"312"	"11"	"23"	"2"	"1"	"6"	"8"	"4"	"6"	"17"	"7"	"600"	"0"	"600"	""
"110"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"111"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"113"	"96"	"82"	"4"	"49"	"3"	"217"	"1"	"5"	"1"	"0"	"4"	"7"	"1"	"1"	"5"	"5"	"385"	"0"	"385"	""
"114"	"97"	"78"	"4"	"31"	"3"	"250"	"5"	"7"	"2"	"1"	"6"	"9"	"4"	"4"	"6"	"11"	"421"	"0"	"421"	""
"115"	"98"	"73"	"2"	"42"	"5"	"372"	"13"	"8"	"2"	"1"	"9"	"8"	"1"	"3"	"8"	"20"	"567"	"0"	"567"	""
"116"	"99"	"134"	"13"	"366"	"9"	"125"	"20"	"4"	"8"	"11"	"6"	"8"	"10"	"18"	"13"	"20"	"765"	"0"	"765"	""
"117"	"100"	"115"	"6"	"233"	"2"	"117"	"8"	"3"	"3"	"6"	"6"	"4"	"2"	"5"	"2"	"4"	"516"	"0"	"516"	""
"118"	"101"	"203"	"6"	"131"	"5"	"25"	"2"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"382"	"0"	"382"	""
"119"	"102"	"281"	"11"	"397"	"6"	"49"	"5"	"0"	"1"	"3"	"1"	"2"	"4"	"10"	"3"	"11"	"784"	"0"	"784"	""
"120"	"103"	"105"	"7"	"443"	"23"	"180"	"6"	"4"	"5"	"9"	"7"	"4"	"7"	"6"	"2"	"17"	"825"	"0"	"825"	""
"121"	"104"	"261"	"7"	"360"	"6"	"96"	"11"	"6"	"5"	"2"	"1"	"2"	"6"	"7"	"11"	"22"	"803"	"0"	"803"	""
"122"	"105"	"92"	"4"	"177"	"4"	"9"	"4"	"0"	"0"	"1"	"1"	"5"	"1"	"2"	"1"	"6"	"307"	"0"	"307"	""
"123"	"106"	"61"	"12"	"249"	"18"	"141"	"5"	"3"	"4"	"7"	"8"	"8"	"8"	"22"	"16"	"10"	"572"	"0"	"572"	""
"124"	"107"	"61"	"13"	"181"	"19"	"188"	"5"	"6"	"4"	"2"	"7"	"11"	"8"	"18"	"3"	"14"	"540"	"0"	"540"	""
"125"	"108"	"23"	"5"	"210"	"9"	"179"	"9"	"3"	"2"	"0"	"4"	"1"	"1"	"4"	"2"	"3"	"455"	"0"	"455"	""
"126"	"109"	"99"	"23"	"193"	"18"	"97"	"6"	"3"	"3"	"3"	"8"	"7"	"7"	"13"	"8"	"17"	"505"	"0"	"505"	""
"127"	"110"	"79"	"6"	"241"	"6"	"150"	"5"	"7"	"2"	"7"	"6"	"12"	"8"	"17"	"8"	"13"	"567"	"0"	"567"	""
"128"	"111"	"143"	"9"	"256"	"11"	"139"	"11"	"3"	"2"	"3"	"3"	"1"	"3"	"2"	"3"	"7"	"596"	"0"	"596"	""
"129"	"112"	"5"	"0"	"6"	"2"	"520"	"4"	"0"	"2"	"1"	"5"	"6"	"1"	"2"	"2"	"1"	"557"	"0"	"557"	""
"130"	"113"	"15"	"3"	"3"	"1"	"587"	"5"	"1"	"0"	"4"	"3"	"3"	"1"	"0"	"1"	"3"	"630"	"0"	"630"	""
"131"	"114"	"10"	"1"	"1"	"1"	"367"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"3"	"388"	"0"	"388"	""
"132"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"133"	""	"AJIT KUMAR JHA"	"KAMALESH KUMAR SINGH"	"PRATIMA DEVI"	"SHATRUGHNA SAHU"	"SHARFUDDIN"	"GAGANDEO RAM"	"JAY PRAKASH SHARMA"	"MD. ZULFAQAR ANWAR"	"MD. NASRUDDIN ANSARI"	"RAJIV KUMAR SINGH"	"RAJESH KUMAR SINGH"	"SANJAY KUMAR SINGH"	"SANJAY PRASAD"	"SURESH KUMAR SINGH"	"MD. HABIBULAH"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"135"	"115"	"167"	"13"	"219"	"3"	"284"	"6"	"0"	"0"	"1"	"4"	"21"	"2"	"2"	"1"	"4"	"727"	"0"	"727"	""
"136"	"116"	"382"	"6"	"12"	"4"	"194"	"4"	"0"	"1"	"2"	"3"	"8"	"5"	"0"	"6"	"12"	"639"	"0"	"639"	""
"137"	"117"	"60"	"13"	"319"	"4"	"180"	"8"	"2"	"1"	"1"	"8"	"7"	"10"	"6"	"7"	"4"	"630"	"0"	"630"	""
"138"	"118"	"83"	"93"	"271"	"3"	"54"	"3"	"5"	"5"	"5"	"7"	"16"	"12"	"21"	"23"	"28"	"629"	"0"	"629"	""
"139"	"119"	"125"	"6"	"229"	"9"	"163"	"7"	"2"	"4"	"4"	"1"	"6"	"6"	"9"	"4"	"9"	"584"	"0"	"584"	""
"140"	"120"	"31"	"2"	"52"	"3"	"55"	"3"	"2"	"1"	"3"	"2"	"0"	"1"	"0"	"2"	"6"	"163"	"0"	"163"	""
"141"	"121"	"71"	"7"	"36"	"6"	"344"	"1"	"2"	"2"	"1"	"3"	"3"	"0"	"1"	"1"	"4"	"482"	"0"	"482"	""
"142"	"122"	"39"	"1"	"102"	"9"	"362"	"2"	"1"	"11"	"2"	"0"	"6"	"0"	"9"	"5"	"8"	"557"	"0"	"557"	""
"143"	"123"	"137"	"4"	"16"	"3"	"419"	"3"	"0"	"13"	"1"	"10"	"3"	"1"	"2"	"1"	"11"	"624"	"0"	"624"	""
"144"	"124"	"9"	"2"	"30"	"3"	"274"	"2"	"3"	"2"	"1"	"6"	"7"	"0"	"0"	"0"	"0"	"339"	"0"	"339"	""
"145"	"125"	"99"	"8"	"190"	"10"	"269"	"3"	"4"	"0"	"4"	"7"	"13"	"6"	"8"	"5"	"17"	"643"	"0"	"643"	""
"146"	"126"	"161"	"16"	"184"	"4"	"161"	"1"	"1"	"5"	"3"	"1"	"8"	"1"	"12"	"2"	"14"	"574"	"0"	"574"	""
"147"	"127"	"11"	"4"	"568"	"2"	"48"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"638"	"0"	"638"	""
"148"	"128"	"2"	"0"	"490"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"507"	"0"	"507"	""
"149"	"129"	"66"	"7"	"169"	"8"	"211"	"8"	"7"	"1"	"2"	"5"	"6"	"3"	"2"	"2"	"7"	"504"	"0"	"504"	""
"150"	"130"	"229"	"10"	"264"	"8"	"149"	"3"	"3"	"1"	"4"	"3"	"3"	"1"	"4"	"3"	"7"	"692"	"0"	"692"	""
"151"	"131"	"120"	"4"	"149"	"2"	"45"	"2"	"2"	"2"	"0"	"1"	"1"	"0"	"6"	"2"	"11"	"347"	"0"	"347"	""
