"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"16"	"10"	""	"34"	"4"	"150"	"9"	"3"	"7"	"4"	"5"	"1"	"8"	"225"
"17"	"11"	""	"32"	"4"	"158"	"11"	"3"	"3"	"2"	"14"	"3"	"7"	"237"
"18"	"12"	""	"14"	"1"	"464"	"7"	"3"	"1"	"2"	"1"	"4"	"0"	"497"
"19"	"13"	""	"178"	"11"	"101"	"15"	"8"	"4"	"10"	"7"	"27"	"21"	"382"
"20"	"14"	""	"51"	"8"	"94"	"7"	"3"	"7"	"4"	"4"	"8"	"9"	"195"
"21"	"15"	""	"74"	"13"	"105"	"6"	"0"	"4"	"1"	"6"	"5"	"4"	"218"
"22"	"16"	""	"181"	"11"	"170"	"28"	"8"	"9"	"17"	"17"	"25"	"45"	"511"
"23"	"17"	""	"219"	"12"	"121"	"12"	"5"	"11"	"5"	"9"	"18"	"13"	"425"
"24"	"18"	""	"255"	"9"	"88"	"15"	"1"	"6"	"15"	"11"	"18"	"15"	"433"
"25"	"19"	""	"308"	"9"	"145"	"37"	"4"	"4"	"6"	"0"	"15"	"3"	"531"
"26"	"20"	""	"238"	"10"	"136"	"20"	"8"	"13"	"25"	"20"	"20"	"27"	"517"
"27"	"21"	""	"154"	"11"	"120"	"8"	"4"	"8"	"12"	"8"	"23"	"16"	"364"
"28"	"22"	""	"193"	"13"	"255"	"19"	"5"	"8"	"9"	"15"	"10"	"18"	"545"
"29"	"23"	""	"47"	"5"	"216"	"11"	"2"	"3"	"2"	"4"	"6"	"10"	"306"
"30"	"24"	""	"68"	"3"	"128"	"13"	"6"	"3"	"8"	"10"	"9"	"19"	"267"
"31"	"25"	""	"157"	"5"	"128"	"9"	"4"	"2"	"7"	"10"	"14"	"18"	"354"
"32"	"25"	"A"	"156"	"12"	"166"	"26"	"5"	"9"	"17"	"6"	"14"	"15"	"426"
"33"	"26"	""	"100"	"6"	"160"	"10"	"5"	"1"	"4"	"4"	"6"	"6"	"302"
"34"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"36"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"37"	"27"	""	"145"	"12"	"128"	"20"	"11"	"6"	"24"	"20"	"19"	"58"	"443"
"38"	"28"	""	"159"	"10"	"134"	"11"	"3"	"3"	"10"	"13"	"9"	"16"	"368"
"39"	"29"	""	"260"	"4"	"199"	"10"	"4"	"4"	"5"	"7"	"5"	"5"	"503"
"40"	"30"	""	"73"	"6"	"373"	"24"	"4"	"4"	"1"	"4"	"10"	"4"	"503"
"41"	"31"	""	"13"	"1"	"101"	"8"	"2"	"2"	"1"	"2"	"2"	"8"	"140"
"42"	"32"	""	"43"	"6"	"234"	"6"	"2"	"0"	"3"	"3"	"1"	"0"	"298"
"43"	"33"	""	"104"	"8"	"223"	"15"	"5"	"4"	"4"	"7"	"10"	"15"	"395"
"44"	"34"	""	"203"	"9"	"35"	"14"	"1"	"1"	"4"	"4"	"9"	"10"	"290"
"45"	"35"	""	"103"	"5"	"79"	"1"	"4"	"5"	"15"	"14"	"36"	"12"	"274"
"46"	"36"	""	"208"	"7"	"102"	"28"	"2"	"4"	"10"	"34"	"6"	"11"	"412"
"47"	"37"	""	"138"	"16"	"191"	"10"	"7"	"2"	"10"	"4"	"5"	"8"	"391"
"48"	"38"	""	"302"	"15"	"107"	"8"	"7"	"9"	"13"	"11"	"53"	"14"	"539"
"49"	"39"	""	"238"	"14"	"176"	"21"	"5"	"11"	"19"	"9"	"19"	"29"	"541"
"50"	"40"	""	"157"	"16"	"178"	"21"	"5"	"11"	"10"	"4"	"7"	"5"	"414"
"51"	"41"	""	"424"	"18"	"316"	"11"	"3"	"16"	"15"	"5"	"14"	"8"	"830"
"52"	"42"	""	"139"	"12"	"82"	"9"	"3"	"6"	"15"	"82"	"18"	"25"	"391"
"53"	"43"	""	"220"	"8"	"117"	"9"	"2"	"0"	"13"	"6"	"4"	"7"	"386"
"54"	"44"	""	"149"	"5"	"140"	"9"	"2"	"6"	"5"	"18"	"9"	"1"	"344"
"55"	"45"	""	"163"	"7"	"104"	"4"	"0"	"5"	"7"	"4"	"9"	"10"	"313"
"56"	"46"	""	"216"	"8"	"219"	"8"	"4"	"6"	"7"	"9"	"17"	"10"	"504"
"57"	"47"	""	"145"	"3"	"86"	"1"	"1"	"1"	"6"	"7"	"7"	"12"	"269"
"58"	"48"	""	"38"	"3"	"186"	"14"	"1"	"3"	"2"	"5"	"1"	"5"	"258"
"59"	"49"	""	"131"	"8"	"131"	"13"	"3"	"8"	"9"	"4"	"4"	"11"	"322"
"60"	"50"	""	"236"	"11"	"20"	"3"	"3"	"4"	"10"	"1"	"9"	"18"	"315"
"61"	"51"	""	"192"	"4"	"67"	"3"	"2"	"1"	"9"	"1"	"9"	"4"	"292"
"62"	"52"	""	"65"	"4"	"105"	"13"	"0"	"4"	"3"	"2"	"1"	"9"	"206"
"63"	"53"	""	"189"	"13"	"184"	"20"	"10"	"3"	"15"	"16"	"15"	"28"	"493"
"64"	"54"	""	"127"	"3"	"89"	"4"	"2"	"2"	"4"	"15"	"6"	"10"	"262"
"65"	"55"	""	"39"	"20"	"147"	"22"	"8"	"7"	"9"	"10"	"9"	"14"	"285"
"66"	"56"	""	"73"	"3"	"40"	"7"	"2"	"0"	"1"	"1"	"7"	"4"	"138"
"67"	"57"	""	"178"	"4"	"26"	"3"	"1"	"5"	"4"	"2"	"9"	"18"	"250"
"68"	"58"	""	"71"	"9"	"108"	"16"	"5"	"3"	"7"	"4"	"10"	"10"	"243"
"69"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"70"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"71"	"59"	""	"75"	"11"	"58"	"5"	"6"	"4"	"11"	"13"	"10"	"12"	"205"
"72"	"60"	""	"194"	"10"	"129"	"17"	"3"	"9"	"6"	"3"	"5"	"8"	"384"
"73"	"61"	""	"90"	"9"	"123"	"14"	"0"	"9"	"5"	"5"	"9"	"15"	"279"
"74"	"62"	""	"235"	"12"	"301"	"7"	"2"	"8"	"6"	"3"	"11"	"6"	"591"
"75"	"63"	""	"126"	"12"	"197"	"12"	"3"	"1"	"4"	"5"	"5"	"4"	"369"
"76"	"64"	""	"74"	"10"	"108"	"6"	"6"	"6"	"10"	"9"	"7"	"17"	"253"
"77"	"65"	""	"290"	"21"	"80"	"12"	"5"	"10"	"18"	"6"	"15"	"18"	"475"
"78"	"66"	""	"306"	"21"	"71"	"14"	"3"	"9"	"13"	"9"	"11"	"22"	"479"
"79"	"67"	""	"290"	"16"	"207"	"12"	"3"	"12"	"11"	"16"	"12"	"13"	"592"
"80"	"68"	""	"184"	"7"	"106"	"16"	"3"	"4"	"22"	"8"	"9"	"20"	"379"
"81"	"69"	""	"201"	"7"	"55"	"6"	"3"	"6"	"5"	"1"	"7"	"9"	"300"
"82"	"70"	""	"126"	"2"	"18"	"0"	"1"	"0"	"5"	"2"	"9"	"8"	"171"
"83"	"71"	""	"238"	"8"	"77"	"7"	"4"	"3"	"6"	"3"	"7"	"9"	"362"
"84"	"72"	""	"177"	"8"	"17"	"9"	"1"	"2"	"5"	"1"	"6"	"8"	"234"
"85"	"73"	""	"200"	"10"	"98"	"10"	"6"	"6"	"13"	"6"	"13"	"18"	"380"
"86"	"74"	""	"153"	"12"	"89"	"6"	"7"	"4"	"17"	"7"	"12"	"10"	"317"
"87"	"75"	""	"262"	"7"	"172"	"21"	"12"	"5"	"10"	"7"	"11"	"9"	"516"
"88"	"76"	""	"156"	"7"	"181"	"21"	"7"	"5"	"8"	"9"	"7"	"4"	"405"
"89"	"77"	""	"135"	"22"	"334"	"26"	"11"	"7"	"8"	"21"	"14"	"19"	"597"
"90"	"78"	""	"48"	"3"	"221"	"18"	"5"	"2"	"6"	"8"	"4"	"13"	"328"
"91"	"79"	""	"158"	"14"	"220"	"16"	"10"	"9"	"18"	"24"	"24"	"57"	"550"
"92"	"80"	""	"144"	"21"	"313"	"36"	"18"	"8"	"12"	"9"	"20"	"19"	"600"
"93"	"81"	""	"236"	"6"	"78"	"16"	"2"	"3"	"8"	"8"	"11"	"9"	"377"
"94"	"81"	"A"	"75"	"3"	"120"	"24"	"1"	"6"	"8"	"7"	"10"	"12"	"266"
"95"	"82"	""	"328"	"9"	"183"	"14"	"2"	"3"	"5"	"1"	"4"	"3"	"552"
"96"	"83"	""	"131"	"8"	"393"	"30"	"7"	"2"	"4"	"6"	"7"	"10"	"598"
"97"	"84"	""	"83"	"13"	"387"	"33"	"18"	"8"	"5"	"1"	"1"	"8"	"557"
"98"	"85"	""	"294"	"12"	"205"	"71"	"5"	"15"	"12"	"9"	"38"	"13"	"674"
"99"	"86"	""	"228"	"9"	"188"	"16"	"1"	"3"	"14"	"5"	"21"	"23"	"508"
"100"	"87"	""	"228"	"9"	"242"	"23"	"4"	"8"	"10"	"8"	"10"	"14"	"556"
"101"	"88"	""	"74"	"11"	"275"	"17"	"11"	"3"	"2"	"4"	"9"	"7"	"413"
"102"	"89"	""	"96"	"6"	"166"	"25"	"3"	"3"	"6"	"8"	"6"	"10"	"329"
"103"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"104"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"105"	"90"	""	"206"	"4"	"39"	"8"	"3"	"3"	"4"	"4"	"23"	"7"	"301"
"106"	"91"	""	"55"	"4"	"113"	"44"	"0"	"1"	"2"	"1"	"7"	"2"	"229"
"107"	"92"	""	"271"	"11"	"260"	"10"	"2"	"6"	"15"	"7"	"20"	"16"	"618"
"108"	"93"	""	"235"	"8"	"360"	"21"	"9"	"2"	"9"	"8"	"32"	"6"	"690"
"109"	"94"	""	"188"	"6"	"260"	"28"	"6"	"4"	"6"	"13"	"12"	"8"	"531"
"110"	"95"	""	"264"	"7"	"169"	"14"	"6"	"2"	"18"	"2"	"8"	"26"	"516"
"111"	"96"	""	"250"	"13"	"155"	"18"	"7"	"6"	"16"	"15"	"17"	"33"	"530"
"112"	"97"	""	"130"	"2"	"121"	"8"	"3"	"0"	"19"	"6"	"6"	"5"	"300"
"113"	"98"	""	"168"	"2"	"85"	"12"	"1"	"5"	"11"	"6"	"15"	"14"	"319"
"114"	"99"	""	"72"	"10"	"90"	"13"	"2"	"8"	"6"	"1"	"23"	"3"	"228"
"115"	"100"	""	"72"	"6"	"103"	"9"	"3"	"16"	"2"	"4"	"5"	"2"	"222"
"116"	"101"	""	"172"	"7"	"175"	"12"	"6"	"5"	"10"	"3"	"10"	"6"	"406"
"117"	"102"	""	"108"	"7"	"99"	"15"	"6"	"4"	"5"	"3"	"5"	"6"	"258"
"118"	"103"	""	"203"	"19"	"190"	"32"	"9"	"10"	"14"	"7"	"25"	"18"	"527"
"119"	"104"	""	"42"	"1"	"136"	"10"	"4"	"3"	"1"	"5"	"2"	"2"	"206"
"120"	"105"	""	"216"	"7"	"138"	"9"	"2"	"4"	"11"	"5"	"14"	"18"	"424"
"121"	"106"	""	"68"	"11"	"215"	"10"	"7"	"6"	"7"	"5"	"5"	"9"	"343"
"122"	"107"	""	"81"	"4"	"159"	"20"	"0"	"3"	"6"	"4"	"6"	"6"	"289"
"123"	"108"	""	"243"	"12"	"121"	"40"	"4"	"7"	"10"	"5"	"29"	"7"	"478"
"124"	"109"	""	"138"	"10"	"250"	"14"	"2"	"5"	"5"	"5"	"21"	"7"	"457"
"125"	"110"	""	"322"	"9"	"113"	"15"	"2"	"4"	"9"	"1"	"15"	"8"	"498"
"126"	"111"	""	"207"	"14"	"352"	"53"	"6"	"7"	"10"	"14"	"7"	"11"	"681"
"127"	"112"	""	"299"	"3"	"91"	"4"	"2"	"2"	"6"	"1"	"6"	"2"	"416"
"128"	"113"	""	"423"	"19"	"103"	"14"	"5"	"7"	"18"	"5"	"10"	"23"	"627"
"129"	"114"	""	"77"	"8"	"99"	"57"	"5"	"5"	"14"	"10"	"16"	"25"	"316"
"130"	"115"	""	"171"	"10"	"244"	"22"	"4"	"5"	"10"	"2"	"11"	"6"	"485"
"131"	"116"	""	"339"	"20"	"221"	"46"	"5"	"14"	"13"	"9"	"24"	"21"	"712"
"132"	"117"	""	"174"	"6"	"63"	"73"	"5"	"3"	"11"	"10"	"14"	"29"	"388"
"133"	"118"	""	"21"	"3"	"149"	"165"	"3"	"3"	"2"	"10"	"3"	"9"	"368"
"134"	"119"	""	"78"	"17"	"177"	"16"	"3"	"4"	"12"	"8"	"10"	"21"	"346"
"135"	"120"	""	"314"	"10"	"224"	"21"	"7"	"18"	"9"	"9"	"7"	"17"	"636"
"136"	"121"	""	"99"	"12"	"168"	"15"	"7"	"5"	"12"	"12"	"18"	"9"	"357"
"137"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"138"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"139"	"122"	""	"64"	"5"	"125"	"6"	"7"	"8"	"6"	"6"	"11"	"31"	"269"
"140"	"123"	""	"47"	"2"	"473"	"4"	"5"	"2"	"3"	"5"	"8"	"7"	"556"
"141"	"124"	""	"14"	"1"	"119"	"8"	"2"	"0"	"3"	"2"	"3"	"3"	"155"
"142"	"125"	""	"124"	"11"	"114"	"10"	"3"	"9"	"21"	"15"	"25"	"40"	"372"
"143"	"126"	""	"88"	"7"	"94"	"11"	"4"	"7"	"8"	"3"	"12"	"13"	"247"
"144"	"127"	""	"84"	"16"	"200"	"59"	"14"	"9"	"22"	"19"	"35"	"45"	"503"
"145"	"128"	""	"113"	"6"	"154"	"25"	"3"	"11"	"5"	"4"	"3"	"6"	"330"
"146"	"129"	""	"139"	"18"	"145"	"46"	"12"	"45"	"15"	"16"	"21"	"25"	"482"
"147"	"130"	""	"234"	"5"	"26"	"85"	"5"	"57"	"29"	"8"	"35"	"42"	"526"
"148"	"131"	""	"258"	"16"	"83"	"9"	"3"	"9"	"3"	"3"	"10"	"1"	"395"
"149"	"132"	""	"168"	"9"	"162"	"18"	"2"	"10"	"13"	"7"	"21"	"17"	"427"
"150"	"133"	""	"225"	"9"	"130"	"23"	"11"	"24"	"39"	"23"	"26"	"39"	"549"
"151"	"134"	""	"21"	"4"	"104"	"9"	"5"	"7"	"8"	"15"	"6"	"11"	"190"
"152"	"135"	""	"387"	"37"	"184"	"21"	"9"	"15"	"8"	"12"	"22"	"16"	"711"
"153"	"136"	""	"88"	"12"	"215"	"27"	"11"	"8"	"20"	"10"	"20"	"29"	"440"
"154"	"137"	""	"185"	"10"	"117"	"52"	"16"	"18"	"22"	"8"	"32"	"33"	"493"
"155"	"138"	""	"192"	"14"	"284"	"29"	"19"	"22"	"18"	"16"	"35"	"40"	"669"
"156"	"139"	""	"161"	"8"	"81"	"29"	"11"	"9"	"32"	"9"	"67"	"24"	"431"
"157"	"140"	""	"91"	"10"	"199"	"15"	"3"	"17"	"8"	"13"	"23"	"5"	"384"
"158"	"141"	""	"80"	"8"	"145"	"6"	"1"	"3"	"6"	"5"	"5"	"9"	"268"
"159"	"142"	""	"245"	"8"	"192"	"17"	"5"	"3"	"8"	"4"	"21"	"5"	"508"
"160"	"143"	""	"168"	"15"	"160"	"9"	"2"	"2"	"9"	"3"	"10"	"1"	"379"
"161"	"144"	""	"266"	"14"	"141"	"13"	"9"	"6"	"11"	"4"	"14"	"4"	"482"
"162"	"145"	""	"202"	"18"	"67"	"49"	"5"	"9"	"19"	"5"	"35"	"52"	"461"
"163"	"146"	""	"109"	"4"	"78"	"4"	"6"	"2"	"6"	"2"	"3"	"12"	"226"
"164"	"147"	""	"72"	"8"	"184"	"10"	"3"	"16"	"4"	"6"	"14"	"16"	"333"
"165"	"148"	""	"269"	"19"	"164"	"21"	"3"	"9"	"18"	"8"	"24"	"14"	"549"
"166"	"149"	""	"117"	"5"	"231"	"19"	"3"	"1"	"4"	"3"	"26"	"16"	"425"
"167"	"150"	""	"218"	"4"	"115"	"5"	"0"	"4"	"6"	"6"	"6"	"25"	"389"
"168"	"151"	""	"71"	"7"	"156"	"14"	"4"	"1"	"7"	"6"	"9"	"17"	"292"
"169"	"152"	""	"164"	"2"	"142"	"14"	"5"	"3"	"7"	"8"	"4"	"17"	"366"
"170"	"153"	""	"186"	"0"	"149"	"7"	"3"	"6"	"12"	"4"	"11"	"7"	"385"
"171"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"172"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"173"	"154"	""	"305"	"7"	"247"	"10"	"1"	"9"	"7"	"2"	"22"	"11"	"621"
"174"	"155"	""	"171"	"8"	"170"	"6"	"2"	"2"	"7"	"4"	"30"	"14"	"414"
"175"	"156"	""	"163"	"2"	"182"	"11"	"6"	"1"	"14"	"2"	"11"	"10"	"402"
"176"	"157"	""	"160"	"12"	"194"	"15"	"5"	"6"	"11"	"16"	"15"	"20"	"454"
"177"	"158"	""	"119"	"3"	"134"	"7"	"5"	"6"	"17"	"9"	"14"	"21"	"335"
"178"	"159"	""	"55"	"8"	"313"	"26"	"6"	"7"	"5"	"7"	"13"	"18"	"458"
"179"	"160"	""	"58"	"6"	"137"	"11"	"3"	"1"	"2"	"7"	"1"	"13"	"239"
"180"	"161"	""	"104"	"10"	"160"	"15"	"2"	"2"	"6"	"6"	"19"	"6"	"330"
"181"	"162"	""	"186"	"5"	"98"	"13"	"12"	"6"	"12"	"1"	"19"	"12"	"364"
"182"	"163"	""	"31"	"1"	"169"	"17"	"2"	"8"	"8"	"4"	"5"	"12"	"257"
"183"	"164"	""	"137"	"20"	"151"	"20"	"6"	"6"	"11"	"3"	"16"	"9"	"379"
"184"	"165"	""	"134"	"12"	"236"	"25"	"3"	"2"	"4"	"3"	"8"	"8"	"435"
"185"	"166"	""	"49"	"8"	"61"	"13"	"4"	"2"	"6"	"6"	"11"	"5"	"165"
"186"	"167"	""	"374"	"10"	"120"	"22"	"2"	"8"	"8"	"5"	"18"	"15"	"582"
"187"	"168"	""	"72"	"10"	"267"	"19"	"3"	"3"	"9"	"2"	"8"	"11"	"404"
"188"	"169"	""	"207"	"11"	"214"	"19"	"10"	"9"	"12"	"13"	"24"	"24"	"543"
"189"	"170"	""	"207"	"9"	"137"	"20"	"4"	"10"	"7"	"8"	"11"	"13"	"426"
"190"	"171"	""	"315"	"6"	"80"	"7"	"4"	"8"	"8"	"15"	"14"	"39"	"496"
"191"	"172"	""	"26"	"7"	"187"	"35"	"6"	"2"	"4"	"5"	"5"	"8"	"285"
"192"	"173"	""	"307"	"12"	"159"	"9"	"7"	"19"	"17"	"9"	"22"	"19"	"580"
"193"	"174"	""	"188"	"4"	"58"	"3"	"1"	"0"	"6"	"8"	"8"	"0"	"276"
"194"	"175"	""	"118"	"4"	"122"	"22"	"2"	"4"	"12"	"3"	"13"	"22"	"322"
"195"	"176"	""	"166"	"3"	"70"	"5"	"5"	"2"	"7"	"3"	"8"	"10"	"279"
"196"	"177"	""	"186"	"14"	"100"	"79"	"9"	"6"	"7"	"8"	"16"	"10"	"435"
"197"	"178"	""	"229"	"9"	"110"	"11"	"3"	"5"	"5"	"4"	"3"	"6"	"385"
"198"	"179"	""	"121"	"10"	"59"	"10"	"1"	"1"	"5"	"6"	"9"	"5"	"227"
"199"	"180"	""	"147"	"7"	"138"	"16"	"5"	"7"	"9"	"9"	"28"	"22"	"388"
"200"	"181"	""	"77"	"16"	"181"	"13"	"1"	"3"	"5"	"3"	"4"	"0"	"303"
"201"	"182"	""	"120"	"12"	"115"	"17"	"4"	"5"	"2"	"7"	"12"	"7"	"301"
"202"	"183"	""	"144"	"10"	"56"	"14"	"1"	"0"	"5"	"2"	"9"	"9"	"250"
"203"	"184"	""	"235"	"20"	"185"	"24"	"5"	"13"	"10"	"16"	"13"	"27"	"548"
"204"	"185"	""	"72"	"13"	"214"	"16"	"7"	"16"	"16"	"8"	"11"	"8"	"381"
"205"	"BOOTH NO"	""	"UDAY NARAYAN CHOUDHARY"	"KANHAI SINGH BHOGTA"	"RAUSHAN KUMAR"	"SUJEET MANJHI"	"SUDHIR KUMAR BHARTI"	"BAGESHWA RI PASWAN"	"RAGHUNI RAM SHASTRI"	"KRISHNA DAS"	"FAKIR CHAND DAS"	"RAM KHELAWAN CHOUDHARY"	"Total Valid Votes"
"206"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"207"	"186"	""	"82"	"10"	"175"	"8"	"3"	"0"	"1"	"1"	"1"	"1"	"282"
"208"	"187"	""	"4"	"7"	"158"	"5"	"1"	"4"	"0"	"3"	"0"	"4"	"186"
"209"	"188"	""	"64"	"5"	"226"	"11"	"7"	"2"	"2"	"8"	"3"	"4"	"332"
"210"	"189"	""	"44"	"3"	"141"	"6"	"1"	"3"	"7"	"3"	"4"	"12"	"224"
"211"	"190"	""	"63"	"8"	"91"	"5"	"2"	"2"	"7"	"6"	"5"	"2"	"191"
"212"	"191"	""	"61"	"16"	"85"	"8"	"5"	"3"	"6"	"4"	"7"	"1"	"196"
"213"	"192"	""	"39"	"5"	"164"	"12"	"3"	"5"	"1"	"6"	"4"	"3"	"242"
"214"	"193"	""	"100"	"8"	"134"	"38"	"6"	"3"	"5"	"5"	"4"	"11"	"314"
"215"	"194"	""	"184"	"9"	"86"	"3"	"3"	"8"	"5"	"1"	"16"	"11"	"326"
"216"	"195"	""	"171"	"7"	"138"	"8"	"4"	"7"	"11"	"5"	"18"	"10"	"379"
"217"	"196"	""	"58"	"4"	"145"	"44"	"4"	"2"	"2"	"4"	"3"	"8"	"274"
"218"	"197"	""	"35"	"1"	"190"	"14"	"5"	"4"	"8"	"29"	"9"	"9"	"304"
"219"	"198"	""	"85"	"85"	"58"	"4"	"2"	"3"	"6"	"2"	"5"	"7"	"257"
"220"	"199"	""	"128"	"31"	"208"	"4"	"2"	"3"	"2"	"3"	"5"	"4"	"390"
"221"	"200"	""	"60"	"7"	"123"	"7"	"4"	"4"	"4"	"3"	"12"	"9"	"233"
"222"	"201"	""	"116"	"13"	"215"	"17"	"4"	"13"	"16"	"9"	"39"	"30"	"472"
"223"	"202"	""	"124"	"11"	"223"	"13"	"2"	"4"	"12"	"2"	"24"	"20"	"435"
"224"	"203"	""	"247"	"11"	"120"	"26"	"6"	"5"	"10"	"9"	"25"	"27"	"486"
"225"	"204"	""	"119"	"3"	"163"	"12"	"7"	"5"	"10"	"1"	"4"	"4"	"328"
"226"	"205"	""	"160"	"7"	"177"	"5"	"8"	"4"	"7"	"10"	"16"	"10"	"404"
"227"	"206"	""	"310"	"12"	"206"	"20"	"3"	"8"	"5"	"10"	"38"	"10"	"622"
"228"	"207"	""	"76"	"6"	"265"	"13"	"4"	"3"	"3"	"5"	"6"	"2"	"383"
"229"	"208"	""	"324"	"21"	"164"	"20"	"2"	"4"	"7"	"8"	"10"	"23"	"583"
"230"	"209"	""	"40"	"6"	"140"	"8"	"3"	"4"	"3"	"2"	"6"	"5"	"217"
"231"	"210"	""	"116"	"11"	"208"	"14"	"8"	"4"	"8"	"4"	"15"	"3"	"391"
"232"	"210"	"A"	"42"	"2"	"195"	"8"	"2"	"2"	"1"	"2"	"3"	"4"	"261"
"233"	"211"	""	"173"	"18"	"159"	"17"	"4"	"9"	"6"	"8"	"12"	"10"	"416"
"234"	"212"	""	"139"	"10"	"125"	"10"	"3"	"10"	"7"	"8"	"32"	"35"	"379"
"235"	"213"	""	"102"	"9"	"131"	"13"	"4"	"7"	"9"	"5"	"37"	"6"	"323"
"236"	"214"	""	"50"	"5"	"155"	"8"	"1"	"4"	"3"	"8"	"7"	"8"	"249"
"237"	"215"	""	"207"	"8"	"113"	"10"	"13"	"5"	"8"	"1"	"22"	"15"	"402"
