"P.S."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total"
"31"	"28"	"6"	"163"	"8"	"387"	"13"	"2"	"3"	"0"	"2"	"10"	"43"	"12"	"32"	"35"	"716"
"32"	"29"	"5"	"195"	"6"	"271"	"70"	"1"	"2"	"0"	"2"	"2"	"9"	"5"	"10"	"19"	"597"
"33"	"30"	"9"	"177"	"6"	"158"	"11"	"0"	"5"	"1"	"0"	"1"	"10"	"4"	"5"	"8"	"395"
"34"	"31"	"2"	"32"	"0"	"140"	"1"	"0"	"1"	"2"	"0"	"1"	"7"	"1"	"2"	"2"	"191"
"35"	"32"	"59"	"255"	"6"	"33"	"0"	"1"	"1"	"0"	"0"	"0"	"5"	"4"	"11"	"8"	"383"
"36"	"33"	"7"	"236"	"7"	"34"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"4"	"5"	"301"
"37"	"34"	"9"	"212"	"15"	"220"	"2"	"0"	"1"	"1"	"0"	"6"	"14"	"2"	"11"	"18"	"511"
"38"	"35"	"13"	"139"	"5"	"123"	"3"	"0"	"4"	"1"	"2"	"1"	"5"	"4"	"7"	"15"	"322"
"39"	"36"	"19"	"87"	"4"	"130"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"1"	"1"	"4"	"252"
"40"	"37"	"5"	"72"	"3"	"417"	"10"	"2"	"1"	"1"	"2"	"1"	"14"	"9"	"11"	"15"	"563"
"41"	"38"	"2"	"97"	"1"	"255"	"21"	"0"	"0"	"0"	"0"	"3"	"8"	"3"	"6"	"4"	"400"
"42"	"39"	"69"	"141"	"4"	"285"	"6"	"1"	"2"	"0"	"1"	"3"	"6"	"2"	"3"	"5"	"528"
"43"	"40"	"8"	"155"	"4"	"272"	"10"	"1"	"7"	"1"	"2"	"3"	"13"	"1"	"7"	"22"	"506"
"44"	"41"	"30"	"96"	"6"	"331"	"12"	"2"	"3"	"2"	"1"	"5"	"20"	"3"	"15"	"14"	"540"
"45"	"42"	"9"	"58"	"0"	"158"	"2"	"1"	"1"	"1"	"0"	"1"	"11"	"3"	"5"	"11"	"261"
"46"	"43"	"4"	"23"	"2"	"180"	"2"	"0"	"0"	"1"	"1"	"1"	"15"	"2"	"10"	"12"	"253"
"47"	"44"	"6"	"156"	"0"	"176"	"1"	"1"	"2"	"0"	"0"	"1"	"6"	"1"	"5"	"8"	"363"
"48"	"45"	"3"	"24"	"1"	"336"	"9"	"0"	"3"	"0"	"0"	"1"	"18"	"4"	"7"	"10"	"416"
"49"	"46"	"9"	"70"	"3"	"332"	"4"	"2"	"2"	"0"	"0"	"2"	"14"	"4"	"10"	"10"	"462"
"50"	"47"	"1"	"16"	"1"	"148"	"2"	"0"	"0"	"1"	"2"	"0"	"6"	"0"	"2"	"6"	"185"
"51"	"48"	"5"	"318"	"13"	"112"	"4"	"1"	"1"	"1"	"0"	"1"	"6"	"3"	"14"	"9"	"488"
"52"	"49"	"5"	"99"	"3"	"149"	"2"	"0"	"3"	"0"	"0"	"0"	"7"	"3"	"6"	"9"	"286"
"53"	"50"	"17"	"73"	"1"	"194"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"288"
"54"	"51"	"12"	"368"	"6"	"173"	"3"	"0"	"1"	"4"	"3"	"0"	"2"	"0"	"6"	"10"	"588"
"55"	"52"	"1"	"18"	"0"	"227"	"5"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"2"	"6"	"266"
"56"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"57"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"58"	"53"	"6"	"33"	"3"	"405"	"4"	"2"	"3"	"1"	"0"	"0"	"7"	"1"	"5"	"9"	"479"
"59"	"54"	"16"	"343"	"13"	"140"	"5"	"1"	"2"	"2"	"5"	"2"	"19"	"7"	"72"	"36"	"663"
"60"	"55"	"3"	"30"	"2"	"486"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"6"	"10"	"564"
"61"	"56"	"30"	"386"	"2"	"78"	"6"	"1"	"1"	"0"	"3"	"1"	"11"	"3"	"9"	"21"	"552"
"62"	"57"	"37"	"167"	"8"	"194"	"6"	"0"	"1"	"1"	"1"	"2"	"10"	"1"	"6"	"9"	"443"
"63"	"58"	"11"	"207"	"16"	"232"	"5"	"1"	"4"	"1"	"0"	"1"	"26"	"4"	"6"	"20"	"534"
"64"	"59"	"23"	"13"	"2"	"413"	"8"	"2"	"2"	"1"	"0"	"0"	"9"	"0"	"6"	"17"	"496"
"65"	"60"	"6"	"25"	"5"	"369"	"11"	"0"	"7"	"1"	"1"	"4"	"11"	"2"	"7"	"9"	"458"
"66"	"61"	"18"	"181"	"1"	"257"	"2"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"5"	"120"	"591"
"67"	"62"	"6"	"138"	"6"	"67"	"2"	"1"	"0"	"0"	"0"	"1"	"3"	"4"	"14"	"20"	"262"
"68"	"63"	"47"	"272"	"11"	"319"	"10"	"3"	"7"	"2"	"1"	"8"	"32"	"10"	"29"	"38"	"789"
"69"	"64"	"54"	"72"	"3"	"183"	"6"	"2"	"1"	"1"	"1"	"2"	"11"	"2"	"9"	"37"	"384"
"70"	"65"	"5"	"185"	"3"	"263"	"11"	"1"	"4"	"3"	"3"	"3"	"9"	"7"	"12"	"27"	"536"
"71"	"66"	"21"	"205"	"6"	"149"	"15"	"2"	"5"	"1"	"5"	"2"	"19"	"9"	"18"	"38"	"495"
"72"	"67"	"56"	"58"	"2"	"106"	"1"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"2"	"6"	"236"
"73"	"68"	"16"	"92"	"3"	"390"	"13"	"4"	"6"	"1"	"1"	"4"	"17"	"2"	"21"	"14"	"584"
"74"	"69"	"47"	"519"	"18"	"86"	"4"	"1"	"4"	"2"	"3"	"7"	"10"	"4"	"12"	"24"	"741"
"75"	"70"	"8"	"351"	"12"	"24"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"11"	"412"
"76"	"71"	"17"	"205"	"10"	"297"	"10"	"1"	"80"	"7"	"4"	"8"	"8"	"5"	"9"	"17"	"678"
"77"	"72"	"41"	"318"	"21"	"159"	"7"	"4"	"10"	"4"	"1"	"3"	"9"	"3"	"11"	"21"	"612"
"78"	"73"	"16"	"173"	"8"	"268"	"1"	"0"	"0"	"1"	"1"	"1"	"14"	"3"	"10"	"15"	"511"
"79"	"73A"	"125"	"174"	"3"	"125"	"5"	"0"	"2"	"1"	"1"	"1"	"5"	"0"	"3"	"6"	"451"
"80"	"74"	"29"	"125"	"3"	"272"	"22"	"1"	"0"	"0"	"0"	"2"	"15"	"0"	"5"	"13"	"487"
"81"	"75"	"6"	"224"	"4"	"163"	"3"	"3"	"2"	"0"	"0"	"3"	"37"	"1"	"10"	"20"	"476"
"82"	"76"	"7"	"29"	"2"	"469"	"10"	"1"	"6"	"2"	"1"	"2"	"16"	"3"	"3"	"7"	"558"
"83"	"77"	"4"	"402"	"5"	"123"	"3"	"0"	"1"	"1"	"0"	"1"	"12"	"5"	"12"	"9"	"578"
"84"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"85"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"86"	"78"	"33"	"125"	"8"	"242"	"9"	"2"	"5"	"1"	"2"	"8"	"19"	"3"	"10"	"22"	"489"
"87"	"79"	"8"	"115"	"5"	"379"	"8"	"1"	"2"	"3"	"1"	"7"	"19"	"4"	"12"	"13"	"577"
"88"	"80"	"9"	"199"	"6"	"248"	"8"	"0"	"2"	"2"	"3"	"4"	"21"	"4"	"10"	"22"	"538"
"89"	"81"	"4"	"82"	"2"	"399"	"7"	"2"	"25"	"1"	"0"	"2"	"6"	"0"	"4"	"15"	"549"
"90"	"82"	"1"	"306"	"7"	"140"	"7"	"0"	"6"	"1"	"2"	"2"	"5"	"1"	"13"	"10"	"501"
"91"	"83"	"17"	"532"	"12"	"78"	"6"	"2"	"12"	"4"	"1"	"0"	"5"	"3"	"13"	"15"	"700"
"92"	"84"	"51"	"60"	"5"	"395"	"7"	"2"	"5"	"4"	"5"	"4"	"13"	"2"	"3"	"8"	"564"
"93"	"85"	"4"	"155"	"6"	"201"	"6"	"1"	"3"	"0"	"1"	"1"	"5"	"8"	"7"	"19"	"417"
"94"	"86"	"4"	"67"	"2"	"215"	"5"	"1"	"1"	"1"	"3"	"3"	"14"	"1"	"11"	"55"	"383"
"95"	"87"	"3"	"284"	"4"	"10"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"8"	"38"	"350"
"96"	"88"	"15"	"35"	"1"	"151"	"3"	"3"	"4"	"3"	"2"	"2"	"5"	"10"	"10"	"172"	"416"
"97"	"89"	"32"	"64"	"9"	"487"	"10"	"2"	"3"	"1"	"1"	"7"	"26"	"10"	"9"	"40"	"701"
"98"	"90"	"70"	"74"	"2"	"224"	"6"	"0"	"1"	"0"	"0"	"5"	"9"	"4"	"11"	"32"	"438"
"99"	"91"	"9"	"40"	"1"	"396"	"5"	"1"	"0"	"2"	"3"	"2"	"21"	"5"	"10"	"14"	"509"
"100"	"92"	"39"	"230"	"11"	"97"	"3"	"0"	"1"	"2"	"1"	"2"	"4"	"5"	"17"	"59"	"471"
"101"	"93"	"54"	"116"	"4"	"272"	"7"	"0"	"4"	"2"	"1"	"0"	"20"	"4"	"17"	"21"	"522"
"102"	"94"	"3"	"10"	"1"	"313"	"4"	"2"	"1"	"0"	"0"	"0"	"6"	"1"	"4"	"7"	"352"
"103"	"95"	"3"	"195"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"235"
"104"	"96"	"7"	"49"	"2"	"363"	"6"	"2"	"5"	"1"	"1"	"3"	"23"	"5"	"14"	"14"	"495"
"105"	"97"	"17"	"33"	"10"	"247"	"4"	"1"	"3"	"3"	"2"	"2"	"13"	"4"	"4"	"13"	"356"
"106"	"98"	"2"	"59"	"8"	"266"	"2"	"0"	"5"	"1"	"1"	"4"	"18"	"7"	"5"	"9"	"387"
"107"	"99"	"7"	"58"	"7"	"280"	"0"	"0"	"6"	"1"	"1"	"1"	"10"	"3"	"5"	"4"	"383"
"108"	"100"	"2"	"72"	"2"	"433"	"8"	"2"	"1"	"1"	"0"	"0"	"6"	"1"	"3"	"5"	"536"
"109"	"101"	"5"	"50"	"7"	"359"	"12"	"2"	"4"	"2"	"2"	"3"	"25"	"10"	"12"	"18"	"511"
"110"	"102"	"9"	"144"	"5"	"218"	"6"	"0"	"11"	"0"	"1"	"1"	"8"	"2"	"8"	"17"	"430"
"111"	"103"	"5"	"131"	"10"	"135"	"4"	"2"	"1"	"1"	"1"	"1"	"16"	"4"	"9"	"8"	"328"
"112"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"113"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"114"	"104"	"3"	"131"	"6"	"80"	"3"	"1"	"1"	"1"	"0"	"2"	"7"	"0"	"2"	"10"	"247"
"115"	"105"	"5"	"81"	"2"	"271"	"12"	"2"	"6"	"0"	"3"	"24"	"12"	"3"	"9"	"15"	"445"
"116"	"106"	"1"	"5"	"0"	"189"	"2"	"1"	"1"	"0"	"0"	"31"	"2"	"0"	"0"	"1"	"233"
"117"	"107"	"10"	"73"	"2"	"496"	"13"	"5"	"2"	"5"	"3"	"84"	"17"	"3"	"6"	"23"	"742"
"118"	"108"	"0"	"278"	"4"	"28"	"4"	"3"	"0"	"0"	"0"	"2"	"0"	"1"	"5"	"8"	"333"
"119"	"109"	"6"	"318"	"2"	"15"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"0"	"0"	"8"	"359"
"120"	"110"	"4"	"449"	"8"	"100"	"6"	"2"	"4"	"2"	"0"	"8"	"3"	"1"	"9"	"14"	"610"
"121"	"111"	"20"	"181"	"1"	"521"	"6"	"2"	"9"	"2"	"2"	"5"	"15"	"5"	"7"	"21"	"797"
"122"	"112"	"18"	"158"	"4"	"618"	"9"	"1"	"7"	"3"	"1"	"2"	"17"	"5"	"10"	"18"	"871"
"123"	"113"	"8"	"199"	"2"	"373"	"5"	"0"	"4"	"2"	"1"	"2"	"7"	"0"	"9"	"16"	"628"
"124"	"114"	"2"	"125"	"2"	"72"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"211"
"125"	"115"	"1"	"412"	"1"	"11"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"433"
"126"	"116"	"7"	"309"	"5"	"86"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"8"	"421"
"127"	"117"	"13"	"83"	"1"	"468"	"4"	"1"	"8"	"0"	"2"	"0"	"21"	"2"	"7"	"11"	"621"
"128"	"118"	"10"	"143"	"4"	"204"	"1"	"3"	"15"	"2"	"1"	"1"	"4"	"3"	"4"	"7"	"402"
"129"	"119"	"6"	"205"	"1"	"356"	"5"	"2"	"5"	"0"	"0"	"1"	"4"	"2"	"4"	"9"	"600"
"130"	"120"	"7"	"250"	"1"	"373"	"7"	"0"	"2"	"0"	"3"	"1"	"5"	"1"	"2"	"15"	"667"
"131"	"121"	"14"	"171"	"1"	"395"	"4"	"1"	"3"	"1"	"0"	"5"	"9"	"3"	"5"	"5"	"617"
"132"	"122"	"5"	"97"	"4"	"358"	"4"	"0"	"3"	"1"	"0"	"5"	"5"	"2"	"5"	"5"	"494"
"133"	"123"	"5"	"53"	"6"	"370"	"8"	"1"	"1"	"3"	"1"	"14"	"9"	"1"	"5"	"5"	"482"
"134"	"124"	"8"	"63"	"6"	"370"	"5"	"0"	"2"	"1"	"3"	"7"	"11"	"3"	"9"	"14"	"502"
"135"	"125"	"13"	"51"	"2"	"471"	"10"	"5"	"3"	"1"	"1"	"8"	"28"	"8"	"21"	"13"	"635"
"136"	"126"	"5"	"46"	"3"	"554"	"4"	"1"	"3"	"3"	"2"	"6"	"5"	"3"	"3"	"4"	"642"
"137"	"127"	"2"	"21"	"1"	"442"	"5"	"1"	"2"	"2"	"0"	"1"	"6"	"4"	"10"	"4"	"501"
"138"	"128"	"5"	"21"	"0"	"441"	"4"	"0"	"2"	"0"	"1"	"2"	"10"	"1"	"2"	"2"	"491"
"139"	"129"	"0"	"18"	"2"	"412"	"5"	"0"	"2"	"2"	"0"	"0"	"14"	"4"	"0"	"11"	"470"
"140"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"141"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"142"	"130"	"0"	"12"	"0"	"379"	"7"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"2"	"3"	"408"
"143"	"131"	"4"	"489"	"1"	"75"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"6"	"4"	"584"
"144"	"132"	"17"	"58"	"2"	"373"	"7"	"1"	"1"	"0"	"0"	"0"	"15"	"7"	"2"	"4"	"487"
"145"	"133"	"5"	"79"	"3"	"541"	"5"	"3"	"1"	"1"	"1"	"0"	"15"	"3"	"18"	"14"	"689"
"146"	"134"	"7"	"121"	"0"	"188"	"4"	"1"	"2"	"1"	"1"	"0"	"5"	"3"	"6"	"7"	"346"
"147"	"135"	"7"	"129"	"3"	"192"	"2"	"3"	"0"	"0"	"2"	"1"	"5"	"0"	"3"	"8"	"355"
"148"	"136"	"0"	"276"	"3"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"5"	"387"
"149"	"137"	"2"	"161"	"0"	"295"	"2"	"1"	"1"	"0"	"0"	"1"	"11"	"0"	"3"	"12"	"489"
"150"	"138"	"3"	"263"	"3"	"138"	"1"	"0"	"0"	"0"	"0"	"1"	"11"	"2"	"5"	"5"	"432"
"151"	"139"	"2"	"408"	"3"	"22"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"5"	"12"	"458"
"152"	"140"	"2"	"184"	"3"	"273"	"1"	"1"	"4"	"0"	"0"	"6"	"15"	"0"	"3"	"7"	"499"
"153"	"141"	"1"	"82"	"4"	"411"	"5"	"2"	"1"	"1"	"0"	"7"	"13"	"2"	"6"	"11"	"546"
"154"	"142"	"4"	"72"	"2"	"367"	"4"	"1"	"3"	"0"	"0"	"0"	"8"	"1"	"8"	"11"	"481"
"155"	"143"	"7"	"37"	"1"	"473"	"2"	"0"	"1"	"0"	"1"	"0"	"14"	"2"	"8"	"8"	"554"
"156"	"144"	"17"	"262"	"7"	"197"	"8"	"1"	"1"	"0"	"0"	"7"	"5"	"1"	"7"	"6"	"519"
"157"	"145"	"3"	"232"	"4"	"137"	"7"	"2"	"0"	"0"	"1"	"3"	"6"	"7"	"24"	"38"	"464"
"158"	"146"	"12"	"267"	"2"	"91"	"5"	"0"	"0"	"1"	"0"	"1"	"4"	"0"	"2"	"2"	"387"
"159"	"147"	"15"	"260"	"1"	"54"	"2"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"9"	"7"	"353"
"160"	"148"	"1"	"304"	"2"	"20"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"12"	"343"
"161"	"149"	"1"	"220"	"1"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"248"
"162"	"150"	"2"	"446"	"3"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"21"	"528"
"163"	"151"	"6"	"451"	"1"	"27"	"8"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"4"	"502"
"164"	"151A"	"69"	"261"	"4"	"112"	"4"	"1"	"5"	"1"	"3"	"2"	"2"	"6"	"3"	"14"	"487"
"165"	"152"	"61"	"344"	"3"	"60"	"3"	"0"	"5"	"1"	"0"	"0"	"5"	"1"	"6"	"20"	"509"
"166"	"153"	"5"	"336"	"3"	"167"	"1"	"0"	"2"	"0"	"1"	"0"	"5"	"0"	"5"	"3"	"528"
"167"	"154"	"4"	"34"	"2"	"323"	"7"	"1"	"0"	"3"	"0"	"3"	"10"	"1"	"2"	"7"	"397"
"168"	"P.S."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"169"	"No."	"Anil Kumar
Akela"	"Aafrin
Sultana"	"Md. Shamim
Uddin"	"Dr. Sunil
Kumar"	"Haidar
Alam"	"Arvind
Kumar"	"Masudan
Sharma"	"NandKishor
Shaw"	"Praduman
Kumar"	"Pramod
Kumar"	"Rakesh Kumar"	"Ram Krishna
Paramhans"	"Sanjay
Kumar"	"Sanjay Kumar
Patel"	"Valid
Votes"
"170"	"155"	"4"	"340"	"4"	"171"	"2"	"0"	"1"	"0"	"1"	"0"	"5"	"2"	"3"	"5"	"538"
"171"	"156"	"3"	"203"	"3"	"165"	"1"	"0"	"2"	"0"	"0"	"1"	"3"	"1"	"9"	"12"	"403"
"172"	"157"	"8"	"345"	"2"	"149"	"4"	"1"	"1"	"1"	"1"	"1"	"4"	"3"	"9"	"12"	"541"
"173"	"158"	"1"	"263"	"4"	"190"	"1"	"2"	"0"	"1"	"0"	"0"	"8"	"3"	"9"	"9"	"491"
"174"	"159"	"4"	"209"	"7"	"166"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"4"	"10"	"24"	"441"
"175"	"160"	"6"	"493"	"9"	"87"	"5"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"10"	"15"	"634"
"176"	"161"	"5"	"297"	"7"	"170"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"5"	"11"	"10"	"512"
"177"	"162"	"3"	"22"	"1"	"207"	"4"	"0"	"4"	"1"	"0"	"2"	"12"	"2"	"3"	"6"	"267"
"178"	"163"	"35"	"55"	"4"	"322"	"6"	"0"	"2"	"1"	"2"	"0"	"11"	"1"	"3"	"5"	"447"
"179"	"164"	"7"	"30"	"2"	"262"	"5"	"0"	"0"	"0"	"0"	"1"	"10"	"1"	"3"	"0"	"321"
"180"	"165"	"5"	"14"	"0"	"261"	"6"	"0"	"1"	"0"	"0"	"3"	"5"	"4"	"1"	"1"	"301"
"181"	"166"	"13"	"147"	"2"	"370"	"5"	"0"	"2"	"1"	"0"	"0"	"3"	"3"	"5"	"9"	"560"
"182"	"167"	"17"	"42"	"0"	"395"	"3"	"1"	"0"	"1"	"4"	"0"	"2"	"1"	"1"	"3"	"470"
"183"	"168"	"4"	"330"	"0"	"69"	"3"	"0"	"1"	"0"	"1"	"0"	"5"	"1"	"2"	"9"	"425"
"184"	"169"	"6"	"380"	"3"	"120"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"8"	"529"
"185"	"170"	"2"	"317"	"3"	"104"	"3"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"3"	"3"	"441"
"186"	"171"	"2"	"379"	"3"	"69"	"3"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"4"	"11"	"477"
"187"	"172"	"18"	"135"	"3"	"446"	"11"	"0"	"25"	"4"	"5"	"7"	"59"	"7"	"28"	"42"	"790"
"188"	"173"	"4"	"35"	"5"	"768"	"11"	"1"	"3"	"2"	"1"	"8"	"26"	"4"	"7"	"15"	"890"
"189"	"174"	"11"	"28"	"7"	"418"	"4"	"1"	"6"	"1"	"2"	"3"	"12"	"2"	"3"	"10"	"508"
