"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"13"	"11"	"28"	"180"	"16"	"33"	"272"	"10"	"2"	"2"	"3"	"2"	"0"	"3"	"18"	"3"	"1"	"3"	"23"	"21"	"1"	"0"	"3"	"4"	"628"	"0"	"628"	""
"14"	"12"	"14"	"182"	"16"	"72"	"186"	"5"	"1"	"1"	"5"	"2"	"6"	"11"	"121"	"7"	"5"	"17"	"9"	"27"	"3"	"1"	"10"	"8"	"709"	"0"	"709"	""
"15"	"13"	"109"	"8"	"1"	"3"	"121"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"30"	"0"	"0"	"0"	"2"	"279"	"0"	"279"	""
"16"	"14"	"95"	"115"	"7"	"9"	"119"	"2"	"0"	"1"	"2"	"0"	"1"	"6"	"3"	"0"	"0"	"1"	"14"	"4"	"0"	"0"	"1"	"2"	"382"	"0"	"382"	""
"17"	"TOTAL"	"382"	"1601"	"164"	"659"	"2492"	"47"	"26"	"24"	"44"	"24"	"25"	"234"	"316"	"42"	"30"	"104"	"133"	"211"	"20"	"23"	"32"	"37"	"6670"	"0"	"6670"	""
"18"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"21"	"B.F."	"382"	"1601"	"164"	"659"	"2492"	"47"	"26"	"24"	"44"	"24"	"25"	"234"	"316"	"42"	"30"	"104"	"133"	"211"	"20"	"23"	"32"	"37"	"6670"	"0"	"6670"	""
"22"	"15"	"26"	"211"	"9"	"3"	"325"	"0"	"0"	"1"	"2"	"2"	"2"	"27"	"5"	"3"	"3"	"2"	"8"	"57"	"1"	"3"	"7"	"8"	"705"	"0"	"705"	""
"23"	"16"	"14"	"30"	"15"	"0"	"336"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"4"	"0"	"24"	"0"	"0"	"1"	"1"	"435"	"0"	"435"	""
"24"	"17"	"19"	"124"	"4"	"2"	"217"	"0"	"13"	"0"	"2"	"1"	"1"	"33"	"5"	"0"	"1"	"0"	"1"	"41"	"2"	"0"	"1"	"5"	"472"	"0"	"472"	""
"25"	"18"	"18"	"47"	"10"	"8"	"381"	"3"	"4"	"8"	"0"	"2"	"0"	"12"	"4"	"3"	"0"	"1"	"7"	"119"	"2"	"3"	"10"	"3"	"645"	"0"	"645"	""
"26"	"19"	"4"	"11"	"5"	"59"	"19"	"2"	"3"	"3"	"3"	"3"	"0"	"8"	"314"	"5"	"3"	"3"	"4"	"18"	"11"	"7"	"4"	"10"	"499"	"0"	"499"	""
"27"	"20"	"3"	"10"	"41"	"7"	"35"	"2"	"1"	"3"	"5"	"1"	"8"	"21"	"418"	"12"	"9"	"15"	"3"	"8"	"0"	"1"	"3"	"10"	"616"	"0"	"616"	""
"28"	"21"	"8"	"76"	"3"	"6"	"412"	"3"	"2"	"0"	"8"	"3"	"5"	"89"	"13"	"1"	"3"	"9"	"10"	"31"	"2"	"0"	"1"	"3"	"688"	"0"	"688"	""
"29"	"22"	"17"	"204"	"7"	"112"	"241"	"9"	"2"	"6"	"5"	"6"	"5"	"32"	"19"	"16"	"21"	"13"	"10"	"49"	"1"	"5"	"3"	"11"	"794"	"0"	"794"	""
"30"	"23"	"10"	"23"	"6"	"1"	"239"	"5"	"1"	"1"	"1"	"0"	"3"	"6"	"2"	"1"	"1"	"6"	"3"	"153"	"0"	"2"	"3"	"1"	"468"	"0"	"468"	""
"31"	"24"	"8"	"48"	"6"	"5"	"290"	"2"	"0"	"0"	"2"	"2"	"1"	"12"	"3"	"3"	"1"	"4"	"3"	"28"	"2"	"0"	"1"	"0"	"421"	"0"	"421"	""
"32"	"25"	"14"	"171"	"4"	"3"	"296"	"2"	"7"	"1"	"0"	"2"	"0"	"46"	"9"	"3"	"6"	"0"	"1"	"39"	"1"	"0"	"2"	"1"	"608"	"0"	"608"	""
"33"	"26"	"3"	"6"	"6"	"3"	"243"	"1"	"0"	"2"	"0"	"2"	"1"	"6"	"1"	"0"	"1"	"1"	"10"	"60"	"0"	"0"	"2"	"2"	"350"	"0"	"350"	""
"34"	"26 ¼d½"	"9"	"60"	"4"	"23"	"167"	"1"	"1"	"3"	"12"	"1"	"1"	"6"	"4"	"5"	"1"	"3"	"40"	"58"	"3"	"1"	"1"	"2"	"406"	"0"	"406"	""
"35"	"27"	"29"	"361"	"6"	"5"	"209"	"6"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"3"	"4"	"1"	"4"	"23"	"0"	"2"	"1"	"7"	"667"	"0"	"667"	""
"36"	"TOTAL"	"564"	"2983"	"290"	"896"	"5902"	"85"	"62"	"55"	"85"	"50"	"53"	"533"	"1118"	"97"	"84"	"166"	"237"	"919"	"45"	"47"	"72"	"101"	"14444"	"0"	"14444"	""
"37"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"39"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"40"	"B.F."	"564"	"2983"	"290"	"896"	"5902"	"85"	"62"	"55"	"85"	"50"	"53"	"533"	"1118"	"97"	"84"	"166"	"237"	"919"	"45"	"47"	"72"	"101"	"14444"	"0"	"14444"	""
"41"	"28"	"21"	"153"	"5"	"5"	"251"	"5"	"2"	"4"	"2"	"6"	"7"	"39"	"3"	"5"	"7"	"17"	"2"	"35"	"2"	"1"	"3"	"6"	"581"	"0"	"581"	""
"42"	"29"	"11"	"60"	"17"	"15"	"253"	"1"	"3"	"1"	"2"	"5"	"4"	"23"	"7"	"5"	"3"	"11"	"9"	"102"	"3"	"3"	"5"	"10"	"553"	"0"	"553"	""
"43"	"30"	"28"	"34"	"11"	"18"	"160"	"5"	"0"	"1"	"2"	"0"	"0"	"5"	"4"	"5"	"0"	"5"	"2"	"26"	"0"	"1"	"0"	"2"	"309"	"0"	"309"	""
"44"	"31"	"9"	"27"	"8"	"6"	"333"	"1"	"2"	"1"	"10"	"3"	"1"	"5"	"0"	"7"	"1"	"6"	"39"	"54"	"2"	"2"	"5"	"4"	"526"	"0"	"526"	""
"45"	"32"	"36"	"70"	"33"	"38"	"108"	"5"	"1"	"4"	"5"	"0"	"1"	"5"	"2"	"5"	"1"	"1"	"32"	"80"	"4"	"1"	"1"	"1"	"434"	"0"	"434"	""
"46"	"33"	"4"	"33"	"7"	"1"	"110"	"1"	"0"	"2"	"0"	"2"	"2"	"2"	"1"	"0"	"3"	"3"	"0"	"12"	"0"	"0"	"1"	"1"	"185"	"0"	"185"	""
"47"	"34"	"12"	"172"	"36"	"19"	"140"	"1"	"0"	"2"	"1"	"1"	"2"	"1"	"79"	"4"	"4"	"1"	"2"	"51"	"1"	"3"	"3"	"10"	"545"	"0"	"545"	""
"48"	"35"	"10"	"49"	"28"	"3"	"151"	"2"	"4"	"1"	"6"	"4"	"2"	"157"	"3"	"2"	"2"	"17"	"8"	"12"	"1"	"1"	"2"	"2"	"467"	"0"	"467"	""
"49"	"36"	"6"	"134"	"19"	"12"	"161"	"1"	"2"	"3"	"9"	"4"	"2"	"62"	"5"	"6"	"3"	"19"	"14"	"9"	"2"	"3"	"2"	"3"	"481"	"0"	"481"	""
"50"	"37"	"6"	"162"	"7"	"59"	"86"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"14"	"2"	"0"	"1"	"4"	"66"	"0"	"0"	"1"	"1"	"415"	"0"	"415"	""
"51"	"38"	"26"	"98"	"18"	"24"	"160"	"3"	"2"	"9"	"3"	"0"	"1"	"3"	"7"	"4"	"8"	"10"	"4"	"10"	"2"	"1"	"0"	"2"	"395"	"0"	"395"	""
"52"	"39"	"23"	"100"	"7"	"50"	"267"	"4"	"1"	"1"	"16"	"0"	"0"	"6"	"7"	"2"	"2"	"1"	"34"	"21"	"0"	"0"	"0"	"1"	"543"	"0"	"543"	""
"53"	"40"	"6"	"35"	"68"	"5"	"89"	"1"	"0"	"3"	"1"	"3"	"0"	"7"	"2"	"1"	"2"	"2"	"1"	"33"	"1"	"1"	"2"	"3"	"266"	"0"	"266"	""
"54"	"41"	"3"	"239"	"12"	"0"	"17"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"2"	"1"	"9"	"3"	"0"	"8"	"1"	"1"	"0"	"3"	"306"	"0"	"306"	""
"55"	"TOTAL"	"765"	"4349"	"566"	"1151"	"8188"	"115"	"80"	"88"	"144"	"78"	"77"	"855"	"1254"	"146"	"129"	"263"	"388"	"1438"	"64"	"65"	"97"	"150"	"20450"	"0"	"20450"	"0"
"56"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"58"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"59"	"B.F."	"765"	"4349"	"566"	"1151"	"8188"	"115"	"80"	"88"	"144"	"78"	"77"	"855"	"1254"	"146"	"129"	"263"	"388"	"1438"	"64"	"65"	"97"	"150"	"20450"	"0"	"20450"	"0"
"60"	"42"	"10"	"93"	"13"	"36"	"180"	"2"	"1"	"0"	"1"	"2"	"1"	"3"	"34"	"2"	"3"	"2"	"13"	"7"	"3"	"3"	"4"	"10"	"423"	"0"	"423"	""
"61"	"43"	"13"	"83"	"13"	"90"	"140"	"6"	"2"	"4"	"0"	"1"	"0"	"4"	"1"	"0"	"0"	"1"	"0"	"31"	"1"	"1"	"0"	"5"	"396"	"0"	"396"	""
"62"	"44"	"8"	"136"	"2"	"2"	"56"	"0"	"1"	"0"	"1"	"0"	"0"	"3"	"4"	"9"	"5"	"6"	"1"	"7"	"0"	"1"	"3"	"1"	"246"	"0"	"246"	""
"63"	"45"	"7"	"212"	"5"	"4"	"200"	"3"	"0"	"2"	"1"	"1"	"1"	"4"	"2"	"2"	"4"	"33"	"4"	"19"	"1"	"0"	"2"	"2"	"509"	"0"	"509"	""
"64"	"46"	"11"	"169"	"49"	"97"	"79"	"3"	"0"	"0"	"2"	"0"	"3"	"3"	"8"	"3"	"2"	"1"	"1"	"3"	"7"	"1"	"2"	"1"	"445"	"0"	"445"	""
"65"	"47"	"11"	"186"	"16"	"124"	"153"	"2"	"4"	"1"	"3"	"3"	"2"	"27"	"9"	"5"	"3"	"13"	"4"	"53"	"3"	"3"	"6"	"11"	"642"	"0"	"642"	""
"66"	"48"	"2"	"3"	"3"	"0"	"311"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"49"	"1"	"0"	"1"	"0"	"382"	"0"	"382"	""
"67"	"49"	"6"	"24"	"13"	"91"	"102"	"6"	"1"	"2"	"1"	"0"	"1"	"4"	"3"	"6"	"6"	"11"	"7"	"28"	"3"	"8"	"3"	"14"	"340"	"0"	"340"	""
"68"	"50"	"10"	"416"	"13"	"1"	"55"	"2"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"8"	"3"	"5"	"2"	"5"	"2"	"2"	"0"	"2"	"532"	"0"	"532"	""
"69"	"51"	"15"	"73"	"18"	"15"	"508"	"5"	"1"	"2"	"5"	"3"	"1"	"24"	"6"	"3"	"2"	"2"	"12"	"1"	"2"	"33"	"2"	"0"	"733"	"0"	"733"	""
"70"	"52"	"44"	"288"	"20"	"40"	"246"	"5"	"4"	"1"	"2"	"3"	"0"	"4"	"2"	"2"	"5"	"7"	"19"	"14"	"5"	"4"	"8"	"9"	"732"	"0"	"732"	""
"71"	"53"	"13"	"1"	"8"	"3"	"96"	"0"	"0"	"0"	"4"	"4"	"1"	"11"	"238"	"3"	"11"	"9"	"2"	"6"	"2"	"1"	"2"	"9"	"424"	"0"	"424"	""
"72"	"54"	"6"	"480"	"7"	"1"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"514"	"0"	"514"	""
"73"	"55"	"1"	"5"	"3"	"14"	"14"	"0"	"0"	"1"	"1"	"1"	"1"	"24"	"560"	"4"	"3"	"11"	"5"	"5"	"3"	"7"	"4"	"4"	"671"	"0"	"671"	""
"74"	"TOTAL"	"922"	"6518"	"749"	"1669"	"10334"	"150"	"98"	"103"	"168"	"98"	"88"	"968"	"2122"	"194"	"178"	"372"	"460"	"1670"	"97"	"129"	"134"	"218"	"27439"	"0"	"27439"	""
"75"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"77"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"78"	"B.F."	"922"	"6518"	"749"	"1669"	"10334"	"150"	"98"	"103"	"168"	"98"	"88"	"968"	"2122"	"194"	"178"	"372"	"460"	"1670"	"97"	"129"	"134"	"218"	"27439"	"0"	"27439"	""
"79"	"56"	"2"	"1"	"2"	"7"	"74"	"1"	"0"	"2"	"4"	"2"	"2"	"9"	"299"	"0"	"3"	"10"	"7"	"2"	"0"	"3"	"1"	"2"	"433"	"0"	"433"	""
"80"	"57"	"11"	"1"	"2"	"0"	"46"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"153"	"1"	"1"	"1"	"1"	"4"	"0"	"0"	"0"	"1"	"226"	"0"	"226"	""
"81"	"58"	"4"	"260"	"11"	"16"	"53"	"1"	"1"	"1"	"6"	"0"	"1"	"3"	"3"	"3"	"5"	"8"	"2"	"10"	"1"	"0"	"8"	"0"	"397"	"0"	"397"	""
"82"	"59"	"0"	"12"	"3"	"63"	"87"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"20"	"1"	"0"	"4"	"6"	"4"	"0"	"1"	"0"	"1"	"208"	"0"	"208"	""
"83"	"60"	"11"	"251"	"13"	"110"	"20"	"1"	"2"	"2"	"5"	"1"	"0"	"17"	"7"	"9"	"5"	"12"	"26"	"4"	"5"	"5"	"1"	"2"	"509"	"0"	"509"	""
"84"	"61"	"43"	"64"	"22"	"47"	"177"	"6"	"2"	"0"	"11"	"5"	"6"	"153"	"5"	"3"	"1"	"7"	"36"	"3"	"2"	"0"	"2"	"1"	"596"	"0"	"596"	""
"85"	"62"	"14"	"16"	"3"	"43"	"80"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"14"	"0"	"0"	"0"	"0"	"175"	"0"	"175"	""
"86"	"63"	"8"	"222"	"5"	"86"	"30"	"1"	"0"	"2"	"2"	"0"	"1"	"27"	"2"	"2"	"0"	"1"	"8"	"0"	"1"	"0"	"0"	"2"	"400"	"0"	"400"	""
"87"	"64"	"30"	"51"	"15"	"66"	"106"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"15"	"4"	"1"	"0"	"2"	"1"	"300"	"0"	"300"	""
"88"	"65"	"24"	"319"	"10"	"27"	"44"	"2"	"3"	"4"	"2"	"2"	"3"	"7"	"223"	"11"	"5"	"2"	"7"	"12"	"2"	"0"	"2"	"7"	"718"	"0"	"718"	""
"89"	"66"	"353"	"57"	"8"	"110"	"74"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"610"	"0"	"610"	""
"90"	"67"	"31"	"337"	"35"	"36"	"58"	"0"	"2"	"0"	"0"	"1"	"3"	"14"	"1"	"4"	"5"	"6"	"10"	"5"	"6"	"2"	"4"	"5"	"565"	"0"	"565"	""
"91"	"68"	"13"	"121"	"140"	"109"	"225"	"2"	"2"	"2"	"1"	"1"	"2"	"10"	"5"	"5"	"8"	"13"	"1"	"6"	"3"	"0"	"3"	"2"	"674"	"0"	"674"	""
"92"	"69"	"11"	"291"	"141"	"52"	"169"	"2"	"2"	"2"	"6"	"2"	"2"	"3"	"4"	"11"	"5"	"6"	"3"	"12"	"4"	"1"	"4"	"0"	"733"	"0"	"733"	""
"93"	"TOTAL"	"1477"	"8521"	"1159"	"2441"	"11577"	"172"	"114"	"118"	"207"	"113"	"111"	"1214"	"2851"	"246"	"217"	"445"	"582"	"1751"	"123"	"141"	"161"	"242"	"33983"	"0"	"33983"	""
"94"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Sl. No. of Polling Station"	"ASHUTOSH RANJAN PANDEY"	"KANTI SINGH"	"PARAS NATH SINGH"	"BABAN SINGH KUSHWAHA"	"RAMESHWAR PRASAD"	"USHA DEVI"	"MD. JAMIL ANSARI"	"JAY RAM SINGH"	"JITENDRA KUMAR PASWAN"	"DAYANAND PRASAD"	"MD. SHAMIULLAH MANSURI"	"SAIYAD QAISER NEHAL"	"ANAND MOHAN SINGH"	"JAGDANAND SINGH"	"BIR BAHADUR PAL"	"MADHO MURARI PRASAD GUPTA"	"MUNMUN DUBEY"	"RAM AWADH SINGH"	"RAM AUDHESH SINGH"	"RAM NARAYAN PRASAD"	"SHEOSHANKAR YADAV"	"SHOBHA SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"96"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""	""	""	""
"97"	"B.F."	"1477"	"8521"	"1159"	"2441"	"11577"	"172"	"114"	"118"	"207"	"113"	"111"	"1214"	"2851"	"246"	"217"	"445"	"582"	"1751"	"123"	"141"	"161"	"242"	"33983"	"0"	"33983"	""
"98"	"70"	"34"	"45"	"12"	"5"	"201"	"9"	"5"	"2"	"36"	"3"	"4"	"10"	"12"	"7"	"1"	"14"	"109"	"10"	"1"	"1"	"2"	"5"	"528"	"0"	"528"	""
"99"	"71"	"15"	"142"	"4"	"10"	"123"	"2"	"1"	"3"	"14"	"3"	"2"	"2"	"5"	"1"	"2"	"13"	"140"	"4"	"0"	"2"	"5"	"4"	"497"	"0"	"497"	""
"100"	"72"	"24"	"137"	"58"	"104"	"231"	"7"	"3"	"6"	"18"	"9"	"2"	"5"	"82"	"8"	"8"	"23"	"19"	"3"	"2"	"1"	"3"	"2"	"755"	"0"	"755"	""
"101"	"73"	"14"	"221"	"41"	"45"	"224"	"5"	"7"	"4"	"2"	"2"	"2"	"57"	"10"	"10"	"8"	"7"	"3"	"5"	"0"	"0"	"3"	"2"	"672"	"0"	"672"	""
"102"	"74"	"15"	"137"	"35"	"45"	"197"	"2"	"2"	"2"	"0"	"3"	"4"	"64"	"4"	"5"	"4"	"4"	"2"	"4"	"6"	"1"	"4"	"0"	"540"	"0"	"540"	""
"103"	"75"	"45"	"80"	"40"	"22"	"212"	"1"	"0"	"2"	"7"	"0"	"3"	"3"	"1"	"6"	"0"	"12"	"5"	"1"	"0"	"1"	"1"	"1"	"443"	"0"	"443"	""
"104"	"76"	"9"	"29"	"101"	"96"	"165"	"4"	"1"	"0"	"3"	"3"	"3"	"3"	"3"	"2"	"3"	"5"	"3"	"3"	"1"	"0"	"1"	"5"	"443"	"0"	"443"	""
"105"	"77"	"30"	"136"	"59"	"63"	"245"	"4"	"3"	"3"	"7"	"3"	"1"	"3"	"8"	"8"	"7"	"7"	"7"	"6"	"5"	"3"	"3"	"2"	"613"	"0"	"613"	""
"106"	"78"	"35"	"136"	"17"	"23"	"281"	"4"	"5"	"1"	"14"	"4"	"2"	"3"	"36"	"4"	"4"	"10"	"3"	"2"	"2"	"0"	"3"	"1"	"590"	"0"	"590"	""
"107"	"79"	"53"	"36"	"11"	"9"	"183"	"2"	"0"	"4"	"5"	"0"	"2"	"6"	"173"	"6"	"5"	"7"	"6"	"2"	"0"	"0"	"2"	"1"	"513"	"0"	"513"	""
"108"	"80"	"18"	"18"	"37"	"25"	"84"	"0"	"2"	"4"	"0"	"0"	"7"	"6"	"265"	"9"	"1"	"4"	"2"	"1"	"2"	"0"	"0"	"3"	"488"	"0"	"488"	""
