"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…84 - Hayaghat Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 183861"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"30"	"20"	"20"	"51"	"19"	"4"	"94"	""	"9"	"10"	"107"	"13"	"95"	"19"	"22"	"10"	"22"	""	"30"	"505"	"-"	"505"	""
"31"	"21"	"21"	"48"	"5"	"8"	"306"	""	"10"	"2"	"13"	"2"	"3"	"12"	"18"	"4"	"5"	""	"10"	"446"	"-"	"446"	""
"32"	"22"	"22"	"4"	"6"	"1"	"175"	""	"0"	"1"	"4"	"0"	"5"	"1"	"5"	"1"	"1"	""	"1"	"205"	"-"	"205"	""
"33"	"23"	"23"	"50"	"9"	"15"	"321"	""	"14"	"9"	"136"	"27"	"49"	"24"	"56"	"23"	"7"	""	"27"	"767"	"-"	"767"	""
"34"	"24"	"24"	"12"	"0"	"6"	"191"	""	"3"	"1"	"8"	"0"	"3"	"7"	"7"	"3"	"2"	""	"2"	"245"	"-"	"245"	""
"35"	"25"	"25"	"14"	"9"	"6"	"301"	""	"4"	"1"	"25"	"5"	"4"	"15"	"16"	"6"	"1"	""	"5"	"412"	"-"	"412"	""
"36"	"26"	"26"	"256"	"19"	"8"	"107"	""	"8"	"8"	"13"	"10"	"4"	"6"	"16"	"5"	"4"	""	"10"	"474"	"-"	"474"	""
"37"	"27"	"27"	"224"	"10"	"8"	"109"	""	"2"	"0"	"20"	"5"	"15"	"4"	"22"	"4"	"7"	""	"4"	"434"	"-"	"434"	""
"38"	"28"	"28"	"295"	"15"	"4"	"52"	""	"3"	"1"	"69"	"8"	"27"	"7"	"12"	"5"	"16"	""	"31"	"545"	"-"	"545"	""
"39"	"29"	"29"	"435"	"10"	"9"	"77"	""	"3"	"6"	"28"	"1"	"23"	"1"	"15"	"3"	"7"	""	"13"	"631"	"-"	"631"	""
"40"	"30"	"30"	"75"	"5"	"4"	"265"	""	"3"	"2"	"7"	"2"	"13"	"5"	"14"	"11"	"6"	""	"15"	"427"	"-"	"427"	""
"41"	"31"	"31"	"232"	"11"	"3"	"221"	""	"7"	"2"	"6"	"10"	"50"	"6"	"18"	"9"	"10"	""	"38"	"623"	"-"	"623"	""
"42"	"32"	"32"	"70"	"13"	"4"	"15"	""	"4"	"3"	"15"	"2"	"74"	"7"	"5"	"3"	"5"	""	"8"	"228"	"-"	"228"	""
"43"	"33"	"33"	"26"	"10"	"8"	"226"	""	"7"	"2"	"4"	"7"	"79"	"63"	"4"	"3"	"25"	""	"7"	"471"	"-"	"471"	""
"44"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"45"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"47"	"34"	"34"	"152"	"11"	"3"	"81"	""	"8"	"8"	"24"	"3"	"43"	"203"	"18"	"7"	"5"	""	"12"	"578"	"-"	"578"	""
"48"	"35"	"35"	"90"	"7"	"1"	"126"	""	"7"	"6"	"24"	"16"	"78"	"165"	"33"	"19"	"17"	""	"41"	"630"	"-"	"630"	""
"49"	"36"	"36"	"29"	"4"	"8"	"184"	""	"5"	"4"	"12"	"12"	"150"	"10"	"20"	"4"	"9"	""	"18"	"469"	"-"	"469"	""
"50"	"37"	"37"	"75"	"23"	"5"	"245"	""	"4"	"5"	"14"	"11"	"197"	"9"	"23"	"9"	"13"	""	"23"	"656"	"-"	"656"	""
"51"	"38"	"38"	"128"	"10"	"5"	"143"	""	"2"	"2"	"6"	"4"	"24"	"4"	"8"	"4"	"3"	""	"16"	"359"	"-"	"359"	""
"52"	"39"	"39"	"104"	"6"	"5"	"246"	""	"5"	"4"	"2"	"3"	"26"	"8"	"11"	"7"	"10"	""	"10"	"447"	"-"	"447"	""
"53"	"40"	"40"	"164"	"28"	"12"	"319"	""	"13"	"4"	"6"	"6"	"32"	"12"	"13"	"8"	"7"	""	"8"	"632"	"-"	"632"	""
"54"	"41"	"41"	"260"	"14"	"6"	"96"	""	"0"	"1"	"14"	"4"	"8"	"7"	"20"	"2"	"11"	""	"37"	"480"	"-"	"480"	""
"55"	"42"	"42"	"304"	"12"	"3"	"72"	""	"2"	"0"	"21"	"2"	"12"	"2"	"8"	"6"	"5"	""	"9"	"458"	""	"458"	""
"56"	"43"	"43"	"155"	"199"	"3"	"35"	""	"0"	"0"	"3"	"1"	"3"	"5"	"20"	"1"	"6"	""	"10"	"441"	"-"	"441"	""
"57"	"44"	"44"	"97"	"94"	"7"	"98"	""	"8"	"2"	"25"	"8"	"9"	"3"	"107"	"4"	"10"	""	"13"	"485"	"-"	"485"	""
"58"	"45"	"45"	"154"	"23"	"6"	"73"	""	"5"	"3"	"99"	"21"	"15"	"10"	"150"	"12"	"13"	""	"18"	"602"	"-"	"602"	""
"59"	"46"	"46"	"231"	"16"	"6"	"47"	""	"0"	"1"	"89"	"6"	"5"	"5"	"35"	"5"	"8"	""	"18"	"472"	"-"	"472"	""
"60"	"47"	"47"	"94"	"3"	"7"	"308"	""	"9"	"17"	"6"	"9"	"18"	"14"	"50"	"11"	"14"	""	"14"	"574"	"-"	"574"	""
"61"	"48"	"48"	"192"	"50"	"9"	"169"	""	"7"	"0"	"6"	"9"	"7"	"24"	"64"	"14"	"19"	""	"32"	"602"	"-"	"602"	""
"62"	"49"	"49"	"91"	"7"	"2"	"117"	""	"3"	"3"	"51"	"9"	"24"	"14"	"128"	"8"	"9"	""	"22"	"488"	"-"	"488"	""
"63"	"50"	"50"	"372"	"15"	"8"	"93"	""	"5"	"7"	"20"	"7"	"60"	"9"	"86"	"8"	"11"	""	"61"	"762"	"-"	"762"	""
"64"	"51"	"51"	"312"	"183"	"3"	"17"	""	"0"	"2"	"2"	"2"	"2"	"2"	"25"	"2"	"8"	""	"18"	"578"	"-"	"578"	""
"65"	"52"	"52"	"143"	"382"	"6"	"12"	""	"2"	"4"	"1"	"3"	"1"	"2"	"19"	"1"	"7"	""	"10"	"593"	"-"	"593"	""
"66"	"53"	"53"	"192"	"277"	"9"	"16"	""	"4"	"1"	"3"	"0"	"2"	"2"	"28"	"3"	"11"	""	"13"	"561"	"-"	"561"	""
"67"	"54"	"54"	"172"	"33"	"7"	"49"	""	"2"	"22"	"17"	"9"	"3"	"9"	"21"	"2"	"4"	""	"7"	"357"	"-"	"357"	""
"68"	"55"	"55"	"152"	"17"	"4"	"33"	""	"1"	"2"	"8"	"2"	"4"	"1"	"12"	"5"	"6"	""	"16"	"263"	"-"	"263"	""
"69"	"56"	"56"	"125"	"31"	"4"	"76"	""	"9"	"20"	"49"	"8"	"5"	"11"	"39"	"6"	"10"	""	"17"	"410"	"-"	"410"	""
"70"	"57"	"57"	"110"	"10"	"5"	"64"	""	"2"	"11"	"5"	"4"	"5"	"5"	"31"	"4"	"3"	""	"20"	"279"	"-"	"279"	""
"71"	"58"	"58"	"133"	"22"	"10"	"167"	""	"3"	"31"	"8"	"2"	"4"	"11"	"28"	"4"	"3"	""	"10"	"436"	"-"	"436"	""
"72"	"59"	"59"	"175"	"31"	"2"	"42"	""	"3"	"3"	"6"	"2"	"3"	"4"	"11"	"3"	"6"	""	"19"	"310"	"-"	"310"	""
"73"	"60"	"60"	"171"	"25"	"2"	"293"	""	"3"	"5"	"5"	"1"	"11"	"5"	"73"	"3"	"6"	""	"8"	"611"	"-"	"611"	""
"74"	"61"	"61"	"46"	"26"	"6"	"125"	""	"3"	"4"	"2"	"4"	"15"	"7"	"171"	"4"	"10"	""	"4"	"427"	"-"	"427"	""
"75"	"62"	"62"	"51"	"23"	"4"	"177"	""	"10"	"75"	"12"	"17"	"20"	"16"	"23"	"3"	"8"	""	"10"	"449"	"-"	"449"	""
"76"	"63"	"63"	"23"	"20"	"4"	"127"	""	"8"	"46"	"3"	"7"	"3"	"4"	"9"	"2"	"2"	""	"5"	"263"	"-"	"263"	""
"77"	"64"	"64"	"131"	"34"	"18"	"191"	""	"5"	"11"	"27"	"15"	"25"	"25"	"54"	"15"	"19"	""	"28"	"598"	"-"	"598"	""
"78"	"65"	"65"	"145"	"38"	"2"	"60"	""	"5"	"11"	"12"	"4"	"5"	"4"	"16"	"5"	"4"	""	"18"	"329"	"-"	"329"	""
"79"	"66"	"66"	"134"	"19"	"5"	"42"	""	"2"	"41"	"6"	"2"	"7"	"5"	"39"	"5"	"3"	""	"17"	"327"	"-"	"327"	""
"80"	"67"	"67"	"268"	"43"	"2"	"53"	""	"4"	"4"	"35"	"162"	"7"	"4"	"10"	"6"	"14"	""	"52"	"664"	"-"	"664"	""
"81"	"68"	"68"	"232"	"79"	"4"	"21"	""	"0"	"0"	"29"	"10"	"0"	"5"	"2"	"4"	"13"	""	"27"	"426"	"-"	"426"	""
"82"	"69"	"69"	"124"	"9"	"44"	"249"	""	"4"	"4"	"116"	"14"	"5"	"15"	"45"	"10"	"5"	""	"6"	"650"	"-"	"650"	""
"83"	"70"	"70"	"126"	"34"	"3"	"60"	""	"0"	"1"	"3"	"5"	"3"	"6"	"16"	"0"	"1"	""	"3"	"261"	"-"	"261"	""
"84"	"71"	"71"	"340"	"106"	"13"	"87"	""	"2"	"8"	"54"	"8"	"6"	"3"	"15"	"2"	"7"	""	"32"	"683"	"-"	"683"	""
"85"	"72"	"72"	"21"	"6"	"1"	"93"	""	"2"	"7"	"99"	"11"	"69"	"8"	"8"	"3"	"11"	""	"15"	"354"	"-"	"354"	""
"86"	"73"	"73"	"132"	"97"	"3"	"104"	""	"1"	"2"	"28"	"1"	"2"	"5"	"15"	"7"	"7"	""	"18"	"422"	"-"	"422"	""
"87"	"74"	"74"	"111"	"4"	"5"	"374"	""	"8"	"0"	"18"	"7"	"1"	"9"	"35"	"7"	"14"	""	"6"	"599"	"-"	"599"	""
"88"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"89"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"91"	"75"	"75"	"24"	"32"	"2"	"378"	""	"10"	"4"	"20"	"17"	"4"	"6"	"60"	"9"	"5"	""	"2"	"573"	"-"	"573"	""
"92"	"76"	"76"	"73"	"12"	"3"	"320"	""	"13"	"0"	"13"	"16"	"1"	"5"	"14"	"11"	"5"	""	"5"	"491"	"-"	"491"	""
"93"	"77"	"77"	"93"	"18"	"7"	"246"	""	"10"	"1"	"4"	"8"	"2"	"4"	"24"	"2"	"3"	""	"8"	"430"	"-"	"430"	""
"94"	"78"	"78"	"21"	"12"	"5"	"291"	""	"10"	"21"	"21"	"7"	"5"	"15"	"33"	"7"	"4"	""	"13"	"465"	"-"	"465"	""
"95"	"79"	"79"	"360"	"126"	"3"	"39"	""	"5"	"7"	"40"	"7"	"4"	"10"	"40"	"6"	"17"	""	"31"	"695"	"-"	"695"	""
"96"	"80"	"80"	"230"	"31"	"9"	"104"	""	"4"	"5"	"25"	"1"	"2"	"6"	"17"	"8"	"13"	""	"15"	"470"	"-"	"470"	""
"97"	"81"	"81"	"144"	"37"	"2"	"64"	""	"2"	"3"	"6"	"3"	"4"	"6"	"8"	"7"	"9"	""	"38"	"333"	"-"	"333"	""
"98"	"82"	"82"	"124"	"102"	"3"	"17"	""	"1"	"0"	"5"	"4"	"0"	"1"	"20"	"1"	"7"	""	"7"	"292"	"-"	"292"	""
"99"	"83"	"83"	"153"	"84"	"7"	"14"	""	"4"	"4"	"2"	"1"	"1"	"3"	"68"	"4"	"5"	""	"23"	"373"	"-"	"373"	""
"100"	"84"	"84"	"159"	"22"	"4"	"124"	""	"5"	"2"	"3"	"2"	"6"	"5"	"44"	"8"	"12"	""	"32"	"428"	"-"	"428"	""
"101"	"85"	"85"	"332"	"19"	"6"	"42"	""	"6"	"0"	"4"	"2"	"4"	"2"	"10"	"2"	"3"	""	"8"	"440"	"-"	"440"	""
"102"	"86"	"85A"	"190"	"13"	"3"	"79"	""	"5"	"10"	"4"	"6"	"18"	"9"	"10"	"3"	"4"	""	"7"	"361"	"-"	"361"	""
"103"	"87"	"86"	"202"	"14"	"13"	"194"	""	"7"	"6"	"6"	"9"	"10"	"10"	"20"	"8"	"12"	""	"31"	"542"	"-"	"542"	""
"104"	"88"	"86A"	"105"	"4"	"2"	"98"	""	"6"	"4"	"4"	"1"	"7"	"1"	"16"	"9"	"2"	""	"16"	"275"	"-"	"275"	""
"105"	"89"	"87"	"94"	"8"	"6"	"62"	""	"5"	"9"	"16"	"17"	"73"	"20"	"18"	"13"	"27"	""	"58"	"426"	"-"	"426"	""
"106"	"90"	"88"	"129"	"41"	"4"	"134"	""	"10"	"10"	"9"	"18"	"139"	"13"	"21"	"16"	"24"	""	"33"	"601"	"-"	"601"	""
"107"	"91"	"89"	"135"	"80"	"24"	"231"	""	"10"	"13"	"12"	"15"	"16"	"13"	"25"	"9"	"8"	""	"14"	"605"	"-"	"605"	""
"108"	"92"	"90"	"250"	"17"	"4"	"140"	""	"6"	"8"	"17"	"13"	"31"	"14"	"42"	"11"	"5"	""	"16"	"574"	"-"	"574"	""
"109"	"93"	"91"	"162"	"17"	"8"	"135"	""	"6"	"18"	"27"	"5"	"27"	"9"	"16"	"3"	"9"	""	"14"	"456"	"-"	"456"	""
"110"	"94"	"92"	"14"	"4"	"2"	"127"	""	"7"	"20"	"22"	"11"	"108"	"10"	"30"	"11"	"13"	""	"18"	"397"	"-"	"397"	""
"111"	"95"	"93"	"380"	"14"	"2"	"37"	""	"3"	"37"	"35"	"8"	"56"	"3"	"30"	"9"	"17"	""	"57"	"688"	"-"	"688"	""
"112"	"96"	"94"	"281"	"151"	"7"	"20"	""	"3"	"3"	"4"	"4"	"16"	"5"	"11"	"2"	"14"	""	"30"	"551"	"-"	"551"	""
"113"	"97"	"95"	"345"	"101"	"6"	"2"	""	"3"	"0"	"9"	"1"	"2"	"1"	"5"	"2"	"10"	""	"29"	"516"	"-"	"516"	""
"114"	"98"	"96"	"153"	"2"	"3"	"64"	""	"9"	"6"	"80"	"7"	"41"	"5"	"91"	"6"	"12"	""	"22"	"501"	"-"	"501"	""
"115"	"99"	"97"	"227"	"10"	"1"	"5"	""	"3"	"4"	"31"	"7"	"26"	"5"	"24"	"3"	"6"	""	"15"	"367"	"-"	"367"	""
"116"	"100"	"98"	"155"	"46"	"2"	"19"	""	"1"	"1"	"1"	"1"	"1"	"3"	"5"	"1"	"10"	""	"22"	"268"	"-"	"268"	""
"117"	"101"	"99"	"128"	"45"	"2"	"35"	""	"1"	"0"	"2"	"0"	"2"	"4"	"15"	"6"	"11"	""	"9"	"260"	"-"	"260"	""
"118"	"102"	"100"	"241"	"19"	"14"	"141"	""	"13"	"7"	"14"	"7"	"16"	"11"	"77"	"8"	"9"	""	"17"	"594"	"-"	"594"	""
"119"	"103"	"101"	"26"	"3"	"1"	"185"	""	"2"	"0"	"1"	"0"	"1"	"4"	"5"	"1"	"1"	""	"0"	"230"	"-"	"230"	""
"120"	"104"	"102"	"33"	"1"	"3"	"207"	""	"3"	"1"	"31"	"1"	"7"	"4"	"6"	"2"	"3"	""	"2"	"304"	"-"	"304"	""
"121"	"105"	"103"	"1"	"0"	"5"	"110"	""	"1"	"1"	"6"	"0"	"10"	"0"	"2"	"0"	"0"	""	"0"	"136"	"-"	"136"	""
"122"	"106"	"104"	"242"	"82"	"6"	"70"	""	"4"	"6"	"11"	"4"	"6"	"9"	"21"	"8"	"16"	""	"35"	"520"	"-"	"520"	""
"123"	"107"	"105"	"192"	"77"	"8"	"68"	""	"1"	"0"	"8"	"4"	"4"	"6"	"11"	"3"	"13"	""	"24"	"419"	"-"	"419"	""
"124"	"108"	"105A"	"172"	"51"	"6"	"50"	""	"3"	"0"	"1"	"1"	"0"	"1"	"5"	"1"	"9"	""	"12"	"312"	"-"	"312"	""
"125"	"109"	"106"	"358"	"124"	"8"	"66"	""	"1"	"1"	"2"	"3"	"4"	"19"	"19"	"6"	"27"	""	"35"	"673"	"-"	"673"	""
"126"	"110"	"107"	"234"	"5"	"5"	"182"	""	"12"	"2"	"4"	"5"	"43"	"9"	"20"	"9"	"14"	""	"37"	"581"	"-"	"581"	""
"127"	"111"	"108"	"189"	"15"	"7"	"169"	""	"7"	"3"	"6"	"4"	"19"	"16"	"50"	"6"	"11"	""	"33"	"535"	"-"	"535"	""
"128"	"112"	"109"	"60"	"9"	"4"	"230"	""	"3"	"1"	"3"	"4"	"99"	"2"	"5"	"4"	"2"	""	"3"	"429"	"-"	"429"	""
"129"	"113"	"110"	"215"	"15"	"8"	"201"	""	"6"	"6"	"6"	"4"	"46"	"12"	"10"	"2"	"7"	""	"12"	"550"	"-"	"550"	""
"130"	"114"	"111"	"256"	"21"	"9"	"207"	""	"12"	"2"	"6"	"6"	"66"	"4"	"8"	"4"	"10"	""	"8"	"619"	"-"	"619"	""
"131"	"115"	"112"	"170"	"5"	"11"	"247"	""	"9"	"2"	"3"	"5"	"3"	"3"	"37"	"4"	"6"	""	"18"	"523"	"-"	"523"	""
"132"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"133"	""	""	"Amar Nath Gami"	"Arvind Kumar Choudh ari"	"Krishna Kant
Mishra"	"Dr.Shahna waz Ahmad Kaifee"	""	"Md. Ali Abbas"	"Satya Narayan Mukhiya"	"Ashok Kumar Singh"	"Ahmad Ali"	"Umadhar Prasad Singh"	"Rani Devi"	"Ram Chandra Prasad"	"Bijay Shankar
Choudhary"	"Shahid Ekval"	""	"Sanjay Kumar Singh"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"
"135"	"116"	"113"	"55"	"2"	"3"	"207"	""	"6"	"6"	"5"	"7"	"11"	"9"	"35"	"15"	"8"	""	"16"	"385"	"-"	"385"	""
"136"	"117"	"114"	"66"	"4"	"4"	"208"	""	"9"	"1"	"11"	"10"	"32"	"18"	"15"	"20"	"6"	""	"15"	"419"	"-"	"419"	""
"137"	"118"	"115"	"324"	"15"	"5"	"75"	""	"5"	"6"	"48"	"5"	"13"	"3"	"48"	"1"	"6"	""	"8"	"562"	"-"	"562"	""
"138"	"119"	"116"	"201"	"34"	"5"	"50"	""	"1"	"2"	"33"	"5"	"8"	"7"	"37"	"6"	"15"	""	"27"	"431"	"-"	"431"	""
"139"	"120"	"117"	"10"	"1"	"1"	"3"	""	"0"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"1"	""	"2"	"27"	"-"	"27"	""
"140"	"121"	"118"	"192"	"8"	"35"	"117"	""	"5"	"2"	"4"	"4"	"11"	"8"	"19"	"14"	"16"	""	"25"	"460"	"-"	"460"	""
"141"	"122"	"118A"	"171"	"12"	"20"	"123"	""	"2"	"0"	"1"	"2"	"2"	"6"	"10"	"7"	"3"	""	"14"	"373"	"-"	"373"	""
"142"	"123"	"119"	"232"	"24"	"29"	"53"	""	"4"	"0"	"1"	"0"	"2"	"4"	"12"	"1"	"9"	""	"22"	"393"	"-"	"393"	""
"143"	"124"	"120"	"185"	"27"	"28"	"132"	""	"3"	"1"	"2"	"4"	"1"	"4"	"17"	"6"	"14"	""	"17"	"441"	"-"	"441"	""
"144"	"125"	"121"	"174"	"19"	"7"	"102"	""	"4"	"6"	"17"	"3"	"1"	"1"	"7"	"1"	"6"	""	"11"	"359"	"-"	"359"	""
"145"	"126"	"122"	"109"	"9"	"7"	"140"	""	"1"	"3"	"12"	"5"	"6"	"7"	"5"	"5"	"9"	""	"13"	"331"	"-"	"331"	""
"146"	"127"	"123"	"184"	"12"	"6"	"52"	""	"3"	"26"	"8"	"8"	"10"	"3"	"28"	"5"	"6"	""	"24"	"375"	"-"	"375"	""
