"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"101&  xksi kxat   fo/kku  l Hkk fuokZpu {ks= l s fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"19"	"14"	"13"	"161"	"11"	"320"	"20"	"4"	"3"	"3"	"11"	"11"	"8"	"17"	"18"	"600"	"0"	"600"	""
"20"	"; ksx"	"331"	"1874"	"168"	"2190"	"135"	"59"	"38"	"60"	"87"	"75"	"70"	"144"	"121"	"5352"	"0"	"5352"	""
"21"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""
"22"	"d qy  ; ksx"	"331"	"1874"	"168"	"2190"	"135"	"59"	"38"	"60"	"87"	"75"	"70"	"144"	"121"	"5352"	"0"	"5352"	""
"23"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"24"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"25"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"26"	"15"	"29"	"356"	"7"	"143"	"6"	"5"	"3"	"2"	"3"	"2"	"1"	"10"	"5"	"572"	"0"	"572"	""
"27"	"16"	"4"	"39"	"6"	"316"	"19"	"2"	"2"	"5"	"1"	"13"	"10"	"6"	"11"	"434"	"0"	"434"	""
"28"	"17"	"11"	"90"	"46"	"216"	"9"	"3"	"0"	"2"	"2"	"7"	"3"	"15"	"11"	"415"	"0"	"415"	""
"29"	"18"	"14"	"145"	"12"	"238"	"13"	"5"	"6"	"7"	"12"	"3"	"5"	"14"	"18"	"492"	"0"	"492"	""
"30"	"19"	"15"	"129"	"10"	"312"	"16"	"4"	"4"	"7"	"10"	"19"	"12"	"26"	"42"	"606"	"0"	"606"	""
"31"	"20"	"23"	"77"	"12"	"345"	"12"	"4"	"5"	"4"	"9"	"3"	"6"	"9"	"8"	"517"	"0"	"517"	""
"32"	"21"	"4"	"31"	"25"	"92"	"3"	"0"	"1"	"2"	"4"	"2"	"3"	"4"	"5"	"176"	"0"	"176"	""
"33"	"22"	"57"	"86"	"20"	"473"	"36"	"7"	"12"	"4"	"10"	"12"	"8"	"8"	"15"	"748"	"0"	"748"	""
"34"	"23"	"17"	"75"	"37"	"263"	"19"	"3"	"5"	"4"	"5"	"12"	"5"	"17"	"13"	"475"	"0"	"475"	""
"35"	"24"	"11"	"212"	"14"	"165"	"6"	"4"	"2"	"2"	"1"	"2"	"1"	"5"	"5"	"430"	"0"	"430"	""
"36"	"25"	"11"	"234"	"7"	"239"	"5"	"3"	"2"	"2"	"5"	"4"	"6"	"4"	"2"	"524"	"0"	"524"	""
"37"	"26"	"25"	"179"	"25"	"440"	"16"	"3"	"3"	"4"	"3"	"5"	"2"	"12"	"16"	"733"	"0"	"733"	""
"38"	"27"	"8"	"91"	"6"	"282"	"10"	"1"	"0"	"0"	"1"	"7"	"7"	"13"	"7"	"433"	"0"	"433"	""
"39"	"28"	"18"	"207"	"9"	"215"	"15"	"1"	"3"	"8"	"2"	"6"	"4"	"16"	"3"	"507"	"0"	"507"	""
"40"	"; ksx"	"247"	"1951"	"236"	"3739"	"185"	"45"	"48"	"53"	"68"	"97"	"73"	"159"	"161"	"7062"	"0"	"7062"	""
"41"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"331"	"1874"	"168"	"2190"	"135"	"59"	"38"	"60"	"87"	"75"	"70"	"144"	"121"	"5352"	"0"	"5352"	""
"42"	"d qy  ; ksx"	"578"	"3825"	"404"	"5929"	"320"	"104"	"86"	"113"	"155"	"172"	"143"	"303"	"282"	"12414"	"0"	"12414"	""
"43"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"44"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"46"	"29"	"13"	"85"	"9"	"266"	"14"	"4"	"2"	"4"	"6"	"1"	"5"	"7"	"4"	"420"	"0"	"420"	""
"47"	"30"	"8"	"195"	"18"	"124"	"8"	"2"	"1"	"2"	"7"	"2"	"2"	"11"	"10"	"390"	"0"	"390"	""
"48"	"31"	"17"	"142"	"12"	"203"	"11"	"6"	"2"	"5"	"3"	"9"	"10"	"22"	"23"	"465"	"0"	"465"	""
"49"	"32"	"29"	"154"	"1"	"139"	"11"	"3"	"4"	"2"	"5"	"6"	"12"	"18"	"22"	"406"	"0"	"406"	""
"50"	"33"	"23"	"334"	"12"	"367"	"23"	"7"	"5"	"4"	"5"	"4"	"5"	"11"	"12"	"812"	"0"	"812"	""
"51"	"34"	"11"	"172"	"9"	"360"	"6"	"2"	"3"	"1"	"11"	"16"	"4"	"25"	"32"	"652"	"0"	"652"	""
"52"	"35"	"141"	"45"	"11"	"168"	"19"	"4"	"7"	"9"	"10"	"10"	"2"	"13"	"14"	"453"	"0"	"453"	""
"53"	"36"	"27"	"140"	"10"	"162"	"8"	"0"	"3"	"0"	"1"	"2"	"10"	"5"	"9"	"377"	"0"	"377"	""
"54"	"37"	"64"	"117"	"9"	"124"	"5"	"1"	"3"	"4"	"2"	"1"	"1"	"5"	"2"	"338"	"0"	"338"	""
"55"	"38"	"23"	"43"	"7"	"257"	"18"	"3"	"2"	"5"	"7"	"14"	"12"	"15"	"10"	"416"	"0"	"416"	""
"56"	"39"	"5"	"71"	"4"	"17"	"4"	"1"	"1"	"5"	"4"	"0"	"0"	"3"	"0"	"115"	"0"	"115"	""
"57"	"40"	"5"	"19"	"3"	"416"	"6"	"3"	"0"	"0"	"3"	"4"	"1"	"1"	"2"	"463"	"0"	"463"	""
"58"	"41"	"0"	"6"	"4"	"589"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"605"	"0"	"605"	""
"59"	"42"	"42"	"88"	"17"	"421"	"19"	"3"	"4"	"8"	"4"	"6"	"5"	"22"	"28"	"667"	"0"	"667"	""
"60"	"; ksx"	"408"	"1611"	"126"	"3613"	"153"	"39"	"38"	"50"	"68"	"77"	"69"	"158"	"169"	"6579"	"0"	"6579"	""
"61"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"578"	"3825"	"404"	"5929"	"320"	"104"	"86"	"113"	"155"	"172"	"143"	"303"	"282"	"12414"	"0"	"12414"	""
"62"	"d qy  ; ksx"	"986"	"5436"	"530"	"9542"	"473"	"143"	"124"	"163"	"223"	"249"	"212"	"461"	"451"	"18993"	"0"	"18993"	""
"63"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"64"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"65"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"66"	"43"	"40"	"65"	"4"	"351"	"12"	"5"	"3"	"2"	"2"	"0"	"4"	"6"	"9"	"503"	"0"	"503"	""
"67"	"44"	"26"	"196"	"4"	"121"	"5"	"5"	"3"	"2"	"1"	"4"	"3"	"9"	"6"	"385"	"0"	"385"	""
"68"	"45"	"22"	"112"	"6"	"369"	"12"	"1"	"5"	"11"	"4"	"14"	"3"	"19"	"17"	"595"	"0"	"595"	""
"69"	"46"	"64"	"218"	"35"	"266"	"11"	"5"	"3"	"8"	"6"	"2"	"6"	"16"	"13"	"653"	"0"	"653"	""
"70"	"47"	"28"	"342"	"20"	"174"	"17"	"11"	"7"	"6"	"7"	"13"	"8"	"23"	"12"	"668"	"0"	"668"	""
"71"	"48"	"45"	"155"	"43"	"308"	"11"	"3"	"6"	"8"	"5"	"11"	"4"	"15"	"24"	"638"	"0"	"638"	""
"72"	"49"	"48"	"178"	"11"	"257"	"16"	"6"	"6"	"4"	"7"	"12"	"6"	"21"	"23"	"595"	"0"	"595"	""
"73"	"50"	"29"	"40"	"7"	"570"	"20"	"4"	"6"	"6"	"5"	"4"	"3"	"8"	"12"	"714"	"0"	"714"	""
"74"	"51"	"14"	"200"	"6"	"188"	"9"	"2"	"5"	"4"	"1"	"4"	"6"	"13"	"12"	"464"	"0"	"464"	""
"75"	"52"	"35"	"129"	"78"	"177"	"11"	"6"	"1"	"5"	"4"	"2"	"5"	"10"	"9"	"472"	"0"	"472"	""
"76"	"53"	"2"	"148"	"7"	"87"	"5"	"0"	"0"	"1"	"2"	"0"	"0"	"5"	"1"	"258"	"0"	"258"	""
"77"	"54"	"115"	"274"	"12"	"179"	"9"	"3"	"1"	"1"	"2"	"3"	"6"	"3"	"2"	"610"	"0"	"610"	""
"78"	"55"	"49"	"99"	"7"	"358"	"12"	"6"	"2"	"6"	"10"	"14"	"7"	"8"	"44"	"622"	"0"	"622"	""
"79"	"56"	"23"	"81"	"54"	"403"	"26"	"8"	"5"	"20"	"17"	"14"	"18"	"16"	"14"	"699"	"0"	"699"	""
"80"	"; ksx"	"540"	"2237"	"294"	"3808"	"176"	"65"	"53"	"84"	"73"	"97"	"79"	"172"	"198"	"7876"	"0"	"7876"	""
"81"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"986"	"5436"	"530"	"9542"	"473"	"143"	"124"	"163"	"223"	"249"	"212"	"461"	"451"	"18993"	"0"	"18993"	""
"82"	"d qy  ; ksx"	"1526"	"7673"	"824"	"13350"	"649"	"208"	"177"	"247"	"296"	"346"	"291"	"633"	"649"	"26869"	"0"	"26869"	""
"83"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"85"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"86"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"87"	"57"	"16"	"81"	"2"	"429"	"15"	"2"	"1"	"3"	"3"	"5"	"6"	"11"	"26"	"600"	"0"	"600"	""
"88"	"58"	"13"	"25"	"7"	"299"	"6"	"10"	"4"	"1"	"3"	"4"	"6"	"3"	"14"	"395"	"0"	"395"	""
"89"	"59"	"18"	"284"	"5"	"272"	"11"	"2"	"10"	"2"	"2"	"1"	"7"	"6"	"10"	"630"	"0"	"630"	""
"90"	"60"	"53"	"313"	"14"	"261"	"11"	"3"	"5"	"3"	"15"	"7"	"19"	"19"	"44"	"767"	"0"	"767"	""
"91"	"61"	"30"	"86"	"23"	"428"	"15"	"6"	"6"	"4"	"4"	"10"	"10"	"6"	"6"	"634"	"0"	"634"	""
"92"	"62"	"38"	"89"	"68"	"324"	"16"	"21"	"12"	"7"	"5"	"8"	"3"	"109"	"9"	"709"	"0"	"709"	""
"93"	"63"	"30"	"118"	"41"	"299"	"13"	"3"	"3"	"3"	"6"	"3"	"5"	"155"	"7"	"686"	"0"	"686"	""
"94"	"64"	"20"	"127"	"9"	"189"	"15"	"3"	"3"	"2"	"2"	"4"	"4"	"8"	"10"	"396"	"0"	"396"	""
"95"	"65"	"19"	"169"	"76"	"160"	"9"	"1"	"1"	"0"	"7"	"2"	"4"	"11"	"7"	"466"	"0"	"466"	""
"96"	"66"	"34"	"138"	"9"	"315"	"8"	"4"	"3"	"3"	"8"	"6"	"11"	"7"	"13"	"559"	"0"	"559"	""
"97"	"67"	"55"	"232"	"14"	"353"	"18"	"7"	"4"	"11"	"16"	"4"	"2"	"8"	"8"	"732"	"0"	"732"	""
"98"	"68"	"7"	"168"	"9"	"343"	"11"	"4"	"2"	"1"	"5"	"7"	"5"	"21"	"26"	"609"	"0"	"609"	""
"99"	"69"	"21"	"139"	"13"	"285"	"11"	"8"	"0"	"1"	"6"	"3"	"2"	"4"	"9"	"502"	"0"	"502"	""
"100"	"70"	"40"	"139"	"25"	"242"	"19"	"9"	"3"	"2"	"4"	"1"	"1"	"6"	"12"	"503"	"0"	"503"	""
"101"	"; ksx"	"394"	"2108"	"315"	"4199"	"178"	"83"	"57"	"43"	"86"	"65"	"85"	"374"	"201"	"8188"	"0"	"8188"	""
"102"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1526"	"7673"	"824"	"13350"	"649"	"208"	"177"	"247"	"296"	"346"	"291"	"633"	"649"	"26869"	"0"	"26869"	""
"103"	"d qy  ; ksx"	"1920"	"9781"	"1139"	"17549"	"827"	"291"	"234"	"290"	"382"	"411"	"376"	"1007"	"850"	"35057"	"0"	"35057"	""
"104"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"105"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"107"	"71"	"28"	"93"	"13"	"309"	"11"	"1"	"1"	"1"	"4"	"1"	"7"	"8"	"13"	"490"	"0"	"490"	""
"108"	"72"	"47"	"177"	"17"	"136"	"8"	"7"	"2"	"6"	"3"	"5"	"11"	"20"	"29"	"468"	"0"	"468"	""
"109"	"73"	"82"	"76"	"8"	"241"	"13"	"4"	"7"	"3"	"8"	"3"	"4"	"13"	"7"	"469"	"0"	"469"	""
"110"	"74"	"15"	"65"	"9"	"205"	"9"	"0"	"2"	"1"	"3"	"3"	"2"	"12"	"5"	"331"	"0"	"331"	""
"111"	"75"	"34"	"176"	"15"	"286"	"10"	"3"	"3"	"8"	"7"	"4"	"4"	"11"	"11"	"572"	"0"	"572"	""
"112"	"76"	"44"	"225"	"15"	"234"	"2"	"3"	"0"	"3"	"3"	"2"	"12"	"12"	"22"	"577"	"0"	"577"	""
"113"	"77"	"7"	"127"	"2"	"240"	"4"	"2"	"2"	"4"	"3"	"3"	"0"	"7"	"4"	"405"	"0"	"405"	""
"114"	"78"	"73"	"107"	"12"	"278"	"19"	"6"	"49"	"3"	"3"	"4"	"2"	"8"	"12"	"576"	"0"	"576"	""
"115"	"79"	"35"	"98"	"16"	"234"	"13"	"5"	"3"	"2"	"2"	"0"	"1"	"3"	"4"	"416"	"0"	"416"	""
"116"	"80"	"87"	"156"	"41"	"390"	"17"	"7"	"1"	"10"	"8"	"3"	"11"	"13"	"28"	"772"	"0"	"772"	""
"117"	"81"	"37"	"171"	"3"	"240"	"11"	"2"	"1"	"4"	"1"	"1"	"2"	"6"	"4"	"483"	"0"	"483"	""
"118"	"82"	"18"	"68"	"6"	"110"	"9"	"0"	"0"	"7"	"3"	"2"	"4"	"8"	"8"	"243"	"0"	"243"	""
"119"	"83"	"51"	"171"	"8"	"251"	"12"	"3"	"1"	"5"	"11"	"7"	"9"	"20"	"23"	"572"	"0"	"572"	""
"120"	"84"	"135"	"259"	"9"	"180"	"7"	"0"	"0"	"1"	"2"	"2"	"0"	"3"	"2"	"600"	"0"	"600"	""
"121"	"; ksx"	"693"	"1969"	"174"	"3334"	"145"	"43"	"72"	"58"	"61"	"40"	"69"	"144"	"172"	"6974"	"0"	"6974"	""
"122"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1920"	"9781"	"1139"	"17549"	"827"	"291"	"234"	"290"	"382"	"411"	"376"	"1007"	"850"	"35057"	"0"	"35057"	""
"123"	"d qy  ; ksx"	"2613"	"11715"	"1313"	"20883"	"972"	"334"	"306"	"348"	"443"	"451"	"445"	"1151"	"1022"	"42031"	"0"	"42031"	""
"124"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"126"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"127"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"128"	"85"	"46"	"150"	"10"	"288"	"18"	"2"	"1"	"10"	"6"	"3"	"7"	"3"	"4"	"548"	"0"	"548"	""
"129"	"86"	"36"	"137"	"4"	"369"	"14"	"5"	"6"	"10"	"13"	"7"	"12"	"10"	"11"	"634"	"0"	"634"	""
"130"	"87"	"13"	"327"	"13"	"145"	"10"	"3"	"5"	"3"	"6"	"2"	"3"	"5"	"9"	"544"	"0"	"544"	""
"131"	"88"	"22"	"455"	"7"	"68"	"5"	"3"	"1"	"1"	"5"	"6"	"6"	"16"	"13"	"608"	"0"	"608"	""
"132"	"89"	"70"	"311"	"62"	"209"	"9"	"8"	"4"	"4"	"11"	"1"	"4"	"17"	"15"	"725"	"0"	"725"	""
"133"	"90"	"4"	"518"	"2"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"542"	"0"	"542"	""
"134"	"91"	"17"	"98"	"3"	"184"	"3"	"1"	"1"	"0"	"0"	"2"	"4"	"10"	"11"	"334"	"0"	"334"	""
"135"	"92"	"17"	"138"	"10"	"197"	"7"	"3"	"4"	"0"	"4"	"6"	"2"	"1"	"42"	"441"	"0"	"441"	""
"136"	"93"	"19"	"220"	"37"	"153"	"4"	"3"	"1"	"2"	"0"	"1"	"1"	"13"	"5"	"459"	"0"	"459"	""
"137"	"94"	"20"	"74"	"22"	"321"	"15"	"5"	"2"	"2"	"3"	"2"	"3"	"3"	"0"	"472"	"0"	"472"	""
"138"	"95"	"21"	"42"	"5"	"256"	"4"	"1"	"4"	"2"	"3"	"1"	"0"	"3"	"4"	"446"	"0"	"446"	""
"139"	"96"	"30"	"154"	"5"	"270"	"6"	"1"	"0"	"4"	"1"	"1"	"2"	"2"	"6"	"482"	"0"	"482"	""
"140"	"97"	"10"	"76"	"9"	"326"	"8"	"3"	"4"	"2"	"3"	"3"	"3"	"7"	"13"	"467"	"0"	"467"	""
"141"	"98"	"20"	"68"	"1"	"227"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"6"	"0"	"330"	"0"	"330"	""
"142"	"; ksx"	"345"	"2768"	"190"	"3024"	"106"	"40"	"33"	"42"	"56"	"35"	"49"	"109"	"135"	"6932"	"0"	"6932"	""
"143"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"2613"	"11750"	"1313"	"20883"	"972"	"334"	"306"	"348"	"443"	"451"	"445"	"1151"	"1022"	"42031"	"0"	"42031"	""
"144"	"d qy  ; ksx"	"2958"	"14518"	"1503"	"23907"	"1078"	"374"	"339"	"390"	"499"	"486"	"494"	"1260"	"1157"	"48963"	"0"	"48963"	""
"145"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"146"	""	"vfu: )  i zl kn
mQZ l k/kq
; kno"	"j s; kt qy  gd
mQZ **j kt q**"	"f' kot h i zl kn"	"l qck\"k fl ag"	"v: .k fl ag"	"t x ukj k; .k
fl ag"	"i zeksn dqekj
fl ag"	"ckcq gql su"	"v: .k dqekj
i zl kn xqIr k"	"eksr hyky
l kg"	"j ke l qj r  j ke"	"' kEHkq fl ag"	"fl danj
vkt e"	""	""	""	""
"147"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"148"	"99"	"24"	"80"	"3"	"301"	"5"	"1"	"2"	"2"	"4"	"0"	"1"	"7"	"9"	"439"	"0"	"439"	""
"149"	"100"	"28"	"63"	"5"	"270"	"3"	"1"	"0"	"0"	"7"	"0"	"2"	"6"	"12"	"397"	"0"	"397"	""
"150"	"101"	"34"	"79"	"2"	"431"	"4"	"1"	"1"	"3"	"5"	"3"	"2"	"5"	"5"	"575"	"0"	"575"	""
"151"	"102"	"34"	"186"	"3"	"271"	"3"	"0"	"0"	"2"	"4"	"1"	"0"	"1"	"3"	"508"	"0"	"508"	""
"152"	"103"	"16"	"165"	"1"	"321"	"2"	"1"	"5"	"2"	"0"	"0"	"1"	"2"	"5"	"521"	"0"	"521"	""
