"er.nku.dsUnz.l.a....k"	"vo.kfogkj.h.pkS.kj.h"	"O..kl.nso.i.zl.kn"	"X..kkghn.gql.Su"	"JhdkUr..t.h"	"l.at.ho.dqekj"	"bt.gk..y..gd"	"mi.sUnz.fr.okj.h"	"uSeqí.hu.val.kj.h"	"fo..odekZ.i.zl.kn.pkSgku"	"vt....dqekj"	"vCnqy..fj.t.oku.val.kj.h"	"vfHk..ksd..dqekj"	"vyh.v..r.j"	"t.ykywnhu.vgen"	"t.y.s..oj..Hkxr"	"fnyhi..dqekj"	"uj.s..k.pUn...kno"	"Hkhe.i.zl.kn...kno"	"eal.qj..vkye"	"j.kt...dqekj....kekZ"	"X..kdqUr.yk.nsoh"	"X..kEHkw.i.zl.kn"	"l.axhr.k.fl.Ugk"	"X..kQh..y..gd"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"13"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"14"	7	371	110	71	3	4	2	5	24	4	0	4	2	2	4	9	12	6	1	2	0	0	1	2	0	639	0	639	0
"15"	8	123	266	31	2	1	16	1	1	3	3	35	1	1	2	3	7	5	5	0	3	1	7	3	23	543	0	543	0
"16"	9	58	314	5	1	2	4	0	1	12	3	0	6	1	1	1	2	2	8	5	2	1	0	4	3	436	0	436	0
"17"	10	156	208	29	1	1	2	3	7	0	2	2	2	1	6	12	1	8	7	5	5	1	4	1	3	467	0	467	0
"18"	11	82	170	18	1	0	0	1	2	0	3	4	1	0	3	4	6	8	4	3	6	1	3	1	9	330	0	330	0
"19"	12	173	443	8	2	0	3	2	33	3	1	9	2	1	0	4	2	9	4	4	8	4	3	7	6	731	0	731	0
"20"	13	108	485	24	2	1	1	2	6	6	3	2	3	1	2	10	4	15	27	13	6	3	1	9	8	742	0	742	0
"21"	NA	1071	1996	186	12	9	28	14	74	28	15	56	17	7	18	43	34	53	56	32	30	11	19	27	52	3888	0	3888	0
"22"	NA	1341	1778	79	27	4	12	11	78	23	11	38	8	7	17	37	52	38	52	25	13	14	9	17	168	3859	0	3859	0
"23"	NA	2412	3774	265	39	13	40	25	152	51	26	94	25	14	35	80	86	91	108	57	43	25	28	44	220	7747	0	7747	0
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"26"	14	209	168	11	3	1	0	2	6	0	3	16	2	0	0	3	5	0	11	0	0	1	0	1	1	443	0	443	0
"27"	NA	222	192	15	0	0	6	0	1	0	0	0	0	0	2	1	0	0	3	1	2	1	0	0	0	446	0	446	0
"28"	15	107	550	12	3	0	30	0	11	4	2	1	1	1	5	5	0	12	14	5	3	2	4	6	5	783	0	783	0
"29"	16	175	297	10	7	3	5	6	42	6	9	11	13	4	13	31	18	11	11	5	14	7	6	1	10	715	0	715	0
"30"	17	149	109	7	5	0	12	1	8	6	3	1	1	2	58	6	4	7	6	5	4	1	4	1	15	415	0	415	0
"31"	NA	141	85	6	4	2	6	5	33	3	11	1	1	2	31	3	7	6	0	0	2	3	2	3	6	363	0	363	0
"32"	18	147	252	37	2	0	3	1	9	5	9	14	3	3	12	4	12	26	22	13	22	4	7	5	51	663	0	663	0
"33"	NA	1150	1653	98	24	6	62	15	110	24	37	44	21	12	121	53	46	62	67	29	47	19	23	17	88	3828	0	3828	0
"34"	NA	2412	3774	265	39	13	40	25	152	51	26	94	25	14	35	80	86	91	108	57	43	25	28	44	220	7747	0	7747	0
"35"	NA	3562	5427	363	63	19	102	40	262	75	63	138	46	26	156	133	132	153	175	86	90	44	51	61	308	11575	0	11575	0
"36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"38"	19	101	93	3	2	0	0	1	0	0	0	0	0	0	0	0	0	2	10	2	2	1	0	1	2	220	0	220	0
"39"	20	90	525	16	5	2	3	5	3	1	3	3	6	2	4	12	1	7	14	5	3	2	3	2	6	723	0	723	0
"40"	21	391	146	3	0	1	2	1	3	18	2	1	2	0	0	2	1	0	26	0	1	0	2	2	0	604	0	604	0
"41"	22	278	287	3	4	3	2	6	23	0	2	0	1	2	2	5	11	11	35	1	2	0	1	3	5	687	0	687	0
"42"	23	121	201	7	3	2	1	2	2	2	2	2	0	0	3	11	6	13	72	9	9	4	6	7	3	488	0	488	0
"43"	24	194	318	7	4	0	0	1	0	6	3	5	3	2	0	7	6	13	13	5	5	5	3	8	12	620	0	620	0
"44"	25	146	177	10	2	1	2	0	1	0	1	0	1	2	5	11	4	9	11	1	5	2	1	3	6	401	0	401	0
"45"	NA	1321	1747	49	20	9	10	16	32	27	13	11	13	8	14	48	29	55	181	23	27	14	16	26	34	3743	0	3743	0
"46"	NA	3562	5427	363	63	19	102	40	262	75	63	138	46	26	156	133	132	153	175	86	90	44	51	61	308	11575	0	11575	0
"47"	NA	4883	7174	412	83	28	112	56	294	102	76	149	59	34	170	181	161	208	356	109	117	58	67	87	342	15318	0	15318	0
"48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"50"	26	125	382	28	5	1	3	1	1	2	5	1	1	1	4	7	6	5	7	4	2	5	1	4	3	604	0	604	0
"51"	27	216	188	32	5	1	1	4	3	0	3	9	1	0	1	3	2	2	5	0	0	0	0	0	0	476	0	476	0
"52"	28	51	498	12	8	2	1	0	1	4	1	1	0	0	1	8	3	10	22	3	5	3	1	7	5	647	0	647	0
"53"	29	112	306	8	3	0	0	0	1	11	1	1	0	1	3	2	9	5	12	0	5	0	1	3	0	484	0	484	0
"54"	30	131	233	1	1	0	5	1	2	4	0	0	0	0	0	3	2	1	36	2	0	1	0	1	1	425	0	425	0
"55"	31	26	149	6	1	0	0	0	1	1	0	3	0	1	3	1	1	1	42	0	2	1	1	4	6	250	0	250	0
"56"	32	124	365	9	3	0	2	0	1	53	3	2	3	3	2	13	4	6	12	0	3	2	1	5	3	619	0	619	0
"57"	NA	785	2121	96	26	4	12	6	10	75	13	17	5	6	14	37	27	30	136	9	17	12	5	24	18	3505	0	3505	0
"58"	NA	4883	7174	412	83	28	112	56	294	102	76	149	59	34	170	181	161	208	356	109	117	58	67	87	342	15318	0	15318	0
"59"	NA	5668	9295	508	109	32	124	62	304	177	89	166	64	40	184	218	188	238	492	118	134	70	72	111	360	18823	0	18823	0
"60"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"62"	33	155	208	18	4	2	2	2	4	2	2	3	1	1	14	4	2	1	63	2	2	1	0	9	2	504	0	504	0
"63"	34	169	58	49	7	0	1	1	1	0	3	0	3	0	4	7	7	13	7	6	2	1	0	2	1	342	0	342	0
"64"	35	147	469	8	2	7	3	2	3	2	2	2	1	3	5	5	9	1	10	3	5	1	4	1	4	699	0	699	0
"65"	36	76	288	6	3	0	2	1	6	2	3	38	4	4	2	6	4	4	76	4	21	4	8	4	4	570	0	570	0
"66"	37	81	233	38	1	3	2	1	1	2	3	12	1	1	18	4	0	4	100	4	14	1	3	1	0	528	0	528	0
"67"	38	168	181	13	3	2	1	3	1	6	7	3	2	3	9	15	12	3	31	3	3	0	1	1	5	476	0	476	0
"68"	39	47	344	9	4	1	0	0	2	9	2	0	0	3	10	5	1	2	30	6	1	0	3	1	2	482	0	482	0
"69"	NA	843	1781	141	24	15	11	10	18	23	22	58	12	15	62	46	35	28	317	28	48	8	19	19	18	3601	0	3601	0
"70"	NA	5668	9295	508	109	32	124	62	304	177	89	166	64	40	184	218	188	238	492	118	134	70	72	111	360	18823	0	18823	0
"71"	NA	6511	11076	649	133	47	135	72	322	200	111	224	76	55	246	264	223	266	809	146	182	78	91	130	378	22424	0	22424	0
"72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"74"	40	179	242	9	6	3	3	1	3	4	2	5	0	3	7	11	4	14	50	4	0	1	5	0	0	556	0	556	0
"75"	41	31	246	5	1	4	3	2	3	3	4	1	2	2	10	11	2	12	57	8	11	3	6	8	1	436	0	436	0
"76"	42	25	239	7	3	1	3	0	2	9	0	2	0	0	1	4	2	4	75	2	16	1	2	0	1	399	0	399	0
"77"	43	148	200	9	4	3	5	5	53	7	2	5	1	1	9	11	10	11	185	5	11	4	13	8	10	720	0	720	0
"78"	44	136	202	6	3	1	3	3	23	5	2	1	1	2	1	5	5	8	19	5	28	3	1	1	2	466	0	466	0
"79"	45	290	132	10	1	1	0	1	17	2	3	31	0	1	3	8	1	9	9	3	2	2	2	2	10	540	0	540	0
"80"	46	257	317	11	11	3	4	4	9	7	6	6	0	1	0	10	5	6	11	0	14	2	1	4	7	696	0	696	0
"81"	NA	1066	1578	57	29	16	21	16	110	37	19	51	4	10	31	60	29	64	406	27	82	16	30	23	31	3813	0	3813	0
"82"	NA	6511	11076	649	133	47	135	72	322	200	111	224	76	55	246	264	223	266	809	146	182	78	91	130	378	22424	0	22424	0
"83"	NA	7577	12654	706	162	63	156	88	432	237	130	275	80	65	277	324	252	330	1215	173	264	94	121	153	409	26237	0	26237	0
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"86"	47	340	57	3	1	4	0	1	0	0	2	1	1	0	1	1	1	3	9	3	41	0	0	2	0	471	0	471	0
"87"	48	263	57	8	1	5	1	0	0	0	1	4	1	0	3	7	6	11	6	4	135	1	1	4	6	525	0	525	0
"88"	49	185	224	17	9	2	1	4	7	20	4	2	10	4	4	6	7	4	2	2	4	0	0	37	3	558	0	558	0
"89"	50	193	393	10	4	4	2	4	17	7	4	3	2	2	7	14	12	23	37	8	9	1	2	2	7	767	0	767	0
"90"	51	132	206	7	4	3	1	0	0	3	2	1	2	3	3	5	2	8	6	3	3	2	5	5	3	409	0	409	0
"91"	NA	108	199	15	0	0	1	7	2	0	8	1	1	1	2	7	7	6	6	0	4	3	1	5	1	385	0	385	0
"92"	52	318	458	12	8	5	1	3	1	2	4	1	0	4	3	13	8	12	20	0	5	1	1	3	0	883	0	883	0
"93"	NA	1539	1594	72	27	23	7	19	27	32	25	13	17	14	23	53	43	67	86	20	201	8	10	58	20	3998	0	3998	0
"94"	NA	7577	12654	706	162	63	156	88	432	237	130	275	80	65	277	324	252	330	1215	173	264	94	121	153	409	26237	0	26237	0
"95"	NA	9116	14248	778	189	86	163	107	459	269	155	288	97	79	300	377	295	397	1301	193	465	102	131	211	429	30235	0	30235	0
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"98"	53	188	420	10	4	3	0	1	1	9	6	2	7	1	2	11	10	13	11	3	6	2	0	4	4	718	0	718	0
"99"	54	38	336	2	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	383	0	383	0
"100"	55	338	352	10	1	4	3	2	3	3	1	0	3	0	3	15	13	8	1	2	10	0	0	1	6	779	0	779	0
"101"	56	162	537	15	6	5	2	3	7	1	4	3	1	1	2	3	6	3	0	0	0	0	1	1	0	763	0	763	0
"102"	57	47	125	3	3	1	3	5	47	1	1	5	24	1	9	2	0	0	0	1	0	0	0	0	0	278	0	278	0
"103"	58	22	294	6	1	0	0	1	1	0	2	0	2	1	2	3	0	0	6	0	8	1	0	9	3	362	0	362	0
"104"	59	176	325	9	1	1	3	1	2	5	3	5	3	1	0	13	1	5	3	1	5	0	0	3	1	567	0	567	0
"105"	NA	971	2389	55	17	14	11	13	62	19	17	17	41	5	18	47	30	29	21	7	31	3	1	18	14	3850	0	3850	0
"106"	NA	9116	14248	778	189	86	163	107	459	269	155	288	97	79	300	377	295	397	1301	193	465	102	131	211	429	30235	0	30235	0
"107"	NA	NA	16637	833	206	100	174	120	521	288	172	305	138	84	318	424	325	426	1322	200	496	105	132	229	443	34085	0	34085	0
"108"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"109"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"110"	60	275	268	11	0	0	0	2	5	1	3	0	0	1	1	24	3	12	9	7	1	2	4	3	5	637	0	637	0
"111"	61	93	140	32	2	2	15	7	67	2	1	2	3	0	2	2	2	1	7	0	0	1	0	1	2	384	0	384	0
"112"	62	156	215	35	2	0	2	3	35	13	5	0	5	1	2	3	1	6	10	0	0	1	0	17	0	512	0	512	0
"113"	63	90	163	5	1	0	0	3	13	6	2	2	5	0	1	1	2	5	14	5	28	2	1	6	1	356	0	356	0
"114"	64	116	22	0	0	0	0	0	6	0	0	0	0	1	0	1	2	6	0	0	0	1	1	16	3	175	0	175	0
"115"	65	69	323	4	1	3	1	0	0	4	6	0	39	0	1	0	1	1	14	0	1	0	10	15	1	494	0	494	0
"116"	66	57	344	9	8	1	0	0	0	0	1	2	6	0	0	6	2	4	20	0	8	0	0	19	3	490	0	490	0
"117"	NA	856	1475	96	14	6	18	15	126	26	18	6	58	3	7	37	13	35	74	12	38	7	16	77	15	3048	0	3048	0
"118"	NA	NA	16637	833	206	100	174	120	521	288	172	305	138	84	318	424	325	426	1322	200	496	105	132	229	443	34085	0	34085	0
"119"	NA	NA	18112	929	220	106	192	135	647	314	190	311	196	87	325	461	338	461	1396	212	534	112	148	306	458	37133	0	37133	0
"120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"122"	67	247	244	7	5	1	1	0	5	14	4	1	3	1	5	7	0	11	6	5	3	3	1	2	0	576	0	576	0
"123"	68	133	244	10	3	3	8	2	13	100	23	12	0	0	1	1	4	6	4	1	6	3	17	1	9	604	0	604	0
"124"	69	138	292	37	8	4	1	4	10	3	11	65	4	4	10	18	20	9	7	1	9	2	2	7	6	672	0	672	0
"125"	70	237	319	1	1	1	3	2	20	48	1	6	1	0	1	3	2	3	7	0	9	0	1	1	1	668	0	668	0
"126"	71	268	85	5	6	0	0	0	0	1	0	1	1	1	1	4	3	6	9	2	23	0	1	3	3	423	0	423	0
"127"	72	195	106	17	3	0	1	4	30	2	0	7	1	1	0	4	5	0	8	2	0	0	0	0	1	387	0	387	0
"128"	73	316	45	4	2	0	0	1	0	0	0	1	1	0	0	2	3	5	8	0	2	1	3	2	4	400	0	400	0
"129"	NA	1534	1335	81	28	9	14	13	78	168	39	93	11	7	18	39	37	40	49	11	52	9	25	16	24	3730	0	3730	0
"130"	NA	NA	18112	929	220	106	192	135	647	314	190	311	196	87	325	461	338	461	1396	212	534	112	148	306	458	37133	0	37133	0
"131"	NA	NA	19447	1010	248	115	206	148	725	482	229	404	207	94	343	500	375	501	1445	223	586	121	173	322	482	40863	0	40863	0
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"134"	74	100	151	5	9	0	3	1	1	1	3	58	2	0	3	6	5	5	7	2	3	1	4	1	1	372	0	372	0
"135"	NA	349	56	1	3	0	2	0	0	0	4	18	0	0	1	5	3	3	3	1	1	0	0	0	1	451	0	451	0
"136"	75	156	372	44	7	1	3	4	6	8	0	5	4	2	2	4	3	8	6	5	8	1	3	17	1	670	0	670	0
"137"	76	149	148	15	3	1	0	6	44	0	1	4	1	2	1	3	1	1	3	0	3	0	1	3	5	395	0	395	0
"138"	77	110	227	12	10	1	0	10	99	9	1	2	4	0	0	6	3	2	2	0	1	0	1	1	0	501	0	501	0
"139"	78	91	120	5	7	0	0	15	142	10	2	1	8	5	0	7	2	21	13	4	4	0	3	18	8	486	0	486	0
"140"	NA	175	123	11	1	0	2	3	56	4	4	2	1	0	1	5	6	13	8	1	4	3	0	4	6	433	0	433	0
"141"	NA	1130	1197	93	40	3	10	39	348	32	15	90	20	9	8	36	23	53	42	13	24	5	12	44	22	3308	0	3308	0
"142"	NA	NA	19447	1010	248	115	206	148	725	482	229	404	207	94	343	500	375	501	1445	223	586	121	173	322	482	40863	0	40863	0
"143"	NA	NA	20644	1103	288	118	216	187	1073	514	244	494	227	103	351	536	398	554	1487	236	610	126	185	366	504	44171	0	44171	0
"144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"146"	79	171	395	43	16	5	3	7	21	2	5	2	1	2	4	9	2	3	10	4	2	1	4	5	2	719	0	719	0
"147"	80	168	250	15	6	1	3	5	36	4	5	1	3	5	3	13	17	4	16	0	2	0	1	3	3	564	0	564	0
"148"	81	225	387	7	6	0	6	3	36	3	4	1	3	0	2	4	6	8	4	2	0	0	0	1	7	715	0	715	0
"149"	82	73	185	11	4	1	0	9	38	26	2	3	3	0	2	3	4	10	6	2	1	3	0	2	4	392	0	392	0
"150"	83	151	285	8	5	0	1	0	0	3	12	0	10	0	0	3	2	1	6	0	3	0	0	1	1	492	0	492	0
"151"	84	333	246	45	17	3	0	3	12	0	0	4	1	1	0	6	11	8	9	0	3	1	2	10	4	719	0	719	0
"152"	85	160	139	22	11	1	2	3	31	1	0	37	1	1	2	3	12	6	4	4	6	3	1	0	5	455	0	455	0
"153"	NA	1281	1887	151	65	11	15	30	174	39	28	48	22	9	13	41	54	40	55	12	17	8	8	22	26	4056	0	4056	0
"154"	NA	NA	20644	1103	288	118	216	187	1073	514	244	494	227	103	351	536	398	554	1487	236	610	126	185	366	504	44171	0	44171	0
"155"	NA	NA	22531	1254	353	129	231	217	1247	553	272	542	249	112	364	577	452	594	1542	248	627	134	193	388	530	48227	0	48227	0
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"158"	86	106	119	53	9	0	0	0	8	2	1	2	1	0	2	2	4	1	3	2	1	2	4	3	6	331	0	331	0
"159"	87	159	261	113	2	0	3	0	17	4	2	2	2	1	2	3	5	8	9	7	1	2	1	4	1	609	0	609	0
"160"	88	129	129	6	1	2	2	7	62	3	0	10	1	1	1	2	3	1	5	2	0	1	1	3	4	376	0	376	0
"161"	89	55	145	4	5	0	0	3	113	1	0	4	0	0	1	1	1	1	6	0	0	1	0	5	2	348	0	348	0
"162"	90	381	387	17	4	2	2	1	8	3	4	7	1	2	0	8	11	10	16	3	0	1	1	2	0	871	0	871	0
"163"	91	191	253	60	1	0	2	0	5	1	0	2	3	1	5	1	15	18	20	9	4	2	0	12	4	609	0	609	0
"164"	92	52	182	55	1	0	0	1	1	1	1	3	1	0	2	2	9	7	7	6	3	0	2	1	0	337	0	337	0
"165"	NA	1073	1476	308	23	4	9	12	214	15	8	30	9	5	13	19	48	46	66	29	9	9	9	30	17	3481	0	3481	0
"166"	NA	NA	22531	1254	353	129	231	217	1247	553	272	542	249	112	364	577	452	594	1542	248	627	134	193	388	530	48227	0	48227	0
"167"	NA	NA	24007	1562	376	133	240	229	1461	568	280	572	258	117	377	596	500	640	1608	277	636	143	202	418	547	51708	0	51708	0
"168"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"170"	93	178	246	2	1	0	1	4	14	0	3	34	0	1	0	8	3	6	4	0	2	1	2	4	3	517	0	517	0
"171"	94	314	250	12	1	1	1	3	9	3	4	1	10	1	1	13	8	12	7	1	1	1	2	5	7	668	0	668	0
"172"	95	239	215	4	4	3	3	8	34	6	6	11	3	2	4	22	31	16	16	4	2	1	8	3	5	650	0	650	0
"173"	96	273	153	35	11	3	3	9	105	6	1	2	3	1	6	15	5	9	5	2	2	1	0	7	11	668	0	668	0
"174"	97	140	337	8	1	0	3	5	66	3	4	6	0	0	12	16	17	1	4	1	0	1	1	0	1	627	0	627	0
"175"	98	141	361	15	2	4	0	5	4	6	7	63	2	2	5	2	8	3	2	2	1	1	1	4	4	645	0	645	0
"176"	99	251	255	2	5	2	0	0	2	2	0	0	0	0	0	6	1	1	1	0	0	0	0	2	0	530	0	530	0
"177"	NA	1536	1817	78	25	13	11	34	234	26	25	117	18	7	28	82	73	48	39	10	8	6	14	25	31	4305	0	4305	0
"178"	NA	NA	24007	1562	376	133	240	229	1461	568	280	572	258	117	377	596	500	640	1608	277	636	143	202	418	547	51708	0	51708	0
"179"	NA	NA	25824	1640	401	146	251	263	1695	594	305	689	276	124	405	678	573	688	1647	287	644	149	216	443	578	56013	0	56013	0
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"182"	100	157	407	12	11	7	0	1	2	3	7	34	2	2	1	4	7	11	4	4	3	3	4	4	1	691	0	691	0
"183"	101	21	146	41	2	2	1	1	0	0	2	47	0	2	0	4	1	5	5	4	0	1	4	9	3	301	0	301	0
"184"	102	83	231	14	1	0	6	0	0	4	5	39	3	1	4	8	3	3	8	4	6	2	8	30	4	467	0	467	0
"185"	103	410	184	2	4	1	0	1	4	0	5	24	7	2	4	13	10	22	10	3	5	0	1	44	16	772	0	772	0
"186"	104	116	222	2	1	0	1	0	2	4	1	7	5	0	2	4	3	1	3	0	0	0	2	2	1	379	0	379	0
"187"	NA	128	140	21	3	0	4	2	10	38	1	6	5	1	1	4	6	1	0	5	1	0	2	0	3	382	0	382	0
"188"	105	392	172	17	9	1	4	1	6	0	1	28	3	2	6	6	8	8	7	6	2	0	8	2	3	692	0	692	0
"189"	NA	1307	1502	109	31	11	16	6	24	49	22	185	25	10	18	43	38	51	37	26	17	6	29	91	31	3684	0	3684	0
"190"	NA	NA	25824	1640	401	146	251	263	1695	594	305	689	276	124	405	678	573	688	1647	287	644	149	216	443	578	56013	0	56013	0
"191"	NA	NA	27326	1749	432	157	267	269	1719	643	327	874	301	134	423	721	611	739	1684	313	661	155	245	534	609	59697	0	59697	0
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"194"	106	216	252	11	5	3	4	0	4	13	6	45	2	1	4	4	5	20	9	5	2	8	6	6	10	641	0	641	0
"195"	107	277	300	7	2	0	2	2	3	1	5	7	3	0	0	4	6	3	4	2	6	1	0	2	2	639	0	639	0
"196"	108	217	225	4	5	3	13	1	5	111	3	2	2	2	5	14	21	7	1	3	2	1	1	5	6	659	0	659	0
"197"	109	69	207	29	8	0	1	2	1	31	1	18	3	0	4	4	4	17	7	3	1	2	6	5	14	437	0	437	0
