"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X243458.102.243560.35.Bisfi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"50"	"35"	"52"	"45"	"1"	"4"	"114"	"92"	"5"	"6"	"16"	"2"	"0"	"2"	"0"	"3"	"8"	"350"	""	"350"	""
"51"	"36"	"17"	"110"	"4"	"1"	"88"	"60"	"0"	"6"	"2"	"1"	"0"	"7"	"4"	"2"	"16"	"318"	""	"318"	""
"52"	"37"	"12"	"213"	"6"	"4"	"108"	"26"	"3"	"7"	"13"	"1"	"0"	"12"	"1"	"11"	"9"	"426"	""	"426"	""
"53"	"38"	"8"	"227"	"15"	"3"	"60"	"7"	"6"	"0"	"13"	"2"	"3"	"6"	"3"	"8"	"4"	"365"	""	"365"	""
"54"	"39"	"37"	"86"	"5"	"16"	"410"	"30"	"13"	"16"	"20"	"12"	"24"	"84"	"16"	"18"	"20"	"807"	""	"807"	""
"55"	"40"	"12"	"37"	"1"	"2"	"175"	"4"	"2"	"6"	"3"	"5"	"3"	"2"	"11"	"4"	"12"	"279"	""	"279"	""
"56"	"41"	"60"	"9"	"2"	"2"	"99"	"43"	"5"	"1"	"0"	"2"	"2"	"1"	"2"	"5"	"17"	"250"	""	"250"	""
"57"	"42"	"17"	"20"	"1"	"2"	"128"	"10"	"1"	"4"	"2"	"4"	"8"	"4"	"4"	"9"	"28"	"242"	""	"242"	""
"58"	"Total -3"	"347"	"1658"	"67"	"63"	"1902"	"442"	"54"	"84"	"88"	"56"	"72"	"399"	"105"	"126"	"218"	"5681"	"0"	"5681"	"0"
"59"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"63"	"B.F."	"978"	"6289"	"261"	"165"	"6990"	"1148"	"153"	"252"	"184"	"144"	"146"	"986"	"166"	"237"	"526"	"18625"	"0"	"18625"	"0"
"64"	"43"	"28"	"65"	"2"	"1"	"74"	"39"	"2"	"3"	"1"	"1"	"2"	"32"	"3"	"2"	"6"	"261"	""	"261"	""
"65"	"44"	"15"	"22"	"0"	"0"	"106"	"50"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"202"	""	"202"	""
"66"	"45"	"16"	"225"	"21"	"2"	"149"	"5"	"6"	"4"	"6"	"2"	"6"	"32"	"7"	"18"	"27"	"526"	""	"526"	""
"67"	"46"	"22"	"33"	"2"	"1"	"111"	"11"	"2"	"1"	"3"	"2"	"1"	"48"	"2"	"3"	"13"	"255"	""	"255"	""
"68"	"47"	"14"	"832"	"1"	"0"	"7"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"860"	""	"860"	""
"69"	"48"	"24"	"549"	"5"	"2"	"220"	"4"	"1"	"1"	"2"	"2"	"8"	"0"	"0"	"4"	"3"	"825"	""	"825"	""
"70"	"49"	"18"	"485"	"14"	"1"	"3"	"0"	"0"	"1"	"5"	"0"	"1"	"2"	"0"	"1"	"1"	"532"	""	"532"	""
"71"	"49A"	"8"	"343"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"360"	""	"360"	""
"72"	"50"	"19"	"9"	"1"	"3"	"568"	"14"	"3"	"2"	"1"	"0"	"2"	"3"	"0"	"0"	"3"	"628"	""	"628"	""
"73"	"51"	"12"	"411"	"10"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"440"	""	"440"	""
"74"	"52"	"26"	"481"	"1"	"0"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"522"	""	"522"	""
"75"	"53"	"9"	"413"	"5"	"0"	"7"	"2"	"7"	"7"	"1"	"0"	"1"	"1"	"1"	"3"	"5"	"462"	""	"462"	""
"76"	"54"	"8"	"67"	"0"	"1"	"581"	"8"	"2"	"8"	"3"	"3"	"4"	"6"	"5"	"0"	"5"	"701"	""	"701"	""
"77"	"55"	"42"	"437"	"7"	"1"	"18"	"0"	"2"	"3"	"1"	"0"	"2"	"1"	"0"	"7"	"4"	"525"	""	"525"	""
"78"	"Total -4"	"261"	"4372"	"73"	"12"	"1857"	"136"	"29"	"35"	"29"	"10"	"27"	"125"	"18"	"41"	"74"	"7099"	"0"	"7099"	"0"
"79"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"83"	"B.F."	"1239"	"10661"	"334"	"177"	"8847"	"1284"	"182"	"287"	"213"	"154"	"173"	"1111"	"184"	"278"	"600"	"25724"	"0"	"25724"	"0"
"84"	"56"	"22"	"151"	"5"	"3"	"290"	"5"	"3"	"8"	"7"	"2"	"9"	"10"	"2"	"8"	"23"	"548"	""	"548"	""
"85"	"57"	"20"	"520"	"4"	"5"	"21"	"3"	"38"	"3"	"1"	"0"	"0"	"1"	"0"	"3"	"5"	"624"	""	"624"	""
"86"	"58"	"17"	"451"	"18"	"2"	"10"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"5"	"5"	"515"	""	"515"	""
"87"	"59"	"29"	"384"	"4"	"1"	"59"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"5"	"489"	""	"489"	""
"88"	"60"	"5"	"404"	"7"	"2"	"129"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"552"	""	"552"	""
"89"	"61"	"16"	"289"	"7"	"4"	"317"	"7"	"3"	"6"	"2"	"11"	"4"	"6"	"0"	"7"	"8"	"687"	""	"687"	""
"90"	"62"	"19"	"506"	"3"	"3"	"61"	"3"	"1"	"6"	"0"	"1"	"3"	"0"	"0"	"1"	"1"	"608"	""	"608"	""
"91"	"63"	"7"	"84"	"9"	"4"	"206"	"6"	"2"	"3"	"1"	"4"	"12"	"9"	"3"	"5"	"3"	"358"	""	"358"	""
"92"	"64"	"28"	"326"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"356"	""	"356"	""
"93"	"65"	"22"	"165"	"15"	"13"	"318"	"14"	"6"	"17"	"5"	"10"	"13"	"4"	"10"	"3"	"30"	"645"	""	"645"	""
"94"	"66"	"14"	"35"	"0"	"9"	"276"	"5"	"4"	"4"	"2"	"3"	"3"	"22"	"2"	"0"	"12"	"391"	""	"391"	""
"95"	"66A"	"3"	"150"	"2"	"0"	"225"	"1"	"2"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"391"	""	"391"	""
"96"	"67"	"10"	"494"	"3"	"0"	"67"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"575"	""	"575"	""
"97"	"68"	"10"	"443"	"3"	"1"	"156"	"3"	"3"	"2"	"0"	"0"	"2"	"1"	"2"	"3"	"1"	"630"	""	"630"	""
"98"	"Total -5"	"222"	"4402"	"80"	"47"	"2136"	"51"	"66"	"55"	"19"	"31"	"48"	"55"	"24"	"37"	"96"	"7369"	"0"	"7369"	"0"
"99"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"103"	"B.F."	"1461"	"15063"	"414"	"224"	"10983"	"1335"	"248"	"342"	"232"	"185"	"221"	"1166"	"208"	"315"	"696"	"33093"	"0"	"33093"	"0"
"104"	"69"	"38"	"469"	"10"	"3"	"94"	"8"	"1"	"5"	"3"	"3"	"8"	"2"	"6"	"3"	"10"	"663"	""	"663"	""
"105"	"70"	"21"	"416"	"3"	"5"	"19"	"3"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"9"	"2"	"487"	""	"487"	""
"106"	"71"	"17"	"247"	"3"	"5"	"155"	"21"	"6"	"4"	"6"	"2"	"0"	"3"	"0"	"2"	"5"	"476"	""	"476"	""
"107"	"72"	"7"	"404"	"3"	"0"	"5"	"14"	"3"	"1"	"0"	"0"	"0"	"3"	"2"	"4"	"3"	"449"	""	"449"	""
"108"	"73"	"13"	"248"	"13"	"6"	"120"	"3"	"1"	"5"	"1"	"3"	"8"	"35"	"1"	"9"	"9"	"475"	""	"475"	""
"109"	"74"	"22"	"258"	"11"	"6"	"223"	"8"	"2"	"9"	"3"	"4"	"7"	"17"	"6"	"10"	"14"	"600"	""	"600"	""
"110"	"75"	"27"	"0"	"3"	"0"	"96"	"52"	"7"	"3"	"20"	"6"	"5"	"29"	"1"	"6"	"10"	"265"	""	"265"	""
"111"	"75A"	"6"	"9"	"2"	"2"	"72"	"55"	"1"	"4"	"33"	"3"	"2"	"30"	"3"	"3"	"12"	"237"	""	"237"	""
"112"	"76"	"10"	"55"	"2"	"3"	"237"	"13"	"2"	"4"	"1"	"2"	"8"	"5"	"6"	"4"	"26"	"378"	""	"378"	""
"113"	"77"	"24"	"280"	"4"	"6"	"71"	"126"	"1"	"4"	"30"	"2"	"4"	"4"	"8"	"10"	"8"	"582"	""	"582"	""
"114"	"78"	"7"	"348"	"3"	"2"	"37"	"10"	"3"	"0"	"5"	"1"	"1"	"1"	"1"	"0"	"0"	"419"	""	"419"	""
"115"	"79"	"13"	"327"	"3"	"2"	"73"	"9"	"1"	"2"	"6"	"6"	"1"	"8"	"2"	"4"	"9"	"466"	""	"466"	""
"116"	"80"	"13"	"337"	"6"	"3"	"77"	"31"	"2"	"3"	"1"	"0"	"3"	"1"	"4"	"8"	"6"	"495"	""	"495"	""
"117"	"81"	"6"	"120"	"6"	"0"	"34"	"71"	"5"	"3"	"0"	"1"	"1"	"3"	"2"	"3"	"5"	"260"	""	"260"	""
"118"	"Total -6"	"224"	"3518"	"72"	"43"	"1313"	"424"	"37"	"49"	"109"	"34"	"50"	"142"	"43"	"75"	"119"	"6252"	"0"	"6252"	"0"
"119"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"123"	"B.F."	"1685"	"18581"	"486"	"267"	"12296"	"1759"	"285"	"391"	"341"	"219"	"271"	"1308"	"251"	"390"	"815"	"39345"	"0"	"39345"	"0"
"124"	"82"	"24"	"213"	"3"	"2"	"197"	"15"	"2"	"8"	"1"	"2"	"2"	"12"	"3"	"7"	"40"	"531"	""	"531"	""
"125"	"83"	"25"	"19"	"0"	"2"	"117"	"76"	"3"	"1"	"1"	"4"	"1"	"2"	"0"	"8"	"13"	"272"	""	"272"	""
"126"	"83A"	"11"	"5"	"1"	"2"	"88"	"65"	"2"	"4"	"3"	"3"	"3"	"15"	"4"	"5"	"27"	"238"	""	"238"	""
"127"	"84"	"14"	"305"	"4"	"2"	"49"	"5"	"2"	"4"	"7"	"0"	"0"	"4"	"2"	"7"	"10"	"415"	""	"415"	""
"128"	"85"	"18"	"346"	"1"	"3"	"301"	"13"	"3"	"1"	"10"	"0"	"2"	"5"	"2"	"16"	"6"	"727"	""	"727"	""
"129"	"86"	"41"	"31"	"2"	"10"	"418"	"57"	"6"	"16"	"6"	"5"	"9"	"34"	"4"	"9"	"100"	"748"	""	"748"	""
"130"	"87"	"20"	"334"	"6"	"6"	"192"	"35"	"7"	"5"	"15"	"3"	"4"	"11"	"3"	"7"	"25"	"673"	""	"673"	""
"131"	"88"	"15"	"316"	"5"	"3"	"91"	"18"	"5"	"3"	"12"	"36"	"4"	"68"	"6"	"9"	"35"	"626"	""	"626"	""
"132"	"89"	"36"	"7"	"1"	"1"	"176"	"15"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"243"	""	"243"	""
"133"	"90"	"18"	"12"	"1"	"1"	"225"	"15"	"2"	"2"	"3"	"4"	"4"	"8"	"0"	"4"	"19"	"318"	""	"318"	""
"134"	"91"	"14"	"152"	"6"	"0"	"178"	"7"	"1"	"0"	"0"	"13"	"4"	"13"	"6"	"5"	"7"	"406"	""	"406"	""
"135"	"92"	"22"	"110"	"9"	"6"	"245"	"35"	"3"	"7"	"11"	"5"	"6"	"6"	"7"	"8"	"56"	"536"	""	"536"	""
"136"	"93"	"12"	"281"	"5"	"2"	"34"	"77"	"2"	"3"	"2"	"1"	"1"	"8"	"5"	"12"	"19"	"464"	""	"464"	""
"137"	"94"	"25"	"67"	"2"	"3"	"154"	"50"	"1"	"2"	"1"	"3"	"3"	"1"	"1"	"2"	"10"	"325"	""	"325"	""
"138"	"Total -7"	"295"	"2198"	"46"	"43"	"2465"	"483"	"39"	"57"	"72"	"80"	"45"	"188"	"43"	"99"	"369"	"6522"	"0"	"6522"	"0"
"139"	""	""	""	""	""	""	"243458+102=243560
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Md. Ahmar Hasan"	"Dr. Faiyaj Ahmad"	"Binod Kumar"	"Ram Sharan Sah"	"Hari Bhushan Thakur"	"Dr. Hem Chandra Jha"	"Md. Ausaf"	"Md. Faiyaj Khan"	"Ram Chandra Yadav"	"Ram Chandra Yadav"	"Sanjay Jha"	"Bhola Sahani"	"Raghu Nath Mahto"	"Rajeshwar Yadav"	"Seema Devi"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	""	""	""
"143"	"B.F."	"1980"	"20779"	"532"	"310"	"14761"	"2242"	"324"	"448"	"413"	"299"	"316"	"1496"	"294"	"489"	"1184"	"45867"	"0"	"45867"	"0"
"144"	"95"	"45"	"20"	"2"	"2"	"167"	"45"	"4"	"3"	"3"	"3"	"2"	"2"	"4"	"2"	"8"	"312"	""	"312"	""
"145"	"96"	"11"	"85"	"6"	"3"	"162"	"9"	"1"	"4"	"4"	"3"	"4"	"37"	"1"	"4"	"16"	"350"	""	"350"	""
"146"	"97"	"20"	"510"	"6"	"2"	"70"	"5"	"0"	"2"	"2"	"19"	"0"	"5"	"3"	"2"	"16"	"662"	""	"662"	""
"147"	"98"	"14"	"92"	"5"	"2"	"288"	"12"	"2"	"14"	"8"	"12"	"13"	"23"	"6"	"4"	"29"	"524"	""	"524"	""
"148"	"99"	"7"	"149"	"2"	"5"	"233"	"5"	"3"	"10"	"1"	"3"	"16"	"7"	"6"	"7"	"12"	"466"	""	"466"	""
"149"	"100"	"7"	"148"	"5"	"7"	"263"	"11"	"6"	"10"	"6"	"8"	"13"	"8"	"1"	"5"	"43"	"541"	""	"541"	""
"150"	"101"	"13"	"49"	"2"	"2"	"269"	"4"	"4"	"5"	"3"	"9"	"4"	"1"	"1"	"4"	"10"	"380"	""	"380"	""
"151"	"102"	"86"	"162"	"3"	"1"	"21"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"284"	""	"284"	""
"152"	"103"	"64"	"640"	"4"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"715"	""	"715"	""
"153"	"104"	"17"	"197"	"12"	"3"	"333"	"5"	"2"	"10"	"2"	"2"	"6"	"6"	"0"	"5"	"4"	"604"	""	"604"	""
"154"	"105"	"114"	"83"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"4"	"20"	"232"	""	"232"	""
"155"	"106"	"125"	"279"	"11"	"3"	"93"	"5"	"8"	"6"	"1"	"3"	"2"	"5"	"5"	"8"	"8"	"562"	""	"562"	""
