"er.nku.dsUnz.l.a....k"	"t.xekr.ks.nsoh"	"uSeqy..gd..fl.Ì.hdh"	"i.zHkwukFk.fl.ag"	"fot......kadj..nwcs"	"fcuksn.dqekj..fl.ag"	"eksgEen.vl.xj"	"vkse.i.zdk..k...kno"	"vmu.vyh"	"t.kosn.csx"	"i.j.egal...feJk"	"cy.sUnz.dqekj..j.k."	"j.ke.uj.s..k.i.f.Mr"	"fcfi.u.fcgkj.h.fl.ag"	"vfuy....kno"	"mes..k.l.kg"	"doy....kno"	"t....i.zdk..k...kno"	"i.j.es..oj..fl.ag"	"foÿek.i.zl.kn"	"fot....dqekj..fl.ag"	"fczt.s..k.dqekj..j.k."	"l.R..nso.fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"30"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"31"	15	194	1	0	18	112	9	0	0	1	0	1	3	0	3	2	7	7	4	0	3	2	4	371	NA	NA	NA
"32"	NA	278	7	2	10	38	2	0	0	1	0	3	4	1	3	4	14	13	4	0	0	2	10	396	NA	NA	NA
"33"	16	295	8	3	17	130	3	1	1	7	3	4	13	5	1	4	6	23	54	2	20	3	10	613	NA	NA	NA
"34"	17	95	8	7	4	50	4	18	1	3	2	1	11	0	4	76	12	19	21	9	17	3	4	369	NA	NA	NA
"35"	18	87	1	0	1	45	3	0	0	5	0	1	8	0	0	0	1	34	1	4	3	0	1	195	NA	NA	NA
"36"	19	120	4	1	7	15	2	2	3	58	1	6	11	1	9	1	16	36	4	2	3	1	7	310	NA	NA	NA
"37"	20	212	3	8	7	108	2	0	5	3	1	1	8	1	8	3	10	12	2	3	6	5	3	411	NA	NA	NA
"38"	NA	288	7	1	5	101	4	1	1	4	1	0	0	1	0	0	3	4	10	0	3	0	2	436	NA	NA	NA
"39"	NA	1569	39	22	69	599	29	22	11	82	8	17	58	9	28	90	69	148	100	20	55	16	41	3101	0	0	0
"40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"46"	21	84	4	0	22	53	6	4	0	12	0	0	6	1	1	0	3	10	1	1	2	2	9	221	NA	NA	NA
"47"	22	91	3	1	12	20	8	1	5	6	1	2	5	1	2	8	8	254	5	7	0	1	8	449	NA	NA	NA
"48"	23	252	10	4	7	52	4	6	6	15	2	8	19	9	4	27	44	89	1	4	0	1	4	568	NA	NA	NA
"49"	24	215	5	3	14	88	5	2	1	12	2	4	9	3	3	4	6	131	72	13	14	4	7	617	NA	NA	NA
"50"	25	218	7	3	7	328	15	0	0	2	2	8	12	1	5	3	8	14	20	2	2	3	2	662	NA	NA	NA
"51"	26	123	13	8	11	130	10	5	7	14	3	11	17	8	5	46	12	135	15	15	14	4	21	627	NA	NA	NA
"52"	27	128	6	1	7	51	4	6	2	3	1	3	4	2	3	8	11	148	9	8	11	0	4	420	NA	NA	NA
"53"	28	165	3	3	2	80	7	3	4	7	2	3	12	2	4	1	10	85	2	4	12	0	11	422	NA	NA	NA
"54"	NA	1276	51	23	82	802	59	27	25	71	13	39	84	27	27	97	102	866	125	54	55	15	66	3986	0	0	0
"55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"60"	29	108	0	2	13	11	1	0	1	3	0	1	3	0	0	0	2	8	26	2	10	2	0	193	NA	NA	NA
"61"	30	262	87	8	21	82	6	2	7	54	4	6	10	3	5	6	10	37	7	9	28	5	10	669	NA	NA	NA
"62"	31	245	2	5	22	246	11	2	4	23	3	3	8	2	1	3	9	32	1	11	22	16	11	682	NA	NA	NA
"63"	32	271	3	70	18	82	11	9	28	32	8	4	16	5	19	11	39	15	3	5	5	6	4	664	NA	NA	NA
"64"	33	106	8	5	17	157	2	2	32	25	3	4	8	0	1	1	4	4	1	2	1	10	2	395	NA	NA	NA
"65"	34	123	2	5	94	103	2	1	3	3	0	2	3	2	0	1	5	9	1	2	2	1	4	368	NA	NA	NA
"66"	35	34	33	55	127	148	3	2	7	2	2	5	10	6	3	2	3	14	7	8	10	7	5	493	NA	NA	NA
"67"	36	166	8	127	12	16	1	1	3	26	2	4	3	4	5	3	9	9	3	8	5	3	3	421	NA	NA	NA
"68"	NA	1315	143	277	324	845	37	19	85	168	22	29	61	22	34	27	81	128	49	47	83	50	39	3885	0	0	0
"69"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"74"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"75"	37	107	45	27	71	155	4	0	2	2	1	4	4	3	5	2	2	5	1	0	0	4	1	445	NA	NA	NA
"76"	38	255	6	17	22	76	4	2	3	9	4	8	16	3	1	6	10	27	5	9	10	11	5	509	NA	NA	NA
"77"	39	319	8	25	11	76	4	2	0	15	2	2	15	2	4	1	2	17	4	5	3	5	0	522	NA	NA	NA
"78"	40	159	2	3	13	20	0	1	2	9	3	2	2	2	3	6	5	20	58	9	4	1	8	332	NA	NA	NA
"79"	41	118	6	1	37	12	5	2	1	24	2	0	8	3	3	7	7	5	67	2	8	3	4	325	NA	NA	NA
"80"	42	291	15	4	9	22	5	12	5	85	5	8	14	2	0	5	16	85	26	6	9	4	12	640	NA	NA	NA
"81"	43	156	5	2	9	71	2	4	2	72	4	0	7	0	0	4	6	1	0	0	1	1	1	348	NA	NA	NA
"82"	44	343	4	4	10	85	6	10	7	113	6	9	24	3	8	8	25	14	7	3	9	1	8	707	NA	NA	NA
"83"	NA	1748	91	83	182	517	30	33	22	329	27	33	90	18	24	39	73	174	168	34	44	30	39	3828	0	0	0
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"89"	45	279	8	1	9	234	4	7	5	7	10	6	22	1	6	9	15	12	3	1	0	7	1	647	NA	NA	NA
"90"	46	102	5	4	14	116	7	2	6	105	2	4	3	1	0	1	6	22	7	7	10	14	12	450	NA	NA	NA
"91"	47	170	5	2	20	3	1	0	3	5	0	0	0	1	0	2	3	14	16	2	4	4	4	259	NA	NA	NA
"92"	48	289	11	2	5	90	3	1	3	10	2	4	5	1	1	9	9	20	10	9	11	14	15	524	NA	NA	NA
"93"	49	293	14	5	52	97	8	1	3	13	7	2	8	2	3	2	13	29	27	6	5	1	20	611	NA	NA	NA
"94"	50	167	4	2	34	33	0	1	1	21	0	0	4	0	0	3	4	3	14	3	6	3	4	307	NA	NA	NA
"95"	51	108	0	3	23	12	2	1	0	4	0	0	3	0	1	1	0	1	11	0	0	12	0	182	NA	NA	NA
"96"	52	126	3	7	21	24	2	2	3	138	3	2	15	3	2	14	4	8	7	6	15	14	5	424	NA	NA	NA
"97"	NA	1534	50	26	178	609	27	15	24	303	24	18	60	9	13	41	54	109	95	34	51	69	61	3404	0	0	0
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"104"	53	131	3	2	22	34	4	0	0	30	4	2	7	1	2	2	11	18	1	2	11	2	6	295	NA	NA	NA
"105"	54	309	4	2	42	54	3	1	0	0	1	2	6	1	4	5	4	11	2	3	6	1	1	462	NA	NA	NA
"106"	55	311	1	5	23	35	0	2	6	0	1	1	1	1	0	1	0	10	1	2	5	2	4	412	NA	NA	NA
"107"	56	134	2	3	40	30	0	1	1	13	2	3	15	0	1	7	16	5	1	2	5	4	4	289	NA	NA	NA
"108"	57	143	1	3	33	66	2	7	4	37	1	3	6	1	5	1	7	6	2	1	9	3	3	344	NA	NA	NA
"109"	58	299	4	1	7	5	0	4	0	5	0	0	3	0	0	1	3	14	0	1	2	2	9	360	NA	NA	NA
"110"	59	276	9	10	46	120	5	7	5	2	6	8	6	1	21	8	15	22	2	4	5	10	3	591	NA	NA	NA
"111"	60	165	4	2	70	69	1	2	1	7	1	1	4	0	1	0	1	2	0	0	0	3	0	334	NA	NA	NA
"112"	NA	1768	28	28	283	413	15	24	17	94	16	20	48	5	34	25	57	88	9	15	43	27	30	3087	0	0	0
"113"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"118"	61	361	3	7	25	17	0	1	3	26	0	2	3	0	3	0	4	6	1	5	1	6	0	474	NA	NA	NA
"119"	62	95	0	4	210	15	1	2	0	1	1	2	1	0	2	0	0	0	0	0	0	0	0	334	NA	NA	NA
"120"	63	326	5	1	3	15	0	1	0	5	1	1	7	1	2	2	5	11	1	3	4	6	4	404	NA	NA	NA
"121"	64	171	4	2	19	64	5	1	2	2	2	17	8	1	4	5	16	9	1	1	1	1	1	337	NA	NA	NA
"122"	65	234	2	17	27	35	2	0	0	4	1	2	4	2	1	4	7	29	5	4	11	7	18	416	NA	NA	NA
"123"	66	265	1	0	13	31	0	2	1	17	1	3	2	0	12	0	2	8	1	12	19	15	2	407	NA	NA	NA
"124"	67	228	3	0	44	136	3	3	2	81	2	7	8	1	6	1	10	13	2	7	4	10	7	578	NA	NA	NA
"125"	68	222	6	2	10	139	6	2	2	4	5	3	4	2	12	4	6	20	2	8	5	19	11	494	NA	NA	NA
"126"	NA	1902	24	33	351	452	17	12	10	140	13	37	37	7	42	16	50	96	13	40	45	64	43	3444	0	0	0
"127"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"133"	69	72	3	3	11	101	2	7	7	2	4	7	8	7	11	10	7	4	0	2	1	19	2	290	NA	NA	NA
"134"	70	407	8	5	2	17	2	0	1	1	0	0	4	0	0	0	3	11	0	4	2	8	0	475	NA	NA	NA
"135"	71	149	9	5	30	176	10	2	2	14	3	4	20	3	4	6	21	8	0	3	1	7	4	481	NA	NA	NA
"136"	72	286	7	5	35	136	6	4	6	13	6	6	17	4	7	7	23	21	2	22	18	64	16	711	NA	NA	NA
"137"	73	189	3	0	6	128	4	3	6	11	1	9	9	2	5	6	7	8	1	18	6	27	9	458	NA	NA	NA
"138"	74	98	3	1	35	54	3	1	5	3	2	2	3	0	2	0	7	2	1	1	2	2	0	227	NA	NA	NA
"139"	75	160	4	1	14	39	1	3	6	24	4	6	6	2	2	2	5	13	4	24	13	19	5	357	NA	NA	NA
"140"	76	209	5	2	9	14	2	1	8	19	2	3	4	1	3	5	13	9	1	15	3	32	0	360	NA	NA	NA
"141"	NA	1570	42	22	142	665	30	21	41	87	22	37	71	19	34	36	86	76	9	89	46	178	36	3359	0	0	0
"142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"147"	77	335	5	2	11	53	1	4	1	1	3	5	12	1	1	4	22	14	4	3	1	23	4	510	NA	NA	NA
"148"	78	213	2	0	10	94	2	1	1	0	0	0	2	0	0	1	0	2	12	1	3	3	2	349	NA	NA	NA
"149"	79	161	1	1	14	11	0	0	0	1	0	0	3	1	0	0	0	0	2	8	2	16	0	221	NA	NA	NA
"150"	80	372	9	5	15	124	18	1	6	6	4	4	9	3	4	2	5	22	5	22	12	28	12	688	NA	NA	NA
"151"	81	305	4	2	7	125	3	0	1	4	0	3	6	1	0	1	6	22	3	27	13	27	4	564	NA	NA	NA
"152"	82	313	2	15	23	62	8	1	5	8	1	3	6	2	1	9	3	15	6	27	15	33	2	560	NA	NA	NA
"153"	83	315	3	4	62	71	1	1	2	1	2	0	3	1	0	0	2	14	2	10	11	34	3	542	NA	NA	NA
"154"	84	306	3	14	89	105	9	1	5	6	2	4	8	1	4	0	5	27	4	20	17	16	9	655	NA	NA	NA
"155"	NA	2320	29	43	231	645	42	9	21	27	12	19	49	10	10	17	43	116	38	118	74	180	36	4089	0	0	0
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"162"	85	159	6	5	91	147	18	0	6	9	3	3	13	4	1	2	8	5	3	4	2	4	1	494	NA	NA	NA
"163"	86	103	5	7	20	52	5	1	11	8	2	2	10	0	7	11	5	10	3	36	9	169	11	487	NA	NA	NA
"164"	87	39	2	2	17	59	10	2	5	2	2	4	3	1	1	5	3	4	4	21	4	68	6	264	NA	NA	NA
"165"	88	205	12	8	9	30	3	3	7	11	2	7	5	2	3	10	6	4	6	37	17	148	8	543	NA	NA	NA
"166"	89	34	4	0	4	7	0	0	3	1	1	0	0	1	1	5	0	4	1	21	14	320	3	424	NA	NA	NA
"167"	90	94	1	1	13	59	3	9	7	67	3	2	5	0	7	3	8	5	1	9	1	58	7	363	NA	NA	NA
"168"	91	74	2	4	5	20	5	4	17	89	5	5	10	6	5	5	17	17	3	19	5	100	9	426	NA	NA	NA
"169"	92	76	3	3	2	43	0	1	1	3	1	2	3	0	1	1	4	6	1	16	13	24	2	206	NA	NA	NA
"170"	NA	784	35	30	161	417	44	20	57	190	19	25	49	14	26	42	51	55	22	163	65	891	47	3207	0	0	0
"171"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"176"	93	205	2	52	25	19	4	4	8	5	3	4	4	5	7	9	7	9	2	29	5	105	6	519	NA	NA	NA
"177"	94	149	1	1	2	46	3	16	0	3	2	2	1	3	0	1	3	12	1	9	9	40	1	305	NA	NA	NA
"178"	95	253	3	1	34	22	6	29	8	13	3	3	20	2	4	2	3	9	3	9	16	9	2	454	NA	NA	NA
"179"	96	209	1	2	33	8	2	51	2	17	5	1	4	1	0	1	3	19	5	6	30	8	7	415	NA	NA	NA
"180"	NA	224	7	6	20	20	5	51	6	39	5	2	8	1	6	0	4	3	2	5	24	5	3	446	NA	NA	NA
"181"	97	345	5	8	27	36	1	11	4	11	1	1	3	0	3	2	6	10	3	1	5	1	4	488	NA	NA	NA
"182"	98	76	1	7	8	76	14	385	4	8	18	2	12	1	1	2	2	20	3	3	6	2	2	653	NA	NA	NA
"183"	99	160	0	2	25	39	1	33	1	43	2	1	9	0	2	0	5	6	0	1	17	8	2	357	NA	NA	NA
"184"	NA	1621	20	79	174	266	36	580	33	139	39	16	61	13	23	17	33	88	19	63	112	178	27	3637	0	0	0
"185"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"190"	100	257	10	7	46	119	8	76	10	10	6	8	11	5	7	2	6	18	4	7	50	15	4	686	NA	NA	NA
"191"	101	205	4	7	13	42	5	2	4	6	1	2	16	2	1	2	5	18	15	7	27	3	10	397	NA	NA	NA
"192"	102	179	8	15	70	143	17	28	7	14	3	4	7	7	11	4	14	23	5	14	39	24	24	660	NA	NA	NA
