"،"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"16"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"18"	"15"	"15"	"16"	"217"	"7"	"10"	"22"	"7"	"2"	"2"	"3"	"3"	"6"	"18"	"313"	"0"	"313"	"0"
"19"	"16"	"16"	"63"	"560"	"35"	"10"	"49"	"9"	"4"	"5"	"11"	"4"	"16"	"49"	"815"	"0"	"815"	"0"
"20"	"17"	"17"	"47"	"469"	"218"	"128"	"30"	"3"	"3"	"6"	"19"	"12"	"18"	"111"	"1064"	"0"	"1064"	"0"
"21"	"18"	"18"	"16"	"590"	"39"	"11"	"31"	"9"	"3"	"3"	"4"	"5"	"5"	"10"	"726"	"0"	"726"	"0"
"22"	"19"	"19"	"40"	"221"	"25"	"23"	"128"	"8"	"3"	"3"	"6"	"3"	"1"	"17"	"478"	"0"	"478"	"0"
"23"	"20"	"20"	"27"	"128"	"256"	"13"	"27"	"3"	"1"	"7"	"8"	"5"	"8"	"41"	"524"	"0"	"524"	"0"
"24"	"21"	"21"	"50"	"336"	"106"	"5"	"9"	"8"	"3"	"8"	"7"	"10"	"5"	"61"	"608"	"0"	"608"	"0"
"25"	"22"	"22"	"23"	"307"	"145"	"18"	"16"	"2"	"1"	"5"	"2"	"1"	"10"	"13"	"543"	"0"	"543"	"0"
"26"	"23"	"23"	"21"	"421"	"19"	"19"	"78"	"5"	"3"	"4"	"3"	"8"	"9"	"23"	"613"	"0"	"613"	"0"
"27"	"24"	"24"	"63"	"701"	"21"	"8"	"47"	"5"	"4"	"8"	"7"	"6"	"12"	"49"	"931"	"0"	"931"	"0"
"28"	"25"	"25"	"71"	"556"	"125"	"7"	"63"	"2"	"1"	"0"	"5"	"2"	"2"	"20"	"854"	"0"	"854"	"0"
"29"	"26"	"26"	"45"	"431"	"26"	"44"	"134"	"5"	"2"	"4"	"3"	"2"	"9"	"17"	"722"	"0"	"722"	"0"
"30"	"27"	"27"	"47"	"559"	"13"	"6"	"72"	"2"	"6"	"4"	"2"	"5"	"18"	"26"	"760"	"0"	"760"	"0"
"31"	"28"	"28"	"44"	"319"	"10"	"3"	"98"	"2"	"3"	"1"	"2"	"2"	"4"	"5"	"493"	"0"	"493"	"0"
"32"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"34"	"29"	"29"	"49"	"348"	"27"	"2"	"96"	"6"	"5"	"3"	"4"	"3"	"3"	"9"	"555"	"0"	"555"	"0"
"35"	"30"	"30"	"93"	"519"	"83"	"6"	"120"	"6"	"4"	"1"	"10"	"9"	"9"	"43"	"903"	"0"	"903"	"0"
"36"	"31"	"31"	"265"	"439"	"118"	"9"	"38"	"8"	"11"	"5"	"2"	"8"	"10"	"22"	"935"	"0"	"935"	"0"
"37"	"32"	"32"	"101"	"413"	"19"	"13"	"44"	"14"	"13"	"5"	"7"	"4"	"12"	"24"	"669"	"0"	"669"	"0"
"38"	"33"	"33"	"97"	"447"	"63"	"11"	"99"	"14"	"9"	"8"	"8"	"5"	"11"	"51"	"823"	"0"	"823"	"0"
"39"	"34"	"34"	"12"	"395"	"73"	"127"	"65"	"10"	"3"	"2"	"5"	"8"	"14"	"26"	"740"	"0"	"740"	"0"
"40"	"35"	"35"	"34"	"653"	"27"	"13"	"15"	"9"	"2"	"3"	"0"	"1"	"2"	"5"	"764"	"0"	"764"	"0"
"41"	"36"	"36"	"32"	"278"	"6"	"8"	"195"	"4"	"1"	"4"	"3"	"2"	"0"	"13"	"546"	"0"	"546"	"0"
"42"	"37"	"37"	"22"	"244"	"48"	"3"	"30"	"6"	"7"	"5"	"3"	"2"	"10"	"26"	"406"	"0"	"406"	"0"
"43"	"38"	"38"	"34"	"551"	"26"	"3"	"29"	"3"	"2"	"2"	"5"	"3"	"13"	"46"	"717"	"0"	"717"	"0"
"44"	"39"	"39"	"16"	"439"	"35"	"5"	"80"	"0"	"7"	"0"	"1"	"2"	"7"	"13"	"605"	"0"	"605"	"0"
"45"	"40"	"40"	"52"	"395"	"115"	"104"	"161"	"12"	"40"	"6"	"7"	"6"	"16"	"39"	"953"	"0"	"953"	"0"
"46"	"41"	"41"	"24"	"290"	"67"	"25"	"168"	"10"	"6"	"5"	"9"	"7"	"13"	"37"	"661"	"0"	"661"	"0"
"47"	"42"	"42"	"28"	"423"	"226"	"11"	"98"	"8"	"65"	"3"	"0"	"8"	"8"	"36"	"914"	"0"	"914"	"0"
"48"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"50"	"43"	"43"	"23"	"277"	"34"	"4"	"59"	"18"	"173"	"7"	"6"	"4"	"25"	"20"	"650"	"0"	"650"	"0"
"51"	"44"	"44"	"8"	"181"	"87"	"24"	"70"	"1"	"67"	"4"	"4"	"4"	"7"	"8"	"465"	"0"	"465"	"0"
"52"	"45"	"45"	"19"	"195"	"186"	"11"	"35"	"0"	"34"	"0"	"3"	"1"	"5"	"8"	"497"	"0"	"497"	"0"
"53"	"46"	"46"	"24"	"249"	"21"	"60"	"203"	"7"	"6"	"5"	"3"	"7"	"4"	"16"	"605"	"0"	"605"	"0"
"54"	"47"	"47"	"36"	"280"	"172"	"16"	"167"	"2"	"16"	"3"	"2"	"1"	"2"	"10"	"707"	"0"	"707"	"0"
"55"	"48"	"48"	"18"	"267"	"35"	"18"	"107"	"7"	"5"	"5"	"2"	"3"	"3"	"16"	"486"	"0"	"486"	"0"
"56"	"49"	"49"	"21"	"346"	"18"	"23"	"235"	"7"	"10"	"6"	"9"	"6"	"12"	"30"	"723"	"0"	"723"	"0"
"57"	"50"	"50"	"26"	"361"	"49"	"37"	"175"	"6"	"5"	"2"	"2"	"0"	"3"	"9"	"675"	"0"	"675"	"0"
"58"	"51"	"51"	"5"	"336"	"11"	"18"	"80"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"455"	"0"	"455"	"0"
"59"	"52"	"52"	"38"	"592"	"23"	"28"	"87"	"9"	"8"	"6"	"6"	"6"	"7"	"15"	"825"	"0"	"825"	"0"
"60"	"53"	"53"	"20"	"287"	"33"	"42"	"96"	"13"	"3"	"1"	"7"	"1"	"4"	"15"	"522"	"0"	"522"	"0"
"61"	"54"	"54"	"9"	"126"	"218"	"122"	"129"	"5"	"8"	"7"	"11"	"7"	"9"	"20"	"671"	"0"	"671"	"0"
"62"	"55"	"55"	"19"	"276"	"225"	"65"	"185"	"14"	"14"	"5"	"6"	"7"	"26"	"17"	"859"	"0"	"859"	"0"
"63"	"56"	"56"	"6"	"261"	"13"	"42"	"118"	"6"	"0"	"2"	"2"	"1"	"6"	"7"	"464"	"0"	"464"	"0"
"64"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"66"	"57"	"57"	"19"	"291"	"18"	"6"	"131"	"3"	"2"	"0"	"2"	"4"	"8"	"9"	"493"	"0"	"493"	"0"
"67"	"58"	"58"	"18"	"282"	"18"	"12"	"133"	"4"	"9"	"2"	"8"	"1"	"9"	"13"	"509"	"0"	"509"	"0"
"68"	"59"	"59"	"17"	"159"	"83"	"358"	"7"	"6"	"7"	"2"	"1"	"10"	"4"	"19"	"673"	"0"	"673"	"0"
"69"	"60"	"60"	"29"	"433"	"79"	"17"	"68"	"4"	"7"	"8"	"3"	"9"	"15"	"31"	"703"	"0"	"703"	"0"
"70"	"61"	"61"	"16"	"315"	"10"	"2"	"30"	"3"	"3"	"0"	"0"	"4"	"2"	"4"	"389"	"0"	"389"	"0"
"71"	"62"	"62"	"20"	"285"	"37"	"3"	"3"	"1"	"1"	"2"	"3"	"0"	"5"	"14"	"374"	"0"	"374"	"0"
"72"	"63"	"63"	"30"	"427"	"74"	"170"	"37"	"5"	"2"	"11"	"9"	"18"	"12"	"57"	"852"	"0"	"852"	"0"
"73"	"64"	"64"	"29"	"369"	"64"	"9"	"60"	"6"	"5"	"5"	"3"	"1"	"14"	"4"	"569"	"0"	"569"	"0"
"74"	"65"	"65"	"33"	"472"	"21"	"17"	"46"	"5"	"3"	"6"	"4"	"9"	"19"	"30"	"665"	"0"	"665"	"0"
"75"	"66"	"66"	"38"	"363"	"19"	"58"	"24"	"18"	"11"	"10"	"14"	"10"	"36"	"33"	"634"	"0"	"634"	"0"
"76"	"67"	"67"	"23"	"256"	"178"	"9"	"43"	"1"	"2"	"0"	"1"	"1"	"2"	"3"	"519"	"0"	"519"	"0"
"77"	"68"	"68"	"14"	"186"	"290"	"4"	"8"	"1"	"1"	"3"	"3"	"6"	"5"	"19"	"540"	"0"	"540"	"0"
"78"	"69"	"69"	"35"	"414"	"41"	"3"	"95"	"5"	"4"	"4"	"9"	"1"	"8"	"19"	"638"	"0"	"638"	"0"
"79"	"70"	"70"	"21"	"386"	"52"	"3"	"32"	"6"	"2"	"1"	"6"	"6"	"15"	"27"	"557"	"0"	"557"	"0"
"80"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"82"	"71"	"71"	"18"	"294"	"235"	"15"	"123"	"9"	"3"	"6"	"11"	"8"	"11"	"38"	"771"	"0"	"771"	"0"
"83"	"72"	"72"	"8"	"187"	"2"	"6"	"32"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"241"	"0"	"241"	"0"
"84"	"73"	"73"	"8"	"171"	"6"	"26"	"129"	"5"	"5"	"4"	"0"	"3"	"5"	"6"	"368"	"0"	"368"	"0"
"85"	"74"	"74"	"42"	"712"	"35"	"56"	"10"	"8"	"4"	"6"	"2"	"3"	"8"	"6"	"892"	"0"	"892"	"0"
"86"	"75"	"75"	"8"	"156"	"50"	"394"	"4"	"1"	"2"	"2"	"7"	"4"	"10"	"5"	"643"	"0"	"643"	"0"
"87"	"76"	"76"	"11"	"272"	"155"	"7"	"35"	"1"	"9"	"6"	"3"	"4"	"30"	"8"	"541"	"0"	"541"	"0"
"88"	"77"	"77"	"20"	"133"	"157"	"21"	"26"	"2"	"1"	"2"	"1"	"1"	"9"	"10"	"383"	"0"	"383"	"0"
"89"	"78"	"78"	"6"	"33"	"47"	"352"	"14"	"1"	"5"	"0"	"1"	"2"	"5"	"6"	"472"	"0"	"472"	"0"
"90"	"79"	"79"	"19"	"391"	"19"	"68"	"30"	"5"	"5"	"4"	"18"	"3"	"59"	"16"	"637"	"0"	"637"	"0"
"91"	"80"	"80"	"23"	"277"	"41"	"87"	"62"	"4"	"3"	"4"	"5"	"3"	"99"	"10"	"618"	"0"	"618"	"0"
"92"	"81"	"81"	"21"	"298"	"27"	"29"	"23"	"5"	"7"	"4"	"3"	"1"	"122"	"16"	"556"	"0"	"556"	"0"
"93"	"82"	"82"	"21"	"441"	"39"	"67"	"141"	"5"	"6"	"4"	"6"	"2"	"42"	"17"	"791"	"0"	"791"	"0"
"94"	"83"	"83"	"43"	"443"	"131"	"103"	"52"	"5"	"2"	"3"	"3"	"6"	"14"	"14"	"819"	"0"	"819"	"0"
"95"	"84"	"84"	"22"	"322"	"102"	"48"	"147"	"4"	"5"	"2"	"4"	"3"	"31"	"25"	"715"	"0"	"715"	"0"
"96"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"98"	"85"	"85"	"5"	"32"	"54"	"717"	"12"	"3"	"1"	"5"	"2"	"6"	"0"	"1"	"838"	"0"	"838"	"0"
"99"	"86"	"86"	"8"	"3"	"71"	"724"	"20"	"3"	"4"	"2"	"10"	"10"	"6"	"14"	"875"	"0"	"875"	"0"
"100"	"87"	"87"	"8"	"10"	"130"	"390"	"40"	"3"	"1"	"5"	"1"	"7"	"6"	"4"	"605"	"0"	"605"	"0"
"101"	"88"	"88"	"35"	"326"	"89"	"111"	"144"	"5"	"5"	"5"	"8"	"5"	"7"	"13"	"753"	"0"	"753"	"0"
"102"	"89"	"89"	"8"	"4"	"107"	"470"	"16"	"1"	"2"	"0"	"4"	"2"	"0"	"4"	"618"	"0"	"618"	"0"
"103"	"90"	"90"	"41"	"226"	"174"	"160"	"112"	"8"	"6"	"2"	"7"	"3"	"4"	"16"	"759"	"0"	"759"	"0"
"104"	"91"	"91"	"4"	"11"	"35"	"321"	"12"	"1"	"0"	"2"	"1"	"1"	"1"	"2"	"391"	"0"	"391"	"0"
"105"	"92"	"92"	"13"	"53"	"79"	"463"	"9"	"1"	"3"	"1"	"3"	"6"	"1"	"3"	"635"	"0"	"635"	"0"
"106"	"93"	"93"	"21"	"292"	"20"	"17"	"87"	"4"	"2"	"6"	"3"	"1"	"11"	"20"	"484"	"0"	"484"	"0"
"107"	"94"	"94"	"52"	"521"	"33"	"252"	"51"	"6"	"4"	"5"	"2"	"5"	"14"	"6"	"951"	"0"	"951"	"0"
"108"	"95"	"95"	"27"	"354"	"30"	"10"	"98"	"2"	"2"	"3"	"2"	"2"	"11"	"16"	"557"	"0"	"557"	"0"
"109"	"96"	"96"	"31"	"158"	"183"	"294"	"60"	"4"	"2"	"2"	"5"	"5"	"1"	"7"	"752"	"0"	"752"	"0"
"110"	"97"	"97"	"33"	"380"	"59"	"14"	"111"	"8"	"5"	"3"	"4"	"3"	"8"	"10"	"638"	"0"	"638"	"0"
"111"	"98"	"98"	"61"	"491"	"29"	"23"	"46"	"4"	"2"	"3"	"8"	"6"	"13"	"30"	"716"	"0"	"716"	"0"
"112"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"114"	"99"	"99"	"20"	"316"	"71"	"54"	"136"	"10"	"6"	"6"	"8"	"9"	"58"	"20"	"714"	"0"	"714"	"0"
"115"	"100"	"100"	"49"	"416"	"42"	"31"	"161"	"5"	"8"	"2"	"4"	"6"	"26"	"6"	"756"	"0"	"756"	"0"
"116"	"101"	"101"	"8"	"420"	"20"	"78"	"35"	"2"	"0"	"0"	"2"	"0"	"2"	"6"	"573"	"0"	"573"	"0"
"117"	"102"	"102"	"10"	"350"	"27"	"32"	"125"	"3"	"1"	"1"	"0"	"0"	"4"	"12"	"565"	"0"	"565"	"0"
"118"	"103"	"103"	"24"	"545"	"64"	"23"	"127"	"6"	"6"	"6"	"6"	"45"	"19"	"19"	"890"	"0"	"890"	"0"
"119"	"104"	"104"	"18"	"417"	"54"	"7"	"61"	"2"	"2"	"0"	"3"	"5"	"5"	"8"	"582"	"0"	"582"	"0"
"120"	"105"	"105"	"21"	"384"	"82"	"31"	"77"	"0"	"3"	"4"	"3"	"0"	"4"	"10"	"619"	"0"	"619"	"0"
"121"	"106"	"106"	"9"	"292"	"214"	"14"	"146"	"3"	"0"	"2"	"3"	"3"	"3"	"8"	"697"	"0"	"697"	"0"
"122"	"107"	"107"	"21"	"207"	"77"	"456"	"24"	"2"	"0"	"3"	"12"	"15"	"6"	"10"	"833"	"0"	"833"	"0"
"123"	"108"	"108"	"12"	"137"	"210"	"9"	"51"	"5"	"3"	"1"	"3"	"1"	"2"	"7"	"441"	"0"	"441"	"0"
"124"	"109"	"109"	"15"	"186"	"227"	"7"	"36"	"3"	"3"	"7"	"5"	"6"	"7"	"10"	"512"	"0"	"512"	"0"
"125"	"110"	"110"	"4"	"168"	"121"	"10"	"77"	"3"	"2"	"2"	"3"	"1"	"5"	"10"	"406"	"0"	"406"	"0"
"126"	"111"	"111"	"39"	"138"	"327"	"29"	"42"	"5"	"2"	"8"	"9"	"18"	"16"	"43"	"676"	"0"	"676"	"0"
"127"	"112"	"112"	"15"	"299"	"161"	"21"	"21"	"1"	"3"	"3"	"0"	"4"	"6"	"16"	"550"	"0"	"550"	"0"
"128"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"130"	"113"	"113"	"9"	"184"	"50"	"10"	"55"	"4"	"0"	"1"	"7"	"2"	"0"	"4"	"326"	"0"	"326"	"0"
"131"	"114"	"114"	"11"	"162"	"74"	"27"	"37"	"1"	"2"	"2"	"0"	"0"	"5"	"0"	"321"	"0"	"321"	"0"
"132"	"115"	"115"	"15"	"182"	"171"	"2"	"81"	"6"	"6"	"5"	"35"	"6"	"3"	"14"	"526"	"0"	"526"	"0"
"133"	"116"	"116"	"13"	"180"	"47"	"452"	"14"	"4"	"1"	"0"	"5"	"10"	"24"	"14"	"764"	"0"	"764"	"0"
"134"	"117"	"117"	"36"	"393"	"115"	"90"	"78"	"6"	"3"	"9"	"7"	"11"	"31"	"18"	"797"	"0"	"797"	"0"
"135"	"118"	"118"	"15"	"275"	"46"	"210"	"99"	"5"	"4"	"0"	"5"	"3"	"2"	"20"	"684"	"0"	"684"	"0"
"136"	"119"	"119"	"8"	"262"	"92"	"47"	"37"	"1"	"1"	"2"	"2"	"0"	"1"	"10"	"463"	"0"	"463"	"0"
"137"	"120"	"120"	"46"	"448"	"36"	"22"	"175"	"7"	"4"	"1"	"3"	"2"	"31"	"2"	"777"	"0"	"777"	"0"
"138"	"121"	"121"	"10"	"16"	"262"	"104"	"48"	"1"	"0"	"2"	"0"	"2"	"0"	"5"	"450"	"0"	"450"	"0"
"139"	"122"	"122"	"7"	"9"	"121"	"488"	"15"	"3"	"2"	"1"	"9"	"2"	"4"	"2"	"663"	"0"	"663"	"0"
"140"	"123"	"123"	"3"	"5"	"161"	"120"	"6"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"300"	"0"	"300"	"0"
"141"	"124"	"124"	"10"	"291"	"100"	"68"	"24"	"0"	"4"	"2"	"3"	"4"	"6"	"8"	"520"	"0"	"520"	"0"
"142"	"125"	"125"	"23"	"399"	"151"	"235"	"7"	"4"	"2"	"2"	"1"	"13"	"4"	"11"	"852"	"0"	"852"	"0"
"143"	"126"	"126"	"9"	"144"	"19"	"5"	"0"	"1"	"1"	"2"	"3"	"1"	"0"	"3"	"188"	"0"	"188"	"0"
"144"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	""	""	"fnus' k i zl kn ; kno"	"fcHkk\"k pUnz pkS/kj h"	"eal wj  vkye"	"eksgEen ' kdwj"	"l a; ksfxr k fl ag"	"l w; Z ukj k; .k fl ag"	"vfouk' k fl ag"	"uUn fd' kksj  j ke"	"y{eh dkUr  eaMy"	"gksi su eqewZ"	"mes' k i z0 fl ag"	"i zdk' k eaMy"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"146"	"127"	"127"	"16"	"171"	"592"	"27"	"10"	"2"	"1"	"2"	"2"	"2"	"1"	"4"	"830"	"0"	"830"	"0"
"147"	"128"	"128"	"8"	"27"	"773"	"21"	"2"	"0"	"1"	"1"	"5"	"3"	"2"	"5"	"848"	"0"	"848"	"0"
"148"	"129"	"129"	"39"	"425"	"77"	"255"	"76"	"4"	"6"	"5"	"4"	"3"	"3"	"5"	"902"	"0"	"902"	"0"
"149"	"130"	"130"	"12"	"84"	"236"	"139"	"22"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"501"	"0"	"501"	"0"
"150"	"131"	"130A"	"29"	"51"	"323"	"48"	"36"	"5"	"3"	"5"	"3"	"3"	"1"	"13"	"520"	"0"	"520"	"0"
"151"	"132"	"131"	"3"	"3"	"327"	"232"	"8"	"0"	"1"	"8"	"5"	"5"	"6"	"8"	"606"	"0"	"606"	"0"
