"Candidates..Name"	"AMRITA.SINGH"	"MAHACHANDR.A.PRASAD.SINGH"	"RAMESH.KUMAR.SINGH"	"RAJU.KUMAR.SINGH"	"RAM.VICHAR.RAY"	"MRITUNJAY.SUMAN"	"YADAV.LAL.PATEL"	"RUPNATH.RAY"	"UPENDRA.KUMAR.SINGH"	"KEDAR.PRASAD.SINGH"	"GAYA.PASWAN"	"NAND.KISHOR.BHAGAT"	"MD..NABI.HASSAN"	"LALBABU.SINGH"	"VINAY.KUMAR"	"Total"
"24"	"19"	"5"	"113"	"5"	"171"	"163"	"10"	"3"	"5"	"2"	"1"	"5"	"12"	"5"	"12"	"12"	"524"
"25"	"20"	"11"	"81"	"14"	"198"	"152"	"4"	"5"	"1"	"1"	"3"	"5"	"14"	"8"	"10"	"3"	"510"
"26"	"21"	"1"	"69"	"10"	"69"	"171"	"8"	"3"	"1"	"0"	"9"	"14"	"13"	"2"	"2"	"7"	"379"
"27"	"22"	"10"	"69"	"5"	"159"	"152"	"3"	"4"	"3"	"2"	"0"	"2"	"7"	"5"	"6"	"2"	"429"
"28"	"23"	"3"	"29"	"4"	"84"	"109"	"4"	"2"	"3"	"1"	"1"	"5"	"7"	"5"	"3"	"6"	"266"
"29"	"24"	"11"	"59"	"4"	"164"	"157"	"3"	"5"	"5"	"0"	"3"	"12"	"8"	"6"	"5"	"10"	"452"
"30"	"25"	"10"	"198"	"12"	"142"	"89"	"5"	"5"	"7"	"3"	"3"	"8"	"9"	"3"	"6"	"6"	"506"
"31"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"32"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"37"	"26"	"4"	"34"	"0"	"25"	"91"	"5"	"2"	"3"	"0"	"0"	"6"	"3"	"1"	"2"	"1"	"177"
"38"	"27"	"8"	"23"	"4"	"158"	"94"	"3"	"7"	"4"	"4"	"4"	"7"	"18"	"4"	"2"	"4"	"344"
"39"	"28"	"6"	"146"	"7"	"160"	"56"	"2"	"3"	"4"	"1"	"2"	"3"	"5"	"3"	"10"	"8"	"416"
"40"	"29"	"1"	"10"	"4"	"563"	"41"	"3"	"1"	"2"	"2"	"0"	"2"	"4"	"0"	"0"	"2"	"635"
"41"	"30"	"10"	"62"	"7"	"157"	"168"	"4"	"7"	"3"	"0"	"4"	"2"	"9"	"4"	"4"	"9"	"450"
"42"	"31"	"7"	"4"	"3"	"44"	"250"	"4"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"320"
"43"	"32"	"3"	"0"	"4"	"195"	"29"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"0"	"1"	"1"	"241"
"44"	"33"	"21"	"22"	"2"	"212"	"256"	"9"	"5"	"1"	"3"	"3"	"7"	"13"	"1"	"1"	"6"	"562"
"45"	"34"	"0"	"4"	"0"	"189"	"104"	"1"	"3"	"0"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"310"
"46"	"35"	"13"	"74"	"9"	"371"	"232"	"5"	"6"	"3"	"6"	"3"	"9"	"34"	"10"	"12"	"11"	"798"
"47"	"36"	"5"	"89"	"4"	"186"	"148"	"4"	"4"	"3"	"1"	"5"	"3"	"15"	"6"	"7"	"9"	"489"
"48"	"37"	"6"	"97"	"6"	"73"	"179"	"4"	"4"	"2"	"2"	"3"	"5"	"13"	"2"	"4"	"4"	"404"
"49"	"38"	"0"	"3"	"1"	"14"	"255"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"280"
"50"	"39"	"5"	"55"	"8"	"193"	"246"	"6"	"4"	"3"	"4"	"2"	"9"	"16"	"3"	"1"	"12"	"567"
"51"	"40"	"9"	"117"	"12"	"77"	"160"	"4"	"2"	"2"	"4"	"1"	"2"	"4"	"2"	"2"	"13"	"411"
"52"	"41"	"5"	"14"	"1"	"73"	"173"	"3"	"1"	"7"	"2"	"1"	"4"	"4"	"1"	"0"	"3"	"292"
"53"	"42"	"9"	"131"	"4"	"91"	"190"	"7"	"2"	"4"	"3"	"1"	"3"	"6"	"5"	"8"	"8"	"472"
"54"	"43"	"9"	"220"	"13"	"122"	"120"	"3"	"4"	"5"	"4"	"8"	"8"	"12"	"6"	"6"	"5"	"545"
"55"	"44"	"3"	"193"	"6"	"44"	"255"	"6"	"3"	"2"	"0"	"2"	"7"	"3"	"4"	"3"	"11"	"542"
"56"	"45"	"5"	"76"	"6"	"308"	"255"	"6"	"10"	"8"	"4"	"3"	"3"	"9"	"5"	"3"	"4"	"705"
"57"	"46"	"4"	"77"	"5"	"257"	"208"	"6"	"7"	"6"	"5"	"3"	"8"	"21"	"6"	"4"	"8"	"625"
"58"	"47"	"6"	"46"	"3"	"129"	"243"	"5"	"1"	"1"	"0"	"2"	"3"	"7"	"1"	"2"	"7"	"456"
"59"	"48"	"6"	"74"	"5"	"135"	"126"	"0"	"30"	"7"	"2"	"3"	"1"	"4"	"2"	"4"	"1"	"400"
"60"	"49"	"1"	"70"	"2"	"163"	"48"	"0"	"29"	"5"	"5"	"3"	"8"	"24"	"7"	"12"	"13"	"390"
"61"	"50"	"4"	"115"	"8"	"281"	"219"	"7"	"11"	"10"	"2"	"6"	"2"	"19"	"2"	"8"	"11"	"705"
"62"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"63"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"68"	"51"	"3"	"118"	"4"	"109"	"138"	"5"	"1"	"0"	"0"	"3"	"1"	"5"	"5"	"3"	"2"	"397"
"69"	"52"	"2"	"56"	"14"	"228"	"299"	"6"	"6"	"5"	"3"	"0"	"8"	"5"	"5"	"9"	"10"	"656"
"70"	"53"	"13"	"90"	"7"	"128"	"253"	"8"	"52"	"4"	"1"	"6"	"9"	"13"	"11"	"9"	"8"	"612"
"71"	"54"	"3"	"3"	"0"	"29"	"150"	"5"	"1"	"1"	"1"	"4"	"19"	"10"	"5"	"6"	"11"	"248"
"72"	"55"	"2"	"50"	"15"	"236"	"126"	"5"	"3"	"1"	"4"	"1"	"3"	"7"	"4"	"6"	"8"	"471"
"73"	"56"	"4"	"17"	"1"	"380"	"110"	"1"	"4"	"1"	"0"	"0"	"2"	"7"	"1"	"0"	"2"	"530"
"74"	"57"	"5"	"67"	"17"	"300"	"240"	"8"	"7"	"7"	"3"	"2"	"5"	"18"	"7"	"9"	"14"	"709"
"75"	"58"	"21"	"84"	"17"	"424"	"124"	"8"	"54"	"9"	"4"	"2"	"5"	"17"	"5"	"8"	"3"	"785"
"76"	"59"	"2"	"152"	"12"	"190"	"156"	"12"	"13"	"5"	"3"	"13"	"15"	"17"	"26"	"12"	"21"	"649"
"77"	"60"	"12"	"48"	"10"	"364"	"189"	"8"	"3"	"9"	"6"	"5"	"18"	"35"	"14"	"3"	"9"	"733"
"78"	"61"	"11"	"32"	"4"	"208"	"179"	"7"	"4"	"4"	"1"	"2"	"3"	"4"	"5"	"3"	"5"	"472"
"79"	"62"	"1"	"87"	"1"	"102"	"57"	"0"	"1"	"1"	"12"	"1"	"3"	"8"	"3"	"4"	"1"	"282"
"80"	"63"	"8"	"51"	"8"	"277"	"125"	"4"	"11"	"8"	"6"	"3"	"7"	"12"	"5"	"3"	"4"	"532"
"81"	"64"	"6"	"23"	"8"	"238"	"139"	"6"	"4"	"4"	"6"	"6"	"8"	"27"	"5"	"5"	"13"	"498"
"82"	"65"	"3"	"19"	"1"	"119"	"91"	"1"	"2"	"2"	"1"	"2"	"6"	"7"	"5"	"3"	"5"	"267"
"83"	"66"	"24"	"113"	"11"	"333"	"265"	"15"	"8"	"4"	"7"	"3"	"12"	"18"	"4"	"3"	"15"	"835"
"84"	"67"	"6"	"159"	"10"	"235"	"123"	"9"	"7"	"12"	"2"	"1"	"4"	"6"	"4"	"3"	"5"	"586"
"85"	"68"	"7"	"16"	"5"	"133"	"324"	"4"	"5"	"1"	"1"	"6"	"8"	"15"	"9"	"6"	"6"	"546"
"86"	"69"	"13"	"73"	"6"	"192"	"209"	"7"	"6"	"3"	"5"	"5"	"12"	"19"	"7"	"9"	"16"	"582"
"87"	"70"	"6"	"16"	"11"	"119"	"375"	"13"	"3"	"3"	"5"	"2"	"8"	"11"	"6"	"4"	"13"	"595"
"88"	"71"	"15"	"16"	"2"	"53"	"414"	"16"	"11"	"8"	"5"	"5"	"27"	"18"	"5"	"11"	"17"	"623"
"89"	"72"	"6"	"2"	"1"	"24"	"662"	"8"	"4"	"1"	"1"	"1"	"5"	"9"	"1"	"3"	"10"	"738"
"90"	"73"	"9"	"106"	"6"	"109"	"503"	"9"	"6"	"4"	"4"	"2"	"5"	"7"	"2"	"5"	"17"	"794"
"91"	"74"	"10"	"129"	"3"	"44"	"299"	"3"	"7"	"3"	"1"	"2"	"0"	"2"	"1"	"5"	"5"	"514"
"92"	"75"	"3"	"93"	"4"	"123"	"85"	"2"	"0"	"3"	"2"	"1"	"7"	"3"	"6"	"4"	"6"	"342"
"93"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"94"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"99"	"76"	"9"	"12"	"8"	"83"	"176"	"6"	"4"	"6"	"2"	"5"	"6"	"11"	"4"	"1"	"3"	"336"
"100"	"77"	"15"	"34"	"7"	"120"	"135"	"7"	"9"	"5"	"3"	"2"	"3"	"5"	"2"	"7"	"1"	"355"
"101"	"78"	"14"	"107"	"11"	"264"	"166"	"10"	"52"	"8"	"9"	"4"	"12"	"26"	"10"	"7"	"12"	"712"
"102"	"79"	"12"	"63"	"2"	"207"	"121"	"4"	"3"	"3"	"7"	"1"	"5"	"10"	"3"	"4"	"6"	"451"
"103"	"80"	"4"	"127"	"7"	"107"	"77"	"0"	"1"	"3"	"0"	"3"	"4"	"6"	"2"	"2"	"11"	"354"
"104"	"81"	"5"	"24"	"5"	"146"	"149"	"3"	"69"	"17"	"9"	"8"	"10"	"16"	"6"	"5"	"10"	"482"
"105"	"82"	"2"	"31"	"7"	"207"	"61"	"6"	"58"	"10"	"12"	"8"	"9"	"31"	"8"	"8"	"5"	"463"
"106"	"83"	"2"	"30"	"1"	"250"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"3"	"299"
"107"	"84"	"11"	"42"	"3"	"199"	"237"	"3"	"4"	"4"	"2"	"2"	"13"	"9"	"3"	"2"	"1"	"535"
"108"	"85"	"7"	"66"	"5"	"199"	"191"	"6"	"6"	"3"	"0"	"3"	"2"	"20"	"2"	"1"	"10"	"521"
"109"	"86"	"8"	"44"	"4"	"127"	"260"	"6"	"40"	"6"	"5"	"2"	"8"	"10"	"7"	"4"	"13"	"544"
"110"	"87"	"7"	"24"	"9"	"187"	"283"	"8"	"11"	"5"	"3"	"4"	"10"	"16"	"8"	"2"	"12"	"589"
"111"	"88"	"4"	"184"	"8"	"191"	"115"	"5"	"17"	"1"	"2"	"0"	"4"	"10"	"2"	"2"	"4"	"549"
"112"	"89"	"7"	"31"	"8"	"239"	"93"	"3"	"7"	"2"	"1"	"0"	"0"	"6"	"3"	"1"	"2"	"403"
"113"	"90"	"8"	"22"	"5"	"187"	"120"	"3"	"8"	"5"	"2"	"5"	"11"	"19"	"5"	"7"	"9"	"416"
"114"	"91"	"7"	"123"	"5"	"183"	"126"	"2"	"13"	"5"	"5"	"6"	"8"	"18"	"10"	"11"	"10"	"532"
"115"	"92"	"17"	"144"	"24"	"68"	"291"	"8"	"11"	"4"	"3"	"5"	"3"	"4"	"2"	"8"	"6"	"598"
"116"	"93"	"8"	"227"	"5"	"83"	"56"	"3"	"4"	"2"	"1"	"3"	"1"	"8"	"5"	"3"	"3"	"412"
"117"	"94"	"3"	"82"	"2"	"21"	"159"	"4"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"3"	"8"	"288"
"118"	"95"	"5"	"51"	"4"	"153"	"54"	"1"	"3"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"5"	"281"
"119"	"96"	"1"	"66"	"1"	"113"	"36"	"1"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"2"	"2"	"228"
"120"	"97"	"4"	"60"	"8"	"136"	"136"	"5"	"3"	"3"	"0"	"1"	"2"	"11"	"1"	"1"	"0"	"371"
"121"	"98"	"6"	"29"	"4"	"300"	"155"	"3"	"2"	"6"	"4"	"1"	"8"	"19"	"8"	"3"	"14"	"562"
"122"	"99"	"12"	"168"	"8"	"66"	"112"	"6"	"5"	"2"	"8"	"1"	"4"	"11"	"7"	"13"	"18"	"441"
"123"	"100"	"5"	"70"	"4"	"26"	"94"	"7"	"3"	"2"	"0"	"2"	"2"	"10"	"2"	"15"	"14"	"256"
"124"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"125"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"130"	"101"	"1"	"9"	"3"	"29"	"273"	"7"	"3"	"1"	"2"	"0"	"8"	"3"	"1"	"3"	"5"	"348"
"131"	"102"	"23"	"24"	"6"	"80"	"384"	"7"	"10"	"6"	"6"	"3"	"13"	"11"	"5"	"4"	"12"	"594"
"132"	"103"	"4"	"145"	"4"	"143"	"169"	"4"	"8"	"6"	"3"	"12"	"2"	"15"	"3"	"6"	"8"	"532"
"133"	"104"	"10"	"30"	"9"	"307"	"163"	"1"	"9"	"9"	"3"	"2"	"0"	"8"	"4"	"2"	"7"	"564"
"134"	"105"	"14"	"23"	"5"	"347"	"162"	"6"	"3"	"5"	"11"	"9"	"28"	"39"	"10"	"8"	"15"	"685"
"135"	"106"	"6"	"17"	"12"	"267"	"138"	"5"	"3"	"4"	"3"	"2"	"12"	"40"	"10"	"2"	"9"	"530"
"136"	"107"	"9"	"28"	"6"	"303"	"116"	"1"	"5"	"2"	"2"	"0"	"5"	"15"	"1"	"2"	"8"	"503"
"137"	"108"	"11"	"4"	"8"	"248"	"84"	"2"	"0"	"4"	"1"	"2"	"5"	"13"	"4"	"4"	"7"	"397"
"138"	"108A"	"6"	"2"	"2"	"51"	"419"	"8"	"4"	"2"	"2"	"3"	"3"	"8"	"1"	"3"	"5"	"519"
"139"	"109"	"10"	"206"	"14"	"45"	"356"	"4"	"4"	"7"	"6"	"11"	"11"	"11"	"5"	"6"	"20"	"716"
"140"	"110"	"16"	"104"	"6"	"131"	"198"	"5"	"8"	"13"	"2"	"97"	"6"	"8"	"14"	"6"	"13"	"627"
"141"	"111"	"2"	"21"	"6"	"167"	"319"	"10"	"8"	"1"	"3"	"9"	"1"	"5"	"3"	"0"	"1"	"556"
"142"	"112"	"3"	"42"	"6"	"190"	"237"	"4"	"8"	"1"	"4"	"18"	"12"	"14"	"7"	"5"	"6"	"557"
"143"	"113"	"5"	"47"	"3"	"178"	"101"	"10"	"6"	"1"	"5"	"4"	"12"	"25"	"8"	"6"	"15"	"426"
"144"	"114"	"15"	"10"	"6"	"116"	"282"	"7"	"4"	"10"	"4"	"13"	"25"	"24"	"7"	"7"	"21"	"551"
"145"	"115"	"18"	"128"	"13"	"144"	"207"	"5"	"7"	"3"	"4"	"1"	"4"	"8"	"3"	"11"	"24"	"580"
"146"	"116"	"8"	"30"	"4"	"157"	"167"	"2"	"1"	"5"	"1"	"2"	"3"	"14"	"9"	"3"	"10"	"416"
"147"	"117"	"8"	"90"	"18"	"131"	"95"	"6"	"6"	"2"	"1"	"2"	"10"	"17"	"9"	"4"	"11"	"410"
"148"	"117A"	"7"	"6"	"10"	"185"	"95"	"3"	"3"	"5"	"4"	"1"	"14"	"21"	"4"	"9"	"16"	"383"
"149"	"118"	"2"	"15"	"33"	"316"	"344"	"4"	"7"	"2"	"1"	"7"	"14"	"10"	"8"	"4"	"6"	"773"
"150"	"119"	"12"	"7"	"10"	"138"	"183"	"3"	"2"	"4"	"2"	"2"	"1"	"12"	"4"	"2"	"7"	"389"
"151"	"120"	"0"	"14"	"2"	"116"	"50"	"2"	"1"	"2"	"0"	"2"	"2"	"9"	"5"	"1"	"2"	"208"
"152"	"121"	"9"	"10"	"5"	"122"	"410"	"14"	"7"	"7"	"13"	"10"	"38"	"39"	"15"	"8"	"41"	"748"
"153"	"122"	"4"	"2"	"4"	"291"	"68"	"2"	"4"	"4"	"2"	"3"	"3"	"18"	"13"	"2"	"6"	"426"
"154"	"123"	"17"	"13"	"3"	"156"	"236"	"8"	"2"	"4"	"2"	"2"	"5"	"5"	"3"	"3"	"4"	"463"
"155"	"Candidates  Name"	"AMRITA SINGH"	"MAHACHANDR A PRASAD SINGH"	"RAMESH KUMAR SINGH"	"RAJU KUMAR SINGH"	"RAM VICHAR RAY"	"MRITUNJAY SUMAN"	"YADAV LAL PATEL"	"RUPNATH RAY"	"UPENDRA KUMAR SINGH"	"KEDAR PRASAD SINGH"	"GAYA PASWAN"	"NAND KISHOR BHAGAT"	"MD. NABI HASSAN"	"LALBABU SINGH"	"VINAY KUMAR"	"Total"
"156"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"161"	"124"	"19"	"35"	"11"	"105"	"372"	"10"	"19"	"6"	"3"	"5"	"4"	"9"	"3"	"9"	"5"	"615"
"162"	"125"	"3"	"14"	"3"	"115"	"90"	"0"	"0"	"1"	"1"	"2"	"7"	"10"	"7"	"1"	"4"	"258"
"163"	"126"	"3"	"33"	"3"	"222"	"94"	"3"	"4"	"4"	"2"	"1"	"4"	"35"	"5"	"4"	"8"	"425"
"164"	"127"	"5"	"88"	"2"	"55"	"63"	"3"	"3"	"1"	"2"	"1"	"3"	"2"	"4"	"6"	"4"	"242"
"165"	"128"	"10"	"153"	"7"	"88"	"302"	"7"	"14"	"1"	"1"	"7"	"3"	"12"	"3"	"6"	"10"	"624"
"166"	"129"	"2"	"4"	"2"	"125"	"80"	"1"	"3"	"0"	"1"	"0"	"1"	"3"	"0"	"0"	"2"	"224"
"167"	"130"	"2"	"23"	"1"	"160"	"73"	"0"	"3"	"0"	"1"	"2"	"2"	"7"	"4"	"2"	"0"	"280"
"168"	"131"	"6"	"51"	"4"	"149"	"226"	"9"	"6"	"8"	"9"	"9"	"8"	"13"	"10"	"12"	"9"	"529"
"169"	"132"	"9"	"105"	"4"	"43"	"147"	"4"	"2"	"4"	"4"	"6"	"2"	"5"	"3"	"3"	"3"	"344"
"170"	"133"	"4"	"6"	"1"	"154"	"83"	"0"	"1"	"3"	"2"	"7"	"3"	"9"	"4"	"3"	"4"	"284"
"171"	"134"	"7"	"49"	"11"	"191"	"205"	"4"	"5"	"6"	"4"	"6"	"7"	"10"	"1"	"6"	"10"	"522"
"172"	"135"	"13"	"121"	"11"	"293"	"250"	"9"	"10"	"9"	"8"	"13"	"15"	"31"	"7"	"12"	"21"	"823"
"173"	"136"	"0"	"45"	"3"	"74"	"78"	"1"	"2"	"4"	"1"	"1"	"2"	"3"	"1"	"1"	"9"	"225"
"174"	"137"	"10"	"11"	"5"	"196"	"140"	"5"	"1"	"5"	"4"	"3"	"16"	"25"	"4"	"2"	"11"	"438"
"175"	"138"	"7"	"4"	"3"	"205"	"178"	"5"	"4"	"3"	"1"	"3"	"3"	"8"	"3"	"2"	"4"	"433"
"176"	"139"	"13"	"32"	"11"	"318"	"319"	"12"	"9"	"8"	"10"	"9"	"14"	"36"	"20"	"11"	"18"	"840"
"177"	"140"	"4"	"82"	"8"	"243"	"261"	"6"	"6"	"6"	"5"	"0"	"18"	"31"	"14"	"12"	"17"	"713"
"178"	"141"	"3"	"12"	"3"	"205"	"216"	"8"	"7"	"7"	"10"	"5"	"17"	"37"	"10"	"4"	"24"	"568"
"179"	"142"	"8"	"130"	"10"	"160"	"197"	"7"	"6"	"6"	"3"	"5"	"6"	"12"	"5"	"9"	"18"	"582"
"180"	"143"	"19"	"6"	"2"	"78"	"341"	"7"	"3"	"0"	"5"	"0"	"8"	"17"	"2"	"7"	"8"	"503"
"181"	"144"	"20"	"10"	"5"	"117"	"339"	"11"	"10"	"4"	"1"	"4"	"9"	"4"	"2"	"0"	"2"	"538"
"182"	"145"	"4"	"7"	"1"	"417"	"53"	"2"	"1"	"4"	"2"	"0"	"2"	"8"	"1"	"0"	"1"	"503"
"183"	"146"	"3"	"4"	"2"	"121"	"43"	"4"	"1"	"7"	"1"	"4"	"13"	"22"	"6"	"6"	"14"	"251"
"184"	"147"	"2"	"14"	"1"	"230"	"107"	"7"	"3"	"6"	"5"	"3"	"5"	"33"	"8"	"8"	"13"	"445"
"185"	"147A"	"3"	"42"	"0"	"170"	"154"	"3"	"3"	"4"	"4"	"3"	"5"	"18"	"5"	"7"	"8"	"429"
