"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"40"	"31"	""	"11"	"154"	"9"	"20"	"278"	"6"	"2"	"10"	"23"	"21"	"534"
"41"	"32"	""	"8"	"95"	"2"	"19"	"123"	"7"	"1"	"2"	"4"	"4"	"265"
"42"	"33"	""	"12"	"162"	"11"	"15"	"99"	"1"	"5"	"4"	"12"	"10"	"331"
"43"	"34"	""	"23"	"159"	"7"	"9"	"145"	"6"	"8"	"6"	"11"	"10"	"384"
"44"	"35"	""	"13"	"149"	"14"	"71"	"154"	"10"	"4"	"11"	"20"	"30"	"476"
"45"	"36"	""	"2"	"90"	"11"	"14"	"212"	"7"	"3"	"10"	"13"	"6"	"368"
"46"	"37"	""	"61"	"168"	"20"	"50"	"232"	"14"	"13"	"9"	"13"	"26"	"606"
"47"	"38"	""	"4"	"73"	"7"	"17"	"260"	"8"	"3"	"11"	"11"	"12"	"406"
"48"	"39"	""	"14"	"149"	"23"	"13"	"149"	"1"	"0"	"7"	"18"	"14"	"388"
"49"	"40"	""	"20"	"194"	"12"	"16"	"207"	"14"	"6"	"10"	"17"	"15"	"511"
"50"	"41"	""	"28"	"82"	"11"	"31"	"351"	"5"	"3"	"8"	"13"	"4"	"536"
"51"	"42"	""	"26"	"387"	"15"	"23"	"240"	"5"	"5"	"11"	"20"	"14"	"746"
"52"	"43"	""	"20"	"162"	"12"	"20"	"279"	"4"	"2"	"10"	"8"	"10"	"527"
"53"	"44"	""	"8"	"95"	"2"	"49"	"288"	"6"	"5"	"4"	"14"	"6"	"477"
"54"	"45"	""	"24"	"104"	"26"	"35"	"176"	"9"	"7"	"14"	"15"	"20"	"430"
"55"	"46"	""	"8"	"209"	"12"	"17"	"293"	"8"	"10"	"10"	"9"	"9"	"585"
"56"	"47"	""	"28"	"205"	"18"	"7"	"86"	"6"	"3"	"4"	"6"	"14"	"377"
"57"	"48"	""	"26"	"245"	"5"	"15"	"241"	"8"	"2"	"7"	"4"	"10"	"563"
"58"	"49"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"59"	"50"	""	"17"	"129"	"8"	"14"	"439"	"10"	"4"	"11"	"21"	"38"	"691"
"60"	"51"	""	"21"	"57"	"19"	"12"	"351"	"4"	"5"	"8"	"11"	"10"	"498"
"61"	"52"	""	"21"	"194"	"15"	"80"	"207"	"12"	"5"	"8"	"20"	"21"	"583"
"62"	"53"	""	"33"	"263"	"19"	"7"	"129"	"5"	"9"	"22"	"22"	"16"	"525"
"63"	"54"	""	"26"	"174"	"19"	"63"	"126"	"11"	"9"	"8"	"5"	"12"	"453"
"64"	"55"	""	"25"	"285"	"15"	"6"	"127"	"2"	"3"	"1"	"4"	"5"	"473"
"65"	"56"	""	"17"	"200"	"11"	"3"	"34"	"1"	"0"	"3"	"2"	"3"	"274"
"66"	"57"	""	"7"	"103"	"10"	"14"	"146"	"3"	"7"	"3"	"8"	"8"	"309"
"67"	"58"	""	"12"	"377"	"12"	"4"	"53"	"0"	"1"	"4"	"7"	"2"	"472"
"68"	"59"	""	"18"	"159"	"11"	"13"	"182"	"4"	"6"	"5"	"4"	"5"	"407"
"69"	"60"	""	"21"	"177"	"19"	"24"	"396"	"16"	"6"	"13"	"14"	"10"	"696"
"70"	"61"	""	"14"	"150"	"7"	"11"	"285"	"11"	"8"	"9"	"14"	"23"	"532"
"71"	"62"	""	"10"	"103"	"6"	"9"	"182"	"14"	"4"	"9"	"13"	"8"	"358"
"72"	"63"	""	"17"	"307"	"18"	"21"	"147"	"1"	"1"	"5"	"11"	"5"	"533"
"73"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"74"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"75"	"64"	""	"26"	"182"	"11"	"19"	"375"	"14"	"6"	"7"	"12"	"28"	"680"
"76"	"65"	""	"13"	"203"	"11"	"15"	"290"	"4"	"2"	"8"	"16"	"7"	"569"
"77"	"66"	""	"16"	"68"	"3"	"6"	"147"	"16"	"5"	"5"	"5"	"21"	"292"
"78"	"67"	""	"12"	"341"	"21"	"9"	"237"	"12"	"3"	"12"	"9"	"17"	"673"
"79"	"68"	""	"7"	"71"	"6"	"8"	"172"	"11"	"8"	"4"	"8"	"8"	"303"
"80"	"69"	""	"16"	"163"	"11"	"6"	"153"	"17"	"7"	"7"	"17"	"16"	"413"
"81"	"70"	""	"10"	"190"	"11"	"3"	"109"	"11"	"5"	"14"	"13"	"17"	"383"
"82"	"71"	""	"14"	"202"	"37"	"16"	"89"	"6"	"2"	"3"	"13"	"14"	"396"
"83"	"72"	""	"8"	"232"	"9"	"4"	"14"	"0"	"1"	"0"	"3"	"3"	"274"
"84"	"73"	""	"25"	"446"	"20"	"9"	"75"	"11"	"4"	"11"	"27"	"8"	"636"
"85"	"74"	""	"31"	"106"	"10"	"12"	"230"	"11"	"8"	"6"	"15"	"22"	"451"
"86"	"75"	""	"11"	"37"	"4"	"2"	"239"	"14"	"6"	"5"	"3"	"5"	"326"
"87"	"76"	""	"11"	"225"	"14"	"4"	"407"	"11"	"7"	"9"	"9"	"14"	"711"
"88"	"77"	""	"6"	"321"	"20"	"10"	"239"	"9"	"5"	"3"	"11"	"9"	"633"
"89"	"78"	""	"19"	"88"	"6"	"6"	"393"	"24"	"3"	"6"	"7"	"14"	"566"
"90"	"79"	""	"9"	"294"	"8"	"2"	"6"	"0"	"0"	"2"	"8"	"2"	"331"
"91"	"80"	""	"11"	"128"	"10"	"7"	"242"	"9"	"4"	"5"	"5"	"14"	"435"
"92"	"81"	""	"12"	"185"	"9"	"5"	"189"	"7"	"5"	"4"	"4"	"0"	"420"
"93"	"82"	""	"25"	"68"	"5"	"6"	"381"	"11"	"4"	"6"	"8"	"8"	"522"
"94"	"83"	""	"8"	"25"	"1"	"4"	"150"	"6"	"4"	"1"	"0"	"6"	"205"
"95"	"84"	""	"24"	"54"	"8"	"11"	"372"	"10"	"4"	"4"	"11"	"16"	"514"
"96"	"84"	"A"	"13"	"83"	"13"	"5"	"246"	"7"	"4"	"2"	"7"	"9"	"389"
"97"	"85"	""	"30"	"254"	"17"	"17"	"358"	"10"	"4"	"6"	"8"	"3"	"707"
"98"	"86"	""	"18"	"159"	"17"	"4"	"200"	"8"	"3"	"1"	"10"	"7"	"427"
"99"	"87"	""	"11"	"33"	"3"	"21"	"234"	"6"	"5"	"1"	"1"	"2"	"317"
"100"	"87"	"A"	"7"	"143"	"14"	"4"	"186"	"16"	"3"	"4"	"6"	"5"	"388"
"101"	"88"	""	"13"	"182"	"18"	"7"	"152"	"21"	"5"	"7"	"9"	"17"	"431"
"102"	"89"	""	"31"	"217"	"12"	"7"	"33"	"2"	"1"	"2"	"6"	"4"	"315"
"103"	"90"	""	"5"	"88"	"3"	"2"	"97"	"5"	"1"	"4"	"1"	"3"	"209"
"104"	"91"	""	"13"	"71"	"9"	"8"	"141"	"8"	"5"	"3"	"6"	"10"	"274"
"105"	"92"	""	"9"	"110"	"3"	"6"	"204"	"5"	"1"	"5"	"8"	"4"	"355"
"106"	"93"	""	"12"	"244"	"10"	"10"	"109"	"10"	"1"	"0"	"9"	"5"	"410"
"107"	"94"	""	"6"	"233"	"2"	"4"	"88"	"5"	"0"	"3"	"7"	"0"	"348"
"108"	"95"	""	"20"	"95"	"10"	"25"	"141"	"7"	"4"	"5"	"8"	"9"	"324"
"109"	"96"	""	"6"	"99"	"4"	"17"	"129"	"4"	"4"	"3"	"5"	"8"	"279"
"110"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"111"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"112"	"97"	""	"12"	"113"	"7"	"5"	"173"	"10"	"1"	"8"	"10"	"5"	"344"
"113"	"98"	""	"16"	"59"	"7"	"17"	"338"	"13"	"5"	"0"	"3"	"7"	"465"
"114"	"99"	""	"17"	"114"	"16"	"11"	"173"	"9"	"4"	"3"	"10"	"13"	"370"
"115"	"100"	""	"7"	"54"	"2"	"4"	"188"	"13"	"2"	"3"	"7"	"11"	"291"
"116"	"101"	""	"4"	"171"	"10"	"6"	"137"	"12"	"2"	"10"	"9"	"22"	"383"
"117"	"102"	""	"16"	"18"	"3"	"7"	"286"	"22"	"3"	"2"	"5"	"8"	"370"
"118"	"103"	""	"2"	"94"	"15"	"8"	"170"	"7"	"2"	"3"	"7"	"13"	"321"
"119"	"104"	""	"7"	"138"	"7"	"6"	"98"	"3"	"3"	"4"	"11"	"13"	"290"
"120"	"105"	""	"25"	"147"	"13"	"7"	"128"	"6"	"3"	"4"	"14"	"24"	"371"
"121"	"106"	""	"14"	"192"	"16"	"9"	"70"	"3"	"0"	"5"	"10"	"4"	"323"
"122"	"107"	""	"19"	"195"	"12"	"5"	"35"	"5"	"4"	"8"	"12"	"12"	"307"
"123"	"108"	""	"1"	"182"	"0"	"2"	"31"	"1"	"0"	"1"	"0"	"0"	"218"
"124"	"109"	""	"43"	"172"	"20"	"17"	"141"	"7"	"5"	"8"	"8"	"8"	"429"
"125"	"110"	""	"12"	"101"	"10"	"5"	"255"	"5"	"5"	"5"	"11"	"15"	"424"
"126"	"110"	"A"	"23"	"90"	"13"	"10"	"163"	"4"	"3"	"3"	"13"	"27"	"349"
"127"	"111"	""	"26"	"301"	"24"	"11"	"152"	"12"	"10"	"8"	"29"	"39"	"612"
"128"	"112"	""	"32"	"242"	"12"	"6"	"183"	"7"	"4"	"11"	"17"	"13"	"527"
"129"	"113"	""	"12"	"131"	"11"	"10"	"207"	"13"	"9"	"24"	"7"	"24"	"448"
"130"	"114"	""	"14"	"264"	"17"	"11"	"179"	"12"	"6"	"6"	"13"	"16"	"538"
"131"	"115"	""	"7"	"163"	"7"	"3"	"61"	"4"	"0"	"0"	"3"	"2"	"250"
"132"	"116"	""	"5"	"150"	"9"	"7"	"145"	"10"	"7"	"4"	"15"	"12"	"364"
"133"	"117"	""	"20"	"54"	"4"	"9"	"137"	"6"	"4"	"1"	"10"	"15"	"260"
"134"	"118"	""	"9"	"83"	"5"	"15"	"136"	"5"	"2"	"3"	"11"	"15"	"284"
"135"	"119"	""	"14"	"63"	"10"	"15"	"109"	"5"	"7"	"4"	"14"	"14"	"255"
"136"	"120"	""	"6"	"74"	"4"	"17"	"152"	"10"	"4"	"6"	"15"	"9"	"297"
"137"	"121"	""	"50"	"278"	"30"	"15"	"172"	"8"	"5"	"37"	"39"	"32"	"666"
"138"	"122"	""	"29"	"147"	"18"	"11"	"164"	"69"	"16"	"10"	"14"	"19"	"497"
"139"	"123"	""	"20"	"76"	"5"	"9"	"86"	"12"	"5"	"4"	"17"	"22"	"256"
"140"	"124"	""	"7"	"205"	"17"	"4"	"30"	"0"	"2"	"2"	"7"	"5"	"279"
"141"	"125"	""	"17"	"157"	"8"	"17"	"298"	"8"	"4"	"4"	"13"	"10"	"536"
"142"	"126"	""	"15"	"189"	"13"	"3"	"11"	"4"	"2"	"9"	"15"	"11"	"272"
"143"	"127"	""	"16"	"104"	"11"	"2"	"54"	"5"	"3"	"0"	"6"	"7"	"208"
"144"	"128"	""	"20"	"153"	"21"	"9"	"107"	"16"	"3"	"6"	"11"	"6"	"352"
"145"	"129"	""	"23"	"224"	"14"	"14"	"167"	"23"	"11"	"17"	"26"	"42"	"561"
"146"	"130"	""	"16"	"166"	"13"	"13"	"153"	"12"	"9"	"9"	"8"	"16"	"415"
"147"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"148"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"149"	"131"	""	"25"	"137"	"26"	"7"	"220"	"8"	"4"	"3"	"18"	"9"	"457"
"150"	"132"	""	"17"	"147"	"9"	"28"	"202"	"24"	"11"	"14"	"16"	"17"	"485"
"151"	"133"	""	"0"	"11"	"0"	"1"	"73"	"4"	"0"	"0"	"0"	"1"	"90"
"152"	"134"	""	"24"	"72"	"9"	"11"	"358"	"9"	"7"	"10"	"19"	"23"	"542"
"153"	"135"	""	"16"	"305"	"15"	"17"	"300"	"17"	"4"	"10"	"28"	"13"	"725"
"154"	"136"	""	"42"	"181"	"17"	"14"	"172"	"9"	"13"	"20"	"30"	"35"	"533"
"155"	"137"	""	"8"	"82"	"9"	"8"	"159"	"15"	"4"	"12"	"12"	"22"	"331"
"156"	"138"	""	"47"	"44"	"13"	"24"	"295"	"27"	"9"	"26"	"9"	"18"	"512"
"157"	"139"	""	"11"	"53"	"9"	"10"	"238"	"20"	"6"	"7"	"20"	"20"	"394"
"158"	"140"	""	"14"	"214"	"7"	"2"	"154"	"13"	"12"	"9"	"25"	"14"	"464"
"159"	"141"	""	"6"	"286"	"5"	"7"	"176"	"9"	"5"	"3"	"5"	"4"	"506"
"160"	"142"	""	"12"	"77"	"6"	"5"	"193"	"6"	"3"	"3"	"7"	"10"	"322"
"161"	"143"	""	"5"	"158"	"9"	"2"	"45"	"3"	"4"	"30"	"11"	"4"	"271"
"162"	"144"	""	"7"	"165"	"3"	"1"	"52"	"1"	"1"	"0"	"1"	"4"	"235"
"163"	"145"	""	"12"	"83"	"27"	"11"	"210"	"94"	"1"	"9"	"16"	"13"	"476"
"164"	"146"	""	"11"	"102"	"6"	"5"	"171"	"4"	"5"	"10"	"21"	"27"	"362"
"165"	"147"	""	"29"	"183"	"20"	"4"	"105"	"9"	"6"	"5"	"13"	"16"	"390"
"166"	"148"	""	"13"	"179"	"12"	"7"	"78"	"16"	"70"	"8"	"11"	"11"	"405"
"167"	"149"	""	"30"	"180"	"21"	"13"	"104"	"10"	"5"	"9"	"5"	"20"	"397"
"168"	"150"	""	"16"	"257"	"17"	"9"	"135"	"28"	"9"	"17"	"20"	"38"	"546"
"169"	"151"	""	"48"	"279"	"29"	"12"	"70"	"16"	"4"	"6"	"23"	"11"	"498"
"170"	"152"	""	"11"	"130"	"4"	"5"	"78"	"28"	"1"	"4"	"7"	"14"	"282"
"171"	"153"	""	"13"	"104"	"6"	"3"	"71"	"40"	"4"	"4"	"6"	"24"	"275"
"172"	"154"	""	"13"	"90"	"8"	"7"	"277"	"54"	"16"	"6"	"17"	"24"	"512"
"173"	"155"	""	"4"	"274"	"5"	"12"	"230"	"17"	"3"	"4"	"5"	"7"	"561"
"174"	"156"	""	"13"	"259"	"21"	"9"	"120"	"10"	"4"	"7"	"10"	"4"	"457"
"175"	"157"	""	"2"	"52"	"0"	"2"	"320"	"5"	"0"	"0"	"3"	"8"	"392"
"176"	"158"	""	"6"	"70"	"6"	"4"	"222"	"13"	"6"	"3"	"12"	"12"	"354"
"177"	"159"	""	"26"	"261"	"12"	"5"	"36"	"61"	"3"	"14"	"24"	"17"	"459"
"178"	"160"	""	"15"	"109"	"8"	"4"	"75"	"5"	"4"	"7"	"12"	"7"	"246"
"179"	"161"	""	"18"	"227"	"12"	"10"	"145"	"15"	"4"	"10"	"11"	"11"	"463"
"180"	"162"	""	"16"	"48"	"6"	"2"	"77"	"12"	"6"	"3"	"5"	"13"	"188"
"181"	"163"	""	"26"	"224"	"18"	"19"	"316"	"9"	"7"	"16"	"15"	"14"	"664"
"182"	"164"	""	"14"	"160"	"7"	"24"	"320"	"14"	"6"	"5"	"12"	"11"	"573"
"183"	"165"	""	"7"	"41"	"6"	"6"	"288"	"14"	"3"	"3"	"5"	"18"	"391"
"184"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"185"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"186"	"166"	""	"6"	"134"	"3"	"1"	"66"	"2"	"0"	"1"	"1"	"1"	"215"
"187"	"167"	""	"21"	"220"	"12"	"9"	"143"	"6"	"5"	"3"	"8"	"17"	"444"
"188"	"168"	""	"15"	"52"	"10"	"15"	"460"	"20"	"5"	"5"	"13"	"23"	"618"
"189"	"169"	""	"2"	"12"	"0"	"6"	"324"	"5"	"2"	"4"	"0"	"2"	"357"
"190"	"170"	""	"1"	"35"	"2"	"12"	"139"	"2"	"5"	"1"	"3"	"2"	"202"
"191"	"171"	""	"21"	"46"	"5"	"9"	"266"	"8"	"9"	"2"	"10"	"8"	"384"
"192"	"172"	""	"27"	"144"	"12"	"16"	"368"	"6"	"1"	"18"	"17"	"11"	"620"
"193"	"173"	""	"11"	"54"	"12"	"12"	"459"	"9"	"6"	"4"	"5"	"4"	"576"
"194"	"174"	""	"0"	"6"	"1"	"10"	"318"	"8"	"0"	"2"	"2"	"7"	"354"
"195"	"174"	"A"	"3"	"5"	"1"	"8"	"354"	"8"	"1"	"1"	"1"	"4"	"386"
"196"	"175"	""	"4"	"126"	"7"	"6"	"209"	"14"	"9"	"6"	"12"	"13"	"406"
"197"	"176"	""	"1"	"7"	"1"	"1"	"354"	"4"	"2"	"1"	"1"	"1"	"373"
"198"	"177"	""	"12"	"65"	"6"	"12"	"269"	"7"	"6"	"4"	"5"	"15"	"401"
"199"	"178"	""	"13"	"138"	"8"	"10"	"93"	"2"	"4"	"6"	"14"	"22"	"310"
"200"	"179"	""	"1"	"39"	"1"	"1"	"119"	"5"	"1"	"0"	"3"	"4"	"174"
"201"	"180"	""	"15"	"19"	"2"	"17"	"300"	"7"	"2"	"1"	"2"	"6"	"371"
"202"	"181"	""	"34"	"176"	"20"	"7"	"169"	"12"	"5"	"11"	"10"	"13"	"457"
"203"	"182"	""	"10"	"117"	"4"	"4"	"172"	"12"	"5"	"10"	"18"	"26"	"378"
"204"	"183"	""	"14"	"98"	"12"	"9"	"234"	"11"	"1"	"4"	"8"	"22"	"413"
"205"	"184"	""	"11"	"126"	"6"	"18"	"194"	"16"	"2"	"12"	"11"	"11"	"407"
"206"	"185"	""	"36"	"51"	"10"	"12"	"216"	"16"	"7"	"1"	"5"	"4"	"358"
"207"	"186"	""	"8"	"7"	"6"	"3"	"262"	"8"	"3"	"0"	"2"	"5"	"304"
"208"	"187"	""	"9"	"59"	"2"	"0"	"209"	"8"	"7"	"2"	"7"	"15"	"318"
"209"	"188"	""	"8"	"102"	"8"	"7"	"293"	"12"	"7"	"5"	"3"	"3"	"448"
"210"	"189"	""	"16"	"92"	"2"	"4"	"97"	"6"	"8"	"1"	"11"	"6"	"243"
"211"	"190"	""	"10"	"22"	"0"	"3"	"276"	"5"	"2"	"0"	"2"	"4"	"324"
"212"	"191"	""	"14"	"102"	"1"	"3"	"88"	"0"	"2"	"1"	"3"	"5"	"219"
"213"	"192"	""	"18"	"146"	"25"	"9"	"251"	"8"	"2"	"3"	"3"	"4"	"469"
"214"	"193"	""	"18"	"179"	"10"	"10"	"125"	"7"	"2"	"1"	"6"	"7"	"365"
"215"	"194"	""	"14"	"40"	"3"	"5"	"141"	"3"	"2"	"4"	"4"	"8"	"224"
"216"	"195"	""	"25"	"7"	"2"	"2"	"137"	"7"	"1"	"2"	"1"	"4"	"188"
"217"	"196"	""	"57"	"90"	"9"	"6"	"267"	"11"	"5"	"4"	"10"	"11"	"470"
"218"	"197"	""	"51"	"204"	"15"	"7"	"229"	"14"	"5"	"2"	"9"	"8"	"544"
"219"	"198"	""	"11"	"120"	"5"	"9"	"132"	"6"	"3"	"6"	"5"	"4"	"301"
"220"	"199"	""	"11"	"181"	"9"	"4"	"95"	"10"	"3"	"6"	"6"	"3"	"328"
"221"	"BOOTH NO"	""	"KAPIL CHOUDHARY"	"KUMAR SARVJEET"	"FULCHAND MANJHI"	"BALIK RAM"	"SHYAM DEO PASWAN"	"INDRADEO KUMAR MANJHI"	"SURESH MANJHI"	"KAILASH BHUIYAN"	"DEVENDRA PRATAP"	"RAJKUMAR MANJHI"	"Total Valid  Votes"
"222"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"223"	"200"	""	"5"	"50"	"18"	"6"	"232"	"19"	"13"	"10"	"13"	"12"	"378"
"224"	"201"	""	"30"	"195"	"14"	"17"	"218"	"12"	"1"	"6"	"5"	"3"	"501"
"225"	"202"	""	"10"	"40"	"6"	"7"	"107"	"13"	"4"	"3"	"7"	"2"	"199"
"226"	"203"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"227"	"204"	""	"44"	"191"	"24"	"5"	"139"	"2"	"1"	"4"	"8"	"9"	"427"
"228"	"205"	""	"16"	"196"	"11"	"3"	"88"	"2"	"5"	"2"	"11"	"1"	"335"
"229"	"206"	""	"6"	"204"	"6"	"6"	"54"	"0"	"3"	"1"	"4"	"7"	"291"
"230"	"207"	""	"18"	"190"	"8"	"2"	"78"	"8"	"2"	"0"	"1"	"2"	"309"
"231"	"208"	""	"4"	"142"	"16"	"8"	"204"	"12"	"7"	"6"	"5"	"9"	"413"
"232"	"209"	""	"6"	"12"	"2"	"3"	"162"	"7"	"0"	"2"	"2"	"8"	"204"
"233"	"210"	""	"32"	"234"	"10"	"13"	"222"	"7"	"3"	"9"	"10"	"7"	"547"
"234"	"211"	""	"6"	"108"	"9"	"13"	"97"	"7"	"3"	"3"	"5"	"5"	"256"
"235"	"212"	""	"17"	"148"	"7"	"16"	"100"	"8"	"6"	"2"	"4"	"9"	"317"
"236"	"213"	""	"16"	"345"	"4"	"3"	"52"	"17"	"0"	"5"	"3"	"1"	"446"
"237"	"214"	""	"16"	"169"	"14"	"19"	"266"	"11"	"2"	"5"	"3"	"6"	"511"
"238"	"215"	""	"16"	"171"	"11"	"11"	"188"	"10"	"3"	"11"	"13"	"10"	"444"
"239"	"216"	""	"37"	"113"	"12"	"5"	"142"	"11"	"3"	"9"	"7"	"19"	"358"
"240"	"217"	""	"41"	"264"	"15"	"11"	"48"	"4"	"2"	"2"	"11"	"4"	"402"
