"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"29"	"25"	"51"	"14"	"3"	"56"	"19"	"355"	"7"	"8"	"6"	"0"	"1"	"2"	"3"	"525"
"30"	"26"	"47"	"45"	"10"	"289"	"8"	"336"	"6"	"7"	"10"	"3"	"2"	"4"	"4"	"771"
"31"	"27"	"17"	"24"	"6"	"96"	"9"	"485"	"3"	"39"	"11"	"3"	"9"	"9"	"9"	"720"
"32"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"37"	"28"	"5"	"62"	"2"	"126"	"1"	"84"	"2"	"20"	"2"	"4"	"2"	"8"	"2"	"320"
"38"	"29"	"21"	"196"	"15"	"174"	"2"	"140"	"9"	"107"	"11"	"11"	"17"	"83"	"23"	"809"
"39"	"30"	"41"	"46"	"5"	"84"	"3"	"200"	"2"	"30"	"4"	"3"	"10"	"56"	"15"	"499"
"40"	"31"	"21"	"52"	"7"	"266"	"5"	"195"	"4"	"129"	"8"	"2"	"7"	"9"	"5"	"710"
"41"	"32"	"25"	"237"	"8"	"110"	"11"	"54"	"4"	"251"	"14"	"5"	"10"	"42"	"8"	"779"
"42"	"33"	"15"	"178"	"5"	"241"	"44"	"15"	"3"	"4"	"5"	"2"	"2"	"5"	"4"	"523"
"43"	"34"	"17"	"19"	"1"	"20"	"1"	"156"	"1"	"51"	"5"	"0"	"2"	"1"	"2"	"276"
"44"	"35"	"28"	"274"	"3"	"57"	"48"	"60"	"2"	"53"	"5"	"3"	"7"	"17"	"9"	"566"
"45"	"36"	"110"	"49"	"2"	"175"	"11"	"9"	"2"	"0"	"3"	"3"	"0"	"2"	"2"	"368"
"46"	"37"	"66"	"192"	"1"	"98"	"12"	"28"	"5"	"130"	"6"	"2"	"3"	"2"	"4"	"549"
"47"	"38"	"87"	"110"	"3"	"115"	"10"	"10"	"3"	"148"	"4"	"2"	"4"	"3"	"3"	"502"
"48"	"39"	"92"	"63"	"4"	"131"	"4"	"316"	"4"	"14"	"11"	"1"	"7"	"7"	"13"	"667"
"49"	"40"	"131"	"93"	"10"	"250"	"10"	"12"	"7"	"334"	"11"	"5"	"6"	"11"	"10"	"890"
"50"	"41"	"28"	"189"	"8"	"114"	"4"	"18"	"5"	"116"	"6"	"4"	"9"	"8"	"5"	"514"
"51"	"42"	"12"	"172"	"3"	"81"	"3"	"78"	"2"	"9"	"3"	"0"	"5"	"7"	"1"	"376"
"52"	"43"	"29"	"7"	"4"	"13"	"1"	"331"	"8"	"9"	"9"	"0"	"1"	"1"	"5"	"418"
"53"	"44"	"24"	"110"	"2"	"81"	"13"	"150"	"8"	"139"	"6"	"4"	"5"	"10"	"16"	"568"
"54"	"45"	"4"	"94"	"5"	"122"	"3"	"125"	"5"	"22"	"4"	"2"	"6"	"5"	"8"	"405"
"55"	"46"	"6"	"197"	"3"	"74"	"0"	"4"	"1"	"9"	"2"	"4"	"7"	"6"	"11"	"324"
"56"	"47"	"25"	"256"	"13"	"191"	"5"	"13"	"4"	"20"	"7"	"3"	"8"	"6"	"7"	"558"
"57"	"48"	"29"	"378"	"14"	"128"	"9"	"21"	"6"	"14"	"12"	"1"	"7"	"5"	"9"	"633"
"58"	"49"	"31"	"481"	"8"	"118"	"6"	"51"	"3"	"7"	"27"	"7"	"12"	"15"	"10"	"776"
"59"	"50"	"7"	"104"	"8"	"160"	"36"	"42"	"5"	"37"	"9"	"5"	"7"	"6"	"1"	"427"
"60"	"51"	"10"	"90"	"1"	"34"	"5"	"102"	"3"	"135"	"4"	"2"	"6"	"5"	"15"	"412"
"61"	"52"	"102"	"257"	"8"	"96"	"19"	"104"	"4"	"28"	"10"	"7"	"13"	"9"	"16"	"673"
"62"	"53"	"79"	"406"	"9"	"81"	"36"	"24"	"2"	"5"	"9"	"2"	"14"	"19"	"20"	"706"
"63"	"54"	"57"	"149"	"4"	"65"	"17"	"397"	"13"	"40"	"15"	"6"	"7"	"17"	"20"	"807"
"64"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"69"	"55"	"74"	"188"	"12"	"189"	"44"	"230"	"9"	"16"	"17"	"3"	"10"	"5"	"4"	"801"
"70"	"56"	"13"	"206"	"9"	"151"	"23"	"43"	"4"	"48"	"15"	"4"	"9"	"13"	"9"	"547"
"71"	"57"	"23"	"64"	"10"	"480"	"44"	"79"	"0"	"4"	"9"	"0"	"8"	"11"	"10"	"742"
"72"	"58"	"1"	"116"	"3"	"224"	"8"	"7"	"0"	"2"	"4"	"2"	"3"	"9"	"9"	"388"
"73"	"59"	"31"	"45"	"4"	"211"	"14"	"12"	"1"	"20"	"7"	"3"	"3"	"2"	"7"	"360"
"74"	"60"	"9"	"45"	"4"	"186"	"9"	"107"	"7"	"96"	"8"	"1"	"4"	"2"	"2"	"480"
"75"	"61"	"7"	"15"	"1"	"213"	"4"	"100"	"1"	"7"	"1"	"2"	"2"	"3"	"10"	"366"
"76"	"62"	"31"	"135"	"12"	"356"	"42"	"33"	"3"	"4"	"5"	"3"	"4"	"11"	"3"	"642"
"77"	"63"	"10"	"57"	"8"	"365"	"23"	"140"	"8"	"22"	"9"	"9"	"8"	"12"	"23"	"694"
"78"	"64"	"4"	"17"	"2"	"257"	"11"	"71"	"0"	"0"	"5"	"1"	"0"	"2"	"2"	"372"
"79"	"65"	"14"	"35"	"7"	"366"	"7"	"51"	"1"	"2"	"8"	"2"	"4"	"3"	"6"	"506"
"80"	"66"	"6"	"20"	"5"	"282"	"6"	"74"	"0"	"40"	"3"	"3"	"1"	"2"	"7"	"449"
"81"	"67"	"3"	"2"	"2"	"411"	"4"	"69"	"4"	"0"	"5"	"1"	"2"	"2"	"1"	"506"
"82"	"68"	"12"	"6"	"9"	"516"	"11"	"82"	"1"	"8"	"8"	"5"	"6"	"8"	"11"	"683"
"83"	"69"	"5"	"3"	"4"	"264"	"16"	"18"	"0"	"2"	"2"	"1"	"0"	"2"	"6"	"323"
"84"	"70"	"10"	"110"	"10"	"399"	"13"	"12"	"2"	"3"	"4"	"3"	"7"	"7"	"8"	"588"
"85"	"71"	"17"	"37"	"12"	"324"	"10"	"174"	"5"	"10"	"4"	"5"	"4"	"11"	"6"	"619"
"86"	"72"	"20"	"189"	"5"	"97"	"6"	"152"	"6"	"48"	"6"	"4"	"7"	"10"	"10"	"560"
"87"	"73"	"27"	"58"	"2"	"218"	"6"	"149"	"7"	"38"	"4"	"2"	"5"	"3"	"11"	"530"
"88"	"74"	"14"	"115"	"2"	"45"	"1"	"36"	"0"	"3"	"7"	"4"	"2"	"10"	"6"	"245"
"89"	"75"	"67"	"161"	"6"	"143"	"9"	"250"	"3"	"24"	"10"	"3"	"4"	"8"	"7"	"695"
"90"	"76"	"25"	"487"	"8"	"106"	"6"	"14"	"1"	"7"	"9"	"1"	"4"	"9"	"1"	"678"
"91"	"77"	"28"	"215"	"8"	"259"	"8"	"23"	"3"	"6"	"8"	"1"	"4"	"6"	"5"	"574"
"92"	"78"	"8"	"199"	"4"	"131"	"2"	"163"	"1"	"15"	"4"	"1"	"4"	"9"	"5"	"546"
"93"	"79"	"34"	"684"	"27"	"66"	"8"	"10"	"3"	"12"	"4"	"2"	"11"	"13"	"9"	"883"
"94"	"80"	"20"	"409"	"16"	"48"	"2"	"6"	"2"	"1"	"7"	"1"	"7"	"12"	"7"	"538"
"95"	"81"	"16"	"355"	"5"	"25"	"1"	"103"	"4"	"0"	"6"	"1"	"4"	"6"	"3"	"529"
"96"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"101"	"82"	"18"	"556"	"19"	"83"	"11"	"248"	"3"	"4"	"14"	"13"	"13"	"29"	"30"	"1041"
"102"	"83"	"4"	"265"	"4"	"110"	"6"	"70"	"3"	"7"	"3"	"5"	"7"	"9"	"1"	"494"
"103"	"84"	"18"	"205"	"3"	"99"	"12"	"135"	"5"	"5"	"3"	"4"	"6"	"9"	"7"	"511"
"104"	"85"	"9"	"203"	"6"	"193"	"5"	"105"	"4"	"1"	"3"	"2"	"3"	"6"	"11"	"551"
"105"	"86"	"9"	"324"	"12"	"232"	"2"	"37"	"2"	"10"	"11"	"0"	"11"	"12"	"16"	"678"
"106"	"87"	"6"	"168"	"5"	"87"	"6"	"125"	"4"	"3"	"5"	"2"	"4"	"6"	"0"	"421"
"107"	"88"	"44"	"483"	"8"	"100"	"9"	"42"	"0"	"4"	"5"	"4"	"10"	"21"	"9"	"739"
"108"	"89"	"13"	"394"	"9"	"155"	"10"	"34"	"1"	"10"	"9"	"1"	"8"	"11"	"9"	"664"
"109"	"90"	"42"	"41"	"9"	"302"	"29"	"212"	"8"	"10"	"5"	"7"	"6"	"3"	"6"	"680"
"110"	"91"	"21"	"182"	"5"	"128"	"1"	"3"	"1"	"0"	"1"	"2"	"2"	"4"	"2"	"352"
"111"	"92"	"59"	"79"	"6"	"117"	"8"	"156"	"12"	"11"	"10"	"6"	"8"	"14"	"19"	"505"
"112"	"93"	"10"	"10"	"6"	"322"	"86"	"134"	"4"	"13"	"2"	"4"	"1"	"4"	"8"	"604"
"113"	"94"	"85"	"80"	"4"	"183"	"111"	"119"	"5"	"10"	"7"	"8"	"5"	"8"	"19"	"644"
"114"	"95"	"7"	"13"	"6"	"475"	"34"	"31"	"0"	"7"	"4"	"2"	"1"	"0"	"1"	"581"
"115"	"96"	"13"	"28"	"1"	"385"	"38"	"84"	"5"	"3"	"4"	"4"	"4"	"3"	"5"	"577"
"116"	"97"	"6"	"33"	"3"	"429"	"27"	"22"	"1"	"1"	"0"	"0"	"1"	"1"	"7"	"531"
"117"	"98"	"5"	"14"	"2"	"403"	"26"	"24"	"0"	"4"	"6"	"1"	"5"	"5"	"8"	"503"
"118"	"99"	"9"	"6"	"9"	"113"	"29"	"210"	"5"	"7"	"2"	"2"	"2"	"2"	"5"	"401"
"119"	"100"	"11"	"12"	"3"	"523"	"24"	"258"	"5"	"5"	"4"	"3"	"2"	"3"	"4"	"857"
"120"	"101"	"8"	"41"	"3"	"239"	"28"	"31"	"1"	"6"	"9"	"1"	"5"	"6"	"7"	"385"
"121"	"102"	"4"	"5"	"6"	"105"	"8"	"293"	"7"	"6"	"4"	"1"	"0"	"2"	"15"	"456"
"122"	"103"	"13"	"48"	"10"	"543"	"25"	"110"	"12"	"23"	"12"	"3"	"7"	"12"	"19"	"837"
"123"	"104"	"4"	"4"	"1"	"81"	"8"	"369"	"4"	"3"	"5"	"4"	"2"	"2"	"5"	"492"
"124"	"105"	"9"	"48"	"8"	"214"	"103"	"558"	"13"	"8"	"8"	"7"	"9"	"11"	"21"	"1017"
"125"	"106"	"1"	"5"	"0"	"48"	"8"	"136"	"1"	"2"	"5"	"1"	"1"	"2"	"11"	"221"
"126"	"107"	"17"	"101"	"8"	"392"	"5"	"10"	"3"	"3"	"4"	"3"	"2"	"3"	"12"	"563"
"127"	"108"	"23"	"135"	"9"	"308"	"18"	"74"	"5"	"4"	"8"	"3"	"8"	"9"	"11"	"615"
"128"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"133"	"109"	"6"	"3"	"2"	"149"	"41"	"26"	"3"	"2"	"3"	"6"	"5"	"4"	"12"	"262"
"134"	"110"	"4"	"48"	"3"	"135"	"4"	"13"	"1"	"1"	"3"	"2"	"3"	"0"	"1"	"218"
"135"	"111"	"14"	"204"	"7"	"346"	"38"	"93"	"6"	"2"	"7"	"3"	"6"	"8"	"5"	"739"
"136"	"112"	"14"	"126"	"9"	"398"	"30"	"149"	"10"	"6"	"6"	"7"	"10"	"12"	"20"	"797"
"137"	"113"	"17"	"147"	"4"	"373"	"8"	"62"	"8"	"8"	"9"	"9"	"15"	"6"	"8"	"674"
"138"	"114"	"4"	"38"	"5"	"267"	"16"	"182"	"9"	"1"	"3"	"2"	"6"	"9"	"13"	"555"
"139"	"115"	"15"	"382"	"11"	"70"	"5"	"10"	"1"	"3"	"3"	"3"	"12"	"15"	"4"	"534"
"140"	"116"	"8"	"170"	"4"	"126"	"9"	"7"	"3"	"2"	"2"	"2"	"4"	"4"	"7"	"348"
"141"	"117"	"10"	"195"	"1"	"115"	"2"	"14"	"3"	"8"	"4"	"2"	"10"	"8"	"13"	"385"
"142"	"118"	"9"	"251"	"6"	"70"	"6"	"58"	"2"	"35"	"8"	"4"	"7"	"5"	"3"	"464"
"143"	"119"	"18"	"340"	"15"	"94"	"5"	"52"	"5"	"38"	"10"	"2"	"11"	"11"	"9"	"610"
"144"	"120"	"4"	"113"	"2"	"13"	"1"	"45"	"1"	"41"	"4"	"1"	"3"	"1"	"5"	"234"
"145"	"121"	"6"	"326"	"8"	"75"	"12"	"50"	"2"	"5"	"9"	"3"	"19"	"14"	"10"	"539"
"146"	"122"	"15"	"207"	"8"	"163"	"11"	"112"	"7"	"7"	"10"	"1"	"5"	"11"	"9"	"566"
"147"	"123"	"11"	"334"	"11"	"166"	"11"	"83"	"2"	"2"	"12"	"2"	"18"	"28"	"16"	"696"
"148"	"124"	"4"	"204"	"4"	"127"	"6"	"59"	"3"	"2"	"4"	"1"	"6"	"9"	"14"	"443"
"149"	"125"	"8"	"140"	"1"	"176"	"32"	"4"	"1"	"3"	"4"	"0"	"1"	"8"	"2"	"380"
"150"	"126"	"12"	"122"	"3"	"236"	"16"	"211"	"4"	"75"	"7"	"4"	"5"	"5"	"6"	"706"
"151"	"127"	"5"	"53"	"2"	"429"	"23"	"136"	"5"	"2"	"5"	"5"	"10"	"3"	"18"	"696"
"152"	"128"	"7"	"59"	"8"	"228"	"48"	"314"	"5"	"0"	"6"	"1"	"2"	"5"	"2"	"685"
"153"	"129"	"13"	"351"	"7"	"89"	"5"	"2"	"0"	"3"	"5"	"7"	"5"	"8"	"6"	"501"
"154"	"130"	"10"	"214"	"5"	"132"	"71"	"166"	"4"	"3"	"10"	"6"	"7"	"13"	"18"	"659"
"155"	"131"	"5"	"69"	"1"	"28"	"10"	"1"	"0"	"1"	"3"	"0"	"0"	"4"	"0"	"122"
"156"	"132"	"8"	"103"	"6"	"216"	"211"	"51"	"3"	"4"	"11"	"7"	"7"	"16"	"16"	"659"
"157"	"133"	"13"	"95"	"13"	"235"	"36"	"9"	"1"	"2"	"5"	"2"	"3"	"3"	"2"	"419"
"158"	"134"	"4"	"119"	"3"	"108"	"21"	"8"	"0"	"0"	"1"	"2"	"6"	"4"	"4"	"280"
"159"	"135"	"13"	"201"	"9"	"204"	"16"	"63"	"2"	"10"	"9"	"3"	"9"	"16"	"19"	"574"
"160"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"BOOTH NO"	"ABUL KALAM AZAD"	"TASIR UDDIN"	"DILIP KUMAR RAM"	"DR MOHAMMAD
JAWAID"	"MOHAMMAD KALIM UDDIN"	"SWEETY SINGH"	"MAHABIR CHAUHAN"	"MOHAMMAD NISSAR ALAM"	"SANJAY KUMAR
SRIVASTWA"	"SAYED ASAD HASNAIN"	"CHOTE LAL MAHTO"	"MOHAMMAD NOORUL
HAQUE"	"RAJU RANJAN"	"Total"
"165"	"136"	"5"	"138"	"8"	"141"	"28"	"2"	"1"	"2"	"5"	"2"	"2"	"7"	"9"	"350"
"166"	"137"	"11"	"46"	"5"	"290"	"6"	"65"	"4"	"2"	"8"	"3"	"5"	"3"	"2"	"450"
"167"	"138"	"6"	"23"	"8"	"320"	"6"	"14"	"4"	"3"	"0"	"5"	"2"	"5"	"12"	"408"
"168"	"138A"	"11"	"28"	"7"	"329"	"13"	"16"	"0"	"20"	"2"	"4"	"1"	"2"	"4"	"437"
"169"	"139"	"20"	"179"	"12"	"242"	"9"	"39"	"5"	"2"	"13"	"6"	"10"	"14"	"18"	"569"
"170"	"140"	"16"	"42"	"6"	"102"	"8"	"278"	"4"	"6"	"7"	"4"	"7"	"8"	"24"	"512"
"171"	"141"	"3"	"45"	"5"	"211"	"8"	"94"	"5"	"6"	"5"	"4"	"11"	"8"	"18"	"423"
"172"	"142"	"16"	"163"	"9"	"351"	"9"	"53"	"6"	"2"	"0"	"2"	"2"	"3"	"3"	"619"
"173"	"143"	"12"	"130"	"11"	"287"	"12"	"97"	"4"	"16"	"15"	"9"	"5"	"12"	"11"	"621"
"174"	"144"	"27"	"18"	"6"	"146"	"47"	"582"	"1"	"12"	"7"	"7"	"9"	"10"	"16"	"888"
"175"	"145"	"7"	"119"	"0"	"147"	"33"	"17"	"0"	"2"	"4"	"1"	"0"	"2"	"6"	"338"
"176"	"146"	"8"	"229"	"13"	"223"	"40"	"42"	"3"	"5"	"16"	"6"	"12"	"8"	"7"	"612"
"177"	"147"	"9"	"127"	"8"	"176"	"42"	"166"	"8"	"4"	"9"	"3"	"4"	"7"	"8"	"571"
"178"	"148"	"17"	"224"	"7"	"177"	"32"	"73"	"1"	"56"	"8"	"4"	"8"	"7"	"5"	"619"
"179"	"149"	"9"	"40"	"9"	"155"	"30"	"381"	"8"	"14"	"15"	"5"	"5"	"7"	"9"	"687"
"180"	"150"	"9"	"115"	"0"	"166"	"66"	"38"	"1"	"1"	"1"	"2"	"3"	"5"	"8"	"415"
"181"	"151"	"32"	"145"	"14"	"123"	"295"	"275"	"16"	"4"	"12"	"5"	"9"	"11"	"6"	"947"
"182"	"152"	"11"	"59"	"6"	"493"	"116"	"84"	"10"	"4"	"7"	"5"	"11"	"13"	"33"	"852"
"183"	"153"	"5"	"5"	"5"	"68"	"16"	"351"	"6"	"12"	"5"	"2"	"3"	"0"	"4"	"482"
"184"	"154"	"8"	"170"	"6"	"63"	"7"	"78"	"1"	"4"	"2"	"2"	"12"	"13"	"6"	"372"
"185"	"155"	"2"	"55"	"5"	"146"	"17"	"357"	"10"	"27"	"3"	"3"	"8"	"7"	"23"	"663"
"186"	"156"	"10"	"139"	"9"	"124"	"71"	"64"	"3"	"30"	"1"	"2"	"6"	"2"	"8"	"469"
"187"	"157"	"9"	"226"	"9"	"273"	"16"	"44"	"3"	"4"	"9"	"2"	"5"	"5"	"3"	"608"
"188"	"158"	"12"	"203"	"4"	"192"	"21"	"94"	"5"	"3"	"3"	"2"	"4"	"2"	"6"	"551"
"189"	"159"	"25"	"65"	"10"	"334"	"22"	"249"	"6"	"25"	"3"	"2"	"5"	"4"	"5"	"755"
"190"	"160"	"14"	"11"	"11"	"70"	"26"	"510"	"14"	"11"	"8"	"3"	"3"	"4"	"2"	"687"
"191"	"161"	"11"	"180"	"1"	"121"	"49"	"38"	"2"	"3"	"6"	"2"	"5"	"3"	"6"	"427"
"192"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"sembly Constituency :054---Kishanganj                                                                                                                                       No of Voters :211836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"No of valid votes caste in favour oTf otal Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
