"No..and.Name.of.Assembly.Constituency...114.Manjhi."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL  RESULT  SHEET [ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Round No. - 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"10"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"21"	"10"	"i zkFkfed fo| ky;  djSfy; k"	"6"	"24"	"96"	"38"	"2"	"51"	"3"	"1"	"0"	"6"	"1"	"3"	"5"	"0"	"1"	"0"	"1"	"4"	"3"	"1"	"0"	"0"	"2"	"248"
"22"	"11"	"i zkFkfed fo| ky;  ul hjk"	"24"	"155"	"32"	"8"	"10"	"61"	"7"	"3"	"10"	"239"	"8"	"31"	"14"	"6"	"20"	"5"	"16"	"70"	"4"	"2"	"4"	"4"	"5"	"738"
"23"	"12"	"mRØfer e/;  fo| ky; ] eSjok"	"8"	"113"	"4"	"7"	"5"	"109"	"2"	"1"	"4"	"62"	"3"	"31"	"5"	"3"	"4"	"3"	"5"	"28"	"0"	"1"	"0"	"3"	"1"	"402"
"24"	"13"	"i zkFkfed fo| ky;  dksgM+k ¼ckyd½"	"6"	"48"	"3"	"8"	"8"	"0"	"3"	"1"	"4"	"239"	"6"	"46"	"3"	"1"	"2"	"2"	"2"	"32"	"4"	"1"	"1"	"2"	"3"	"0"
"25"	"14"	"vkn’kZ mPp fo| ky;  dksgM+k"	"0"	"54"	"4"	"7"	"8"	"11"	"3"	"3"	"5"	"264"	"3"	"73"	"4"	"0"	"1"	"4"	"2"	"97"	"7"	"2"	"3"	"5"	"2"	"562"
"26"	"Total"	""	"123"	"1182"	"264"	"140"	"63"	"601"	"38"	"37"	"70"	"1446"	"57"	"1860"	"62"	"53"	"68"	"44"	"78"	"300"	"57"	"30"	"32"	"57"	"51"	"6713"
"27"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"FINAL  RESULT  SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"[ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Round No. - 02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"42"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"44"	"15"	"mRØfer e/;  fo| ky; ] l erki kj"	"4"	"101"	"21"	"7"	"10"	"20"	"2"	"2"	"6"	"171"	"3"	"39"	"2"	"3"	"21"	"5"	"1"	"2"	"10"	"4"	"2"	"4"	"4"	"444"
"45"	"16"	"dU; k i zkFkfed fo| ky; ] cysl jk] cka; k Hkkx"	"5"	"57"	"6"	"17"	"5"	"47"	"3"	"2"	"12"	"194"	"11"	"45"	"2"	"5"	"2"	"3"	"1"	"3"	"5"	"4"	"0"	"3"	"2"	"434"
"46"	"16 (d)"	"dU; k i zkFkfed fo| ky; ] cysl jk] nka; k Hkkx"	"6"	"46"	"7"	"23"	"2"	"109"	"8"	"0"	"4"	"136"	"3"	"55"	"3"	"9"	"2"	"5"	"5"	"3"	"5"	"4"	"0"	"4"	"2"	"441"
"47"	"17"	"i apk; r Hkou cysl jk"	"5"	"21"	"20"	"14"	"15"	"61"	"2"	"1"	"2"	"226"	"6"	"10"	"10"	"1"	"2"	"1"	"5"	"8"	"3"	"4"	"2"	"4"	"10"	"433"
"48"	"18"	"l keqnkf; d Hkou cfu; ki qj"	"1"	"42"	"11"	"2"	"3"	"6"	"6"	"2"	"2"	"218"	"4"	"1"	"1"	"2"	"7"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"315"
"49"	"19"	"dU; k mRØfer e/;  fo| ky; ] nkmni qj"	"5"	"42"	"22"	"60"	"8"	"78"	"3"	"2"	"1"	"7"	"8"	"48"	"4"	"256"	"6"	"3"	"6"	"4"	"6"	"4"	"3"	"10"	"6"	"592"
"50"	"20"	"i apk; r Hkou nkmni qj"	"15"	"153"	"58"	"26"	"64"	"111"	"5"	"4"	"6"	"52"	"39"	"53"	"6"	"35"	"10"	"6"	"5"	"8"	"4"	"5"	"0"	"4"	"5"	"674"
"51"	"21"	"eè;  fo| ky;  nqenqek&2 mRrj Hkkx"	"4"	"145"	"28"	"11"	"58"	"153"	"3"	"0"	"8"	"5"	"27"	"43"	"6"	"31"	"9"	"2"	"9"	"2"	"9"	"5"	"4"	"13"	"2"	"577"
"52"	"22"	"eè;  fo| ky;  nqenqek&2 nf{k.k Hkkx"	"5"	"133"	"14"	"37"	"4"	"134"	"6"	"0"	"4"	"106"	"4"	"7"	"11"	"23"	"4"	"0"	"1"	"1"	"3"	"13"	"6"	"9"	"7"	"532"
"53"	"23"	"vEcsndj Hkou g\"kZi qjk"	"4"	"35"	"13"	"25"	"132"	"40"	"1"	"2"	"2"	"12"	"2"	"13"	"5"	"8"	"4"	"6"	"2"	"12"	"4"	"0"	"1"	"4"	"8"	"335"
"54"	"24"	"mRØfer e/;  fo| ky; ] g\"kZi qjk"	"1"	"159"	"10"	"10"	"1"	"107"	"1"	"3"	"0"	"3"	"4"	"28"	"0"	"21"	"7"	"1"	"1"	"2"	"11"	"1"	"0"	"3"	"5"	"379"
"55"	"25"	"dU; k i zkFkfed fo| ky;  t Sri qj"	"7"	"45"	"19"	"4"	"2"	"61"	"0"	"3"	"1"	"14"	"2"	"5"	"2"	"19"	"33"	"2"	"16"	"154"	"10"	"6"	"2"	"2"	"5"	"414"
"56"	"26"	"e/;  fo| ky;  t Sri qj"	"9"	"165"	"39"	"11"	"10"	"128"	"3"	"3"	"3"	"14"	"18"	"6"	"2"	"30"	"14"	"0"	"5"	"16"	"12"	"0"	"3"	"6"	"9"	"506"
"57"	"27"	"mPp fo| ky;  t Sri qj   mrjh Hkkx"	"8"	"125"	"37"	"18"	"14"	"102"	"5"	"4"	"4"	"7"	"6"	"13"	"10"	"15"	"18"	"4"	"7"	"16"	"3"	"3"	"2"	"9"	"8"	"438"
"58"	"Total"	""	"79"	"1269"	"305"	"265"	"328"	"1157"	"48"	"28"	"55"	"1165"	"137"	"366"	"64"	"458"	"139"	"41"	"65"	"232"	"85"	"53"	"26"	"75"	"74"	"6514"
"59"	"B.F."	""	"123"	"1182"	"264"	"140"	"63"	"601"	"38"	"37"	"70"	"1446"	"57"	"1860"	"62"	"53"	"68"	"44"	"78"	"300"	"57"	"30"	"32"	"57"	"51"	"6713"
"60"	"G.Total"	""	"202"	"2451"	"569"	"405"	"391"	"1758"	"86"	"65"	"125"	"2611"	"194"	"2226"	"126"	"511"	"207"	"85"	"143"	"532"	"142"	"83"	"58"	"132"	"125"	"13227"
"61"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com) T"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"[ SEE  RULE  56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No. - 03"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"76"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"77"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"78"	"28"	"mPp fo| ky;  t Sri qj   nf{k.kh Hkkx"	"1"	"85"	"26"	"11"	"62"	"88"	"5"	"4"	"5"	"4"	"6"	"29"	"3"	"4"	"7"	"2"	"2"	"13"	"6"	"2"	"7"	"3"	"11"	"386"
"79"	"29"	"mRdzfer e/;  fo| ky;  t Sri qj"	"4"	"52"	"32"	"8"	"2"	"83"	"3"	"2"	"0"	"5"	"6"	"10"	"2"	"12"	"45"	"9"	"12"	"73"	"3"	"3"	"6"	"4"	"10"	"386"
"80"	"30"	"i zkFkfed fo| ky;  csynkjh"	"6"	"9"	"81"	"16"	"5"	"391"	"6"	"3"	"5"	"3"	"19"	"87"	"7"	"4"	"5"	"15"	"1"	"3"	"1"	"2"	"1"	"6"	"6"	"682"
"81"	"31"	"i apk; r Hkou csynkjh"	"2"	"22"	"14"	"2"	"2"	"168"	"1"	"0"	"0"	"1"	"2"	"9"	"9"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"236"
"82"	"32"	"mPp fo| ky; ] cjst k] cka; k Hkkx"	"11"	"95"	"42"	"3"	"9"	"12"	"1"	"3"	"2"	"20"	"0"	"0"	"2"	"10"	"14"	"2"	"12"	"140"	"5"	"2"	"0"	"3"	"5"	"393"
"83"	"32  (d)"	"mPp fo| ky; ] cjst k] nka; k Hkkx"	"3"	"67"	"26"	"4"	"20"	"26"	"0"	"3"	"1"	"16"	"2"	"13"	"0"	"4"	"10"	"0"	"11"	"131"	"7"	"1"	"2"	"2"	"3"	"352"
"84"	"33"	"eè;  fo| ky;  cjst k"	"8"	"115"	"72"	"6"	"15"	"33"	"6"	"5"	"2"	"5"	"3"	"2"	"3"	"2"	"4"	"6"	"23"	"142"	"5"	"3"	"2"	"9"	"9"	"480"
"85"	"34"	"i zkFkfed dU; k fo| ky; ] Q: l gh mRrj Hkkx"	"1"	"61"	"35"	"3"	"1"	"8"	"0"	"2"	"0"	"6"	"0"	"0"	"1"	"1"	"20"	"0"	"5"	"197"	"3"	"0"	"0"	"1"	"2"	"347"
"86"	"35"	"i zkFkfed dU; k fo| ky; ] Q: l gh nf{k.k Hkkx"	"9"	"72"	"151"	"11"	"3"	"49"	"1"	"1"	"0"	"3"	"0"	"1"	"12"	"1"	"9"	"2"	"5"	"43"	"7"	"0"	"1"	"2"	"4"	"387"
"87"	"36"	"mRØfer dU; k e/;  fo| ky; ] oHkuofy; k"	"2"	"110"	"25"	"1"	"5"	"31"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"3"	"1"	"10"	"62"	"40"	"0"	"0"	"2"	"0"	"302"
"88"	"37"	"eè;  fo| ky;  èkeZi qjk mÙkj- Hkkx"	"9"	"173"	"35"	"6"	"7"	"100"	"2"	"1"	"3"	"0"	"1"	"2"	"2"	"7"	"7"	"2"	"2"	"10"	"8"	"0"	"0"	"0"	"0"	"377"
"89"	"38"	"eè;  fo| ky;  èkeZi qjk nf{k.k Hkkx"	"2"	"152"	"6"	"3"	"3"	"70"	"1"	"0"	"0"	"6"	"0"	"3"	"0"	"3"	"9"	"1"	"3"	"38"	"3"	"1"	"0"	"1"	"0"	"305"
"90"	"39"	"eè;  fo| ky;  ’khryi qj i f’pe Hkkx"	"13"	"233"	"24"	"14"	"15"	"41"	"5"	"6"	"4"	"50"	"4"	"2"	"2"	"6"	"7"	"7"	"12"	"157"	"19"	"4"	"3"	"12"	"6"	"646"
"91"	"40"	"eè;  fo| ky; ] ’khryi qj] i wohZ Hkkx"	"5"	"130"	"16"	"8"	"19"	"200"	"9"	"3"	"3"	"2"	"8"	"2"	"4"	"6"	"8"	"4"	"2"	"7"	"0"	"0"	"1"	"5"	"3"	"445"
"92"	"Total"	""	"76"	"1376"	"585"	"96"	"168"	"1300"	"41"	"33"	"25"	"121"	"51"	"161"	"47"	"69"	"149"	"52"	"100"	"1016"	"107"	"19"	"23"	"50"	"59"	"5724"
"93"	"B.F."	""	"202"	"2451"	"569"	"405"	"391"	"1758"	"86"	"65"	"125"	"2611"	"194"	"2226"	"126"	"511"	"207"	"85"	"143"	"532"	"142"	"83"	"58"	"132"	"125"	"13227"
"94"	"G.Total"	""	"278"	"3827"	"1154"	"501"	"559"	"3058"	"127"	"98"	"150"	"2732"	"245"	"2387"	"173"	"580"	"356"	"137"	"243"	"1548"	"249"	"102"	"81"	"182"	"184"	"18951"
"95"	"Assistant Returning"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"FORM  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"FINAL  RESULT  SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com))]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"No. and Name of Assembly Constituency - 114-Manjhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Total No. of Electors in Assembly Consitituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"ELECTION  TO  THE  114 -MANJHI  LEGISLATIVE ASSEMBLY  CONSTITUENCY  2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"(To be used both for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Round No. - 04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Sl. No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"
"111"	""	""	"Krishna Mishra"	"Gautam Singh"	"Budhan Prasad Yadav"	"Satyendra Yadav"	"Surendra Prasad Gupta"	"Hem Narayan Singh"	"Sujit Puri"	"Abdul Kadir Khan"	"Ashok Kumar Singh"	"Om Prakash Prasad"	"Ghanshyam Singh,
Alias- Pappu"	"Jitendra Kumar Singh"	"Dalan Prasad Yadav"	"Din Dayal Singh"	"Manoj Kumar Tiwary"	"Mukesh Kumar"	"Mustafa Khan"	"Rabindra Nath Mishra"	"Rana Pratap Singh"	"Ram narayan Yadav"	"Rinku Devi"	"Subash Singh"	"Hasmuddin Khan"	""
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"113"	"40 ¼d"	"½eè;  fo| ky; ] ’khryi qj] e/;  Hkkx"	"7"	"211"	"9"	"2"	"7"	"50"	"1"	"1"	"1"	"3"	"2"	"4"	"2"	"2"	"4"	"2"	"8"	"44"	"3"	"2"	"0"	"2"	"2"	"369"
"114"	"41"	"mRØfer e/;  fo| ky; ] vfj; kao mÙkj Hkkx"	"2"	"151"	"1"	"8"	"32"	"99"	"1"	"1"	"1"	"80"	"1"	"2"	"4"	"6"	"5"	"1"	"5"	"67"	"2"	"1"	"1"	"6"	"11"	"488"
"115"	"42"	"mRØfer e/;  fo| ky; ] vfj; kao nf{k.k Hkkx"	"4"	"130"	"9"	"13"	"12"	"52"	"1"	"5"	"4"	"44"	"0"	"0"	"5"	"4"	"8"	"0"	"14"	"108"	"3"	"1"	"1"	"1"	"4"	"423"
