"B00TH.N0."	"AMARDEEP.CHAUDHARY"	"DILIP.KR..YADAV"	"PRABHASH.KUMAR"	"RANJEET.RANJAN"	"RENU.KUMARI"	"ASH0K.KUMAR.VERMA"	"NAVEEN.KUMAR.MEHTA"	"BRAJ.KISH0R.YADAV"	"ARVIND.KUMAR.PAMPAL"	"KAMLESH.MEHTA"	"KAMLESHWARI.MAHT0"	"YASHWANT.KUMAR"	"RAJEEV.RANJAN"	"SHIV.PRASAD.RISIDE0"
"60"	55	5	9	255	94	272	5	9	10	4	18	10	6	9	20
"61"	56	9	8	384	92	164	9	7	8	3	10	12	5	5	20
"62"	57	12	9	425	87	121	4	3	12	3	2	3	8	6	19
"63"	58	11	6	188	469	68	1	3	16	2	5	9	5	3	17
"64"	59	7	1	34	90	328	2	7	6	2	3	6	3	5	12
"65"	60	12	6	57	32	647	9	7	9	3	5	4	9	6	15
"66"	61	16	3	49	93	355	3	8	20	8	4	6	11	10	31
"67"	62	6	8	26	113	290	15	15	69	21	10	7	7	11	10
"68"	63	7	1	93	61	359	12	6	9	7	6	7	13	8	40
"69"	64	5	2	5	17	486	5	4	18	4	5	2	2	2	8
"70"	65	18	5	35	125	327	4	1	4	0	1	1	1	1	1
"71"	66	9	10	125	52	133	1	2	3	2	3	1	1	1	4
"72"	67	2	1	100	47	350	8	1	10	3	2	1	0	0	4
"73"	68	8	0	46	58	375	6	8	33	1	1	2	0	3	8
"74"	69	11	11	161	241	139	6	6	13	6	9	12	6	7	14
"75"	70	10	1	41	304	133	3	4	7	1	5	2	1	1	2
"76"	71	9	5	34	163	398	9	7	5	6	11	9	5	6	11
"77"	72	6	4	46	68	308	5	12	11	3	1	4	3	0	3
"78"	NA	5	1	49	60	309	4	6	14	1	3	3	2	7	12
"79"	73	26	9	154	380	112	5	9	21	10	10	9	9	12	22
"80"	74	7	3	5	48	386	4	5	8	1	2	1	4	2	10
"81"	75	11	5	19	47	312	4	8	4	0	5	3	3	1	4
"82"	76	29	16	160	173	250	12	17	62	6	14	8	12	6	13
"83"	77	13	6	67	35	581	8	8	26	13	8	5	8	10	16
"84"	78	17	7	15	73	494	4	9	33	1	2	2	1	0	2
"85"	79	6	2	7	12	282	5	7	13	9	6	5	2	5	7
"86"	80	8	8	101	234	358	8	8	9	4	6	3	0	1	2
"87"	81	3	4	86	128	235	4	9	18	2	3	5	8	5	12
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	82	7	7	9	274	93	3	3	3	2	2	1	1	0	1
"90"	83	15	1	5	114	162	3	5	25	2	7	6	9	5	8
"91"	84	7	2	16	332	57	1	2	5	1	1	0	3	1	2
"92"	85	15	4	18	71	664	8	6	14	7	6	5	7	5	11
"93"	86	11	1	29	26	642	8	6	8	2	7	1	3	1	20
"94"	87	19	14	69	334	378	9	9	9	9	5	8	11	4	13
"95"	88	19	13	189	231	197	2	5	9	0	2	1	3	4	5
"96"	89	10	3	28	101	356	7	2	1	1	7	3	9	9	16
"97"	90	7	2	26	247	248	3	4	2	1	3	1	0	0	7
"98"	91	9	0	19	199	361	4	5	4	4	6	3	5	6	12
"99"	92	12	6	36	230	262	2	4	5	2	3	6	5	3	7
"100"	93	5	1	15	93	313	7	7	4	6	4	2	3	4	5
"101"	94	18	3	58	105	580	13	19	9	2	3	3	2	3	6
"102"	95	10	3	22	323	355	5	10	2	8	9	0	3	3	6
"103"	96	3	2	5	37	429	8	14	4	5	4	4	9	6	25
"104"	NA	6	0	9	21	397	2	2	3	0	2	1	1	1	3
"105"	97	7	0	7	28	431	2	3	2	2	1	0	0	1	2
"106"	NA	9	3	26	17	375	6	5	0	2	4	2	1	3	6
"107"	98	3	1	58	106	384	4	9	3	2	11	4	6	4	4
"108"	99	13	8	36	44	505	9	6	4	5	3	46	8	3	3
"109"	100	10	4	109	48	351	6	4	1	2	6	49	8	6	8
"110"	101	4	1	96	40	191	3	0	1	0	5	1	0	2	2
"111"	102	2	6	71	79	292	5	3	3	4	11	5	6	5	10
"112"	103	10	4	120	32	452	5	68	5	4	1	5	3	1	17
"113"	104	2	0	131	22	242	4	18	3	2	4	1	2	3	10
"114"	105	13	3	20	83	576	9	9	9	3	1	5	6	2	7
"115"	106	8	0	21	70	279	3	1	2	0	1	1	2	1	2
"116"	107	1	0	3	21	144	1	1	0	0	0	0	1	2	0
"117"	108	11	2	8	122	615	4	8	6	2	3	6	4	3	16
"118"	109	2	1	10	102	455	4	3	1	0	1	2	2	1	4
"119"	110	3	0	9	128	476	1	3	4	0	1	0	2	3	2
"120"	111	5	2	22	70	588	8	8	4	1	2	3	4	3	10
"121"	112	5	3	9	43	399	3	5	0	2	3	2	1	2	6
"122"	113	11	3	237	97	108	3	4	0	0	1	1	0	1	0
"123"	NA	7	3	325	93	19	0	2	1	0	0	0	1	2	1
"124"	114	8	5	53	213	504	11	6	6	5	3	3	3	6	6
"125"	115	12	7	26	167	228	4	6	1	2	1	2	0	1	1
"126"	116	21	9	92	448	209	11	5	7	5	1	11	7	5	18
"127"	117	7	4	206	81	167	2	9	5	5	7	9	9	4	12
"128"	118	10	5	87	40	349	5	10	10	2	5	2	8	5	7
"129"	119	9	5	68	255	194	3	1	7	2	2	4	2	4	5
"130"	120	9	0	1	69	390	3	7	6	4	3	3	3	2	6
"131"	121	9	3	26	58	374	4	3	4	1	2	3	3	2	0
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"133"	122	15	10	325	114	104	3	5	5	3	3	3	3	0	5
"134"	123	20	4	107	171	249	4	1	7	3	3	3	2	5	13
"135"	124	14	11	179	82	557	2	9	13	6	1	3	1	3	4
"136"	125	29	8	98	111	545	7	7	4	3	4	4	1	0	4
"137"	126	4	1	16	223	460	6	5	0	7	4	2	6	3	21
"138"	127	10	10	38	243	365	5	10	4	1	4	4	2	3	1
"139"	128	14	5	112	188	181	4	7	2	7	6	6	4	7	10
"140"	129	14	8	77	98	471	10	9	8	4	5	3	6	1	17
"141"	130	8	4	14	262	133	3	7	12	2	11	4	5	3	7
"142"	131	7	1	58	25	363	5	6	3	0	3	1	4	4	3
"143"	132	16	11	148	278	349	10	8	8	6	4	6	7	3	9
"144"	133	23	7	3	53	298	7	9	17	3	6	28	7	6	18
"145"	134	32	3	27	104	376	10	8	19	5	4	31	14	1	13
"146"	135	6	3	19	46	428	2	8	5	2	4	6	7	7	9
"147"	136	11	5	9	44	606	6	13	11	7	3	4	13	11	5
"148"	137	7	8	273	166	72	4	3	4	1	1	1	4	3	6
"149"	138	6	3	116	111	235	3	2	1	6	9	2	2	7	9
"150"	139	14	3	382	127	146	7	10	11	4	7	6	2	2	6
"151"	140	19	11	308	111	76	2	3	1	2	3	0	3	2	4
"152"	141	11	8	98	64	260	4	5	4	3	3	7	4	6	11
"153"	NA	14	5	34	219	146	5	2	2	3	5	5	0	6	18
"154"	142	11	6	310	110	200	3	3	3	6	9	6	14	10	22
"155"	143	5	2	12	76	316	1	2	1	1	2	2	4	0	2
"156"	144	15	6	132	41	479	9	16	8	2	16	7	9	9	24
"157"	145	27	6	23	106	492	9	10	7	5	6	5	5	5	8
"158"	146	23	16	223	78	372	3	9	4	7	7	6	8	7	16
"159"	147	26	6	375	160	196	9	4	13	11	13	6	11	10	16
"160"	148	18	9	386	52	247	4	8	1	4	7	2	11	3	5
"161"	149	23	8	370	105	237	13	11	13	4	10	1	9	2	9
"162"	150	16	9	160	210	283	11	7	14	5	11	3	12	13	20
"163"	151	16	13	219	131	209	4	11	24	5	6	2	2	2	8
"164"	152	3	2	16	30	231	3	3	11	1	2	3	1	2	6
"165"	153	8	7	309	82	73	3	2	10	3	12	9	30	10	19
"166"	154	8	3	23	41	213	2	5	3	2	2	2	27	1	0
"167"	155	6	7	60	32	283	4	4	9	1	1	1	0	3	3
"168"	156	12	4	112	106	247	2	10	8	1	4	0	3	8	2
"169"	157	12	6	113	128	217	6	7	6	1	3	7	4	4	7
"170"	158	18	12	217	70	250	6	3	12	3	5	1	0	3	5
"171"	159	12	5	38	68	258	7	4	14	3	6	1	1	2	5
"172"	160	5	3	81	68	242	2	4	4	6	7	2	6	5	6
"173"	161	17	2	12	279	308	3	6	3	10	1	0	4	0	0
"174"	162	7	1	8	146	337	0	0	4	3	5	7	7	2	9
"175"	163	4	9	74	77	510	8	8	5	8	12	2	10	8	19
"176"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	164	20	5	12	175	313	4	6	2	4	5	3	5	4	8
"178"	165	8	0	20	14	323	8	9	11	6	4	2	11	2	10
"179"	166	4	0	5	32	511	4	1	0	0	1	5	5	3	75
"180"	167	2	2	8	31	381	2	10	3	1	6	1	2	1	2
"181"	168	11	8	201	99	188	2	2	5	3	5	3	2	3	1
"182"	169	8	3	213	127	174	3	2	21	0	5	1	2	0	1
"183"	170	6	1	143	86	412	6	9	0	4	3	6	3	6	8
"184"	171	7	5	162	99	218	2	6	1	2	1	3	2	3	2
"185"	172	14	5	69	80	391	4	9	7	3	4	1	1	6	11
"186"	173	26	6	22	27	393	7	13	2	9	5	3	7	8	6
"187"	174	15	8	23	97	437	9	5	2	1	2	1	0	3	1
"188"	175	9	3	30	146	236	6	6	1	4	0	9	1	86	11
"189"	176	8	0	41	30	577	8	5	1	4	6	2	8	3	5
"190"	177	1	0	7	6	443	2	1	2	2	1	3	1	0	2
"191"	178	7	8	139	153	267	5	8	0	1	11	2	3	8	11
"192"	179	1	0	6	17	155	6	2	1	2	2	0	5	41	6
"193"	180	10	3	90	69	388	2	9	7	2	2	4	5	1	9
"194"	181	9	2	27	36	379	4	6	9	4	9	9	4	3	20
"195"	182	9	6	18	28	409	7	9	1	0	3	7	3	0	9
"196"	183	7	2	82	120	278	2	4	6	1	5	6	3	3	5
"197"	184	2	5	95	86	278	3	5	3	3	3	1	2	3	12
"198"	185	11	3	136	29	243	6	9	6	2	3	3	5	5	15
"199"	186	25	7	67	275	366	3	8	6	3	8	6	5	5	13
"200"	187	8	3	114	160	309	5	7	5	7	6	14	10	8	13
"201"	188	9	5	36	213	309	3	3	5	2	6	8	9	7	14
"202"	189	10	2	200	57	167	0	5	2	2	6	6	6	2	13
"203"	190	6	4	199	94	210	5	7	5	4	5	3	6	4	9
"204"	191	14	2	43	73	362	2	7	6	1	2	7	5	3	9
"205"	192	17	3	17	43	354	5	7	2	6	4	2	2	2	10
"206"	193	2	2	42	108	318	9	11	5	3	0	4	4	2	14
"207"	194	4	3	34	27	408	6	9	6	4	7	1	11	9	31
"208"	195	8	6	308	72	403	8	4	10	6	21	3	9	8	34
"209"	196	10	4	17	90	488	7	9	5	6	2	4	8	9	25
"210"	197	6	6	126	148	14	3	0	2	0	0	2	3	0	2
"211"	198	10	4	102	167	59	2	4	3	2	5	3	4	6	1
"212"	199	1	3	7	199	395	6	2	3	4	5	6	3	4	6
"213"	200	6	3	66	69	350	4	7	4	2	2	0	1	0	4
"214"	201	10	1	29	27	243	5	4	4	2	0	3	4	5	5
"215"	202	0	0	135	83	372	3	4	4	1	1	0	3	0	2
"216"	203	6	9	77	236	202	6	3	20	0	2	3	0	1	1
"217"	204	12	4	49	63	405	7	10	13	6	11	12	10	4	11
"218"	205	3	3	79	31	252	4	4	4	3	3	15	5	5	6
"219"	206	8	1	86	98	134	5	5	23	1	2	9	5	4	3
"220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	207	8	3	231	68	105	2	6	4	1	6	86	8	6	8
"222"	208	12	3	153	96	242	8	8	6	2	7	7	6	5	15
"223"	209	12	9	222	102	325	4	3	4	2	15	3	10	3	15
"224"	210	18	3	278	77	391	6	8	4	4	9	3	14	13	22
"225"	211	12	1	17	94	484	7	6	2	9	13	12	11	7	24
"226"	212	3	0	149	19	251	6	1	5	8	8	0	3	1	11
"227"	NA	2	3	138	21	123	2	1	0	1	2	2	3	0	6
"228"	213	10	3	66	72	490	1	4	2	1	4	3	10	0	2
"229"	214	12	8	117	194	224	9	6	2	2	3	1	5	3	16
"230"	215	16	9	144	90	297	7	9	3	4	7	20	8	3	13
"231"	216	5	4	61	103	300	0	18	4	4	6	0	4	4	19
"232"	217	8	4	36	95	342	6	13	3	4	3	4	6	2	5
"233"	218	4	0	19	164	353	4	6	3	2	1	2	9	3	5
"234"	219	8	2	116	79	587	6	8	17	4	13	9	18	8	20
"235"	220	19	6	23	115	521	5	9	3	1	1	0	2	0	3
"236"	221	3	2	10	34	492	9	10	4	5	10	5	10	5	16
"237"	NA	7	1	15	14	338	6	6	3	3	7	3	7	4	18
"238"	222	6	4	38	258	228	5	8	5	1	12	9	7	9	25
"239"	223	5	1	16	61	538	5	4	5	1	10	1	4	4	14
"240"	224	6	3	5	144	341	3	5	5	2	2	4	2	4	10
"241"	225	0	0	12	73	321	2	1	4	2	2	2	2	0	5
"242"	226	2	4	39	188	513	1	6	3	2	2	0	3	5	8
"243"	227	13	1	61	68	429	3	7	5	2	1	0	4	2	10
"244"	228	21	12	123	108	470	4	9	4	3	5	8	7	6	8
"245"	229	8	17	452	92	315	2	13	3	4	6	3	3	4	8
"246"	230	9	4	93	89	377	1	2	3	7	4	7	1	0	6
"247"	231	9	7	284	92	199	5	4	5	5	6	2	8	6	7
"248"	232	10	23	359	149	101	4	2	7	3	5	10	8	5	17
"249"	233	4	5	127	103	167	1	3	0	3	3	1	5	1	4
"250"	234	16	10	193	87	492	5	11	9	8	12	1	14	3	9
"251"	235	32	6	116	90	352	10	10	15	13	13	12	12	12	29
"252"	236	11	3	69	167	378	4	8	4	3	4	9	6	6	12
"253"	237	18	6	28	90	514	8	5	5	5	6	5	8	6	4
"254"	238	15	2	30	31	594	4	9	7	4	16	6	3	3	12
"255"	NA	2531	1262	29063	27553	79061	1245	1646	1729	1041	1274	1223	1321	1140	2527
"256"	NA	0	0	2	1	1	0	0	0	0	0	0	0	0	0
