"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"33"	"22"	""	"47"	"1"	"7"	"336"	"24"	"2"	"1"	"6"	"2"	"8"	"2"	"9"	"21"	"466"
"34"	"22A"	""	"91"	"10"	"3"	"327"	"8"	"1"	"2"	"10"	"0"	"3"	"2"	"4"	"8"	"469"
"35"	"23"	""	"107"	"15"	"6"	"321"	"11"	"4"	"3"	"57"	"3"	"15"	"11"	"2"	"18"	"573"
"36"	"24"	""	"66"	"6"	"6"	"501"	"15"	"2"	"3"	"30"	"7"	"10"	"10"	"18"	"26"	"700"
"37"	"25"	""	"128"	"4"	"3"	"117"	"8"	"0"	"0"	"4"	"2"	"2"	"0"	"1"	"6"	"275"
"38"	"25A"	""	"192"	"9"	"3"	"158"	"7"	"4"	"0"	"4"	"1"	"10"	"5"	"9"	"24"	"426"
"39"	"26"	""	"132"	"4"	"5"	"333"	"11"	"3"	"6"	"14"	"5"	"10"	"11"	"4"	"16"	"554"
"40"	"27"	""	"248"	"4"	"1"	"69"	"1"	"3"	"2"	"8"	"1"	"2"	"1"	"4"	"4"	"348"
"41"	"27A"	""	"179"	"11"	"4"	"119"	"10"	"3"	"2"	"6"	"2"	"2"	"7"	"10"	"8"	"363"
"42"	"28"	""	"66"	"4"	"1"	"502"	"8"	"0"	"0"	"7"	"0"	"5"	"4"	"3"	"9"	"609"
"43"	"29"	""	"18"	"37"	"2"	"537"	"18"	"1"	"4"	"8"	"1"	"16"	"2"	"4"	"7"	"655"
"44"	"30"	""	"286"	"8"	"4"	"131"	"4"	"1"	"4"	"5"	"5"	"2"	"5"	"13"	"9"	"477"
"45"	"31"	""	"197"	"10"	"6"	"104"	"4"	"0"	"6"	"6"	"0"	"7"	"4"	"4"	"23"	"371"
"46"	"32"	""	"67"	"4"	"0"	"369"	"8"	"4"	"1"	"9"	"2"	"6"	"4"	"7"	"16"	"497"
"47"	"33"	""	"24"	"6"	"3"	"298"	"5"	"0"	"25"	"8"	"1"	"6"	"4"	"1"	"5"	"386"
"48"	"33A"	""	"77"	"9"	"4"	"223"	"7"	"8"	"53"	"12"	"3"	"2"	"2"	"8"	"10"	"418"
"49"	"34"	""	"45"	"3"	"6"	"613"	"14"	"1"	"6"	"9"	"0"	"8"	"4"	"3"	"9"	"721"
"50"	"35"	""	"19"	"6"	"2"	"518"	"6"	"1"	"1"	"5"	"0"	"3"	"3"	"2"	"2"	"568"
"51"	"36"	""	"72"	"3"	"7"	"356"	"16"	"2"	"3"	"3"	"26"	"13"	"10"	"8"	"15"	"534"
"52"	"37"	""	"169"	"12"	"4"	"333"	"12"	"1"	"32"	"11"	"6"	"19"	"8"	"11"	"30"	"648"
"53"	"38"	""	"118"	"6"	"1"	"146"	"35"	"5"	"4"	"3"	"3"	"5"	"2"	"9"	"14"	"351"
"54"	"38A"	""	"142"	"10"	"4"	"56"	"16"	"2"	"3"	"9"	"1"	"4"	"2"	"7"	"17"	"273"
"55"	"39"	""	"175"	"10"	"3"	"161"	"61"	"2"	"2"	"11"	"2"	"2"	"3"	"1"	"2"	"435"
"56"	"40"	""	"155"	"5"	"1"	"357"	"62"	"4"	"3"	"9"	"3"	"1"	"6"	"8"	"21"	"635"
"57"	"41"	""	"155"	"8"	"8"	"220"	"28"	"0"	"2"	"2"	"1"	"9"	"0"	"6"	"8"	"447"
"58"	"41A"	""	"93"	"4"	"1"	"162"	"6"	"0"	"11"	"4"	"2"	"2"	"1"	"4"	"2"	"292"
"59"	"42"	""	"140"	"11"	"0"	"125"	"6"	"0"	"12"	"6"	"2"	"2"	"2"	"11"	"16"	"333"
"60"	"43"	""	"213"	"5"	"6"	"121"	"3"	"1"	"13"	"8"	"1"	"9"	"7"	"11"	"30"	"428"
"61"	"44"	""	"62"	"4"	"1"	"312"	"26"	"1"	"8"	"10"	"3"	"4"	"5"	"4"	"7"	"447"
"62"	"45"	""	"457"	"8"	"6"	"152"	"10"	"2"	"7"	"12"	"7"	"7"	"11"	"17"	"49"	"745"
"63"	"46"	""	"315"	"12"	"1"	"159"	"6"	"1"	"3"	"7"	"2"	"5"	"2"	"5"	"7"	"525"
"64"	"47"	""	"68"	"10"	"2"	"151"	"42"	"4"	"5"	"14"	"7"	"9"	"11"	"14"	"18"	"355"
"65"	"48"	""	"128"	"12"	"2"	"158"	"25"	"3"	"1"	"5"	"2"	"7"	"5"	"10"	"9"	"367"
"66"	"49"	""	"267"	"5"	"4"	"137"	"4"	"1"	"2"	"2"	"1"	"2"	"4"	"10"	"24"	"463"
"67"	"50"	""	"31"	"48"	"3"	"308"	"29"	"4"	"3"	"15"	"4"	"5"	"4"	"8"	"9"	"471"
"68"	"51"	""	"283"	"6"	"3"	"179"	"62"	"4"	"3"	"12"	"17"	"12"	"11"	"15"	"26"	"633"
"69"	"52"	""	"154"	"17"	"3"	"168"	"27"	"5"	"4"	"18"	"6"	"6"	"9"	"16"	"25"	"458"
"70"	"53"	""	"50"	"16"	"2"	"234"	"23"	"2"	"8"	"11"	"2"	"12"	"4"	"4"	"11"	"379"
"71"	"54"	""	"37"	"13"	"2"	"211"	"2"	"0"	"3"	"6"	"0"	"3"	"2"	"2"	"5"	"286"
"72"	"55"	""	"45"	"14"	"11"	"422"	"11"	"6"	"7"	"17"	"7"	"15"	"4"	"1"	"7"	"567"
"73"	"56"	""	"106"	"15"	"5"	"272"	"13"	"3"	"2"	"8"	"3"	"8"	"10"	"8"	"22"	"475"
"74"	"56A"	""	"309"	"20"	"9"	"135"	"2"	"3"	"5"	"13"	"2"	"8"	"5"	"14"	"18"	"543"
"75"	"57"	""	"50"	"22"	"3"	"306"	"11"	"1"	"7"	"4"	"4"	"9"	"5"	"8"	"18"	"448"
"76"	"58"	""	"66"	"4"	"5"	"548"	"16"	"3"	"2"	"11"	"5"	"10"	"3"	"14"	"26"	"713"
"77"	"59"	""	"159"	"42"	"6"	"229"	"10"	"2"	"3"	"9"	"9"	"13"	"10"	"20"	"45"	"557"
"78"	"60"	""	"235"	"26"	"9"	"198"	"8"	"6"	"7"	"5"	"2"	"2"	"8"	"9"	"15"	"530"
"79"	"61"	""	"110"	"28"	"1"	"231"	"10"	"2"	"4"	"7"	"0"	"9"	"4"	"5"	"11"	"422"
"80"	"62"	""	"106"	"2"	"4"	"328"	"19"	"2"	"3"	"10"	"3"	"7"	"9"	"12"	"23"	"528"
"81"	"63"	""	"13"	"5"	"2"	"298"	"21"	"1"	"1"	"2"	"4"	"4"	"3"	"3"	"11"	"368"
"82"	"64"	""	"264"	"14"	"4"	"208"	"9"	"5"	"6"	"12"	"4"	"5"	"2"	"12"	"10"	"555"
"83"	"65"	""	"275"	"46"	"6"	"252"	"19"	"5"	"14"	"21"	"6"	"9"	"7"	"24"	"19"	"703"
"84"	"66"	""	"162"	"8"	"5"	"229"	"14"	"4"	"2"	"11"	"6"	"14"	"0"	"8"	"20"	"483"
"85"	"67"	""	"156"	"9"	"10"	"238"	"12"	"2"	"1"	"9"	"2"	"10"	"3"	"4"	"12"	"468"
"86"	"68"	""	"242"	"24"	"3"	"110"	"5"	"3"	"4"	"5"	"3"	"5"	"5"	"17"	"19"	"445"
"87"	"68A"	""	"267"	"11"	"9"	"166"	"6"	"3"	"4"	"4"	"4"	"7"	"5"	"10"	"19"	"515"
"88"	"69"	""	"126"	"21"	"4"	"360"	"27"	"5"	"4"	"19"	"5"	"22"	"10"	"13"	"22"	"638"
"89"	"70"	""	"84"	"16"	"2"	"187"	"31"	"4"	"1"	"9"	"2"	"12"	"12"	"4"	"21"	"385"
"90"	"71"	""	"216"	"40"	"4"	"105"	"23"	"1"	"3"	"11"	"5"	"3"	"4"	"12"	"15"	"442"
"91"	"72"	""	"67"	"8"	"8"	"348"	"36"	"7"	"4"	"30"	"10"	"31"	"9"	"8"	"27"	"593"
"92"	"73"	""	"184"	"15"	"3"	"261"	"21"	"3"	"3"	"13"	"4"	"14"	"4"	"4"	"19"	"548"
"93"	"74"	""	"212"	"20"	"17"	"228"	"15"	"3"	"5"	"12"	"7"	"28"	"12"	"21"	"23"	"603"
"94"	"75"	""	"29"	"14"	"4"	"192"	"7"	"2"	"2"	"2"	"5"	"9"	"1"	"5"	"12"	"284"
"95"	"75A"	""	"68"	"26"	"4"	"235"	"8"	"2"	"0"	"6"	"3"	"9"	"6"	"5"	"18"	"390"
"96"	"76"	""	"158"	"19"	"8"	"238"	"14"	"5"	"7"	"8"	"7"	"17"	"8"	"14"	"31"	"534"
"97"	"77"	""	"93"	"37"	"3"	"175"	"10"	"6"	"3"	"14"	"2"	"14"	"6"	"13"	"11"	"387"
"98"	"78"	""	"236"	"12"	"4"	"307"	"17"	"6"	"7"	"19"	"6"	"15"	"7"	"24"	"27"	"687"
"99"	"79"	""	"213"	"13"	"2"	"97"	"32"	"3"	"3"	"8"	"3"	"6"	"2"	"8"	"29"	"419"
"100"	"80"	""	"144"	"18"	"7"	"209"	"3"	"1"	"3"	"6"	"6"	"9"	"10"	"4"	"20"	"440"
"101"	"81"	""	"349"	"17"	"6"	"244"	"19"	"4"	"5"	"12"	"3"	"6"	"4"	"16"	"19"	"704"
"102"	"82"	""	"595"	"19"	"3"	"98"	"2"	"3"	"0"	"7"	"3"	"9"	"5"	"22"	"39"	"805"
"103"	"83"	""	"456"	"3"	"3"	"12"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"11"	"8"	"499"
"104"	"84"	""	"195"	"1"	"0"	"230"	"3"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"435"
"105"	"85"	""	"175"	"13"	"5"	"365"	"8"	"1"	"3"	"25"	"3"	"16"	"4"	"10"	"36"	"664"
"106"	"86"	""	"123"	"26"	"7"	"215"	"23"	"7"	"4"	"14"	"4"	"9"	"5"	"8"	"9"	"454"
"107"	"87"	""	"98"	"26"	"9"	"385"	"13"	"2"	"5"	"11"	"6"	"11"	"11"	"11"	"44"	"632"
"108"	"88"	""	"221"	"12"	"4"	"166"	"49"	"2"	"6"	"7"	"4"	"18"	"3"	"25"	"43"	"560"
"109"	"89"	""	"386"	"21"	"7"	"154"	"9"	"2"	"7"	"29"	"1"	"7"	"5"	"15"	"16"	"659"
"110"	"90"	""	"142"	"21"	"13"	"270"	"45"	"6"	"11"	"14"	"12"	"10"	"7"	"10"	"23"	"584"
"111"	"91"	""	"265"	"11"	"7"	"262"	"7"	"3"	"7"	"10"	"4"	"13"	"11"	"17"	"35"	"652"
"112"	"92"	""	"113"	"10"	"2"	"152"	"2"	"0"	"1"	"5"	"0"	"6"	"6"	"6"	"13"	"316"
"113"	"92A"	""	"93"	"13"	"5"	"241"	"12"	"1"	"5"	"12"	"2"	"14"	"3"	"10"	"15"	"426"
"114"	"93"	""	"216"	"14"	"5"	"112"	"5"	"3"	"2"	"5"	"2"	"4"	"2"	"12"	"12"	"394"
"115"	"94"	""	"78"	"20"	"7"	"204"	"9"	"2"	"4"	"15"	"11"	"12"	"6"	"13"	"31"	"412"
"116"	"95"	""	"97"	"13"	"8"	"280"	"24"	"3"	"7"	"13"	"8"	"18"	"11"	"15"	"22"	"519"
"117"	"96"	""	"95"	"10"	"3"	"500"	"30"	"3"	"2"	"10"	"4"	"9"	"1"	"5"	"7"	"679"
"118"	"97"	""	"69"	"70"	"6"	"199"	"29"	"3"	"3"	"13"	"3"	"6"	"7"	"7"	"13"	"428"
"119"	"98"	""	"106"	"8"	"4"	"268"	"15"	"4"	"3"	"8"	"1"	"4"	"3"	"9"	"7"	"440"
"120"	"99"	""	"144"	"9"	"7"	"485"	"22"	"9"	"7"	"14"	"14"	"26"	"8"	"11"	"19"	"775"
"121"	"100"	""	"47"	"6"	"2"	"371"	"4"	"23"	"2"	"14"	"8"	"15"	"7"	"7"	"11"	"517"
"122"	"101"	""	"73"	"10"	"6"	"388"	"9"	"11"	"4"	"8"	"0"	"6"	"4"	"3"	"5"	"527"
"123"	"102"	""	"198"	"14"	"9"	"299"	"120"	"3"	"5"	"8"	"4"	"3"	"0"	"0"	"3"	"666"
"124"	"103"	""	"110"	"10"	"6"	"424"	"30"	"4"	"6"	"31"	"7"	"15"	"6"	"14"	"27"	"690"
"125"	"104"	""	"118"	"6"	"4"	"268"	"21"	"4"	"2"	"18"	"6"	"10"	"8"	"16"	"34"	"515"
"126"	"105"	""	"139"	"13"	"4"	"309"	"19"	"6"	"7"	"33"	"10"	"22"	"21"	"14"	"46"	"643"
"127"	"106"	""	"64"	"6"	"5"	"447"	"20"	"8"	"0"	"19"	"7"	"13"	"5"	"12"	"21"	"627"
"128"	"107"	""	"174"	"10"	"6"	"301"	"28"	"2"	"2"	"8"	"4"	"14"	"7"	"11"	"35"	"602"
"129"	"108"	""	"79"	"25"	"7"	"230"	"10"	"2"	"5"	"22"	"8"	"11"	"6"	"18"	"26"	"449"
"130"	"109"	""	"215"	"11"	"10"	"134"	"70"	"10"	"4"	"14"	"10"	"6"	"10"	"16"	"14"	"524"
"131"	"110"	""	"285"	"37"	"6"	"99"	"10"	"2"	"3"	"9"	"3"	"3"	"0"	"8"	"3"	"468"
"132"	"111"	""	"133"	"8"	"4"	"164"	"13"	"1"	"0"	"6"	"4"	"6"	"2"	"14"	"22"	"377"
"133"	"112"	""	"150"	"12"	"3"	"141"	"83"	"1"	"14"	"14"	"14"	"6"	"3"	"15"	"10"	"466"
"134"	"113"	""	"104"	"8"	"5"	"505"	"31"	"3"	"2"	"12"	"10"	"32"	"12"	"22"	"43"	"789"
"135"	"114"	""	"340"	"7"	"6"	"44"	"3"	"2"	"8"	"2"	"2"	"2"	"3"	"8"	"15"	"442"
"136"	"114A"	""	"109"	"5"	"7"	"216"	"12"	"4"	"3"	"9"	"6"	"5"	"2"	"4"	"11"	"393"
"137"	"115"	""	"70"	"65"	"7"	"377"	"48"	"6"	"16"	"21"	"6"	"17"	"11"	"16"	"26"	"686"
"138"	"116"	""	"60"	"14"	"4"	"464"	"34"	"4"	"3"	"15"	"7"	"14"	"9"	"12"	"20"	"660"
"139"	"117"	""	"35"	"13"	"4"	"290"	"40"	"10"	"6"	"11"	"9"	"5"	"5"	"12"	"23"	"463"
"140"	"118"	""	"152"	"9"	"2"	"249"	"12"	"2"	"5"	"21"	"7"	"15"	"8"	"12"	"15"	"509"
"141"	"119"	""	"152"	"12"	"10"	"337"	"9"	"5"	"4"	"16"	"4"	"16"	"4"	"10"	"46"	"625"
"142"	"120"	""	"156"	"12"	"5"	"397"	"7"	"2"	"13"	"30"	"11"	"19"	"15"	"7"	"34"	"708"
"143"	"121"	""	"95"	"15"	"5"	"197"	"4"	"2"	"3"	"8"	"1"	"4"	"2"	"3"	"3"	"342"
"144"	"122"	""	"92"	"5"	"5"	"211"	"4"	"2"	"1"	"13"	"7"	"5"	"7"	"4"	"4"	"360"
"145"	"123"	""	"75"	"24"	"6"	"323"	"18"	"2"	"5"	"11"	"6"	"16"	"7"	"8"	"17"	"518"
"146"	"124"	""	"111"	"15"	"9"	"403"	"3"	"5"	"5"	"9"	"4"	"14"	"9"	"5"	"22"	"614"
"147"	"125"	""	"86"	"10"	"4"	"287"	"15"	"5"	"3"	"11"	"16"	"22"	"11"	"10"	"40"	"520"
"148"	"126"	""	"107"	"18"	"6"	"230"	"7"	"1"	"11"	"16"	"10"	"11"	"5"	"15"	"20"	"457"
"149"	"127"	""	"270"	"34"	"5"	"162"	"8"	"4"	"14"	"15"	"2"	"10"	"3"	"17"	"24"	"568"
"150"	"128"	""	"116"	"68"	"6"	"171"	"9"	"5"	"38"	"13"	"4"	"7"	"9"	"15"	"28"	"489"
"151"	"129"	""	"180"	"23"	"12"	"358"	"14"	"6"	"15"	"25"	"8"	"19"	"11"	"19"	"23"	"713"
"152"	"130"	""	"173"	"15"	"3"	"273"	"14"	"4"	"5"	"5"	"5"	"15"	"10"	"10"	"25"	"557"
"153"	"131"	""	"214"	"35"	"4"	"278"	"26"	"3"	"6"	"21"	"10"	"24"	"10"	"9"	"41"	"681"
"154"	"132"	""	"141"	"22"	"5"	"200"	"5"	"2"	"32"	"24"	"7"	"24"	"14"	"21"	"47"	"544"
"155"	"133"	""	"264"	"33"	"4"	"127"	"6"	"6"	"6"	"18"	"4"	"6"	"6"	"10"	"13"	"503"
"156"	"134"	""	"198"	"30"	"7"	"56"	"7"	"3"	"3"	"5"	"4"	"2"	"3"	"8"	"4"	"330"
"157"	"134A"	""	"145"	"37"	"3"	"68"	"5"	"3"	"4"	"5"	"6"	"8"	"10"	"12"	"30"	"336"
"158"	"135"	""	"179"	"25"	"2"	"93"	"13"	"0"	"4"	"7"	"0"	"3"	"5"	"4"	"14"	"349"
"159"	"136"	""	"218"	"19"	"4"	"139"	"5"	"4"	"4"	"15"	"6"	"9"	"14"	"15"	"40"	"492"
"160"	"137"	""	"219"	"16"	"9"	"224"	"5"	"2"	"3"	"8"	"2"	"3"	"2"	"14"	"13"	"520"
"161"	"138"	""	"149"	"27"	"8"	"312"	"12"	"2"	"8"	"16"	"8"	"18"	"19"	"15"	"47"	"641"
"162"	"139"	""	"135"	"39"	"8"	"367"	"14"	"7"	"7"	"26"	"12"	"22"	"14"	"11"	"17"	"679"
"163"	"140"	""	"91"	"26"	"5"	"299"	"4"	"3"	"3"	"10"	"2"	"10"	"12"	"12"	"22"	"499"
"164"	"141"	""	"93"	"12"	"6"	"308"	"13"	"4"	"5"	"5"	"8"	"6"	"3"	"8"	"9"	"480"
"165"	"142"	""	"115"	"25"	"2"	"167"	"4"	"2"	"6"	"8"	"5"	"7"	"2"	"6"	"11"	"360"
"166"	"143"	""	"137"	"58"	"1"	"129"	"4"	"0"	"3"	"3"	"4"	"4"	"5"	"7"	"12"	"367"
"167"	"144"	""	"396"	"9"	"10"	"328"	"11"	"2"	"10"	"16"	"9"	"6"	"10"	"15"	"14"	"836"
"168"	"145"	""	"310"	"31"	"3"	"148"	"15"	"5"	"0"	"4"	"2"	"4"	"5"	"15"	"19"	"561"
"169"	"146"	""	"195"	"3"	"1"	"17"	"0"	"0"	"0"	"3"	"1"	"1"	"4"	"5"	"5"	"235"
"170"	"147"	""	"181"	"33"	"11"	"335"	"9"	"4"	"7"	"19"	"5"	"5"	"14"	"22"	"27"	"672"
"171"	"148"	""	"348"	"18"	"3"	"68"	"0"	"2"	"0"	"2"	"3"	"2"	"0"	"4"	"9"	"459"
"172"	"148A"	""	"350"	"7"	"1"	"49"	"2"	"1"	"4"	"6"	"0"	"0"	"1"	"5"	"7"	"433"
"173"	"149"	""	"353"	"12"	"2"	"229"	"9"	"1"	"4"	"6"	"1"	"10"	"3"	"10"	"20"	"660"
"174"	"150"	""	"83"	"4"	"5"	"239"	"3"	"2"	"3"	"11"	"4"	"5"	"7"	"6"	"14"	"386"
"175"	"151"	""	"18"	"21"	"7"	"399"	"13"	"2"	"8"	"20"	"5"	"17"	"3"	"7"	"22"	"542"
"176"	"152"	""	"159"	"18"	"6"	"185"	"8"	"3"	"8"	"25"	"2"	"9"	"6"	"10"	"11"	"450"
"177"	"153"	""	"187"	"18"	"2"	"236"	"9"	"3"	"5"	"6"	"7"	"5"	"4"	"6"	"9"	"497"
"178"	"153A"	""	"211"	"7"	"8"	"224"	"4"	"1"	"1"	"8"	"8"	"3"	"6"	"6"	"17"	"504"
"179"	"154"	""	"309"	"15"	"3"	"100"	"6"	"0"	"1"	"4"	"8"	"9"	"1"	"9"	"7"	"472"
"180"	"154A"	""	"151"	"13"	"2"	"198"	"8"	"7"	"0"	"8"	"22"	"5"	"6"	"11"	"25"	"456"
"181"	"155"	""	"173"	"17"	"2"	"124"	"45"	"8"	"15"	"10"	"8"	"5"	"6"	"12"	"21"	"446"
"182"	"156"	""	"178"	"35"	"6"	"131"	"13"	"6"	"15"	"12"	"5"	"7"	"4"	"12"	"14"	"438"
"183"	"157"	""	"487"	"19"	"4"	"170"	"9"	"7"	"9"	"8"	"6"	"8"	"11"	"26"	"33"	"797"
"184"	"158"	""	"342"	"6"	"2"	"127"	"1"	"1"	"21"	"4"	"2"	"1"	"6"	"8"	"17"	"538"
"185"	"159"	""	"109"	"68"	"15"	"417"	"27"	"4"	"12"	"27"	"16"	"23"	"28"	"12"	"38"	"796"
"186"	"160"	""	"62"	"20"	"5"	"209"	"2"	"0"	"23"	"12"	"6"	"13"	"11"	"8"	"15"	"386"
"187"	"161"	""	"84"	"20"	"0"	"243"	"4"	"4"	"8"	"6"	"2"	"4"	"5"	"5"	"10"	"395"
"188"	"162"	""	"152"	"12"	"6"	"172"	"26"	"2"	"6"	"11"	"4"	"3"	"3"	"7"	"12"	"416"
"189"	"163"	""	"135"	"11"	"7"	"190"	"20"	"7"	"4"	"8"	"5"	"16"	"15"	"11"	"32"	"461"
"190"	"164"	""	"241"	"24"	"3"	"206"	"9"	"4"	"5"	"9"	"4"	"9"	"4"	"16"	"23"	"557"
"191"	"165"	""	"49"	"26"	"6"	"290"	"63"	"5"	"2"	"14"	"3"	"18"	"8"	"7"	"28"	"519"
"192"	"166"	""	"48"	"44"	"5"	"286"	"10"	"1"	"0"	"4"	"3"	"7"	"3"	"1"	"4"	"416"
"193"	"167"	""	"43"	"36"	"10"	"355"	"6"	"2"	"3"	"21"	"2"	"4"	"8"	"2"	"9"	"501"
"194"	"168"	""	"28"	"36"	"6"	"406"	"7"	"4"	"2"	"10"	"2"	"10"	"7"	"5"	"11"	"534"
"195"	"169"	""	"140"	"6"	"5"	"137"	"2"	"0"	"1"	"3"	"28"	"2"	"0"	"3"	"0"	"327"
"196"	"170"	""	"360"	"5"	"3"	"189"	"2"	"5"	"16"	"11"	"14"	"4"	"8"	"4"	"37"	"658"
"197"	"171"	""	"310"	"13"	"3"	"92"	"8"	"4"	"13"	"12"	"1"	"7"	"2"	"8"	"22"	"495"
"198"	"172"	""	"242"	"18"	"5"	"116"	"5"	"5"	"16"	"13"	"5"	"9"	"12"	"9"	"34"	"489"
"199"	"173"	""	"137"	"21"	"13"	"149"	"44"	"5"	"30"	"15"	"4"	"4"	"5"	"11"	"7"	"445"
"200"	"174"	""	"160"	"18"	"5"	"162"	"8"	"2"	"11"	"10"	"3"	"3"	"5"	"7"	"14"	"408"
"201"	"175"	""	"48"	"49"	"6"	"205"	"6"	"3"	"1"	"5"	"2"	"10"	"2"	"1"	"11"	"349"
"202"	"176"	""	"222"	"12"	"4"	"153"	"14"	"1"	"1"	"8"	"2"	"4"	"2"	"8"	"10"	"441"
"203"	"177"	""	"247"	"10"	"4"	"71"	"7"	"1"	"9"	"19"	"5"	"4"	"0"	"8"	"17"	"402"
"204"	"178"	""	"127"	"8"	"6"	"270"	"6"	"3"	"7"	"28"	"10"	"17"	"11"	"10"	"30"	"533"
"205"	"179"	""	"254"	"9"	"7"	"323"	"10"	"1"	"7"	"25"	"9"	"17"	"8"	"25"	"59"	"754"
"206"	"180"	""	"331"	"22"	"5"	"228"	"20"	"2"	"4"	"9"	"4"	"4"	"1"	"12"	"14"	"656"
"207"	"181"	""	"72"	"48"	"2"	"205"	"13"	"3"	"3"	"2"	"3"	"4"	"2"	"1"	"6"	"364"
"208"	"182"	""	"207"	"10"	"10"	"177"	"17"	"1"	"3"	"16"	"10"	"10"	"12"	"16"	"31"	"520"
