"Assembly.Constituency...113.EKMA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 113-EKMA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NO. OF VOTERS:- 213752"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	""	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CANDIDAT ES NAME"	""	"ARUN KR. SINGH"	""	"KAMESHWAR KR. SINGH"	""	"MANORANJAN SINGH"	""	"YOGENDRA SHARMA"	""	"SHEO KUMAR SINGH"	""	"PANKAJ KUMAR"	""	"RAJ KUMAR PATHAK"	""	"BINOD KUMAR BHARTI"	""	"AWDHESH SINGH"	""	"JAKIR HUSSAIN"	""	"PANKAJ RAJ"	""	"MANORANJAN KUMAR SINGH"	""	"RAJIV RANJAN MISHRA"	""	"RAMJI RAI"	""	"BINOD SINGH"	""	"BRINDA PATHAK"	""	"SANJAY KUMAR SINGH"	""	"SANJEEV KUMAR"	""	"TOTAL VALID VOTES"	""	""
"17"	"10"	""	"4"	""	"15"	""	"129"	""	"42"	""	"13"	""	"2"	""	"6"	""	"1"	""	"0"	""	"0"	""	"3"	""	"4"	""	"11"	""	"4"	""	"2"	""	"6"	""	"3"	""	"1"	""	""	""	""
"18"	"11"	""	"9"	""	"105"	""	"391"	""	"16"	""	"7"	""	"5"	""	"5"	""	"12"	""	"0"	""	"4"	""	"7"	""	"0"	""	"4"	""	"11"	""	"3"	""	"8"	""	"7"	""	"4"	""	""	""	""
"19"	"12"	""	"5"	""	"29"	""	"115"	""	"2"	""	"13"	""	"1"	""	"6"	""	"1"	""	"0"	""	"1"	""	"0"	""	"1"	""	"6"	""	"12"	""	"2"	""	"5"	""	"0"	""	"5"	""	""	""	""
"20"	"13"	""	"0"	""	"69"	""	"368"	""	"20"	""	"12"	""	"1"	""	"5"	""	"5"	""	"0"	""	"0"	""	"0"	""	"0"	""	"4"	""	"2"	""	"0"	""	"0"	""	"9"	""	"1"	""	""	""	""
"21"	"14"	""	"4"	""	"17"	""	"578"	""	"3"	""	"7"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"3"	""	"5"	""	"0"	""	"0"	""	"0"	""	""	""	""
"22"	"1"	""	"58"	""	"1130"	""	"3638"	""	"165"	""	"121"	""	"27"	""	"65"	""	"80"	""	"3"	""	"44"	""	"24"	""	"15"	""	"72"	""	"88"	""	"49"	""	"47"	""	"137"	""	"35"	""	"5798"	""	""
"23"	"15"	""	"4"	""	"53"	""	"244"	""	"40"	""	"19"	""	"1"	""	"8"	""	"0"	""	"0"	""	"2"	""	"3"	""	"2"	""	"10"	""	"5"	""	"0"	""	"1"	""	"5"	""	"5"	""	""	""	""
"24"	"16"	""	"4"	""	"66"	""	"254"	""	"6"	""	"13"	""	"3"	""	"9"	""	"41"	""	"1"	""	"0"	""	"1"	""	"0"	""	"5"	""	"4"	""	"3"	""	"0"	""	"2"	""	"2"	""	""	""	""
"25"	"17"	""	"6"	""	"35"	""	"341"	""	"6"	""	"59"	""	"3"	""	"8"	""	"1"	""	"1"	""	"1"	""	"2"	""	"1"	""	"0"	""	"6"	""	"0"	""	"2"	""	"2"	""	"2"	""	""	""	""
"26"	"18"	""	"7"	""	"83"	""	"469"	""	"15"	""	"22"	""	"6"	""	"7"	""	"0"	""	"1"	""	"0"	""	"2"	""	"2"	""	"14"	""	"6"	""	"9"	""	"2"	""	"2"	""	"1"	""	""	""	""
"27"	"19"	""	"0"	""	"252"	""	"158"	""	"8"	""	"66"	""	"3"	""	"7"	""	"2"	""	"0"	""	"0"	""	"1"	""	"3"	""	"5"	""	"8"	""	"5"	""	"7"	""	"3"	""	"4"	""	""	""	""
"28"	"20"	""	"10"	""	"82"	""	"416"	""	"8"	""	"15"	""	"6"	""	"11"	""	"2"	""	"1"	""	"1"	""	"1"	""	"1"	""	"17"	""	"14"	""	"13"	""	"12"	""	"15"	""	"13"	""	""	""	""
"29"	"21"	""	"32"	""	"196"	""	"272"	""	"14"	""	"13"	""	"7"	""	"5"	""	"14"	""	"2"	""	"1"	""	"6"	""	"1"	""	"6"	""	"8"	""	"4"	""	"11"	""	"7"	""	"8"	""	""	""	""
"30"	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"648"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"532"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"638"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"22"	""	"3"	""	"74"	""	"129"	""	"1"	""	"13"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	""	"2"	""	"0"	""	"1"	""	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	""	""	""
"38"	"23"	""	"2"	""	"173"	""	"386"	""	"8"	""	"15"	""	"2"	""	"8"	""	"2"	""	"2"	""	"3"	""	"4"	""	"7"	""	"15"	""	"20"	""	"5"	""	"11"	""	"7"	""	"4"	""	""	""	""
"39"	"24"	""	"5"	""	"61"	""	"260"	""	"5"	""	"15"	""	"2"	""	"3"	""	"3"	""	"0"	""	"0"	""	"1"	""	"0"	""	"6"	""	"9"	""	"7"	""	"6"	""	"4"	""	"4"	""	""	""	""
"40"	"25"	""	"13"	""	"154"	""	"373"	""	"6"	""	"18"	""	"9"	""	"10"	""	"2"	""	"1"	""	"2"	""	"7"	""	"4"	""	"20"	""	"29"	""	"11"	""	"11"	""	"0"	""	"1"	""	""	""	""
"41"	"26"	""	"4"	""	"59"	""	"172"	""	"2"	""	"9"	""	"1"	""	"5"	""	"3"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	""	"2"	""	"5"	""	"3"	""	"9"	""	"8"	""	""	""	""
"42"	"27"	""	"11"	""	"13"	""	"289"	""	"8"	""	"8"	""	"2"	""	"8"	""	"0"	""	"0"	""	"2"	""	"3"	""	"0"	""	"3"	""	"2"	""	"1"	""	"4"	""	"7"	""	"4"	""	""	""	""
"43"	"28"	""	"7"	""	"19"	""	"249"	""	"6"	""	"14"	""	"18"	""	"3"	""	"18"	""	"2"	""	"2"	""	"2"	""	"1"	""	"6"	""	"3"	""	"3"	""	"4"	""	"0"	""	"1"	""	""	""	""
"44"	"2"	""	"108"	""	"1320"	""	"4012"	""	"133"	""	"299"	""	"64"	""	"95"	""	"88"	""	"13"	""	"15"	""	"36"	""	"22"	""	"108"	""	"118"	""	"67"	""	"74"	""	"64"	""	"58"	""	"6694"	""	""
"45"	"29"	""	"4"	""	"117"	""	"83"	""	"2"	""	"10"	""	"3"	""	"3"	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"2"	""	"0"	""	"4"	""	"1"	""	"6"	""	"5"	""	"243"	""	""
"46"	"30"	""	"3"	""	"56"	""	"178"	""	"3"	""	"10"	""	"3"	""	"8"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"2"	""	"2"	""	"26"	""	"2"	""	"6"	""	"7"	""	"308"	""	""
"47"	"31"	""	"6"	""	"126"	""	"138"	""	"2"	""	"27"	""	"3"	""	"4"	""	"2"	""	"0"	""	"2"	""	"1"	""	"1"	""	"8"	""	"2"	""	"9"	""	"5"	""	"5"	""	"4"	""	"345"	""	""
"48"	"32"	""	"11"	""	"82"	""	"211"	""	"3"	""	"7"	""	"10"	""	"4"	""	"1"	""	"3"	""	"3"	""	"2"	""	"0"	""	"3"	""	"4"	""	"4"	""	"9"	""	"4"	""	"6"	""	"367"	""	""
"49"	"33"	""	"6"	""	"169"	""	"369"	""	"8"	""	"29"	""	"0"	""	"8"	""	"5"	""	"6"	""	"1"	""	"11"	""	"7"	""	"9"	""	"23"	""	"12"	""	"25"	""	"13"	""	"8"	""	"709"	""	""
"50"	"34"	""	"10"	""	"72"	""	"173"	""	"1"	""	"5"	""	"3"	""	"3"	""	"1"	""	"0"	""	"2"	""	"4"	""	"3"	""	"10"	""	"7"	""	"8"	""	"10"	""	"11"	""	"5"	""	"328"	""	""
"51"	"35"	""	"27"	""	"329"	""	"280"	""	"17"	""	"10"	""	"2"	""	"10"	""	"3"	""	"2"	""	"2"	""	"2"	""	"0"	""	"6"	""	"13"	""	"20"	""	"15"	""	"13"	""	"8"	""	"759"	""	""
"52"	"36"	""	"19"	""	"132"	""	"347"	""	"18"	""	"13"	""	"4"	""	"13"	""	"6"	""	"2"	""	"1"	""	"3"	""	"2"	""	"7"	""	"12"	""	"10"	""	"6"	""	"7"	""	"2"	""	"604"	""	""
"53"	"37"	""	"12"	""	"192"	""	"193"	""	"6"	""	"49"	""	"4"	""	"4"	""	"5"	""	"2"	""	"0"	""	"3"	""	"2"	""	"8"	""	"14"	""	"14"	""	"14"	""	"55"	""	"42"	""	"619"	""	""
"54"	"38"	""	"2"	""	"126"	""	"124"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"4"	""	"2"	""	"1"	""	"2"	""	"3"	""	"1"	""	"272"	""	""
"55"	"39"	""	"0"	""	"123"	""	"83"	""	"4"	""	"2"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	"4"	""	"1"	""	"225"	""	""
"56"	"40"	""	"8"	""	"158"	""	"330"	""	"11"	""	"5"	""	"5"	""	"8"	""	"6"	""	"1"	""	"2"	""	"5"	""	"5"	""	"12"	""	"14"	""	"7"	""	"8"	""	"11"	""	"9"	""	"605"	""	""
"57"	"41"	""	"5"	""	"21"	""	"283"	""	"4"	""	"4"	""	"0"	""	"1"	""	"3"	""	"0"	""	"4"	""	"2"	""	"4"	""	"7"	""	"11"	""	"4"	""	"4"	""	"6"	""	"15"	""	"378"	""	""
"58"	"42"	""	"10"	""	"103"	""	"367"	""	"14"	""	"5"	""	"7"	""	"2"	""	"1"	""	"4"	""	"1"	""	"6"	""	"2"	""	"19"	""	"12"	""	"14"	""	"10"	""	"13"	""	"10"	""	"600"	""	""
"59"	"3"	""	"123"	""	"1806"	""	"3159"	""	"94"	""	"179"	""	"45"	""	"71"	""	"33"	""	"20"	""	"20"	""	"43"	""	"28"	""	"97"	""	"116"	""	"135"	""	"113"	""	"157"	""	"123"	""	"6362"	""	""
"60"	"43"	""	"15"	""	"55"	""	"262"	""	"7"	""	"13"	""	"6"	""	"1"	""	"2"	""	"0"	""	"3"	""	"2"	""	"1"	""	"13"	""	"9"	""	"7"	""	"7"	""	"12"	""	"8"	""	"423"	""	""
"61"	"44"	""	"4"	""	"184"	""	"249"	""	"7"	""	"21"	""	"3"	""	"6"	""	"1"	""	"0"	""	"7"	""	"3"	""	"4"	""	"7"	""	"3"	""	"11"	""	"6"	""	"8"	""	"3"	""	"527"	""	""
"62"	"45"	""	"19"	""	"154"	""	"310"	""	"64"	""	"5"	""	"4"	""	"10"	""	"2"	""	"0"	""	"20"	""	"5"	""	"0"	""	"8"	""	"5"	""	"2"	""	"5"	""	"6"	""	"2"	""	"621"	""	""
"63"	"46"	""	"6"	""	"93"	""	"240"	""	"6"	""	"12"	""	"4"	""	"19"	""	"3"	""	"1"	""	"5"	""	"4"	""	"3"	""	"4"	""	"5"	""	"54"	""	"31"	""	"2"	""	"14"	""	"506"	""	""
"64"	"47"	""	"24"	""	"117"	""	"252"	""	"48"	""	"19"	""	"2"	""	"13"	""	"4"	""	"1"	""	"66"	""	"5"	""	"0"	""	"14"	""	"11"	""	"36"	""	"9"	""	"1"	""	"3"	""	"625"	""	""
"65"	"48"	""	"3"	""	"57"	""	"335"	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"1"	""	"0"	""	"0"	""	"0"	""	"2"	""	"3"	""	"0"	""	"0"	""	"0"	""	"0"	""	"407"	""	""
"66"	"49"	""	"2"	""	"164"	""	"212"	""	"3"	""	"5"	""	"0"	""	"1"	""	"0"	""	"2"	""	"12"	""	"0"	""	"0"	""	"6"	""	"5"	""	"2"	""	"5"	""	"3"	""	"8"	""	"430"	""	""
"67"	"50"	""	"5"	""	"58"	""	"291"	""	"3"	""	"6"	""	"1"	""	"3"	""	"2"	""	"0"	""	"2"	""	"0"	""	"1"	""	"7"	""	"7"	""	"0"	""	"4"	""	"9"	""	"7"	""	"406"	""	""
"68"	"50"	"A"	"1"	""	"18"	""	"114"	""	"2"	""	"10"	""	"0"	""	"3"	""	"2"	""	"0"	""	"2"	""	"0"	""	"0"	""	"3"	""	"3"	""	"1"	""	"2"	""	"10"	""	"0"	""	"171"	""	""
"69"	"51"	""	"10"	""	"227"	""	"167"	""	"3"	""	"4"	""	"2"	""	"7"	""	"13"	""	"3"	""	"8"	""	"2"	""	"1"	""	"9"	""	"1"	""	"9"	""	"8"	""	"11"	""	"4"	""	"489"	""	""
"70"	"52"	""	"9"	""	"75"	""	"264"	""	"12"	""	"12"	""	"10"	""	"9"	""	"26"	""	"1"	""	"2"	""	"0"	""	"1"	""	"2"	""	"5"	""	"39"	""	"2"	""	"10"	""	"2"	""	"481"	""	""
"71"	"53"	""	"7"	""	"20"	""	"180"	""	"9"	""	"2"	""	"0"	""	"3"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"0"	""	"6"	""	"84"	""	"4"	""	"9"	""	"5"	""	"331"	""	""
"72"	"54"	""	"13"	""	"170"	""	"121"	""	"1"	""	"3"	""	"1"	""	"3"	""	"1"	""	"1"	""	"68"	""	"8"	""	"0"	""	"4"	""	"1"	""	"1"	""	"3"	""	"0"	""	"3"	""	"402"	""	""
"73"	"55"	""	"12"	""	"38"	""	"54"	""	"5"	""	"3"	""	"0"	""	"2"	""	"3"	""	"0"	""	"11"	""	"0"	""	"0"	""	"2"	""	"8"	""	"3"	""	"3"	""	"3"	""	"23"	""	"170"	""	""
"74"	"4"	""	"130"	""	"1430"	""	"3051"	""	"172"	""	"117"	""	"33"	""	"81"	""	"60"	""	"10"	""	"208"	""	"29"	""	"11"	""	"81"	""	"72"	""	"249"	""	"89"	""	"84"	""	"82"	""	"5989"	""	""
"75"	"56"	""	"5"	""	"25"	""	"212"	""	"4"	""	"9"	""	"0"	""	"2"	""	"2"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"4"	""	"14"	""	"3"	""	"5"	""	"6"	""	""	""	""
"76"	"57"	""	"11"	""	"190"	""	"135"	""	"2"	""	"7"	""	"5"	""	"1"	""	"1"	""	"0"	""	"3"	""	"3"	""	"0"	""	"7"	""	"7"	""	"5"	""	"9"	""	"6"	""	"5"	""	""	""	""
"77"	"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"58"	""	"16"	""	"131"	""	"103"	""	"7"	""	"16"	""	"3"	""	"1"	""	"2"	""	"0"	""	"1"	""	"30"	""	"1"	""	"4"	""	"6"	""	"23"	""	"11"	""	"1"	""	"7"	""	""	""	""
"80"	"59"	""	"7"	""	"160"	""	"205"	""	"5"	""	"40"	""	"2"	""	"5"	""	"3"	""	"1"	""	"1"	""	"3"	""	"4"	""	"15"	""	"13"	""	"7"	""	"6"	""	"4"	""	"7"	""	""	""	""
"81"	"60"	""	"1"	""	"5"	""	"638"	""	"2"	""	"5"	""	"0"	""	"3"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	""	""	""
"82"	"61"	""	"5"	""	"132"	""	"245"	""	"3"	""	"6"	""	"1"	""	"3"	""	"7"	""	"2"	""	"6"	""	"6"	""	"0"	""	"19"	""	"3"	""	"7"	""	"8"	""	"33"	""	"8"	""	""	""	""
"83"	"62"	""	"6"	""	"104"	""	"169"	""	"7"	""	"6"	""	"3"	""	"3"	""	"0"	""	"0"	""	"4"	""	"4"	""	"1"	""	"3"	""	"1"	""	"3"	""	"0"	""	"10"	""	"2"	""	""	""	""
"84"	"63"	""	"6"	""	"211"	""	"170"	""	"3"	""	"9"	""	"1"	""	"5"	""	"0"	""	"1"	""	"23"	""	"0"	""	"1"	""	"14"	""	"2"	""	"1"	""	"5"	""	"4"	""	"5"	""	""	""	""
"85"	"64"	""	"7"	""	"243"	""	"80"	""	"1"	""	"8"	""	"0"	""	"4"	""	"0"	""	"0"	""	"7"	""	"0"	""	"0"	""	"1"	""	"2"	""	"2"	""	"5"	""	"1"	""	"6"	""	""	""	""
"86"	"65"	""	"16"	""	"90"	""	"242"	""	"6"	""	"5"	""	"8"	""	"10"	""	"2"	""	"1"	""	"4"	""	"0"	""	"2"	""	"8"	""	"26"	""	"5"	""	"7"	""	"5"	""	"5"	""	""	""	""
"87"	"66"	""	"11"	""	"151"	""	"224"	""	"9"	""	"9"	""	"2"	""	"3"	""	"4"	""	"3"	""	"21"	""	"3"	""	"4"	""	"2"	""	"3"	""	"2"	""	"2"	""	"10"	""	"6"	""	""	""	""
"88"	"66"	"A"	"1"	""	"22"	""	"164"	""	"0"	""	"1"	""	"0"	""	"4"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"5"	""	"7"	""	"1"	""	"3"	""	"3"	""	"0"	""	""	""	""
"89"	"67"	""	"9"	""	"95"	""	"280"	""	"8"	""	"3"	""	"1"	""	"3"	""	"6"	""	"1"	""	"1"	""	"3"	""	"0"	""	"9"	""	"24"	""	"12"	""	"9"	""	"2"	""	"4"	""	""	""	""
"90"	"68"	""	"5"	""	"119"	""	"448"	""	"14"	""	"26"	""	"3"	""	"1"	""	"3"	""	"2"	""	"22"	""	"2"	""	"2"	""	"9"	""	"20"	""	"10"	""	"21"	""	"10"	""	"5"	""	""	""	""
"91"	"5"	""	"106"	""	"1678"	""	"3315"	""	"71"	""	"150"	""	"29"	""	"48"	""	"30"	""	"12"	""	"95"	""	"55"	""	"15"	""	"97"	""	"121"	""	"92"	""	"90"	""	"95"	""	"66"	""	"6165"	""	""
"92"	"69"	""	"19"	""	"119"	""	"431"	""	"14"	""	"20"	""	"4"	""	"5"	""	"3"	""	"1"	""	"27"	""	"11"	""	"1"	""	"23"	""	"10"	""	"9"	""	"17"	""	"7"	""	"8"	""	"729"	""	""
"93"	"70"	""	"4"	""	"51"	""	"350"	""	"3"	""	"12"	""	"2"	""	"2"	""	"2"	""	"0"	""	"15"	""	"1"	""	"0"	""	"5"	""	"10"	""	"6"	""	"0"	""	"2"	""	"9"	""	"474"	""	""
"94"	"71"	""	"6"	""	"53"	""	"311"	""	"4"	""	"4"	""	"1"	""	"2"	""	"0"	""	"0"	""	"6"	""	"2"	""	"1"	""	"5"	""	"8"	""	"4"	""	"7"	""	"4"	""	"3"	""	"421"	""	""
"95"	"72"	""	"6"	""	"68"	""	"387"	""	"7"	""	"4"	""	"0"	""	"11"	""	"2"	""	"1"	""	"8"	""	"4"	""	"6"	""	"15"	""	"32"	""	"21"	""	"17"	""	"6"	""	"20"	""	"615"	""	""
"96"	"73"	""	"0"	""	"128"	""	"138"	""	"2"	""	"19"	""	"4"	""	"2"	""	"3"	""	"0"	""	"1"	""	"0"	""	"1"	""	"2"	""	"4"	""	"3"	""	"2"	""	"29"	""	"1"	""	"339"	""	""
"97"	"74"	""	"5"	""	"59"	""	"347"	""	"30"	""	"5"	""	"4"	""	"5"	""	"0"	""	"1"	""	"6"	""	"4"	""	"0"	""	"9"	""	"8"	""	"2"	""	"2"	""	"2"	""	"2"	""	"491"	""	""
"98"	"75"	""	"3"	""	"99"	""	"63"	""	"8"	""	"0"	""	"0"	""	"4"	""	"3"	""	"0"	""	"2"	""	"4"	""	"3"	""	"10"	""	"12"	""	"7"	""	"3"	""	"2"	""	"7"	""	"230"	""	""
"99"	"76"	""	"6"	""	"28"	""	"427"	""	"5"	""	"7"	""	"2"	""	"5"	""	"3"	""	"1"	""	"0"	""	"1"	""	"1"	""	"4"	""	"3"	""	"1"	""	"0"	""	"3"	""	"1"	""	"498"	""	""
"100"	"77"	""	"4"	""	"73"	""	"259"	""	"4"	""	"3"	""	"1"	""	"1"	""	"1"	""	"0"	""	"1"	""	"3"	""	"0"	""	"4"	""	"8"	""	"6"	""	"2"	""	"10"	""	"3"	""	"383"	""	""
"101"	"78"	""	"12"	""	"133"	""	"299"	""	"4"	""	"8"	""	"6"	""	"5"	""	"3"	""	"1"	""	"1"	""	"2"	""	"4"	""	"7"	""	"4"	""	"4"	""	"12"	""	"10"	""	"22"	""	"537"	""	""
