"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"13"	"9"	"19"	"141"	"8"	"2"	"3"	"7"	"32"	"1"	"0"	"1"	"0"	"1"	"0"	"20"	"2"	"5"	"0"	"2"	"244"
"14"	"10"	"69"	"249"	"1"	"0"	"1"	"3"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"1"	"338"
"15"	"11"	"130"	"258"	"14"	"4"	"3"	"5"	"28"	"10"	"2"	"3"	"3"	"8"	"3"	"15"	"6"	"25"	"6"	"4"	"527"
"16"	"12"	"12"	"434"	"10"	"2"	"2"	"2"	"24"	"2"	"0"	"1"	"1"	"0"	"1"	"16"	"4"	"17"	"1"	"3"	"532"
"17"	"13"	"391"	"380"	"5"	"3"	"2"	"10"	"45"	"6"	"5"	"2"	"3"	"2"	"5"	"3"	"8"	"23"	"22"	"10"	"925"
"18"	"14"	"260"	"278"	"13"	"2"	"9"	"6"	"31"	"6"	"2"	"2"	"4"	"6"	"6"	"9"	"14"	"32"	"7"	"11"	"698"
"19"	"15"	"113"	"230"	"15"	"2"	"0"	"6"	"45"	"1"	"3"	"2"	"3"	"1"	"2"	"16"	"6"	"7"	"4"	"3"	"459"
"20"	"16"	"45"	"192"	"10"	"0"	"1"	"41"	"34"	"1"	"0"	"1"	"1"	"1"	"1"	"8"	"2"	"2"	"0"	"1"	"341"
"21"	"17"	"157"	"319"	"16"	"4"	"2"	"21"	"63"	"9"	"1"	"0"	"2"	"2"	"2"	"12"	"5"	"25"	"10"	"8"	"658"
"22"	"18"	"144"	"568"	"16"	"4"	"6"	"3"	"75"	"13"	"7"	"2"	"5"	"6"	"8"	"17"	"17"	"27"	"10"	"26"	"954"
"23"	"19"	"96"	"487"	"17"	"2"	"3"	"15"	"68"	"6"	"4"	"5"	"1"	"4"	"3"	"51"	"17"	"13"	"1"	"0"	"793"
"24"	"20"	"55"	"571"	"22"	"0"	"0"	"15"	"58"	"9"	"1"	"1"	"0"	"3"	"3"	"25"	"4"	"7"	"1"	"2"	"777"
"25"	"21"	"317"	"232"	"6"	"3"	"4"	"57"	"36"	"4"	"3"	"0"	"0"	"3"	"2"	"5"	"8"	"18"	"22"	"14"	"734"
"26"	"22"	"354"	"201"	"10"	"2"	"2"	"31"	"33"	"8"	"3"	"3"	"1"	"5"	"2"	"10"	"4"	"17"	"14"	"5"	"705"
"27"	"23"	"25"	"145"	"7"	"0"	"3"	"15"	"34"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"1"	"3"	"1"	"0"	"240"
"28"	"24"	"173"	"326"	"6"	"4"	"2"	"15"	"35"	"3"	"0"	"3"	"0"	"2"	"0"	"11"	"3"	"5"	"8"	"5"	"601"
"29"	"25"	"158"	"610"	"14"	"0"	"7"	"6"	"91"	"15"	"3"	"4"	"0"	"2"	"5"	"5"	"10"	"16"	"15"	"14"	"975"
"30"	"26"	"612"	"251"	"6"	"3"	"2"	"20"	"41"	"11"	"3"	"7"	"1"	"2"	"1"	"7"	"4"	"15"	"26"	"9"	"1021"
"31"	"27"	"282"	"291"	"16"	"3"	"7"	"34"	"85"	"5"	"15"	"6"	"2"	"6"	"8"	"7"	"8"	"35"	"7"	"4"	"821"
"32"	"28"	"96"	"346"	"3"	"1"	"1"	"7"	"26"	"5"	"6"	"2"	"1"	"5"	"5"	"7"	"11"	"30"	"5"	"6"	"563"
"33"	"28A"	"217"	"215"	"9"	"1"	"3"	"22"	"18"	"8"	"7"	"2"	"2"	"3"	"1"	"4"	"1"	"15"	"3"	"4"	"535"
"34"	"29"	"216"	"489"	"18"	"2"	"58"	"23"	"25"	"2"	"6"	"2"	"0"	"2"	"3"	"5"	"4"	"11"	"7"	"8"	"881"
"35"	"30"	"101"	"282"	"5"	"6"	"14"	"77"	"47"	"6"	"1"	"2"	"1"	"5"	"1"	"12"	"3"	"8"	"16"	"6"	"593"
"36"	"31"	"339"	"145"	"5"	"0"	"6"	"4"	"13"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"5"	"11"	"8"	"543"
"37"	"32"	"249"	"24"	"4"	"0"	"3"	"103"	"12"	"2"	"0"	"4"	"0"	"7"	"6"	"7"	"10"	"24"	"69"	"16"	"540"
"38"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Assembly Constituency :045---Chhatapur"	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :212169"	""	""	""	""	""	""
"40"	"S.No."	"AKEEL AHMAD"	"NEERAJ KUMAR SINGH"	"BALRAM SINGH YADAV"	"MANOJ KUMAR JAISWAL"	"LALAN KUMAR"	"SHAH JAMAAL"	"GULAB CHAND PASWAN"	"JAI PRAKASH YADAV"	"MAHESH PRASAD MEHTA"	"AMAR NATH MISHRA"	"AMANULLA H KHAN"	"JITENDRA KUMAR SINGH"	"PHEK NARAYAN MANDAL"	"RAMENDRA PRASAD GUPTA"	"RAMESH KUMAR MUKHIYA"	"REETA DEVI"	"VINODA NAND"	"VIPIIN KUMAR YADAV"	"Total Valid Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"42"	"33"	"230"	"69"	"3"	"1"	"7"	"237"	"22"	"4"	"3"	"2"	"0"	"6"	"1"	"2"	"2"	"13"	"10"	"2"	"614"
"43"	"34"	"431"	"75"	"5"	"4"	"1"	"143"	"15"	"7"	"5"	"5"	"1"	"4"	"4"	"3"	"8"	"34"	"6"	"3"	"754"
"44"	"35"	"211"	"205"	"11"	"6"	"19"	"293"	"24"	"4"	"3"	"9"	"5"	"6"	"3"	"5"	"5"	"17"	"4"	"0"	"830"
"45"	"36"	"505"	"109"	"8"	"1"	"2"	"61"	"2"	"3"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"6"	"9"	"1"	"718"
"46"	"37"	"298"	"17"	"7"	"1"	"4"	"149"	"3"	"4"	"2"	"3"	"1"	"5"	"2"	"1"	"8"	"31"	"23"	"1"	"560"
"47"	"38"	"256"	"40"	"5"	"2"	"3"	"152"	"8"	"4"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"17"	"8"	"2"	"506"
"48"	"39"	"119"	"46"	"0"	"0"	"4"	"67"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"2"	"2"	"257"
"49"	"40"	"53"	"287"	"5"	"1"	"4"	"7"	"16"	"1"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"11"	"3"	"7"	"404"
"50"	"41"	"202"	"4"	"2"	"1"	"3"	"55"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"18"	"8"	"0"	"300"
"51"	"42"	"111"	"428"	"7"	"1"	"0"	"17"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"3"	"1"	"589"
"52"	"42A"	"180"	"272"	"4"	"2"	"2"	"25"	"14"	"7"	"2"	"1"	"1"	"2"	"0"	"1"	"2"	"10"	"6"	"1"	"532"
"53"	"43"	"179"	"194"	"10"	"2"	"1"	"48"	"9"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"3"	"16"	"2"	"2"	"472"
"54"	"44"	"429"	"11"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"8"	"0"	"455"
"55"	"45"	"324"	"10"	"1"	"2"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"348"
"56"	"46"	"234"	"21"	"1"	"2"	"8"	"186"	"10"	"5"	"4"	"3"	"4"	"3"	"2"	"2"	"1"	"4"	"4"	"2"	"496"
"57"	"47"	"351"	"12"	"2"	"2"	"2"	"180"	"3"	"2"	"2"	"2"	"4"	"3"	"4"	"4"	"2"	"21"	"55"	"13"	"664"
"58"	"48"	"252"	"433"	"12"	"4"	"18"	"12"	"47"	"4"	"1"	"0"	"1"	"3"	"1"	"2"	"5"	"23"	"19"	"5"	"842"
"59"	"49"	"474"	"381"	"11"	"2"	"7"	"9"	"43"	"8"	"5"	"1"	"2"	"1"	"0"	"15"	"2"	"12"	"7"	"0"	"980"
"60"	"50"	"558"	"204"	"10"	"5"	"1"	"13"	"28"	"2"	"3"	"0"	"0"	"4"	"1"	"5"	"2"	"22"	"19"	"6"	"883"
"61"	"51"	"57"	"301"	"6"	"1"	"4"	"4"	"29"	"2"	"6"	"0"	"1"	"1"	"1"	"44"	"1"	"2"	"3"	"2"	"465"
"62"	"52"	"338"	"449"	"11"	"2"	"1"	"15"	"41"	"5"	"2"	"8"	"2"	"4"	"2"	"5"	"9"	"7"	"2"	"1"	"904"
"63"	"53"	"165"	"424"	"8"	"5"	"3"	"54"	"27"	"5"	"24"	"6"	"0"	"0"	"4"	"0"	"3"	"12"	"6"	"2"	"748"
"64"	"53A"	"81"	"6"	"2"	"1"	"5"	"108"	"8"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"1"	"6"	"5"	"2"	"232"
"65"	"54"	"210"	"24"	"2"	"3"	"2"	"115"	"7"	"3"	"2"	"0"	"1"	"4"	"0"	"4"	"0"	"7"	"33"	"13"	"430"
"66"	"55"	"753"	"42"	"6"	"3"	"3"	"3"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"14"	"17"	"3"	"855"
"67"	"56"	"318"	"103"	"4"	"1"	"0"	"9"	"12"	"3"	"6"	"1"	"2"	"3"	"1"	"2"	"6"	"33"	"21"	"6"	"531"
"68"	"56A"	"370"	"34"	"1"	"1"	"2"	"7"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"9"	"8"	"4"	"451"
"69"	"57"	"59"	"243"	"8"	"0"	"0"	"1"	"12"	"2"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"5"	"2"	"3"	"342"
"70"	"58"	"346"	"307"	"7"	"4"	"1"	"7"	"23"	"3"	"0"	"7"	"4"	"2"	"2"	"1"	"46"	"6"	"7"	"2"	"775"
"71"	"59"	"42"	"271"	"4"	"4"	"0"	"4"	"25"	"5"	"25"	"4"	"1"	"5"	"1"	"2"	"25"	"5"	"6"	"3"	"432"
"72"	"60"	"317"	"302"	"15"	"6"	"2"	"11"	"15"	"3"	"2"	"3"	"2"	"3"	"1"	"3"	"4"	"12"	"23"	"7"	"731"
"73"	"61"	"59"	"629"	"14"	"2"	"1"	"4"	"32"	"4"	"24"	"19"	"3"	"4"	"6"	"3"	"28"	"5"	"10"	"15"	"862"
"74"	"62"	"45"	"645"	"13"	"1"	"2"	"16"	"38"	"10"	"33"	"1"	"2"	"1"	"3"	"3"	"14"	"21"	"11"	"45"	"904"
"75"	"63"	"28"	"308"	"7"	"1"	"0"	"4"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"1"	"2"	"371"
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Assembly Constituency :045---Chhatapur"	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :212169"	""	""	""	""	""	""
"78"	"S.No."	"AKEEL AHMAD"	"NEERAJ KUMAR SINGH"	"BALRAM SINGH YADAV"	"MANOJ KUMAR JAISWAL"	"LALAN KUMAR"	"SHAH JAMAAL"	"GULAB CHAND PASWAN"	"JAI PRAKASH YADAV"	"MAHESH PRASAD MEHTA"	"AMAR NATH MISHRA"	"AMANULLA H KHAN"	"JITENDRA KUMAR SINGH"	"PHEK NARAYAN MANDAL"	"RAMENDRA PRASAD GUPTA"	"RAMESH KUMAR MUKHIYA"	"REETA DEVI"	"VINODA NAND"	"VIPIIN KUMAR YADAV"	"Total Valid Votes"
"79"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"80"	"64"	"84"	"48"	"8"	"0"	"8"	"3"	"11"	"0"	"0"	"3"	"2"	"3"	"0"	"6"	"3"	"14"	"9"	"4"	"206"
"81"	"65"	"253"	"165"	"14"	"2"	"0"	"15"	"28"	"5"	"4"	"1"	"0"	"2"	"0"	"6"	"15"	"21"	"9"	"0"	"540"
"82"	"66"	"105"	"183"	"7"	"0"	"2"	"7"	"38"	"4"	"6"	"2"	"1"	"0"	"0"	"3"	"4"	"8"	"13"	"4"	"387"
"83"	"67"	"243"	"344"	"4"	"2"	"2"	"5"	"20"	"6"	"2"	"0"	"2"	"0"	"1"	"3"	"3"	"8"	"5"	"2"	"652"
"84"	"68"	"117"	"387"	"29"	"1"	"16"	"71"	"35"	"10"	"5"	"2"	"0"	"0"	"2"	"2"	"6"	"6"	"8"	"6"	"703"
"85"	"69"	"181"	"247"	"12"	"1"	"3"	"23"	"29"	"5"	"20"	"0"	"3"	"3"	"3"	"1"	"11"	"22"	"10"	"19"	"593"
"86"	"70"	"146"	"569"	"7"	"5"	"10"	"26"	"39"	"2"	"5"	"4"	"1"	"3"	"0"	"2"	"12"	"9"	"3"	"14"	"857"
"87"	"71"	"20"	"299"	"6"	"4"	"1"	"2"	"15"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"2"	"0"	"356"
"88"	"72"	"91"	"512"	"13"	"0"	"2"	"7"	"38"	"6"	"56"	"2"	"3"	"3"	"4"	"6"	"8"	"23"	"17"	"31"	"822"
"89"	"73"	"147"	"613"	"4"	"2"	"6"	"9"	"40"	"11"	"50"	"1"	"2"	"3"	"3"	"4"	"17"	"21"	"13"	"15"	"961"
"90"	"74"	"127"	"456"	"8"	"2"	"1"	"11"	"26"	"6"	"9"	"4"	"0"	"3"	"2"	"8"	"12"	"31"	"23"	"22"	"751"
"91"	"75"	"99"	"333"	"5"	"6"	"2"	"6"	"36"	"5"	"29"	"3"	"3"	"2"	"1"	"2"	"4"	"15"	"8"	"5"	"564"
"92"	"76"	"289"	"291"	"10"	"2"	"5"	"7"	"29"	"9"	"18"	"1"	"2"	"2"	"2"	"2"	"8"	"19"	"6"	"3"	"705"
"93"	"77"	"57"	"364"	"14"	"0"	"4"	"34"	"38"	"5"	"5"	"2"	"1"	"1"	"2"	"1"	"5"	"3"	"3"	"2"	"541"
"94"	"78"	"368"	"140"	"11"	"2"	"5"	"4"	"12"	"3"	"52"	"6"	"3"	"6"	"1"	"6"	"8"	"21"	"26"	"8"	"682"
"95"	"79"	"19"	"274"	"4"	"0"	"2"	"2"	"23"	"8"	"21"	"2"	"5"	"0"	"6"	"3"	"21"	"24"	"9"	"16"	"439"
"96"	"80"	"6"	"425"	"9"	"1"	"0"	"2"	"17"	"2"	"11"	"0"	"0"	"0"	"2"	"2"	"3"	"4"	"3"	"3"	"490"
"97"	"81"	"56"	"428"	"6"	"2"	"3"	"2"	"35"	"18"	"180"	"1"	"4"	"3"	"5"	"6"	"4"	"14"	"12"	"8"	"787"
"98"	"82"	"600"	"236"	"4"	"0"	"2"	"4"	"10"	"3"	"1"	"0"	"0"	"2"	"1"	"6"	"10"	"35"	"46"	"8"	"968"
"99"	"83"	"42"	"435"	"15"	"3"	"2"	"5"	"32"	"5"	"2"	"1"	"0"	"1"	"4"	"3"	"13"	"12"	"3"	"15"	"593"
"100"	"84"	"83"	"451"	"6"	"2"	"1"	"6"	"20"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"8"	"9"	"2"	"5"	"603"
"101"	"85"	"103"	"737"	"13"	"4"	"2"	"4"	"40"	"5"	"0"	"11"	"0"	"2"	"0"	"3"	"7"	"3"	"2"	"1"	"937"
"102"	"86"	"268"	"268"	"2"	"2"	"4"	"6"	"43"	"5"	"4"	"4"	"0"	"7"	"6"	"2"	"4"	"14"	"11"	"13"	"663"
"103"	"87"	"327"	"274"	"7"	"3"	"1"	"6"	"23"	"5"	"0"	"1"	"0"	"4"	"0"	"2"	"6"	"18"	"18"	"6"	"701"
"104"	"88"	"63"	"137"	"16"	"1"	"14"	"268"	"39"	"9"	"8"	"6"	"7"	"7"	"3"	"3"	"14"	"13"	"9"	"6"	"623"
"105"	"89"	"307"	"257"	"7"	"3"	"2"	"18"	"21"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"4"	"2"	"637"
"106"	"90"	"421"	"142"	"14"	"10"	"3"	"5"	"6"	"7"	"2"	"2"	"1"	"1"	"1"	"1"	"3"	"25"	"12"	"9"	"665"
"107"	"91"	"393"	"117"	"4"	"2"	"0"	"4"	"20"	"9"	"1"	"2"	"1"	"1"	"1"	"3"	"5"	"5"	"8"	"1"	"577"
"108"	"92"	"184"	"456"	"2"	"2"	"2"	"35"	"45"	"3"	"2"	"6"	"0"	"5"	"0"	"3"	"9"	"12"	"14"	"2"	"782"
"109"	"93"	"48"	"334"	"23"	"0"	"2"	"11"	"27"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"8"	"3"	"3"	"4"	"470"
"110"	"94"	"132"	"334"	"10"	"2"	"3"	"5"	"11"	"4"	"1"	"2"	"1"	"1"	"1"	"4"	"5"	"16"	"10"	"4"	"546"
"111"	"95"	"31"	"221"	"8"	"1"	"1"	"4"	"8"	"1"	"4"	"5"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"288"
"112"	"96"	"91"	"275"	"1"	"4"	"10"	"5"	"10"	"5"	"0"	"1"	"0"	"0"	"3"	"2"	"2"	"2"	"9"	"3"	"423"
"113"	"97"	"96"	"228"	"6"	"3"	"2"	"7"	"21"	"4"	"14"	"0"	"1"	"4"	"0"	"3"	"13"	"14"	"7"	"18"	"441"
"114"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Assembly Constituency :045---Chhatapur"	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :212169"	""	""	""	""	""	""
"116"	"S.No."	"AKEEL AHMAD"	"NEERAJ KUMAR SINGH"	"BALRAM SINGH YADAV"	"MANOJ KUMAR JAISWAL"	"LALAN KUMAR"	"SHAH JAMAAL"	"GULAB CHAND PASWAN"	"JAI PRAKASH YADAV"	"MAHESH PRASAD MEHTA"	"AMAR NATH MISHRA"	"AMANULLA H KHAN"	"JITENDRA KUMAR SINGH"	"PHEK NARAYAN MANDAL"	"RAMENDRA PRASAD GUPTA"	"RAMESH KUMAR MUKHIYA"	"REETA DEVI"	"VINODA NAND"	"VIPIIN KUMAR YADAV"	"Total Valid Votes"
"117"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"118"	"98"	"70"	"338"	"8"	"5"	"2"	"1"	"15"	"1"	"0"	"3"	"1"	"1"	"0"	"3"	"5"	"8"	"7"	"7"	"475"
"119"	"99"	"40"	"457"	"9"	"2"	"2"	"1"	"23"	"4"	"0"	"14"	"2"	"3"	"1"	"4"	"2"	"12"	"11"	"8"	"595"
"120"	"100"	"221"	"388"	"9"	"4"	"2"	"9"	"25"	"7"	"4"	"4"	"0"	"2"	"2"	"1"	"3"	"7"	"15"	"5"	"708"
"121"	"101"	"143"	"400"	"6"	"2"	"1"	"2"	"31"	"6"	"8"	"3"	"0"	"2"	"3"	"3"	"9"	"7"	"18"	"9"	"653"
"122"	"102"	"21"	"364"	"9"	"3"	"0"	"3"	"26"	"3"	"6"	"2"	"4"	"0"	"0"	"6"	"18"	"19"	"8"	"29"	"521"
"123"	"103"	"325"	"475"	"9"	"0"	"3"	"4"	"18"	"3"	"2"	"1"	"1"	"5"	"2"	"1"	"10"	"33"	"40"	"14"	"946"
"124"	"104"	"264"	"82"	"7"	"0"	"0"	"7"	"5"	"4"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"5"	"7"	"1"	"387"
"125"	"105"	"225"	"428"	"10"	"2"	"2"	"5"	"40"	"5"	"4"	"4"	"0"	"3"	"1"	"3"	"14"	"25"	"2"	"2"	"775"
"126"	"106"	"105"	"562"	"16"	"2"	"1"	"14"	"45"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"4"	"5"	"10"	"7"	"779"
"127"	"107"	"193"	"157"	"0"	"1"	"0"	"1"	"10"	"1"	"3"	"0"	"2"	"2"	"0"	"3"	"2"	"16"	"6"	"1"	"398"
"128"	"108"	"438"	"154"	"6"	"0"	"0"	"1"	"15"	"3"	"2"	"2"	"0"	"2"	"0"	"1"	"11"	"40"	"18"	"8"	"701"
"129"	"109"	"28"	"232"	"16"	"1"	"10"	"5"	"29"	"8"	"6"	"1"	"2"	"1"	"2"	"4"	"5"	"6"	"2"	"17"	"375"
"130"	"110"	"74"	"500"	"11"	"4"	"4"	"20"	"30"	"15"	"6"	"12"	"7"	"2"	"7"	"10"	"18"	"38"	"14"	"19"	"791"
"131"	"111"	"283"	"127"	"5"	"1"	"3"	"9"	"10"	"4"	"8"	"1"	"1"	"5"	"1"	"0"	"4"	"13"	"2"	"5"	"482"
"132"	"112"	"11"	"388"	"3"	"2"	"0"	"35"	"22"	"6"	"2"	"2"	"0"	"0"	"2"	"0"	"4"	"1"	"8"	"2"	"488"
"133"	"113"	"176"	"133"	"4"	"5"	"1"	"2"	"7"	"4"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	"2"	"0"	"2"	"343"
"134"	"114"	"17"	"95"	"3"	"0"	"0"	"12"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"138"
"135"	"115"	"251"	"391"	"2"	"3"	"1"	"5"	"21"	"6"	"4"	"4"	"2"	"4"	"2"	"7"	"13"	"24"	"41"	"23"	"804"
"136"	"116"	"239"	"190"	"1"	"1"	"1"	"1"	"19"	"5"	"0"	"2"	"1"	"3"	"2"	"4"	"9"	"27"	"31"	"16"	"552"
"137"	"117"	"42"	"441"	"2"	"3"	"2"	"3"	"14"	"5"	"1"	"2"	"0"	"1"	"1"	"3"	"2"	"7"	"7"	"2"	"538"
"138"	"118"	"193"	"691"	"5"	"6"	"6"	"9"	"33"	"3"	"0"	"2"	"1"	"1"	"1"	"0"	"6"	"12"	"5"	"3"	"977"
"139"	"119"	"53"	"694"	"9"	"1"	"3"	"3"	"32"	"9"	"0"	"0"	"0"	"9"	"3"	"4"	"18"	"15"	"0"	"13"	"866"
"140"	"120"	"22"	"591"	"15"	"5"	"0"	"6"	"65"	"7"	"5"	"4"	"5"	"47"	"3"	"2"	"8"	"19"	"10"	"13"	"827"
"141"	"121"	"63"	"382"	"8"	"4"	"4"	"6"	"38"	"4"	"0"	"41"	"2"	"12"	"1"	"9"	"174"	"3"	"2"	"4"	"757"
"142"	"122"	"10"	"192"	"9"	"4"	"0"	"6"	"40"	"14"	"1"	"32"	"2"	"13"	"8"	"9"	"177"	"10"	"1"	"2"	"530"
"143"	"123"	"5"	"88"	"1"	"0"	"1"	"9"	"17"	"1"	"1"	"45"	"2"	"14"	"10"	"11"	"225"	"4"	"0"	"7"	"441"
"144"	"124"	"15"	"341"	"16"	"6"	"0"	"19"	"25"	"6"	"1"	"4"	"1"	"1"	"2"	"3"	"77"	"12"	"4"	"6"	"539"
"145"	"125"	"11"	"281"	"6"	"6"	"1"	"4"	"33"	"3"	"2"	"6"	"1"	"3"	"7"	"4"	"68"	"10"	"1"	"7"	"454"
"146"	"126"	"134"	"451"	"6"	"5"	"4"	"8"	"31"	"9"	"5"	"16"	"2"	"2"	"11"	"6"	"78"	"29"	"10"	"7"	"814"
"147"	"127"	"43"	"719"	"13"	"4"	"5"	"6"	"24"	"4"	"0"	"7"	"5"	"0"	"1"	"4"	"27"	"8"	"4"	"5"	"879"
"148"	"128"	"149"	"122"	"5"	"2"	"0"	"31"	"10"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"8"	"2"	"3"	"340"
"149"	"129"	"27"	"513"	"3"	"1"	"3"	"14"	"26"	"5"	"7"	"4"	"0"	"1"	"6"	"6"	"4"	"10"	"3"	"5"	"638"
"150"	"130"	"54"	"464"	"6"	"3"	"2"	"2"	"15"	"3"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"5"	"4"	"5"	"569"
"151"	"131"	"253"	"465"	"6"	"6"	"0"	"10"	"16"	"8"	"5"	"2"	"40"	"5"	"3"	"5"	"12"	"29"	"29"	"28"	"922"
"152"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Assembly Constituency :045---Chhatapur"	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters :212169"	""	""	""	""	""	""
