"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 163&csygj  fo/kku   l Hkk fuokZpu {ks= esa fo/kku l Hkk l nL;  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼l l anh;   vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ 163&csygj  fo/kku l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 247575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"19"	"10"	"89"	"44"	"6"	"74"	"12"	"4"	"4"	"37"	"2"	"29"	"5"	"14"	"4"	"4"	"328"	"0"	"328"	"0"
"20"	"11"	"119"	"16"	"6"	"69"	"33"	"2"	"2"	"13"	"3"	"28"	"5"	"67"	"5"	"5"	"373"	"0"	"373"	"0"
"21"	"12"	"101"	"7"	"13"	"215"	"5"	"1"	"2"	"28"	"2"	"37"	"10"	"4"	"3"	"9"	"437"	"0"	"437"	"0"
"22"	"13"	"85"	"13"	"4"	"108"	"13"	"3"	"1"	"33"	"4"	"42"	"3"	"16"	"8"	"9"	"342"	"0"	"342"	"0"
"23"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"24"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"25"	"14"	"150"	"15"	"5"	"113"	"16"	"3"	"4"	"13"	"2"	"30"	"2"	"7"	"5"	"19"	"384"	"0"	"384"	"0"
"26"	"15"	"230"	"45"	"19"	"74"	"90"	"6"	"4"	"39"	"3"	"72"	"8"	"23"	"11"	"18"	"642"	"0"	"642"	"0"
"27"	"16"	"155"	"19"	"6"	"105"	"48"	"3"	"0"	"23"	"2"	"25"	"2"	"15"	"4"	"8"	"415"	"0"	"415"	"0"
"28"	"16A"	"170"	"10"	"3"	"8"	"6"	"3"	"1"	"21"	"1"	"20"	"2"	"25"	"5"	"4"	"279"	"0"	"279"	"0"
"29"	"17"	"99"	"10"	"10"	"195"	"8"	"1"	"4"	"14"	"2"	"31"	"2"	"1"	"1"	"4"	"382"	"0"	"382"	"0"
"30"	"18"	"164"	"12"	"4"	"23"	"11"	"2"	"1"	"10"	"1"	"13"	"1"	"10"	"2"	"2"	"256"	"0"	"256"	"0"
"31"	"19"	"118"	"50"	"10"	"97"	"109"	"3"	"4"	"29"	"4"	"24"	"16"	"14"	"8"	"31"	"517"	"0"	"517"	"0"
"32"	"20"	"231"	"11"	"2"	"163"	"2"	"2"	"3"	"14"	"3"	"83"	"9"	"6"	"12"	"31"	"572"	"0"	"572"	"0"
"33"	"21"	"270"	"21"	"12"	"49"	"34"	"5"	"2"	"21"	"3"	"47"	"12"	"3"	"3"	"11"	"493"	"0"	"493"	"0"
"34"	"22"	"166"	"21"	"9"	"52"	"10"	"0"	"1"	"15"	"0"	"18"	"2"	"9"	"6"	"2"	"311"	"0"	"311"	"0"
"35"	"23"	"193"	"18"	"4"	"74"	"11"	"5"	"1"	"23"	"1"	"63"	"11"	"7"	"5"	"11"	"427"	"0"	"427"	"0"
"36"	"24"	"144"	"29"	"9"	"130"	"11"	"3"	"3"	"14"	"2"	"31"	"2"	"3"	"4"	"10"	"395"	"0"	"395"	"0"
"37"	"25"	"217"	"15"	"0"	"20"	"44"	"3"	"3"	"23"	"3"	"36"	"2"	"1"	"3"	"10"	"380"	"0"	"380"	"0"
"38"	"26"	"176"	"13"	"10"	"67"	"24"	"6"	"4"	"14"	"4"	"46"	"6"	"0"	"13"	"2"	"385"	"0"	"385"	"0"
"39"	"27"	"196"	"22"	"11"	"64"	"24"	"0"	"2"	"13"	"3"	"49"	"5"	"11"	"13"	"28"	"441"	"0"	"441"	"0"
"40"	"28"	"166"	"9"	"4"	"18"	"6"	"2"	"2"	"20"	"0"	"40"	"2"	"8"	"2"	"5"	"284"	"0"	"284"	"0"
"41"	"29"	"90"	"60"	"15"	"210"	"134"	"1"	"4"	"28"	"5"	"47"	"5"	"17"	"11"	"14"	"641"	"0"	"641"	"0"
"42"	"30"	"82"	"7"	"7"	"37"	"188"	"3"	"2"	"38"	"3"	"179"	"3"	"5"	"8"	"5"	"567"	"0"	"567"	"0"
"43"	"31"	"167"	"7"	"7"	"15"	"11"	"1"	"2"	"36"	"2"	"198"	"15"	"3"	"6"	"18"	"488"	"0"	"488"	"0"
"44"	"32"	"19"	"16"	"2"	"14"	"6"	"1"	"0"	"22"	"1"	"10"	"0"	"16"	"286"	"6"	"399"	"0"	"399"	"0"
"45"	"33"	"60"	"13"	"6"	"16"	"102"	"2"	"0"	"10"	"0"	"21"	"1"	"57"	"17"	"1"	"306"	"0"	"306"	"0"
"46"	"34"	"70"	"11"	"4"	"85"	"94"	"4"	"4"	"24"	"3"	"26"	"1"	"65"	"37"	"10"	"438"	"0"	"438"	"0"
"47"	"35"	"103"	"6"	"5"	"9"	"154"	"4"	"2"	"27"	"3"	"40"	"5"	"61"	"39"	"13"	"471"	"0"	"471"	"0"
"48"	"36"	"15"	"3"	"3"	"89"	"119"	"4"	"2"	"33"	"4"	"11"	"7"	"170"	"14"	"12"	"486"	"0"	"486"	"0"
"49"	"37"	"59"	"19"	"4"	"20"	"9"	"3"	"3"	"19"	"4"	"30"	"7"	"220"	"14"	"15"	"426"	"0"	"426"	"0"
"50"	"38"	"50"	"9"	"2"	"4"	"56"	"2"	"2"	"45"	"0"	"19"	"6"	"69"	"36"	"10"	"310"	"0"	"310"	"0"
"51"	"39"	"104"	"4"	"2"	"74"	"22"	"4"	"1"	"7"	"1"	"37"	"6"	"3"	"1"	"9"	"275"	"0"	"275"	"0"
"52"	"40"	"93"	"28"	"5"	"77"	"69"	"10"	"4"	"18"	"2"	"29"	"2"	"21"	"6"	"4"	"368"	"0"	"368"	"0"
"53"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"54"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"55"	"41"	"116"	"49"	"5"	"15"	"13"	"1"	"3"	"29"	"2"	"31"	"4"	"138"	"39"	"3"	"448"	"0"	"448"	"0"
"56"	"42"	"37"	"40"	"4"	"54"	"16"	"1"	"2"	"13"	"0"	"25"	"5"	"32"	"7"	"9"	"245"	"0"	"245"	"0"
"57"	"43"	"38"	"11"	"3"	"73"	"33"	"2"	"3"	"42"	"12"	"50"	"8"	"71"	"12"	"16"	"374"	"0"	"374"	"0"
"58"	"44"	"106"	"20"	"2"	"4"	"7"	"0"	"2"	"30"	"0"	"66"	"0"	"26"	"8"	"6"	"277"	"0"	"277"	"0"
"59"	"45"	"148"	"46"	"14"	"185"	"13"	"2"	"3"	"33"	"1"	"61"	"11"	"6"	"14"	"10"	"547"	"0"	"547"	"0"
"60"	"46"	"184"	"13"	"0"	"4"	"4"	"4"	"0"	"20"	"0"	"25"	"1"	"3"	"1"	"1"	"260"	"0"	"260"	"0"
"61"	"47"	"56"	"20"	"2"	"29"	"19"	"2"	"0"	"11"	"1"	"32"	"3"	"8"	"4"	"5"	"192"	"0"	"192"	"0"
"62"	"48"	"100"	"36"	"8"	"152"	"10"	"10"	"9"	"28"	"10"	"77"	"8"	"12"	"6"	"20"	"486"	"0"	"486"	"0"
"63"	"49"	"49"	"16"	"15"	"453"	"14"	"2"	"0"	"4"	"3"	"12"	"4"	"16"	"9"	"9"	"606"	"0"	"606"	"0"
"64"	"50"	"153"	"26"	"11"	"148"	"19"	"4"	"6"	"30"	"1"	"56"	"6"	"10"	"65"	"17"	"552"	"0"	"552"	"0"
"65"	"51"	"159"	"9"	"3"	"125"	"10"	"5"	"3"	"26"	"1"	"31"	"7"	"5"	"3"	"9"	"396"	"0"	"396"	"0"
"66"	"52"	"284"	"7"	"2"	"18"	"1"	"2"	"3"	"9"	"4"	"27"	"2"	"9"	"2"	"2"	"372"	"0"	"372"	"0"
"67"	"53"	"116"	"45"	"2"	"54"	"17"	"3"	"2"	"13"	"0"	"31"	"3"	"41"	"2"	"10"	"339"	"0"	"339"	"0"
"68"	"54"	"107"	"23"	"3"	"16"	"29"	"2"	"2"	"20"	"0"	"26"	"3"	"33"	"28"	"7"	"299"	"0"	"299"	"0"
"69"	"55"	"83"	"10"	"3"	"16"	"56"	"2"	"1"	"23"	"2"	"52"	"2"	"14"	"9"	"4"	"277"	"0"	"277"	"0"
"70"	"56"	"132"	"15"	"1"	"26"	"61"	"4"	"0"	"40"	"3"	"31"	"0"	"10"	"12"	"1"	"336"	"0"	"336"	"0"
"71"	"57"	"178"	"38"	"1"	"16"	"39"	"2"	"2"	"22"	"3"	"35"	"4"	"11"	"4"	"8"	"363"	"0"	"363"	"0"
"72"	"58"	"132"	"95"	"14"	"251"	"37"	"2"	"5"	"35"	"8"	"29"	"9"	"24"	"17"	"27"	"685"	"0"	"685"	"0"
"73"	"59"	"175"	"114"	"5"	"208"	"22"	"2"	"0"	"14"	"1"	"22"	"3"	"6"	"6"	"7"	"585"	"0"	"585"	"0"
"74"	"60"	"81"	"108"	"6"	"6"	"9"	"5"	"2"	"16"	"0"	"25"	"0"	"20"	"41"	"13"	"332"	"0"	"332"	"0"
"75"	"61"	"95"	"451"	"28"	"38"	"12"	"8"	"8"	"33"	"9"	"69"	"14"	"20"	"20"	"27"	"832"	"0"	"832"	"0"
"76"	"62"	"151"	"117"	"31"	"146"	"18"	"14"	"4"	"41"	"2"	"57"	"13"	"14"	"10"	"13"	"631"	"0"	"631"	"0"
"77"	"63"	"49"	"83"	"4"	"21"	"15"	"4"	"4"	"28"	"5"	"38"	"11"	"64"	"100"	"16"	"442"	"0"	"442"	"0"
"78"	"64"	"93"	"124"	"13"	"42"	"56"	"1"	"2"	"26"	"5"	"33"	"7"	"17"	"8"	"6"	"433"	"0"	"433"	"0"
"79"	"65"	"54"	"169"	"9"	"39"	"8"	"2"	"5"	"24"	"2"	"34"	"6"	"31"	"15"	"11"	"409"	"0"	"409"	"0"
"80"	"66"	"30"	"125"	"11"	"20"	"3"	"1"	"1"	"8"	"1"	"8"	"3"	"2"	"4"	"3"	"220"	"0"	"220"	"0"
"81"	"67"	"91"	"167"	"15"	"94"	"11"	"2"	"4"	"26"	"4"	"51"	"16"	"24"	"41"	"32"	"578"	"0"	"578"	"0"
"82"	"68"	"85"	"26"	"6"	"8"	"2"	"1"	"0"	"30"	"3"	"74"	"7"	"13"	"3"	"20"	"278"	"0"	"278"	"0"
"83"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"84"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"85"	"69"	"106"	"11"	"2"	"56"	"7"	"5"	"1"	"26"	"0"	"76"	"3"	"12"	"1"	"5"	"311"	"0"	"311"	"0"
"86"	"70"	"238"	"98"	"14"	"101"	"22"	"8"	"4"	"42"	"4"	"34"	"5"	"9"	"22"	"33"	"634"	"0"	"634"	"0"
"87"	"71"	"217"	"62"	"5"	"14"	"35"	"2"	"3"	"46"	"4"	"77"	"8"	"18"	"14"	"35"	"540"	"0"	"540"	"0"
"88"	"72"	"62"	"15"	"10"	"156"	"9"	"3"	"1"	"8"	"1"	"11"	"2"	"12"	"4"	"9"	"303"	"0"	"303"	"0"
"89"	"73"	"89"	"36"	"16"	"214"	"12"	"1"	"3"	"9"	"7"	"54"	"8"	"16"	"11"	"30"	"506"	"0"	"506"	"0"
"90"	"74"	"220"	"62"	"9"	"33"	"8"	"3"	"6"	"26"	"0"	"37"	"3"	"6"	"5"	"5"	"423"	"0"	"423"	"0"
"91"	"75"	"286"	"22"	"0"	"15"	"1"	"2"	"0"	"21"	"0"	"123"	"4"	"21"	"5"	"3"	"503"	"0"	"503"	"0"
"92"	"76"	"304"	"42"	"2"	"12"	"6"	"3"	"3"	"22"	"2"	"56"	"3"	"2"	"1"	"4"	"462"	"0"	"462"	"0"
"93"	"77"	"60"	"11"	"7"	"120"	"237"	"5"	"1"	"31"	"2"	"19"	"6"	"7"	"4"	"6"	"516"	"0"	"516"	"0"
"94"	"78"	"270"	"13"	"3"	"47"	"127"	"5"	"6"	"38"	"2"	"66"	"3"	"4"	"1"	"5"	"590"	"0"	"590"	"0"
"95"	"79"	"374"	"129"	"21"	"62"	"30"	"2"	"6"	"39"	"2"	"49"	"7"	"19"	"11"	"20"	"771"	"0"	"771"	"0"
"96"	"80"	"122"	"39"	"10"	"76"	"31"	"2"	"7"	"49"	"7"	"62"	"8"	"28"	"26"	"24"	"491"	"0"	"491"	"0"
"97"	"81"	"93"	"132"	"29"	"60"	"9"	"11"	"3"	"24"	"1"	"25"	"6"	"11"	"7"	"26"	"437"	"0"	"437"	"0"
"98"	"81A"	"79"	"23"	"4"	"80"	"45"	"5"	"11"	"21"	"3"	"27"	"8"	"7"	"4"	"23"	"340"	"0"	"340"	"0"
"99"	"82"	"199"	"41"	"15"	"86"	"16"	"8"	"5"	"50"	"7"	"52"	"11"	"81"	"5"	"33"	"609"	"0"	"609"	"0"
"100"	"83"	"127"	"3"	"12"	"198"	"29"	"6"	"5"	"51"	"3"	"36"	"7"	"9"	"8"	"11"	"505"	"0"	"505"	"0"
"101"	"84"	"293"	"10"	"6"	"26"	"38"	"6"	"5"	"25"	"0"	"48"	"3"	"5"	"5"	"12"	"482"	"0"	"482"	"0"
"102"	"85"	"98"	"8"	"6"	"201"	"12"	"4"	"3"	"32"	"1"	"17"	"1"	"4"	"6"	"3"	"396"	"0"	"396"	"0"
"103"	"86"	"136"	"37"	"8"	"81"	"65"	"5"	"7"	"64"	"3"	"66"	"5"	"38"	"4"	"5"	"524"	"0"	"524"	"0"
"104"	"87"	"138"	"37"	"12"	"222"	"6"	"3"	"8"	"44"	"8"	"59"	"12"	"64"	"22"	"44"	"679"	"0"	"679"	"0"
"105"	"88"	"142"	"54"	"7"	"31"	"9"	"8"	"7"	"45"	"5"	"80"	"12"	"141"	"7"	"17"	"565"	"0"	"565"	"0"
"106"	"89"	"187"	"27"	"1"	"5"	"10"	"4"	"6"	"27"	"1"	"28"	"4"	"81"	"4"	"22"	"407"	"0"	"407"	"0"
"107"	"90"	"182"	"23"	"7"	"147"	"13"	"7"	"1"	"18"	"0"	"40"	"2"	"15"	"0"	"5"	"460"	"0"	"460"	"0"
"108"	"91"	"131"	"62"	"15"	"273"	"13"	"2"	"3"	"28"	"5"	"30"	"2"	"22"	"8"	"9"	"603"	"0"	"603"	"0"
"109"	"92"	"161"	"35"	"34"	"194"	"40"	"6"	"6"	"52"	"12"	"91"	"14"	"20"	"8"	"22"	"695"	"0"	"695"	"0"
"110"	"93"	"192"	"142"	"33"	"30"	"5"	"2"	"3"	"23"	"1"	"48"	"8"	"13"	"7"	"29"	"536"	"0"	"536"	"0"
"111"	"94"	"146"	"145"	"109"	"96"	"11"	"8"	"11"	"27"	"7"	"26"	"6"	"10"	"8"	"5"	"615"	"0"	"615"	"0"
"112"	"95"	"102"	"152"	"14"	"93"	"6"	"1"	"3"	"39"	"3"	"30"	"13"	"4"	"10"	"31"	"501"	"0"	"501"	"0"
"113"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"114"	""	"fxfj /kkj h
; kno"	"efgi y ky
i afMr"	"e`R; qat ;
d qekj i afMr"	"j kenso
; kno"	"foy {k. k
j fonkl"	"v Vy
fogkj h"	"VquVqu
nkl"	"cspq
; kno"	"Jh/kj
; kno"	"l qj sUnz
i zl kn xqIr k"	"mes' k
; kno"	"eukst
; kno"	"e`xsUnz
d qekj fl ag"	"j kt
fd ' kksj
i zl kn  mQZ i Ii q  ; kno"	""	""	""	""
"115"	"96"	"203"	"179"	"16"	"85"	"34"	"5"	"0"	"17"	"1"	"33"	"10"	"17"	"12"	"27"	"639"	"0"	"639"	"0"
"116"	"97"	"144"	"345"	"30"	"39"	"7"	"7"	"11"	"31"	"6"	"56"	"10"	"15"	"16"	"27"	"744"	"0"	"744"	"0"
"117"	"98"	"109"	"133"	"27"	"37"	"11"	"5"	"2"	"29"	"1"	"40"	"4"	"14"	"4"	"7"	"423"	"0"	"423"	"0"
"118"	"99"	"29"	"139"	"10"	"14"	"1"	"2"	"0"	"4"	"2"	"10"	"2"	"1"	"0"	"3"	"217"	"0"	"217"	"0"
"119"	"100"	"117"	"6"	"3"	"5"	"33"	"5"	"5"	"49"	"2"	"145"	"15"	"34"	"5"	"9"	"433"	"0"	"433"	"0"
"120"	"101"	"67"	"13"	"7"	"75"	"2"	"4"	"3"	"34"	"4"	"63"	"8"	"31"	"3"	"18"	"332"	"0"	"332"	"0"
"121"	"102"	"54"	"20"	"13"	"46"	"8"	"5"	"4"	"43"	"0"	"106"	"5"	"4"	"1"	"17"	"326"	"0"	"326"	"0"
"122"	"103"	"85"	"6"	"9"	"93"	"7"	"1"	"2"	"37"	"6"	"148"	"10"	"12"	"6"	"15"	"437"	"0"	"437"	"0"
"123"	"104"	"43"	"4"	"3"	"111"	"10"	"4"	"1"	"6"	"1"	"4"	"5"	"54"	"3"	"5"	"254"	"0"	"254"	"0"
"124"	"105"	"11"	"10"	"3"	"138"	"53"	"4"	"1"	"5"	"2"	"3"	"7"	"73"	"1"	"12"	"323"	"0"	"323"	"0"
"125"	"106"	"30"	"11"	"4"	"34"	"4"	"1"	"3"	"14"	"0"	"11"	"3"	"61"	"2"	"7"	"185"	"0"	"185"	"0"
"126"	"107"	"33"	"12"	"9"	"350"	"8"	"8"	"3"	"10"	"1"	"4"	"3"	"109"	"6"	"14"	"570"	"0"	"570"	"0"
"127"	"108"	"47"	"14"	"8"	"241"	"4"	"8"	"3"	"10"	"2"	"12"	"4"	"76"	"2"	"7"	"438"	"0"	"438"	"0"
"128"	"109"	"136"	"1"	"0"	"4"	"5"	"2"	"3"	"8"	"1"	"11"	"2"	"30"	"2"	"3"	"208"	"0"	"208"	"0"
"129"	"110"	"49"	"12"	"11"	"203"	"21"	"285"	"11"	"20"	"8"	"23"	"18"	"92"	"2"	"17"	"772"	"0"	"772"	"0"
"130"	"111"	"71"	"16"	"15"	"316"	"22"	"7"	"4"	"23"	"3"	"15"	"4"	"73"	"1"	"7"	"577"	"0"	"577"	"0"
"131"	"112"	"26"	"9"	"6"	"347"	"5"	"10"	"4"	"5"	"1"	"4"	"9"	"108"	"11"	"27"	"572"	"0"	"572"	"0"
"132"	"113"	"37"	"37"	"0"	"18"	"6"	"5"	"1"	"13"	"1"	"27"	"3"	"44"	"1"	"9"	"202"	"0"	"202"	"0"
"133"	"114"	"157"	"18"	"16"	"61"	"54"	"3"	"5"	"11"	"2"	"39"	"5"	"123"	"11"	"12"	"517"	"0"	"517"	"0"
"134"	"115"	"155"	"12"	"14"	"277"	"50"	"6"	"6"	"34"	"3"	"57"	"6"	"30"	"13"	"27"	"690"	"0"	"690"	"0"
"135"	"116"	"101"	"8"	"0"	"5"	"35"	"1"	"1"	"14"	"4"	"28"	"4"	"179"	"10"	"11"	"401"	"0"	"401"	"0"
"136"	"117"	"43"	"6"	"9"	"47"	"9"	"3"	"2"	"8"	"2"	"11"	"8"	"380"	"10"	"6"	"544"	"0"	"544"	"0"
"137"	"118"	"45"	"7"	"11"	"257"	"7"	"2"	"1"	"3"	"0"	"15"	"0"	"68"	"4"	"4"	"424"	"0"	"424"	"0"
"138"	"119"	"49"	"14"	"18"	"239"	"42"	"8"	"5"	"10"	"3"	"23"	"7"	"126"	"7"	"17"	"568"	"0"	"568"	"0"
"139"	"120"	"94"	"6"	"5"	"11"	"9"	"4"	"2"	"7"	"1"	"12"	"11"	"69"	"11"	"13"	"255"	"0"	"255"	"0"
"140"	"121"	"73"	"10"	"11"	"341"	"2"	"4"	"2"	"1"	"1"	"24"	"4"	"9"	"5"	"16"	"503"	"0"	"503"	"0"
"141"	"122"	"199"	"8"	"8"	"129"	"20"	"1"	"5"	"13"	"2"	"23"	"4"	"22"	"2"	"13"	"449"	"0"	"449"	"0"
"142"	"123"	"61"	"48"	"0"	"7"	"1"	"1"	"4"	"21"	"1"	"34"	"1"	"39"	"15"	"7"	"240"	"0"	"240"	"0"
