"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"39"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"40"	"27"	"1"	"7"	"284"	"130"	"2"	"3"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"0"	"433"	"0"	"433"	"0"
"41"	"28"	"22"	"5"	"101"	"143"	"2"	"18"	"33"	"9"	"8"	"3"	"6"	"7"	"4"	"11"	"372"	"0"	"372"	"0"
"42"	"Total"	"394"	"171"	"3443"	"5171"	"93"	"1623"	"94"	"69"	"85"	"69"	"151"	"221"	"103"	"230"	"11917"	"0"	"11917"	"0"
"43"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"46"	"B.F."	"394"	"171"	"3443"	"5171"	"93"	"1623"	"94"	"69"	"85"	"69"	"151"	"221"	"103"	"230"	"11917"	"0"	"11917"	"0"
"47"	"29"	"4"	"1"	"61"	"677"	"4"	"14"	"4"	"4"	"2"	"2"	"5"	"2"	"0"	"1"	"781"	"0"	"781"	"0"
"48"	"30"	"21"	"2"	"84"	"313"	"1"	"20"	"1"	"1"	"2"	"1"	"7"	"5"	"5"	"21"	"484"	"0"	"484"	"0"
"49"	"31"	"8"	"2"	"36"	"370"	"4"	"18"	"1"	"0"	"14"	"2"	"5"	"8"	"7"	"10"	"485"	"0"	"485"	"0"
"50"	"32"	"2"	"3"	"95"	"154"	"1"	"98"	"2"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"361"	"0"	"361"	"0"
"51"	"33"	"6"	"7"	"161"	"300"	"1"	"50"	"0"	"2"	"3"	"2"	"5"	"9"	"6"	"12"	"564"	"0"	"564"	"0"
"52"	"34"	"7"	"3"	"64"	"270"	"4"	"102"	"4"	"3"	"3"	"3"	"9"	"5"	"3"	"11"	"491"	"0"	"491"	"0"
"53"	"35"	"1"	"5"	"310"	"97"	"4"	"102"	"2"	"3"	"3"	"2"	"1"	"3"	"1"	"3"	"537"	"0"	"537"	"0"
"54"	"36"	"0"	"5"	"419"	"53"	"3"	"8"	"1"	"0"	"1"	"2"	"5"	"11"	"5"	"9"	"522"	"0"	"522"	"0"
"55"	"37"	"18"	"136"	"104"	"71"	"12"	"146"	"11"	"5"	"10"	"6"	"11"	"13"	"11"	"28"	"582"	"0"	"582"	"0"
"56"	"38"	"12"	"6"	"141"	"361"	"10"	"38"	"4"	"0"	"5"	"0"	"1"	"8"	"0"	"4"	"590"	"0"	"590"	"0"
"57"	"39"	"14"	"4"	"221"	"112"	"5"	"45"	"4"	"7"	"3"	"3"	"5"	"17"	"1"	"18"	"459"	"0"	"459"	"0"
"58"	"40"	"6"	"6"	"107"	"209"	"8"	"132"	"3"	"4"	"6"	"2"	"9"	"14"	"4"	"12"	"522"	"0"	"522"	"0"
"59"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"61"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"62"	"41"	"9"	"5"	"212"	"216"	"3"	"56"	"4"	"6"	"3"	"8"	"6"	"10"	"5"	"11"	"554"	"0"	"554"	"0"
"63"	"42"	"14"	"6"	"162"	"279"	"1"	"82"	"7"	"5"	"2"	"4"	"4"	"8"	"2"	"8"	"584"	"0"	"584"	"0"
"64"	"Total"	"516"	"362"	"5620"	"8653"	"154"	"2534"	"142"	"110"	"142"	"107"	"224"	"335"	"154"	"380"	"19433"	"0"	"19433"	"0"
"65"	"B.F."	"516"	"362"	"5620"	"8653"	"154"	"2534"	"142"	"110"	"142"	"107"	"224"	"335"	"154"	"380"	"19433"	"0"	"19433"	"0"
"66"	"43"	"2"	"3"	"172"	"45"	"2"	"21"	"0"	"1"	"2"	"2"	"2"	"10"	"1"	"6"	"269"	"0"	"269"	"0"
"67"	"44"	"7"	"3"	"236"	"91"	"1"	"11"	"4"	"1"	"1"	"0"	"7"	"6"	"6"	"15"	"389"	"0"	"389"	"0"
"68"	"45"	"2"	"1"	"16"	"190"	"9"	"307"	"5"	"0"	"7"	"1"	"7"	"4"	"2"	"6"	"557"	"0"	"557"	"0"
"69"	"46"	"1"	"3"	"82"	"160"	"7"	"207"	"6"	"4"	"0"	"1"	"3"	"4"	"4"	"0"	"482"	"0"	"482"	"0"
"70"	"47"	"5"	"4"	"260"	"291"	"9"	"78"	"5"	"10"	"6"	"3"	"6"	"14"	"10"	"4"	"705"	"0"	"705"	"0"
"71"	"48"	"5"	"7"	"78"	"363"	"5"	"49"	"2"	"6"	"2"	"4"	"7"	"17"	"4"	"15"	"564"	"0"	"564"	"0"
"72"	"49"	"2"	"1"	"89"	"330"	"1"	"14"	"0"	"1"	"0"	"4"	"0"	"4"	"1"	"6"	"453"	"0"	"453"	"0"
"73"	"50"	"7"	"4"	"234"	"245"	"1"	"25"	"1"	"3"	"2"	"1"	"1"	"2"	"0"	"3"	"529"	"0"	"529"	"0"
"74"	"51"	"5"	"4"	"146"	"207"	"4"	"111"	"1"	"2"	"3"	"3"	"2"	"10"	"7"	"45"	"550"	"0"	"550"	"0"
"75"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"77"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"78"	"52"	"0"	"1"	"45"	"254"	"2"	"104"	"2"	"3"	"2"	"3"	"3"	"8"	"1"	"10"	"438"	"0"	"438"	"0"
"79"	"53"	"3"	"4"	"111"	"341"	"5"	"17"	"3"	"2"	"2"	"1"	"1"	"7"	"0"	"1"	"498"	"0"	"498"	"0"
"80"	"54"	"9"	"0"	"19"	"309"	"0"	"9"	"1"	"2"	"2"	"3"	"6"	"5"	"0"	"1"	"366"	"0"	"366"	"0"
"81"	"55"	"5"	"6"	"163"	"256"	"1"	"19"	"4"	"1"	"3"	"1"	"9"	"9"	"6"	"11"	"494"	"0"	"494"	"0"
"82"	"56"	"2"	"1"	"94"	"96"	"2"	"7"	"0"	"0"	"0"	"0"	"3"	"3"	"3"	"4"	"215"	"0"	"215"	"0"
"83"	"Total"	"571"	"404"	"7365"	"11831"	"203"	"3513"	"176"	"146"	"174"	"134"	"281"	"438"	"199"	"507"	"25942"	"0"	"25942"	"0"
"84"	"B.F."	"571"	"404"	"7365"	"11831"	"203"	"3513"	"176"	"146"	"174"	"134"	"281"	"438"	"199"	"507"	"25942"	"0"	"25942"	"0"
"85"	"57"	"25"	"5"	"58"	"417"	"3"	"54"	"2"	"4"	"7"	"2"	"2"	"6"	"2"	"11"	"598"	"0"	"598"	"0"
"86"	"58"	"8"	"2"	"105"	"365"	"1"	"27"	"3"	"3"	"2"	"0"	"3"	"4"	"1"	"1"	"525"	"0"	"525"	"0"
"87"	"59"	"1"	"5"	"71"	"323"	"1"	"18"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"3"	"428"	"0"	"428"	"0"
"88"	"60"	"1"	"2"	"136"	"368"	"4"	"13"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"1"	"533"	"0"	"533"	"0"
"89"	"61"	"3"	"8"	"108"	"314"	"1"	"23"	"6"	"0"	"2"	"2"	"1"	"3"	"3"	"4"	"478"	"0"	"478"	"0"
"90"	"62"	"7"	"3"	"63"	"267"	"2"	"31"	"0"	"10"	"3"	"2"	"2"	"13"	"0"	"6"	"409"	"0"	"409"	"0"
"91"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"93"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"94"	"63"	"3"	"1"	"49"	"207"	"1"	"8"	"0"	"4"	"1"	"1"	"1"	"8"	"2"	"4"	"290"	"0"	"290"	"0"
"95"	"64"	"1"	"8"	"226"	"369"	"3"	"14"	"0"	"3"	"3"	"4"	"4"	"9"	"7"	"6"	"657"	"0"	"657"	"0"
"96"	"65"	"2"	"1"	"72"	"316"	"4"	"86"	"2"	"2"	"0"	"1"	"4"	"5"	"4"	"4"	"503"	"0"	"503"	"0"
"97"	"66"	"4"	"4"	"76"	"204"	"5"	"122"	"3"	"2"	"0"	"1"	"1"	"3"	"1"	"2"	"428"	"0"	"428"	"0"
"98"	"67"	"2"	"12"	"51"	"279"	"4"	"93"	"2"	"2"	"4"	"3"	"2"	"4"	"1"	"4"	"463"	"0"	"463"	"0"
"99"	"68"	"7"	"8"	"41"	"191"	"0"	"55"	"3"	"5"	"1"	"2"	"8"	"7"	"4"	"9"	"341"	"0"	"341"	"0"
"100"	"69"	"7"	"10"	"66"	"172"	"4"	"27"	"3"	"4"	"3"	"3"	"6"	"7"	"4"	"6"	"322"	"0"	"322"	"0"
"101"	"70"	"3"	"4"	"13"	"84"	"2"	"92"	"1"	"0"	"4"	"3"	"1"	"4"	"4"	"10"	"225"	"0"	"225"	"0"
"102"	"Total"	"645"	"477"	"8500"	"15707"	"238"	"4176"	"204"	"187"	"204"	"159"	"317"	"516"	"234"	"578"	"32142"	"0"	"32142"	"0"
"103"	"B.F."	"645"	"477"	"8500"	"15707"	"238"	"4176"	"204"	"187"	"204"	"159"	"317"	"516"	"234"	"578"	"32142"	"0"	"32142"	"0"
"104"	"71"	"8"	"9"	"125"	"74"	"2"	"205"	"7"	"6"	"10"	"4"	"8"	"15"	"4"	"14"	"491"	"0"	"491"	"0"
"105"	"72"	"1"	"8"	"304"	"135"	"1"	"5"	"1"	"5"	"2"	"5"	"1"	"14"	"7"	"15"	"504"	"0"	"504"	"0"
"106"	"73"	"7"	"4"	"242"	"121"	"1"	"7"	"2"	"5"	"0"	"1"	"0"	"2"	"4"	"7"	"403"	"0"	"403"	"0"
"107"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"109"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"110"	"74"	"10"	"5"	"167"	"263"	"8"	"29"	"3"	"3"	"10"	"5"	"10"	"26"	"3"	"24"	"566"	"0"	"566"	"0"
"111"	"75"	"4"	"26"	"398"	"86"	"3"	"81"	"4"	"2"	"2"	"1"	"4"	"15"	"5"	"14"	"645"	"0"	"645"	"0"
"112"	"76"	"9"	"13"	"148"	"256"	"2"	"57"	"3"	"4"	"2"	"4"	"5"	"11"	"6"	"8"	"528"	"0"	"528"	"0"
"113"	"77"	"12"	"11"	"76"	"172"	"2"	"104"	"4"	"0"	"0"	"2"	"6"	"3"	"2"	"5"	"399"	"0"	"399"	"0"
"114"	"78"	"8"	"3"	"212"	"91"	"3"	"169"	"1"	"3"	"2"	"0"	"1"	"4"	"1"	"9"	"507"	"0"	"507"	"0"
"115"	"79"	"1"	"21"	"112"	"133"	"3"	"35"	"2"	"1"	"1"	"2"	"3"	"2"	"0"	"5"	"321"	"0"	"321"	"0"
"116"	"80"	"12"	"8"	"160"	"265"	"8"	"31"	"2"	"2"	"2"	"7"	"19"	"12"	"7"	"15"	"550"	"0"	"550"	"0"
"117"	"81"	"5"	"3"	"59"	"341"	"8"	"134"	"2"	"0"	"5"	"4"	"7"	"14"	"7"	"5"	"594"	"0"	"594"	"0"
"118"	"82"	"11"	"1"	"132"	"73"	"2"	"83"	"4"	"0"	"1"	"1"	"2"	"2"	"1"	"1"	"314"	"0"	"314"	"0"
"119"	"83"	"9"	"1"	"67"	"490"	"4"	"42"	"2"	"3"	"1"	"1"	"16"	"9"	"4"	"5"	"654"	"0"	"654"	"0"
"120"	"84"	"8"	"5"	"358"	"71"	"6"	"10"	"5"	"1"	"4"	"1"	"7"	"12"	"3"	"13"	"504"	"0"	"504"	"0"
"121"	"Total"	"750"	"595"	"11060"	"18278"	"291"	"5168"	"246"	"222"	"246"	"197"	"406"	"657"	"288"	"718"	"39122"	"0"	"39122"	"0"
"122"	"B.F."	"750"	"595"	"11060"	"18278"	"291"	"5168"	"246"	"222"	"246"	"197"	"406"	"657"	"288"	"718"	"39122"	"0"	"39122"	"0"
"123"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"126"	"85"	"5"	"2"	"98"	"267"	"1"	"16"	"1"	"1"	"0"	"1"	"5"	"3"	"2"	"3"	"405"	"0"	"405"	"0"
"127"	"86"	"135"	"7"	"155"	"90"	"5"	"22"	"4"	"0"	"3"	"2"	"1"	"7"	"2"	"18"	"451"	"0"	"451"	"0"
"128"	"87"	"13"	"14"	"220"	"94"	"1"	"45"	"0"	"2"	"1"	"0"	"0"	"6"	"0"	"3"	"399"	"0"	"399"	"0"
"129"	"88"	"52"	"9"	"76"	"111"	"2"	"47"	"1"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"305"	"0"	"305"	"0"
"130"	"89"	"3"	"4"	"41"	"128"	"0"	"24"	"1"	"0"	"1"	"0"	"0"	"3"	"1"	"1"	"207"	"0"	"207"	"0"
"131"	"90"	"3"	"1"	"154"	"103"	"2"	"11"	"0"	"0"	"2"	"1"	"5"	"3"	"3"	"12"	"300"	"0"	"300"	"0"
"132"	"91"	"5"	"1"	"36"	"150"	"3"	"2"	"0"	"1"	"0"	"0"	"2"	"4"	"2"	"4"	"210"	"0"	"210"	"0"
"133"	"92"	"2"	"10"	"56"	"332"	"3"	"22"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"6"	"441"	"0"	"441"	"0"
"134"	"93"	"9"	"5"	"59"	"282"	"10"	"196"	"9"	"5"	"8"	"5"	"6"	"9"	"7"	"12"	"622"	"0"	"622"	"0"
"135"	"94"	"10"	"3"	"47"	"162"	"1"	"32"	"3"	"2"	"0"	"3"	"1"	"12"	"5"	"6"	"287"	"0"	"287"	"0"
"136"	"95"	"38"	"8"	"211"	"244"	"3"	"120"	"5"	"1"	"3"	"1"	"4"	"6"	"4"	"7"	"655"	"0"	"655"	"0"
"137"	"96"	"7"	"6"	"314"	"257"	"7"	"23"	"2"	"5"	"0"	"2"	"7"	"14"	"11"	"20"	"675"	"0"	"675"	"0"
"138"	"97"	"37"	"8"	"100"	"294"	"6"	"140"	"4"	"5"	"2"	"4"	"4"	"13"	"11"	"9"	"637"	"0"	"637"	"0"
"139"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling"	"AJAY RAI"	"PRAMILA SINGH"	"MUNNA RAI"	"RAJESHWAR RAJ"	"SANT PRASAD SINGH"	"ARUN SINGH"	"RISHI KESH RAM"	"RAM RAJ THAKUR"	"RAM SURESH SINGH"	"BINOD KUMAR SINGH"	"SHIV KUMAR RAM"	"SURENDRA PANDEY"	"DHARAM KUMAR SINGH"	"DR. SURYA DEO SINGH"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"141"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"142"	"98"	"14"	"3"	"199"	"143"	"2"	"19"	"1"	"1"	"2"	"0"	"1"	"4"	"1"	"1"	"391"	"0"	"391"	"0"
"143"	"Total"	"1083"	"676"	"12826"	"20935"	"337"	"5887"	"278"	"248"	"270"	"217"	"446"	"742"	"341"	"821"	"45107"	"0"	"45107"	"0"
"144"	"B.F."	"1083"	"676"	"12826"	"20935"	"337"	"5887"	"278"	"248"	"270"	"217"	"446"	"742"	"341"	"821"	"45107"	"0"	"45107"	"0"
"145"	"99"	"4"	"10"	"62"	"271"	"5"	"51"	"1"	"2"	"1"	"6"	"6"	"8"	"2"	"12"	"441"	"0"	"441"	"0"
"146"	"100"	"5"	"5"	"29"	"287"	"3"	"151"	"2"	"3"	"1"	"1"	"3"	"4"	"1"	"1"	"496"	"0"	"496"	"0"
"147"	"101"	"63"	"4"	"95"	"197"	"4"	"159"	"4"	"2"	"3"	"2"	"7"	"5"	"6"	"6"	"557"	"0"	"557"	"0"
"148"	"102"	"5"	"9"	"114"	"225"	"3"	"136"	"2"	"1"	"6"	"0"	"4"	"6"	"2"	"8"	"521"	"0"	"521"	"0"
"149"	"103"	"7"	"7"	"407"	"42"	"2"	"69"	"6"	"4"	"6"	"0"	"2"	"4"	"3"	"15"	"574"	"0"	"574"	"0"
