"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly elections) Name of the Assembly Segment  - 83 - Darbhanga Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment … 227393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"62"	"50"	"48"	"14"	"6"	"331"	"84"	"0"	"3"	"4"	"1"	"3"	"1"	"6"	"453"	"-"	"453"	""
"63"	"51"	"49"	"20"	"8"	"217"	"227"	"10"	"9"	"1"	"4"	"5"	"1"	"3"	"505"	"-"	"505"	""
"64"	"52"	"50"	"32"	"6"	"338"	"313"	"10"	"4"	"7"	"12"	"8"	"4"	"5"	"739"	"-"	"739"	""
"65"	"53"	"51"	"15"	"4"	"108"	"180"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"-"	"310"	""
"66"	"54"	"52"	"13"	"1"	"110"	"360"	"22"	"3"	"3"	"2"	"2"	"0"	"4"	"520"	"-"	"520"	""
"67"	"55"	"53"	"11"	"2"	"154"	"96"	"5"	"2"	"0"	"1"	"5"	"5"	"2"	"283"	"-"	"283"	""
"68"	"56"	"54"	"29"	"3"	"144"	"94"	"3"	"4"	"2"	"4"	"5"	"2"	"6"	"296"	"-"	"296"	""
"69"	"57"	"55"	"4"	"1"	"61"	"101"	"1"	"1"	"1"	"4"	"2"	"2"	"10"	"188"	"-"	"188"	""
"70"	"58"	"56"	"10"	"2"	"219"	"91"	"5"	"1"	"2"	"1"	"3"	"0"	"8"	"342"	"-"	"342"	""
"71"	"59"	"57"	"13"	"2"	"107"	"296"	"12"	"3"	"5"	"13"	"8"	"4"	"18"	"481"	"-"	"481"	""
"72"	"60"	"58"	"13"	"1"	"138"	"218"	"3"	"3"	"1"	"6"	"4"	"3"	"6"	"396"	"-"	"396"	""
"73"	"61"	"58A"	"17"	"2"	"58"	"348"	"7"	"2"	"0"	"3"	"2"	"1"	"5"	"445"	"-"	"445"	""
"74"	"62"	"59"	"26"	"7"	"553"	"169"	"11"	"14"	"1"	"8"	"4"	"4"	"6"	"803"	"-"	"803"	""
"75"	"63"	"60"	"37"	"10"	"356"	"309"	"11"	"10"	"4"	"12"	"7"	"4"	"17"	"777"	"-"	"777"	""
"76"	"64"	"61"	"34"	"4"	"377"	"274"	"16"	"5"	"20"	"19"	"8"	"6"	"24"	"787"	"-"	"787"	""
"77"	"65"	"62"	"20"	"2"	"437"	"134"	"3"	"26"	"6"	"0"	"5"	"2"	"28"	"663"	"-"	"663"	""
"78"	"66"	"63"	"30"	"8"	"493"	"227"	"7"	"9"	"8"	"8"	"6"	"13"	"17"	"826"	"-"	"826"	""
"79"	"67"	"64"	"19"	"10"	"486"	"109"	"10"	"9"	"25"	"7"	"8"	"15"	"20"	"718"	"-"	"718"	""
"80"	"68"	"65"	"30"	"9"	"356"	"200"	"6"	"2"	"2"	"7"	"10"	"5"	"24"	"651"	"-"	"651"	""
"81"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"82"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"83"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"84"	"69"	"66"	"25"	"3"	"342"	"223"	"8"	"9"	"14"	"8"	"10"	"4"	"14"	"660"	"-"	"660"	""
"85"	"70"	"67"	"55"	"4"	"312"	"157"	"3"	"16"	"3"	"5"	"1"	"0"	"10"	"566"	"-"	"566"	""
"86"	"71"	"68"	"27"	"1"	"597"	"98"	"6"	"5"	"3"	"8"	"12"	"3"	"15"	"775"	"-"	"775"	""
"87"	"72"	"69"	"26"	"6"	"467"	"215"	"8"	"7"	"4"	"6"	"15"	"8"	"19"	"781"	"-"	"781"	""
"88"	"73"	"70"	"7"	"3"	"304"	"144"	"6"	"4"	"0"	"1"	"3"	"2"	"8"	"482"	"-"	"482"	""
"89"	"74"	"71"	"16"	"2"	"402"	"38"	"4"	"3"	"1"	"1"	"8"	"3"	"9"	"487"	"-"	"487"	""
"90"	"75"	"72"	"6"	"2"	"412"	"68"	"1"	"3"	"0"	"1"	"5"	"4"	"13"	"515"	"-"	"515"	""
"91"	"76"	"73"	"35"	"4"	"628"	"84"	"8"	"10"	"2"	"3"	"13"	"7"	"15"	"809"	"-"	"809"	""
"92"	"77"	"74"	"30"	"8"	"427"	"194"	"7"	"10"	"3"	"6"	"2"	"2"	"7"	"696"	"-"	"696"	""
"93"	"78"	"75"	"16"	"4"	"430"	"290"	"6"	"10"	"3"	"13"	"7"	"10"	"20"	"809"	"-"	"809"	""
"94"	"79"	"76"	"20"	"2"	"288"	"158"	"3"	"2"	"4"	"3"	"2"	"0"	"12"	"494"	"-"	"494"	""
"95"	"80"	"77"	"22"	"0"	"180"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"7"	"246"	"-"	"246"	""
"96"	"81"	"78"	"15"	"0"	"198"	"20"	"0"	"4"	"11"	"0"	"1"	"2"	"18"	"269"	"-"	"269"	""
"97"	"82"	"79"	"50"	"8"	"382"	"20"	"2"	"1"	"6"	"0"	"4"	"0"	"43"	"516"	"-"	"516"	""
"98"	"83"	"80"	"32"	"10"	"288"	"217"	"9"	"71"	"5"	"14"	"9"	"6"	"6"	"667"	"-"	"667"	""
"99"	"84"	"81"	"29"	"1"	"349"	"31"	"6"	"19"	"4"	"4"	"1"	"3"	"7"	"454"	"-"	"454"	""
"100"	"85"	"82"	"32"	"4"	"326"	"96"	"37"	"40"	"3"	"5"	"2"	"1"	"9"	"555"	"-"	"555"	""
"101"	"86"	"83"	"36"	"6"	"279"	"134"	"9"	"114"	"3"	"3"	"1"	"5"	"21"	"611"	"-"	"611"	""
"102"	"87"	"84"	"17"	"0"	"327"	"149"	"8"	"4"	"4"	"5"	"5"	"1"	"16"	"536"	"-"	"536"	""
"103"	"88"	"85"	"15"	"3"	"255"	"61"	"7"	"10"	"5"	"5"	"2"	"5"	"16"	"384"	"-"	"384"	""
"104"	"89"	"86"	"18"	"3"	"370"	"110"	"10"	"11"	"4"	"11"	"11"	"6"	"26"	"580"	"-"	"580"	""
"105"	"90"	"87"	"17"	"1"	"167"	"118"	"12"	"23"	"12"	"10"	"8"	"3"	"9"	"380"	"-"	"380"	""
"106"	"91"	"88"	"23"	"3"	"297"	"57"	"11"	"8"	"7"	"12"	"4"	"4"	"3"	"429"	"-"	"429"	""
"107"	"92"	"89"	"11"	"5"	"276"	"139"	"6"	"11"	"13"	"4"	"2"	"5"	"4"	"476"	"-"	"476"	""
"108"	"93"	"90"	"35"	"8"	"249"	"57"	"1"	"1"	"2"	"1"	"0"	"0"	"7"	"361"	"-"	"361"	""
"109"	"94"	"91"	"16"	"24"	"172"	"147"	"8"	"6"	"2"	"1"	"4"	"1"	"7"	"388"	"-"	"388"	""
"110"	"95"	"92"	"20"	"14"	"153"	"86"	"5"	"2"	"2"	"1"	"0"	"0"	"2"	"285"	"-"	"285"	""
"111"	"96"	"93"	"20"	"4"	"224"	"195"	"8"	"5"	"4"	"7"	"3"	"4"	"9"	"483"	"-"	"483"	""
"112"	"97"	"94"	"24"	"3"	"239"	"35"	"3"	"3"	"3"	"1"	"2"	"1"	"9"	"323"	"-"	"323"	""
"113"	"98"	"95"	"23"	"5"	"244"	"60"	"6"	"15"	"2"	"6"	"3"	"1"	"15"	"380"	"-"	"380"	""
"114"	"99"	"96"	"33"	"2"	"245"	"41"	"5"	"0"	"2"	"1"	"2"	"1"	"9"	"341"	"-"	"341"	""
"115"	"100"	"97"	"7"	"0"	"191"	"81"	"4"	"0"	"0"	"28"	"0"	"1"	"4"	"316"	"-"	"316"	""
"116"	"101"	"98"	"38"	"10"	"250"	"323"	"9"	"3"	"13"	"8"	"7"	"2"	"8"	"671"	"-"	"671"	""
"117"	"102"	"99"	"12"	"1"	"351"	"41"	"0"	"2"	"6"	"1"	"1"	"0"	"13"	"428"	"-"	"428"	""
"118"	"103"	"100"	"14"	"0"	"187"	"43"	"1"	"0"	"1"	"5"	"2"	"0"	"17"	"270"	"-"	"270"	""
"119"	"104"	"101"	"22"	"5"	"256"	"50"	"2"	"4"	"2"	"0"	"5"	"2"	"6"	"354"	"-"	"354"	""
"120"	"105"	"101A"	"30"	"4"	"366"	"33"	"4"	"1"	"4"	"0"	"2"	"2"	"7"	"453"	"-"	"453"	""
"121"	"106"	"102"	"35"	"0"	"369"	"22"	"2"	"3"	"0"	"2"	"2"	"2"	"4"	"441"	"-"	"441"	""
"122"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"123"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"124"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"125"	"107"	"102A"	"19"	"2"	"342"	"18"	"0"	"1"	"0"	"1"	"1"	"1"	"6"	"391"	"-"	"391"	""
"126"	"108"	"103"	"23"	"9"	"83"	"127"	"3"	"2"	"1"	"1"	"1"	"0"	"2"	"252"	"-"	"252"	""
"127"	"109"	"104"	"35"	"5"	"399"	"78"	"5"	"4"	"1"	"1"	"5"	"1"	"18"	"552"	"-"	"552"	""
"128"	"110"	"105"	"74"	"46"	"432"	"73"	"2"	"1"	"4"	"3"	"8"	"2"	"38"	"683"	"-"	"683"	""
"129"	"111"	"106"	"23"	"5"	"530"	"48"	"4"	"2"	"3"	"3"	"11"	"1"	"31"	"661"	"-"	"661"	""
"130"	"112"	"107"	"292"	"6"	"384"	"86"	"2"	"6"	"2"	"1"	"5"	"4"	"42"	"830"	"-"	"830"	""
"131"	"113"	"108"	"184"	"4"	"195"	"85"	"5"	"7"	"1"	"1"	"1"	"0"	"37"	"520"	"-"	"520"	""
"132"	"114"	"109"	"107"	"6"	"226"	"235"	"5"	"3"	"1"	"3"	"1"	"0"	"6"	"593"	"-"	"593"	""
"133"	"115"	"110"	"136"	"5"	"394"	"116"	"2"	"17"	"2"	"4"	"7"	"1"	"15"	"699"	"-"	"699"	""
"134"	"116"	"111"	"18"	"2"	"377"	"28"	"1"	"9"	"3"	"2"	"4"	"1"	"7"	"452"	"-"	"452"	""
"135"	"117"	"112"	"15"	"1"	"351"	"18"	"2"	"13"	"2"	"1"	"5"	"0"	"5"	"413"	"-"	"413"	""
"136"	"118"	"113"	"19"	"3"	"538"	"142"	"0"	"8"	"1"	"0"	"1"	"1"	"5"	"718"	"-"	"718"	""
"137"	"119"	"114"	"9"	"1"	"278"	"14"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"306"	"-"	"306"	""
"138"	"120"	"115"	"44"	"4"	"358"	"111"	"3"	"4"	"1"	"0"	"3"	"0"	"1"	"529"	"-"	"529"	""
"139"	"121"	"116"	"164"	"6"	"378"	"143"	"7"	"29"	"2"	"4"	"9"	"7"	"10"	"759"	"-"	"759"	""
"140"	"122"	"117"	"65"	"0"	"381"	"36"	"2"	"18"	"0"	"3"	"7"	"1"	"7"	"520"	"-"	"520"	""
"141"	"123"	"118"	"76"	"4"	"391"	"46"	"5"	"80"	"13"	"2"	"11"	"8"	"12"	"648"	"-"	"648"	""
"142"	"124"	"119"	"29"	"4"	"422"	"39"	"7"	"48"	"5"	"5"	"10"	"2"	"6"	"577"	"-"	"577"	""
"143"	"125"	"120"	"15"	"1"	"290"	"71"	"5"	"5"	"8"	"6"	"5"	"3"	"18"	"427"	"-"	"427"	""
"144"	"126"	"121"	"30"	"5"	"309"	"111"	"1"	"8"	"5"	"5"	"4"	"0"	"12"	"490"	"-"	"490"	""
"145"	"127"	"122"	"42"	"3"	"532"	"51"	"2"	"3"	"8"	"1"	"10"	"3"	"9"	"664"	"-"	"664"	""
"146"	"128"	"123"	"49"	"2"	"478"	"151"	"2"	"1"	"17"	"6"	"3"	"3"	"8"	"720"	"-"	"720"	""
"147"	"129"	"124"	"62"	"11"	"629"	"31"	"7"	"3"	"5"	"5"	"5"	"1"	"17"	"776"	"-"	"776"	""
"148"	"130"	"125"	"51"	"7"	"476"	"168"	"6"	"3"	"10"	"7"	"11"	"1"	"8"	"748"	"-"	"748"	""
"149"	"131"	"126"	"13"	"2"	"125"	"8"	"0"	"1"	"5"	"0"	"2"	"0"	"3"	"159"	"-"	"159"	""
"150"	"132"	"127"	"22"	"6"	"345"	"175"	"11"	"16"	"16"	"11"	"13"	"10"	"14"	"639"	"-"	"639"	""
"151"	"133"	"127A"	"19"	"4"	"315"	"77"	"7"	"10"	"8"	"3"	"5"	"1"	"10"	"459"	"-"	"459"	""
"152"	"134"	"128"	"58"	"2"	"390"	"76"	"3"	"3"	"32"	"9"	"6"	"5"	"5"	"589"	"-"	"589"	""
"153"	"135"	"129"	"34"	"9"	"384"	"407"	"9"	"11"	"15"	"7"	"13"	"7"	"6"	"902"	"-"	"902"	""
"154"	"136"	"130"	"43"	"1"	"312"	"63"	"3"	"9"	"9"	"3"	"5"	"2"	"8"	"458"	"-"	"458"	""
"155"	"137"	"131"	"19"	"3"	"331"	"100"	"2"	"5"	"7"	"3"	"4"	"1"	"7"	"482"	"-"	"482"	""
"156"	"138"	"132"	"43"	"2"	"258"	"423"	"19"	"5"	"4"	"11"	"12"	"3"	"22"	"802"	"-"	"802"	""
"157"	"139"	"133"	"22"	"6"	"141"	"280"	"8"	"0"	"1"	"4"	"6"	"2"	"4"	"474"	"-"	"474"	""
"158"	"140"	"134"	"33"	"2"	"433"	"132"	"8"	"3"	"5"	"6"	"5"	"6"	"12"	"645"	"-"	"645"	""
"159"	"141"	"135"	"19"	"2"	"430"	"104"	"7"	"9"	"5"	"6"	"14"	"8"	"13"	"617"	"-"	"617"	""
"160"	"142"	"136"	"13"	"2"	"266"	"44"	"2"	"21"	"1"	"1"	"2"	"2"	"4"	"358"	"-"	"358"	""
"161"	"143"	"137"	"16"	"2"	"399"	"148"	"3"	"12"	"5"	"6"	"10"	"1"	"6"	"608"	"-"	"608"	""
"162"	"144"	"138"	"12"	"2"	"276"	"46"	"0"	"4"	"1"	"1"	"2"	"2"	"7"	"353"	"-"	"353"	""
"163"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"164"	""	""	"Qamrul Hasan"	"Rakesh Nath Jha"	"Sanjay Saraogi"	"Sultan Ahmad"	"Krishna Kumar Suman Yadav"	"Navin Khattik"	"Rabindr a Kumar Dutta"	"Lal  Babu Mahto"	"Durganand Mahavir Nayak"	"Bharat Yadav"	"Bijay Shankar
Choudhary"	""	""	""	""
"165"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"17"	"18"	"19"	"20"
"166"	"145"	"139"	"14"	"3"	"552"	"91"	"2"	"4"	"5"	"0"	"9"	"1"	"2"	"683"	"-"	"683"	""
"167"	"146"	"140"	"26"	"2"	"404"	"117"	"2"	"4"	"3"	"0"	"1"	"1"	"1"	"561"	"-"	"561"	""
"168"	"147"	"141"	"46"	"3"	"497"	"143"	"3"	"4"	"3"	"3"	"5"	"5"	"11"	"723"	"-"	"723"	""
"169"	"148"	"142"	"25"	"1"	"251"	"86"	"2"	"0"	"5"	"1"	"1"	"2"	"4"	"378"	"-"	"378"	""
"170"	"149"	"143"	"42"	"1"	"72"	"269"	"3"	"1"	"0"	"3"	"2"	"2"	"5"	"400"	"-"	"400"	""
"171"	"150"	"144"	"53"	"3"	"158"	"286"	"6"	"9"	"2"	"3"	"0"	"0"	"3"	"523"	"-"	"523"	""
"172"	"151"	"145"	"23"	"1"	"120"	"82"	"3"	"7"	"1"	"2"	"0"	"1"	"11"	"251"	"-"	"251"	""
"173"	"152"	"146"	"27"	"2"	"481"	"145"	"6"	"6"	"7"	"4"	"2"	"0"	"5"	"685"	"-"	"685"	""
"174"	"153"	"147"	"29"	"0"	"121"	"207"	"4"	"11"	"3"	"5"	"5"	"0"	"13"	"398"	"-"	"398"	""
"175"	"154"	"148"	"19"	"3"	"345"	"29"	"1"	"1"	"1"	"0"	"3"	"1"	"5"	"408"	"-"	"408"	""
"176"	"155"	"149"	"50"	"3"	"486"	"31"	"2"	"0"	"1"	"1"	"0"	"2"	"12"	"588"	"-"	"588"	""
"177"	"156"	"150"	"48"	"2"	"343"	"75"	"2"	"1"	"1"	"1"	"3"	"3"	"4"	"483"	"-"	"483"	""
"178"	"157"	"151"	"11"	"1"	"350"	"252"	"4"	"5"	"2"	"5"	"7"	"2"	"7"	"646"	"-"	"646"	""
"179"	"158"	"152"	"38"	"0"	"558"	"99"	"3"	"36"	"1"	"1"	"8"	"5"	"8"	"757"	"-"	"757"	""
"180"	"159"	"153"	"14"	"0"	"151"	"370"	"8"	"1"	"3"	"5"	"2"	"5"	"9"	"568"	"-"	"568"	""
"181"	"160"	"154"	"23"	"2"	"162"	"111"	"0"	"1"	"3"	"1"	"1"	"0"	"3"	"307"	"-"	"307"	""
