"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"89"	"82"	"2"	"13"	"263"	"5"	"1"	"1"	"2"	"11"	"0"	"2"	"300"
"90"	"83"	"9"	"53"	"677"	"12"	"1"	"0"	"3"	"9"	"1"	"4"	"769"
"91"	"84"	"18"	"240"	"161"	"8"	"3"	"4"	"3"	"11"	"3"	"10"	"461"
"92"	"85"	"20"	"378"	"112"	"6"	"1"	"3"	"4"	"11"	"13"	"13"	"561"
"93"	"86"	"194"	"62"	"308"	"13"	"4"	"3"	"5"	"5"	"11"	"15"	"620"
"94"	"87"	"13"	"153"	"430"	"11"	"2"	"4"	"7"	"8"	"4"	"27"	"659"
"95"	"88"	"25"	"89"	"573"	"10"	"3"	"3"	"13"	"26"	"4"	"16"	"762"
"96"	"89"	"23"	"108"	"421"	"10"	"2"	"6"	"13"	"20"	"8"	"14"	"625"
"97"	"90"	"22"	"52"	"482"	"5"	"1"	"2"	"9"	"13"	"4"	"5"	"595"
"98"	"91"	"18"	"84"	"535"	"11"	"3"	"5"	"9"	"16"	"9"	"13"	"703"
"99"	"92"	"13"	"62"	"498"	"23"	"1"	"5"	"7"	"14"	"5"	"13"	"641"
"100"	"93"	"16"	"59"	"521"	"9"	"1"	"4"	"9"	"14"	"3"	"23"	"659"
"101"	"94"	"9"	"40"	"583"	"5"	"3"	"3"	"4"	"19"	"2"	"7"	"675"
"102"	"95"	"7"	"309"	"108"	"2"	"1"	"1"	"3"	"4"	"13"	"12"	"460"
"103"	"96"	"10"	"155"	"366"	"10"	"3"	"4"	"8"	"11"	"5"	"22"	"594"
"104"	"97"	"13"	"321"	"225"	"6"	"1"	"3"	"2"	"14"	"4"	"18"	"607"
"105"	"98"	"15"	"333"	"117"	"8"	"2"	"5"	"1"	"9"	"8"	"13"	"511"
"106"	"99"	"30"	"259"	"408"	"24"	"4"	"6"	"8"	"20"	"7"	"9"	"775"
"107"	"100"	"11"	"119"	"326"	"13"	"3"	"4"	"12"	"30"	"10"	"27"	"555"
"108"	"101"	"18"	"417"	"287"	"16"	"5"	"7"	"12"	"9"	"11"	"12"	"794"
"109"	"102"	"17"	"336"	"155"	"4"	"0"	"1"	"5"	"5"	"6"	"11"	"540"
"110"	"103"	"19"	"549"	"23"	"2"	"2"	"4"	"1"	"8"	"16"	"16"	"640"
"111"	"104"	"41"	"665"	"66"	"2"	"3"	"1"	"1"	"7"	"10"	"9"	"805"
"112"	"105"	"14"	"505"	"132"	"4"	"1"	"3"	"1"	"4"	"2"	"4"	"670"
"113"	"106"	"40"	"475"	"27"	"1"	"2"	"2"	"0"	"3"	"9"	"12"	"571"
"114"	"107"	"36"	"255"	"260"	"7"	"0"	"7"	"8"	"10"	"3"	"10"	"596"
"115"	"108"	"4"	"643"	"6"	"0"	"1"	"2"	"0"	"1"	"5"	"5"	"667"
"116"	"109"	"8"	"474"	"31"	"4"	"2"	"3"	"1"	"0"	"1"	"4"	"528"
"117"	"110"	"7"	"381"	"42"	"3"	"0"	"1"	"1"	"2"	"4"	"4"	"445"
"118"	"111"	"9"	"415"	"80"	"3"	"0"	"2"	"1"	"4"	"5"	"7"	"526"
"119"	"112"	"2"	"556"	"24"	"1"	"0"	"0"	"1"	"0"	"2"	"5"	"591"
"120"	"113"	"3"	"462"	"58"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"528"
"121"	"114"	"13"	"268"	"36"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"325"
"122"	"115"	"10"	"751"	"30"	"1"	"0"	"1"	"1"	"3"	"4"	"7"	"808"
"123"	"116"	"14"	"241"	"32"	"4"	"1"	"4"	"1"	"1"	"2"	"4"	"304"
"124"	"117"	"14"	"623"	"16"	"3"	"0"	"3"	"1"	"1"	"5"	"10"	"676"
"125"	"118"	"5"	"565"	"8"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"581"
"126"	"119"	"15"	"255"	"327"	"4"	"0"	"4"	"8"	"13"	"3"	"24"	"653"
"127"	"120"	"15"	"249"	"214"	"44"	"4"	"4"	"3"	"8"	"3"	"7"	"551"
"128"	"121"	"3"	"769"	"9"	"4"	"0"	"0"	"1"	"0"	"0"	"5"	"791"
"129"	"122"	"28"	"590"	"14"	"2"	"4"	"3"	"4"	"3"	"2"	"1"	"651"
"130"	"123"	"17"	"676"	"47"	"5"	"0"	"1"	"1"	"0"	"0"	"3"	"750"
"131"	"124"	"14"	"630"	"51"	"2"	"2"	"2"	"2"	"3"	"10"	"8"	"724"
"132"	"125"	"11"	"460"	"98"	"2"	"1"	"2"	"1"	"3"	"9"	"14"	"601"
"133"	"126"	"10"	"452"	"29"	"1"	"0"	"2"	"0"	"1"	"7"	"9"	"511"
"134"	"127"	"7"	"59"	"287"	"17"	"2"	"4"	"3"	"14"	"5"	"11"	"409"
"135"	"128"	"10"	"43"	"476"	"7"	"4"	"2"	"12"	"21"	"10"	"34"	"619"
"136"	"129"	"4"	"22"	"701"	"8"	"0"	"1"	"6"	"11"	"5"	"16"	"774"
"137"	"130"	"7"	"5"	"281"	"3"	"1"	"1"	"3"	"11"	"1"	"4"	"317"
"138"	"131"	"3"	"67"	"447"	"2"	"0"	"3"	"11"	"19"	"6"	"18"	"576"
"139"	"132"	"19"	"97"	"320"	"4"	"4"	"4"	"2"	"7"	"2"	"11"	"470"
"140"	"133"	"25"	"200"	"227"	"5"	"5"	"2"	"9"	"8"	"12"	"22"	"515"
"141"	"134"	"20"	"94"	"597"	"13"	"4"	"3"	"6"	"21"	"5"	"22"	"785"
"142"	"135"	"44"	"328"	"441"	"6"	"5"	"2"	"4"	"17"	"3"	"15"	"865"
"143"	"136"	"27"	"318"	"235"	"7"	"1"	"4"	"2"	"9"	"8"	"12"	"623"
"144"	"137"	"24"	"192"	"209"	"4"	"2"	"2"	"5"	"12"	"5"	"8"	"463"
"145"	"138"	"48"	"275"	"318"	"11"	"4"	"4"	"9"	"12"	"10"	"13"	"704"
"146"	"139"	"321"	"272"	"140"	"4"	"4"	"5"	"6"	"8"	"11"	"12"	"783"
"147"	"140"	"11"	"308"	"483"	"12"	"3"	"7"	"10"	"23"	"13"	"35"	"905"
"148"	"141"	"140"	"146"	"212"	"5"	"1"	"1"	"5"	"3"	"1"	"6"	"520"
"149"	"142"	"17"	"118"	"241"	"4"	"2"	"1"	"4"	"4"	"5"	"9"	"405"
"150"	"143"	"118"	"60"	"598"	"10"	"5"	"2"	"10"	"11"	"4"	"23"	"841"
"151"	"144"	"7"	"100"	"111"	"4"	"1"	"1"	"5"	"2"	"6"	"5"	"242"
"152"	"145"	"16"	"128"	"549"	"12"	"2"	"2"	"3"	"15"	"9"	"17"	"753"
"153"	"146"	"17"	"152"	"327"	"10"	"1"	"3"	"4"	"8"	"6"	"15"	"543"
"154"	"147"	"15"	"17"	"398"	"5"	"0"	"1"	"3"	"11"	"3"	"5"	"458"
"155"	"148"	"378"	"71"	"268"	"2"	"3"	"2"	"4"	"7"	"4"	"22"	"761"
"156"	"149"	"304"	"150"	"174"	"3"	"1"	"3"	"10"	"14"	"11"	"29"	"699"
"157"	"150"	"2"	"43"	"420"	"3"	"0"	"3"	"1"	"3"	"1"	"6"	"482"
"158"	"151"	"8"	"66"	"480"	"8"	"3"	"3"	"5"	"19"	"3"	"23"	"618"
"159"	"152"	"508"	"173"	"68"	"15"	"5"	"6"	"2"	"8"	"12"	"30"	"827"
"160"	"153"	"56"	"125"	"408"	"18"	"3"	"5"	"15"	"17"	"5"	"21"	"673"
"161"	"154"	"29"	"174"	"420"	"9"	"4"	"0"	"4"	"23"	"3"	"7"	"673"
"162"	"155"	"25"	"198"	"652"	"20"	"2"	"8"	"11"	"22"	"12"	"42"	"992"
"163"	"156"	"16"	"185"	"292"	"14"	"4"	"2"	"6"	"12"	"8"	"22"	"561"
"164"	"157"	"8"	"158"	"104"	"13"	"0"	"1"	"4"	"4"	"6"	"4"	"302"
"165"	"158"	"11"	"27"	"361"	"16"	"1"	"4"	"7"	"13"	"2"	"19"	"461"
"166"	"158A"	"14"	"143"	"183"	"3"	"4"	"4"	"3"	"7"	"5"	"12"	"378"
"167"	"159"	"24"	"225"	"135"	"3"	"1"	"1"	"2"	"2"	"2"	"0"	"395"
"168"	"160"	"32"	"472"	"43"	"2"	"6"	"0"	"0"	"2"	"6"	"5"	"568"
"169"	"161"	"8"	"174"	"202"	"6"	"1"	"5"	"5"	"15"	"5"	"15"	"436"
"170"	"162"	"46"	"334"	"115"	"2"	"2"	"1"	"1"	"0"	"4"	"5"	"510"
"171"	"163"	"3"	"581"	"9"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"599"
"172"	"164"	"28"	"667"	"80"	"2"	"0"	"2"	"3"	"2"	"17"	"20"	"821"
"173"	"165"	"16"	"36"	"505"	"18"	"2"	"5"	"3"	"12"	"2"	"6"	"605"
"174"	"166"	"21"	"22"	"408"	"9"	"3"	"1"	"3"	"4"	"2"	"7"	"480"
"175"	"167"	"6"	"161"	"125"	"3"	"1"	"2"	"2"	"4"	"0"	"0"	"304"
"176"	"168"	"20"	"461"	"100"	"9"	"2"	"0"	"3"	"5"	"6"	"5"	"611"
"177"	"169"	"19"	"465"	"92"	"0"	"2"	"0"	"2"	"7"	"6"	"4"	"597"
"178"	"170"	"7"	"556"	"2"	"0"	"1"	"0"	"0"	"0"	"9"	"6"	"581"
"179"	"171"	"11"	"767"	"20"	"4"	"0"	"0"	"1"	"1"	"9"	"6"	"819"
"180"	"172"	"12"	"119"	"482"	"11"	"4"	"1"	"4"	"10"	"9"	"25"	"677"
"181"	"173"	"29"	"235"	"447"	"9"	"0"	"2"	"11"	"12"	"3"	"14"	"762"
"182"	"174"	"27"	"307"	"200"	"3"	"3"	"1"	"1"	"10"	"11"	"22"	"585"
"183"	"175"	"25"	"315"	"314"	"58"	"5"	"1"	"9"	"8"	"4"	"11"	"750"
"184"	"176"	"80"	"196"	"395"	"7"	"3"	"5"	"12"	"22"	"8"	"14"	"742"
"185"	"177"	"175"	"106"	"145"	"3"	"1"	"0"	"5"	"8"	"4"	"7"	"454"
"186"	"178"	"26"	"145"	"333"	"36"	"4"	"3"	"10"	"6"	"9"	"8"	"580"
"187"	"179"	"35"	"338"	"205"	"8"	"1"	"3"	"11"	"17"	"13"	"15"	"646"
"188"	"180"	"146"	"427"	"34"	"4"	"3"	"4"	"1"	"2"	"14"	"13"	"648"
"189"	"181"	"63"	"219"	"19"	"2"	"0"	"3"	"0"	"3"	"2"	"8"	"319"
"190"	"182"	"260"	"147"	"33"	"1"	"2"	"4"	"3"	"2"	"5"	"13"	"470"
"191"	"183"	"111"	"202"	"452"	"14"	"5"	"4"	"12"	"22"	"10"	"36"	"868"
"192"	"184"	"28"	"123"	"266"	"8"	"4"	"2"	"1"	"5"	"0"	"1"	"438"
"193"	"185"	"171"	"314"	"261"	"11"	"6"	"0"	"7"	"8"	"6"	"9"	"793"
"194"	"186"	"306"	"227"	"266"	"4"	"1"	"4"	"7"	"9"	"7"	"16"	"847"
"195"	"187"	"9"	"313"	"88"	"6"	"0"	"0"	"1"	"2"	"2"	"2"	"423"
"196"	"188"	"23"	"27"	"529"	"14"	"8"	"2"	"7"	"25"	"5"	"13"	"653"
"197"	"189"	"11"	"55"	"628"	"6"	"5"	"0"	"6"	"20"	"9"	"12"	"752"
"198"	"190"	"67"	"168"	"529"	"10"	"0"	"1"	"12"	"14"	"3"	"15"	"819"
"199"	"191"	"23"	"230"	"291"	"17"	"4"	"2"	"5"	"12"	"10"	"17"	"611"
"200"	"192"	"0"	"620"	"6"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"629"
"201"	"193"	"15"	"24"	"478"	"2"	"2"	"2"	"6"	"9"	"0"	"8"	"546"
"202"	"194"	"9"	"23"	"657"	"3"	"0"	"0"	"4"	"18"	"4"	"4"	"722"
"203"	"195"	"7"	"276"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"298"
"204"	"196"	"30"	"286"	"179"	"69"	"4"	"6"	"9"	"8"	"12"	"27"	"630"
"205"	"197"	"7"	"225"	"70"	"2"	"1"	"3"	"0"	"4"	"1"	"8"	"321"
"206"	"198"	"6"	"512"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"529"
"207"	"199"	"13"	"101"	"462"	"16"	"1"	"4"	"7"	"10"	"2"	"11"	"627"
"208"	"200"	"19"	"9"	"782"	"6"	"1"	"4"	"9"	"7"	"1"	"1"	"839"
"209"	"201"	"22"	"202"	"370"	"15"	"2"	"6"	"11"	"15"	"10"	"28"	"681"
"210"	"202"	"13"	"28"	"585"	"7"	"2"	"4"	"9"	"12"	"3"	"4"	"667"
"211"	"203"	"8"	"21"	"451"	"12"	"1"	"1"	"3"	"4"	"4"	"8"	"513"
"212"	"204"	"12"	"55"	"415"	"13"	"1"	"3"	"0"	"6"	"2"	"21"	"528"
"213"	"205"	"20"	"19"	"498"	"6"	"4"	"1"	"3"	"20"	"3"	"7"	"581"
"214"	"206"	"34"	"298"	"237"	"3"	"8"	"5"	"7"	"12"	"10"	"22"	"636"
"215"	"207"	"15"	"71"	"197"	"3"	"1"	"3"	"3"	"5"	"0"	"7"	"305"
"216"	"208"	"71"	"188"	"285"	"16"	"2"	"2"	"4"	"10"	"3"	"11"	"592"
"217"	"209"	"40"	"280"	"32"	"1"	"2"	"4"	"3"	"3"	"6"	"4"	"375"
"218"	"209A"	"13"	"299"	"82"	"2"	"0"	"2"	"1"	"3"	"13"	"16"	"431"
"219"	"210"	"20"	"200"	"518"	"11"	"2"	"7"	"3"	"14"	"3"	"5"	"783"
"220"	"211"	"10"	"515"	"72"	"6"	"1"	"4"	"3"	"5"	"1"	"1"	"618"
"221"	"212"	"11"	"470"	"14"	"2"	"0"	"1"	"2"	"6"	"3"	"4"	"513"
"222"	"212A"	"14"	"401"	"7"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"428"
"223"	"213"	"2"	"579"	"20"	"1"	"2"	"0"	"2"	"2"	"3"	"3"	"614"
"224"	"214"	"9"	"710"	"78"	"4"	"1"	"2"	"0"	"1"	"3"	"5"	"813"
"225"	"215"	"29"	"435"	"285"	"9"	"2"	"4"	"6"	"7"	"3"	"3"	"783"
"226"	"216"	"14"	"315"	"316"	"9"	"2"	"3"	"7"	"13"	"3"	"12"	"694"
"227"	"217"	"9"	"222"	"463"	"11"	"1"	"4"	"5"	"7"	"5"	"10"	"737"
"228"	"218"	"15"	"234"	"406"	"33"	"6"	"4"	"15"	"14"	"11"	"21"	"759"
"229"	"219"	"16"	"761"	"40"	"0"	"1"	"1"	"3"	"2"	"5"	"10"	"839"
"230"	"220"	"20"	"107"	"503"	"15"	"6"	"2"	"13"	"17"	"5"	"17"	"705"
"231"	"221"	"14"	"218"	"211"	"14"	"5"	"4"	"1"	"9"	"2"	"8"	"486"
"232"	"222"	"17"	"239"	"189"	"5"	"3"	"3"	"4"	"11"	"8"	"6"	"485"
"233"	"223"	"10"	"80"	"384"	"6"	"2"	"2"	"2"	"17"	"3"	"19"	"525"
"234"	"224"	"6"	"116"	"101"	"6"	"0"	"3"	"2"	"3"	"1"	"3"	"241"
"235"	"225"	"7"	"392"	"5"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"411"
"236"	"226"	"6"	"521"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"535"
"237"	"227"	"18"	"720"	"80"	"1"	"0"	"1"	"1"	"5"	"7"	"8"	"841"
"238"	"228"	"24"	"350"	"118"	"9"	"2"	"1"	"4"	"5"	"8"	"13"	"534"
"239"	"229"	"22"	"306"	"125"	"8"	"5"	"1"	"6"	"7"	"7"	"23"	"510"
"240"	"230"	"9"	"141"	"279"	"5"	"1"	"1"	"2"	"5"	"5"	"8"	"456"
"241"	"231"	"34"	"639"	"95"	"5"	"1"	"2"	"7"	"8"	"9"	"15"	"815"
"242"	"232"	"10"	"207"	"152"	"5"	"0"	"1"	"3"	"1"	"0"	"4"	"383"
"243"	"233"	"40"	"326"	"157"	"5"	"0"	"1"	"13"	"8"	"11"	"22"	"583"
"244"	"Total:"	"10376"	"59562"	"60284"	"2210"	"528"	"635"	"1124"	"2107"	"1327"	"2796"	"140949"
"245"	"Postal Ballot"	"9"	"58"	"144"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"213"
"246"	"Grand Total:"	"10385"	"59620"	"60428"	"2210"	"528"	"635"	"1125"	"2108"	"1327"	"2796"	"141162"
"247"	"Place:  Khagaria                                                                          Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"248"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""
"249"	"Assembly Constituency :151---Parbatta"	""	""	""	""	""	""	""	""	""	""	""
