"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tend.ered.Votes"
"54"	"49"	41	224	87	6	88	8	6	3	5	9	11	14	"502"	"0"	"502"	"0"
"55"	"50"	44	212	63	3	134	8	10	10	14	14	12	17	"541"	"0"	"541"	"0"
"56"	"51"	14	23	68	10	81	75	6	1	1	0	1	7	"287"	"0"	"287"	"0"
"57"	"52"	51	339	134	2	173	3	5	3	3	3	10	10	"736"	"0"	"736"	"0"
"58"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"59"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"60"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"61"	"53"	42	166	80	2	134	15	0	6	2	8	5	16	"476"	"0"	"476"	"0"
"62"	"54"	41	144	327	11	76	3	1	2	6	1	4	12	"628"	"0"	"628"	"0"
"63"	"55"	15	178	211	5	96	2	1	2	2	7	7	8	"534"	"0"	"534"	"0"
"64"	"56"	61	117	18	56	244	18	4	4	2	2	5	15	"546"	"0"	"546"	"0"
"65"	"57"	97	124	24	11	243	45	1	6	5	5	6	7	"574"	"0"	"574"	"0"
"66"	"58"	21	41	26	3	153	2	0	2	1	1	2	11	"263"	"0"	"263"	"0"
"67"	"59"	23	57	172	2	213	1	7	13	1	8	5	6	"508"	"0"	"508"	"0"
"68"	"60"	147	305	39	9	217	11	3	15	10	9	6	26	"797"	"0"	"797"	"0"
"69"	"61"	24	60	63	6	40	283	9	7	5	2	7	9	"515"	"0"	"515"	"0"
"70"	"62"	7	33	3	2	42	106	2	4	2	1	1	6	"209"	"0"	"209"	"0"
"71"	"63"	34	44	29	1	9	110	2	2	0	7	4	3	"245"	"0"	"245"	"0"
"72"	"64"	9	43	390	7	94	2	1	22	2	8	8	13	"599"	"0"	"599"	"0"
"73"	"65"	14	30	206	3	50	9	6	19	2	3	2	5	"349"	"0"	"349"	"0"
"74"	"66"	84	373	190	4	131	3	3	7	9	11	14	28	"857"	"0"	"857"	"0"
"75"	"67"	37	184	95	10	91	3	6	6	3	9	10	19	"473"	"0"	"473"	"0"
"76"	"68"	20	116	74	2	182	30	3	1	4	0	3	0	"435"	"0"	"435"	"0"
"77"	"69"	10	144	64	1	171	16	3	1	1	1	1	1	"414"	"0"	"414"	"0"
"78"	"70"	24	18	386	14	123	11	3	4	4	3	8	12	"610"	"0"	"610"	"0"
"79"	"71"	16	124	14	2	28	36	0	8	2	0	8	0	"238"	"0"	"238"	"0"
"80"	"72"	35	116	63	2	39	19	3	2	0	2	1	7	"289"	"0"	"289"	"0"
"81"	"73"	8	101	113	7	52	62	8	1	4	17	14	21	"408"	"0"	"408"	"0"
"82"	"74"	24	103	198	11	83	98	19	7	9	13	9	23	"597"	"0"	"597"	"0"
"83"	"75"	44	141	281	5	19	4	2	3	30	4	1	1	"535"	"0"	"535"	"0"
"84"	"76"	148	108	70	1	31	5	3	2	33	1	1	3	"406"	"0"	"406"	"0"
"85"	"77"	18	303	58	6	123	19	8	4	5	6	5	27	"582"	"0"	"582"	"0"
"86"	"78"	6	15	175	5	2	0	0	0	2	0	1	6	"212"	"0"	"212"	"0"
"87"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"88"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"89"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"90"	"79"	14	30	293	2	74	0	2	5	93	3	6	9	"531"	"0"	"531"	"0"
"91"	"80"	24	46	5	3	207	3	1	1	2	2	2	0	"296"	"0"	"296"	"0"
"92"	"81"	35	501	142	14	35	1	0	4	1	17	50	22	"822"	"0"	"822"	"0"
"93"	"82"	19	195	46	1	305	3	2	17	1	3	4	6	"602"	"0"	"602"	"0"
"94"	"83"	20	81	15	1	435	1	3	1	0	2	2	8	"569"	"0"	"569"	"0"
"95"	"84"	69	53	0	2	314	6	1	3	0	2	5	11	"466"	"0"	"466"	"0"
"96"	"85"	78	34	2	2	273	2	3	1	0	1	2	11	"409"	"0"	"409"	"0"
"97"	"86"	3	17	9	1	119	9	1	1	0	0	1	1	"162"	"0"	"162"	"0"
"98"	"87"	14	45	344	4	42	0	1	4	4	4	5	5	"472"	"0"	"472"	"0"
"99"	"88"	10	205	57	1	51	126	5	2	4	3	13	40	"517"	"0"	"517"	"0"
"100"	"89"	14	13	220	4	72	4	2	12	1	2	6	15	"365"	"0"	"365"	"0"
"101"	"90"	26	70	2	1	582	7	2	4	3	2	1	4	"704"	"0"	"704"	"0"
"102"	"91"	22	251	69	1	18	7	2	9	6	3	10	11	"409"	"0"	"409"	"0"
"103"	"92"	10	67	14	1	255	0	0	3	0	0	1	0	"351"	"0"	"351"	"0"
"104"	"93"	18	17	125	9	27	1	1	6	2	1	5	2	"214"	"0"	"214"	"0"
"105"	"94"	9	34	2	0	310	3	2	2	1	0	0	3	"366"	"0"	"366"	"0"
"106"	"95"	12	345	114	8	82	6	3	3	14	5	13	17	"622"	"0"	"622"	"0"
"107"	"96"	59	135	9	1	64	12	0	2	1	2	3	4	"292"	"0"	"292"	"0"
"108"	"97"	8	105	1	2	320	0	3	1	1	1	1	2	"445"	"0"	"445"	"0"
"109"	"98"	58	179	144	8	86	9	7	13	12	8	25	58	"607"	"0"	"607"	"0"
"110"	"99"	87	39	36	5	19	1	3	3	10	4	17	7	"231"	"0"	"231"	"0"
"111"	"100"	195	334	11	1	42	2	2	12	5	7	23	6	"640"	"0"	"640"	"0"
"112"	"101"	35	163	166	8	33	3	2	9	3	3	14	4	"443"	"0"	"443"	"0"
"113"	"102"	66	233	53	4	119	12	9	22	6	6	12	11	"553"	"0"	"553"	"0"
"114"	"103"	31	228	3	0	57	0	1	5	0	3	9	5	"342"	"0"	"342"	"0"
"115"	"104"	113	97	218	6	28	4	1	5	4	2	11	14	"503"	"0"	"503"	"0"
"116"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"117"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"118"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"119"	"105"	104	307	9	0	62	3	2	0	0	8	10	15	"520"	"0"	"520"	"0"
"120"	"106"	18	128	3	5	104	4	0	8	3	2	12	6	"293"	"0"	"293"	"0"
"121"	"107"	149	252	15	3	156	15	2	8	14	11	20	30	"675"	"0"	"675"	"0"
"122"	"108"	12	92	4	2	37	4	0	9	3	1	19	5	"188"	"0"	"188"	"0"
"123"	"109"	16	270	42	4	182	25	7	2	18	2	20	5	"593"	"0"	"593"	"0"
"124"	"110"	51	44	123	14	323	7	5	2	6	7	11	132	"725"	"0"	"725"	"0"
"125"	"111"	68	116	42	1	44	21	5	25	61	5	11	243	"642"	"0"	"642"	"0"
"126"	"112"	53	14	270	4	67	7	1	5	6	4	6	9	"446"	"0"	"446"	"0"
"127"	"113"	35	65	18	2	45	19	4	1	0	3	6	8	"206"	"0"	"206"	"0"
"128"	"114"	171	165	94	5	40	49	6	18	179	2	15	20	"764"	"0"	"764"	"0"
"129"	"115"	12	32	56	2	74	5	2	3	2	1	2	16	"207"	"0"	"207"	"0"
"130"	"116"	32	52	194	12	22	4	1	1	3	1	13	17	"352"	"0"	"352"	"0"
"131"	"117"	85	149	15	1	22	4	2	5	5	1	5	32	"326"	"0"	"326"	"0"
"132"	"118"	51	197	20	6	46	11	59	188	17	8	69	46	"718"	"0"	"718"	"0"
"133"	"119"	21	40	28	1	19	4	35	93	8	8	20	21	"298"	"0"	"298"	"0"
"134"	"120"	18	27	215	8	252	6	8	2	9	8	18	247	"818"	"0"	"818"	"0"
"135"	"121"	193	282	112	6	34	5	2	15	2	4	13	8	"676"	"0"	"676"	"0"
"136"	"122"	64	254	101	4	94	18	9	8	5	9	14	34	"614"	"0"	"614"	"0"
"137"	"123"	62	308	16	3	70	61	8	20	3	3	10	14	"578"	"0"	"578"	"0"
"138"	"124"	101	109	46	25	72	3	4	6	48	7	14	12	"447"	"0"	"447"	"0"
"139"	"124A"	26	81	43	23	104	1	1	6	3	3	9	13	"313"	"0"	"313"	"0"
"140"	"125"	7	28	46	43	126	8	1	4	3	1	3	3	"273"	"0"	"273"	"0"
"141"	"126"	21	148	102	4	167	1	2	3	31	1	12	4	"496"	"0"	"496"	"0"
"142"	"127"	28	104	6	4	12	1	4	5	175	2	44	323	"708"	"0"	"708"	"0"
"143"	"128"	46	108	30	8	67	4	2	9	5	10	16	391	"696"	"0"	"696"	"0"
"144"	"129"	19	94	34	3	55	5	6	7	59	7	13	59	"361"	"0"	"361"	"0"
"145"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"146"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"147"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"148"	"130"	159	145	119	2	38	11	5	6	60	6	31	75	"657"	"0"	"657"	"0"
"149"	"131"	57	194	79	3	9	1	1	5	27	8	22	28	"434"	"0"	"434"	"0"
"150"	"132"	79	83	35	11	234	3	1	8	7	23	53	89	"626"	"0"	"626"	"0"
"151"	"133"	159	141	77	12	125	15	7	11	8	9	22	59	"645"	"0"	"645"	"0"
"152"	"134"	24	59	99	6	26	3	7	5	11	20	39	182	"481"	"0"	"481"	"0"
"153"	"135"	15	16	99	4	6	5	10	200	6	4	28	11	"404"	"0"	"404"	"0"
"154"	"136"	9	173	11	2	9	2	4	39	9	5	9	11	"283"	"0"	"283"	"0"
"155"	"137"	36	114	127	4	54	1	7	3	3	12	8	36	"405"	"0"	"405"	"0"
"156"	"137A"	61	101	48	0	2	3	1	5	2	6	1	109	"339"	"0"	"339"	"0"
"157"	"138"	9	218	69	5	11	1	2	16	6	8	28	5	"378"	"0"	"378"	"0"
"158"	"139"	72	479	37	3	11	11	35	11	18	10	93	9	"789"	"0"	"789"	"0"
"159"	"140"	10	270	10	0	10	1	3	3	29	4	3	4	"347"	"0"	"347"	"0"
"160"	"141"	9	144	17	1	4	1	4	10	6	6	33	8	"243"	"0"	"243"	"0"
"161"	"142"	5	362	2	0	16	1	1	3	31	3	1	5	"430"	"0"	"430"	"0"
"162"	"143"	22	101	47	5	30	4	27	25	6	12	105	23	"407"	"0"	"407"	"0"
"163"	"144"	19	157	31	7	36	8	17	63	24	3	49	27	"441"	"0"	"441"	"0"
"164"	"145"	10	140	20	2	31	2	3	50	5	7	163	28	"461"	"0"	"461"	"0"
"165"	"146"	2	23	0	1	333	1	1	0	0	1	1	2	"365"	"0"	"365"	"0"
"166"	"147"	77	63	128	5	389	19	10	4	1	2	5	7	"710"	"0"	"710"	"0"
"167"	"148"	41	226	42	1	3	11	0	2	10	3	50	8	"397"	"0"	"397"	"0"
"168"	"149"	53	110	80	3	170	2	62	8	4	4	11	17	"524"	"0"	"524"	"0"
"169"	"150"	37	260	130	5	82	8	0	2	37	7	11	7	"586"	"0"	"586"	"0"
"170"	"151"	20	28	51	8	89	40	3	0	15	3	5	11	"273"	"0"	"273"	"0"
"171"	"152"	26	51	207	9	54	6	6	53	8	11	19	21	"471"	"0"	"471"	"0"
"172"	"153"	46	205	147	9	73	9	16	15	99	23	22	39	"703"	"0"	"703"	"0"
"173"	"154"	7	210	28	1	9	0	1	42	12	8	12	7	"337"	"0"	"337"	"0"
"174"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"175"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"176"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"177"	"155"	23	148	21	7	25	3	3	17	6	2	41	6	"302"	"0"	"302"	"0"
"178"	"156"	18	42	218	13	6	1	0	2	3	2	4	1	"310"	"0"	"310"	"0"
"179"	"157"	48	110	66	4	40	6	6	6	37	5	11	23	"362"	"0"	"362"	"0"
"180"	"158"	37	241	182	14	43	7	12	88	28	11	14	40	"717"	"0"	"717"	"0"
"181"	"159"	20	146	50	8	86	15	18	213	14	12	28	22	"632"	"0"	"632"	"0"
"182"	"160"	21	130	125	7	83	15	1	14	1	3	5	4	"409"	"0"	"409"	"0"
"183"	"161"	6	58	27	1	38	32	3	10	0	1	7	6	"189"	"0"	"189"	"0"
"184"	"162"	30	258	103	10	65	0	6	31	48	11	3	11	"576"	"0"	"576"	"0"
"185"	"163"	17	46	288	11	20	1	2	7	0	3	2	10	"407"	"0"	"407"	"0"
"186"	"164"	48	66	373	15	23	5	2	5	7	4	8	16	"572"	"0"	"572"	"0"
"187"	"165"	29	84	243	11	98	41	12	9	6	4	5	14	"556"	"0"	"556"	"0"
"188"	"166"	18	70	26	0	80	1	3	4	5	8	4	16	"235"	"0"	"235"	"0"
"189"	"167"	8	39	50	0	7	0	0	1	1	4	1	41	"152"	"0"	"152"	"0"
"190"	"168"	10	7	78	0	24	10	3	1	2	5	11	310	"461"	"0"	"461"	"0"
"191"	"169"	18	32	28	5	52	75	9	9	8	4	24	408	"672"	"0"	"672"	"0"
"192"	"170"	75	49	15	3	101	39	2	1	0	2	1	11	"299"	"0"	"299"	"0"
"193"	"171"	14	139	144	8	66	5	0	4	11	4	11	247	"653"	"0"	"653"	"0"
"194"	"172"	7	136	11	0	25	1	0	1	2	2	25	77	"287"	"0"	"287"	"0"
"195"	"173"	35	76	11	7	300	7	6	8	5	6	8	72	"541"	"0"	"541"	"0"
"196"	"174"	12	250	51	3	46	8	5	4	4	6	9	21	"419"	"0"	"419"	"0"
"197"	"175"	13	128	139	5	89	16	2	5	4	5	1	1	"408"	"0"	"408"	"0"
"198"	"176"	15	35	71	5	174	11	0	4	6	0	4	9	"334"	"0"	"334"	"0"
"199"	"177"	13	275	94	5	70	5	9	6	4	14	10	65	"570"	"0"	"570"	"0"
"200"	"178"	10	82	52	2	26	5	4	5	1	3	2	6	"198"	"0"	"198"	"0"
"201"	"179"	14	202	101	3	136	25	4	6	4	7	5	7	"514"	"0"	"514"	"0"
"202"	"180"	46	423	81	1	86	3	9	17	1	9	13	11	"700"	"0"	"700"	"0"
"203"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"204"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"205"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"206"	"181"	87	215	89	8	62	7	0	2	7	4	4	4	"489"	"0"	"489"	"0"
"207"	"182"	119	72	7	3	346	2	2	1	2	1	6	13	"574"	"0"	"574"	"0"
"208"	"183"	9	46	66	5	68	2	1	0	1	2	9	35	"244"	"0"	"244"	"0"
"209"	"184"	15	121	7	3	270	2	4	2	0	1	3	5	"433"	"0"	"433"	"0"
"210"	"185"	9	13	301	3	27	1	1	4	4	3	7	2	"375"	"0"	"375"	"0"
"211"	"186"	10	80	258	5	59	1	6	6	5	17	13	24	"484"	"0"	"484"	"0"
"212"	"187"	9	43	85	1	65	0	1	1	1	1	2	6	"215"	"0"	"215"	"0"
"213"	"188"	142	60	11	7	410	10	5	7	24	4	2	4	"686"	"0"	"686"	"0"
"214"	"189"	34	35	96	8	513	6	1	2	1	1	0	4	"701"	"0"	"701"	"0"
"215"	"190"	19	25	364	8	27	5	1	1	0	2	4	6	"462"	"0"	"462"	"0"
"216"	"191"	3	12	167	0	5	0	2	13	0	1	2	2	"207"	"0"	"207"	"0"
"217"	"192"	13	79	24	3	361	5	5	1	6	3	7	8	"515"	"0"	"515"	"0"
"218"	"193"	23	131	156	6	158	3	8	17	3	3	8	10	"526"	"0"	"526"	"0"
"219"	"194"	22	278	145	8	41	4	3	6	14	6	2	4	"533"	"0"	"533"	"0"
"220"	"195"	28	16	7	1	158	3	0	7	5	1	13	14	"253"	"0"	"253"	"0"
"221"	"196"	177	190	37	1	6	3	2	12	19	2	11	10	"470"	"0"	"470"	"0"
"222"	"197"	147	77	63	8	10	7	1	11	3	3	5	15	"350"	"0"	"350"	"0"
"223"	"198"	85	179	14	3	248	4	9	21	3	9	5	33	"613"	"0"	"613"	"0"
"224"	"199"	16	26	181	5	21	3	1	4	6	9	2	4	"278"	"0"	"278"	"0"
"225"	"200"	44	150	69	2	44	3	1	2	24	9	5	42	"395"	"0"	"395"	"0"
"226"	"201"	9	70	2	0	13	0	2	1	0	2	1	0	"100"	"0"	"100"	"0"
"227"	"202"	26	207	17	3	60	8	0	4	72	7	5	25	"434"	"0"	"434"	"0"
"228"	"203"	15	216	152	9	72	23	4	1	13	2	9	4	"520"	"0"	"520"	"0"
"229"	"204"	43	165	122	1	39	12	2	1	1	1	8	15	"410"	"0"	"410"	"0"
"230"	"205"	11	149	39	9	37	10	2	1	10	7	2	2	"279"	"0"	"279"	"0"
"231"	"206"	5	51	32	9	46	31	1	2	1	1	4	2	"185"	"0"	"185"	"0"
"232"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total  of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tend ered Votes"
"233"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"234"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"235"	"207"	10	186	219	7	47	1	4	12	14	12	7	8	"527"	"0"	"527"	"0"
"236"	"208"	4	114	124	2	31	0	2	2	2	0	5	3	"289"	"0"	"289"	"0"
"237"	"209"	29	364	188	12	27	6	5	7	7	14	15	92	"766"	"0"	"766"	"0"
"238"	"210"	78	109	45	3	362	10	5	6	100	10	18	37	"783"	"0"	"783"	"0"
"239"	"211"	37	176	298	10	74	2	8	12	10	12	19	16	"674"	"0"	"674"	"0"
"240"	"212"	51	172	140	7	190	2	2	2	0	0	1	2	"569"	"0"	"569"	"0"
"241"	"213"	9	220	65	3	15	0	5	9	43	7	9	10	"395"	"0"	"395"	"0"
"242"	"214"	7	343	102	2	41	3	1	6	12	3	8	8	"536"	"0"	"536"	"0"
"243"	"215"	9	158	32	3	3	0	1	16	18	6	3	12	"261"	"0"	"261"	"0"
"244"	"Total No. of Votes recorded"	8714	31507	18473	1075	24165	2631	982	2315	2498	1155	3009	6662	"103186"	"0"	"103186"	"0"
"245"	"No. of Votes Recorde d on Postal Ballot Papers (To be filled in the case of election from an assembly constitue ncy)"	0	0	0	0	0	0	0	0	0	0	0	0	"0"	"0"	"0"	"0"
"246"	"Total Votes
Polled"	8714	31507	18473	1075	24165	2631	982	2315	2498	1155	3009	6662	"103186"	"0"	"103186"	"0"
"247"	"Place - Sheikhpura"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"248"	"Date - 24.11.2010"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"249"	"Returning Officer,"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"250"	"169- Sheikhpura"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
