"BOOTH.NO"	"ARUN.SINGH"	"AVANEESH.KUMAR.SINGH"	"MANOJ.KUMAR.SINGH"	"LAXMI.NARAYAN.PR..YADAV"	"LAL.BABU.PRASAD.GUPTA"	"KAILASH.PRASAD.YADWA"	"SUSHEELA.DEVI"	"ANUGRAH.NARAIN.SINGH"	"ASHOK.RAM"	"IMTEYAJUL.HAQUE"	"MANJU.DEVI"	"SANJOY.YADAV.ALIAS.SHUBHRANSHU"	"HARENDRA.PRASAD.YADAWA"	"TOTAL"
"76"	70	3	95	11	108	2	1	1	0	1	1	8	2	5	238
"77"	71	6	302	27	68	7	2	9	1	0	1	12	5	8	448
"78"	72	5	214	17	79	2	1	6	0	1	0	45	2	9	381
"79"	73	18	363	21	256	9	3	21	9	9	3	43	13	24	792
"80"	74	8	222	10	309	14	3	19	6	4	3	9	11	20	638
"81"	75	7	587	14	35	2	1	4	1	5	2	31	15	17	721
"82"	76	5	365	16	65	4	2	4	2	3	2	31	12	14	525
"83"	77	4	396	58	65	14	1	4	0	5	2	20	6	9	584
"84"	78	11	425	28	91	15	1	6	2	2	4	8	12	17	622
"85"	79	8	381	30	43	10	1	3	4	4	4	45	7	17	557
"86"	80	21	307	9	153	116	3	8	4	10	7	14	5	24	681
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"89"	81	7	406	26	55	47	4	8	0	5	1	19	2	4	584
"90"	82	3	169	11	377	3	0	0	0	2	1	1	1	25	593
"91"	83	18	73	145	338	31	4	6	3	2	5	43	5	1	674
"92"	84	11	244	36	53	8	0	6	2	2	3	23	7	5	400
"93"	85	9	196	94	80	11	0	5	3	3	4	14	5	16	440
"94"	86	16	146	45	151	33	1	10	1	5	1	82	50	43	584
"95"	87	11	319	19	213	33	1	7	2	3	3	11	3	8	633
"96"	88	14	298	25	122	7	2	3	3	3	5	5	6	14	507
"97"	89	6	326	45	134	13	2	4	1	3	12	37	14	30	627
"98"	90	10	210	172	19	26	1	3	0	0	2	8	5	8	464
"99"	91	6	245	76	107	6	0	1	0	0	1	6	4	10	462
"100"	92	11	262	76	13	96	2	4	3	4	3	7	13	19	513
"101"	93	15	113	86	103	0	3	9	4	1	44	74	3	30	485
"102"	94	7	213	51	61	4	0	2	2	2	9	17	8	4	380
"103"	95	2	89	265	20	64	3	1	0	0	17	20	4	8	493
"104"	96	3	59	217	70	41	3	3	0	1	0	7	8	11	423
"105"	97	13	303	107	33	3	1	2	1	2	3	37	3	2	510
"106"	98	2	330	182	11	8	2	1	0	0	0	4	7	18	565
"107"	99	5	108	104	62	127	5	6	2	6	25	10	13	17	490
"108"	100	10	268	158	145	19	2	3	0	3	2	9	0	2	621
"109"	101	6	118	109	76	162	7	8	4	8	2	3	5	8	516
"110"	102	18	143	84	208	40	6	7	4	3	7	22	10	20	572
"111"	103	8	99	88	40	22	5	2	2	1	60	5	5	130	467
"112"	104	14	58	158	111	10	7	7	4	4	35	18	4	71	501
"113"	105	13	215	10	55	7	6	1	1	3	5	6	359	31	712
"114"	106	4	100	193	47	94	3	7	1	2	11	2	5	25	494
"115"	107	5	139	94	107	28	4	8	2	3	9	7	7	9	422
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"118"	108	6	123	45	304	6	7	7	3	4	0	11	107	22	645
"119"	109	8	60	189	33	26	1	3	3	2	5	4	6	12	352
"120"	110	14	64	31	34	15	3	7	3	0	30	4	21	97	323
"121"	111	20	616	27	123	4	6	11	4	7	5	39	15	25	902
"122"	112	36	341	31	288	6	14	22	5	6	6	9	38	21	823
"123"	113	5	132	181	91	17	2	5	2	2	1	1	4	9	452
"124"	114	17	140	95	271	7	8	2	2	4	25	2	17	33	623
"125"	115	11	284	38	69	19	7	5	5	6	5	13	13	22	497
"126"	116	4	123	33	368	6	3	4	0	1	10	8	8	35	603
"127"	117	1	9	1	91	4	22	4	0	1	1	0	3	485	622
"128"	118	12	19	7	33	1	5	15	1	2	2	4	2	347	450
"129"	119	9	150	130	177	95	1	5	1	2	9	8	11	29	627
"130"	120	6	270	203	21	6	5	3	2	4	2	12	9	31	574
"131"	121	15	113	224	20	9	1	7	3	3	4	5	5	23	432
"132"	122	11	133	83	28	28	3	3	2	2	68	10	7	20	398
"133"	123	13	66	75	144	4	7	2	2	2	10	49	6	241	621
"134"	124	26	284	147	89	31	4	6	2	2	4	14	6	31	646
"135"	125	20	257	87	47	38	9	10	2	2	7	8	22	24	533
"136"	126	9	112	35	77	9	5	6	1	0	0	9	2	25	290
"137"	127	13	67	31	97	15	2	1	2	4	3	8	1	42	286
"138"	128	2	297	50	44	22	3	5	0	0	2	17	9	87	538
"139"	129	9	113	105	69	12	0	4	3	1	1	33	3	18	371
"140"	130	9	80	249	38	12	4	9	2	4	0	4	2	40	453
"141"	131	9	40	656	70	6	3	2	0	3	4	1	4	13	811
"142"	132	1	61	325	50	6	2	3	4	0	3	7	5	28	495
"143"	133	9	77	336	17	11	2	13	1	4	12	138	7	29	656
"144"	134	6	112	290	28	4	0	13	0	2	2	92	7	20	576
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"147"	135	6	146	193	80	13	1	5	1	5	1	5	5	5	466
"148"	136	11	194	81	9	6	3	4	2	1	3	18	2	17	351
"149"	137	20	247	87	75	102	6	9	4	2	6	24	9	8	599
"150"	138	9	82	435	27	58	2	8	4	3	7	41	6	11	693
"151"	139	6	152	187	12	57	1	3	4	4	6	41	5	6	484
"152"	140	11	113	106	37	16	3	4	0	3	18	15	6	11	343
"153"	141	3	56	192	42	9	3	6	1	3	12	100	12	21	460
"154"	142	11	228	73	64	41	1	6	3	4	5	81	3	5	525
"155"	143	16	163	95	125	14	2	5	0	2	1	36	4	12	475
"156"	144	7	146	192	42	10	2	4	1	6	1	20	5	6	442
"157"	145	6	59	214	18	7	3	7	4	2	5	24	2	8	359
"158"	146	9	73	159	59	2	1	3	2	3	4	83	9	9	416
"159"	147	13	225	138	48	8	0	6	2	3	10	83	6	14	556
"160"	148	8	115	299	31	4	1	0	4	0	3	43	8	19	535
"161"	149	11	71	124	12	10	3	3	1	1	5	70	5	1	317
"162"	150	3	160	72	70	4	0	7	7	6	2	44	8	18	401
"163"	151	12	117	130	76	34	1	5	3	3	4	75	6	27	493
"164"	152	5	118	289	20	1	0	4	0	3	3	15	4	26	488
"165"	153	15	159	243	93	50	4	10	1	1	2	10	4	3	595
"166"	154	28	457	58	35	6	9	8	5	1	1	0	4	5	617
"167"	155	10	73	116	235	83	8	13	5	8	3	7	4	8	573
"168"	156	19	284	33	82	10	2	5	2	7	1	34	8	11	498
"169"	157	24	273	21	10	5	0	5	3	4	4	56	20	16	441
"170"	158	9	57	258	155	86	5	9	1	5	8	11	9	16	629
"171"	159	11	231	184	69	102	7	7	2	3	3	19	9	14	661
"172"	160	23	236	171	61	67	5	9	5	2	2	30	14	10	635
"173"	161	28	193	82	182	74	5	5	3	5	2	62	1	9	651
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"176"	162	3	90	166	26	127	3	3	0	4	2	6	3	3	436
"177"	163	9	86	142	18	74	3	10	1	3	3	6	7	6	368
"178"	164	13	204	231	76	162	5	6	2	4	5	7	11	19	745
"179"	165	8	74	64	80	88	4	8	6	1	5	8	5	62	413
"180"	166	14	134	67	131	44	9	14	5	8	8	12	18	29	493
"181"	167	25	239	379	67	26	1	19	2	1	3	15	3	11	791
"182"	168	10	163	173	29	6	3	12	3	1	2	7	2	4	415
"183"	169	11	157	281	24	7	2	3	3	0	4	13	6	15	526
"184"	NA	6	52	174	17	5	2	2	1	0	3	7	2	15	286
"185"	170	10	104	244	113	18	2	9	2	6	4	13	6	12	543
"186"	171	9	170	219	83	4	0	8	0	4	4	47	7	13	568
"187"	172	5	60	267	25	10	4	2	1	1	1	5	1	3	385
"188"	173	10	166	308	88	35	9	17	5	6	7	44	8	18	721
"189"	174	0	10	134	4	36	2	4	1	4	1	7	3	3	209
"190"	175	15	174	232	119	27	1	18	4	6	10	17	11	33	667
"191"	176	2	168	228	63	22	5	7	3	5	3	17	7	14	544
"192"	177	20	138	322	164	20	2	7	7	4	4	47	7	17	759
"193"	178	8	64	101	67	80	1	11	3	1	5	84	7	14	446
"194"	179	4	80	92	77	37	3	4	1	4	2	76	2	23	405
"195"	180	5	131	58	13	9	1	2	1	2	1	26	7	14	270
"196"	181	9	131	54	221	5	5	7	5	6	11	13	10	22	499
"197"	182	15	296	35	155	12	6	15	1	3	3	58	2	5	606
"198"	183	11	159	27	53	7	1	3	1	1	2	29	6	1	301
"199"	184	3	143	66	145	15	3	4	2	3	5	97	4	18	508
"200"	NA	4	73	16	45	1	0	2	1	0	3	33	5	8	191
"201"	185	6	234	25	58	1	0	3	1	0	0	46	5	6	385
"202"	186	6	193	73	136	12	2	5	2	2	4	19	4	9	467
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"205"	187	12	198	189	224	10	3	6	4	7	6	21	23	28	731
"206"	188	2	133	41	129	8	2	8	1	2	1	9	2	7	345
"207"	NA	8	127	83	53	21	2	4	3	4	2	16	2	15	340
"208"	189	2	96	132	36	295	3	8	3	2	2	39	8	24	650
"209"	190	9	114	59	11	125	8	2	1	5	2	15	5	21	377
"210"	191	6	251	88	40	73	3	1	3	4	3	14	10	11	507
"211"	192	16	79	267	148	58	3	7	1	4	2	66	14	16	681
"212"	193	19	205	81	20	8	3	5	2	2	3	48	9	6	411
"213"	194	21	88	68	348	3	5	5	3	3	9	3	6	9	571
"214"	195	17	108	37	188	7	1	13	7	5	5	74	19	25	506
"215"	196	12	130	195	48	14	2	2	5	9	99	7	8	25	556
"216"	197	5	27	89	17	0	1	1	1	1	22	21	0	3	188
"217"	198	11	145	78	74	60	4	12	6	4	7	108	6	2	517
"218"	199	6	51	127	182	5	1	8	2	2	10	15	6	4	419
"219"	200	4	336	8	7	0	2	1	0	1	0	0	3	4	366
"220"	201	3	530	7	1	0	0	0	0	1	0	0	0	0	542
"221"	202	12	550	11	3	0	2	6	0	1	0	1	4	5	595
"222"	203	3	305	12	5	0	0	0	0	0	0	0	4	12	341
"223"	204	18	431	22	59	4	4	15	2	0	2	2	3	3	565
"224"	205	7	432	13	3	0	1	0	1	2	1	1	3	4	468
"225"	206	6	597	5	18	5	2	1	0	1	0	1	0	5	641
"226"	207	7	78	71	46	3	1	6	4	3	41	4	5	9	278
"227"	208	8	84	74	32	1	2	6	1	0	14	8	4	7	241
"228"	209	16	129	176	76	2	3	4	2	4	2	44	8	42	508
"229"	210	11	275	50	23	19	0	9	1	0	1	52	2	13	456
"230"	211	8	239	75	16	3	3	2	2	1	0	32	8	7	396
"231"	212	6	125	46	37	1	1	4	1	0	15	39	10	21	306
"232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"234"	213	13	77	94	33	17	2	4	3	3	21	20	5	24	316
"235"	NA	2161	39459	20287	24631	5430	664	1374	527	700	2484	7006	2046	5164	111933
"236"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"238"	NA	2161	39459	20287	24631	5430	664	1374	527	700	2484	7006	2046	5164	111933
"239"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
