"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X233736.116.233852.33.Khajauli"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"43"	"B.F."	"3097"	"6654"	"477"	"320"	"3290"	"154"	"232"	"154"	"581"	"104"	"101"	"114"	"116"	"116"	"312"	"199"	"16021"	"0"	"16021"	"0"
"44"	"28"	"38"	"137"	"12"	"5"	"78"	"8"	"3"	"0"	"1"	"1"	"3"	"2"	"5"	"6"	"16"	"14"	"329"	""	"329"	""
"45"	"29"	"137"	"169"	"16"	"4"	"96"	"3"	"3"	"0"	"2"	"3"	"4"	"2"	"4"	"2"	"6"	"7"	"458"	""	"458"	""
"46"	"30"	"117"	"241"	"6"	"7"	"51"	"4"	"6"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"7"	"445"	""	"445"	""
"47"	"31"	"61"	"489"	"19"	"6"	"12"	"5"	"3"	"2"	"3"	"3"	"2"	"1"	"42"	"5"	"13"	"13"	"679"	""	"679"	""
"48"	"32"	"84"	"271"	"17"	"4"	"5"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"25"	"4"	"4"	"3"	"422"	""	"422"	""
"49"	"33"	"26"	"514"	"5"	"0"	"14"	"4"	"0"	"1"	"4"	"0"	"3"	"1"	"30"	"3"	"4"	"4"	"613"	""	"613"	""
"50"	"34"	"84"	"457"	"19"	"6"	"52"	"4"	"2"	"6"	"9"	"2"	"3"	"6"	"11"	"9"	"27"	"13"	"710"	""	"710"	""
"51"	"35"	"41"	"321"	"5"	"1"	"56"	"3"	"4"	"3"	"7"	"2"	"0"	"4"	"2"	"6"	"4"	"7"	"466"	""	"466"	""
"52"	"36"	"88"	"289"	"8"	"4"	"137"	"4"	"5"	"4"	"38"	"2"	"4"	"10"	"3"	"6"	"12"	"16"	"630"	""	"630"	""
"53"	"37"	"222"	"190"	"7"	"4"	"191"	"5"	"20"	"2"	"7"	"7"	"1"	"3"	"1"	"1"	"12"	"7"	"680"	""	"680"	""
"54"	"38"	"21"	"137"	"11"	"4"	"326"	"4"	"8"	"7"	"38"	"4"	"6"	"1"	"0"	"0"	"8"	"1"	"576"	""	"576"	""
"55"	"39"	"224"	"45"	"8"	"5"	"398"	"9"	"17"	"7"	"24"	"2"	"7"	"3"	"8"	"3"	"9"	"5"	"774"	""	"774"	""
"56"	"40"	"12"	"269"	"17"	"4"	"31"	"4"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"6"	"352"	""	"352"	""
"57"	"41"	"27"	"162"	"7"	"14"	"484"	"10"	"12"	"5"	"8"	"3"	"4"	"12"	"5"	"5"	"3"	"11"	"772"	""	"772"	""
"58"	"Total -3"	"1182"	"3691"	"157"	"68"	"1931"	"68"	"83"	"37"	"149"	"30"	"41"	"46"	"136"	"52"	"121"	"114"	"7906"	"0"	"7906"	"0"
"59"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"63"	"B.F."	"4279"	"10345"	"634"	"388"	"5221"	"222"	"315"	"191"	"730"	"134"	"142"	"160"	"252"	"168"	"433"	"313"	"23927"	"0"	"23927"	"0"
"64"	"42"	"362"	"253"	"23"	"11"	"32"	"8"	"11"	"3"	"2"	"2"	"1"	"3"	"4"	"2"	"3"	"8"	"728"	""	"728"	""
"65"	"43"	"121"	"432"	"15"	"6"	"12"	"3"	"2"	"1"	"46"	"0"	"0"	"1"	"0"	"0"	"6"	"1"	"646"	""	"646"	""
"66"	"44"	"171"	"122"	"10"	"8"	"376"	"5"	"11"	"10"	"2"	"4"	"4"	"4"	"2"	"5"	"9"	"4"	"747"	""	"747"	""
"67"	"45"	"40"	"194"	"11"	"8"	"425"	"10"	"20"	"5"	"6"	"4"	"3"	"3"	"5"	"6"	"11"	"12"	"763"	""	"763"	""
"68"	"46"	"3"	"44"	"4"	"2"	"492"	"0"	"8"	"2"	"1"	"0"	"2"	"3"	"3"	"0"	"1"	"2"	"567"	""	"567"	""
"69"	"47"	"13"	"23"	"2"	"10"	"387"	"8"	"12"	"4"	"11"	"1"	"3"	"6"	"2"	"2"	"6"	"9"	"499"	""	"499"	""
"70"	"48"	"11"	"96"	"18"	"5"	"340"	"2"	"10"	"3"	"5"	"1"	"7"	"2"	"1"	"2"	"4"	"15"	"522"	""	"522"	""
"71"	"49"	"13"	"94"	"6"	"6"	"216"	"6"	"5"	"2"	"5"	"1"	"0"	"3"	"0"	"4"	"4"	"3"	"368"	""	"368"	""
"72"	"50"	"88"	"461"	"23"	"0"	"22"	"1"	"3"	"1"	"28"	"3"	"2"	"3"	"12"	"4"	"9"	"8"	"668"	""	"668"	""
"73"	"51"	"52"	"286"	"10"	"0"	"29"	"1"	"0"	"0"	"4"	"1"	"2"	"1"	"6"	"0"	"3"	"1"	"396"	""	"396"	""
"74"	"52"	"53"	"296"	"13"	"1"	"47"	"1"	"2"	"2"	"7"	"3"	"2"	"1"	"2"	"3"	"9"	"3"	"445"	""	"445"	""
"75"	"53"	"82"	"406"	"17"	"2"	"36"	"3"	"2"	"3"	"14"	"5"	"3"	"7"	"7"	"5"	"26"	"14"	"632"	""	"632"	""
"76"	"54"	"22"	"382"	"15"	"2"	"37"	"2"	"2"	"2"	"7"	"2"	"1"	"8"	"7"	"10"	"16"	"6"	"521"	""	"521"	""
"77"	"55"	"15"	"354"	"11"	"0"	"34"	"0"	"2"	"2"	"60"	"1"	"1"	"2"	"1"	"1"	"14"	"6"	"504"	""	"504"	""
"78"	"Total -4"	"1046"	"3443"	"178"	"61"	"2485"	"50"	"90"	"40"	"198"	"28"	"31"	"47"	"52"	"44"	"121"	"92"	"8006"	"0"	"8006"	"0"
"79"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"83"	"B.F."	"5325"	"13788"	"812"	"449"	"7706"	"272"	"405"	"231"	"928"	"162"	"173"	"207"	"304"	"212"	"554"	"405"	"31933"	"0"	"31933"	"0"
"84"	"56"	"51"	"341"	"55"	"5"	"30"	"0"	"0"	"0"	"11"	"1"	"2"	"3"	"23"	"2"	"3"	"9"	"536"	""	"536"	""
"85"	"56A"	"34"	"209"	"8"	"3"	"25"	"1"	"1"	"3"	"1"	"2"	"1"	"1"	"10"	"2"	"3"	"2"	"306"	""	"306"	""
"86"	"57"	"28"	"242"	"6"	"1"	"13"	"2"	"0"	"1"	"119"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"416"	""	"416"	""
"87"	"58"	"46"	"301"	"25"	"10"	"46"	"10"	"1"	"6"	"30"	"3"	"2"	"11"	"4"	"6"	"8"	"5"	"514"	""	"514"	""
"88"	"59"	"25"	"183"	"35"	"1"	"17"	"2"	"4"	"3"	"44"	"6"	"4"	"3"	"4"	"2"	"9"	"4"	"346"	""	"346"	""
"89"	"59A"	"20"	"195"	"21"	"2"	"50"	"4"	"4"	"1"	"19"	"4"	"2"	"2"	"3"	"1"	"18"	"6"	"352"	""	"352"	""
"90"	"60"	"147"	"59"	"32"	"6"	"36"	"4"	"4"	"6"	"10"	"1"	"0"	"3"	"1"	"2"	"12"	"16"	"339"	""	"339"	""
"91"	"61"	"32"	"268"	"7"	"1"	"85"	"4"	"3"	"0"	"5"	"1"	"0"	"1"	"1"	"0"	"11"	"5"	"424"	""	"424"	""
"92"	"62"	"300"	"295"	"51"	"8"	"70"	"7"	"8"	"5"	"10"	"4"	"2"	"4"	"4"	"4"	"14"	"10"	"796"	""	"796"	""
"93"	"63"	"19"	"176"	"5"	"16"	"214"	"7"	"12"	"5"	"11"	"3"	"4"	"2"	"5"	"6"	"6"	"1"	"492"	""	"492"	""
"94"	"64"	"31"	"310"	"5"	"27"	"156"	"6"	"11"	"9"	"21"	"8"	"8"	"6"	"6"	"1"	"17"	"9"	"631"	""	"631"	""
"95"	"65"	"33"	"151"	"11"	"11"	"97"	"1"	"5"	"1"	"25"	"3"	"0"	"2"	"3"	"5"	"6"	"4"	"358"	""	"358"	""
"96"	"66"	"72"	"252"	"11"	"7"	"23"	"8"	"3"	"4"	"53"	"1"	"4"	"1"	"1"	"0"	"3"	"4"	"447"	""	"447"	""
"97"	"66A"	"26"	"124"	"1"	"3"	"41"	"0"	"3"	"2"	"24"	"0"	"1"	"1"	"2"	"0"	"4"	"4"	"236"	""	"236"	""
"98"	"Total -5"	"864"	"3106"	"273"	"101"	"903"	"56"	"59"	"46"	"383"	"37"	"30"	"42"	"67"	"31"	"114"	"81"	"6193"	"0"	"6193"	"0"
"99"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"103"	"B.F."	"6189"	"16894"	"1085"	"550"	"8609"	"328"	"464"	"277"	"1311"	"199"	"203"	"249"	"371"	"243"	"668"	"486"	"38126"	"0"	"38126"	"0"
"104"	"67"	"30"	"309"	"27"	"6"	"36"	"5"	"5"	"5"	"32"	"4"	"2"	"2"	"4"	"3"	"7"	"2"	"479"	""	"479"	""
"105"	"68"	"113"	"218"	"10"	"6"	"301"	"8"	"19"	"3"	"16"	"3"	"1"	"4"	"3"	"4"	"9"	"3"	"721"	""	"721"	""
"106"	"69"	"31"	"77"	"27"	"5"	"48"	"6"	"10"	"27"	"351"	"16"	"6"	"7"	"9"	"10"	"13"	"19"	"662"	""	"662"	""
"107"	"70"	"21"	"40"	"14"	"5"	"44"	"4"	"4"	"15"	"357"	"4"	"5"	"7"	"6"	"4"	"11"	"4"	"545"	""	"545"	""
"108"	"71"	"33"	"149"	"9"	"6"	"98"	"6"	"3"	"6"	"132"	"7"	"9"	"5"	"5"	"8"	"18"	"14"	"508"	""	"508"	""
"109"	"72"	"11"	"79"	"12"	"3"	"88"	"2"	"4"	"4"	"23"	"6"	"4"	"1"	"3"	"2"	"9"	"4"	"255"	""	"255"	""
"110"	"73"	"35"	"188"	"18"	"10"	"203"	"9"	"21"	"19"	"113"	"6"	"6"	"3"	"4"	"2"	"13"	"0"	"650"	""	"650"	""
"111"	"74"	"90"	"91"	"32"	"18"	"135"	"9"	"23"	"15"	"85"	"1"	"3"	"5"	"4"	"6"	"5"	"9"	"531"	""	"531"	""
"112"	"75"	"12"	"181"	"8"	"4"	"136"	"6"	"5"	"2"	"0"	"1"	"6"	"5"	"1"	"7"	"11"	"4"	"389"	""	"389"	""
"113"	"75A"	"10"	"114"	"9"	"7"	"123"	"8"	"7"	"4"	"5"	"4"	"4"	"4"	"2"	"1"	"3"	"3"	"308"	""	"308"	""
"114"	"76"	"33"	"236"	"8"	"3"	"337"	"1"	"6"	"3"	"5"	"4"	"1"	"5"	"8"	"9"	"11"	"10"	"680"	""	"680"	""
"115"	"77"	"6"	"45"	"3"	"3"	"244"	"2"	"5"	"3"	"14"	"1"	"3"	"1"	"0"	"2"	"3"	"2"	"337"	""	"337"	""
"116"	"78"	"18"	"92"	"16"	"5"	"278"	"5"	"9"	"2"	"39"	"1"	"4"	"0"	"2"	"0"	"6"	"1"	"478"	""	"478"	""
"117"	"79"	"68"	"347"	"22"	"11"	"55"	"11"	"7"	"5"	"51"	"1"	"1"	"1"	"4"	"1"	"5"	"4"	"594"	""	"594"	""
"118"	"Total -6"	"511"	"2166"	"215"	"92"	"2126"	"82"	"128"	"113"	"1223"	"59"	"55"	"50"	"55"	"59"	"124"	"79"	"7137"	"0"	"7137"	"0"
"119"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"123"	"B.F."	"6700"	"19060"	"1300"	"642"	"10735"	"410"	"592"	"390"	"2534"	"258"	"258"	"299"	"426"	"302"	"792"	"565"	"45263"	"0"	"45263"	"0"
"124"	"80"	"139"	"345"	"45"	"4"	"75"	"8"	"5"	"5"	"2"	"7"	"4"	"4"	"4"	"8"	"11"	"10"	"676"	""	"676"	""
"125"	"81"	"17"	"168"	"37"	"7"	"47"	"7"	"3"	"1"	"4"	"1"	"1"	"8"	"3"	"4"	"8"	"12"	"328"	""	"328"	""
"126"	"82"	"19"	"217"	"16"	"2"	"36"	"7"	"4"	"6"	"4"	"2"	"10"	"2"	"1"	"11"	"15"	"15"	"367"	""	"367"	""
"127"	"83"	"28"	"301"	"48"	"7"	"176"	"9"	"11"	"4"	"6"	"4"	"7"	"5"	"2"	"2"	"15"	"14"	"639"	""	"639"	""
"128"	"84"	"67"	"169"	"34"	"25"	"169"	"8"	"6"	"3"	"5"	"4"	"4"	"1"	"1"	"4"	"11"	"1"	"512"	""	"512"	""
"129"	"85"	"30"	"189"	"15"	"5"	"71"	"6"	"6"	"2"	"6"	"3"	"1"	"2"	"0"	"2"	"5"	"0"	"343"	""	"343"	""
"130"	"86"	"138"	"191"	"2"	"7"	"258"	"9"	"25"	"7"	"6"	"4"	"4"	"4"	"2"	"3"	"14"	"13"	"687"	""	"687"	""
"131"	"87"	"90"	"358"	"11"	"13"	"92"	"2"	"10"	"8"	"5"	"3"	"3"	"1"	"1"	"3"	"8"	"0"	"608"	""	"608"	""
"132"	"88"	"16"	"132"	"3"	"0"	"44"	"1"	"0"	"3"	"20"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"224"	""	"224"	""
"133"	"89"	"46"	"118"	"15"	"5"	"11"	"5"	"1"	"3"	"10"	"0"	"0"	"3"	"0"	"1"	"6"	"3"	"227"	""	"227"	""
"134"	"90"	"130"	"260"	"27"	"17"	"87"	"5"	"11"	"10"	"6"	"5"	"3"	"7"	"3"	"4"	"29"	"16"	"620"	""	"620"	""
"135"	"91"	"52"	"231"	"16"	"3"	"34"	"3"	"5"	"4"	"7"	"7"	"4"	"4"	"4"	"4"	"19"	"9"	"406"	""	"406"	""
"136"	"91A"	"77"	"163"	"25"	"4"	"34"	"2"	"3"	"1"	"3"	"3"	"3"	"1"	"2"	"2"	"7"	"8"	"338"	""	"338"	""
"137"	"92"	"107"	"321"	"16"	"8"	"187"	"4"	"12"	"11"	"6"	"6"	"7"	"7"	"3"	"6"	"18"	"22"	"741"	""	"741"	""
"138"	"Total -7"	"956"	"3163"	"310"	"107"	"1321"	"76"	"102"	"68"	"90"	"49"	"52"	"49"	"26"	"54"	"169"	"124"	"6716"	"0"	"6716"	"0"
"139"	""	""	""	""	""	""	"233736+116=233852
33-Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Amiruddin"	"Arun Shankar Prasad"	"Deepak Kumar Singh"	"Shambhu Pra Yadav"	"Sitaram Yadav"	"Naresh Kr. Singh"	"Pramod Kr.
Prabhakar"	"Laxmi Paswan"	"Hira Prasad Mishr"	"Ibrahim Abbasi"	"Gufran Ahamad"	"Chandraketuna Yadav"	"Brajesh Rout"	"Rajdeo Das"	"Ram Prasad Raut"	"Biswnath Yadav"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"143"	"B.F."	"7656"	"22223"	"1610"	"749"	"12056"	"486"	"694"	"458"	"2624"	"307"	"310"	"348"	"452"	"356"	"961"	"689"	"51979"	"0"	"51979"	"0"
"144"	"93"	"66"	"484"	"13"	"20"	"118"	"11"	"16"	"6"	"8"	"5"	"15"	"6"	"2"	"7"	"23"	"5"	"805"	""	"805"	""
"145"	"94"	"155"	"184"	"11"	"12"	"121"	"4"	"4"	"2"	"2"	"0"	"7"	"3"	"5"	"2"	"9"	"6"	"527"	""	"527"	""
"146"	"95"	"48"	"236"	"16"	"7"	"27"	"1"	"2"	"1"	"3"	"6"	"2"	"4"	"4"	"2"	"17"	"15"	"391"	""	"391"	""
"147"	"96"	"207"	"192"	"20"	"37"	"266"	"8"	"20"	"8"	"11"	"5"	"6"	"3"	"9"	"1"	"8"	"8"	"809"	""	"809"	""
"148"	"97"	"155"	"79"	"11"	"4"	"214"	"4"	"10"	"3"	"0"	"2"	"5"	"3"	"3"	"3"	"10"	"15"	"521"	""	"521"	""
