"TOTAL.NO..OF.ELECTORS.IN.ASSEMBLY.CONSTITUENCY....235140"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"12"	"2"	"279"	"12"	"5"	"15"	"9"	"1"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"1"	"3"	"20"	"9"	"0"	"0"	"3"	"0"	"3"	"369"	""	"369"	""
"13"	"3"	"170"	"0"	"137"	"87"	"166"	"0"	"0"	"0"	"0"	"1"	"30"	"2"	"37"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"3"	"642"	""	"642"	""
"14"	"4"	"84"	"1"	"29"	"8"	"103"	"2"	"0"	"4"	"3"	"40"	"72"	"5"	"168"	"5"	"6"	"4"	"6"	"2"	"0"	"1"	"4"	"3"	"550"	""	"550"	""
"15"	"5"	"48"	"1"	"3"	"18"	"198"	"3"	"0"	"2"	"0"	"0"	"39"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"320"	""	"320"	""
"16"	"6"	"12"	"1"	"7"	"20"	"199"	"9"	"1"	"0"	"8"	"57"	"69"	"3"	"8"	"2"	"1"	"6"	"0"	"0"	"1"	"1"	"5"	"3"	"413"	""	"413"	""
"17"	"7"	"86"	"13"	"103"	"72"	"499"	"9"	"2"	"3"	"5"	"25"	"34"	"3"	"14"	"4"	"2"	"0"	"4"	"1"	"0"	"3"	"0"	"2"	"884"	""	"884"	""
"18"	"8"	"80"	"7"	"149"	"116"	"87"	"4"	"2"	"0"	"0"	"0"	"27"	"2"	"46"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"2"	"3"	"533"	""	"533"	""
"19"	"9"	"126"	"6"	"70"	"64"	"88"	"1"	"1"	"1"	"5"	"45"	"108"	"1"	"32"	"0"	"5"	"5"	"4"	"0"	"1"	"4"	"5"	"6"	"578"	""	"578"	""
"20"	"10"	"130"	"6"	"22"	"41"	"283"	"2"	"1"	"2"	"5"	"33"	"33"	"2"	"5"	"2"	"4"	"1"	"5"	"2"	"4"	"5"	"2"	"3"	"593"	""	"593"	""
"21"	"11"	"201"	"6"	"44"	"59"	"92"	"3"	"0"	"2"	"3"	"1"	"58"	"3"	"11"	"2"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"490"	""	"490"	""
"22"	"12"	"46"	"7"	"22"	"159"	"49"	"3"	"0"	"0"	"0"	"0"	"34"	"2"	"35"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"1"	"364"	""	"364"	""
"23"	"13"	"266"	"4"	"39"	"58"	"61"	"1"	"1"	"0"	"5"	"36"	"5"	"0"	"6"	"3"	"3"	"5"	"3"	"0"	"0"	"0"	"3"	"1"	"500"	""	"500"	""
"24"	"14"	"151"	"23"	"119"	"176"	"211"	"2"	"2"	"5"	"2"	"14"	"29"	"1"	"15"	"2"	"8"	"3"	"5"	"1"	"2"	"2"	"6"	"1"	"780"	""	"780"	""
"25"	"TOTAL"	"1811"	"96"	"791"	"917"	"2254"	"41"	"14"	"23"	"45"	"258"	"559"	"32"	"401"	"28"	"45"	"71"	"45"	"9"	"9"	"23"	"30"	"36"	"7538"	"0"	"7538"	"0"
"26"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"27"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"28"	"BF"	"1811"	"96"	"791"	"917"	"2254"	"41"	"14"	"23"	"45"	"258"	"559"	"32"	"401"	"28"	"45"	"71"	"45"	"9"	"9"	"23"	"30"	"36"	"7538"	"0"	"7538"	"0"
"29"	"15"	"49"	"0"	"19"	"9"	"207"	"0"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"2"	"3"	"2"	"0"	"0"	"0"	"4"	"0"	"305"	""	"305"	""
"30"	"16"	"283"	"1"	"46"	"73"	"196"	"2"	"0"	"3"	"5"	"23"	"8"	"2"	"4"	"3"	"2"	"6"	"24"	"3"	"5"	"12"	"10"	"10"	"721"	""	"721"	""
"31"	"17"	"85"	"2"	"64"	"8"	"17"	"2"	"0"	"0"	"1"	"8"	"14"	"0"	"7"	"1"	"2"	"1"	"2"	"0"	"3"	"0"	"1"	"0"	"218"	""	"218"	""
"32"	"18"	"279"	"3"	"17"	"36"	"210"	"4"	"1"	"3"	"9"	"39"	"15"	"6"	"14"	"0"	"4"	"4"	"5"	"1"	"0"	"3"	"1"	"2"	"656"	""	"656"	""
"33"	"19"	"91"	"1"	"29"	"29"	"442"	"0"	"5"	"4"	"5"	"6"	"5"	"3"	"53"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"680"	""	"680"	""
"34"	"20"	"94"	"4"	"27"	"13"	"181"	"5"	"0"	"1"	"6"	"0"	"0"	"3"	"50"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"5"	"2"	"398"	""	"398"	""
"35"	"21"	"69"	"1"	"30"	"48"	"31"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"57"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"249"	""	"249"	""
"36"	"22"	"182"	"4"	"23"	"137"	"409"	"7"	"3"	"0"	"2"	"7"	"4"	"2"	"75"	"2"	"2"	"6"	"6"	"0"	"0"	"2"	"4"	"1"	"878"	""	"878"	""
"37"	"23"	"60"	"0"	"25"	"6"	"110"	"2"	"2"	"2"	"4"	"2"	"7"	"5"	"395"	"2"	"2"	"2"	"3"	"2"	"0"	"0"	"3"	"6"	"640"	""	"640"	""
"38"	"24"	"125"	"2"	"24"	"9"	"99"	"3"	"0"	"2"	"0"	"22"	"29"	"2"	"51"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"373"	""	"373"	""
"39"	"25"	"71"	"3"	"39"	"46"	"139"	"3"	"1"	"1"	"1"	"0"	"5"	"2"	"21"	"1"	"1"	"4"	"2"	"3"	"4"	"8"	"4"	"5"	"364"	""	"364"	""
"40"	"26"	"164"	"1"	"25"	"18"	"193"	"1"	"0"	"0"	"3"	"3"	"78"	"4"	"46"	"0"	"4"	"3"	"7"	"0"	"1"	"2"	"6"	"9"	"568"	""	"568"	""
"41"	"27"	"145"	"2"	"7"	"19"	"62"	"0"	"1"	"0"	"0"	"0"	"24"	"2"	"6"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"276"	""	"276"	""
"42"	"28"	"285"	"11"	"103"	"66"	"235"	"6"	"1"	"1"	"3"	"44"	"2"	"6"	"8"	"4"	"2"	"7"	"3"	"0"	"0"	"1"	"1"	"1"	"790"	""	"790"	""
"43"	"TOTAL"	"3793"	"131"	"1269"	"1434"	"4785"	"78"	"31"	"42"	"87"	"414"	"752"	"69"	"1189"	"49"	"67"	"114"	"105"	"18"	"24"	"55"	"72"	"76"	"14654"	"0"	"14654"	"0"
"44"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"45"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"46"	"BF"	"3793"	"131"	"1269"	"1434"	"4785"	"78"	"31"	"42"	"87"	"414"	"752"	"69"	"1189"	"49"	"67"	"114"	"105"	"18"	"24"	"55"	"72"	"76"	"14654"	"0"	"14654"	"0"
"47"	"29"	"142"	"2"	"51"	"34"	"171"	"2"	"0"	"1"	"2"	"4"	"2"	"3"	"1"	"3"	"4"	"3"	"2"	"0"	"0"	"2"	"1"	"2"	"432"	""	"432"	""
"48"	"30"	"96"	"5"	"238"	"51"	"137"	"2"	"0"	"0"	"2"	"15"	"5"	"2"	"2"	"0"	"2"	"0"	"3"	"1"	"1"	"4"	"3"	"0"	"569"	""	"569"	""
"49"	"31"	"103"	"18"	"123"	"26"	"191"	"2"	"0"	"4"	"5"	"23"	"57"	"4"	"0"	"0"	"3"	"6"	"5"	"0"	"1"	"2"	"5"	"0"	"578"	""	"578"	""
"50"	"32"	"137"	"4"	"130"	"28"	"104"	"0"	"0"	"3"	"1"	"57"	"41"	"0"	"5"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"520"	""	"520"	""
"51"	"33"	"85"	"6"	"112"	"70"	"293"	"3"	"3"	"1"	"4"	"11"	"21"	"4"	"17"	"3"	"1"	"12"	"2"	"0"	"0"	"0"	"3"	"6"	"657"	""	"657"	""
"52"	"34"	"103"	"4"	"38"	"20"	"123"	"4"	"2"	"1"	"0"	"14"	"5"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"318"	""	"318"	""
"53"	"35"	"58"	"1"	"48"	"103"	"199"	"5"	"1"	"0"	"2"	"2"	"6"	"3"	"2"	"2"	"3"	"5"	"2"	"0"	"2"	"3"	"4"	"1"	"452"	""	"452"	""
"54"	"36"	"38"	"1"	"25"	"8"	"257"	"2"	"3"	"1"	"4"	"1"	"8"	"1"	"4"	"1"	"1"	"7"	"1"	"1"	"1"	"3"	"0"	"0"	"368"	""	"368"	""
"55"	"37"	"133"	"1"	"34"	"12"	"166"	"1"	"1"	"2"	"1"	"2"	"37"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"401"	""	"401"	""
"56"	"38"	"86"	"3"	"11"	"17"	"726"	"7"	"2"	"5"	"7"	"1"	"6"	"5"	"1"	"1"	"1"	"5"	"5"	"2"	"2"	"1"	"9"	"3"	"906"	""	"906"	""
"57"	"39"	"76"	"0"	"161"	"105"	"111"	"1"	"2"	"0"	"1"	"0"	"2"	"1"	"4"	"0"	"2"	"3"	"4"	"0"	"12"	"8"	"4"	"1"	"498"	""	"498"	""
"58"	"40"	"250"	"4"	"61"	"118"	"81"	"1"	"0"	"0"	"1"	"3"	"12"	"0"	"33"	"0"	"1"	"2"	"3"	"0"	"0"	"2"	"3"	"1"	"576"	""	"576"	""
"59"	"41"	"209"	"3"	"259"	"200"	"131"	"1"	"1"	"0"	"2"	"7"	"16"	"1"	"10"	"3"	"2"	"5"	"8"	"1"	"3"	"0"	"4"	"4"	"870"	""	"870"	""
"60"	"42"	"149"	"2"	"39"	"538"	"83"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"2"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"832"	""	"832"	""
"61"	"TOTAL"	"5458"	"185"	"2599"	"2764"	"7558"	"113"	"47"	"60"	"119"	"554"	"970"	"93"	"1279"	"67"	"93"	"165"	"145"	"23"	"47"	"82"	"111"	"99"	"22631"	"0"	"22631"	"0"
"62"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"63"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"64"	"BF"	"5458"	"185"	"2599"	"2764"	"7558"	"113"	"47"	"60"	"119"	"554"	"970"	"93"	"1279"	"67"	"93"	"165"	"145"	"23"	"47"	"82"	"111"	"99"	"22631"	"0"	"22631"	"0"
"65"	"43"	"411"	"7"	"29"	"138"	"74"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"675"	""	"675"	""
"66"	"44"	"132"	"0"	"29"	"22"	"127"	"3"	"1"	"1"	"1"	"8"	"66"	"1"	"20"	"1"	"4"	"3"	"3"	"0"	"1"	"2"	"3"	"0"	"428"	""	"428"	""
"67"	"45"	"139"	"1"	"9"	"26"	"130"	"1"	"0"	"0"	"0"	"1"	"9"	"0"	"42"	"1"	"0"	"2"	"1"	"1"	"1"	"3"	"7"	"1"	"375"	""	"375"	""
"68"	"46"	"135"	"4"	"5"	"5"	"182"	"1"	"2"	"0"	"1"	"1"	"21"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"364"	""	"364"	""
"69"	"47"	"157"	"2"	"35"	"10"	"209"	"0"	"1"	"1"	"0"	"14"	"1"	"1"	"33"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"471"	""	"471"	""
"70"	"48"	"272"	"9"	"19"	"64"	"226"	"6"	"1"	"0"	"3"	"3"	"65"	"1"	"4"	"2"	"2"	"6"	"4"	"1"	"0"	"3"	"3"	"0"	"694"	""	"694"	""
"71"	"49"	"238"	"3"	"139"	"130"	"219"	"2"	"3"	"1"	"1"	"1"	"44"	"1"	"5"	"1"	"5"	"1"	"6"	"2"	"1"	"4"	"3"	"5"	"815"	""	"815"	""
"72"	"50"	"178"	"10"	"37"	"82"	"144"	"1"	"1"	"1"	"3"	"22"	"9"	"3"	"2"	"1"	"1"	"2"	"5"	"1"	"0"	"1"	"0"	"2"	"506"	""	"506"	""
"73"	"51"	"106"	"3"	"92"	"134"	"137"	"2"	"3"	"1"	"1"	"6"	"19"	"0"	"1"	"0"	"2"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"514"	""	"514"	""
"74"	"52"	"194"	"3"	"31"	"592"	"79"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"4"	"8"	"6"	"0"	"3"	"6"	"1"	"0"	"935"	""	"935"	""
"75"	"53"	"125"	"19"	"84"	"112"	"91"	"1"	"1"	"1"	"0"	"5"	"8"	"1"	"0"	"0"	"3"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"459"	""	"459"	""
"76"	"54"	"207"	"2"	"4"	"87"	"74"	"2"	"1"	"0"	"2"	"20"	"28"	"2"	"1"	"0"	"1"	"1"	"6"	"0"	"0"	"3"	"0"	"0"	"441"	""	"441"	""
"77"	"55"	"116"	"3"	"69"	"242"	"32"	"1"	"0"	"2"	"2"	"1"	"63"	"3"	"7"	"0"	"3"	"6"	"0"	"0"	"4"	"0"	"2"	"2"	"558"	""	"558"	""
"78"	"56"	"78"	"0"	"34"	"42"	"71"	"1"	"1"	"2"	"1"	"2"	"92"	"2"	"8"	"3"	"0"	"1"	"1"	"2"	"4"	"7"	"2"	"0"	"354"	""	"354"	""
"79"	"TOTAL"	"7946"	"251"	"3215"	"4450"	"9353"	"136"	"63"	"70"	"137"	"640"	"1397"	"110"	"1410"	"79"	"120"	"208"	"183"	"31"	"62"	"113"	"135"	"111"	"30220"	"0"	"30220"	"0"
"80"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"81"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"82"	"BF"	"7946"	"251"	"3215"	"4450"	"9353"	"136"	"63"	"70"	"137"	"640"	"1397"	"110"	"1410"	"79"	"120"	"208"	"183"	"31"	"62"	"113"	"135"	"111"	"30220"	"0"	"30220"	"0"
"83"	"57"	"156"	"2"	"33"	"46"	"82"	"4"	"3"	"4"	"4"	"1"	"255"	"2"	"8"	"3"	"4"	"7"	"3"	"3"	"3"	"14"	"1"	"2"	"640"	""	"640"	""
"84"	"58"	"69"	"3"	"28"	"130"	"145"	"4"	"1"	"0"	"2"	"21"	"26"	"1"	"4"	"0"	"4"	"2"	"1"	"0"	"0"	"19"	"1"	"2"	"463"	""	"463"	""
"85"	"59"	"193"	"5"	"125"	"63"	"88"	"1"	"0"	"3"	"1"	"5"	"10"	"1"	"4"	"0"	"2"	"4"	"4"	"0"	"3"	"4"	"0"	"0"	"516"	""	"516"	""
"86"	"60"	"47"	"2"	"54"	"57"	"229"	"4"	"3"	"0"	"3"	"0"	"82"	"2"	"5"	"0"	"1"	"7"	"3"	"1"	"4"	"1"	"6"	"4"	"515"	""	"515"	""
"87"	"61"	"166"	"2"	"71"	"62"	"116"	"2"	"0"	"0"	"3"	"11"	"26"	"2"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"473"	""	"473"	""
"88"	"62"	"178"	"6"	"62"	"71"	"263"	"6"	"1"	"1"	"1"	"8"	"50"	"0"	"10"	"2"	"3"	"5"	"2"	"1"	"4"	"1"	"3"	"2"	"680"	""	"680"	""
"89"	"63"	"148"	"3"	"20"	"115"	"185"	"3"	"1"	"6"	"5"	"42"	"59"	"1"	"4"	"3"	"2"	"4"	"6"	"5"	"7"	"11"	"2"	"5"	"637"	""	"637"	""
"90"	"64"	"272"	"6"	"96"	"130"	"59"	"3"	"1"	"3"	"1"	"2"	"30"	"3"	"7"	"3"	"5"	"14"	"13"	"3"	"2"	"6"	"2"	"3"	"664"	""	"664"	""
"91"	"65"	"229"	"5"	"48"	"18"	"158"	"3"	"2"	"1"	"2"	"1"	"14"	"1"	"3"	"2"	"0"	"18"	"11"	"1"	"0"	"2"	"5"	"3"	"527"	""	"527"	""
"92"	"66"	"105"	"2"	"18"	"44"	"122"	"2"	"0"	"0"	"0"	"8"	"121"	"1"	"3"	"0"	"2"	"7"	"1"	"1"	"0"	"0"	"2"	"0"	"439"	""	"439"	""
"93"	"67"	"57"	"6"	"2"	"15"	"100"	"2"	"0"	"0"	"0"	"2"	"15"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"202"	""	"202"	""
"94"	"68"	"193"	"6"	"115"	"143"	"223"	"4"	"2"	"3"	"1"	"2"	"11"	"6"	"5"	"6"	"6"	"10"	"8"	"0"	"3"	"2"	"9"	"2"	"760"	""	"760"	""
"95"	"69"	"134"	"23"	"8"	"1"	"100"	"0"	"7"	"0"	"2"	"15"	"2"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"298"	""	"298"	""
"96"	"70"	"171"	"1"	"1"	"10"	"110"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"303"	""	"303"	""
"97"	"TOTAL"	"10064"	"323"	"3896"	"5355"	"11333"	"174"	"84"	"91"	"163"	"759"	"2098"	"131"	"1473"	"102"	"149"	"292"	"237"	"46"	"88"	"176"	"168"	"135"	"37337"	"0"	"37337"	"0"
"98"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"99"	""	"Dr. Ajay Alok"	"Abhishek Kumar Singh"	"Dharmendra Kumar Singh"	"Mohammad Zama Khan"	"Brij Kishor Vind"	"Gyanchand Singh"	"Daya Shankar Singh"	"Parmeshwar Singh"	"Madan Ram"	"Ram Krishan Kharwar"	"Ramchandra Singh Yadav"	"Vinay Kumar"	"Vishvambhar Nath Singh Alias Wakil Yadav"	"Santosh Kumar Singh"	"Suman Devi"	"Kaushal Kishore Prasad Shrivastava"	"Jawahir Singh"	"Dhunia Devi"	"Bikas Tiwari"	"Ravi Prasad"	"Shyam Sundar Ram"	"Surya Kant Prasad"	""	""	""	""
"100"	"BF"	"10064"	"323"	"3896"	"5355"	"11333"	"174"	"84"	"91"	"163"	"759"	"2098"	"131"	"1473"	"102"	"149"	"292"	"237"	"46"	"88"	"176"	"168"	"135"	"37337"	"0"	"37337"	"0"
"101"	"71"	"110"	"3"	"4"	"9"	"138"	"4"	"0"	"2"	"1"	"51"	"0"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	""	"330"	""
"102"	"72"	"365"	"4"	"1"	"11"	"33"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"14"	"8"	"0"	"0"	"0"	"0"	"1"	"440"	""	"440"	""
"103"	"73"	"185"	"5"	"21"	"119"	"292"	"7"	"3"	"2"	"7"	"30"	"7"	"9"	"6"	"4"	"7"	"23"	"7"	"0"	"2"	"2"	"2"	"2"	"742"	""	"742"	""
"104"	"74"	"358"	"22"	"7"	"89"	"38"	"2"	"1"	"1"	"2"	"0"	"3"	"3"	"2"	"0"	"2"	"8"	"6"	"3"	"1"	"2"	"0"	"0"	"550"	""	"550"	""
"105"	"75"	"425"	"11"	"29"	"52"	"167"	"1"	"2"	"1"	"1"	"0"	"6"	"2"	"4"	"1"	"5"	"25"	"7"	"1"	"0"	"0"	"0"	"0"	"740"	""	"740"	""
"106"	"76"	"27"	"1"	"6"	"188"	"169"	"2"	"5"	"3"	"4"	"1"	"19"	"0"	"2"	"0"	"2"	"0"	"3"	"1"	"0"	"3"	"4"	"5"	"445"	""	"445"	""
"107"	"77"	"10"	"1"	"107"	"39"	"251"	"6"	"2"	"2"	"4"	"1"	"2"	"1"	"2"	"0"	"4"	"9"	"0"	"1"	"2"	"3"	"3"	"1"	"451"	""	"451"	""
"108"	"78"	"216"	"3"	"5"	"3"	"42"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	""	"270"	""
"109"	"79"	"98"	"7"	"28"	"19"	"235"	"2"	"2"	"2"	"9"	"3"	"3"	"3"	"1"	"1"	"5"	"6"	"1"	"0"	"0"	"0"	"1"	"0"	"426"	""	"426"	""
"110"	"80"	"114"	"2"	"14"	"44"	"145"	"2"	"0"	"0"	"0"	"8"	"44"	"1"	"1"	"0"	"3"	"3"	"2"	"2"	"1"	"8"	"3"	"0"	"397"	""	"397"	""
"111"	"81"	"201"	"7"	"89"	"89"	"267"	"5"	"0"	"0"	"0"	"6"	"19"	"0"	"1"	"1"	"0"	"4"	"1"	"2"	"0"	"0"	"2"	"6"	"700"	""	"700"	""
"112"	"82"	"143"	"2"	"198"	"96"	"97"	"2"	"1"	"1"	"20"	"2"	"38"	"3"	"2"	"2"	"2"	"4"	"7"	"0"	"5"	"3"	"6"	"4"	"638"	""	"638"	""
"113"	"83"	"51"	"1"	"36"	"19"	"255"	"3"	"1"	"1"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"3"	"3"	"1"	"2"	"9"	"3"	"396"	""	"396"	""
