"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"14"	"13"	"214"	"2"	"6"	"524"	"3"	"14"	"2"	"0"	"3"	"1"	"0"	"2"	"3"	"0"	"1"	"4"	"779"	"0"	"779"	"0"
"15"	"14"	"331"	"2"	"1"	"216"	"3"	"4"	"1"	"0"	"4"	"2"	"3"	"7"	"3"	"2"	"3"	"13"	"595"	"0"	"595"	"0"
"16"	"15"	"704"	"9"	"3"	"6"	"0"	"5"	"2"	"0"	"2"	"2"	"2"	"2"	"3"	"1"	"2"	"18"	"761"	"0"	"761"	"0"
"17"	"16"	"272"	"8"	"17"	"395"	"13"	"49"	"6"	"7"	"6"	"7"	"9"	"10"	"17"	"7"	"9"	"18"	"850"	"0"	"850"	"0"
"18"	"17"	"300"	"5"	"11"	"245"	"9"	"114"	"2"	"8"	"14"	"2"	"10"	"15"	"7"	"4"	"7"	"33"	"786"	"0"	"786"	"0"
"19"	"18"	"760"	"0"	"4"	"12"	"0"	"4"	"0"	"2"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"13"	"800"	"0"	"800"	"0"
"20"	"19"	"332"	"3"	"12"	"372"	"11"	"13"	"4"	"8"	"9"	"5"	"7"	"6"	"9"	"5"	"4"	"35"	"835"	"0"	"835"	"0"
"21"	"20"	"362"	"3"	"7"	"79"	"3"	"33"	"5"	"11"	"5"	"4"	"7"	"3"	"2"	"3"	"2"	"15"	"544"	"0"	"544"	"0"
"22"	"21"	"394"	"3"	"7"	"158"	"1"	"6"	"0"	"2"	"8"	"3"	"0"	"0"	"5"	"1"	"1"	"17"	"606"	"0"	"606"	"0"
"23"	"22"	"259"	"2"	"12"	"253"	"4"	"5"	"4"	"9"	"9"	"2"	"1"	"9"	"5"	"3"	"3"	"21"	"601"	"0"	"601"	"0"
"24"	"23"	"205"	"17"	"8"	"248"	"6"	"32"	"1"	"9"	"9"	"4"	"2"	"11"	"11"	"2"	"3"	"15"	"583"	"0"	"583"	"0"
"25"	"24"	"319"	"6"	"5"	"103"	"5"	"12"	"2"	"2"	"6"	"3"	"4"	"8"	"5"	"1"	"6"	"30"	"517"	"0"	"517"	"0"
"26"	"25"	"178"	"10"	"12"	"35"	"0"	"55"	"1"	"4"	"13"	"2"	"1"	"8"	"0"	"2"	"1"	"46"	"368"	"0"	"368"	"0"
"27"	"26"	"297"	"1"	"4"	"47"	"0"	"0"	"0"	"6"	"1"	"0"	"3"	"1"	"0"	"1"	"1"	"17"	"379"	"0"	"379"	"0"
"28"	"27"	"160"	"1"	"0"	"152"	"2"	"7"	"0"	"3"	"1"	"1"	"0"	"3"	"3"	"2"	"1"	"8"	"344"	"0"	"344"	"0"
"29"	"28"	"32"	"1"	"2"	"268"	"8"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"10"	"3"	"5"	"425"	"759"	"0"	"759"	"0"
"30"	"29"	"281"	"12"	"15"	"117"	"3"	"5"	"3"	"5"	"2"	"3"	"4"	"4"	"0"	"0"	"6"	"9"	"469"	"0"	"469"	"0"
"31"	"30"	"239"	"1"	"6"	"125"	"7"	"29"	"0"	"4"	"6"	"6"	"2"	"9"	"22"	"4"	"8"	"43"	"511"	"0"	"511"	"0"
"32"	"31"	"265"	"1"	"6"	"127"	"2"	"6"	"0"	"5"	"1"	"5"	"3"	"2"	"5"	"4"	"3"	"29"	"464"	"0"	"464"	"0"
"33"	"32"	"12"	"1"	"5"	"230"	"6"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"13"	"0"	"2"	"52"	"325"	"0"	"325"	"0"
"34"	"33"	"380"	"12"	"2"	"119"	"8"	"1"	"3"	"2"	"3"	"0"	"1"	"1"	"0"	"1"	"2"	"20"	"555"	"0"	"555"	"0"
"35"	"34"	"381"	"10"	"7"	"64"	"2"	"17"	"1"	"6"	"8"	"1"	"1"	"10"	"7"	"3"	"6"	"82"	"606"	"0"	"606"	"0"
"36"	"35"	"174"	"1"	"1"	"73"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"253"	"0"	"253"	"0"
"37"	"36"	"212"	"5"	"1"	"75"	"1"	"3"	"1"	"3"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"9"	"315"	"0"	"315"	"0"
"38"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"39"	""	"AJAY KUMAR SINGH"	"ANIL KUMAR"	"RAMJI SINGH"	"DR. RAMANA ND YADAV"	"ATRIPTA JAWAHA R"	"UMESH SINGH"	"DHIREND RA KUMAR"	"PARAMA NANDA SINGH"	"BINOD KUMAR SINGH"	"SHYAM BABU KUMAR"	"AJAY KUMAR"	"ASHOK KUMAR SINGH"	"KUMAR RAJIV"	"DEO KUMAR"	"PUSHPA K ANAND"	"RAM PRAVES H SINGH"	""	""	""	""
"40"	"37"	"81"	"2"	"8"	"342"	"2"	"38"	"0"	"6"	"5"	"1"	"3"	"3"	"2"	"1"	"0"	"4"	"498"	"0"	"498"	"0"
"41"	"38"	"301"	"3"	"8"	"71"	"2"	"8"	"3"	"5"	"9"	"0"	"2"	"4"	"0"	"3"	"2"	"5"	"426"	"0"	"426"	"0"
"42"	"39"	"170"	"6"	"6"	"46"	"2"	"15"	"0"	"2"	"6"	"1"	"0"	"4"	"3"	"0"	"0"	"5"	"266"	"0"	"266"	"0"
"43"	"40"	"144"	"5"	"2"	"337"	"4"	"3"	"2"	"1"	"7"	"2"	"4"	"5"	"7"	"3"	"7"	"10"	"543"	"0"	"543"	"0"
"44"	"41"	"225"	"1"	"0"	"59"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"6"	"296"	"0"	"296"	"0"
"45"	"42"	"155"	"0"	"0"	"97"	"2"	"0"	"3"	"3"	"4"	"1"	"1"	"2"	"4"	"0"	"0"	"4"	"276"	"0"	"276"	"0"
"46"	"43"	"291"	"1"	"12"	"312"	"8"	"42"	"3"	"7"	"5"	"4"	"3"	"11"	"5"	"1"	"3"	"18"	"726"	"0"	"726"	"0"
"47"	"44"	"229"	"2"	"19"	"186"	"4"	"57"	"1"	"3"	"2"	"1"	"1"	"3"	"2"	"1"	"4"	"9"	"524"	"0"	"524"	"0"
"48"	"45"	"417"	"8"	"8"	"142"	"2"	"15"	"3"	"7"	"8"	"0"	"6"	"5"	"2"	"0"	"2"	"15"	"640"	"0"	"640"	"0"
"49"	"46"	"307"	"3"	"9"	"136"	"1"	"10"	"4"	"3"	"7"	"2"	"4"	"8"	"7"	"4"	"2"	"30"	"537"	"0"	"537"	"0"
"50"	"47"	"265"	"4"	"10"	"92"	"4"	"96"	"5"	"15"	"4"	"8"	"15"	"51"	"13"	"4"	"3"	"30"	"619"	"0"	"619"	"0"
"51"	"48"	"348"	"3"	"16"	"37"	"2"	"2"	"0"	"3"	"2"	"0"	"3"	"5"	"1"	"3"	"2"	"13"	"440"	"0"	"440"	"0"
"52"	"49"	"192"	"4"	"5"	"124"	"9"	"89"	"3"	"5"	"2"	"3"	"4"	"6"	"2"	"8"	"2"	"19"	"477"	"0"	"477"	"0"
"53"	"50"	"295"	"0"	"7"	"96"	"1"	"73"	"2"	"2"	"6"	"2"	"3"	"7"	"3"	"3"	"2"	"20"	"522"	"0"	"522"	"0"
"54"	"51"	"43"	"1"	"3"	"240"	"0"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"5"	"301"	"0"	"301"	"0"
"55"	"52"	"14"	"0"	"6"	"314"	"10"	"0"	"2"	"1"	"5"	"0"	"2"	"3"	"2"	"1"	"0"	"6"	"366"	"0"	"366"	"0"
"56"	"53"	"431"	"1"	"2"	"20"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"4"	"466"	"0"	"466"	"0"
"57"	"54"	"203"	"15"	"6"	"115"	"7"	"77"	"8"	"8"	"9"	"1"	"1"	"4"	"4"	"18"	"0"	"8"	"484"	"0"	"484"	"0"
"58"	"55"	"339"	"10"	"3"	"66"	"1"	"4"	"2"	"3"	"2"	"2"	"4"	"2"	"1"	"10"	"2"	"16"	"467"	"0"	"467"	"0"
"59"	"56"	"91"	"28"	"4"	"247"	"8"	"25"	"2"	"4"	"1"	"2"	"0"	"3"	"4"	"8"	"1"	"4"	"432"	"0"	"432"	"0"
"60"	"57"	"105"	"1"	"15"	"148"	"4"	"10"	"0"	"1"	"0"	"1"	"2"	"4"	"10"	"4"	"3"	"63"	"371"	"0"	"371"	"0"
"61"	"58"	"43"	"8"	"8"	"240"	"13"	"49"	"4"	"6"	"2"	"2"	"7"	"9"	"19"	"6"	"5"	"23"	"444"	"0"	"444"	"0"
"62"	"59"	"275"	"7"	"10"	"257"	"6"	"4"	"2"	"1"	"3"	"0"	"1"	"5"	"0"	"4"	"3"	"2"	"580"	"0"	"580"	"0"
"63"	"60"	"323"	"0"	"5"	"263"	"4"	"3"	"1"	"4"	"6"	"6"	"0"	"9"	"11"	"92"	"4"	"20"	"751"	"0"	"751"	"0"
"64"	"61"	"256"	"3"	"4"	"12"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"8"	"2"	"131"	"4"	"11"	"437"	"0"	"437"	"0"
"65"	"62"	"456"	"4"	"5"	"38"	"1"	"99"	"4"	"7"	"6"	"1"	"1"	"4"	"4"	"35"	"0"	"14"	"679"	"0"	"679"	"0"
"66"	"63"	"385"	"3"	"9"	"24"	"2"	"18"	"1"	"3"	"3"	"3"	"5"	"4"	"1"	"53"	"4"	"14"	"532"	"0"	"532"	"0"
"67"	"64"	"195"	"0"	"5"	"73"	"5"	"61"	"3"	"5"	"5"	"3"	"2"	"2"	"0"	"24"	"0"	"3"	"386"	"0"	"386"	"0"
"68"	"65"	"133"	"2"	"2"	"39"	"2"	"24"	"1"	"5"	"7"	"3"	"4"	"0"	"3"	"22"	"2"	"14"	"263"	"0"	"263"	"0"
"69"	"66"	"320"	"11"	"10"	"77"	"8"	"202"	"14"	"80"	"15"	"4"	"27"	"11"	"6"	"6"	"9"	"50"	"850"	"0"	"850"	"0"
"70"	"67"	"364"	"9"	"21"	"193"	"4"	"9"	"2"	"6"	"2"	"2"	"0"	"11"	"4"	"36"	"3"	"34"	"700"	"0"	"700"	"0"
"71"	"68"	"232"	"0"	"7"	"80"	"3"	"5"	"0"	"5"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"15"	"354"	"0"	"354"	"0"
"72"	"69"	"4"	"0"	"10"	"357"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"2"	"0"	"1"	"381"	"0"	"381"	"0"
"73"	"70"	"18"	"0"	"6"	"378"	"4"	"3"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"7"	"429"	"0"	"429"	"0"
"74"	"71"	"139"	"0"	"4"	"229"	"3"	"3"	"0"	"2"	"2"	"2"	"0"	"4"	"0"	"0"	"1"	"4"	"393"	"0"	"393"	"0"
"75"	"72"	"68"	"12"	"10"	"331"	"2"	"19"	"1"	"1"	"3"	"1"	"1"	"2"	"4"	"0"	"0"	"3"	"458"	"0"	"458"	"0"
"76"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"77"	""	"AJAY KUMAR SINGH"	"ANIL KUMAR"	"RAMJI SINGH"	"DR. RAMANA ND YADAV"	"ATRIPTA JAWAHA R"	"UMESH SINGH"	"DHIREND RA KUMAR"	"PARAMA NANDA SINGH"	"BINOD KUMAR SINGH"	"SHYAM BABU KUMAR"	"AJAY KUMAR"	"ASHOK KUMAR SINGH"	"KUMAR RAJIV"	"DEO KUMAR"	"PUSHPA K ANAND"	"RAM PRAVES H SINGH"	""	""	""	""
"78"	"73"	"28"	"4"	"8"	"305"	"4"	"12"	"4"	"0"	"6"	"1"	"4"	"0"	"4"	"1"	"3"	"8"	"392"	"0"	"392"	"0"
"79"	"74"	"5"	"0"	"4"	"128"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"0"	"1"	"148"	"0"	"148"	"0"
"80"	"75"	"20"	"0"	"6"	"84"	"0"	"20"	"0"	"2"	"3"	"0"	"2"	"0"	"1"	"1"	"2"	"2"	"143"	"0"	"143"	"0"
"81"	"76"	"165"	"2"	"27"	"441"	"5"	"0"	"0"	"4"	"11"	"4"	"6"	"11"	"14"	"4"	"8"	"29"	"731"	"0"	"731"	"0"
"82"	"77"	"43"	"3"	"7"	"396"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"6"	"2"	"0"	"10"	"476"	"0"	"476"	"0"
"83"	"78"	"66"	"3"	"16"	"493"	"8"	"5"	"4"	"1"	"10"	"4"	"2"	"7"	"16"	"4"	"5"	"30"	"674"	"0"	"674"	"0"
"84"	"79"	"32"	"5"	"4"	"386"	"5"	"3"	"1"	"3"	"6"	"3"	"1"	"9"	"9"	"1"	"1"	"13"	"482"	"0"	"482"	"0"
"85"	"80"	"144"	"1"	"9"	"288"	"9"	"6"	"3"	"5"	"2"	"2"	"2"	"7"	"12"	"1"	"5"	"24"	"520"	"0"	"520"	"0"
"86"	"81"	"153"	"0"	"1"	"205"	"0"	"5"	"0"	"1"	"2"	"1"	"2"	"4"	"3"	"2"	"1"	"8"	"388"	"0"	"388"	"0"
"87"	"82"	"36"	"2"	"16"	"546"	"7"	"2"	"2"	"2"	"7"	"2"	"1"	"6"	"13"	"10"	"6"	"30"	"688"	"0"	"688"	"0"
"88"	"83"	"107"	"0"	"11"	"385"	"8"	"4"	"5"	"3"	"4"	"0"	"2"	"5"	"12"	"4"	"8"	"16"	"574"	"0"	"574"	"0"
"89"	"84"	"75"	"1"	"4"	"352"	"6"	"47"	"2"	"6"	"3"	"3"	"2"	"5"	"9"	"2"	"3"	"13"	"533"	"0"	"533"	"0"
"90"	"85"	"10"	"0"	"4"	"237"	"8"	"2"	"1"	"4"	"4"	"0"	"1"	"3"	"7"	"1"	"2"	"10"	"294"	"0"	"294"	"0"
"91"	"86"	"34"	"4"	"5"	"628"	"2"	"1"	"1"	"0"	"3"	"1"	"0"	"2"	"3"	"0"	"1"	"2"	"687"	"0"	"687"	"0"
"92"	"87"	"24"	"0"	"3"	"430"	"3"	"13"	"0"	"1"	"1"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"482"	"0"	"482"	"0"
"93"	"88"	"45"	"1"	"4"	"387"	"14"	"3"	"0"	"1"	"3"	"0"	"5"	"4"	"21"	"3"	"2"	"10"	"503"	"0"	"503"	"0"
"94"	"89"	"3"	"0"	"14"	"295"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"18"	"2"	"3"	"19"	"361"	"0"	"361"	"0"
"95"	"90"	"1"	"0"	"0"	"123"	"1"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"136"	"0"	"136"	"0"
"96"	"91"	"43"	"3"	"7"	"501"	"9"	"6"	"1"	"5"	"6"	"3"	"5"	"4"	"14"	"2"	"2"	"54"	"665"	"0"	"665"	"0"
"97"	"92"	"44"	"4"	"8"	"712"	"9"	"2"	"0"	"1"	"2"	"0"	"2"	"4"	"12"	"3"	"1"	"12"	"816"	"0"	"816"	"0"
"98"	"93"	"11"	"2"	"3"	"213"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"8"	"0"	"1"	"3"	"244"	"0"	"244"	"0"
"99"	"94"	"80"	"4"	"5"	"61"	"1"	"3"	"3"	"8"	"7"	"1"	"2"	"7"	"2"	"0"	"1"	"1"	"186"	"0"	"186"	"0"
"100"	"95"	"70"	"3"	"3"	"86"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"2"	"1"	"1"	"0"	"4"	"175"	"0"	"175"	"0"
"101"	"96"	"99"	"11"	"11"	"424"	"6"	"2"	"0"	"5"	"3"	"4"	"5"	"9"	"14"	"8"	"1"	"11"	"613"	"0"	"613"	"0"
"102"	"97"	"11"	"3"	"5"	"476"	"9"	"1"	"0"	"0"	"2"	"1"	"5"	"1"	"7"	"1"	"1"	"9"	"532"	"0"	"532"	"0"
"103"	"98"	"33"	"1"	"10"	"557"	"10"	"6"	"1"	"7"	"12"	"3"	"2"	"8"	"20"	"3"	"3"	"15"	"691"	"0"	"691"	"0"
"104"	"99"	"4"	"0"	"6"	"567"	"6"	"0"	"0"	"1"	"0"	"0"	"2"	"4"	"7"	"0"	"3"	"11"	"611"	"0"	"611"	"0"
"105"	"100"	"349"	"13"	"23"	"149"	"6"	"8"	"3"	"7"	"11"	"4"	"10"	"11"	"9"	"4"	"3"	"31"	"641"	"0"	"641"	"0"
"106"	"101"	"200"	"10"	"11"	"323"	"7"	"3"	"3"	"6"	"15"	"2"	"2"	"11"	"13"	"4"	"2"	"14"	"626"	"0"	"626"	"0"
"107"	"102"	"108"	"3"	"3"	"317"	"3"	"2"	"0"	"2"	"5"	"2"	"5"	"3"	"2"	"2"	"2"	"9"	"468"	"0"	"468"	"0"
"108"	"103"	"273"	"3"	"21"	"227"	"1"	"5"	"0"	"1"	"2"	"5"	"4"	"3"	"6"	"5"	"5"	"12"	"573"	"0"	"573"	"0"
"109"	"104"	"151"	"7"	"8"	"303"	"5"	"8"	"6"	"8"	"9"	"5"	"5"	"9"	"10"	"2"	"3"	"25"	"564"	"0"	"564"	"0"
"110"	"105"	"263"	"8"	"8"	"241"	"4"	"5"	"3"	"4"	"0"	"3"	"7"	"14"	"22"	"5"	"5"	"22"	"614"	"0"	"614"	"0"
"111"	"106"	"97"	"0"	"9"	"356"	"4"	"0"	"0"	"2"	"1"	"3"	"2"	"4"	"10"	"4"	"1"	"4"	"497"	"0"	"497"	"0"
"112"	"107"	"86"	"2"	"5"	"155"	"2"	"2"	"1"	"1"	"3"	"0"	"3"	"3"	"2"	"1"	"1"	"3"	"270"	"0"	"270"	"0"
"113"	"108"	"96"	"1"	"3"	"54"	"2"	"93"	"3"	"3"	"2"	"3"	"5"	"2"	"2"	"2"	"0"	"7"	"278"	"0"	"278"	"0"
"114"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"115"	""	"AJAY KUMAR SINGH"	"ANIL KUMAR"	"RAMJI SINGH"	"DR. RAMANA ND YADAV"	"ATRIPTA JAWAHA R"	"UMESH SINGH"	"DHIREND RA KUMAR"	"PARAMA NANDA SINGH"	"BINOD KUMAR SINGH"	"SHYAM BABU KUMAR"	"AJAY KUMAR"	"ASHOK KUMAR SINGH"	"KUMAR RAJIV"	"DEO KUMAR"	"PUSHPA K ANAND"	"RAM PRAVES H SINGH"	""	""	""	""
"116"	"109"	"155"	"4"	"8"	"199"	"3"	"7"	"0"	"0"	"0"	"0"	"1"	"4"	"4"	"4"	"2"	"14"	"405"	"0"	"405"	"0"
"117"	"110"	"106"	"2"	"8"	"133"	"7"	"40"	"1"	"6"	"6"	"9"	"6"	"10"	"8"	"42"	"2"	"19"	"405"	"0"	"405"	"0"
"118"	"111"	"11"	"3"	"6"	"307"	"10"	"7"	"2"	"0"	"2"	"2"	"0"	"5"	"21"	"1"	"1"	"12"	"390"	"0"	"390"	"0"
"119"	"112"	"19"	"2"	"7"	"414"	"5"	"2"	"2"	"1"	"1"	"0"	"1"	"4"	"12"	"0"	"3"	"8"	"481"	"0"	"481"	"0"
"120"	"113"	"26"	"3"	"9"	"247"	"6"	"10"	"2"	"1"	"20"	"1"	"1"	"9"	"14"	"5"	"3"	"18"	"375"	"0"	"375"	"0"
"121"	"114"	"116"	"2"	"2"	"38"	"1"	"12"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"88"	"0"	"5"	"272"	"0"	"272"	"0"
"122"	"115"	"276"	"1"	"15"	"18"	"0"	"1"	"1"	"2"	"4"	"1"	"1"	"2"	"0"	"41"	"3"	"5"	"371"	"0"	"371"	"0"
"123"	"116"	"183"	"0"	"6"	"36"	"1"	"4"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"65"	"0"	"8"	"309"	"0"	"309"	"0"
"124"	"117"	"95"	"2"	"7"	"95"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"5"	"76"	"0"	"7"	"292"	"0"	"292"	"0"
"125"	"118"	"35"	"0"	"2"	"6"	"1"	"37"	"0"	"3"	"3"	"1"	"5"	"4"	"10"	"313"	"2"	"10"	"432"	"0"	"432"	"0"
"126"	"119"	"19"	"1"	"7"	"251"	"12"	"12"	"8"	"2"	"4"	"2"	"3"	"8"	"21"	"134"	"3"	"19"	"506"	"0"	"506"	"0"
"127"	"120"	"9"	"0"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"8"	"287"	"0"	"2"	"314"	"0"	"314"	"0"
"128"	"121"	"80"	"0"	"3"	"31"	"1"	"12"	"1"	"2"	"4"	"0"	"1"	"2"	"12"	"305"	"2"	"6"	"462"	"0"	"462"	"0"
"129"	"122"	"145"	"1"	"6"	"60"	"3"	"97"	"0"	"6"	"15"	"5"	"7"	"6"	"5"	"63"	"4"	"12"	"435"	"0"	"435"	"0"
"130"	"123"	"285"	"4"	"8"	"57"	"3"	"4"	"3"	"1"	"7"	"7"	"3"	"3"	"6"	"141"	"5"	"5"	"542"	"0"	"542"	"0"
"131"	"124"	"176"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"17"	"0"	"0"	"198"	"0"	"198"	"0"
"132"	"125"	"229"	"0"	"3"	"4"	"1"	"9"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"42"	"0"	"5"	"298"	"0"	"298"	"0"
"133"	"126"	"185"	"2"	"26"	"37"	"1"	"2"	"0"	"0"	"0"	"1"	"3"	"5"	"1"	"3"	"2"	"11"	"279"	"0"	"279"	"0"
"134"	"127"	"217"	"0"	"2"	"44"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"3"	"0"	"7"	"281"	"0"	"281"	"0"
"135"	"128"	"290"	"2"	"4"	"8"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"3"	"0"	"2"	"317"	"0"	"317"	"0"
"136"	"129"	"329"	"6"	"10"	"47"	"1"	"56"	"0"	"4"	"5"	"0"	"1"	"1"	"1"	"3"	"2"	"9"	"475"	"0"	"475"	"0"
"137"	"130"	"413"	"3"	"1"	"3"	"2"	"14"	"1"	"4"	"1"	"0"	"2"	"2"	"2"	"10"	"2"	"27"	"487"	"0"	"487"	"0"
"138"	"131"	"106"	"4"	"6"	"376"	"5"	"6"	"5"	"4"	"10"	"3"	"3"	"11"	"15"	"42"	"5"	"8"	"609"	"0"	"609"	"0"
"139"	"132"	"27"	"1"	"4"	"20"	"1"	"3"	"54"	"2"	"2"	"5"	"3"	"3"	"7"	"403"	"3"	"5"	"543"	"0"	"543"	"0"
"140"	"133"	"140"	"19"	"7"	"175"	"8"	"18"	"7"	"4"	"6"	"3"	"0"	"8"	"5"	"63"	"5"	"23"	"491"	"0"	"491"	"0"
"141"	"134"	"350"	"6"	"4"	"78"	"6"	"22"	"2"	"2"	"3"	"2"	"3"	"2"	"3"	"30"	"0"	"64"	"577"	"0"	"577"	"0"
"142"	"135"	"150"	"3"	"4"	"127"	"4"	"38"	"4"	"1"	"4"	"3"	"3"	"4"	"9"	"110"	"4"	"21"	"489"	"0"	"489"	"0"
"143"	"136"	"72"	"3"	"8"	"210"	"8"	"28"	"0"	"2"	"6"	"2"	"6"	"4"	"9"	"202"	"3"	"26"	"589"	"0"	"589"	"0"
"144"	"137"	"209"	"4"	"6"	"40"	"3"	"91"	"5"	"3"	"3"	"2"	"4"	"2"	"1"	"21"	"5"	"14"	"413"	"0"	"413"	"0"
"145"	"138"	"236"	"12"	"3"	"29"	"1"	"6"	"1"	"4"	"5"	"1"	"2"	"7"	"4"	"42"	"5"	"14"	"372"	"0"	"372"	"0"
"146"	"139"	"246"	"0"	"4"	"158"	"6"	"62"	"0"	"12"	"10"	"3"	"3"	"6"	"7"	"43"	"1"	"10"	"571"	"0"	"571"	"0"
"147"	"140"	"269"	"2"	"1"	"2"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"11"	"0"	"16"	"321"	"0"	"321"	"0"
