"Name.of.Candidates"	"AJAY.KUMAR"	"JITAN.RAM.MANJHI"	"DHARMRAJ.PASWAN"	"RAM.GULAM"	"SHANKAR.SWAROOP"	"ABHIMANYU.PASWAN"	"KUSUM.DEVI"	"KAULESHWA.R.PASWAN"	"GANAURI.PASWAN"	"GAURI.MANJHI"	"DHANANJAY.KISHOR"	"LALAN.MANJHI"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.tendered.votes"
"18"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"19"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"20"	"Round - 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"21"	"15"	1	45	206	2	2	2	1	0	0	1	0	2	"262"	""	"262"	""
"22"	"16"	4	212	46	87	73	19	4	2	8	4	6	17	"482"	""	"482"	""
"23"	"17"	7	205	5	63	61	6	1	3	0	5	5	8	"369"	""	"369"	""
"24"	"18"	4	6	311	4	3	2	1	1	1	1	2	5	"341"	""	"341"	""
"25"	"19"	6	58	153	7	5	2	2	1	2	4	3	13	"256"	""	"256"	""
"26"	"20"	9	75	46	80	5	12	6	2	3	2	5	6	"251"	""	"251"	""
"27"	"21"	2	21	311	14	6	60	7	2	3	3	1	6	"436"	""	"436"	""
"28"	"22"	2	10	153	7	3	48	3	2	4	4	3	6	"245"	""	"245"	""
"29"	"23"	1	205	65	121	17	19	2	1	5	1	1	5	"443"	""	"443"	""
"30"	"24"	13	135	308	10	24	21	3	3	4	6	12	8	"547"	""	"547"	""
"31"	"25"	2	1	249	3	0	7	0	1	1	1	1	1	"267"	""	"267"	""
"32"	"26"	12	122	351	12	39	7	0	1	3	7	5	10	"569"	""	"569"	""
"33"	"27"	3	4	182	4	0	0	0	1	1	3	1	1	"200"	""	"200"	""
"34"	"28"	8	300	186	0	23	0	0	2	11	7	10	10	"557"	""	"557"	""
"35"	"Total"	74	1399	2572	414	261	205	30	22	46	49	55	98	"5225"	"0"	"5225"	"0"
"36"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"37"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"38"	"Round -3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"39"	"29"	10	258	175	43	13	23	2	2	2	5	2	8	"543"	""	"543"	""
"40"	"30"	12	185	40	6	5	99	5	4	0	4	4	4	"368"	""	"368"	""
"41"	"31"	4	22	268	3	2	63	5	4	1	3	3	13	"391"	""	"391"	""
"42"	"32"	4	50	191	1	0	0	0	1	4	1	2	3	"257"	""	"257"	""
"43"	"33"	10	167	424	23	17	5	1	2	3	1	2	10	"665"	""	"665"	""
"44"	"34"	24	214	183	11	7	36	8	4	2	3	6	8	"506"	""	"506"	""
"45"	"35"	14	271	112	12	7	2	6	2	2	5	6	5	"444"	""	"444"	""
"46"	"36"	10	379	19	28	26	1	0	0	1	2	1	9	"476"	""	"476"	""
"47"	"37"	5	188	59	4	5	1	0	1	0	2	1	1	"267"	""	"267"	""
"48"	"38"	10	265	24	3	6	11	1	1	4	4	5	9	"343"	""	"343"	""
"49"	"39"	15	364	159	21	18	12	1	4	2	1	5	14	"616"	""	"616"	""
"50"	"40"	6	113	74	1	58	26	2	3	1	1	6	12	"303"	""	"303"	""
"51"	"41"	8	144	269	26	11	19	3	5	8	6	6	12	"517"	""	"517"	""
"52"	"42"	0	9	235	2	1	0	0	0	0	0	2	0	"249"	""	"249"	""
"53"	"Total"	132	2629	2232	184	176	298	34	33	30	38	51	108	"5945"	"0"	"5945"	"0"
"54"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"55"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"56"	"Round -4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"57"	"43"	2	166	331	127	11	8	5	2	0	3	0	7	"662"	""	"662"	""
"58"	"44"	9	308	35	63	10	7	2	4	3	1	7	3	"452"	""	"452"	""
"59"	"45"	4	133	137	2	22	2	1	3	1	4	4	4	"317"	""	"317"	""
"60"	"46"	2	160	57	15	9	2	2	0	0	0	1	1	"249"	""	"249"	""
"61"	"47"	16	267	45	7	24	11	5	4	3	6	8	22	"418"	""	"418"	""
"62"	"48"	1	47	96	8	8	1	4	10	3	2	1	8	"189"	""	"189"	""
"63"	"49"	0	7	474	3	3	0	0	0	1	0	0	0	"488"	""	"488"	""
"64"	"50"	13	253	25	96	15	13	4	2	1	3	13	28	"466"	""	"466"	""
"65"	"51"	9	210	178	8	26	16	4	3	1	3	0	2	"460"	""	"460"	""
"66"	"52"	2	110	176	3	18	4	2	3	0	2	0	0	"320"	""	"320"	""
"67"	"53"	11	225	13	1	8	3	2	1	1	5	4	11	"285"	""	"285"	""
"68"	"54"	7	243	49	2	2	34	7	4	5	5	14	17	"389"	""	"389"	""
"69"	"55"	8	333	58	3	8	20	2	7	5	6	12	41	"503"	""	"503"	""
"70"	"56"	9	69	295	14	2	2	1	2	1	5	3	10	"413"	""	"413"	""
"71"	"Total"	93	2531	1969	352	166	123	41	45	25	45	67	154	"5611"	"0"	"5611"	"0"
"72"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"73"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"74"	"Round - 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"75"	"57"	12	183	79	4	31	15	4	3	4	10	3	10	"358"	""	"358"	""
"76"	"58"	4	98	366	7	4	7	2	1	1	2	3	4	"499"	""	"499"	""
"77"	"59"	1	133	52	11	1	40	4	3	1	2	5	12	"265"	""	"265"	""
"78"	"60"	12	374	21	5	24	29	2	1	1	0	3	2	"474"	""	"474"	""
"79"	"61"	3	396	17	0	5	0	0	0	2	3	2	1	"429"	""	"429"	""
"80"	"62"	12	292	172	13	20	6	4	5	3	6	3	14	"550"	""	"550"	""
"81"	"63"	8	6	200	4	9	1	2	3	5	1	2	6	"247"	""	"247"	""
"82"	"64"	1	97	2	0	12	0	0	0	0	0	2	2	"116"	""	"116"	""
"83"	"65"	10	265	43	4	96	3	1	4	0	1	5	4	"436"	""	"436"	""
"84"	"66"	4	153	245	2	4	0	1	0	2	2	2	1	"416"	""	"416"	""
"85"	"67"	1	242	164	4	10	0	0	1	0	2	0	6	"430"	""	"430"	""
"86"	"68"	1	97	67	4	2	2	1	1	0	4	1	2	"182"	""	"182"	""
"87"	"69"	9	282	43	9	71	6	4	3	0	2	4	9	"442"	""	"442"	""
"88"	"70"	2	132	2	0	98	4	0	0	1	2	3	2	"246"	""	"246"	""
"89"	"Total"	80	2750	1473	67	387	113	25	25	20	37	38	75	"5090"	"0"	"5090"	"0"
"90"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"91"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"92"	"Round - 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"93"	"71"	8	176	88	57	10	2	3	1	3	1	3	8	"360"	""	"360"	""
"94"	"71A"	14	80	187	8	3	0	0	0	0	3	3	7	"305"	""	"305"	""
"95"	"72"	15	150	141	17	30	3	1	2	2	0	3	6	"370"	""	"370"	""
"96"	"73"	4	33	333	6	4	0	0	1	0	1	2	2	"386"	""	"386"	""
"97"	"74"	9	190	136	41	8	17	4	1	2	2	3	2	"415"	""	"415"	""
"98"	"75"	2	104	20	1	10	2	0	0	0	3	2	4	"148"	""	"148"	""
"99"	"76"	12	267	121	7	25	9	0	2	2	5	8	24	"482"	""	"482"	""
"100"	"77"	8	248	107	5	18	5	1	3	0	5	4	3	"407"	""	"407"	""
"101"	"78"	4	148	13	0	9	5	0	1	0	1	2	4	"187"	""	"187"	""
"102"	"79"	9	174	61	4	61	14	2	2	0	4	4	3	"338"	""	"338"	""
"103"	"80"	7	43	258	6	5	3	0	1	0	0	0	3	"326"	""	"326"	""
"104"	"81"	11	353	108	10	34	4	2	5	3	8	16	19	"573"	""	"573"	""
"105"	"82"	1	47	150	4	4	1	0	0	0	0	1	3	"211"	""	"211"	""
"106"	"83"	11	228	95	11	48	3	4	3	5	3	9	19	"439"	""	"439"	""
"107"	"Total"	115	2241	1818	177	269	68	17	22	17	36	60	107	"4947"	"0"	"4947"	"0"
"108"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"109"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"110"	"Round - 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"111"	"84"	15	187	146	9	36	0	0	4	1	9	8	21	"436"	""	"436"	""
"112"	"85"	9	261	23	0	13	21	4	0	1	2	5	6	"345"	""	"345"	""
"113"	"85A"	7	195	34	2	19	25	6	2	0	3	4	2	"299"	""	"299"	""
"114"	"86"	6	334	51	7	38	8	3	3	3	3	12	5	"473"	""	"473"	""
"115"	"87"	17	154	22	9	158	5	0	7	3	3	4	19	"401"	""	"401"	""
"116"	"88"	6	42	279	11	13	1	4	4	1	3	1	11	"376"	""	"376"	""
"117"	"89"	5	111	131	14	36	3	1	1	3	2	3	5	"315"	""	"315"	""
"118"	"90"	9	82	332	14	2	0	1	2	3	2	4	8	"459"	""	"459"	""
"119"	"91"	8	158	77	4	24	8	1	4	1	2	4	2	"293"	""	"293"	""
"120"	"92"	2	16	254	2	3	1	0	1	4	2	1	8	"294"	""	"294"	""
"121"	"93"	6	295	128	5	32	4	1	4	3	5	5	10	"498"	""	"498"	""
"122"	"94"	8	158	40	1	9	4	4	0	0	5	2	8	"239"	""	"239"	""
"123"	"95"	18	303	81	3	23	1	1	3	3	0	4	6	"446"	""	"446"	""
"124"	"96"	4	313	12	1	7	1	1	0	0	2	1	1	"343"	""	"343"	""
"125"	"Total"	120	2609	1610	82	413	82	27	35	26	43	58	112	"5217"	"0"	"5217"	"0"
"126"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"127"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"128"	"Round - 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"129"	"97"	9	294	17	1	60	3	0	2	0	3	3	12	"404"	""	"404"	""
"130"	"98"	18	231	114	27	46	17	2	2	11	9	16	32	"525"	""	"525"	""
"131"	"99"	14	147	158	35	14	6	1	2	3	2	4	11	"397"	""	"397"	""
"132"	"100"	20	165	216	17	6	6	1	2	2	4	7	5	"451"	""	"451"	""
"133"	"101"	4	147	108	7	3	1	2	0	1	2	4	4	"283"	""	"283"	""
"134"	"102"	10	95	107	4	15	11	3	1	7	5	16	8	"282"	""	"282"	""
"135"	"103"	8	196	273	14	40	5	1	5	5	7	7	10	"571"	""	"571"	""
"136"	"104"	12	148	310	15	12	7	4	6	5	22	13	35	"589"	""	"589"	""
"137"	"105"	6	193	49	32	28	55	3	3	0	1	2	8	"380"	""	"380"	""
"138"	"106"	18	407	116	15	73	5	0	2	1	2	7	4	"650"	""	"650"	""
"139"	"107"	18	32	427	20	8	4	1	2	4	1	1	9	"527"	""	"527"	""
"140"	"108"	6	21	378	2	10	4	0	2	2	0	0	0	"425"	""	"425"	""
"141"	"109"	12	204	403	28	36	46	4	7	13	11	10	25	"799"	""	"799"	""
"142"	"110"	3	122	3	0	11	21	3	0	2	3	0	2	"170"	""	"170"	""
"143"	"Total"	158	2402	2679	217	362	191	25	36	56	72	90	165	"6453"	"0"	"6453"	"0"
"144"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"145"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"146"	"Round - 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"147"	"111"	5	105	102	7	17	0	1	2	0	2	0	1	"242"	""	"242"	""
"148"	"112"	3	122	22	3	148	0	4	2	0	0	6	5	"315"	""	"315"	""
"149"	"113"	5	112	18	2	14	1	1	0	0	0	2	4	"159"	""	"159"	""
"150"	"114"	15	208	177	5	27	8	2	2	10	12	10	12	"488"	""	"488"	""
"151"	"115"	7	106	75	10	22	11	2	0	4	8	8	15	"268"	""	"268"	""
"152"	"116"	17	75	79	3	9	34	3	5	7	4	4	8	"248"	""	"248"	""
"153"	"117"	8	105	322	5	10	2	0	3	3	3	3	6	"470"	""	"470"	""
"154"	"118"	9	170	242	7	10	6	6	6	2	2	8	13	"481"	""	"481"	""
"155"	"119"	5	161	107	6	2	3	1	2	2	3	4	2	"298"	""	"298"	""
"156"	"120"	4	156	1	0	38	1	3	0	0	2	1	2	"208"	""	"208"	""
"157"	"121"	13	206	132	53	15	9	2	6	6	3	8	16	"469"	""	"469"	""
"158"	"122"	20	472	43	3	8	5	1	6	3	7	14	14	"596"	""	"596"	""
"159"	"123"	11	333	332	10	16	5	6	2	3	8	10	18	"754"	""	"754"	""
"160"	"124"	25	364	236	19	28	14	4	4	3	9	9	12	"727"	""	"727"	""
"161"	"Total"	147	2695	1888	133	364	99	36	40	43	63	87	128	"5723"	"0"	"5723"	"0"
"162"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"163"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"164"	"Round - 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"165"	"125"	16	10	376	4	1	0	1	0	2	2	2	6	"420"	""	"420"	""
"166"	"126"	5	50	352	2	1	6	1	1	3	3	1	5	"430"	""	"430"	""
"167"	"127"	13	186	158	28	18	10	4	2	2	8	5	18	"452"	""	"452"	""
"168"	"128"	9	42	393	23	3	8	1	1	3	1	2	6	"492"	""	"492"	""
"169"	"129"	5	56	193	11	6	2	1	1	1	2	2	2	"282"	""	"282"	""
"170"	"130"	7	70	202	18	11	4	2	4	1	6	2	13	"340"	""	"340"	""
"171"	"131"	1	62	156	4	2	1	0	0	0	2	0	0	"228"	""	"228"	""
"172"	"132"	18	438	125	15	19	11	7	5	4	10	7	16	"675"	""	"675"	""
"173"	"133"	13	70	211	6	5	1	0	3	2	5	3	10	"329"	""	"329"	""
"174"	"134"	8	239	235	4	5	5	0	4	3	6	7	10	"526"	""	"526"	""
"175"	"135"	6	69	198	9	2	3	1	0	4	5	4	9	"310"	""	"310"	""
"176"	"136"	1	14	250	0	1	1	0	0	0	0	0	0	"267"	""	"267"	""
"177"	"137"	7	334	51	0	8	2	1	3	2	4	3	5	"420"	""	"420"	""
"178"	"137A"	18	349	32	0	5	5	2	0	1	3	3	2	"420"	""	"420"	""
"179"	"Total"	127	1989	2932	124	87	59	21	24	28	57	41	102	"5591"	"0"	"5591"	"0"
"180"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"181"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"182"	"Round - 11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"183"	"138"	8	574	95	6	21	6	3	2	3	6	1	8	"733"	""	"733"	""
"184"	"139"	3	333	124	5	23	7	4	0	6	3	4	2	"514"	""	"514"	""
"185"	"140"	8	185	45	3	1	1	1	2	3	1	4	5	"259"	""	"259"	""
"186"	"141"	15	220	213	8	6	9	1	1	1	1	5	9	"489"	""	"489"	""
"187"	"142"	9	328	32	3	34	7	4	1	2	5	6	7	"438"	""	"438"	""
"188"	"143"	12	166	112	1	9	5	2	1	1	2	0	2	"313"	""	"313"	""
"189"	"144"	5	188	177	21	21	8	4	5	0	8	8	12	"457"	""	"457"	""
"190"	"145"	3	179	68	7	166	2	3	4	2	3	5	5	"447"	""	"447"	""
"191"	"146"	2	158	214	24	54	21	4	6	8	10	13	25	"539"	""	"539"	""
"192"	"147"	6	148	132	2	29	4	1	1	2	4	2	18	"349"	""	"349"	""
"193"	"148"	12	321	186	15	93	6	4	9	2	11	11	9	"679"	""	"679"	""
"194"	"149"	8	152	77	5	14	2	0	2	1	1	2	12	"276"	""	"276"	""
"195"	"150"	5	405	32	3	15	6	3	1	2	5	7	6	"490"	""	"490"	""
"196"	"151"	13	315	98	15	10	10	0	4	2	6	4	9	"486"	""	"486"	""
"197"	"Total"	109	3672	1605	118	496	94	34	39	35	66	72	129	"6469"	"0"	"6469"	"0"
"198"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"199"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"200"	"Round - 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"201"	"152"	15	71	279	12	4	6	1	2	1	7	7	12	"417"	""	"417"	""
"202"	"153"	3	274	78	5	11	14	0	4	0	3	7	5	"404"	""	"404"	""
"203"	"154"	8	242	119	4	8	13	1	1	2	7	8	16	"429"	""	"429"	""
"204"	"155"	2	185	207	3	29	22	2	3	8	3	6	18	"488"	""	"488"	""
"205"	"155A"	8	117	91	5	11	12	1	2	1	2	3	0	"253"	""	"253"	""
"206"	"156"	12	306	63	10	74	3	2	4	0	5	7	11	"497"	""	"497"	""
"207"	"157"	7	158	41	0	25	1	0	2	1	0	1	6	"242"	""	"242"	""
"208"	"158"	4	227	268	13	9	3	3	2	8	7	10	4	"558"	""	"558"	""
"209"	"159"	1	86	54	3	3	2	2	0	2	3	3	5	"164"	""	"164"	""
"210"	"160"	5	50	90	6	70	4	3	1	3	3	6	8	"249"	""	"249"	""
"211"	"161"	14	202	193	9	49	11	2	1	3	10	8	19	"521"	""	"521"	""
"212"	"162"	15	100	248	9	17	84	5	3	8	10	10	25	"534"	""	"534"	""
"213"	"163"	9	111	146	4	23	34	3	3	5	8	9	9	"364"	""	"364"	""
"214"	"164"	4	147	48	2	1	5	0	0	1	3	7	21	"239"	""	"239"	""
"215"	"Total"	107	2276	1925	85	334	214	25	28	43	71	92	159	"5359"	"0"	"5359"	"0"
"216"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"217"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"218"	"Round - 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"219"	"165"	8	36	180	4	6	77	4	2	1	3	4	6	"331"	""	"331"	""
"220"	"166"	3	102	53	5	3	63	7	0	4	0	1	8	"249"	""	"249"	""
"221"	"167"	7	18	113	4	13	1	0	2	5	1	0	6	"170"	""	"170"	""
"222"	"168"	4	132	223	8	41	10	1	0	0	2	1	7	"429"	""	"429"	""
"223"	"169"	2	31	142	5	1	10	3	2	3	6	4	11	"220"	""	"220"	""
"224"	"170"	4	103	364	5	2	1	1	1	4	2	3	6	"496"	""	"496"	""
"225"	"171"	6	146	375	2	8	8	0	9	2	2	1	4	"563"	""	"563"	""
"226"	"172"	13	121	276	10	6	58	3	5	0	2	7	4	"505"	""	"505"	""
"227"	"173"	11	132	133	5	10	5	2	2	3	4	7	7	"321"	""	"321"	""
"228"	"174"	12	193	158	9	66	85	10	3	6	7	17	12	"578"	""	"578"	""
"229"	"175"	8	367	125	30	1	13	1	6	5	12	9	13	"590"	""	"590"	""
"230"	"176"	12	176	201	9	6	21	1	2	3	3	2	11	"447"	""	"447"	""
"231"	"177"	19	272	139	38	12	8	5	5	3	6	9	21	"537"	""	"537"	""
"232"	"178"	9	459	147	16	15	44	1	6	4	3	13	8	"725"	""	"725"	""
"233"	"Total"	118	2288	2629	150	190	404	39	45	43	53	78	124	"6161"	"0"	"6161"	"0"
"234"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"235"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"236"	"Round - 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"237"	"179"	9	267	216	8	31	9	3	1	4	7	7	8	"570"	""	"570"	""
"238"	"180"	5	152	144	2	1	3	0	0	0	1	1	1	"310"	""	"310"	""
"239"	"181"	16	340	127	8	56	36	4	3	2	5	3	12	"612"	""	"612"	""
"240"	"182"	14	159	85	20	22	74	6	4	5	5	6	5	"405"	""	"405"	""
"241"	"183"	23	269	359	18	13	6	5	8	3	3	8	5	"720"	""	"720"	""
"242"	"184"	6	154	143	3	29	4	2	2	3	5	9	11	"371"	""	"371"	""
"243"	"185"	3	91	115	4	5	29	1	1	2	3	6	1	"261"	""	"261"	""
"244"	"186"	1	57	55	4	7	6	1	2	1	1	1	4	"140"	""	"140"	""
"245"	"187"	9	221	109	16	59	4	1	3	1	3	5	10	"441"	""	"441"	""
"246"	"188"	9	70	229	3	12	105	2	5	1	4	3	3	"446"	""	"446"	""
"247"	"189"	5	97	92	4	34	62	2	1	1	6	2	4	"310"	""	"310"	""
"248"	"190"	13	99	38	6	64	103	9	4	7	4	4	17	"368"	""	"368"	""
"249"	"191"	0	148	156	3	2	37	0	1	0	0	4	1	"352"	""	"352"	""
"250"	"192"	10	260	47	5	2	49	2	4	4	1	9	15	"408"	""	"408"	""
"251"	"Total"	123	2384	1915	104	337	527	38	39	34	48	68	97	"5714"	"0"	"5714"	"0"
"252"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"253"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"254"	"Round - 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"255"	"193"	0	122	37	0	10	9	0	0	1	2	3	1	"185"	""	"185"	""
"256"	"194"	14	145	63	1	14	67	9	4	4	6	12	19	"358"	""	"358"	""
"257"	"195"	8	247	55	8	4	73	2	3	0	2	3	7	"412"	""	"412"	""
"258"	"196"	12	287	51	5	11	19	1	1	2	5	12	19	"425"	""	"425"	""
"259"	"197"	6	44	152	6	20	67	10	0	5	5	6	13	"334"	""	"334"	""
"260"	"198"	2	197	89	3	6	75	3	2	3	1	3	1	"385"	""	"385"	""
"261"	"199"	1	30	258	1	5	3	0	0	2	0	7	1	"308"	""	"308"	""
"262"	"200"	12	201	166	6	19	35	7	0	5	5	9	22	"487"	""	"487"	""
"263"	"201"	2	57	126	2	113	5	0	1	1	0	0	0	"307"	""	"307"	""
"264"	"202"	3	30	273	21	3	8	0	1	3	1	1	4	"348"	""	"348"	""
"265"	"203"	10	367	119	7	10	13	3	1	3	5	9	9	"556"	""	"556"	""
"266"	"204"	16	529	57	8	40	13	4	2	1	8	13	26	"717"	""	"717"	""
"267"	"205"	6	199	104	8	38	5	5	3	3	5	11	5	"392"	""	"392"	""
"268"	"206"	17	88	126	180	17	3	5	2	6	1	14	7	"466"	""	"466"	""
"269"	"Total"	109	2543	1676	256	310	395	49	20	39	46	103	134	"5680"	"0"	"5680"	"0"
"270"	"Name of Candidates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"271"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"272"	"Round - 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"273"	"207"	9	126	275	16	3	10	6	5	4	10	16	16	"496"	""	"496"	""
"274"	"208"	7	207	48	7	41	17	4	2	9	0	29	8	"379"	""	"379"	""
"275"	"209"	7	215	149	4	11	4	1	3	1	9	117	18	"539"	""	"539"	""
"276"	"210"	4	71	122	1	4	6	1	2	2	2	1	4	"220"	""	"220"	""
"277"	"211"	24	125	253	16	18	49	18	28	35	27	35	36	"664"	""	"664"	""
"278"	"212"	12	74	345	19	43	20	6	4	8	15	10	13	"569"	""	"569"	""
"279"	"213"	7	218	120	6	30	137	8	7	7	7	12	15	"574"	""	"574"	""
"280"	"214"	23	324	152	9	24	2	3	5	0	7	7	15	"571"	""	"571"	""
"281"	"215"	15	396	216	6	12	43	5	5	5	6	18	15	"742"	""	"742"	""
"282"	"216"	0	4	458	2	0	0	0	0	0	1	0	1	"466"	""	"466"	""
"283"	"Total"	108	1760	2138	86	186	288	52	61	71	84	245	141	"5220"	"0"	"5220"	"0"
"284"	"Grand Total"	1821	38462	33378	2708	4625	3487	524	549	586	850	1257	1937	"90184"	"0"	"90184"	"0"
