"er.nku.dsUnz.l.a....k"	"bUnznso.i.zl.kn"	"t.qYQdkj..vyh"	"r.kj.ds..oj....kno"	"X.kesZUnz.dq0.oekZ"	"HkwesUnz.ukj.k...k.fl.ag"	"eukst...dqekj..fl.ag"	"pr.qxqZu.i.zl.kn.pkSgku"	"f.Hkqou.j.ke"	"eqfu.eaxy..nso...kkL.h"	"j.kt.fd..kksj..fr.okj.h"	"j.kek...k.fl.ag"	"l.qt.hr..l.qHkkuh"	"l.qj.sUnz.fl.ag...kno"	"t.xnh..k.fl.ag"	"i.ou.i.zl.kn"	"i.zHkqukFk.l.kg"	"j.kds..k.feJ"	"j.kev..ks...k.Hkxr"	"j.s.kq...kno"	"l.R..nso.i.zl.kn.fl.ag"	"gfuQ.val.kj.h"	"gseUr..dqekj..fl.ag"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr..er.ksa.dh.dqy.l.a....k"
"55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"58"	32	8	1	3	9	199	4	0	1	0	0	0	6	0	0	1	2	9	0	0	2	1	2	248	NA	NA	NA
"59"	33	36	2	6	6	306	6	3	2	3	5	4	15	3	5	2	13	7	3	2	89	18	13	549	NA	NA	NA
"60"	34	42	2	2	5	571	10	2	1	5	0	5	3	1	1	0	6	14	2	0	4	8	8	692	NA	NA	NA
"61"	35	18	1	4	8	562	0	0	0	0	0	0	0	0	0	1	0	5	0	2	0	1	1	603	NA	NA	NA
"62"	36	12	0	2	5	405	3	0	0	0	0	3	2	0	0	0	1	5	0	0	0	0	1	439	NA	NA	NA
"63"	37	14	3	3	1	755	8	2	5	2	2	6	1	1	1	0	10	0	0	0	3	1	6	824	NA	NA	NA
"64"	38	3	1	2	3	694	1	0	0	0	0	1	2	0	0	0	0	1	1	0	1	0	1	711	NA	NA	NA
"65"	39	12	3	9	16	295	11	1	1	6	0	7	6	2	2	0	3	12	3	3	56	7	4	459	NA	NA	NA
"66"	NA	145	13	31	53	3787	43	8	10	16	7	26	35	7	9	4	35	53	9	7	155	36	36	4525	0	0	0
"67"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"72"	40	85	3	3	26	117	8	1	1	2	0	5	9	4	3	7	6	19	8	4	7	12	27	357	NA	NA	NA
"73"	41	32	5	6	38	220	4	4	1	1	1	5	7	1	1	3	18	5	2	2	3	99	7	465	NA	NA	NA
"74"	42	111	5	11	15	338	9	1	2	1	1	2	8	0	1	1	6	7	4	1	4	5	6	539	NA	NA	NA
"75"	43	14	4	6	15	297	9	3	2	4	1	5	3	2	1	2	4	3	3	1	24	9	6	418	NA	NA	NA
"76"	44	81	13	9	89	287	16	4	1	6	5	11	20	10	9	12	32	9	5	1	1	16	10	647	NA	NA	NA
"77"	45	30	6	13	75	235	4	1	4	9	1	20	2	8	2	2	14	122	5	4	46	24	9	636	NA	NA	NA
"78"	46	21	5	19	106	155	13	4	3	34	6	38	3	1	4	10	25	115	5	2	10	85	27	691	NA	NA	NA
"79"	47	33	2	7	113	152	7	1	1	0	0	9	4	6	4	3	9	10	6	3	101	33	22	526	NA	NA	NA
"80"	NA	407	43	74	477	1801	70	19	15	57	15	95	56	32	25	40	114	290	38	18	196	283	114	4279	0	0	0
"81"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"82"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"86"	48	41	8	10	442	39	5	4	2	0	1	1	5	4	2	2	9	11	2	2	1	3	6	600	NA	NA	NA
"87"	49	35	2	5	175	98	5	6	4	1	3	5	11	6	5	1	11	2	2	1	7	3	7	395	NA	NA	NA
"88"	50	7	3	5	248	56	2	3	2	0	2	2	3	3	2	1	3	6	0	0	1	28	3	380	NA	NA	NA
"89"	51	25	6	16	295	127	3	1	1	1	3	4	1	7	2	2	13	22	5	6	8	47	30	625	NA	NA	NA
"90"	52	6	2	12	121	186	7	4	2	4	2	6	10	4	0	4	18	9	3	1	5	20	6	432	NA	NA	NA
"91"	53	41	5	12	224	192	6	3	0	1	2	2	3	1	1	2	3	11	5	2	14	20	18	568	NA	NA	NA
"92"	54	23	0	9	183	141	7	1	1	1	1	2	3	5	2	2	6	7	2	4	10	5	6	421	NA	NA	NA
"93"	55	30	1	9	96	37	4	0	1	1	1	2	1	0	1	0	5	2	0	0	0	8	1	200	NA	NA	NA
"94"	NA	208	27	78	1784	876	39	22	13	9	15	24	37	30	15	14	68	70	19	16	46	134	77	3621	0	0	0
"95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"100"	56	81	5	11	39	475	7	1	4	2	0	4	4	0	0	0	6	8	1	3	2	9	5	667	NA	NA	NA
"101"	57	44	0	5	36	424	25	3	0	4	2	5	3	3	1	2	8	12	2	3	12	12	13	619	NA	NA	NA
"102"	58	165	1	28	11	124	3	9	2	1	1	16	6	0	1	0	4	16	1	4	5	4	0	402	NA	NA	NA
"103"	59	44	1	5	35	177	5	0	0	0	0	0	5	0	0	0	2	18	6	1	29	12	15	355	NA	NA	NA
"104"	60	88	0	11	59	157	11	3	2	1	1	1	4	3	2	0	6	3	4	1	5	10	12	384	NA	NA	NA
"105"	61	156	4	6	90	169	6	0	1	1	1	3	5	2	3	2	9	13	4	0	6	9	17	507	NA	NA	NA
"106"	62	56	11	30	69	283	15	21	4	5	9	14	35	4	5	3	8	38	18	14	7	24	25	698	NA	NA	NA
"107"	63	160	5	9	133	106	2	2	1	0	3	1	1	4	1	0	1	14	8	4	4	6	9	474	NA	NA	NA
"108"	NA	794	27	105	472	1915	74	39	14	14	17	44	63	16	13	7	44	122	44	30	70	86	96	4106	0	0	0
"109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"114"	64	81	5	11	39	475	7	1	4	2	0	4	4	0	0	0	6	8	1	3	2	9	5	667	NA	NA	NA
"115"	65	44	0	5	36	424	25	3	0	4	2	5	3	3	1	2	8	12	2	3	12	12	13	619	NA	NA	NA
"116"	66	165	1	28	11	124	3	9	2	1	1	16	6	0	1	0	4	16	1	4	5	4	0	402	NA	NA	NA
"117"	67	44	1	5	35	177	5	0	0	0	0	0	5	0	0	0	2	18	6	1	29	12	15	355	NA	NA	NA
"118"	68	88	0	11	59	157	11	3	2	1	1	1	4	3	2	0	6	3	4	1	5	10	12	384	NA	NA	NA
"119"	69	156	4	6	90	169	6	0	1	1	1	3	5	2	3	2	9	13	4	0	6	9	17	507	NA	NA	NA
"120"	70	56	11	30	69	283	15	21	4	5	9	14	35	4	5	3	8	38	18	14	7	24	25	698	NA	NA	NA
"121"	71	160	5	9	133	106	2	2	1	0	3	1	1	4	1	0	1	14	8	4	4	6	9	474	NA	NA	NA
"122"	NA	794	27	105	472	1915	74	39	14	14	17	44	63	16	13	7	44	122	44	30	70	86	96	4106	0	0	0
"123"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"128"	NA	154	2	9	41	179	5	2	3	1	1	4	1	7	1	0	6	6	3	1	4	3	10	443	NA	NA	NA
"129"	72	190	8	16	151	243	2	0	0	1	2	0	1	0	0	1	2	9	3	1	4	9	3	646	NA	NA	NA
"130"	73	320	5	15	126	153	8	3	8	5	1	0	7	2	3	1	11	6	3	0	1	2	2	682	NA	NA	NA
"131"	74	8	3	12	71	456	10	4	2	5	2	5	15	4	3	6	11	4	1	4	4	6	10	646	NA	NA	NA
"132"	75	174	9	16	194	160	9	0	4	1	1	4	4	3	2	2	5	7	0	1	5	28	4	633	NA	NA	NA
"133"	76	14	1	17	157	144	16	1	4	6	2	15	10	9	2	1	12	0	1	1	3	3	3	422	NA	NA	NA
"134"	77	17	2	10	31	167	7	0	1	2	0	4	3	0	1	3	3	5	1	0	1	1	3	262	NA	NA	NA
"135"	78	63	10	2	132	135	3	1	3	0	5	7	21	6	3	3	13	1	0	1	2	5	1	417	NA	NA	NA
"136"	NA	940	40	97	903	1637	60	11	25	21	14	39	62	31	15	17	63	38	12	9	24	57	36	4151	0	0	0
"137"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"139"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"141"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"142"	NA	84	8	5	67	166	5	8	0	3	1	0	7	0	0	3	1	16	3	2	4	5	12	400	NA	NA	NA
"143"	79	155	12	10	122	118	3	6	1	1	6	6	5	4	7	6	12	19	10	2	13	9	20	547	NA	NA	NA
"144"	80	63	1	47	53	189	6	1	1	2	0	6	5	2	1	1	7	1	2	0	0	8	2	398	NA	NA	NA
"145"	81	65	16	11	18	148	3	6	0	2	1	6	11	1	3	3	7	32	7	4	7	8	7	366	NA	NA	NA
"146"	82	58	4	4	14	61	1	2	2	1	4	4	56	4	2	4	4	2	4	2	44	5	0	282	NA	NA	NA
"147"	83	119	3	16	20	278	8	3	4	1	3	2	8	2	2	1	10	20	4	1	2	4	17	528	NA	NA	NA
"148"	84	34	7	4	57	61	4	1	0	5	0	2	10	2	2	0	1	16	6	2	15	2	6	237	NA	NA	NA
"149"	85	186	6	5	15	166	5	1	2	6	3	1	2	1	1	0	6	10	2	1	2	9	6	436	NA	NA	NA
"150"	NA	764	57	102	366	1187	35	28	10	21	18	27	104	16	18	18	48	116	38	14	87	50	70	3194	0	0	0
"151"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"154"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"156"	86	121	4	14	30	202	10	1	2	1	2	5	10	2	7	2	10	33	17	4	118	13	33	641	NA	NA	NA
"157"	87	124	2	11	87	256	8	3	1	0	3	8	9	3	5	6	21	8	7	8	9	14	26	619	NA	NA	NA
"158"	88	218	7	25	73	67	4	1	1	0	2	4	3	2	4	2	12	17	2	0	3	7	4	458	NA	NA	NA
"159"	89	114	4	35	117	83	8	2	1	0	3	1	15	2	3	3	14	8	3	3	5	5	5	434	NA	NA	NA
"160"	90	73	23	3	88	11	0	0	0	1	0	1	7	1	2	0	13	5	1	1	7	6	0	243	NA	NA	NA
"161"	91	83	1	57	40	132	7	4	1	0	3	4	6	7	7	3	17	2	2	1	2	1	5	385	NA	NA	NA
"162"	92	93	48	23	97	97	9	2	0	0	1	2	7	1	1	1	5	7	4	5	18	13	4	438	NA	NA	NA
"163"	93	79	5	5	40	245	14	4	1	5	0	6	11	6	5	5	19	11	3	3	5	6	5	483	NA	NA	NA
"164"	NA	905	94	173	572	1093	60	17	7	7	14	31	68	24	34	22	111	91	39	25	167	65	82	3701	0	0	0
"165"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"167"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"168"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"170"	94	116	6	15	67	196	1	2	0	1	1	4	4	1	1	0	1	3	2	0	0	2	2	425	NA	NA	NA
"171"	95	43	1	24	12	269	20	110	7	3	3	9	2	1	4	7	20	24	2	32	3	8	2	606	NA	NA	NA
"172"	96	21	3	24	6	390	14	7	1	6	3	15	9	2	4	6	22	7	1	17	2	2	4	566	NA	NA	NA
"173"	97	175	22	14	57	207	12	1	3	1	2	10	1	4	4	2	13	9	4	6	7	78	7	639	NA	NA	NA
"174"	98	139	15	11	29	238	7	2	1	0	1	0	2	0	4	2	8	8	2	5	4	19	12	509	NA	NA	NA
"175"	99	160	12	7	42	131	4	2	0	2	1	1	2	1	0	2	0	8	6	0	1	3	4	389	NA	NA	NA
"176"	100	24	2	9	75	104	6	1	0	2	0	0	2	7	1	1	6	11	4	3	7	5	13	283	NA	NA	NA
"177"	101	199	25	10	47	108	9	6	3	1	4	5	3	3	1	2	17	4	7	2	4	11	8	479	NA	NA	NA
"178"	NA	877	86	114	335	1643	73	131	15	16	15	44	25	19	19	22	87	74	28	65	28	128	52	3896	0	0	0
"179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
"184"	102	95	10	9	154	127	8	5	0	0	3	1	1	10	1	0	4	1	2	2	1	6	1	441	NA	NA	NA
"185"	103	81	6	178	53	111	5	2	5	2	1	5	8	10	14	7	28	10	2	4	4	4	4	544	NA	NA	NA
"186"	104	48	4	9	39	105	3	2	1	1	1	2	1	0	2	1	1	21	2	1	8	1	4	257	NA	NA	NA
"187"	105	21	3	10	17	230	7	2	3	2	2	7	9	1	2	4	11	6	1	1	7	10	10	366	NA	NA	NA
"188"	106	86	9	81	122	267	7	41	3	3	0	6	10	2	4	3	12	3	4	5	5	2	3	678	NA	NA	NA
"189"	107	115	32	21	32	281	11	2	2	4	4	4	8	1	3	2	10	9	5	1	5	4	4	560	NA	NA	NA
"190"	108	21	0	7	16	270	2	0	0	0	1	2	2	0	1	2	4	1	0	3	0	1	0	333	NA	NA	NA
"191"	109	95	21	21	72	259	11	13	5	7	3	7	14	6	4	4	16	8	2	2	2	2	6	580	NA	NA	NA
"192"	NA	562	85	336	505	1650	54	67	19	19	15	34	53	30	31	23	86	59	18	19	32	30	32	3759	0	0	0
"193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
