"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FORM.THE.27.BAJPATTI.PARLIAMENTARY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"17"	"8"	"5"	"7"	""	"4"	"286"	"5"	"2"	"367"	"3"	"6"	"24"	"1"	"2"	"0"	"3"	"7"	"710"	"0"	"710"	"0"
"18"	"9"	"5"	"8"	""	"9"	"305"	"4"	"0"	"34"	"0"	"1"	"1"	"0"	"2"	"20"	"3"	"3"	"382"	"0"	"382"	"0"
"19"	"10"	"5"	"9"	""	"2"	"40"	"6"	"1"	"302"	"1"	"1"	"2"	"1"	"2"	"63"	"4"	"0"	"425"	"0"	"425"	"0"
"20"	"11"	"5"	"10"	""	"10"	"219"	"3"	"2"	"70"	"1"	"1"	"9"	"1"	"1"	"1"	"0"	"2"	"320"	"0"	"320"	"0"
"21"	"12"	"5"	"10"	"A"	"8"	"368"	"5"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"1"	"4"	"393"	"0"	"393"	"0"
"22"	"13"	"5"	"11"	""	"6"	"17"	"32"	"6"	"498"	"10"	"13"	"10"	"2"	"1"	"39"	"8"	"10"	"652"	"0"	"652"	"0"
"23"	"14"	"5"	"12"	""	"6"	"46"	"3"	"4"	"160"	"5"	"6"	"2"	"4"	"4"	"197"	"5"	"13"	"455"	"0"	"455"	"0"
"24"	"15"	"5"	"13"	""	"25"	"148"	"12"	"8"	"385"	"13"	"12"	"19"	"8"	"5"	"75"	"13"	"22"	"745"	"0"	"745"	"0"
"25"	"16"	"5"	"14"	""	"15"	"178"	"5"	"3"	"259"	"5"	"4"	"8"	"4"	"1"	"0"	"6"	"3"	"491"	"0"	"491"	"0"
"26"	"17"	"5"	"15"	""	"14"	"330"	"12"	"3"	"164"	"1"	"2"	"19"	"2"	"0"	"5"	"5"	"6"	"563"	"0"	"563"	"0"
"27"	"18"	"5"	"16"	""	"26"	"11"	"9"	"5"	"268"	"8"	"9"	"14"	"5"	"5"	"75"	"5"	"3"	"443"	"0"	"443"	"0"
"28"	"19"	"5"	"17"	""	"11"	"75"	"11"	"5"	"459"	"8"	"15"	"14"	"10"	"5"	"64"	"21"	"21"	"719"	"0"	"719"	"0"
"29"	"20"	"5"	"18"	""	"9"	"184"	"3"	"5"	"270"	"3"	"6"	"6"	"5"	"5"	"5"	"11"	"15"	"527"	"0"	"527"	"0"
"30"	"21"	"5"	"19"	""	"8"	"33"	"25"	"2"	"462"	"7"	"9"	"8"	"10"	"57"	"48"	"10"	"26"	"705"	"0"	"705"	"0"
"31"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"35"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"36"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"37"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"38"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"39"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"40"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"41"	"22"	"5"	"20"	""	"13"	"185"	"4"	"3"	"122"	"4"	"2"	"3"	"1"	"1"	"4"	"3"	"3"	"348"	"0"	"348"	"0"
"42"	"23"	"5"	"21"	""	"5"	"13"	"1"	"1"	"72"	"1"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"99"	"0"	"99"	"0"
"43"	"24"	"5"	"22"	""	"13"	"130"	"12"	"4"	"227"	"3"	"4"	"4"	"2"	"3"	"23"	"16"	"27"	"468"	"0"	"468"	"0"
"44"	"25"	"5"	"23"	""	"12"	"367"	"62"	"2"	"67"	"8"	"2"	"3"	"3"	"0"	"3"	"6"	"5"	"540"	"0"	"540"	"0"
"45"	"26"	"5"	"24"	""	"4"	"144"	"4"	"2"	"130"	"5"	"8"	"5"	"8"	"4"	"3"	"15"	"6"	"338"	"0"	"338"	"0"
"46"	"27"	"5"	"25"	""	"13"	"521"	"13"	"2"	"54"	"3"	"2"	"3"	"4"	"2"	"4"	"12"	"11"	"644"	"0"	"644"	"0"
"47"	"28"	"5"	"26"	""	"8"	"503"	"12"	"0"	"24"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"6"	"562"	"0"	"562"	"0"
"48"	"29"	"5"	"27"	""	"11"	"119"	"5"	"3"	"247"	"1"	"6"	"46"	"6"	"2"	"2"	"10"	"9"	"467"	"0"	"467"	"0"
"49"	"30"	"5"	"28"	""	"1"	"139"	"16"	"3"	"239"	"7"	"6"	"7"	"4"	"2"	"16"	"10"	"5"	"455"	"0"	"455"	"0"
"50"	"31"	"5"	"29"	""	"13"	"213"	"6"	"3"	"145"	"2"	"3"	"14"	"8"	"0"	"16"	"9"	"9"	"441"	"0"	"441"	"0"
"51"	"32"	"5"	"30"	""	"10"	"200"	"8"	"3"	"130"	"0"	"2"	"4"	"1"	"1"	"19"	"6"	"6"	"390"	"0"	"390"	"0"
"52"	"33"	"5"	"30"	"A"	"18"	"287"	"14"	"1"	"0"	"1"	"0"	"13"	"1"	"2"	"1"	"7"	"6"	"351"	"0"	"351"	"0"
"53"	"34"	"5"	"31"	""	"10"	"216"	"6"	"5"	"370"	"4"	"5"	"11"	"3"	"1"	"3"	"8"	"3"	"645"	"0"	"645"	"0"
"54"	"35"	"5"	"32"	""	"14"	"206"	"7"	"4"	"250"	"5"	"5"	"2"	"3"	"2"	"99"	"7"	"4"	"608"	"0"	"608"	"0"
"55"	"36"	"5"	"33"	""	"12"	"86"	"4"	"3"	"571"	"15"	"18"	"12"	"18"	"5"	"41"	"11"	"22"	"818"	"0"	"818"	"0"
"56"	"37"	"5"	"34"	""	"2"	"45"	"4"	"3"	"425"	"2"	"1"	"0"	"0"	"1"	"30"	"1"	"2"	"516"	"0"	"516"	"0"
"57"	"38"	"5"	"35"	""	"10"	"148"	"6"	"4"	"422"	"10"	"5"	"11"	"12"	"0"	"8"	"9"	"9"	"654"	"0"	"654"	"0"
"58"	"39"	"5"	"36"	""	"8"	"10"	"5"	"4"	"379"	"8"	"9"	"3"	"5"	"1"	"11"	"9"	"6"	"458"	"0"	"458"	"0"
"59"	"40"	"5"	"37"	""	"19"	"360"	"10"	"0"	"8"	"3"	"0"	"3"	"1"	"0"	"23"	"2"	"0"	"429"	"0"	"429"	"0"
"60"	"41"	"5"	"38"	""	"14"	"183"	"12"	"6"	"413"	"13"	"6"	"12"	"11"	"5"	"15"	"20"	"20"	"730"	"0"	"730"	"0"
"61"	"42"	"5"	"39"	""	"24"	"359"	"11"	"6"	"308"	"4"	"9"	"12"	"4"	"5"	"9"	"8"	"11"	"770"	"0"	"770"	"0"
"62"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"66"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"67"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"69"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"70"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"71"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"72"	"43"	"5"	"40"	""	"6"	"82"	"7"	"2"	"338"	"3"	"14"	"13"	"5"	"4"	"14"	"12"	"12"	"512"	"0"	"512"	"0"
"73"	"44"	"5"	"41"	""	"4"	"114"	"12"	"3"	"281"	"10"	"12"	"13"	"7"	"2"	"4"	"18"	"6"	"486"	"0"	"486"	"0"
"74"	"45"	"5"	"42"	""	"14"	"193"	"16"	"3"	"293"	"2"	"8"	"8"	"5"	"0"	"3"	"17"	"23"	"585"	"0"	"585"	"0"
"75"	"46"	"5"	"43"	""	"5"	"286"	"11"	"4"	"98"	"2"	"3"	"7"	"1"	"1"	"1"	"5"	"7"	"431"	"0"	"431"	"0"
"76"	"47"	"5"	"44"	""	"20"	"113"	"40"	"9"	"278"	"7"	"11"	"16"	"11"	"7"	"15"	"18"	"25"	"570"	"0"	"570"	"0"
"77"	"48"	"5"	"45"	""	"7"	"136"	"11"	"2"	"239"	"7"	"6"	"2"	"4"	"4"	"92"	"7"	"19"	"536"	"0"	"536"	"0"
"78"	"49"	"5"	"46"	""	"2"	"34"	"3"	"2"	"197"	"3"	"2"	"3"	"3"	"1"	"48"	"1"	"8"	"307"	"0"	"307"	"0"
"79"	"50"	"5"	"47"	""	"16"	"308"	"10"	"5"	"85"	"4"	"2"	"4"	"2"	"0"	"3"	"3"	"10"	"452"	"0"	"452"	"0"
"80"	"51"	"5"	"48"	""	"17"	"276"	"20"	"8"	"293"	"3"	"8"	"6"	"3"	"0"	"0"	"5"	"5"	"644"	"0"	"644"	"0"
"81"	"52"	"5"	"49"	""	"13"	"81"	"2"	"3"	"290"	"9"	"11"	"5"	"4"	"3"	"5"	"12"	"13"	"451"	"0"	"451"	"0"
"82"	"53"	"5"	"50"	""	"10"	"181"	"12"	"1"	"435"	"8"	"8"	"11"	"2"	"4"	"22"	"18"	"25"	"737"	"0"	"737"	"0"
"83"	"54"	"5"	"51"	""	"10"	"173"	"9"	"10"	"359"	"6"	"10"	"18"	"14"	"3"	"7"	"21"	"21"	"661"	"0"	"661"	"0"
"84"	"55"	"5"	"52"	""	"6"	"208"	"13"	"3"	"136"	"4"	"2"	"5"	"3"	"2"	"11"	"8"	"11"	"412"	"0"	"412"	"0"
"85"	"56"	"5"	"52"	"A"	"7"	"204"	"30"	"1"	"93"	"6"	"7"	"3"	"2"	"2"	"24"	"2"	"2"	"383"	"0"	"383"	"0"
"86"	"57"	"5"	"53"	""	"3"	"239"	"21"	"1"	"172"	"0"	"3"	"1"	"0"	"1"	"20"	"4"	"2"	"467"	"0"	"467"	"0"
"87"	"58"	"5"	"54"	""	"10"	"155"	"9"	"5"	"274"	"7"	"8"	"16"	"6"	"2"	"4"	"8"	"11"	"515"	"0"	"515"	"0"
"88"	"59"	"5"	"55"	""	"24"	"214"	"9"	"4"	"210"	"12"	"16"	"11"	"9"	"3"	"41"	"11"	"32"	"596"	"0"	"596"	"0"
"89"	"60"	"5"	"56"	""	"10"	"350"	"52"	"3"	"24"	"1"	"0"	"4"	"2"	"1"	"3"	"2"	"7"	"459"	"0"	"459"	"0"
"90"	"61"	"5"	"57"	""	"11"	"229"	"13"	"4"	"302"	"5"	"13"	"5"	"5"	"2"	"2"	"14"	"9"	"614"	"0"	"614"	"0"
"91"	"62"	"5"	"58"	""	"19"	"54"	"9"	"3"	"405"	"17"	"20"	"13"	"10"	"5"	"24"	"11"	"16"	"606"	"0"	"606"	"0"
"92"	"63"	"5"	"59"	""	"12"	"126"	"8"	"10"	"530"	"9"	"20"	"11"	"9"	"2"	"8"	"12"	"10"	"767"	"0"	"767"	"0"
"93"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"97"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"98"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"99"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"100"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"101"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"102"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"103"	"64"	"5"	"60"	""	"4"	"58"	"6"	"0"	"174"	"4"	"4"	"8"	"6"	"2"	"3"	"3"	"8"	"280"	"0"	"280"	"0"
"104"	"65"	"5"	"61"	""	"16"	"237"	"10"	"3"	"129"	"3"	"3"	"8"	"1"	"1"	"1"	"6"	"5"	"423"	"0"	"423"	"0"
"105"	"66"	"5"	"62"	""	"17"	"305"	"13"	"3"	"68"	"1"	"2"	"3"	"0"	"0"	"3"	"6"	"15"	"436"	"0"	"436"	"0"
"106"	"67"	"5"	"63"	""	"22"	"232"	"11"	"3"	"131"	"3"	"2"	"4"	"2"	"1"	"23"	"6"	"5"	"445"	"0"	"445"	"0"
"107"	"68"	"5"	"64"	""	"7"	"81"	"0"	"1"	"339"	"5"	"4"	"5"	"2"	"0"	"5"	"4"	"4"	"457"	"0"	"457"	"0"
"108"	"69"	"5"	"65"	""	"10"	"247"	"10"	"2"	"314"	"6"	"6"	"6"	"3"	"0"	"10"	"9"	"7"	"630"	"0"	"630"	"0"
"109"	"70"	"5"	"66"	""	"6"	"117"	"9"	"0"	"156"	"1"	"8"	"1"	"6"	"1"	"7"	"5"	"13"	"330"	"0"	"330"	"0"
"110"	"71"	"5"	"66"	"A"	"9"	"132"	"6"	"2"	"120"	"3"	"8"	"10"	"2"	"1"	"28"	"6"	"5"	"332"	"0"	"332"	"0"
"111"	"72"	"5"	"67"	""	"12"	"323"	"14"	"3"	"109"	"4"	"1"	"15"	"2"	"5"	"11"	"5"	"14"	"518"	"0"	"518"	"0"
"112"	"73"	"5"	"68"	""	"4"	"13"	"4"	"2"	"381"	"3"	"5"	"3"	"5"	"0"	"2"	"7"	"8"	"437"	"0"	"437"	"0"
"113"	"74"	"5"	"69"	""	"4"	"270"	"11"	"1"	"52"	"0"	"0"	"10"	"0"	"1"	"0"	"0"	"1"	"350"	"0"	"350"	"0"
"114"	"75"	"5"	"70"	""	"7"	"21"	"55"	"3"	"419"	"10"	"14"	"13"	"4"	"4"	"29"	"13"	"12"	"604"	"0"	"604"	"0"
"115"	"76"	"5"	"71"	""	"4"	"17"	"50"	"3"	"346"	"11"	"9"	"4"	"1"	"0"	"9"	"5"	"5"	"464"	"0"	"464"	"0"
"116"	"77"	"5"	"72"	""	"4"	"49"	"37"	"3"	"272"	"26"	"6"	"7"	"3"	"1"	"51"	"2"	"5"	"466"	"0"	"466"	"0"
"117"	"78"	"5"	"73"	""	"3"	"25"	"28"	"7"	"294"	"37"	"18"	"10"	"5"	"3"	"35"	"16"	"11"	"492"	"0"	"492"	"0"
"118"	"79"	"5"	"74"	""	"8"	"27"	"5"	"3"	"269"	"18"	"8"	"6"	"3"	"0"	"19"	"4"	"3"	"373"	"0"	"373"	"0"
"119"	"80"	"5"	"75"	""	"16"	"378"	"10"	"0"	"17"	"2"	"1"	"6"	"1"	"0"	"4"	"8"	"5"	"448"	"0"	"448"	"0"
"120"	"81"	"5"	"76"	""	"13"	"329"	"18"	"5"	"171"	"17"	"4"	"5"	"2"	"2"	"5"	"3"	"3"	"577"	"0"	"577"	"0"
"121"	"82"	"5"	"77"	""	"11"	"136"	"4"	"1"	"193"	"10"	"4"	"8"	"0"	"1"	"5"	"5"	"4"	"382"	"0"	"382"	"0"
"122"	"83"	"5"	"78"	""	"18"	"74"	"15"	"10"	"174"	"12"	"14"	"11"	"2"	"1"	"8"	"1"	"7"	"347"	"0"	"347"	"0"
"123"	"84"	"5"	"79"	""	"3"	"167"	"8"	"1"	"5"	"5"	"1"	"38"	"0"	"0"	"0"	"0"	"3"	"231"	"0"	"231"	"0"
"124"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 27-BAJPATTI PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 242701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Name of the Assembly/ Segment 27 - Bajpatti Assembly Constituency (in the case of election from a Parliamentary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Sl. No."	"SEGID"	"Sr. No. of Polling Statio n"	"Booth
_Ext"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"128"	""	""	""	""	"Anwar Ali"	"Md."	"Gajadh"	"Mukesh"	"Ranju"	"Neyaz"	"Ahiraj"	"Ishtiaq"	"Deven"	"Birendr"	"Ravindra"	"Vijay"	"Sumitra"	""	""	""	""
"129"	""	""	""	""	""	""	""	""	""	"Ahmad"	"Shailend"	""	""	""	""	""	""	""	""	""	""
"130"	""	""	""	""	""	"Anwarul"	"ar"	"Kumar"	""	"Siddiq"	"ra"	""	"dra"	"a"	"Kumar"	"Kumar"	""	""	""	""	""
"131"	""	""	""	""	""	"Haque"	"Thakur"	"Ravi"	"Geeta"	"ee"	"Bhushan"	"ue"	"Jha"	"Kumar"	"Shahi"	"Jha"	"Devi"	""	""	""	""
"132"	""	""	""	""	"BSP"	"RJD"	"INC"	"NCP"	"JDU"	"CPIML"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"133"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"134"	"85"	"5"	"80"	""	"0"	"0"	"0"	"0"	"391"	"1"	"0"	"4"	"2"	"0"	"0"	"1"	"2"	"401"	"0"	"401"	"0"
"135"	"86"	"5"	"81"	""	"9"	"207"	"9"	"1"	"12"	"18"	"2"	"67"	"1"	"1"	"1"	"6"	"5"	"339"	"0"	"339"	"0"
"136"	"87"	"5"	"82"	""	"5"	"165"	"8"	"4"	"258"	"109"	"21"	"14"	"5"	"6"	"22"	"10"	"22"	"649"	"0"	"649"	"0"
"137"	"88"	"5"	"83"	""	"17"	"39"	"15"	"4"	"216"	"5"	"9"	"4"	"4"	"0"	"168"	"6"	"15"	"502"	"0"	"502"	"0"
"138"	"89"	"5"	"84"	""	"6"	"152"	"8"	"3"	"150"	"2"	"2"	"6"	"0"	"1"	"78"	"7"	"6"	"421"	"0"	"421"	"0"
"139"	"90"	"5"	"85"	""	"11"	"112"	"10"	"10"	"108"	"7"	"9"	"3"	"7"	"12"	"195"	"7"	"14"	"505"	"0"	"505"	"0"
"140"	"91"	"5"	"86"	""	"8"	"56"	"49"	"5"	"104"	"1"	"2"	"4"	"0"	"1"	"72"	"6"	"6"	"314"	"0"	"314"	"0"
"141"	"92"	"5"	"87"	""	"15"	"166"	"24"	"1"	"170"	"1"	"4"	"9"	"5"	"1"	"31"	"6"	"28"	"461"	"0"	"461"	"0"
"142"	"93"	"5"	"88"	""	"14"	"39"	"30"	"4"	"262"	"10"	"14"	"7"	"4"	"7"	"132"	"17"	"13"	"553"	"0"	"553"	"0"
"143"	"94"	"5"	"89"	""	"5"	"229"	"13"	"3"	"167"	"14"	"4"	"20"	"8"	"3"	"8"	"24"	"20"	"518"	"0"	"518"	"0"
"144"	"95"	"5"	"90"	""	"23"	"26"	"7"	"6"	"456"	"22"	"13"	"10"	"11"	"3"	"10"	"15"	"17"	"619"	"0"	"619"	"0"
"145"	"96"	"5"	"91"	""	"3"	"13"	"2"	"2"	"360"	"1"	"1"	"3"	"1"	"1"	"21"	"1"	"1"	"410"	"0"	"410"	"0"
"146"	"97"	"5"	"92"	""	"1"	"56"	"4"	"2"	"270"	"8"	"5"	"6"	"6"	"3"	"2"	"5"	"12"	"380"	"0"	"380"	"0"
"147"	"98"	"5"	"93"	""	"1"	"68"	"1"	"1"	"158"	"3"	"3"	"5"	"1"	"0"	"4"	"2"	"3"	"250"	"0"	"250"	"0"
"148"	"99"	"5"	"94"	""	"19"	"288"	"9"	"2"	"199"	"7"	"10"	"10"	"4"	"2"	"22"	"12"	"11"	"595"	"0"	"595"	"0"
"149"	"100"	"5"	"95"	""	"15"	"378"	"6"	"1"	"31"	"2"	"0"	"23"	"2"	"0"	"8"	"9"	"4"	"479"	"0"	"479"	"0"
"150"	"101"	"5"	"96"	""	"8"	"183"	"1"	"1"	"67"	"1"	"0"	"6"	"1"	"1"	"9"	"3"	"4"	"285"	"0"	"285"	"0"
