"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"19"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"21"	"B.F."	"1135"	"496"	"2712"	"2129"	"39"	"46"	"46"	"69"	"55"	"184"	"6911"	"0"	"6911"	"0"
"22"	"15"	"14"	"4"	"334"	"115"	"4"	"4"	"3"	"4"	"2"	"9"	"493"	"0"	"493"	"0"
"23"	"16"	"102"	"135"	"142"	"143"	"2"	"1"	"2"	"3"	"3"	"12"	"545"	"0"	"545"	"0"
"24"	"17"	"64"	"9"	"228"	"187"	"0"	"1"	"2"	"6"	"2"	"6"	"505"	"0"	"505"	"0"
"25"	"18"	"132"	"8"	"153"	"199"	"4"	"2"	"3"	"1"	"1"	"10"	"513"	"0"	"513"	"0"
"26"	"19"	"35"	"9"	"363"	"94"	"3"	"6"	"4"	"7"	"2"	"14"	"537"	"0"	"537"	"0"
"27"	"20"	"10"	"7"	"281"	"133"	"3"	"4"	"5"	"7"	"1"	"15"	"466"	"0"	"466"	"0"
"28"	"21"	"201"	"18"	"158"	"211"	"5"	"2"	"2"	"2"	"2"	"22"	"623"	"0"	"623"	"0"
"29"	"22"	"10"	"0"	"147"	"45"	"2"	"3"	"0"	"1"	"0"	"2"	"210"	"0"	"210"	"0"
"30"	"23"	"119"	"10"	"222"	"246"	"4"	"2"	"2"	"5"	"0"	"6"	"616"	"0"	"616"	"0"
"31"	"24"	"34"	"0"	"246"	"27"	"1"	"1"	"2"	"0"	"0"	"0"	"311"	"0"	"311"	"0"
"32"	"25"	"244"	"9"	"271"	"151"	"3"	"3"	"3"	"3"	"1"	"8"	"696"	"0"	"696"	"0"
"33"	"26"	"200"	"12"	"271"	"132"	"6"	"5"	"4"	"3"	"1"	"3"	"637"	"0"	"637"	"0"
"34"	"27"	"122"	"7"	"303"	"244"	"3"	"4"	"2"	"16"	"0"	"7"	"708"	"0"	"708"	"0"
"35"	"28"	"108"	"7"	"73"	"153"	"1"	"3"	"1"	"2"	"3"	"7"	"358"	"0"	"358"	"0"
"36"	"TOTAL"	"2530"	"731"	"5904"	"4209"	"80"	"87"	"81"	"129"	"73"	"305"	"14129"	"0"	"14129"	"0"
"37"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"39"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"40"	"B.F."	"2530"	"731"	"5904"	"4209"	"80"	"87"	"81"	"129"	"73"	"305"	"14129"	"0"	"14129"	"0"
"41"	"29"	"52"	"3"	"28"	"112"	"0"	"0"	"1"	"2"	"2"	"0"	"200"	"0"	"200"	"0"
"42"	"30"	"217"	"9"	"304"	"279"	"6"	"11"	"8"	"15"	"6"	"20"	"875"	"0"	"875"	"0"
"43"	"31"	"89"	"2"	"90"	"84"	"1"	"5"	"3"	"3"	"0"	"4"	"281"	"0"	"281"	"0"
"44"	"32"	"169"	"12"	"183"	"222"	"6"	"6"	"3"	"6"	"2"	"11"	"620"	"0"	"620"	"0"
"45"	"33"	"235"	"18"	"253"	"248"	"11"	"6"	"7"	"1"	"8"	"33"	"820"	"0"	"820"	"0"
"46"	"34"	"58"	"8"	"381"	"128"	"5"	"5"	"17"	"106"	"8"	"10"	"726"	"0"	"726"	"0"
"47"	"35"	"62"	"1"	"71"	"43"	"0"	"1"	"2"	"0"	"0"	"4"	"184"	"0"	"184"	"0"
"48"	"36"	"101"	"4"	"218"	"66"	"1"	"2"	"4"	"1"	"3"	"8"	"408"	"0"	"408"	"0"
"49"	"37"	"275"	"13"	"93"	"60"	"3"	"1"	"1"	"1"	"0"	"8"	"455"	"0"	"455"	"0"
"50"	"38"	"114"	"6"	"313"	"144"	"3"	"4"	"2"	"2"	"3"	"14"	"605"	"0"	"605"	"0"
"51"	"39"	"67"	"124"	"115"	"140"	"1"	"1"	"3"	"4"	"3"	"5"	"463"	"0"	"463"	"0"
"52"	"40"	"154"	"154"	"131"	"80"	"2"	"1"	"4"	"2"	"1"	"16"	"545"	"0"	"545"	"0"
"53"	"41"	"69"	"8"	"281"	"196"	"1"	"5"	"1"	"1"	"0"	"3"	"565"	"0"	"565"	"0"
"54"	"42"	"20"	"5"	"140"	"225"	"2"	"7"	"5"	"3"	"1"	"8"	"416"	"0"	"416"	"0"
"55"	"TOTAL"	"4212"	"1098"	"8505"	"6236"	"122"	"142"	"142"	"276"	"110"	"449"	"21292"	"0"	"21292"	"0"
"56"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"58"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"59"	"B.F."	"4212"	"1098"	"8505"	"6236"	"122"	"142"	"142"	"276"	"110"	"449"	"21292"	"0"	"21292"	"0"
"60"	"43"	"122"	"9"	"223"	"350"	"1"	"2"	"4"	"3"	"4"	"16"	"734"	"0"	"734"	"0"
"61"	"44"	"79"	"6"	"154"	"460"	"5"	"3"	"5"	"0"	"4"	"8"	"724"	"0"	"724"	"0"
"62"	"45"	"64"	"42"	"51"	"227"	"1"	"3"	"2"	"1"	"2"	"16"	"409"	"0"	"409"	"0"
"63"	"46"	"26"	"14"	"71"	"398"	"2"	"3"	"1"	"2"	"1"	"11"	"529"	"0"	"529"	"0"
"64"	"47"	"39"	"30"	"68"	"373"	"3"	"4"	"2"	"4"	"4"	"8"	"535"	"0"	"535"	"0"
"65"	"48"	"98"	"11"	"224"	"232"	"4"	"2"	"2"	"1"	"3"	"3"	"580"	"0"	"580"	"0"
"66"	"49"	"80"	"7"	"89"	"269"	"3"	"7"	"4"	"1"	"3"	"13"	"476"	"0"	"476"	"0"
"67"	"50"	"118"	"8"	"115"	"32"	"0"	"3"	"1"	"5"	"3"	"3"	"288"	"0"	"288"	"0"
"68"	"51"	"89"	"4"	"214"	"63"	"1"	"1"	"3"	"3"	"3"	"12"	"393"	"0"	"393"	"0"
"69"	"52"	"31"	"1"	"90"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"131"	"0"	"131"	"0"
"70"	"53"	"48"	"1"	"91"	"150"	"2"	"0"	"1"	"1"	"30"	"7"	"331"	"0"	"331"	"0"
"71"	"54"	"35"	"59"	"33"	"194"	"4"	"2"	"6"	"4"	"3"	"11"	"351"	"0"	"351"	"0"
"72"	"55"	"31"	"2"	"13"	"131"	"0"	"4"	"4"	"1"	"1"	"7"	"194"	"0"	"194"	"0"
"73"	"56"	"191"	"13"	"338"	"80"	"5"	"4"	"1"	"2"	"4"	"8"	"646"	"0"	"646"	"0"
"74"	"TOTAL"	"5263"	"1305"	"10279"	"9203"	"153"	"181"	"178"	"304"	"175"	"572"	"27613"	"0"	"27613"	"0"
"75"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"77"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"78"	"B.F."	"5263"	"1305"	"10279"	"9203"	"153"	"181"	"178"	"304"	"175"	"572"	"27613"	"0"	"27613"	"0"
"79"	"57"	"69"	"4"	"115"	"202"	"4"	"1"	"4"	"4"	"0"	"11"	"414"	"0"	"414"	"0"
"80"	"58"	"41"	"6"	"205"	"245"	"5"	"6"	"14"	"6"	"8"	"32"	"568"	"0"	"568"	"0"
"81"	"59"	"21"	"66"	"229"	"206"	"3"	"4"	"1"	"1"	"2"	"8"	"541"	"0"	"541"	"0"
"82"	"60"	"16"	"3"	"158"	"227"	"5"	"4"	"2"	"2"	"3"	"10"	"430"	"0"	"430"	"0"
"83"	"61"	"84"	"2"	"128"	"53"	"0"	"4"	"3"	"0"	"5"	"11"	"290"	"0"	"290"	"0"
"84"	"62"	"44"	"74"	"138"	"220"	"5"	"9"	"3"	"4"	"3"	"12"	"512"	"0"	"512"	"0"
"85"	"63"	"120"	"5"	"129"	"89"	"2"	"2"	"1"	"4"	"1"	"8"	"361"	"0"	"361"	"0"
"86"	"64"	"4"	"7"	"200"	"139"	"1"	"0"	"2"	"0"	"0"	"2"	"355"	"0"	"355"	"0"
"87"	"65"	"89"	"53"	"137"	"203"	"4"	"1"	"6"	"3"	"4"	"11"	"511"	"0"	"511"	"0"
"88"	"66"	"137"	"1"	"93"	"68"	"1"	"3"	"1"	"5"	"2"	"12"	"323"	"0"	"323"	"0"
"89"	"67"	"101"	"42"	"48"	"183"	"2"	"1"	"6"	"6"	"2"	"24"	"415"	"0"	"415"	"0"
"90"	"68"	"84"	"25"	"89"	"66"	"0"	"0"	"0"	"1"	"0"	"2"	"267"	"0"	"267"	"0"
"91"	"69"	"81"	"7"	"302"	"139"	"2"	"2"	"6"	"0"	"1"	"16"	"556"	"0"	"556"	"0"
"92"	"70"	"52"	"9"	"361"	"320"	"8"	"16"	"17"	"12"	"6"	"57"	"858"	"0"	"858"	"0"
"93"	"TOTAL"	"6206"	"1609"	"12611"	"11563"	"195"	"234"	"244"	"352"	"212"	"788"	"34014"	"0"	"34014"	"0"
"94"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"96"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"97"	"B.F."	"6206"	"1609"	"12611"	"11563"	"195"	"234"	"244"	"352"	"212"	"788"	"34014"	"0"	"34014"	"0"
"98"	"71"	"112"	"49"	"51"	"55"	"0"	"0"	"0"	"0"	"2"	"5"	"274"	"0"	"274"	"0"
"99"	"72"	"121"	"86"	"316"	"266"	"6"	"23"	"11"	"7"	"8"	"23"	"867"	"0"	"867"	"0"
"100"	"73"	"89"	"5"	"73"	"57"	"3"	"1"	"7"	"1"	"2"	"24"	"262"	"0"	"262"	"0"
"101"	"74"	"174"	"7"	"133"	"98"	"5"	"6"	"95"	"16"	"8"	"14"	"556"	"0"	"556"	"0"
"102"	"75"	"43"	"12"	"217"	"269"	"9"	"6"	"54"	"11"	"7"	"40"	"668"	"0"	"668"	"0"
"103"	"76"	"95"	"25"	"369"	"246"	"21"	"20"	"15"	"16"	"11"	"30"	"848"	"0"	"848"	"0"
"104"	"77"	"7"	"2"	"98"	"149"	"4"	"3"	"6"	"2"	"1"	"6"	"278"	"0"	"278"	"0"
"105"	"78"	"153"	"6"	"128"	"213"	"3"	"2"	"2"	"2"	"2"	"8"	"519"	"0"	"519"	"0"
"106"	"79"	"156"	"7"	"131"	"200"	"2"	"5"	"6"	"2"	"2"	"11"	"522"	"0"	"522"	"0"
"107"	"80"	"119"	"22"	"197"	"208"	"1"	"3"	"1"	"0"	"4"	"12"	"567"	"0"	"567"	"0"
"108"	"81"	"113"	"11"	"141"	"293"	"4"	"4"	"7"	"6"	"7"	"13"	"599"	"0"	"599"	"0"
"109"	"82"	"44"	"3"	"113"	"98"	"3"	"3"	"1"	"0"	"6"	"10"	"281"	"0"	"281"	"0"
"110"	"83"	"85"	"4"	"184"	"122"	"1"	"3"	"2"	"6"	"1"	"10"	"418"	"0"	"418"	"0"
"111"	"84"	"86"	"10"	"225"	"54"	"1"	"0"	"2"	"0"	"2"	"1"	"381"	"0"	"381"	"0"
"112"	"TOTAL"	"7603"	"1858"	"14987"	"13891"	"258"	"313"	"453"	"421"	"275"	"995"	"41054"	"0"	"41054"	"0"
"113"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"115"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"116"	"B.F."	"7603"	"1858"	"14987"	"13891"	"258"	"313"	"453"	"421"	"275"	"995"	"41054"	"0"	"41054"	"0"
"117"	"85"	"106"	"9"	"256"	"62"	"3"	"1"	"1"	"4"	"3"	"19"	"464"	"0"	"464"	"0"
"118"	"86"	"31"	"18"	"229"	"308"	"5"	"4"	"6"	"6"	"3"	"18"	"628"	"0"	"628"	"0"
"119"	"87"	"30"	"5"	"125"	"115"	"1"	"3"	"0"	"2"	"2"	"9"	"292"	"0"	"292"	"0"
"120"	"88"	"110"	"5"	"206"	"90"	"1"	"1"	"1"	"3"	"0"	"8"	"425"	"0"	"425"	"0"
"121"	"89"	"68"	"21"	"230"	"365"	"8"	"4"	"5"	"2"	"4"	"20"	"727"	"0"	"727"	"0"
"122"	"90"	"56"	"4"	"109"	"224"	"4"	"3"	"5"	"5"	"4"	"16"	"430"	"0"	"430"	"0"
"123"	"91"	"45"	"3"	"115"	"84"	"0"	"0"	"1"	"3"	"1"	"3"	"255"	"0"	"255"	"0"
"124"	"92"	"214"	"8"	"144"	"167"	"1"	"2"	"10"	"9"	"5"	"17"	"577"	"0"	"577"	"0"
"125"	"93"	"166"	"74"	"157"	"139"	"3"	"3"	"2"	"3"	"3"	"9"	"559"	"0"	"559"	"0"
"126"	"94"	"29"	"1"	"89"	"153"	"3"	"3"	"3"	"2"	"3"	"7"	"293"	"0"	"293"	"0"
"127"	"95"	"17"	"11"	"178"	"42"	"0"	"0"	"3"	"4"	"3"	"10"	"268"	"0"	"268"	"0"
"128"	"96"	"267"	"11"	"54"	"128"	"3"	"3"	"2"	"0"	"2"	"5"	"475"	"0"	"475"	"0"
"129"	"97"	"210"	"15"	"238"	"104"	"4"	"4"	"4"	"2"	"1"	"8"	"590"	"0"	"590"	"0"
"130"	"98"	"49"	"5"	"80"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"167"	"0"	"167"	"0"
"131"	"TOTAL"	"9001"	"2048"	"17197"	"15904"	"294"	"345"	"496"	"466"	"309"	"1144"	"47204"	"0"	"47204"	"0"
"132"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"134"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"135"	"B.F."	"9001"	"2048"	"17197"	"15904"	"294"	"345"	"496"	"466"	"309"	"1144"	"47204"	"0"	"47204"	"0"
"136"	"99"	"62"	"5"	"253"	"149"	"2"	"3"	"2"	"2"	"0"	"11"	"489"	"0"	"489"	"0"
"137"	"100"	"57"	"6"	"167"	"121"	"4"	"1"	"2"	"3"	"3"	"13"	"377"	"0"	"377"	"0"
"138"	"101"	"12"	"9"	"248"	"74"	"2"	"1"	"3"	"5"	"0"	"6"	"360"	"0"	"360"	"0"
"139"	"102"	"83"	"8"	"106"	"336"	"0"	"4"	"7"	"5"	"3"	"11"	"563"	"0"	"563"	"0"
"140"	"103"	"90"	"4"	"240"	"184"	"6"	"4"	"2"	"2"	"2"	"13"	"547"	"0"	"547"	"0"
"141"	"104"	"112"	"74"	"182"	"87"	"4"	"2"	"2"	"3"	"3"	"6"	"475"	"0"	"475"	"0"
"142"	"105"	"27"	"13"	"216"	"195"	"2"	"1"	"1"	"2"	"0"	"7"	"464"	"0"	"464"	"0"
"143"	"106"	"107"	"19"	"179"	"103"	"0"	"2"	"0"	"8"	"2"	"6"	"426"	"0"	"426"	"0"
"144"	"107"	"38"	"6"	"141"	"241"	"4"	"2"	"5"	"3"	"2"	"9"	"451"	"0"	"451"	"0"
"145"	"108"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"146"	"109"	"42"	"2"	"122"	"137"	"1"	"1"	"1"	"5"	"4"	"10"	"325"	"0"	"325"	"0"
"147"	"110"	"37"	"66"	"133"	"221"	"3"	"1"	"1"	"3"	"3"	"11"	"479"	"0"	"479"	"0"
"148"	"111"	"11"	"2"	"227"	"70"	"3"	"4"	"5"	"5"	"2"	"7"	"336"	"0"	"336"	"0"
"149"	"112"	"109"	"2"	"29"	"194"	"0"	"2"	"0"	"1"	"1"	"9"	"347"	"0"	"347"	"0"
"150"	"TOTAL"	"9789"	"2264"	"19441"	"18016"	"325"	"373"	"527"	"513"	"334"	"1263"	"52845"	"0"	"52845"	"0"
"151"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"153"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"154"	"B.F."	"9789"	"2264"	"19441"	"18016"	"325"	"373"	"527"	"513"	"334"	"1263"	"52845"	"0"	"52845"	"0"
"155"	"113"	"18"	"2"	"221"	"167"	"2"	"0"	"3"	"2"	"1"	"13"	"429"	"0"	"429"	"0"
"156"	"114"	"41"	"8"	"274"	"49"	"3"	"1"	"1"	"6"	"1"	"16"	"400"	"0"	"400"	"0"
"157"	"115"	"22"	"6"	"314"	"231"	"5"	"2"	"1"	"5"	"3"	"26"	"615"	"0"	"615"	"0"
"158"	"116"	"15"	"7"	"91"	"99"	"1"	"0"	"1"	"0"	"0"	"6"	"220"	"0"	"220"	"0"
"159"	"117"	"71"	"108"	"264"	"216"	"14"	"10"	"5"	"7"	"7"	"33"	"735"	"0"	"735"	"0"
"160"	"118"	"68"	"10"	"216"	"398"	"7"	"10"	"14"	"2"	"10"	"46"	"781"	"0"	"781"	"0"
"161"	"119"	"158"	"20"	"319"	"397"	"5"	"3"	"3"	"1"	"4"	"18"	"928"	"0"	"928"	"0"
"162"	"120"	"42"	"0"	"99"	"261"	"3"	"4"	"4"	"5"	"0"	"12"	"430"	"0"	"430"	"0"
"163"	"121"	"148"	"12"	"114"	"168"	"3"	"6"	"2"	"5"	"0"	"30"	"488"	"0"	"488"	"0"
"164"	"122"	"57"	"2"	"257"	"86"	"5"	"1"	"0"	"11"	"2"	"7"	"428"	"0"	"428"	"0"
"165"	"123"	"0"	"0"	"175"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"182"	"0"	"182"	"0"
"166"	"124"	"44"	"58"	"157"	"237"	"4"	"4"	"5"	"5"	"3"	"23"	"540"	"0"	"540"	"0"
"167"	"125"	"11"	"62"	"144"	"67"	"2"	"5"	"2"	"19"	"2"	"9"	"323"	"0"	"323"	"0"
"168"	"126"	"69"	"12"	"166"	"108"	"3"	"1"	"2"	"13"	"2"	"2"	"378"	"0"	"378"	"0"
"169"	"TOTAL"	"10553"	"2571"	"22252"	"20505"	"382"	"420"	"570"	"594"	"369"	"1506"	"59722"	"0"	"59722"	"0"
"170"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"172"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"173"	"B.F."	"10553"	"2571"	"22252"	"20505"	"382"	"420"	"570"	"594"	"369"	"1506"	"59722"	"0"	"59722"	"0"
"174"	"127"	"163"	"6"	"39"	"114"	"1"	"1"	"3"	"0"	"2"	"8"	"337"	"0"	"337"	"0"
"175"	"128"	"171"	"171"	"111"	"161"	"6"	"2"	"2"	"1"	"5"	"11"	"641"	"0"	"641"	"0"
"176"	"129"	"36"	"1"	"121"	"48"	"1"	"2"	"1"	"0"	"0"	"2"	"212"	"0"	"212"	"0"
"177"	"130"	"15"	"1"	"42"	"47"	"0"	"6"	"1"	"1"	"0"	"3"	"116"	"0"	"116"	"0"
"178"	"131"	"114"	"8"	"144"	"203"	"1"	"1"	"5"	"3"	"1"	"7"	"487"	"0"	"487"	"0"
"179"	"132"	"63"	"25"	"146"	"293"	"4"	"1"	"8"	"3"	"2"	"8"	"553"	"0"	"553"	"0"
"180"	"133"	"66"	"1"	"185"	"60"	"0"	"0"	"1"	"3"	"0"	"2"	"318"	"0"	"318"	"0"
"181"	"134"	"144"	"47"	"208"	"117"	"4"	"4"	"8"	"8"	"4"	"21"	"565"	"0"	"565"	"0"
"182"	"135"	"57"	"14"	"276"	"192"	"7"	"3"	"14"	"11"	"11"	"35"	"620"	"0"	"620"	"0"
"183"	"136"	"111"	"11"	"163"	"215"	"1"	"3"	"2"	"4"	"2"	"12"	"524"	"0"	"524"	"0"
"184"	"137"	"107"	"18"	"157"	"166"	"2"	"4"	"1"	"3"	"2"	"6"	"466"	"0"	"466"	"0"
"185"	"138"	"31"	"5"	"153"	"366"	"4"	"8"	"9"	"15"	"2"	"17"	"610"	"0"	"610"	"0"
"186"	"139"	"91"	"3"	"154"	"259"	"1"	"3"	"0"	"1"	"2"	"4"	"518"	"0"	"518"	"0"
"187"	"140"	"85"	"5"	"137"	"135"	"4"	"2"	"3"	"1"	"1"	"7"	"380"	"0"	"380"	"0"
"188"	"TOTAL"	"11807"	"2887"	"24288"	"22881"	"418"	"460"	"628"	"648"	"403"	"1649"	"66069"	"0"	"66069"	"0"
"189"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	""	"MURARI PRASAD GAUTAM"	"RAMENDRA RAM"	"LALAN PASWAN"	"SHYAM BIHARI RAM"	"BABY DEVI"	"MANOJ KUMAR PASWAN"	"MAHIPTESHWAR RAM"	"MALTI DEVI"	"SURESH RAM"	"MAHENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"Total No. of tender votes"
"191"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"192"	"B.F."	"11807"	"2887"	"24288"	"22881"	"418"	"460"	"628"	"648"	"403"	"1649"	"66069"	"0"	"66069"	"0"
"193"	"141"	"49"	"29"	"172"	"398"	"6"	"6"	"8"	"3"	"5"	"20"	"696"	"0"	"696"	"0"
