"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"11"	"7"	"166"	"86"	"23"	""	"174"	"2"	"7"	"4"	"8"	"8"	"4"	""	"3"	""	"2"	""	"2"	"5"	"5"	"10"	"9"	"14"	""	"6"	"538"	""	"538"	""	""
"12"	"8"	"403"	"8"	"17"	""	"13"	"1"	"1"	"1"	"1"	"0"	"2"	""	"0"	""	"3"	""	"2"	"7"	"3"	"13"	"8"	"1"	""	"1"	"485"	""	"485"	""	""
"13"	"9"	"49"	"5"	"6"	""	"123"	"2"	"1"	"5"	"1"	"7"	"134"	""	"2"	""	"3"	""	"6"	"34"	"3"	"1"	"2"	"120"	""	"6"	"510"	""	"510"	""	""
"14"	"10"	"55"	"44"	"8"	""	"185"	"4"	"2"	"5"	"17"	"6"	"24"	""	"1"	""	"2"	""	"6"	"17"	"2"	"8"	"6"	"78"	""	"9"	"479"	""	"479"	""	""
"15"	"11"	"136"	"6"	"4"	""	"113"	"4"	"3"	"4"	"0"	"2"	"1"	""	"0"	""	"1"	""	"2"	"3"	"1"	"2"	"10"	"26"	""	"1"	"319"	""	"319"	""	""
"16"	"12"	"121"	"19"	"6"	""	"144"	"4"	"3"	"7"	"3"	"5"	"20"	""	"1"	""	"6"	""	"2"	"3"	"3"	"2"	"10"	"134"	""	"7"	"500"	""	"500"	""	""
"17"	"13"	"327"	"65"	"47"	""	"20"	"12"	"2"	"2"	"5"	"1"	"6"	""	"0"	""	"3"	""	"3"	"70"	"2"	"5"	"8"	"29"	""	"15"	"622"	""	"622"	""	""
"18"	"14"	"320"	"3"	"4"	""	"143"	"1"	"0"	"0"	"7"	"2"	"7"	""	"0"	""	"1"	""	"0"	"7"	"1"	"3"	"3"	"23"	""	"0"	"525"	""	"525"	""	""
"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total"	"1769"	"272"	"432"	""	"1369"	"34"	"23"	"38"	"81"	"49"	"358"	""	"11"	""	"27"	""	"27"	"192"	"29"	"66"	"64"	"782"	""	"60"	"5683"	""	"5683"	""	""
"21"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"25"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"29"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"30"	"Round 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"15"	"100"	"7"	"4"	""	"130"	"5"	"2"	"4"	"0"	"3"	"2"	""	"1"	""	"2"	""	"4"	"0"	"2"	"9"	"5"	"0"	""	"12"	"292"	""	"292"	""	""
"32"	"16"	"206"	"4"	"127"	""	"39"	"1"	"0"	"4"	"3"	"3"	"1"	""	"1"	""	"2"	""	"5"	"4"	"2"	"9"	"3"	"0"	""	"2"	"416"	""	"416"	""	""
"33"	"17"	"172"	"0"	"3"	""	"12"	"0"	"0"	"2"	"0"	"1"	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"190"	""	"190"	""	""
"34"	"18"	"236"	"18"	"9"	""	"32"	"2"	"0"	"9"	"50"	"7"	"15"	""	"0"	""	"3"	""	"4"	"16"	"1"	"8"	"14"	"11"	""	"9"	"444"	""	"444"	""	""
"35"	"19"	"142"	"22"	"1"	""	"309"	"2"	"2"	"3"	"8"	"0"	"1"	""	"1"	""	"1"	""	"7"	"1"	"1"	"6"	"0"	"13"	""	"6"	"526"	""	"526"	""	""
"36"	"20"	"85"	"0"	"6"	""	"265"	"4"	"0"	"0"	"0"	"0"	"7"	""	"3"	""	"0"	""	"1"	"3"	"0"	"11"	"4"	"101"	""	"4"	"494"	""	"494"	""	""
"37"	"21"	"68"	"2"	"6"	""	"50"	"2"	"0"	"1"	"1"	"11"	"60"	""	"4"	""	"0"	""	"7"	"17"	"1"	"3"	"4"	"14"	""	"1"	"252"	""	"252"	""	""
"38"	"22"	"37"	"28"	"3"	""	"121"	"8"	"5"	"4"	"0"	"0"	"12"	""	"3"	""	"4"	""	"2"	"1"	"1"	"10"	"6"	"68"	""	"20"	"333"	""	"333"	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	""	"Ramjatan Sinha"	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	""	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"42"	"Booth No."	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"43"	"23"	"30"	"1"	""	"124"	"1"	"1"	"0"	"6"	"1"	"13"	""	"145"	""	"2"	""	"3"	"1"	"0"	"3"	"0"	"0"	"0"	""	"0"	"331"	""	"331"	""	""
"44"	"24"	"18"	"1"	""	"10"	"109"	"3"	"6"	"9"	"6"	"16"	""	"149"	""	"3"	""	"4"	"6"	"38"	"2"	"8"	"4"	"61"	""	"13"	"466"	""	"466"	""	""
"45"	"25"	"9"	"7"	""	"2"	"90"	"7"	"2"	"2"	"2"	"5"	""	"50"	""	"0"	""	"1"	"3"	"0"	"4"	"4"	"5"	"63"	""	"7"	"263"	""	"263"	""	""
"46"	"26"	"14"	"3"	""	"9"	"68"	"2"	"0"	"3"	"11"	"5"	""	"86"	""	"3"	""	"2"	"2"	"1"	"1"	"2"	"3"	"4"	""	"2"	"221"	""	"221"	""	""
"47"	"27"	"63"	"14"	""	"109"	"8"	"0"	"0"	"4"	"3"	"3"	""	"5"	""	"2"	""	"9"	"13"	"101"	"7"	"12"	"6"	"81"	""	"11"	"451"	""	"451"	""	""
"48"	"28"	"101"	"0"	""	"164"	"15"	"1"	"0"	"1"	"0"	"0"	""	"11"	""	"0"	""	"0"	"0"	"0"	"1"	"1"	"0"	"0"	""	"0"	"295"	""	"295"	""	""
"49"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total"	"1281"	"107"	""	"577"	"1249"	"38"	"17"	"52"	"85"	"67"	""	"544"	""	"23"	""	"31"	"55"	"182"	"26"	"83"	"54"	"416"	""	"87"	"4974"	""	"4974"	""	""
"51"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"55"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"56"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"57"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"58"	"Round 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"29"	"351"	"4"	"17"	""	"65"	"4"	"2"	"5"	"1"	"2"	"20"	""	"0"	""	"6"	""	"5"	"31"	"5"	"22"	"14"	"35"	""	"14"	"603"	""	"603"	""	""
"60"	"30"	"306"	"15"	"151"	""	"89"	"3"	"0"	"1"	"5"	"7"	"2"	""	"0"	""	"0"	""	"0"	"5"	"0"	"5"	"1"	"1"	""	"1"	"592"	""	"592"	""	""
"61"	"31"	"207"	"12"	"69"	""	"88"	"3"	"3"	"5"	"10"	"26"	"12"	""	"1"	""	"0"	""	"4"	"29"	"0"	"3"	"3"	"0"	""	"1"	"476"	""	"476"	""	""
"62"	"32"	"38"	"4"	"34"	""	"121"	"8"	"3"	"4"	"0"	"3"	"1"	""	"1"	""	"2"	""	"7"	"47"	"0"	"6"	"4"	"1"	""	"3"	"287"	""	"287"	""	""
"63"	"33"	"99"	"2"	"8"	""	"163"	"2"	"4"	"2"	"0"	"0"	"2"	""	"2"	""	"3"	""	"1"	"0"	"1"	"3"	"2"	"6"	""	"2"	"302"	""	"302"	""	""
"64"	"34"	"189"	"22"	"65"	""	"69"	"5"	"2"	"7"	"3"	"14"	"91"	""	"5"	""	"3"	""	"6"	"6"	"3"	"22"	"3"	"2"	""	"5"	"522"	""	"522"	""	""
"65"	"35"	"130"	"23"	"75"	""	"28"	"2"	"2"	"0"	"0"	"10"	"21"	""	"1"	""	"2"	""	"2"	"5"	"1"	"10"	"1"	"1"	""	"1"	"315"	""	"315"	""	""
"66"	"36"	"112"	"4"	"114"	""	"82"	"5"	"2"	"4"	"2"	"7"	"37"	""	"4"	""	"0"	""	"5"	"2"	"6"	"3"	"3"	"1"	""	"0"	"393"	""	"393"	""	""
"67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	""	"Ramjatan Sinha"	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	""	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"70"	"Booth No."	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"71"	"37"	"204"	"7"	""	"225"	"2"	"1"	"0"	"2"	"0"	"4"	""	"16"	""	"1"	""	"0"	"1"	"5"	"2"	"8"	"4"	"3"	""	"3"	"488"	""	"488"	""	""
"72"	"38"	"9"	"0"	""	"0"	"106"	"2"	"3"	"0"	"1"	"3"	""	"4"	""	"2"	""	"0"	"5"	"1"	"1"	"6"	"2"	"11"	""	"2"	"158"	""	"158"	""	""
"73"	"39"	"184"	"12"	""	"35"	"12"	"4"	"1"	"13"	"7"	"21"	""	"206"	""	"3"	""	"4"	"2"	"4"	"3"	"5"	"15"	"4"	""	"10"	"545"	""	"545"	""	""
"74"	"40"	"164"	"2"	""	"117"	"8"	"1"	"1"	"3"	"2"	"3"	""	"12"	""	"1"	""	"0"	"0"	"0"	"1"	"6"	"4"	"0"	""	"2"	"327"	""	"327"	""	""
"75"	"41"	"75"	"6"	""	"69"	"38"	"0"	"0"	"6"	"2"	"14"	""	"46"	""	"3"	""	"1"	"7"	"21"	"6"	"11"	"28"	"9"	""	"28"	"370"	""	"370"	""	""
"76"	"42"	"27"	"3"	""	"13"	"254"	"4"	"3"	"4"	"2"	"5"	""	"37"	""	"1"	""	"1"	"0"	"2"	"0"	"3"	"4"	"14"	""	"16"	"393"	""	"393"	""	""
"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Total"	"2095"	"116"	""	"992"	"1125"	"44"	"26"	"56"	"35"	"119"	""	"507"	""	"25"	""	"22"	"45"	"158"	"29"	"113"	"88"	"88"	""	"88"	"5771"	""	"5771"	""	""
"79"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"83"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"86"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"87"	"Round 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"43"	"7"	"1"	"17"	""	"132"	"1"	"2"	"2"	"2"	"1"	"20"	""	"2"	""	"3"	""	"1"	"1"	"3"	"10"	"1"	"10"	"1"	""	"217"	""	"217"	""	""
"89"	"44"	"16"	"2"	"14"	""	"280"	"6"	"5"	"3"	"5"	"2"	"10"	""	"1"	""	"7"	""	"6"	"1"	"3"	"20"	"0"	"3"	"1"	""	"385"	""	"385"	""	""
"90"	"45"	"21"	"28"	"16"	""	"117"	"0"	"0"	"1"	"1"	"1"	"33"	""	"0"	""	"1"	""	"4"	"9"	"0"	"1"	"2"	"15"	"2"	""	"252"	""	"252"	""	""
"91"	"46"	"30"	"7"	"28"	""	"220"	"7"	"2"	"4"	"0"	"1"	"19"	""	"1"	""	"1"	""	"4"	"4"	"3"	"16"	"2"	"5"	"4"	""	"358"	""	"358"	""	""
"92"	"47"	"128"	"1"	"35"	""	"19"	"2"	"0"	"1"	"0"	"4"	"22"	""	"1"	""	"0"	""	"1"	"2"	"1"	"6"	"2"	"1"	"47"	""	"273"	""	"273"	""	""
"93"	"48"	"107"	"1"	"14"	""	"80"	"1"	"0"	"2"	"0"	"4"	"4"	""	"1"	""	"1"	""	"0"	"0"	"0"	"0"	"1"	"0"	"2"	""	"218"	""	"218"	""	""
"94"	"49"	"251"	"8"	"78"	""	"53"	"6"	"3"	"5"	"3"	"3"	"9"	""	"4"	""	"4"	""	"5"	"4"	"3"	"13"	"2"	"0"	"10"	""	"464"	""	"464"	""	""
"95"	"50"	"246"	"4"	"51"	""	"72"	"1"	"4"	"2"	"11"	"3"	"29"	""	"2"	""	"6"	""	"5"	"5"	"3"	"13"	"10"	"1"	"17"	""	"485"	""	"485"	""	""
"96"	"51"	"83"	"18"	"143"	""	"29"	"2"	"2"	"2"	"8"	"2"	"0"	""	"1"	""	"1"	""	"3"	"2"	"1"	"6"	"1"	"2"	"0"	""	"306"	""	"306"	""	""
"97"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	""	"Ramjatan Sinha"	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	""	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	""	"Sanjay Kumar"	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"100"	"Booth No."	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	"19"	"20"	"21"	"22"	"23"	""
"101"	"52"	"90"	"13"	""	"78"	"311"	"11"	"6"	"3"	"2"	"1"	""	"4"	""	"2"	""	"3"	"10"	"33"	"4"	"8"	"6"	"44"	""	"7"	"636"	""	"636"	""	""
"102"	"53"	"155"	"5"	""	"55"	"83"	"3"	"3"	"7"	"6"	"1"	""	"2"	""	"4"	""	"2"	"4"	"6"	"5"	"10"	"7"	"0"	""	"3"	"361"	""	"361"	""	""
"103"	"54"	"83"	"2"	""	"206"	"33"	"5"	"1"	"2"	"2"	"5"	""	"1"	""	"2"	""	"0"	"9"	"6"	"2"	"3"	"2"	"1"	""	"5"	"370"	""	"370"	""	""
"104"	"55"	"196"	"8"	""	"106"	"117"	"9"	"1"	"5"	"8"	"7"	""	"5"	""	"5"	""	"6"	"29"	"84"	"5"	"39"	"2"	"2"	""	"10"	"644"	""	"644"	""	""
"105"	"56"	"285"	"12"	""	"59"	"49"	"4"	"4"	"6"	"4"	"9"	""	"21"	""	"3"	""	"4"	"7"	"28"	"7"	"27"	"5"	"4"	""	"5"	"543"	""	"543"	""	""
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Total"	"1698"	"110"	""	"900"	"1595"	"58"	"33"	"45"	"52"	"44"	""	"179"	""	"29"	""	"39"	"88"	"185"	"40"	"172"	"43"	"88"	""	"114"	"5512"	""	"5512"	""	""
"108"	"Signature of ARO                                                                                                                                    Signature of RO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"216- Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Name of Candidates"	"Abhiram Sharma"	"Mukendra Prasad"	"Ramjatan Sinha"	""	"Sachchitanand Yadav"	"Anju Mishra"	"Gajendra Prasad Singh"	"Chandreshwar Prasad Singh"	"Tabrez Alam"	"Dhaneshvar Thakur"	"Bindeshwar Singh"	""	"Rambaran Prasad"	""	"Md. Sadique"	""	"Syed Akbar Imam"	"Ganesh Bind"	"Mithilesh Kumar Sharma"	"Maithili Sharan"	"Lalan Kumar"	"Vijay Mandal"	"Sanjay Kumar"	""	"Total Valid Votes"	"No. of Reject ed votes"	"Total"	"No. of tender ed votes"	""
"112"	"Booth No."	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	"11"	""	"12"	""	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	""
"113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
