"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 202---Rajpur (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :202---Rajpur (SC)                                                                                                                                                                                                                                                                  No of Voters :253787"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                       Total Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"28"	"20"	"152"	"31"	"59"	"335"	"0"	"2"	"5"	"0"	"7"	"1"	"4"	"1"	"6"	"6"	"609"
"29"	"21"	"189"	"3"	"4"	"211"	"2"	"1"	"2"	"4"	"4"	"5"	"1"	"4"	"5"	"6"	"441"
"30"	"22"	"95"	"193"	"14"	"67"	"2"	"2"	"1"	"6"	"5"	"2"	"4"	"2"	"7"	"19"	"419"
"31"	"23"	"337"	"55"	"12"	"207"	"3"	"6"	"14"	"6"	"5"	"6"	"2"	"6"	"10"	"9"	"678"
"32"	"24"	"99"	"3"	"27"	"580"	"2"	"5"	"5"	"19"	"57"	"4"	"9"	"7"	"15"	"7"	"839"
"33"	"25"	"53"	"7"	"3"	"349"	"8"	"2"	"0"	"3"	"6"	"2"	"3"	"3"	"6"	"6"	"451"
"34"	"25A"	"108"	"15"	"12"	"362"	"1"	"2"	"1"	"6"	"6"	"0"	"11"	"3"	"16"	"8"	"551"
"35"	"26"	"59"	"82"	"32"	"367"	"1"	"2"	"5"	"5"	"4"	"4"	"8"	"5"	"17"	"12"	"603"
"36"	"27"	"208"	"26"	"21"	"220"	"5"	"3"	"2"	"4"	"15"	"7"	"8"	"11"	"15"	"19"	"564"
"37"	"28"	"55"	"4"	"13"	"371"	"11"	"0"	"3"	"0"	"4"	"4"	"2"	"2"	"3"	"6"	"478"
"38"	"29"	"178"	"9"	"31"	"255"	"3"	"7"	"3"	"6"	"3"	"3"	"4"	"4"	"8"	"9"	"523"
"39"	"30"	"76"	"106"	"15"	"186"	"1"	"3"	"1"	"6"	"8"	"3"	"4"	"4"	"41"	"8"	"462"
"40"	"31"	"169"	"155"	"10"	"166"	"5"	"2"	"5"	"8"	"10"	"2"	"11"	"8"	"11"	"14"	"576"
"41"	"32"	"68"	"23"	"10"	"210"	"1"	"2"	"0"	"16"	"34"	"6"	"11"	"14"	"27"	"21"	"443"
"42"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"44"	"33"	"140"	"50"	"34"	"203"	"7"	"1"	"7"	"30"	"4"	"4"	"3"	"7"	"17"	"14"	"521"
"45"	"34"	"172"	"9"	"26"	"119"	"4"	"2"	"0"	"3"	"1"	"0"	"7"	"1"	"8"	"12"	"364"
"46"	"35"	"89"	"105"	"106"	"213"	"5"	"3"	"3"	"14"	"27"	"3"	"10"	"5"	"10"	"30"	"623"
"47"	"36"	"167"	"8"	"14"	"68"	"2"	"1"	"4"	"2"	"5"	"0"	"1"	"3"	"4"	"5"	"284"
"48"	"37"	"61"	"5"	"13"	"158"	"1"	"1"	"2"	"15"	"293"	"4"	"1"	"5"	"10"	"11"	"580"
"49"	"38"	"175"	"73"	"12"	"214"	"5"	"1"	"37"	"3"	"1"	"1"	"2"	"2"	"4"	"9"	"539"
"50"	"39"	"211"	"148"	"18"	"115"	"3"	"1"	"23"	"7"	"8"	"3"	"6"	"12"	"18"	"15"	"588"
"51"	"40"	"61"	"277"	"40"	"171"	"8"	"3"	"3"	"4"	"2"	"3"	"4"	"9"	"8"	"8"	"601"
"52"	"41"	"96"	"18"	"10"	"206"	"4"	"6"	"4"	"11"	"6"	"4"	"3"	"4"	"7"	"8"	"387"
"53"	"42"	"24"	"121"	"17"	"370"	"6"	"3"	"5"	"18"	"9"	"2"	"9"	"4"	"10"	"5"	"603"
"54"	"43"	"146"	"5"	"33"	"140"	"4"	"0"	"9"	"5"	"4"	"1"	"6"	"1"	"6"	"12"	"372"
"55"	"44"	"154"	"69"	"24"	"259"	"5"	"1"	"5"	"6"	"10"	"5"	"7"	"4"	"19"	"13"	"581"
"56"	"45"	"117"	"4"	"27"	"221"	"1"	"1"	"3"	"44"	"6"	"4"	"4"	"4"	"6"	"11"	"453"
"57"	"46"	"62"	"3"	"9"	"195"	"4"	"2"	"24"	"4"	"5"	"8"	"7"	"8"	"18"	"11"	"360"
"58"	"47"	"36"	"3"	"5"	"330"	"1"	"1"	"1"	"13"	"2"	"2"	"10"	"8"	"10"	"7"	"429"
"59"	"47A"	"31"	"0"	"4"	"351"	"4"	"2"	"3"	"1"	"7"	"4"	"7"	"4"	"7"	"10"	"435"
"60"	"48"	"44"	"3"	"13"	"318"	"4"	"3"	"11"	"5"	"2"	"2"	"10"	"3"	"7"	"8"	"433"
"61"	"49"	"158"	"77"	"4"	"172"	"7"	"2"	"28"	"8"	"10"	"5"	"11"	"5"	"19"	"28"	"534"
"62"	"50"	"16"	"1"	"15"	"294"	"4"	"1"	"1"	"1"	"4"	"3"	"6"	"2"	"2"	"5"	"355"
"63"	"51"	"48"	"0"	"0"	"81"	"0"	"0"	"28"	"3"	"1"	"1"	"0"	"0"	"2"	"3"	"167"
"64"	"52"	"60"	"27"	"29"	"417"	"12"	"3"	"3"	"26"	"5"	"1"	"7"	"3"	"14"	"5"	"612"
"65"	"53"	"55"	"99"	"26"	"264"	"5"	"2"	"8"	"18"	"6"	"1"	"4"	"4"	"10"	"4"	"506"
"66"	"54"	"158"	"26"	"7"	"131"	"13"	"3"	"2"	"45"	"12"	"4"	"7"	"7"	"23"	"33"	"471"
"67"	"55"	"105"	"53"	"24"	"145"	"8"	"8"	"7"	"194"	"6"	"5"	"7"	"12"	"25"	"17"	"616"
"68"	"56"	"440"	"7"	"3"	"44"	"4"	"4"	"3"	"4"	"7"	"6"	"7"	"3"	"9"	"32"	"573"
"69"	"57"	"51"	"5"	"28"	"245"	"2"	"0"	"5"	"9"	"4"	"1"	"1"	"2"	"6"	"1"	"360"
"70"	"57A"	"91"	"8"	"33"	"281"	"4"	"3"	"4"	"6"	"5"	"2"	"12"	"6"	"13"	"8"	"476"
"71"	"58"	"94"	"59"	"18"	"146"	"3"	"0"	"2"	"51"	"1"	"1"	"3"	"3"	"9"	"5"	"395"
"72"	"59"	"137"	"92"	"15"	"83"	"2"	"4"	"1"	"8"	"1"	"1"	"4"	"2"	"8"	"3"	"361"
"73"	"60"	"9"	"5"	"216"	"288"	"6"	"3"	"6"	"46"	"6"	"2"	"4"	"14"	"12"	"7"	"624"
"74"	"61"	"67"	"194"	"62"	"137"	"4"	"0"	"2"	"4"	"7"	"5"	"8"	"10"	"9"	"10"	"519"
"75"	"62"	"41"	"24"	"58"	"158"	"0"	"3"	"7"	"3"	"2"	"3"	"3"	"3"	"5"	"9"	"319"
"76"	"63"	"173"	"64"	"3"	"200"	"0"	"8"	"4"	"26"	"3"	"1"	"5"	"2"	"9"	"6"	"504"
"77"	"64"	"35"	"5"	"3"	"165"	"2"	"11"	"1"	"3"	"1"	"1"	"5"	"1"	"6"	"5"	"244"
"78"	"65"	"71"	"4"	"18"	"133"	"2"	"2"	"2"	"3"	"5"	"1"	"5"	"0"	"7"	"5"	"258"
"79"	"66"	"119"	"38"	"2"	"53"	"3"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"2"	"2"	"226"
"80"	"67"	"36"	"34"	"14"	"107"	"0"	"0"	"4"	"1"	"2"	"0"	"1"	"1"	"5"	"2"	"207"
"81"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"83"	"68"	"272"	"4"	"5"	"176"	"2"	"0"	"7"	"11"	"5"	"0"	"2"	"2"	"4"	"4"	"494"
"84"	"69"	"171"	"29"	"9"	"327"	"7"	"2"	"3"	"11"	"10"	"3"	"16"	"3"	"15"	"23"	"629"
"85"	"70"	"89"	"73"	"23"	"266"	"3"	"1"	"0"	"8"	"7"	"2"	"19"	"2"	"7"	"3"	"503"
"86"	"71"	"48"	"46"	"8"	"229"	"4"	"0"	"1"	"6"	"44"	"1"	"3"	"5"	"14"	"8"	"417"
"87"	"72"	"173"	"6"	"1"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"226"
"88"	"73"	"127"	"17"	"1"	"86"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"5"	"5"	"246"
"89"	"74"	"74"	"90"	"32"	"165"	"0"	"0"	"4"	"48"	"6"	"1"	"6"	"4"	"8"	"13"	"451"
"90"	"75"	"141"	"27"	"8"	"280"	"2"	"2"	"1"	"13"	"10"	"1"	"2"	"6"	"10"	"16"	"519"
"91"	"76"	"53"	"195"	"16"	"163"	"0"	"1"	"4"	"56"	"2"	"1"	"2"	"4"	"9"	"9"	"515"
"92"	"77"	"121"	"39"	"15"	"206"	"1"	"1"	"5"	"10"	"1"	"1"	"3"	"4"	"7"	"5"	"419"
"93"	"78"	"105"	"36"	"23"	"188"	"6"	"2"	"11"	"7"	"6"	"3"	"3"	"4"	"8"	"12"	"414"
"94"	"79"	"138"	"122"	"13"	"342"	"2"	"0"	"5"	"11"	"19"	"3"	"6"	"7"	"16"	"12"	"696"
"95"	"80"	"157"	"71"	"20"	"200"	"3"	"0"	"4"	"3"	"6"	"1"	"8"	"3"	"3"	"9"	"488"
"96"	"81"	"214"	"32"	"4"	"92"	"1"	"2"	"3"	"35"	"6"	"1"	"4"	"5"	"11"	"17"	"427"
"97"	"82"	"135"	"34"	"3"	"145"	"0"	"3"	"12"	"105"	"5"	"2"	"3"	"6"	"12"	"14"	"479"
"98"	"83"	"146"	"30"	"9"	"234"	"4"	"5"	"5"	"5"	"4"	"1"	"2"	"10"	"15"	"6"	"476"
"99"	"84"	"199"	"164"	"31"	"253"	"3"	"1"	"3"	"23"	"17"	"1"	"0"	"2"	"5"	"3"	"705"
"100"	"85"	"48"	"5"	"5"	"143"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"211"
"101"	"86"	"91"	"45"	"1"	"188"	"6"	"1"	"1"	"3"	"3"	"0"	"2"	"0"	"8"	"6"	"355"
"102"	"87"	"237"	"184"	"7"	"79"	"5"	"1"	"5"	"12"	"1"	"5"	"5"	"5"	"8"	"6"	"560"
"103"	"88"	"93"	"53"	"14"	"245"	"3"	"4"	"1"	"11"	"69"	"2"	"4"	"5"	"10"	"8"	"522"
"104"	"89"	"25"	"93"	"36"	"122"	"4"	"0"	"3"	"2"	"0"	"0"	"1"	"1"	"2"	"5"	"294"
"105"	"90"	"53"	"66"	"5"	"194"	"5"	"2"	"2"	"6"	"2"	"1"	"5"	"2"	"12"	"3"	"358"
"106"	"91"	"49"	"9"	"20"	"120"	"0"	"0"	"0"	"5"	"1"	"0"	"3"	"1"	"4"	"3"	"215"
"107"	"92"	"112"	"101"	"9"	"341"	"2"	"4"	"4"	"18"	"14"	"1"	"1"	"7"	"10"	"9"	"633"
"108"	"93"	"76"	"44"	"32"	"297"	"2"	"1"	"4"	"27"	"17"	"4"	"9"	"12"	"21"	"16"	"562"
"109"	"94"	"166"	"73"	"31"	"304"	"4"	"3"	"3"	"13"	"29"	"5"	"5"	"9"	"18"	"30"	"693"
"110"	"95"	"142"	"28"	"13"	"283"	"5"	"1"	"3"	"13"	"49"	"1"	"4"	"6"	"13"	"7"	"568"
"111"	"96"	"43"	"5"	"5"	"70"	"0"	"1"	"0"	"6"	"93"	"2"	"2"	"0"	"4"	"2"	"233"
"112"	"97"	"156"	"79"	"3"	"138"	"2"	"0"	"4"	"17"	"4"	"1"	"0"	"3"	"18"	"13"	"438"
"113"	"98"	"31"	"86"	"27"	"89"	"1"	"1"	"0"	"4"	"1"	"0"	"2"	"1"	"1"	"6"	"250"
"114"	"99"	"131"	"188"	"79"	"154"	"3"	"4"	"11"	"48"	"10"	"4"	"1"	"4"	"8"	"14"	"659"
"115"	"100"	"113"	"9"	"1"	"77"	"1"	"1"	"2"	"9"	"0"	"0"	"1"	"1"	"1"	"2"	"218"
"116"	"101"	"49"	"19"	"45"	"196"	"5"	"4"	"1"	"7"	"2"	"0"	"2"	"2"	"3"	"9"	"344"
"117"	"102"	"14"	"79"	"28"	"344"	"8"	"21"	"4"	"92"	"11"	"0"	"2"	"10"	"23"	"6"	"642"
"118"	"103"	"68"	"35"	"31"	"215"	"5"	"2"	"6"	"64"	"14"	"3"	"2"	"7"	"13"	"15"	"480"
"119"	"104"	"320"	"38"	"7"	"60"	"1"	"1"	"12"	"63"	"3"	"1"	"2"	"3"	"10"	"5"	"526"
"120"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"122"	"105"	"216"	"155"	"12"	"149"	"3"	"0"	"4"	"4"	"15"	"6"	"3"	"4"	"7"	"10"	"588"
"123"	"106"	"144"	"9"	"13"	"390"	"4"	"1"	"3"	"24"	"10"	"1"	"3"	"4"	"12"	"4"	"622"
"124"	"107"	"197"	"3"	"2"	"73"	"2"	"0"	"0"	"4"	"2"	"0"	"4"	"1"	"4"	"9"	"301"
"125"	"108"	"68"	"6"	"5"	"237"	"0"	"0"	"1"	"42"	"7"	"3"	"10"	"3"	"6"	"6"	"394"
"126"	"109"	"207"	"39"	"36"	"201"	"4"	"0"	"5"	"25"	"4"	"1"	"1"	"11"	"14"	"9"	"557"
"127"	"110"	"111"	"5"	"26"	"236"	"4"	"1"	"3"	"8"	"8"	"2"	"4"	"2"	"9"	"15"	"434"
"128"	"111"	"95"	"8"	"5"	"181"	"3"	"0"	"2"	"4"	"2"	"0"	"1"	"2"	"3"	"3"	"309"
"129"	"112"	"163"	"123"	"25"	"254"	"6"	"3"	"1"	"14"	"24"	"0"	"4"	"10"	"14"	"23"	"664"
"130"	"113"	"76"	"47"	"5"	"215"	"1"	"1"	"16"	"3"	"0"	"1"	"5"	"3"	"12"	"10"	"395"
"131"	"114"	"99"	"51"	"6"	"25"	"2"	"9"	"133"	"7"	"10"	"0"	"3"	"2"	"4"	"7"	"358"
"132"	"115"	"1"	"85"	"1"	"91"	"0"	"0"	"0"	"0"	"5"	"2"	"12"	"0"	"8"	"2"	"207"
"133"	"116"	"102"	"48"	"16"	"207"	"11"	"1"	"4"	"6"	"1"	"2"	"21"	"0"	"10"	"7"	"436"
"134"	"117"	"25"	"10"	"9"	"520"	"7"	"0"	"4"	"2"	"3"	"4"	"12"	"6"	"10"	"9"	"621"
"135"	"118"	"278"	"89"	"8"	"319"	"3"	"2"	"1"	"2"	"10"	"11"	"7"	"4"	"18"	"25"	"777"
"136"	"119"	"51"	"1"	"7"	"88"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"3"	"3"	"4"	"163"
"137"	"120"	"89"	"9"	"38"	"222"	"6"	"6"	"67"	"10"	"9"	"2"	"7"	"13"	"8"	"12"	"498"
"138"	"121"	"29"	"86"	"53"	"101"	"1"	"1"	"1"	"2"	"3"	"0"	"1"	"1"	"5"	"1"	"285"
"139"	"122"	"65"	"101"	"29"	"291"	"5"	"2"	"12"	"61"	"5"	"1"	"1"	"7"	"18"	"5"	"603"
"140"	"123"	"254"	"18"	"26"	"303"	"4"	"1"	"0"	"3"	"1"	"1"	"7"	"2"	"8"	"11"	"639"
"141"	"124"	"140"	"74"	"8"	"140"	"0"	"0"	"0"	"5"	"1"	"0"	"1"	"2"	"3"	"3"	"377"
"142"	"125"	"19"	"3"	"84"	"235"	"5"	"2"	"4"	"4"	"6"	"6"	"5"	"3"	"14"	"19"	"409"
"143"	"126"	"110"	"26"	"18"	"211"	"15"	"1"	"3"	"9"	"8"	"51"	"13"	"14"	"30"	"22"	"531"
"144"	"127"	"161"	"5"	"14"	"136"	"13"	"1"	"6"	"32"	"3"	"3"	"6"	"6"	"16"	"22"	"424"
"145"	"128"	"6"	"10"	"3"	"154"	"1"	"0"	"2"	"4"	"3"	"2"	"2"	"1"	"4"	"1"	"193"
"146"	"129"	"168"	"8"	"19"	"201"	"1"	"1"	"4"	"8"	"5"	"1"	"6"	"5"	"8"	"18"	"453"
"147"	"130"	"139"	"16"	"6"	"123"	"3"	"2"	"6"	"2"	"2"	"8"	"5"	"3"	"7"	"11"	"333"
"148"	"131"	"160"	"54"	"12"	"322"	"3"	"2"	"22"	"10"	"16"	"4"	"7"	"13"	"15"	"18"	"658"
"149"	"132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"150"	"133"	"177"	"68"	"45"	"157"	"4"	"3"	"38"	"14"	"7"	"13"	"9"	"10"	"14"	"57"	"616"
"151"	"134"	"108"	"123"	"98"	"198"	"4"	"3"	"14"	"40"	"5"	"3"	"4"	"5"	"20"	"25"	"650"
"152"	"135"	"49"	"61"	"32"	"253"	"7"	"4"	"22"	"22"	"9"	"4"	"9"	"7"	"23"	"83"	"585"
"153"	"136"	"265"	"27"	"8"	"71"	"2"	"1"	"14"	"1"	"1"	"2"	"3"	"1"	"2"	"9"	"407"
"154"	"137"	"19"	"13"	"41"	"291"	"2"	"2"	"6"	"11"	"3"	"0"	"6"	"3"	"19"	"9"	"425"
"155"	"138"	"91"	"17"	"16"	"224"	"6"	"3"	"27"	"23"	"6"	"1"	"6"	"8"	"18"	"14"	"460"
"156"	"139"	"84"	"26"	"14"	"271"	"30"	"5"	"4"	"10"	"5"	"6"	"4"	"7"	"19"	"38"	"523"
"157"	"140"	"225"	"25"	"27"	"104"	"2"	"1"	"3"	"4"	"3"	"1"	"4"	"3"	"10"	"9"	"421"
"158"	"141"	"218"	"91"	"5"	"197"	"2"	"0"	"5"	"10"	"5"	"1"	"3"	"5"	"8"	"11"	"561"
"159"	"BOOTH NO"	"CHHEDI LAL RAM"	"PANKAJ KUMAR"	"MANJU KUMARI"	"SANTOSH
KUMAR NIRALA"	"HIRAMAN
PRASAD PASWAN"	"PARASURAM PRASAD"	"RAJENDRA PASWAN"	"RAMASHANKE R RAM"	"SHIV KUMAR RAM"	"SANJAY PASWAN"	"OM PRAKASH VIDYARTHY"	"MADAN RAM"	"RAJ KUMAR RAM"	"BINOD KUMAR BIKRANT"	"TOTAL VALID VOTES"
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"161"	"142"	"70"	"24"	"118"	"138"	"1"	"3"	"3"	"8"	"2"	"4"	"3"	"3"	"11"	"7"	"395"
"162"	"143"	"52"	"6"	"23"	"573"	"1"	"1"	"4"	"6"	"5"	"0"	"5"	"4"	"15"	"1"	"696"
"163"	"144"	"161"	"55"	"9"	"400"	"6"	"3"	"10"	"8"	"13"	"6"	"14"	"6"	"13"	"17"	"721"
"164"	"145"	"67"	"7"	"37"	"434"	"7"	"2"	"3"	"25"	"7"	"9"	"7"	"11"	"21"	"19"	"656"
"165"	"146"	"303"	"7"	"1"	"53"	"1"	"3"	"14"	"0"	"0"	"4"	"2"	"7"	"7"	"11"	"413"
"166"	"147"	"19"	"45"	"16"	"302"	"3"	"1"	"3"	"15"	"7"	"2"	"12"	"7"	"10"	"7"	"449"
"167"	"148"	"58"	"51"	"54"	"309"	"2"	"3"	"1"	"12"	"4"	"3"	"2"	"2"	"13"	"5"	"519"
"168"	"149"	"173"	"4"	"4"	"42"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"2"	"3"	"5"	"238"
"169"	"150"	"122"	"114"	"37"	"111"	"4"	"0"	"3"	"6"	"10"	"5"	"4"	"5"	"5"	"7"	"433"
"170"	"151"	"205"	"7"	"14"	"116"	"1"	"1"	"0"	"1"	"2"	"0"	"3"	"2"	"0"	"5"	"357"
"171"	"152"	"137"	"332"	"58"	"46"	"0"	"3"	"1"	"4"	"24"	"5"	"4"	"6"	"5"	"11"	"636"
"172"	"153"	"120"	"206"	"4"	"28"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"3"	"369"
"173"	"154"	"141"	"2"	"9"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"213"
"174"	"155"	"361"	"18"	"13"	"82"	"1"	"7"	"4"	"4"	"6"	"0"	"7"	"11"	"9"	"11"	"534"
"175"	"156"	"186"	"22"	"7"	"102"	"6"	"6"	"3"	"28"	"7"	"3"	"9"	"10"	"13"	"14"	"416"
"176"	"157"	"439"	"81"	"15"	"139"	"4"	"8"	"8"	"4"	"3"	"2"	"2"	"5"	"9"	"15"	"734"
"177"	"158"	"391"	"3"	"1"	"10"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"409"
"178"	"159"	"120"	"198"	"12"	"53"	"0"	"1"	"0"	"2"	"4"	"2"	"0"	"0"	"2"	"1"	"395"
"179"	"160"	"349"	"164"	"27"	"107"	"3"	"2"	"3"	"2"	"10"	"3"	"5"	"5"	"10"	"23"	"713"
"180"	"161"	"319"	"29"	"13"	"52"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"5"	"7"	"432"
"181"	"162"	"210"	"62"	"10"	"120"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"415"
