"Candidates.Name"	"KRISHNA.BIHARI.SINGH"	"DHARMPAL.SINGH"	"MALTI.DEVI"	"MUNNI.DEVI"	"SRISHIVAJEET.MISHRA"	"ARUNESHWAR.KUMAR"	"KALIKA.PRASAD.SINGH"	"MD..FAZLUR.RAHMAN"	"Total.Valid.Votes"
"58"	"54"	"5"	"25"	"9"	"170"	"366"	"7"	"4"	"9"	"595"
"59"	"55"	"10"	"21"	"13"	"141"	"268"	"8"	"3"	"5"	"469"
"60"	"56"	"27"	"17"	"8"	"115"	"234"	"14"	"7"	"18"	"440"
"61"	"57"	"33"	"189"	"17"	"326"	"53"	"13"	"14"	"12"	"657"
"62"	"58"	"6"	"9"	"4"	"54"	"389"	"4"	"2"	"7"	"475"
"63"	"59"	"2"	"14"	"2"	"62"	"382"	"5"	"2"	"4"	"473"
"64"	"60"	"28"	"185"	"11"	"105"	"43"	"5"	"6"	"11"	"394"
"65"	"61"	"10"	"98"	"4"	"101"	"17"	"5"	"5"	"4"	"244"
"66"	"62"	"20"	"85"	"14"	"244"	"29"	"0"	"6"	"6"	"404"
"67"	"63"	"22"	"42"	"13"	"398"	"11"	"5"	"7"	"8"	"506"
"68"	"64"	"46"	"74"	"7"	"294"	"24"	"6"	"3"	"11"	"465"
"69"	"65"	"33"	"88"	"8"	"227"	"159"	"19"	"15"	"35"	"584"
"70"	"66"	"13"	"29"	"5"	"107"	"128"	"9"	"6"	"14"	"311"
"71"	"67"	"11"	"80"	"7"	"172"	"47"	"2"	"4"	"13"	"336"
"72"	"68"	"13"	"191"	"9"	"215"	"72"	"7"	"5"	"2"	"514"
"73"	"69"	"52"	"150"	"8"	"160"	"94"	"3"	"6"	"10"	"483"
"74"	"70"	"81"	"120"	"20"	"177"	"78"	"23"	"14"	"11"	"524"
"75"	"71"	"16"	"237"	"8"	"86"	"17"	"0"	"5"	"6"	"375"
"76"	"72"	"24"	"91"	"13"	"232"	"90"	"5"	"5"	"7"	"467"
"77"	"73"	"35"	"23"	"3"	"244"	"129"	"6"	"6"	"9"	"455"
"78"	"74"	"23"	"93"	"17"	"247"	"113"	"14"	"9"	"15"	"531"
"79"	"75"	"27"	"197"	"6"	"232"	"3"	"3"	"6"	"11"	"485"
"80"	"76"	"42"	"142"	"10"	"282"	"54"	"15"	"9"	"15"	"569"
"81"	"77"	"4"	"32"	"5"	"184"	"20"	"4"	"2"	"0"	"251"
"82"	"78"	"1"	"218"	"4"	"25"	"0"	"0"	"2"	"0"	"250"
"83"	"79"	"5"	"33"	"7"	"298"	"29"	"6"	"2"	"1"	"381"
"84"	"80"	"23"	"332"	"4"	"150"	"12"	"0"	"2"	"14"	"537"
"85"	"81"	"18"	"102"	"9"	"185"	"69"	"4"	"3"	"11"	"401"
"86"	"82"	"3"	"57"	"8"	"299"	"21"	"5"	"4"	"5"	"402"
"87"	"83"	"2"	"81"	"3"	"157"	"49"	"3"	"0"	"2"	"297"
"88"	"84"	"1"	"85"	"3"	"158"	"42"	"1"	"0"	"2"	"292"
"89"	"85"	"17"	"191"	"7"	"266"	"35"	"9"	"7"	"17"	"549"
"90"	"86"	"18"	"58"	"4"	"189"	"6"	"5"	"1"	"2"	"283"
"91"	"87"	"23"	"141"	"2"	"250"	"13"	"3"	"3"	"8"	"443"
"92"	"88"	"77"	"260"	"14"	"182"	"9"	"2"	"5"	"10"	"559"
"93"	"89"	"16"	"248"	"12"	"186"	"18"	"0"	"1"	"7"	"488"
"94"	"90"	"34"	"163"	"11"	"189"	"21"	"6"	"8"	"8"	"440"
"95"	"91"	"45"	"154"	"6"	"88"	"9"	"6"	"2"	"12"	"322"
"96"	"92"	"7"	"280"	"4"	"80"	"1"	"2"	"3"	"0"	"377"
"97"	"93"	"12"	"180"	"2"	"111"	"14"	"0"	"1"	"5"	"325"
"98"	"94"	"81"	"413"	"16"	"43"	"21"	"8"	"8"	"32"	"622"
"99"	"95"	"132"	"113"	"3"	"106"	"46"	"2"	"0"	"5"	"407"
"100"	"96"	"15"	"214"	"11"	"144"	"36"	"11"	"3"	"2"	"436"
"101"	"97"	"5"	"127"	"7"	"161"	"6"	"2"	"3"	"7"	"318"
"102"	"97"	"20"	"127"	"9"	"204"	"2"	"3"	"6"	"4"	"375"
"103"	"98"	"45"	"192"	"5"	"161"	"4"	"1"	"3"	"7"	"418"
"104"	"99"	"29"	"241"	"15"	"381"	"12"	"9"	"14"	"10"	"711"
"105"	"100"	"57"	"135"	"6"	"329"	"10"	"11"	"7"	"16"	"571"
"106"	"Candidates Name"	"KRISHNA BIHARI SINGH"	"DHARMPAL SINGH"	"MALTI DEVI"	"MUNNI DEVI"	"SRISHIVAJEET MISHRA"	"ARUNESHWAR KUMAR"	"KALIKA PRASAD SINGH"	"MD. FAZLUR RAHMAN"	"Total Valid Votes"
"107"	"Booth No."	""	""	""	""	""	""	""	""	""
"108"	"101"	"19"	"100"	"4"	"274"	"10"	"9"	"12"	"7"	"435"
"109"	"102"	"101"	"230"	"17"	"121"	"18"	"7"	"10"	"28"	"532"
"110"	"103"	"35"	"122"	"9"	"178"	"9"	"5"	"1"	"2"	"361"
"111"	"104"	"26"	"237"	"7"	"117"	"3"	"7"	"2"	"8"	"407"
"112"	"105"	"39"	"129"	"25"	"184"	"39"	"8"	"5"	"2"	"431"
"113"	"106"	"5"	"324"	"6"	"90"	"5"	"1"	"1"	"8"	"440"
"114"	"107"	"112"	"376"	"12"	"76"	"6"	"4"	"2"	"5"	"593"
"115"	"108"	"12"	"470"	"16"	"93"	"4"	"2"	"13"	"7"	"617"
"116"	"109"	"64"	"36"	"13"	"258"	"93"	"6"	"1"	"4"	"475"
"117"	"110"	"15"	"127"	"14"	"191"	"67"	"2"	"4"	"6"	"426"
"118"	"111"	"24"	"210"	"15"	"241"	"42"	"7"	"8"	"16"	"563"
"119"	"112"	"8"	"46"	"11"	"198"	"35"	"6"	"2"	"1"	"307"
"120"	"113"	"8"	"74"	"8"	"155"	"19"	"10"	"2"	"8"	"284"
"121"	"114"	"14"	"118"	"8"	"345"	"16"	"10"	"5"	"6"	"522"
"122"	"115"	"70"	"272"	"12"	"361"	"15"	"13"	"9"	"24"	"776"
"123"	"116"	"46"	"211"	"9"	"130"	"69"	"4"	"6"	"9"	"484"
"124"	"117"	"7"	"76"	"9"	"333"	"6"	"7"	"2"	"4"	"444"
"125"	"118"	"6"	"33"	"15"	"379"	"15"	"6"	"0"	"4"	"458"
"126"	"119"	"14"	"180"	"20"	"411"	"13"	"17"	"9"	"5"	"669"
"127"	"120"	"36"	"163"	"22"	"527"	"29"	"28"	"7"	"6"	"818"
"128"	"121"	"11"	"150"	"33"	"313"	"22"	"25"	"8"	"11"	"573"
"129"	"122"	"47"	"82"	"67"	"371"	"34"	"8"	"4"	"11"	"624"
"130"	"123"	"18"	"39"	"56"	"295"	"88"	"12"	"5"	"10"	"523"
"131"	"124"	"29"	"88"	"6"	"206"	"58"	"5"	"3"	"14"	"409"
"132"	"125"	"120"	"265"	"47"	"254"	"27"	"21"	"13"	"29"	"776"
"133"	"126"	"68"	"255"	"13"	"93"	"6"	"8"	"4"	"5"	"452"
"134"	"127"	"3"	"172"	"7"	"139"	"10"	"2"	"1"	"13"	"347"
"135"	"128"	"50"	"139"	"7"	"256"	"22"	"12"	"6"	"13"	"505"
"136"	"129"	"50"	"129"	"5"	"107"	"36"	"3"	"3"	"18"	"351"
"137"	"130"	"5"	"91"	"3"	"25"	"4"	"11"	"1"	"176"	"316"
"138"	"131"	"26"	"291"	"13"	"45"	"13"	"12"	"13"	"72"	"485"
"139"	"132"	"18"	"206"	"11"	"219"	"12"	"10"	"3"	"98"	"577"
"140"	"133"	"11"	"98"	"10"	"140"	"3"	"5"	"3"	"74"	"344"
"141"	"134"	"10"	"217"	"11"	"9"	"4"	"5"	"5"	"22"	"283"
"142"	"135"	"92"	"85"	"5"	"198"	"17"	"3"	"9"	"13"	"422"
"143"	"136"	"18"	"81"	"5"	"64"	"4"	"0"	"2"	"21"	"195"
"144"	"137"	"30"	"158"	"5"	"79"	"3"	"9"	"7"	"14"	"305"
"145"	"138"	"129"	"157"	"11"	"216"	"14"	"6"	"9"	"6"	"548"
"146"	"139"	"5"	"94"	"1"	"114"	"4"	"21"	"2"	"2"	"243"
"147"	"140"	"85"	"181"	"6"	"195"	"10"	"11"	"4"	"35"	"527"
"148"	"141"	"143"	"159"	"5"	"57"	"11"	"3"	"1"	"8"	"387"
"149"	"141"	"74"	"139"	"7"	"98"	"6"	"1"	"0"	"2"	"327"
"150"	"142"	"129"	"130"	"6"	"167"	"35"	"4"	"7"	"13"	"491"
"151"	"143"	"25"	"216"	"6"	"218"	"32"	"1"	"1"	"4"	"503"
"152"	"144"	"36"	"71"	"13"	"239"	"31"	"3"	"2"	"5"	"400"
"153"	"145"	"49"	"359"	"11"	"87"	"9"	"4"	"5"	"10"	"534"
"154"	"146"	"163"	"250"	"7"	"205"	"4"	"11"	"2"	"4"	"646"
"155"	"147"	"37"	"264"	"10"	"226"	"25"	"3"	"5"	"4"	"574"
"156"	"148"	"38"	"247"	"8"	"262"	"5"	"2"	"0"	"11"	"573"
"157"	"149"	"78"	"293"	"11"	"337"	"23"	"7"	"7"	"9"	"765"
"158"	"150"	"56"	"218"	"5"	"190"	"15"	"11"	"3"	"8"	"506"
"159"	"Candidates Name"	"KRISHNA BIHARI SINGH"	"DHARMPAL SINGH"	"MALTI DEVI"	"MUNNI DEVI"	"SRISHIVAJEET MISHRA"	"ARUNESHWAR KUMAR"	"KALIKA PRASAD SINGH"	"MD. FAZLUR RAHMAN"	"Total Valid Votes"
"160"	"Booth No."	""	""	""	""	""	""	""	""	""
"161"	"151"	"140"	"191"	"8"	"78"	"4"	"9"	"3"	"8"	"441"
"162"	"152"	"249"	"256"	"6"	"108"	"7"	"5"	"5"	"3"	"639"
"163"	"153"	"52"	"56"	"6"	"284"	"25"	"5"	"3"	"6"	"437"
"164"	"154"	"22"	"129"	"8"	"125"	"7"	"8"	"5"	"4"	"308"
"165"	"155"	"148"	"179"	"12"	"209"	"30"	"31"	"8"	"13"	"630"
"166"	"156"	"5"	"29"	"3"	"252"	"4"	"0"	"2"	"5"	"300"
"167"	"157"	"115"	"36"	"6"	"155"	"5"	"8"	"2"	"11"	"338"
"168"	"158"	"64"	"262"	"12"	"157"	"9"	"10"	"9"	"8"	"531"
"169"	"159"	"140"	"332"	"8"	"108"	"4"	"0"	"11"	"11"	"614"
"170"	"160"	"24"	"195"	"11"	"175"	"39"	"29"	"7"	"11"	"491"
"171"	"161"	"63"	"315"	"4"	"20"	"2"	"41"	"7"	"9"	"461"
"172"	"162"	"27"	"146"	"7"	"165"	"22"	"5"	"9"	"7"	"388"
"173"	"163"	"7"	"211"	"15"	"97"	"10"	"8"	"7"	"125"	"480"
"174"	"164"	"26"	"290"	"14"	"231"	"12"	"9"	"7"	"74"	"663"
"175"	"165"	"106"	"184"	"16"	"290"	"21"	"1"	"2"	"19"	"639"
"176"	"166"	"143"	"372"	"7"	"42"	"5"	"5"	"10"	"16"	"600"
"177"	"167"	"55"	"141"	"11"	"231"	"8"	"4"	"6"	"23"	"479"
"178"	"168"	"35"	"358"	"7"	"115"	"7"	"5"	"2"	"3"	"532"
"179"	"169"	"17"	"219"	"9"	"194"	"16"	"9"	"4"	"4"	"472"
"180"	"170"	"58"	"138"	"7"	"173"	"14"	"9"	"10"	"20"	"429"
"181"	"170"	"69"	"118"	"19"	"108"	"7"	"7"	"8"	"11"	"347"
"182"	"171"	"108"	"344"	"11"	"84"	"7"	"3"	"9"	"16"	"582"
"183"	"172"	"61"	"302"	"1"	"35"	"1"	"0"	"1"	"1"	"402"
"184"	"173"	"39"	"221"	"6"	"205"	"29"	"4"	"8"	"18"	"530"
"185"	"174"	"99"	"79"	"3"	"258"	"24"	"3"	"4"	"4"	"474"
"186"	"175"	"148"	"75"	"1"	"86"	"5"	"2"	"1"	"8"	"326"
"187"	"176"	"75"	"263"	"13"	"71"	"6"	"18"	"0"	"5"	"451"
"188"	"177"	"103"	"203"	"11"	"204"	"20"	"9"	"13"	"21"	"584"
"189"	"178"	"202"	"90"	"41"	"25"	"1"	"2"	"1"	"2"	"364"
"190"	"179"	"122"	"170"	"9"	"61"	"10"	"3"	"5"	"6"	"386"
"191"	"180"	"18"	"307"	"2"	"2"	"0"	"1"	"0"	"1"	"331"
"192"	"181"	"428"	"41"	"2"	"14"	"1"	"0"	"1"	"3"	"490"
"193"	"182"	"7"	"32"	"1"	"67"	"7"	"0"	"0"	"0"	"114"
"194"	"183"	"16"	"86"	"2"	"41"	"6"	"2"	"2"	"7"	"162"
"195"	"184"	"4"	"148"	"3"	"88"	"3"	"2"	"5"	"2"	"255"
"196"	"185"	"6"	"233"	"3"	"257"	"12"	"4"	"6"	"8"	"529"
"197"	"186"	"107"	"159"	"8"	"170"	"18"	"2"	"3"	"10"	"477"
"198"	"187"	"7"	"51"	"0"	"89"	"13"	"0"	"0"	"1"	"161"
"199"	"188"	"59"	"349"	"17"	"202"	"22"	"6"	"6"	"7"	"668"
"200"	"189"	"20"	"183"	"1"	"114"	"8"	"2"	"2"	"2"	"332"
"201"	"190"	"48"	"332"	"7"	"7"	"7"	"0"	"11"	"15"	"427"
"202"	"191"	"39"	"254"	"2"	"42"	"7"	"4"	"6"	"3"	"357"
"203"	"192"	"91"	"151"	"6"	"198"	"17"	"3"	"5"	"17"	"488"
"204"	"193"	"115"	"38"	"22"	"171"	"33"	"21"	"16"	"17"	"433"
"205"	"193"	"22"	"85"	"14"	"116"	"31"	"6"	"1"	"4"	"279"
"206"	"194"	"21"	"149"	"3"	"134"	"17"	"4"	"4"	"7"	"339"
"207"	"195"	"50"	"198"	"6"	"157"	"15"	"5"	"8"	"22"	"461"
"208"	"196"	"68"	"59"	"0"	"327"	"11"	"4"	"2"	"15"	"486"
"209"	"197"	"4"	"63"	"4"	"149"	"100"	"4"	"3"	"3"	"330"
"210"	"198"	"76"	"11"	"1"	"171"	"9"	"3"	"4"	"4"	"279"
"211"	"199"	"11"	"110"	"9"	"107"	"6"	"8"	"2"	"5"	"258"
"212"	"Candidates Name"	"KRISHNA BIHARI SINGH"	"DHARMPAL SINGH"	"MALTI DEVI"	"MUNNI DEVI"	"SRISHIVAJEET MISHRA"	"ARUNESHWAR KUMAR"	"KALIKA PRASAD SINGH"	"MD. FAZLUR RAHMAN"	"Total Valid Votes"
"213"	"Booth No."	""	""	""	""	""	""	""	""	""
"214"	"200"	"11"	"91"	"6"	"282"	"28"	"6"	"4"	"4"	"432"
"215"	"201"	"4"	"138"	"3"	"35"	"2"	"0"	"1"	"2"	"185"
"216"	"202"	"37"	"194"	"20"	"269"	"37"	"16"	"18"	"36"	"627"
"217"	"203"	"38"	"332"	"12"	"171"	"15"	"5"	"3"	"10"	"586"
"218"	"204"	"19"	"163"	"11"	"195"	"31"	"9"	"14"	"19"	"461"
"219"	"205"	"32"	"201"	"9"	"51"	"3"	"4"	"5"	"11"	"316"
"220"	"206"	"48"	"166"	"9"	"82"	"3"	"2"	"2"	"8"	"320"
"221"	"207"	"58"	"199"	"14"	"107"	"10"	"11"	"16"	"22"	"437"
"222"	"208"	"66"	"223"	"12"	"156"	"9"	"5"	"4"	"6"	"481"
"223"	"209"	"47"	"473"	"17"	"110"	"6"	"10"	"15"	"10"	"688"
"224"	"210"	"25"	"598"	"12"	"93"	"2"	"2"	"11"	"10"	"753"
"225"	"211"	"72"	"39"	"6"	"102"	"5"	"5"	"2"	"5"	"236"
"226"	"212"	"86"	"89"	"5"	"215"	"27"	"3"	"1"	"4"	"430"
"227"	"213"	"251"	"121"	"4"	"112"	"12"	"6"	"6"	"17"	"529"
"228"	"214"	"6"	"99"	"1"	"0"	"0"	"0"	"0"	"0"	"106"
"229"	"215"	"4"	"65"	"11"	"300"	"10"	"0"	"4"	"8"	"402"
"230"	"216"	"44"	"149"	"15"	"356"	"10"	"9"	"2"	"1"	"586"
"231"	"217"	"19"	"98"	"3"	"313"	"42"	"1"	"2"	"1"	"479"
"232"	"218"	"14"	"33"	"4"	"384"	"21"	"3"	"5"	"5"	"469"
"233"	"219"	"32"	"115"	"2"	"98"	"10"	"2"	"0"	"20"	"279"
"234"	"219"	"8"	"36"	"5"	"155"	"2"	"1"	"0"	"17"	"224"
"235"	"220"	"17"	"65"	"19"	"443"	"15"	"4"	"5"	"6"	"574"
"236"	"221"	"23"	"100"	"5"	"360"	"35"	"3"	"3"	"7"	"536"
"237"	"222"	"15"	"149"	"9"	"492"	"15"	"4"	"4"	"9"	"697"
"238"	"223"	"15"	"30"	"5"	"370"	"23"	"4"	"9"	"7"	"463"
"239"	"224"	"8"	"32"	"1"	"350"	"8"	"2"	"0"	"6"	"407"
"240"	"225"	"77"	"46"	"12"	"333"	"22"	"5"	"2"	"17"	"514"
"241"	"226"	"36"	"59"	"13"	"559"	"19"	"5"	"6"	"9"	"706"
"242"	"227"	"44"	"162"	"11"	"255"	"14"	"3"	"5"	"18"	"512"
"243"	"228"	"32"	"127"	"7"	"368"	"14"	"6"	"5"	"9"	"568"
"244"	"229"	"27"	"220"	"9"	"276"	"19"	"2"	"10"	"13"	"576"
"245"	"230"	"40"	"145"	"13"	"296"	"16"	"8"	"9"	"16"	"543"
"246"	"231"	"132"	"279"	"9"	"148"	"10"	"6"	"11"	"17"	"612"
"247"	"232"	"27"	"290"	"16"	"271"	"25"	"12"	"13"	"52"	"706"
"248"	"233"	"52"	"180"	"17"	"172"	"25"	"9"	"10"	"8"	"473"
"249"	"234"	"28"	"136"	"3"	"64"	"6"	"2"	"3"	"36"	"278"
"250"	"235"	"31"	"228"	"13"	"65"	"26"	"24"	"16"	"9"	"412"
"251"	"236"	"100"	"296"	"14"	"196"	"15"	"10"	"7"	"18"	"656"
"252"	"237"	"58"	"79"	"6"	"288"	"15"	"11"	"8"	"20"	"485"
"253"	"Postal Ballot Grand Total"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"254"	""	"11274"	"36584"	"2348"	"44795"	"10166"	"1639"	"1288"	"3100"	"111194"
"255"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"256"	"198- Shahpur Assembly Constituency"	""	""	""	""	""	""	""	""	""
