"ANNEXURE...XLII..CHAPTER.XIV..PARA.25.9..FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C(2) (c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FORM THE 56 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 2,34,757"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/ Segment 24- Bathnaha (SC) Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"38"	"27"	"27"	"13"	"241"	"198"	"11"	"7"	"5"	"4"	"4"	"28"	"12"	"22"	"545"	"0"	"545"	"0"
"39"	"28"	"28"	"6"	"310"	"48"	"20"	"11"	"3"	"3"	"0"	"9"	"2"	"9"	"421"	"0"	"421"	"0"
"40"	"29"	"29"	"9"	"27"	"288"	"17"	"2"	"2"	"2"	"1"	"25"	"10"	"15"	"398"	"0"	"398"	"0"
"41"	"30"	"30"	"6"	"116"	"236"	"16"	"6"	"2"	"0"	"1"	"34"	"3"	"17"	"437"	"0"	"437"	"0"
"42"	"31"	"31"	"15"	"91"	"422"	"38"	"7"	"5"	"4"	"6"	"34"	"4"	"14"	"640"	"0"	"640"	"0"
"43"	"32"	"32"	"8"	"54"	"162"	"25"	"4"	"0"	"6"	"9"	"30"	"11"	"21"	"330"	"0"	"330"	"0"
"44"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"45"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"47"	"33"	"33"	"14"	"340"	"37"	"15"	"2"	"4"	"0"	"1"	"5"	"10"	"17"	"445"	"0"	"445"	"0"
"48"	"34"	"34"	"12"	"171"	"76"	"59"	"6"	"5"	"7"	"3"	"10"	"11"	"19"	"379"	"0"	"379"	"0"
"49"	"35"	"35"	"14"	"101"	"372"	"50"	"7"	"3"	"5"	"9"	"35"	"3"	"6"	"605"	"0"	"605"	"0"
"50"	"36"	"36"	"11"	"212"	"49"	"30"	"4"	"3"	"13"	"6"	"9"	"10"	"22"	"369"	"0"	"369"	"0"
"51"	"37"	"37"	"8"	"125"	"131"	"51"	"16"	"4"	"3"	"6"	"13"	"4"	"19"	"380"	"0"	"380"	"0"
"52"	"38"	"38"	"13"	"104"	"91"	"32"	"4"	"3"	"4"	"3"	"22"	"2"	"8"	"286"	"0"	"286"	"0"
"53"	"39"	"39"	"8"	"260"	"187"	"47"	"14"	"7"	"5"	"2"	"23"	"6"	"15"	"574"	"0"	"574"	"0"
"54"	"40"	"40"	"8"	"254"	"71"	"49"	"6"	"2"	"1"	"0"	"4"	"8"	"6"	"409"	"0"	"409"	"0"
"55"	"41"	"41"	"6"	"198"	"49"	"62"	"3"	"2"	"1"	"1"	"5"	"15"	"4"	"346"	"0"	"346"	"0"
"56"	"42"	"42"	"25"	"384"	"113"	"42"	"20"	"5"	"3"	"6"	"30"	"8"	"14"	"650"	"0"	"650"	"0"
"57"	"43"	"43"	"12"	"279"	"28"	"16"	"7"	"2"	"0"	"0"	"3"	"6"	"6"	"359"	"0"	"359"	"0"
"58"	"44"	"44"	"20"	"252"	"104"	"26"	"8"	"5"	"1"	"1"	"4"	"112"	"10"	"543"	"0"	"543"	"0"
"59"	"45"	"45"	"15"	"245"	"52"	"15"	"3"	"3"	"1"	"0"	"3"	"1"	"5"	"343"	"0"	"343"	"0"
"60"	"46"	"46"	"5"	"156"	"60"	"15"	"2"	"0"	"2"	"1"	"7"	"5"	"10"	"263"	"0"	"263"	"0"
"61"	"47"	"47"	"6"	"293"	"153"	"35"	"4"	"0"	"8"	"2"	"13"	"19"	"6"	"539"	"0"	"539"	"0"
"62"	"48"	"48"	"2"	"284"	"28"	"99"	"6"	"0"	"1"	"1"	"2"	"1"	"4"	"428"	"0"	"428"	"0"
"63"	"49"	"49"	"35"	"135"	"56"	"56"	"9"	"3"	"6"	"2"	"17"	"5"	"8"	"332"	"0"	"332"	"0"
"64"	"50"	"50"	"10"	"209"	"294"	"47"	"12"	"7"	"3"	"3"	"25"	"8"	"12"	"630"	"0"	"630"	"0"
"65"	"51"	"51"	"23"	"290"	"51"	"31"	"9"	"2"	"5"	"4"	"12"	"6"	"19"	"452"	"0"	"452"	"0"
"66"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"67"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"69"	"52"	"52"	"25"	"164"	"281"	"18"	"15"	"0"	"1"	"3"	"31"	"6"	"10"	"554"	"0"	"554"	"0"
"70"	"53"	"53"	"5"	"255"	"143"	"35"	"8"	"6"	"12"	"21"	"49"	"29"	"43"	"606"	"0"	"606"	"0"
"71"	"54"	"54"	"14"	"81"	"135"	"22"	"11"	"4"	"10"	"7"	"24"	"5"	"9"	"322"	"0"	"322"	"0"
"72"	"55"	"55"	"13"	"238"	"173"	"63"	"2"	"4"	"17"	"3"	"18"	"4"	"5"	"540"	"0"	"540"	"0"
"73"	"56"	"56"	"16"	"237"	"254"	"22"	"19"	"7"	"14"	"15"	"54"	"9"	"26"	"673"	"0"	"673"	"0"
"74"	"57"	"57"	"6"	"284"	"276"	"24"	"7"	"3"	"5"	"8"	"31"	"5"	"28"	"677"	"0"	"677"	"0"
"75"	"58"	"58"	"13"	"201"	"189"	"24"	"3"	"0"	"2"	"4"	"22"	"2"	"9"	"469"	"0"	"469"	"0"
"76"	"59"	"59"	"20"	"177"	"154"	"29"	"3"	"2"	"5"	"1"	"26"	"3"	"19"	"439"	"0"	"439"	"0"
"77"	"60"	"60"	"17"	"168"	"94"	"33"	"10"	"3"	"5"	"3"	"18"	"6"	"10"	"367"	"0"	"367"	"0"
"78"	"61"	"61"	"1"	"60"	"235"	"9"	"4"	"0"	"45"	"3"	"18"	"1"	"1"	"377"	"0"	"377"	"0"
"79"	"62"	"62"	"8"	"116"	"94"	"8"	"2"	"0"	"3"	"2"	"16"	"0"	"6"	"255"	"0"	"255"	"0"
"80"	"63"	"63"	"11"	"299"	"159"	"38"	"13"	"5"	"19"	"10"	"35"	"18"	"8"	"615"	"0"	"615"	"0"
"81"	"64"	"64"	"11"	"476"	"88"	"11"	"12"	"1"	"3"	"4"	"14"	"5"	"13"	"638"	"0"	"638"	"0"
"82"	"65"	"65"	"7"	"134"	"156"	"17"	"5"	"3"	"1"	"0"	"8"	"1"	"6"	"338"	"0"	"338"	"0"
"83"	"66"	"65 A"	"9"	"161"	"119"	"19"	"11"	"2"	"2"	"4"	"16"	"6"	"8"	"357"	"0"	"357"	"0"
"84"	"67"	"66"	"14"	"173"	"181"	"22"	"7"	"5"	"4"	"3"	"53"	"2"	"13"	"477"	"0"	"477"	"0"
"85"	"68"	"67"	"9"	"221"	"60"	"13"	"5"	"1"	"3"	"2"	"10"	"3"	"5"	"332"	"0"	"332"	"0"
"86"	"69"	"68"	"5"	"204"	"117"	"5"	"12"	"0"	"15"	"6"	"17"	"3"	"4"	"388"	"0"	"388"	"0"
"87"	"70"	"69"	"7"	"251"	"131"	"32"	"18"	"5"	"4"	"4"	"25"	"11"	"21"	"509"	"0"	"509"	"0"
"88"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"89"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"91"	"71"	"70"	"23"	"242"	"139"	"14"	"21"	"11"	"1"	"7"	"27"	"8"	"8"	"501"	"0"	"501"	"0"
"92"	"72"	"71"	"27"	"268"	"141"	"22"	"9"	"8"	"4"	"8"	"26"	"9"	"13"	"535"	"0"	"535"	"0"
"93"	"73"	"72"	"4"	"24"	"94"	"26"	"0"	"3"	"1"	"1"	"28"	"3"	"12"	"196"	"0"	"196"	"0"
"94"	"74"	"73"	"8"	"89"	"118"	"32"	"3"	"1"	"1"	"4"	"19"	"5"	"17"	"297"	"0"	"297"	"0"
"95"	"75"	"74"	"16"	"90"	"184"	"102"	"8"	"4"	"4"	"5"	"26"	"5"	"12"	"456"	"0"	"456"	"0"
"96"	"76"	"75"	"10"	"91"	"181"	"73"	"2"	"3"	"3"	"4"	"24"	"5"	"6"	"402"	"0"	"402"	"0"
"97"	"77"	"76"	"6"	"38"	"184"	"24"	"4"	"0"	"1"	"6"	"39"	"8"	"14"	"324"	"0"	"324"	"0"
"98"	"78"	"77"	"2"	"22"	"396"	"69"	"3"	"0"	"1"	"1"	"21"	"1"	"0"	"516"	"0"	"516"	"0"
"99"	"79"	"78"	"8"	"193"	"164"	"15"	"10"	"0"	"3"	"7"	"38"	"9"	"18"	"465"	"0"	"465"	"0"
"100"	"80"	"79"	"14"	"210"	"44"	"49"	"5"	"1"	"28"	"7"	"12"	"4"	"10"	"384"	"0"	"384"	"0"
"101"	"81"	"80"	"18"	"82"	"92"	"53"	"6"	"2"	"3"	"3"	"17"	"2"	"15"	"293"	"0"	"293"	"0"
"102"	"82"	"81"	"9"	"126"	"222"	"99"	"13"	"9"	"3"	"8"	"41"	"12"	"24"	"566"	"0"	"566"	"0"
"103"	"83"	"82"	"21"	"53"	"298"	"27"	"6"	"2"	"4"	"8"	"32"	"5"	"22"	"478"	"0"	"478"	"0"
"104"	"84"	"83"	"16"	"257"	"236"	"54"	"8"	"7"	"8"	"11"	"30"	"1"	"16"	"644"	"0"	"644"	"0"
"105"	"85"	"84"	"33"	"440"	"74"	"58"	"18"	"6"	"9"	"8"	"20"	"10"	"29"	"705"	"0"	"705"	"0"
"106"	"86"	"85"	"7"	"199"	"162"	"13"	"3"	"1"	"2"	"1"	"25"	"6"	"6"	"425"	"0"	"425"	"0"
"107"	"87"	"86"	"15"	"187"	"140"	"66"	"9"	"10"	"42"	"5"	"37"	"6"	"21"	"538"	"0"	"538"	"0"
"108"	"88"	"87"	"21"	"254"	"131"	"87"	"13"	"2"	"4"	"3"	"30"	"7"	"6"	"558"	"0"	"558"	"0"
"109"	"89"	"88"	"11"	"263"	"125"	"30"	"10"	"4"	"4"	"9"	"25"	"9"	"16"	"506"	"0"	"506"	"0"
"110"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"111"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"113"	"90"	"89"	"9"	"32"	"205"	"103"	"8"	"4"	"6"	"11"	"64"	"10"	"33"	"485"	"0"	"485"	"0"
"114"	"91"	"90"	"8"	"363"	"22"	"55"	"12"	"4"	"2"	"3"	"2"	"5"	"15"	"491"	"0"	"491"	"0"
"115"	"92"	"91"	"9"	"265"	"51"	"64"	"4"	"1"	"2"	"0"	"0"	"6"	"7"	"409"	"0"	"409"	"0"
"116"	"93"	"92"	"9"	"26"	"67"	"52"	"6"	"4"	"2"	"5"	"18"	"12"	"10"	"211"	"0"	"211"	"0"
"117"	"94"	"93"	"9"	"262"	"143"	"64"	"4"	"1"	"1"	"4"	"17"	"7"	"8"	"520"	"0"	"520"	"0"
"118"	"95"	"94"	"7"	"53"	"208"	"55"	"9"	"2"	"1"	"3"	"29"	"5"	"9"	"381"	"0"	"381"	"0"
"119"	"96"	"95"	"3"	"275"	"196"	"29"	"8"	"1"	"6"	"2"	"26"	"7"	"19"	"572"	"0"	"572"	"0"
"120"	"97"	"96"	"10"	"150"	"351"	"24"	"6"	"3"	"3"	"5"	"42"	"8"	"9"	"611"	"0"	"611"	"0"
"121"	"98"	"97"	"9"	"118"	"85"	"13"	"3"	"1"	"1"	"4"	"12"	"2"	"3"	"251"	"0"	"251"	"0"
"122"	"99"	"97 A"	"13"	"151"	"93"	"26"	"5"	"5"	"0"	"6"	"21"	"7"	"20"	"347"	"0"	"347"	"0"
"123"	"100"	"98"	"4"	"283"	"140"	"16"	"4"	"1"	"2"	"1"	"19"	"3"	"9"	"482"	"0"	"482"	"0"
"124"	"101"	"99"	"12"	"118"	"117"	"20"	"8"	"1"	"4"	"6"	"13"	"6"	"25"	"330"	"0"	"330"	"0"
"125"	"102"	"100"	"20"	"178"	"47"	"16"	"11"	"7"	"4"	"2"	"17"	"1"	"14"	"317"	"0"	"317"	"0"
"126"	"103"	"101"	"3"	"145"	"183"	"26"	"3"	"1"	"1"	"3"	"31"	"3"	"7"	"406"	"0"	"406"	"0"
"127"	"104"	"102"	"18"	"242"	"154"	"19"	"3"	"3"	"2"	"6"	"27"	"5"	"10"	"489"	"0"	"489"	"0"
"128"	"105"	"103"	"20"	"496"	"81"	"18"	"16"	"4"	"9"	"2"	"6"	"2"	"9"	"663"	"0"	"663"	"0"
"129"	"106"	"104"	"11"	"476"	"183"	"43"	"6"	"1"	"1"	"2"	"18"	"5"	"7"	"753"	"0"	"753"	"0"
"130"	"107"	"105"	"10"	"149"	"184"	"46"	"8"	"4"	"3"	"2"	"32"	"10"	"16"	"464"	"0"	"464"	"0"
"131"	"108"	"106"	"18"	"150"	"128"	"23"	"6"	"1"	"1"	"1"	"9"	"0"	"6"	"343"	"0"	"343"	"0"
"132"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"133"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"135"	"109"	"107"	"1"	"62"	"312"	"10"	"2"	"2"	"1"	"3"	"26"	"0"	"3"	"422"	"0"	"422"	"0"
"136"	"110"	"108"	"5"	"51"	"199"	"17"	"4"	"1"	"3"	"5"	"23"	"1"	"14"	"323"	"0"	"323"	"0"
"137"	"111"	"109"	"4"	"59"	"157"	"11"	"1"	"2"	"2"	"0"	"16"	"1"	"3"	"256"	"0"	"256"	"0"
"138"	"112"	"110"	"30"	"169"	"130"	"70"	"7"	"6"	"0"	"6"	"27"	"6"	"6"	"457"	"0"	"457"	"0"
"139"	"113"	"111"	"14"	"88"	"128"	"40"	"12"	"5"	"5"	"9"	"26"	"10"	"21"	"358"	"0"	"358"	"0"
"140"	"114"	"112"	"5"	"130"	"146"	"7"	"1"	"0"	"1"	"1"	"13"	"0"	"6"	"310"	"0"	"310"	"0"
"141"	"115"	"113"	"10"	"234"	"148"	"83"	"8"	"2"	"10"	"6"	"20"	"6"	"11"	"538"	"0"	"538"	"0"
"142"	"116"	"114"	"5"	"70"	"256"	"15"	"6"	"1"	"1"	"1"	"28"	"5"	"15"	"403"	"0"	"403"	"0"
"143"	"117"	"114
A"	"7"	"67"	"395"	"8"	"6"	"3"	"4"	"1"	"19"	"2"	"5"	"517"	"0"	"517"	"0"
"144"	"118"	"115"	"7"	"100"	"158"	"25"	"13"	"3"	"1"	"4"	"23"	"1"	"13"	"348"	"0"	"348"	"0"
"145"	"119"	"116"	"15"	"92"	"221"	"30"	"9"	"4"	"5"	"7"	"40"	"6"	"10"	"439"	"0"	"439"	"0"
"146"	"120"	"117"	"9"	"134"	"36"	"5"	"4"	"3"	"2"	"2"	"15"	"7"	"16"	"233"	"0"	"233"	"0"
"147"	"121"	"118"	"21"	"288"	"58"	"58"	"10"	"4"	"1"	"2"	"7"	"11"	"18"	"478"	"0"	"478"	"0"
"148"	"122"	"119"	"9"	"191"	"69"	"25"	"13"	"3"	"1"	"2"	"17"	"9"	"26"	"365"	"0"	"365"	"0"
"149"	"123"	"120"	"26"	"69"	"214"	"26"	"5"	"9"	"61"	"8"	"50"	"6"	"22"	"496"	"0"	"496"	"0"
"150"	"124"	"121"	"23"	"134"	"169"	"28"	"9"	"3"	"7"	"4"	"33"	"5"	"20"	"435"	"0"	"435"	"0"
"151"	"125"	"122"	"20"	"336"	"109"	"64"	"7"	"5"	"3"	"2"	"8"	"5"	"11"	"570"	"0"	"570"	"0"
"152"	"126"	"123"	"7"	"225"	"31"	"26"	"3"	"2"	"0"	"2"	"2"	"0"	"10"	"308"	"0"	"308"	"0"
"153"	"127"	"123
A"	"16"	"250"	"56"	"11"	"7"	"2"	"4"	"0"	"11"	"2"	"9"	"368"	"0"	"368"	"0"
"154"	"Sr.
No."	"Sr. No. of Pollin g
Statio"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d votes"
"155"	""	""	"Ganesh Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjay Ram"	"Nagesh war Paswan"	"Manchit Paswan"	"Mahendr a Manjhi"	"Arun Kumar Paswan"	"Gagan Dev Paswan"	"Bacchu Paswan"	"Bijnand an Kumar"	""	""	""	""
"156"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"157"	"128"	"124"	"23"	"283"	"88"	"35"	"1"	"2"	"0"	"0"	"11"	"4"	"10"	"457"	"0"	"457"	"0"
"158"	"129"	"125"	"19"	"337"	"116"	"43"	"10"	"6"	"5"	"9"	"22"	"9"	"16"	"592"	"0"	"592"	"0"
"159"	"130"	"126"	"5"	"41"	"235"	"17"	"3"	"1"	"1"	"2"	"20"	"4"	"12"	"341"	"0"	"341"	"0"
"160"	"131"	"127"	"10"	"565"	"83"	"14"	"11"	"10"	"5"	"1"	"11"	"7"	"20"	"737"	"0"	"737"	"0"
"161"	"132"	"128"	"11"	"146"	"76"	"107"	"4"	"0"	"0"	"1"	"4"	"2"	"6"	"357"	"0"	"357"	"0"
"162"	"133"	"129"	"8"	"195"	"52"	"18"	"11"	"1"	"5"	"6"	"10"	"8"	"10"	"324"	"0"	"324"	"0"
"163"	"134"	"129
A"	"7"	"120"	"46"	"44"	"4"	"0"	"1"	"0"	"2"	"2"	"2"	"228"	"0"	"228"	"0"
"164"	"135"	"130"	"33"	"171"	"24"	"117"	"8"	"1"	"0"	"1"	"5"	"14"	"10"	"384"	"0"	"384"	"0"
"165"	"136"	"131"	"8"	"189"	"127"	"10"	"4"	"0"	"1"	"2"	"9"	"0"	"6"	"356"	"0"	"356"	"0"
"166"	"137"	"132"	"3"	"43"	"343"	"11"	"4"	"2"	"0"	"1"	"25"	"1"	"2"	"435"	"0"	"435"	"0"
"167"	"138"	"133"	"21"	"177"	"88"	"59"	"12"	"4"	"4"	"6"	"19"	"8"	"27"	"425"	"0"	"425"	"0"
"168"	"139"	"134"	"3"	"148"	"170"	"21"	"3"	"2"	"3"	"6"	"11"	"6"	"14"	"387"	"0"	"387"	"0"
"169"	"140"	"135"	"19"	"345"	"149"	"34"	"18"	"6"	"6"	"3"	"17"	"3"	"14"	"614"	"0"	"614"	"0"
"170"	"141"	"136"	"14"	"43"	"224"	"21"	"1"	"1"	"1"	"2"	"16"	"1"	"5"	"329"	"0"	"329"	"0"
"171"	"142"	"137"	"10"	"64"	"236"	"15"	"8"	"2"	"1"	"6"	"34"	"2"	"7"	"385"	"0"	"385"	"0"
