"Polling.Booth.Number"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.valid.votes"	"No.of..rejected.votes"	"Total"	"No..of.Tenders.Votes"
"52"	"41"	7	4	125	311	17	7	16	11	7	5	0	8	9	"527"	""	"527"	""
"53"	"42"	4	5	186	212	17	5	14	12	6	9	9	7	15	"501"	""	"501"	""
"54"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"55"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"56"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"57"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"58"	"43"	14	5	97	261	15	8	14	25	4	11	7	4	24	"489"	""	"489"	""
"59"	"44"	7	4	179	190	7	1	10	5	2	3	10	22	17	"457"	""	"457"	""
"60"	"45"	26	10	129	216	4	1	17	8	8	5	18	23	42	"507"	""	"507"	""
"61"	"46"	11	2	100	317	13	4	24	8	1	9	3	14	20	"526"	""	"526"	""
"62"	"47"	0	1	274	130	8	0	6	0	0	3	3	8	7	"440"	""	"440"	""
"63"	"48"	11	6	256	193	11	0	14	4	2	5	4	4	14	"524"	""	"524"	""
"64"	"49"	19	6	264	231	10	5	28	33	7	12	26	22	75	"738"	""	"738"	""
"65"	"50"	15	7	65	247	9	2	15	8	3	1	4	19	2	"397"	""	"397"	""
"66"	"51"	13	9	244	253	4	4	15	9	1	3	6	3	31	"595"	""	"595"	""
"67"	"52"	5	1	132	229	6	5	17	4	1	1	3	14	14	"432"	""	"432"	""
"68"	"53"	7	3	129	58	6	2	2	0	2	0	7	1	10	"227"	""	"227"	""
"69"	"54"	3	3	113	133	4	0	9	1	1	3	9	29	4	"312"	""	"312"	""
"70"	"55"	5	1	159	99	4	1	4	4	1	4	5	14	9	"310"	""	"310"	""
"71"	"56"	4	7	208	181	5	3	10	9	2	7	7	28	31	"502"	""	"502"	""
"72"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"73"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"74"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"75"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"76"	"57"	10	5	359	197	10	3	13	16	3	2	8	43	23	"692"	""	"692"	""
"77"	"58"	7	5	143	153	6	1	2	4	1	0	2	28	5	"357"	""	"357"	""
"78"	"59"	3	3	108	135	2	0	3	11	3	4	7	19	12	"310"	""	"310"	""
"79"	"60"	4	5	51	335	3	2	2	1	3	6	15	3	8	"438"	""	"438"	""
"80"	"61"	6	5	220	144	9	2	6	6	3	3	21	8	9	"442"	""	"442"	""
"81"	"62"	8	4	150	88	0	2	3	5	2	1	8	0	10	"281"	""	"281"	""
"82"	"63"	17	5	209	143	6	1	7	3	1	1	4	4	2	"403"	""	"403"	""
"83"	"64"	7	8	232	229	4	1	7	5	0	3	3	0	6	"505"	""	"505"	""
"84"	"65"	14	3	170	336	10	9	18	29	7	11	12	32	50	"701"	""	"701"	""
"85"	"66"	6	3	123	194	5	2	8	11	2	5	10	4	12	"385"	""	"385"	""
"86"	"67"	11	2	186	194	11	2	8	8	2	3	13	3	13	"456"	""	"456"	""
"87"	"68"	6	6	345	73	4	1	1	2	0	3	4	14	6	"465"	""	"465"	""
"88"	"69"	20	3	158	82	9	5	10	7	5	5	13	39	9	"365"	""	"365"	""
"89"	"69A"	14	3	227	155	4	2	10	4	1	6	2	36	9	"473"	""	"473"	""
"90"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"91"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"92"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"93"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"94"	"70"	8	6	244	111	6	2	5	5	2	1	3	8	6	"407"	""	"407"	""
"95"	"71"	24	11	377	106	4	3	13	6	3	1	0	2	5	"555"	""	"555"	""
"96"	"72"	13	5	224	247	10	4	30	10	3	1	7	7	14	"575"	""	"575"	""
"97"	"73"	11	2	154	207	6	3	8	6	2	3	7	10	10	"429"	""	"429"	""
"98"	"74"	9	3	242	131	1	2	8	10	2	1	6	16	4	"435"	""	"435"	""
"99"	"75"	29	4	248	239	12	4	20	10	3	9	17	19	43	"657"	""	"657"	""
"100"	"76"	6	3	196	120	10	5	11	7	3	6	4	35	14	"420"	""	"420"	""
"101"	"77"	31	12	220	372	14	4	15	12	0	28	10	13	16	"747"	""	"747"	""
"102"	"78"	20	8	228	169	1	4	3	10	0	5	9	7	24	"488"	""	"488"	""
"103"	"79"	6	3	162	302	10	7	14	4	3	5	6	6	14	"542"	""	"542"	""
"104"	"80"	4	13	175	184	10	5	14	11	3	3	6	25	21	"474"	""	"474"	""
"105"	"81"	7	3	198	191	13	5	9	7	1	4	2	3	24	"467"	""	"467"	""
"106"	"82"	16	12	202	203	7	4	16	9	3	1	4	13	11	"501"	""	"501"	""
"107"	"83"	14	4	195	283	7	2	19	13	4	8	15	31	32	"627"	""	"627"	""
"108"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"109"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"110"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"111"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"112"	"84"	6	71	42	387	1	8	11	15	6	10	1	5	32	"595"	""	"595"	""
"113"	"85"	13	9	100	396	12	13	13	17	6	6	7	3	31	"626"	""	"626"	""
"114"	"86"	9	5	168	421	6	2	12	10	2	2	6	9	18	"670"	""	"670"	""
"115"	"87"	27	12	248	349	5	8	19	17	2	2	9	9	15	"722"	""	"722"	""
"116"	"88"	8	3	61	318	6	4	22	15	5	6	32	22	36	"538"	""	"538"	""
"117"	"89"	4	2	98	94	4	2	3	4	2	1	6	0	9	"229"	""	"229"	""
"118"	"90"	5	11	206	171	13	5	13	9	5	16	38	46	31	"569"	""	"569"	""
"119"	"91"	10	7	154	292	9	4	11	4	4	13	9	8	16	"541"	""	"541"	""
"120"	"92"	12	5	204	168	6	2	8	9	3	7	3	24	38	"489"	""	"489"	""
"121"	"93"	11	1	64	456	7	7	23	10	6	14	5	7	38	"649"	""	"649"	""
"122"	"94"	6	0	82	218	8	7	12	8	9	4	2	15	18	"389"	""	"389"	""
"123"	"95"	1	2	96	143	15	4	3	7	1	4	3	14	50	"343"	""	"343"	""
"124"	"96"	15	11	53	473	22	7	13	12	2	13	5	13	50	"689"	""	"689"	""
"125"	"97"	14	5	381	134	8	6	7	19	2	6	8	10	15	"615"	""	"615"	""
"126"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"127"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"128"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"129"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"130"	"98"	4	2	213	146	6	6	3	8	2	7	8	83	30	"518"	""	"518"	""
"131"	"99"	11	4	233	160	8	4	7	13	5	20	19	61	40	"585"	""	"585"	""
"132"	"100"	8	8	285	102	15	1	4	11	2	4	8	11	32	"491"	""	"491"	""
"133"	"101"	13	5	304	75	4	6	3	5	1	1	4	1	11	"433"	""	"433"	""
"134"	"102"	10	6	202	189	4	4	8	10	4	5	7	5	21	"475"	""	"475"	""
"135"	"103"	5	5	21	348	9	2	15	5	9	7	6	5	23	"460"	""	"460"	""
"136"	"104"	4	8	80	245	9	3	12	8	4	5	37	5	8	"428"	""	"428"	""
"137"	"105"	13	4	85	218	4	4	6	8	1	4	4	8	27	"386"	""	"386"	""
"138"	"105A"	8	11	38	275	4	6	12	13	1	6	8	6	18	"406"	""	"406"	""
"139"	"106"	14	3	99	320	7	3	6	8	3	0	3	3	2	"471"	""	"471"	""
"140"	"107"	4	0	224	206	9	0	8	5	4	9	5	0	5	"479"	""	"479"	""
"141"	"108"	4	5	317	134	4	7	7	7	1	2	8	33	8	"537"	""	"537"	""
"142"	"109"	32	8	273	96	4	2	9	4	6	6	22	6	42	"510"	""	"510"	""
"143"	"110"	7	3	256	111	6	1	6	5	4	6	7	13	35	"460"	""	"460"	""
"144"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"146"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"147"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"148"	"111"	1	2	72	325	4	3	4	4	0	2	2	2	9	"430"	""	"430"	""
"149"	"112"	2	1	166	108	3	2	3	3	4	2	10	3	16	"323"	""	"323"	""
"150"	"113"	3	2	49	192	9	0	2	5	0	3	5	7	7	"284"	""	"284"	""
"151"	"114"	4	1	76	177	2	1	2	3	1	3	1	3	4	"278"	""	"278"	""
"152"	"115"	15	1	70	250	4	3	10	6	11	12	8	8	29	"427"	""	"427"	""
"153"	"115A"	12	3	261	150	6	3	1	10	1	2	5	6	18	"478"	""	"478"	""
"154"	"116"	13	0	139	312	19	13	20	16	10	14	11	17	32	"616"	""	"616"	""
"155"	"117"	5	0	60	307	6	8	5	6	0	8	8	10	12	"435"	""	"435"	""
"156"	"118"	4	3	40	225	10	3	5	7	3	10	7	5	21	"343"	""	"343"	""
"157"	"119"	25	4	74	410	14	5	8	7	2	6	3	6	6	"570"	""	"570"	""
"158"	"120"	3	2	101	543	8	3	15	9	2	8	6	4	35	"739"	""	"739"	""
"159"	"121"	25	6	264	285	12	4	15	20	8	17	16	18	60	"750"	""	"750"	""
"160"	"122"	6	7	242	328	7	1	6	9	2	3	7	2	12	"632"	""	"632"	""
"161"	"123"	11	7	158	301	6	11	16	20	7	2	11	11	35	"596"	""	"596"	""
"162"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"163"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"164"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"165"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"166"	"124"	5	2	319	236	16	5	15	10	6	5	4	21	39	"683"	""	"683"	""
"167"	"125"	10	6	358	222	9	3	9	12	4	7	17	14	42	"713"	""	"713"	""
"168"	"126"	12	4	113	420	18	7	15	10	8	15	15	11	42	"690"	""	"690"	""
"169"	"127"	11	1	115	429	8	5	6	7	3	10	18	6	18	"637"	""	"637"	""
"170"	"128"	4	1	13	233	4	3	2	3	1	1	40	0	0	"305"	""	"305"	""
"171"	"129"	10	2	58	454	10	2	3	14	1	2	1	10	20	"587"	""	"587"	""
"172"	"130"	27	3	113	345	9	7	6	16	2	8	4	9	39	"588"	""	"588"	""
"173"	"131"	9	7	245	261	9	3	6	5	3	6	3	15	14	"586"	""	"586"	""
"174"	"132"	16	5	364	111	32	9	10	11	3	3	14	19	42	"639"	""	"639"	""
"175"	"133"	10	2	265	300	7	7	13	11	6	5	8	14	43	"691"	""	"691"	""
"176"	"134"	7	3	96	196	12	2	11	12	0	4	5	8	17	"373"	""	"373"	""
"177"	"135"	3	3	191	169	8	2	6	15	1	13	2	83	12	"508"	""	"508"	""
"178"	"136"	9	1	84	134	2	6	7	12	2	4	12	8	6	"287"	""	"287"	""
"179"	"137"	16	17	456	165	14	6	8	14	6	13	28	33	37	"813"	""	"813"	""
"180"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"181"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"182"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"183"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"184"	"138"	10	7	172	245	9	4	8	12	2	9	1	3	9	"491"	""	"491"	""
"185"	"138A"	14	11	66	311	7	7	12	11	0	0	0	4	6	"449"	""	"449"	""
"186"	"139"	11	13	283	225	14	3	15	19	4	11	21	34	29	"682"	""	"682"	""
"187"	"140"	23	6	321	255	14	4	15	13	4	16	14	10	26	"721"	""	"721"	""
"188"	"141"	3	9	126	417	11	5	8	6	3	10	5	3	32	"638"	""	"638"	""
"189"	"142"	5	4	168	158	6	7	8	7	1	4	8	8	46	"430"	""	"430"	""
"190"	"143"	5	1	154	244	11	3	10	9	1	10	6	9	54	"517"	""	"517"	""
"191"	"144"	6	4	256	143	10	3	5	9	1	6	2	6	9	"460"	""	"460"	""
"192"	"145"	8	2	267	249	11	7	13	12	5	8	7	7	45	"641"	""	"641"	""
"193"	"146"	8	5	153	306	10	4	7	13	7	2	3	15	19	"552"	""	"552"	""
"194"	"147"	9	4	183	315	15	9	11	24	3	5	18	4	42	"642"	""	"642"	""
"195"	"148"	13	1	55	311	8	4	8	12	4	7	1	10	31	"465"	""	"465"	""
"196"	"148A"	10	5	112	193	6	2	9	5	0	4	2	17	14	"379"	""	"379"	""
"197"	"149"	6	0	81	234	3	3	8	15	0	7	5	2	73	"437"	""	"437"	""
"198"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"199"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"200"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"201"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"202"	"150"	10	3	63	325	2	1	10	8	2	9	3	6	61	"503"	""	"503"	""
"203"	"151"	8	13	186	123	11	3	6	4	3	7	1	4	18	"387"	""	"387"	""
"204"	"152"	10	9	165	170	23	6	4	7	5	5	10	39	49	"502"	""	"502"	""
"205"	"153"	18	1	270	246	10	2	6	16	5	3	8	12	27	"624"	""	"624"	""
"206"	"154"	6	3	215	173	12	4	6	6	0	4	29	5	17	"480"	""	"480"	""
"207"	"155"	4	8	293	164	10	3	7	7	5	5	6	9	15	"536"	""	"536"	""
"208"	"156"	0	3	123	93	5	5	7	5	2	2	39	9	13	"306"	""	"306"	""
"209"	"157"	11	1	272	204	12	2	11	11	6	4	8	7	29	"578"	""	"578"	""
"210"	"158"	12	11	337	200	9	2	4	12	2	1	14	2	26	"632"	""	"632"	""
"211"	"159"	5	2	133	443	7	0	11	6	2	7	5	0	10	"631"	""	"631"	""
"212"	"160"	13	5	215	271	29	8	12	11	4	1	7	7	36	"619"	""	"619"	""
"213"	"161"	5	5	118	285	13	8	10	8	2	5	2	2	20	"483"	""	"483"	""
"214"	"162"	8	5	209	323	12	2	16	2	1	13	44	17	28	"680"	""	"680"	""
"215"	"163"	6	3	172	186	4	4	4	4	1	0	7	13	13	"417"	""	"417"	""
"216"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"217"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"218"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"219"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"220"	"164"	2	1	91	115	7	2	13	5	0	8	12	43	11	"310"	""	"310"	""
"221"	"165"	11	3	217	70	12	1	8	4	4	4	10	4	14	"362"	""	"362"	""
"222"	"166"	6	10	387	185	16	4	6	11	3	8	55	21	23	"735"	""	"735"	""
"223"	"167"	12	4	208	214	12	11	11	11	6	21	20	13	41	"584"	""	"584"	""
"224"	"168"	20	3	259	91	23	4	1	9	3	9	8	9	19	"458"	""	"458"	""
"225"	"169"	7	1	303	111	14	2	10	8	3	3	5	7	17	"491"	""	"491"	""
"226"	"170"	17	6	404	129	3	2	5	8	4	1	3	4	10	"596"	""	"596"	""
"227"	"171"	9	0	140	334	5	5	17	13	6	7	20	7	24	"587"	""	"587"	""
"228"	"172"	3	2	189	168	4	0	4	8	0	3	5	5	7	"398"	""	"398"	""
"229"	"173"	3	1	190	341	9	9	15	8	2	3	2	0	14	"597"	""	"597"	""
"230"	"174"	14	5	222	460	13	7	16	16	7	12	5	10	30	"817"	""	"817"	""
"231"	"175"	6	1	115	202	4	4	7	11	3	1	4	6	22	"386"	""	"386"	""
"232"	"175A"	26	7	287	154	4	1	3	6	3	5	5	4	29	"534"	""	"534"	""
"233"	"176"	3	5	257	172	8	4	8	10	5	16	22	3	56	"569"	""	"569"	""
"234"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"235"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"236"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"237"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"238"	"177"	11	11	294	236	12	8	11	12	6	5	10	2	25	"643"	""	"643"	""
"239"	"178"	13	9	242	538	25	4	20	15	1	10	3	8	20	"908"	""	"908"	""
"240"	"179"	9	2	212	103	47	6	6	3	1	3	14	5	15	"426"	""	"426"	""
"241"	"180"	10	3	165	116	24	4	3	4	0	2	2	0	4	"337"	""	"337"	""
"242"	"181"	5	1	124	265	5	3	1	4	3	6	3	2	5	"427"	""	"427"	""
"243"	"181A"	10	0	140	260	6	3	5	1	0	0	0	1	5	"431"	""	"431"	""
"244"	"182"	16	7	122	433	10	4	15	14	2	4	4	4	20	"655"	""	"655"	""
"245"	"183"	15	7	376	98	4	1	2	5	3	3	7	2	15	"538"	""	"538"	""
"246"	"184"	10	3	200	382	19	7	16	11	3	12	7	12	42	"724"	""	"724"	""
"247"	"185"	2	0	384	57	2	0	1	2	0	0	1	0	2	"451"	""	"451"	""
"248"	"186"	17	9	301	154	16	5	4	11	6	11	3	11	12	"560"	""	"560"	""
"249"	"187"	15	3	242	260	1	7	6	7	2	13	2	17	7	"582"	""	"582"	""
"250"	"188"	2	2	78	122	9	1	10	10	7	95	5	26	20	"387"	""	"387"	""
"251"	"189"	10	2	167	333	19	5	11	9	2	1	2	2	9	"572"	""	"572"	""
"252"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"253"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"254"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"255"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"256"	"190"	12	7	155	327	18	14	17	31	5	7	11	10	32	"646"	""	"646"	""
"257"	"191"	19	2	179	184	15	3	8	5	3	1	10	4	8	"441"	""	"441"	""
"258"	"192"	32	5	276	332	24	9	16	14	2	14	9	7	24	"764"	""	"764"	""
"259"	"193"	8	5	173	340	30	3	5	8	2	7	9	11	15	"616"	""	"616"	""
"260"	"194"	7	6	236	410	13	1	14	10	0	2	7	8	29	"743"	""	"743"	""
"261"	"195"	22	8	207	293	20	8	16	22	5	17	11	14	33	"676"	""	"676"	""
"262"	"196"	16	8	307	241	12	7	5	15	5	8	13	3	27	"667"	""	"667"	""
"263"	"197"	2	3	337	131	5	1	7	6	1	5	5	0	6	"509"	""	"509"	""
"264"	"198"	7	3	224	384	14	2	11	18	5	12	12	4	68	"764"	""	"764"	""
"265"	"199"	21	8	209	372	17	7	9	18	2	3	4	4	40	"714"	""	"714"	""
"266"	"200"	3	0	94	235	4	4	7	4	2	3	7	4	8	"375"	""	"375"	""
"267"	"201"	7	2	200	429	3	5	8	7	2	7	3	4	30	"707"	""	"707"	""
"268"	"202"	6	1	104	208	3	5	1	4	1	4	2	2	18	"359"	""	"359"	""
"269"	"203"	4	2	144	439	7	15	7	7	2	6	7	1	16	"657"	""	"657"	""
"270"	"Polling Booth Number"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of valid votes"	"No of  rejected votes"	"Total"	"No. of Tenders Votes"
"271"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	""	""	""	""
"272"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"273"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"274"	"204"	8	4	390	89	8	0	0	4	1	8	6	5	11	"534"	""	"534"	""
"275"	"205"	4	4	254	119	5	5	4	10	0	3	6	3	23	"440"	""	"440"	""
"276"	"206"	15	6	432	54	4	2	4	6	2	9	6	1	19	"560"	""	"560"	""
"277"	"207"	4	2	51	435	19	3	9	8	1	7	4	5	11	"559"	""	"559"	""
"278"	"208"	1	0	41	214	0	0	0	1	0	0	1	0	0	"258"	""	"258"	""
"279"	"209"	21	2	121	513	10	6	13	16	2	8	6	4	15	"737"	""	"737"	""
