"Polling.Station.No."	"Ajeet.Sharma"	"Arun.Bajoriya"	"Ashwani.Kumar.Choubey"	"Dr...N...K..Yadav"	"Shekhar.Mehtar"	"Tarkeshwer.Pd..Mishra"	"Mukesh.Mukta.Das"	"Rajeev.Mishra"	"Rajesh.Mishra"	"Syed.Asad.Iqbal"	"Anand.Kumar.Jain"	"Jajweer.Quasmi"	"Jata.Shankar.Thakur"	"Dayaram.Mandal"	"Bijai.Kumar.Mandal"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"18"	"14"	72	4	155	328	4	1	13	1	4	1	5	38	16	5	20	667	0	667	NA
"19"	"15"	52	3	120	234	11	5	4	1	2	0	3	21	15	3	3	477	0	477	NA
"20"	"16"	232	8	410	52	11	1	1	0	4	3	4	6	9	3	15	759	0	759	NA
"21"	"17"	119	3	350	31	9	0	3	1	1	1	2	11	11	2	24	568	0	568	NA
"22"	"18"	71	2	214	6	5	0	0	0	0	0	0	0	3	2	6	309	0	309	NA
"23"	"19"	179	2	184	36	5	0	0	1	0	1	1	2	1	1	9	422	0	422	NA
"24"	"20"	164	5	196	14	6	2	1	4	1	5	0	2	4	1	13	418	0	418	NA
"25"	"21"	241	1	46	49	5	1	0	1	1	0	0	2	0	0	2	349	0	349	NA
"26"	"22"	88	4	242	2	6	0	0	0	0	1	0	1	2	1	1	348	0	348	NA
"27"	"23"	86	3	276	76	15	0	0	1	1	1	0	1	2	1	4	467	0	467	NA
"28"	"24"	92	1	305	10	4	0	0	0	0	0	0	0	1	2	6	421	0	421	NA
"29"	"25"	69	1	176	33	4	0	0	0	0	0	0	1	2	0	0	286	0	286	NA
"30"	"26"	62	1	298	14	2	0	0	0	0	0	0	0	1	0	0	378	0	378	NA
"31"	"27"	132	2	268	47	6	0	1	0	0	1	1	0	1	2	2	463	0	463	NA
"32"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"34"	"28"	60	2	223	4	0	0	0	0	0	1	0	0	1	1	1	293	0	293	NA
"35"	"29"	53	1	164	34	7	1	0	0	0	0	1	1	1	0	5	268	0	268	NA
"36"	"30"	107	0	140	25	10	0	0	1	0	0	0	1	0	0	3	287	0	287	NA
"37"	"31"	93	0	175	60	0	0	0	0	0	0	0	2	6	1	1	338	0	338	NA
"38"	"32"	67	1	169	56	1	0	0	0	0	0	0	2	0	1	3	300	0	300	NA
"39"	"33"	50	0	195	11	2	0	0	0	0	0	0	0	1	1	0	260	0	260	NA
"40"	"34"	96	2	133	29	0	1	2	0	0	0	0	2	2	1	0	268	0	268	NA
"41"	"35"	96	0	220	22	2	0	0	0	0	1	0	0	0	0	2	343	0	343	NA
"42"	"36"	78	0	272	54	4	0	2	0	0	1	2	3	1	3	3	423	0	423	NA
"43"	"37"	41	1	223	35	5	1	0	0	0	0	0	0	0	2	3	311	0	311	NA
"44"	"38"	79	0	256	24	1	0	0	1	0	1	1	0	0	1	3	367	0	367	NA
"45"	"39"	92	0	173	190	10	2	0	0	0	0	4	21	1	3	4	500	0	500	NA
"46"	"40"	155	2	133	191	12	0	3	2	1	2	2	19	4	3	9	538	0	538	NA
"47"	"41"	134	4	39	166	7	0	0	0	1	2	0	20	5	0	2	380	0	380	NA
"48"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"50"	"42"	165	5	39	81	10	1	2	1	3	1	1	24	4	3	9	349	0	349	NA
"51"	"43"	239	0	113	133	5	1	2	1	2	0	2	10	2	4	5	519	0	519	NA
"52"	"44"	116	3	139	108	41	1	1	0	2	1	1	7	6	9	4	439	0	439	NA
"53"	"45"	63	5	270	117	3	2	0	0	2	0	3	12	3	6	2	488	0	488	NA
"54"	"46"	35	3	202	32	9	1	0	0	2	0	1	1	1	0	0	287	0	287	NA
"55"	"47"	40	1	177	79	90	3	0	3	3	1	3	9	3	3	3	418	0	418	NA
"56"	"48"	47	3	139	188	6	1	2	1	1	0	1	8	4	2	2	405	0	405	NA
"57"	"49"	58	2	140	246	17	0	1	28	3	1	2	19	10	4	3	534	0	534	NA
"58"	"50"	13	1	53	255	28	1	0	5	1	1	3	24	10	2	9	406	0	406	NA
"59"	"51"	68	2	144	176	97	1	1	3	2	1	1	18	6	2	7	529	0	529	NA
"60"	"52"	51	1	176	67	1	0	1	8	0	0	0	4	4	1	3	317	0	317	NA
"61"	"53"	70	0	234	78	7	1	0	2	0	1	2	11	6	3	6	421	0	421	NA
"62"	"54"	157	3	156	213	69	2	1	20	3	2	1	25	7	8	7	674	0	674	NA
"63"	"55"	33	1	229	131	20	0	3	49	2	3	2	12	7	5	5	502	0	502	NA
"64"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"66"	"56"	63	0	204	63	11	2	3	31	1	0	2	12	6	2	10	410	0	410	NA
"67"	"56-A"	31	0	238	18	20	0	2	60	1	0	0	0	2	2	2	376	0	376	NA
"68"	"57"	55	0	189	73	11	0	3	9	1	0	2	5	10	5	3	366	0	366	NA
"69"	"58"	48	2	225	102	11	1	2	59	0	3	2	3	4	4	3	469	0	469	NA
"70"	"59"	47	0	175	54	0	0	0	5	0	0	0	0	0	1	0	282	0	282	NA
"71"	"60"	73	2	259	57	2	0	1	0	0	1	1	1	0	2	5	404	0	404	NA
"72"	"61"	61	1	120	176	17	2	0	4	1	0	1	20	5	0	2	410	0	410	NA
"73"	"62"	31	0	334	23	1	0	0	1	0	1	1	0	1	0	0	393	0	393	NA
"74"	"63"	67	2	317	220	6	1	0	2	1	0	0	10	3	1	2	632	0	632	NA
"75"	"64"	88	0	130	68	3	1	0	1	0	0	1	6	2	3	0	303	0	303	NA
"76"	"64-A"	44	0	119	27	3	0	5	0	0	0	0	0	0	2	0	200	0	200	NA
"77"	"65"	98	0	288	48	1	0	2	1	0	1	0	0	1	1	2	443	0	443	NA
"78"	"66"	88	1	127	50	2	1	0	0	1	0	0	3	0	3	1	277	0	277	NA
"79"	"66-A"	44	2	154	35	7	0	0	0	0	0	0	4	3	0	0	249	0	249	NA
"80"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"82"	"67"	92	2	161	17	8	0	0	0	0	0	0	0	1	1	3	285	0	285	NA
"83"	"67-A"	29	2	155	8	0	0	0	0	0	0	0	2	0	0	0	196	0	196	NA
"84"	"68"	66	0	202	50	0	0	0	1	0	0	0	4	3	0	0	326	0	326	NA
"85"	"69"	181	3	96	102	231	4	5	1	1	0	14	9	8	3	9	667	0	667	NA
"86"	"70"	61	6	195	388	8	2	2	2	4	0	1	17	5	7	8	706	0	706	NA
"87"	"71"	150	5	138	124	16	1	2	0	1	0	0	4	1	3	3	448	0	448	NA
"88"	"72"	74	1	195	141	27	2	0	1	0	0	3	2	5	2	5	458	0	458	NA
"89"	"73"	224	1	100	100	3	1	1	0	0	1	1	2	2	0	1	437	0	437	NA
"90"	"74"	71	1	202	26	2	1	0	0	0	1	0	1	0	0	2	307	0	307	NA
"91"	"75"	92	1	161	25	4	0	0	0	1	0	0	0	0	0	0	284	0	284	NA
"92"	"76"	136	0	330	31	9	0	4	0	0	0	0	0	0	0	0	510	0	510	NA
"93"	"77"	117	1	206	42	0	0	2	0	2	0	0	0	0	0	0	370	0	370	NA
"94"	"78"	91	9	232	11	1	0	0	1	0	0	0	0	0	0	0	345	0	345	NA
"95"	"79"	21	1	169	14	2	1	0	0	1	1	2	1	1	0	2	216	0	216	NA
"96"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"98"	"80"	60	0	226	10	27	0	0	0	0	0	0	1	1	0	1	326	0	326	NA
"99"	"81"	56	2	211	154	12	2	0	2	0	2	1	7	1	3	7	460	0	460	NA
"100"	"82"	107	7	408	20	3	0	1	0	0	0	0	0	3	2	6	557	0	557	NA
"101"	"83"	95	4	413	15	10	1	0	0	0	0	0	2	4	2	3	549	0	549	NA
"102"	"84"	30	4	409	7	2	0	0	2	1	0	0	1	0	0	2	458	0	458	NA
"103"	"85"	150	3	220	37	57	1	1	0	2	3	1	0	1	3	4	483	0	483	NA
"104"	"86"	54	4	180	13	18	0	0	0	0	0	1	1	0	1	1	273	0	273	NA
"105"	"87"	92	2	256	25	15	0	1	1	0	0	0	2	0	0	6	400	0	400	NA
"106"	"88"	71	5	299	24	0	0	0	0	0	1	1	1	3	2	2	409	0	409	NA
"107"	"89"	255	3	165	39	1	0	1	0	0	1	1	6	1	0	4	477	0	477	NA
"108"	"90"	189	4	54	69	2	1	1	1	0	1	2	6	1	1	3	335	0	335	NA
"109"	"90-A"	133	1	22	29	1	0	0	1	1	0	0	5	2	0	4	199	0	199	NA
"110"	"91"	72	4	219	70	4	0	0	0	2	3	1	2	3	2	3	385	0	385	NA
"111"	"92"	88	0	137	72	9	0	0	0	1	1	1	3	1	2	4	319	0	319	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"114"	"93"	124	6	167	300	23	3	4	3	4	2	3	22	10	10	10	691	0	691	NA
"115"	"94"	176	4	85	200	34	2	2	1	2	1	2	9	5	6	10	539	0	539	NA
"116"	"95"	121	4	147	222	6	1	4	1	3	1	1	7	2	3	7	530	0	530	NA
"117"	"96"	78	1	122	109	3	0	5	1	2	1	3	4	3	4	14	350	0	350	NA
"118"	"97"	444	9	31	31	13	0	1	0	2	1	2	7	3	2	12	558	0	558	NA
"119"	"98"	277	3	98	141	8	1	3	6	1	2	3	19	5	6	12	585	0	585	NA
"120"	"99"	128	2	213	90	8	0	0	0	3	2	0	1	0	0	2	449	0	449	NA
"121"	"100"	233	1	54	56	6	0	2	0	1	2	1	3	2	5	9	375	0	375	NA
"122"	"101"	68	1	138	162	4	0	3	0	1	1	2	10	5	3	5	403	0	403	NA
"123"	"102"	54	0	122	145	5	1	3	1	2	0	2	17	8	5	6	371	0	371	NA
"124"	"103"	134	2	161	58	1	0	3	1	2	0	0	3	1	4	3	373	0	373	NA
"125"	"104"	70	1	135	30	3	1	3	0	22	1	4	3	10	3	5	291	0	291	NA
"126"	"105"	53	0	142	277	19	0	5	1	2	1	4	12	12	4	7	539	0	539	NA
"127"	"106"	102	1	137	145	24	0	5	2	1	2	3	28	6	8	6	470	0	470	NA
"128"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"130"	"107"	48	0	116	54	2	1	1	0	0	1	3	4	1	0	2	233	0	233	NA
"131"	"108"	411	2	17	147	8	1	0	0	0	0	2	51	3	4	11	657	0	657	NA
"132"	"109"	349	3	5	96	5	0	0	1	0	1	3	16	1	1	21	502	0	502	NA
"133"	"110"	192	3	134	76	4	1	1	1	1	1	3	11	5	9	7	449	0	449	NA
"134"	"111"	322	2	24	123	5	2	0	1	0	2	0	8	4	5	5	503	0	503	NA
"135"	"112"	225	2	135	180	4	2	0	0	0	2	1	11	6	7	7	582	0	582	NA
"136"	"113"	198	1	111	109	3	1	1	0	1	0	1	65	2	4	1	498	0	498	NA
"137"	"114"	160	7	183	68	2	2	0	1	2	0	3	43	6	0	1	478	0	478	NA
"138"	"115"	146	0	13	101	4	0	0	0	2	0	0	98	0	2	3	369	0	369	NA
"139"	"116"	76	0	11	50	2	0	0	0	1	0	0	146	2	3	1	292	0	292	NA
"140"	"117"	290	0	42	241	4	0	0	0	1	0	2	20	1	5	2	608	0	608	NA
"141"	"118"	158	2	8	77	0	0	0	1	0	1	0	49	1	3	2	302	0	302	NA
"142"	"119"	171	1	90	102	4	0	0	1	0	1	1	39	4	0	3	417	0	417	NA
"143"	"120"	124	0	391	58	3	0	7	0	0	0	0	2	0	1	1	587	0	587	NA
"144"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"146"	"121"	45	0	97	200	9	0	1	1	2	0	2	7	3	3	11	381	0	381	NA
"147"	"122"	204	1	44	80	0	0	1	1	0	0	0	11	1	4	0	347	0	347	NA
"148"	"123"	300	7	73	88	19	0	1	0	3	1	2	11	7	4	8	524	0	524	NA
"149"	"124"	254	2	97	105	4	0	1	0	1	0	0	27	1	1	7	500	0	500	NA
"150"	"125"	94	1	90	39	4	0	0	0	0	5	0	23	0	3	4	263	0	263	NA
"151"	"126"	241	4	182	75	1	0	1	1	1	3	2	1	4	4	8	528	0	528	NA
"152"	"127"	125	5	211	42	5	1	1	0	0	0	4	3	3	3	4	407	0	407	NA
"153"	"128"	181	6	232	63	22	1	2	1	3	4	1	10	3	6	14	549	0	549	NA
"154"	"129"	252	1	72	20	3	1	2	0	0	0	0	19	0	1	5	376	0	376	NA
"155"	"130"	246	2	119	33	3	2	0	1	0	0	3	6	5	2	19	441	0	441	NA
"156"	"131"	107	0	304	17	1	0	0	0	1	1	5	2	0	0	3	441	0	441	NA
"157"	"132"	83	0	131	7	0	1	0	0	2	2	1	0	3	0	3	233	0	233	NA
"158"	"133"	171	1	166	8	1	0	0	0	0	1	0	0	0	0	2	350	0	350	NA
"159"	"134"	468	3	85	23	1	0	0	0	1	0	0	12	0	0	4	597	0	597	NA
"160"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"162"	"135"	133	0	18	38	0	0	1	0	1	1	0	1	0	3	3	199	0	199	NA
"163"	"136"	256	2	94	46	1	0	2	1	0	0	1	28	2	2	4	439	0	439	NA
"164"	"137"	93	2	111	89	2	0	1	1	0	0	1	5	2	1	8	316	0	316	NA
"165"	"138"	161	1	49	53	2	0	1	1	0	1	0	6	1	3	3	282	0	282	NA
"166"	"139"	83	1	159	73	9	0	6	0	1	0	1	2	1	1	3	340	0	340	NA
"167"	"140"	143	3	84	70	12	0	4	3	0	1	0	7	10	3	9	349	0	349	NA
"168"	"141"	198	4	3	55	3	1	1	0	1	1	1	2	1	0	9	280	0	280	NA
"169"	"142"	370	5	4	46	4	1	1	2	2	1	2	3	2	2	5	450	0	450	NA
"170"	"143"	368	1	3	15	3	0	0	0	0	1	0	2	2	3	3	401	0	401	NA
"171"	"144"	82	3	220	64	0	0	1	0	0	1	0	0	1	1	6	379	0	379	NA
"172"	"145"	64	2	39	17	2	0	0	0	0	1	0	1	0	1	1	128	0	128	NA
"173"	"146"	321	6	22	54	7	0	1	0	1	0	0	2	1	2	3	420	0	420	NA
"174"	"147"	169	1	9	32	0	0	0	0	0	8	0	0	1	2	2	224	0	224	NA
"175"	"148"	275	2	20	26	0	1	2	2	0	17	1	3	0	1	1	351	0	351	NA
"176"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"178"	"149"	194	1	21	32	5	0	0	0	0	2	0	2	0	0	4	261	0	261	NA
"179"	"150"	124	0	11	64	4	1	2	0	2	7	1	5	0	1	5	227	0	227	NA
"180"	"151"	102	0	15	57	0	1	0	1	0	1	0	2	1	2	4	186	0	186	NA
"181"	"152"	298	7	15	87	3	2	1	2	2	1	2	13	4	7	18	462	0	462	NA
"182"	"153"	266	5	10	70	3	0	1	1	0	1	0	6	1	5	18	387	0	387	NA
"183"	"154"	241	3	9	82	2	0	0	1	0	1	1	2	0	4	2	348	0	348	NA
"184"	"155"	269	0	14	41	2	1	1	0	0	0	0	3	2	6	3	342	0	342	NA
"185"	"156"	221	3	13	50	2	0	2	3	0	0	0	1	2	1	4	302	0	302	NA
"186"	"157"	112	2	21	15	0	0	1	0	0	1	0	0	0	0	0	152	0	152	NA
"187"	"158"	116	2	225	42	248	5	3	4	3	2	6	1	3	3	8	671	0	671	NA
"188"	"159"	209	2	30	39	6	4	1	0	0	2	0	6	2	1	1	303	0	303	NA
"189"	"160"	206	3	10	43	3	0	0	0	0	1	0	4	0	3	4	277	0	277	NA
"190"	"161"	222	7	29	42	1	0	0	0	1	1	1	3	2	0	4	313	0	313	NA
"191"	"162"	240	1	15	38	1	0	1	0	1	5	1	4	0	2	7	316	0	316	NA
"192"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"194"	"163"	122	4	309	30	0	1	1	0	1	0	0	1	0	1	2	472	0	472	NA
"195"	"164"	66	6	364	17	1	0	0	1	2	1	0	2	1	0	5	466	0	466	NA
"196"	"165"	96	1	263	13	1	0	0	0	0	1	0	1	0	0	1	377	0	377	NA
"197"	"166"	80	3	262	69	2	0	0	0	0	0	0	3	3	3	10	435	0	435	NA
"198"	"167"	26	2	107	27	0	0	0	0	0	1	1	3	2	0	3	172	0	172	NA
"199"	"168"	146	1	98	48	2	0	1	0	1	1	0	1	1	1	7	308	0	308	NA
"200"	"169"	81	7	188	42	3	0	0	1	2	0	0	2	2	2	22	352	0	352	NA
"201"	"170"	51	18	398	16	0	1	0	0	0	0	2	0	1	1	2	490	0	490	NA
"202"	"171"	68	17	325	6	1	0	0	0	0	0	0	0	1	0	0	418	0	418	NA
"203"	"172"	50	10	270	5	1	0	0	0	0	0	2	0	0	1	1	340	0	340	NA
"204"	"173"	140	5	226	18	5	0	1	0	0	2	0	0	1	1	2	401	0	401	NA
"205"	"174"	30	32	195	8	0	1	0	0	0	2	0	0	2	2	0	272	0	272	NA
"206"	"175"	46	32	388	8	2	1	2	0	0	0	0	1	0	1	0	481	0	481	NA
"207"	"176"	13	3	138	1	1	0	1	0	0	0	0	0	0	1	2	160	0	160	NA
"208"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"210"	"177"	135	7	374	18	7	6	1	0	1	1	1	1	1	0	1	554	0	554	NA
"211"	"178"	151	3	132	19	18	1	0	0	1	0	0	1	0	1	3	330	0	330	NA
"212"	"179"	38	0	146	13	0	0	0	0	0	0	0	1	0	1	1	200	0	200	NA
"213"	"180"	158	0	264	30	73	0	1	0	1	0	2	0	4	3	5	541	0	541	NA
"214"	"181"	120	6	148	79	10	2	0	0	3	0	0	7	3	3	14	395	0	395	NA
"215"	"182"	129	3	179	11	24	0	1	2	2	0	0	0	1	0	5	357	0	357	NA
"216"	"183"	88	2	240	60	9	2	3	1	2	1	3	6	4	2	4	427	0	427	NA
"217"	"184"	109	3	431	32	1	5	1	3	12	0	1	0	2	3	4	607	0	607	NA
"218"	"185"	136	1	250	23	4	3	1	0	0	0	0	1	1	3	3	426	0	426	NA
"219"	"186"	216	2	372	32	3	0	3	2	3	1	1	1	2	2	13	653	0	653	NA
"220"	"187"	573	1	25	17	2	1	4	2	2	0	0	6	0	4	11	648	0	648	NA
"221"	"188"	70	1	293	16	1	1	2	0	0	1	1	1	4	3	3	397	0	397	NA
"222"	"189"	91	3	301	11	4	1	0	0	1	0	0	0	1	1	1	415	0	415	NA
"223"	"190"	100	2	322	46	2	0	1	2	1	0	1	1	2	1	8	489	0	489	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"226"	"191"	82	4	319	10	0	0	0	1	1	0	1	0	2	0	1	421	0	421	NA
"227"	"192"	111	9	394	41	1	1	3	2	0	0	1	0	2	0	3	568	0	568	NA
"228"	"193"	75	3	156	15	6	0	0	0	0	0	0	0	0	1	1	257	0	257	NA
"229"	"194"	104	3	299	8	0	0	1	0	2	1	1	0	2	0	1	422	0	422	NA
"230"	"195"	79	4	217	5	2	1	1	0	0	0	0	1	1	0	3	314	0	314	NA
"231"	"196"	118	1	195	241	13	4	2	6	3	1	2	19	7	9	6	627	0	627	NA
"232"	"197"	67	1	245	233	15	2	0	0	4	2	4	19	13	13	16	634	0	634	NA
"233"	"198"	53	0	153	100	8	0	0	1	1	2	0	6	12	7	1	344	0	344	NA
"234"	"199"	44	0	137	13	1	0	0	0	0	0	0	0	1	0	0	196	0	196	NA
"235"	"200"	80	1	117	22	10	0	0	0	0	1	0	0	1	2	1	235	0	235	NA
"236"	"201"	101	0	197	40	0	1	0	0	0	0	0	2	0	0	0	341	0	341	NA
"237"	"201-A"	94	1	153	8	10	1	3	1	0	0	2	0	0	1	2	276	0	276	NA
"238"	"202"	71	1	267	24	0	1	0	0	0	0	0	0	1	0	5	370	0	370	NA
"239"	"203"	27	0	229	18	0	0	0	0	0	0	1	2	1	0	0	278	0	278	NA
"240"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"242"	"204"	77	3	285	165	9	0	2	1	1	0	0	3	0	0	2	548	0	548	NA
"243"	"205"	88	0	234	9	90	1	1	0	1	1	0	1	1	5	4	436	0	436	NA
"244"	"206"	60	1	244	51	12	0	0	1	1	0	0	1	0	2	4	377	0	377	NA
"245"	"207"	377	1	22	33	3	0	0	1	0	1	0	7	3	0	8	456	0	456	NA
"246"	"208"	253	0	20	19	0	0	1	0	1	1	0	6	2	0	6	309	0	309	NA
"247"	"209"	341	0	4	58	3	0	0	0	0	0	0	2	2	2	7	419	0	419	NA
"248"	"210"	231	6	10	28	1	1	0	0	1	1	0	2	1	0	9	291	0	291	NA
"249"	"211"	295	2	24	28	3	1	0	1	0	2	0	6	1	2	8	373	0	373	NA
"250"	"212"	233	3	8	16	3	1	1	1	1	0	0	2	0	2	5	276	0	276	NA
"251"	"213"	218	0	108	32	10	0	0	0	2	1	1	12	1	2	1	388	0	388	NA
"252"	"213-A"	106	2	29	7	0	0	0	1	0	0	0	5	1	0	4	155	0	155	NA
"253"	"214"	214	1	120	78	13	1	0	0	2	1	1	5	4	0	8	448	0	448	NA
"254"	"215"	443	3	10	48	6	0	1	1	1	1	2	10	2	2	10	540	0	540	NA
"255"	"216"	123	2	292	30	0	4	0	0	1	2	0	1	2	3	9	469	0	469	NA
"256"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"258"	"217"	159	2	164	49	2	1	3	1	3	0	2	3	2	1	1	393	0	393	NA
"259"	"218"	257	3	53	35	1	1	3	2	0	0	1	1	2	2	8	369	0	369	NA
"260"	"219"	109	2	92	7	1	0	0	0	0	2	0	1	3	2	8	227	0	227	NA
"261"	"220"	245	4	73	31	1	0	1	0	3	1	0	4	2	3	10	378	0	378	NA
"262"	"221"	83	2	273	45	2	0	1	0	2	0	4	3	4	4	12	435	0	435	NA
"263"	"222"	49	3	234	83	2	1	1	0	2	1	2	6	7	3	3	397	0	397	NA
"264"	"223"	87	2	236	58	3	0	1	1	0	2	1	4	10	4	14	423	0	423	NA
"265"	"224"	100	2	201	51	5	0	0	0	0	1	1	9	4	2	6	382	0	382	NA
"266"	"225"	83	0	213	49	3	0	0	1	2	0	0	0	3	3	4	361	0	361	NA
"267"	"226"	104	1	217	101	4	1	2	0	0	1	0	4	5	0	3	443	0	443	NA
"268"	"227"	48	1	109	58	10	0	0	1	0	1	0	1	1	2	1	233	0	233	NA
"269"	"228"	27	3	118	43	12	0	0	0	0	0	0	2	1	0	1	207	0	207	NA
"270"	"229"	290	1	19	54	22	0	0	0	0	1	4	5	1	3	2	402	0	402	NA
"271"	"230"	83	0	73	12	0	0	0	0	0	0	1	0	0	1	0	170	0	170	NA
"272"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"274"	"231"	88	3	124	31	2	2	0	0	0	2	1	0	1	1	4	259	0	259	NA
"275"	"232"	187	2	267	49	4	0	2	4	0	0	1	1	9	6	11	543	0	543	NA
"276"	"233"	107	4	307	53	19	2	0	1	3	1	0	2	5	2	9	515	0	515	NA
"277"	"234"	38	3	180	39	0	1	0	0	4	0	0	0	0	3	0	268	0	268	NA
