"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 162& dVksfj ; k ¼v0 t 0 t k0½fuokZpu {ks= esa fo/kku l Hkk {ks= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"28"	"18"	"18"	"28"	"15"	"20"	"118"	"108"	"8"	"22"	"337"	"0"	"337"	"0"
"29"	"19"	"19"	"18"	"12"	"8"	"207"	"92"	"16"	"69"	"441"	"0"	"441"	"0"
"30"	"20"	"55"	"41"	"15"	"22"	"255"	"219"	"8"	"60"	"675"	"0"	"675"	"0"
"31"	"21"	"10"	"14"	"8"	"6"	"170"	"133"	"17"	"56"	"414"	"0"	"414"	"0"
"32"	"22"	"21"	"14"	"11"	"19"	"122"	"117"	"16"	"55"	"375"	"0"	"375"	"0"
"33"	"23"	"17"	"10"	"6"	"19"	"134"	"13"	"4"	"2"	"205"	"0"	"205"	"0"
"34"	"23A"	"18"	"8"	"8"	"6"	"110"	"27"	"4"	"53"	"234"	"0"	"234"	"0"
"35"	"24"	"45"	"42"	"23"	"15"	"260"	"176"	"15"	"32"	"608"	"0"	"608"	"0"
"36"	"25"	"5"	"6"	"3"	"12"	"74"	"247"	"11"	"38"	"396"	"0"	"396"	"0"
"37"	"26"	"9"	"11"	"14"	"18"	"44"	"200"	"7"	"76"	"379"	"0"	"379"	"0"
"38"	"27"	"4"	"7"	"1"	"2"	"23"	"158"	"4"	"26"	"225"	"0"	"225"	"0"
"39"	"28"	"22"	"18"	"6"	"35"	"122"	"74"	"5"	"67"	"349"	"0"	"349"	"0"
"40"	"29"	"23"	"23"	"5"	"11"	"221"	"35"	"5"	"30"	"353"	"0"	"353"	"0"
"41"	"30"	"16"	"26"	"6"	"9"	"87"	"88"	"17"	"43"	"292"	"0"	"292"	"0"
"42"	"31"	"22"	"20"	"13"	"6"	"45"	"150"	"11"	"44"	"311"	"0"	"311"	"0"
"43"	"32"	"22"	"11"	"5"	"9"	"274"	"41"	"4"	"13"	"379"	"0"	"379"	"0"
"44"	"33"	"26"	"26"	"12"	"24"	"100"	"121"	"11"	"103"	"423"	"0"	"423"	"0"
"45"	"34"	"40"	"19"	"5"	"14"	"152"	"81"	"12"	"33"	"356"	"0"	"356"	"0"
"46"	"35"	"13"	"25"	"4"	"16"	"118"	"97"	"11"	"30"	"314"	"0"	"314"	"0"
"47"	"36"	"13"	"9"	"3"	"10"	"239"	"60"	"4"	"75"	"413"	"0"	"413"	"0"
"48"	"37"	"52"	"40"	"12"	"16"	"113"	"152"	"19"	"104"	"508"	"0"	"508"	"0"
"49"	"38"	"6"	"20"	"3"	"11"	"97"	"109"	"13"	"43"	"302"	"0"	"302"	"0"
"50"	"39"	"18"	"26"	"8"	"9"	"32"	"232"	"7"	"24"	"356"	"0"	"356"	"0"
"51"	"40"	"14"	"20"	"4"	"7"	"200"	"67"	"5"	"10"	"327"	"0"	"327"	"0"
"52"	"41"	"29"	"37"	"12"	"7"	"85"	"174"	"5"	"43"	"392"	"0"	"392"	"0"
"53"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"54"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"55"	"42"	"8"	"12"	"6"	"6"	"181"	"75"	"6"	"41"	"335"	"0"	"335"	"0"
"56"	"43"	"38"	"23"	"12"	"9"	"135"	"105"	"15"	"72"	"409"	"0"	"409"	"0"
"57"	"44"	"15"	"29"	"11"	"13"	"169"	"239"	"16"	"85"	"577"	"0"	"577"	"0"
"58"	"45"	"25"	"25"	"7"	"8"	"167"	"138"	"11"	"42"	"423"	"0"	"423"	"0"
"59"	"46"	"18"	"14"	"10"	"4"	"138"	"125"	"11"	"31"	"351"	"0"	"351"	"0"
"60"	"47"	"0"	"6"	"2"	"9"	"63"	"267"	"6"	"26"	"379"	"0"	"379"	"0"
"61"	"48"	"6"	"17"	"28"	"10"	"71"	"248"	"3"	"43"	"426"	"0"	"426"	"0"
"62"	"49"	"13"	"14"	"5"	"36"	"173"	"126"	"6"	"55"	"428"	"0"	"428"	"0"
"63"	"50"	"40"	"29"	"6"	"9"	"97"	"202"	"30"	"184"	"597"	"0"	"597"	"0"
"64"	"51"	"5"	"13"	"2"	"8"	"42"	"382"	"11"	"50"	"513"	"0"	"513"	"0"
"65"	"52"	"5"	"7"	"2"	"13"	"24"	"326"	"6"	"21"	"404"	"0"	"404"	"0"
"66"	"53"	"17"	"20"	"10"	"31"	"45"	"433"	"16"	"81"	"653"	"0"	"653"	"0"
"67"	"54"	"7"	"17"	"6"	"20"	"55"	"268"	"10"	"49"	"432"	"0"	"432"	"0"
"68"	"55"	"13"	"38"	"5"	"8"	"56"	"351"	"21"	"104"	"596"	"0"	"596"	"0"
"69"	"56"	"33"	"36"	"34"	"21"	"54"	"298"	"21"	"56"	"553"	"0"	"553"	"0"
"70"	"57"	"7"	"7"	"8"	"3"	"14"	"206"	"5"	"20"	"270"	"0"	"270"	"0"
"71"	"58"	"14"	"24"	"13"	"24"	"149"	"140"	"6"	"26"	"396"	"0"	"396"	"0"
"72"	"59"	"11"	"14"	"7"	"8"	"97"	"152"	"15"	"77"	"381"	"0"	"381"	"0"
"73"	"59A"	"7"	"11"	"7"	"2"	"37"	"130"	"11"	"25"	"230"	"0"	"230"	"0"
"74"	"60"	"23"	"24"	"21"	"8"	"163"	"247"	"13"	"53"	"552"	"0"	"552"	"0"
"75"	"61"	"18"	"20"	"11"	"5"	"180"	"101"	"4"	"43"	"382"	"0"	"382"	"0"
"76"	"62"	"26"	"24"	"8"	"9"	"62"	"106"	"3"	"24"	"262"	"0"	"262"	"0"
"77"	"63"	"18"	"8"	"3"	"7"	"95"	"35"	"13"	"14"	"193"	"0"	"193"	"0"
"78"	"64"	"9"	"19"	"4"	"12"	"121"	"187"	"14"	"69"	"435"	"0"	"435"	"0"
"79"	"65"	"15"	"15"	"4"	"11"	"91"	"143"	"34"	"61"	"374"	"0"	"374"	"0"
"80"	"66"	"5"	"14"	"6"	"5"	"68"	"91"	"4"	"25"	"218"	"0"	"218"	"0"
"81"	"67"	"26"	"35"	"10"	"9"	"120"	"128"	"13"	"54"	"395"	"0"	"395"	"0"
"82"	"68"	"28"	"29"	"10"	"11"	"52"	"290"	"4"	"60"	"484"	"0"	"484"	"0"
"83"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"84"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"85"	"69"	"7"	"11"	"2"	"0"	"21"	"75"	"3"	"25"	"144"	"0"	"144"	"0"
"86"	"70"	"8"	"9"	"3"	"32"	"41"	"78"	"12"	"36"	"219"	"0"	"219"	"0"
"87"	"71"	"24"	"33"	"5"	"5"	"63"	"123"	"3"	"55"	"311"	"0"	"311"	"0"
"88"	"72"	"11"	"34"	"6"	"44"	"20"	"293"	"8"	"48"	"464"	"0"	"464"	"0"
"89"	"73"	"10"	"16"	"13"	"42"	"50"	"146"	"7"	"34"	"318"	"0"	"318"	"0"
"90"	"74"	"12"	"17"	"11"	"6"	"25"	"270"	"14"	"50"	"405"	"0"	"405"	"0"
"91"	"75"	"30"	"21"	"17"	"17"	"225"	"155"	"17"	"63"	"545"	"0"	"545"	"0"
"92"	"75A"	"13"	"13"	"12"	"14"	"125"	"111"	"11"	"22"	"321"	"0"	"321"	"0"
"93"	"76"	"18"	"22"	"7"	"6"	"58"	"228"	"16"	"55"	"410"	"0"	"410"	"0"
"94"	"77"	"16"	"21"	"3"	"12"	"195"	"81"	"13"	"35"	"376"	"0"	"376"	"0"
"95"	"78"	"15"	"20"	"12"	"11"	"162"	"191"	"22"	"71"	"504"	"0"	"504"	"0"
"96"	"79"	"22"	"22"	"9"	"8"	"289"	"128"	"17"	"78"	"573"	"0"	"573"	"0"
"97"	"80"	"19"	"10"	"9"	"11"	"208"	"22"	"4"	"15"	"298"	"0"	"298"	"0"
"98"	"81"	"12"	"14"	"6"	"10"	"210"	"42"	"6"	"11"	"311"	"0"	"311"	"0"
"99"	"82"	"16"	"37"	"12"	"21"	"115"	"160"	"29"	"40"	"430"	"0"	"430"	"0"
"100"	"83"	"17"	"24"	"10"	"6"	"108"	"120"	"11"	"35"	"331"	"0"	"331"	"0"
"101"	"84"	"30"	"18"	"13"	"10"	"164"	"126"	"10"	"32"	"403"	"0"	"403"	"0"
"102"	"85"	"15"	"17"	"2"	"9"	"58"	"206"	"20"	"66"	"393"	"0"	"393"	"0"
"103"	"86"	"7"	"28"	"10"	"11"	"73"	"175"	"11"	"32"	"347"	"0"	"347"	"0"
"104"	"87"	"12"	"17"	"12"	"14"	"213"	"108"	"12"	"42"	"430"	"0"	"430"	"0"
"105"	"88"	"21"	"47"	"6"	"7"	"37"	"242"	"18"	"52"	"430"	"0"	"430"	"0"
"106"	"89"	"11"	"15"	"2"	"10"	"68"	"110"	"2"	"30"	"248"	"0"	"248"	"0"
"107"	"90"	"16"	"27"	"14"	"15"	"177"	"165"	"18"	"36"	"468"	"0"	"468"	"0"
"108"	"91"	"35"	"33"	"18"	"14"	"209"	"64"	"12"	"40"	"425"	"0"	"425"	"0"
"109"	"92"	"29"	"23"	"9"	"9"	"202"	"147"	"22"	"39"	"480"	"0"	"480"	"0"
"110"	"93"	"16"	"17"	"7"	"13"	"37"	"273"	"18"	"55"	"436"	"0"	"436"	"0"
"111"	"94"	"30"	"32"	"15"	"12"	"78"	"168"	"21"	"55"	"411"	"0"	"411"	"0"
"112"	"95"	"5"	"7"	"2"	"24"	"18"	"228"	"9"	"32"	"325"	"0"	"325"	"0"
"113"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"114"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"115"	"96"	"33"	"43"	"9"	"11"	"61"	"242"	"27"	"59"	"485"	"0"	"485"	"0"
"116"	"97"	"10"	"25"	"8"	"8"	"145"	"125"	"15"	"88"	"424"	"0"	"424"	"0"
"117"	"98"	"14"	"32"	"17"	"27"	"162"	"265"	"19"	"79"	"615"	"0"	"615"	"0"
"118"	"99"	"12"	"21"	"10"	"20"	"210"	"143"	"6"	"27"	"449"	"0"	"449"	"0"
"119"	"100"	"5"	"21"	"13"	"25"	"338"	"155"	"13"	"39"	"609"	"0"	"609"	"0"
"120"	"101"	"19"	"24"	"23"	"35"	"151"	"165"	"11"	"76"	"504"	"0"	"504"	"0"
"121"	"102"	"7"	"23"	"8"	"21"	"110"	"109"	"6"	"19"	"303"	"0"	"303"	"0"
"122"	"103"	"11"	"34"	"16"	"25"	"173"	"46"	"7"	"42"	"354"	"0"	"354"	"0"
"123"	"104"	"15"	"28"	"8"	"29"	"509"	"56"	"16"	"44"	"705"	"0"	"705"	"0"
"124"	"105"	"14"	"73"	"7"	"22"	"35"	"285"	"28"	"103"	"567"	"0"	"567"	"0"
"125"	"106"	"10"	"36"	"9"	"40"	"192"	"160"	"6"	"61"	"514"	"0"	"514"	"0"
"126"	"107"	"18"	"17"	"11"	"21"	"95"	"154"	"13"	"58"	"387"	"0"	"387"	"0"
"127"	"108"	"12"	"24"	"0"	"10"	"87"	"119"	"8"	"90"	"350"	"0"	"350"	"0"
"128"	"109"	"26"	"17"	"12"	"22"	"151"	"364"	"24"	"72"	"688"	"0"	"688"	"0"
"129"	"110"	"6"	"17"	"39"	"23"	"70"	"267"	"11"	"54"	"487"	"0"	"487"	"0"
"130"	"111"	"16"	"33"	"19"	"25"	"265"	"118"	"10"	"56"	"542"	"0"	"542"	"0"
"131"	"112"	"18"	"89"	"10"	"85"	"244"	"131"	"7"	"83"	"667"	"0"	"667"	"0"
"132"	"113"	"13"	"32"	"5"	"15"	"124"	"207"	"17"	"35"	"448"	"0"	"448"	"0"
"133"	"114"	"8"	"7"	"4"	"12"	"351"	"31"	"4"	"13"	"430"	"0"	"430"	"0"
"134"	"115"	"22"	"18"	"9"	"54"	"59"	"214"	"8"	"65"	"449"	"0"	"449"	"0"
"135"	"116"	"15"	"40"	"3"	"39"	"127"	"202"	"15"	"109"	"550"	"0"	"550"	"0"
"136"	"117"	"16"	"20"	"8"	"83"	"52"	"335"	"12"	"35"	"561"	"0"	"561"	"0"
"137"	"118"	"8"	"35"	"13"	"15"	"39"	"182"	"10"	"62"	"364"	"0"	"364"	"0"
"138"	"119"	"13"	"43"	"2"	"69"	"159"	"18"	"15"	"31"	"350"	"0"	"350"	"0"
"139"	"120"	"13"	"21"	"15"	"35"	"29"	"383"	"18"	"76"	"590"	"0"	"590"	"0"
"140"	"121"	"5"	"6"	"2"	"21"	"45"	"372"	"20"	"37"	"508"	"0"	"508"	"0"
"141"	"122"	"6"	"6"	"6"	"21"	"56"	"170"	"5"	"38"	"308"	"0"	"308"	"0"
"142"	"123"	"3"	"11"	"0"	"31"	"25"	"127"	"17"	"34"	"248"	"0"	"248"	"0"
"143"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"144"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"145"	"124"	"12"	"19"	"8"	"32"	"141"	"375"	"16"	"112"	"715"	"0"	"715"	"0"
"146"	"125"	"5"	"3"	"2"	"11"	"12"	"328"	"12"	"62"	"435"	"0"	"435"	"0"
"147"	"126"	"26"	"17"	"3"	"32"	"41"	"268"	"12"	"66"	"465"	"0"	"465"	"0"
"148"	"127"	"3"	"7"	"0"	"1"	"16"	"247"	"2"	"12"	"288"	"0"	"288"	"0"
"149"	"128"	"18"	"22"	"3"	"30"	"87"	"345"	"5"	"93"	"603"	"0"	"603"	"0"
"150"	"129"	"13"	"23"	"22"	"32"	"81"	"210"	"15"	"59"	"455"	"0"	"455"	"0"
"151"	"130"	"13"	"53"	"12"	"22"	"17"	"186"	"19"	"86"	"408"	"0"	"408"	"0"
"152"	"131"	"12"	"17"	"8"	"41"	"63"	"263"	"9"	"40"	"453"	"0"	"453"	"0"
"153"	"132"	"15"	"57"	"8"	"25"	"187"	"137"	"17"	"86"	"532"	"0"	"532"	"0"
"154"	"133"	"22"	"31"	"12"	"42"	"57"	"134"	"14"	"66"	"378"	"0"	"378"	"0"
"155"	"134"	"1"	"6"	"5"	"24"	"30"	"142"	"6"	"41"	"255"	"0"	"255"	"0"
"156"	"135"	"11"	"175"	"4"	"3"	"34"	"195"	"10"	"65"	"497"	"0"	"497"	"0"
"157"	"136"	"16"	"34"	"4"	"12"	"73"	"279"	"23"	"67"	"508"	"0"	"508"	"0"
"158"	"137"	"13"	"16"	"5"	"14"	"142"	"67"	"10"	"101"	"368"	"0"	"368"	"0"
"159"	"138"	"13"	"84"	"8"	"22"	"151"	"94"	"12"	"38"	"422"	"0"	"422"	"0"
"160"	"139"	"8"	"18"	"10"	"52"	"50"	"133"	"2"	"43"	"316"	"0"	"316"	"0"
"161"	"140"	"17"	"14"	"8"	"66"	"172"	"61"	"3"	"19"	"360"	"0"	"360"	"0"
"162"	"141"	"10"	"106"	"42"	"36"	"258"	"116"	"17"	"75"	"660"	"0"	"660"	"0"
"163"	"142"	"7"	"12"	"2"	"47"	"27"	"160"	"3"	"21"	"279"	"0"	"279"	"0"
"164"	"143"	"16"	"61"	"66"	"201"	"64"	"50"	"5"	"28"	"491"	"0"	"491"	"0"
"165"	"144"	"6"	"35"	"8"	"165"	"61"	"24"	"5"	"30"	"334"	"0"	"334"	"0"
"166"	"145"	"5"	"72"	"4"	"127"	"33"	"32"	"4"	"34"	"311"	"0"	"311"	"0"
"167"	"146"	"28"	"30"	"10"	"52"	"123"	"216"	"21"	"108"	"588"	"0"	"588"	"0"
"168"	"147"	"18"	"15"	"2"	"10"	"249"	"66"	"9"	"82"	"451"	"0"	"451"	"0"
"169"	"148"	"6"	"13"	"36"	"7"	"75"	"157"	"7"	"42"	"343"	"0"	"343"	"0"
"170"	"149"	"24"	"48"	"11"	"60"	"127"	"123"	"13"	"73"	"479"	"0"	"479"	"0"
"171"	"150"	"6"	"18"	"5"	"7"	"225"	"129"	"14"	"38"	"442"	"0"	"442"	"0"
"172"	"151"	"14"	"101"	"10"	"73"	"123"	"121"	"9"	"44"	"495"	"0"	"495"	"0"
"173"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"174"	""	"i q\"i y kr k
eqewZ"	"ckcqj ke
ckl dh"	"eaxy kuan
fd Ld q"	"j kst esj h
fd Ld q"	"l qd y ky
csl j k"	"l ksusy ky
gsEcze"	"eaxy  gsEcze"	"l qj sUnz  y ky
gsej e"	""	""	""	""
"175"	"152"	"2"	"15"	"1"	"61"	"60"	"27"	"3"	"17"	"186"	"0"	"186"	"0"
"176"	"153"	"22"	"55"	"31"	"24"	"32"	"286"	"17"	"91"	"558"	"0"	"558"	"0"
"177"	"154"	"4"	"8"	"8"	"27"	"50"	"74"	"11"	"25"	"207"	"0"	"207"	"0"
"178"	"155"	"28"	"40"	"24"	"36"	"140"	"287"	"17"	"80"	"652"	"0"	"652"	"0"
"179"	"156"	"0"	"41"	"2"	"14"	"167"	"44"	"4"	"23"	"295"	"0"	"295"	"0"
"180"	"157"	"3"	"25"	"4"	"23"	"100"	"132"	"11"	"41"	"339"	"0"	"339"	"0"
"181"	"158"	"15"	"45"	"20"	"20"	"63"	"160"	"17"	"99"	"439"	"0"	"439"	"0"
"182"	"159"	"15"	"15"	"4"	"13"	"110"	"90"	"7"	"47"	"301"	"0"	"301"	"0"
"183"	"160"	"13"	"30"	"10"	"18"	"33"	"217"	"10"	"38"	"369"	"0"	"369"	"0"
"184"	"161"	"5"	"14"	"12"	"15"	"46"	"159"	"10"	"20"	"281"	"0"	"281"	"0"
"185"	"162"	"14"	"25"	"9"	"60"	"108"	"122"	"9"	"55"	"402"	"0"	"402"	"0"
"186"	"163"	"13"	"15"	"13"	"21"	"34"	"298"	"11"	"77"	"482"	"0"	"482"	"0"
"187"	"164"	"15"	"30"	"12"	"46"	"113"	"255"	"18"	"97"	"586"	"0"	"586"	"0"
"188"	"165"	"19"	"32"	"13"	"16"	"220"	"96"	"6"	"34"	"436"	"0"	"436"	"0"
"189"	"166"	"7"	"13"	"3"	"40"	"61"	"37"	"2"	"30"	"193"	"0"	"193"	"0"
"190"	"167"	"2"	"14"	"6"	"20"	"369"	"38"	"42"	"26"	"517"	"0"	"517"	"0"
"191"	"168"	"12"	"32"	"7"	"17"	"122"	"140"	"9"	"34"	"373"	"0"	"373"	"0"
"192"	"169"	"9"	"27"	"4"	"17"	"194"	"134"	"11"	"49"	"445"	"0"	"445"	"0"
"193"	"170"	"20"	"22"	"9"	"11"	"135"	"145"	"8"	"48"	"398"	"0"	"398"	"0"
"194"	"171"	"16"	"20"	"1"	"21"	"54"	"195"	"7"	"53"	"367"	"0"	"367"	"0"
"195"	"172"	"11"	"15"	"6"	"7"	"148"	"200"	"24"	"64"	"475"	"0"	"475"	"0"
"196"	"173"	"5"	"93"	"3"	"36"	"67"	"51"	"11"	"49"	"315"	"0"	"315"	"0"
"197"	"174"	"6"	"17"	"5"	"5"	"54"	"64"	"13"	"23"	"187"	"0"	"187"	"0"
"198"	"175"	"23"	"37"	"10"	"59"	"25"	"246"	"21"	"53"	"474"	"0"	"474"	"0"
"199"	"176"	"17"	"18"	"6"	"33"	"51"	"224"	"11"	"59"	"419"	"0"	"419"	"0"
"200"	"177"	"8"	"17"	"5"	"45"	"25"	"117"	"8"	"25"	"250"	"0"	"250"	"0"
"201"	"178"	"8"	"21"	"10"	"84"	"60"	"114"	"17"	"92"	"406"	"0"	"406"	"0"
"202"	"179"	"15"	"21"	"6"	"33"	"133"	"84"	"15"	"59"	"366"	"0"	"366"	"0"
"203"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk  er ksa
dh  l a[ ; k"
"204"	""	"i q\"i y kr k
