"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"58"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"60"	"47"	"149"	"10"	"5"	"184"	"365"	"8"	"3"	"10"	"13"	"747"	""	""
"61"	"48"	"19"	"7"	"2"	"375"	"359"	"33"	"8"	"16"	"15"	"834"	""	""
"62"	"49"	"3"	"1"	"1"	"27"	"271"	"6"	"11"	"21"	"4"	"345"	""	""
"63"	"50"	"66"	"3"	"1"	"37"	"166"	"6"	"5"	"18"	"13"	"315"	""	""
"64"	"51"	"28"	"4"	"0"	"160"	"198"	"9"	"6"	"13"	"18"	"436"	""	""
"65"	"52"	"18"	"3"	"4"	"172"	"71"	"5"	"0"	"10"	"5"	"288"	""	""
"66"	"53"	"21"	"4"	"3"	"124"	"130"	"5"	"5"	"59"	"32"	"383"	""	""
"67"	"54"	"55"	"8"	"5"	"174"	"329"	"16"	"5"	"5"	"14"	"611"	""	""
"68"	"55"	"37"	"3"	"4"	"345"	"56"	"15"	"2"	"11"	"9"	"482"	""	""
"69"	"56"	"21"	"0"	"0"	"50"	"187"	"3"	"1"	"2"	"3"	"267"	""	""
"70"	"57"	"38"	"2"	"2"	"138"	"189"	"21"	"11"	"24"	"19"	"444"	""	""
"71"	"58"	"16"	"1"	"0"	"166"	"203"	"7"	"5"	"7"	"6"	"411"	""	""
"72"	"59"	"47"	"3"	"13"	"184"	"217"	"16"	"7"	"24"	"36"	"547"	""	""
"73"	"60"	"8"	"2"	"4"	"263"	"85"	"11"	"5"	"7"	"22"	"407"	""	""
"74"	"61"	"34"	"3"	"1"	"55"	"330"	"4"	"3"	"5"	"16"	"451"	""	""
"75"	"62"	"16"	"2"	"4"	"131"	"335"	"14"	"4"	"14"	"18"	"538"	""	""
"76"	"63"	"20"	"2"	"2"	"147"	"225"	"6"	"11"	"9"	"12"	"434"	""	""
"77"	"64"	"14"	"5"	"1"	"293"	"40"	"8"	"4"	"15"	"6"	"386"	""	""
"78"	"65"	"18"	"2"	"0"	"57"	"219"	"1"	"2"	"8"	"1"	"308"	""	""
"79"	"66"	"42"	"5"	"4"	"268"	"247"	"22"	"4"	"33"	"11"	"636"	""	""
"80"	"67"	"42"	"4"	"10"	"392"	"180"	"23"	"7"	"24"	"5"	"687"	""	""
"81"	"68"	"75"	"5"	"3"	"91"	"308"	"12"	"4"	"13"	"17"	"528"	""	""
"82"	"69"	"25"	"4"	"5"	"197"	"270"	"16"	"8"	"18"	"35"	"578"	""	""
"83"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"88"	"70"	"9"	"3"	"2"	"170"	"167"	"6"	"1"	"13"	"8"	"379"	""	""
"89"	"71"	"92"	"2"	"5"	"151"	"301"	"11"	"1"	"5"	"8"	"576"	""	""
"90"	"72"	"24"	"5"	"4"	"241"	"131"	"7"	"1"	"6"	"8"	"427"	""	""
"91"	"73"	"13"	"0"	"3"	"297"	"139"	"14"	"8"	"9"	"6"	"489"	""	""
"92"	"74"	"27"	"4"	"0"	"233"	"156"	"16"	"5"	"4"	"18"	"463"	""	""
"93"	"75"	"1"	"0"	"0"	"71"	"2"	"2"	"0"	"0"	"0"	"76"	""	""
"94"	"76"	"74"	"12"	"4"	"491"	"113"	"16"	"9"	"18"	"13"	"750"	""	""
"95"	"77"	"134"	"4"	"8"	"335"	"157"	"13"	"5"	"13"	"24"	"693"	""	""
"96"	"78"	"26"	"3"	"1"	"79"	"223"	"4"	"1"	"3"	"1"	"341"	""	""
"97"	"79"	"59"	"7"	"4"	"381"	"368"	"13"	"6"	"8"	"8"	"854"	""	""
"98"	"80"	"21"	"0"	"0"	"307"	"39"	"5"	"4"	"5"	"5"	"386"	""	""
"99"	"81"	"30"	"5"	"5"	"461"	"347"	"20"	"19"	"14"	"21"	"922"	""	""
"100"	"82"	"32"	"2"	"3"	"285"	"159"	"11"	"2"	"8"	"15"	"517"	""	""
"101"	"83"	"9"	"0"	"4"	"330"	"124"	"3"	"1"	"0"	"6"	"477"	""	""
"102"	"84"	"14"	"4"	"5"	"256"	"309"	"18"	"2"	"14"	"18"	"640"	""	""
"103"	"85"	"27"	"2"	"4"	"142"	"565"	"15"	"5"	"4"	"22"	"786"	""	""
"104"	"86"	"46"	"7"	"13"	"227"	"418"	"23"	"8"	"18"	"18"	"778"	""	""
"105"	"87"	"7"	"3"	"0"	"128"	"133"	"4"	"0"	"1"	"1"	"277"	""	""
"106"	"88"	"13"	"3"	"3"	"108"	"267"	"12"	"7"	"5"	"9"	"427"	""	""
"107"	"89"	"12"	"4"	"2"	"223"	"295"	"15"	"3"	"6"	"17"	"577"	""	""
"108"	"90"	"17"	"3"	"4"	"151"	"211"	"10"	"4"	"3"	"5"	"408"	""	""
"109"	"91"	"23"	"4"	"4"	"270"	"224"	"21"	"6"	"6"	"17"	"575"	""	""
"110"	"92"	"17"	"9"	"4"	"321"	"63"	"15"	"4"	"6"	"7"	"446"	""	""
"111"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"116"	"93"	"20"	"2"	"3"	"228"	"110"	"9"	"2"	"9"	"16"	"399"	""	""
"117"	"94"	"28"	"2"	"3"	"205"	"445"	"12"	"5"	"1"	"4"	"705"	""	""
"118"	"95"	"22"	"1"	"0"	"26"	"342"	"6"	"0"	"2"	"21"	"420"	""	""
"119"	"96"	"43"	"3"	"3"	"138"	"250"	"16"	"5"	"8"	"7"	"473"	""	""
"120"	"97"	"40"	"6"	"7"	"130"	"346"	"14"	"5"	"12"	"20"	"580"	""	""
"121"	"98"	"9"	"0"	"1"	"63"	"306"	"10"	"2"	"5"	"9"	"405"	""	""
"122"	"99"	"3"	"3"	"2"	"115"	"248"	"9"	"3"	"15"	"7"	"405"	""	""
"123"	"100"	"79"	"14"	"6"	"414"	"238"	"24"	"7"	"17"	"26"	"825"	""	""
"124"	"101"	"10"	"0"	"1"	"124"	"153"	"6"	"1"	"6"	"6"	"307"	""	""
"125"	"102"	"15"	"3"	"1"	"209"	"194"	"8"	"7"	"9"	"15"	"461"	""	""
"126"	"103"	"49"	"7"	"3"	"139"	"180"	"8"	"5"	"17"	"5"	"413"	""	""
"127"	"104"	"30"	"2"	"2"	"25"	"270"	"5"	"2"	"1"	"1"	"338"	""	""
"128"	"105"	"10"	"3"	"1"	"21"	"308"	"8"	"2"	"4"	"9"	"366"	""	""
"129"	"106"	"9"	"3"	"6"	"107"	"300"	"6"	"6"	"4"	"3"	"444"	""	""
"130"	"107"	"24"	"7"	"5"	"271"	"412"	"27"	"7"	"8"	"22"	"783"	""	""
"131"	"108"	"75"	"12"	"5"	"119"	"460"	"21"	"16"	"8"	"18"	"734"	""	""
"132"	"109"	"68"	"8"	"3"	"202"	"274"	"15"	"3"	"3"	"8"	"584"	""	""
"133"	"110"	"44"	"5"	"55"	"264"	"149"	"4"	"4"	"12"	"19"	"556"	""	""
"134"	"111"	"25"	"5"	"33"	"70"	"254"	"14"	"7"	"5"	"10"	"423"	""	""
"135"	"112"	"114"	"5"	"19"	"40"	"235"	"13"	"2"	"12"	"19"	"459"	""	""
"136"	"113"	"16"	"2"	"62"	"91"	"248"	"15"	"13"	"14"	"28"	"489"	""	""
"137"	"114"	"37"	"4"	"96"	"29"	"352"	"3"	"6"	"5"	"6"	"538"	""	""
"138"	"115"	"2"	"3"	"204"	"65"	"112"	"3"	"3"	"5"	"14"	"411"	""	""
"139"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"143"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"144"	"116"	"13"	"3"	"163"	"92"	"144"	"5"	"2"	"6"	"7"	"435"	""	""
"145"	"117"	"10"	"0"	"1"	"23"	"583"	"2"	"0"	"4"	"18"	"641"	""	""
"146"	"118"	"12"	"2"	"1"	"100"	"279"	"5"	"0"	"6"	"6"	"411"	""	""
"147"	"119"	"19"	"7"	"25"	"304"	"273"	"13"	"6"	"5"	"15"	"667"	""	""
"148"	"120"	"27"	"14"	"12"	"227"	"295"	"19"	"6"	"10"	"19"	"629"	""	""
"149"	"121"	"28"	"2"	"1"	"358"	"291"	"13"	"7"	"10"	"11"	"721"	""	""
"150"	"122"	"28"	"6"	"6"	"218"	"447"	"14"	"5"	"15"	"31"	"770"	""	""
"151"	"123"	"13"	"4"	"1"	"144"	"456"	"20"	"6"	"9"	"25"	"678"	""	""
"152"	"124"	"18"	"4"	"4"	"83"	"474"	"12"	"5"	"2"	"22"	"624"	""	""
"153"	"125"	"32"	"7"	"5"	"232"	"355"	"25"	"14"	"11"	"17"	"698"	""	""
"154"	"126"	"32"	"6"	"4"	"195"	"252"	"9"	"5"	"8"	"7"	"518"	""	""
"155"	"127"	"17"	"1"	"1"	"193"	"137"	"10"	"7"	"12"	"14"	"392"	""	""
"156"	"128"	"22"	"3"	"3"	"200"	"254"	"6"	"4"	"9"	"7"	"508"	""	""
"157"	"129"	"8"	"3"	"2"	"27"	"213"	"9"	"4"	"4"	"3"	"273"	""	""
"158"	"130"	"24"	"6"	"9"	"151"	"383"	"30"	"27"	"17"	"29"	"676"	""	""
"159"	"131"	"18"	"4"	"4"	"168"	"365"	"12"	"3"	"8"	"21"	"603"	""	""
"160"	"132"	"55"	"3"	"4"	"92"	"589"	"20"	"9"	"5"	"13"	"790"	""	""
"161"	"133"	"46"	"9"	"7"	"221"	"375"	"22"	"6"	"10"	"8"	"704"	""	""
"162"	"134"	"19"	"4"	"3"	"188"	"261"	"23"	"6"	"10"	"13"	"527"	""	""
"163"	"135"	"30"	"4"	"4"	"266"	"438"	"15"	"5"	"12"	"13"	"787"	""	""
"164"	"136"	"6"	"1"	"1"	"354"	"117"	"16"	"1"	"1"	"1"	"498"	""	""
"165"	"137"	"7"	"1"	"1"	"249"	"133"	"6"	"2"	"4"	"9"	"412"	""	""
"166"	"138"	"9"	"3"	"6"	"510"	"107"	"14"	"4"	"2"	"8"	"663"	""	""
"167"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"171"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"172"	"139"	"9"	"3"	"3"	"522"	"100"	"11"	"9"	"2"	"14"	"673"	""	""
"173"	"140"	"22"	"5"	"6"	"206"	"270"	"27"	"11"	"10"	"25"	"582"	""	""
"174"	"141"	"22"	"4"	"2"	"173"	"204"	"10"	"2"	"4"	"16"	"437"	""	""
"175"	"142"	"6"	"0"	"2"	"136"	"394"	"15"	"3"	"4"	"11"	"571"	""	""
"176"	"143"	"19"	"3"	"3"	"100"	"213"	"9"	"4"	"4"	"7"	"362"	""	""
"177"	"144"	"14"	"10"	"3"	"195"	"402"	"12"	"4"	"6"	"4"	"650"	""	""
"178"	"145"	"52"	"10"	"11"	"269"	"426"	"28"	"10"	"11"	"35"	"852"	""	""
"179"	"146"	"21"	"15"	"5"	"152"	"375"	"19"	"7"	"8"	"11"	"613"	""	""
"180"	"147"	"19"	"4"	"7"	"368"	"151"	"20"	"7"	"6"	"20"	"602"	""	""
"181"	"148"	"23"	"7"	"6"	"355"	"186"	"9"	"10"	"2"	"19"	"617"	""	""
"182"	"149"	"20"	"2"	"2"	"289"	"358"	"20"	"3"	"9"	"34"	"737"	""	""
"183"	"150"	"33"	"2"	"4"	"231"	"350"	"18"	"14"	"11"	"126"	"789"	""	""
"184"	"151"	"10"	"1"	"3"	"150"	"174"	"11"	"6"	"5"	"14"	"374"	""	""
"185"	"152"	"19"	"5"	"4"	"195"	"208"	"11"	"2"	"4"	"8"	"456"	""	""
"186"	"153"	"22"	"5"	"4"	"170"	"438"	"25"	"11"	"13"	"12"	"700"	""	""
"187"	"154"	"29"	"5"	"5"	"153"	"534"	"24"	"14"	"10"	"16"	"790"	""	""
"188"	"155"	"17"	"6"	"2"	"197"	"545"	"25"	"13"	"11"	"33"	"849"	""	""
"189"	"156"	"34"	"3"	"2"	"297"	"298"	"23"	"15"	"5"	"28"	"705"	""	""
"190"	"157"	"9"	"0"	"6"	"351"	"71"	"8"	"0"	"0"	"7"	"452"	""	""
"191"	"158"	"22"	"7"	"4"	"284"	"272"	"18"	"6"	"5"	"6"	"624"	""	""
"192"	"159"	"29"	"4"	"1"	"178"	"339"	"23"	"8"	"6"	"18"	"606"	""	""
"193"	"160"	"8"	"0"	"3"	"194"	"249"	"6"	"1"	"4"	"5"	"470"	""	""
"194"	"161"	"15"	"2"	"4"	"36"	"429"	"6"	"8"	"5"	"8"	"513"	""	""
"195"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"199"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"200"	"161A"	"11"	"2"	"1"	"57"	"371"	"12"	"10"	"1"	"12"	"477"	""	""
"201"	"162"	"16"	"8"	"4"	"459"	"96"	"18"	"2"	"7"	"3"	"613"	""	""
"202"	"163"	"23"	"9"	"6"	"215"	"318"	"14"	"3"	"10"	"13"	"611"	""	""
"203"	"164"	"23"	"3"	"4"	"128"	"365"	"12"	"7"	"10"	"13"	"565"	""	""
"204"	"165"	"19"	"5"	"7"	"247"	"276"	"19"	"6"	"9"	"29"	"617"	""	""
"205"	"166"	"29"	"9"	"6"	"326"	"220"	"26"	"7"	"20"	"12"	"655"	""	""
"206"	"167"	"11"	"0"	"1"	"360"	"131"	"10"	"6"	"5"	"12"	"536"	""	""
"207"	"168"	"29"	"6"	"10"	"194"	"259"	"10"	"6"	"5"	"5"	"524"	""	""
"208"	"169"	"13"	"2"	"2"	"117"	"370"	"11"	"2"	"9"	"13"	"539"	""	""
"209"	"170"	"20"	"1"	"4"	"384"	"249"	"10"	"2"	"5"	"11"	"686"	""	""
"210"	"171"	"7"	"1"	"2"	"257"	"156"	"5"	"3"	"5"	"4"	"440"	""	""
"211"	"172"	"2"	"6"	"0"	"79"	"111"	"8"	"2"	"3"	"0"	"211"	""	""
"212"	"173"	"6"	"2"	"4"	"77"	"133"	"17"	"2"	"3"	"8"	"252"	""	""
"213"	"174"	"17"	"4"	"8"	"215"	"257"	"13"	"5"	"11"	"12"	"542"	""	""
"214"	"175"	"16"	"2"	"5"	"364"	"165"	"9"	"1"	"7"	"8"	"577"	""	""
"215"	"176"	"24"	"4"	"5"	"191"	"290"	"3"	"3"	"3"	"6"	"529"	""	""
"216"	"177"	"8"	"5"	"4"	"351"	"14"	"8"	"2"	"3"	"11"	"406"	""	""
"217"	"178"	"9"	"1"	"2"	"229"	"311"	"8"	"6"	"11"	"26"	"603"	""	""
"218"	"179"	"23"	"6"	"5"	"307"	"277"	"21"	"3"	"5"	"9"	"656"	""	""
"219"	"180"	"23"	"4"	"10"	"205"	"450"	"17"	"5"	"8"	"12"	"734"	""	""
"220"	"181"	"16"	"3"	"6"	"277"	"215"	"5"	"3"	"4"	"13"	"542"	""	""
"221"	"182"	"22"	"6"	"6"	"319"	"111"	"10"	"3"	"3"	"10"	"490"	""	""
"222"	"183"	"14"	"4"	"2"	"141"	"301"	"17"	"4"	"14"	"14"	"511"	""	""
"223"	"Candidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"R"	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"BOOTH NO"	"UMESH KUMAR RAM"	"RAJ KUMAR CHAUDHA"	"LAKHINDRA RAM"	"LAL BABU RAM"	"SURESH CHANCHAL"	"ABHAY KUMAR"	"REKHA DEVI"	"GANAUR RAM"	"BILAT PASWAN"	"Total Valid Votes"	"Total No of REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"228"	"184"	"24"	"3"	"1"	"58"	"281"	"6"	"4"	"7"	"2"	"386"	""	""
"229"	"185"	"108"	"3"	"4"	"90"	"235"	"9"	"3"	"4"	"11"	"467"	""	""
"230"	"186"	"40"	"5"	"3"	"207"	"193"	"6"	"3"	"11"	"3"	"471"	""	""
"231"	"187"	"29"	"3"	"1"	"98"	"160"	"7"	"6"	"6"	"0"	"310"	""	""
"232"	"188"	"16"	"3"	"1"	"178"	"236"	"15"	"5"	"4"	"15"	"473"	""	""
"233"	"189"	"12"	"2"	"6"	"173"	"163"	"12"	"4"	"7"	"11"	"390"	""	""
"234"	"190"	"16"	"2"	"4"	"92"	"361"	"20"	"3"	"4"	"10"	"512"	""	""
"235"	"191"	"9"	"6"	"2"	"147"	"221"	"9"	"6"	"8"	"5"	"413"	""	""
"236"	"192"	"12"	"1"	"1"	"40"	"103"	"5"	"0"	"0"	"7"	"169"	""	""
"237"	"193"	"23"	"7"	"7"	"314"	"115"	"19"	"9"	"10"	"12"	"516"	""	""
"238"	"194"	"14"	"1"	"0"	"248"	"95"	"4"	"10"	"10"	"14"	"396"	""	""
"239"	"195"	"19"	"4"	"5"	"245"	"228"	"10"	"8"	"12"	"14"	"545"	""	""
"240"	"196"	"14"	"4"	"5"	"321"	"424"	"21"	"6"	"12"	"20"	"827"	""	""
"241"	"197"	"3"	"1"	"0"	"206"	"236"	"12"	"5"	"2"	"2"	"467"	""	""
"242"	"198"	"8"	"2"	"4"	"237"	"213"	"11"	"3"	"5"	"2"	"485"	""	""
"243"	"199"	"21"	"4"	"3"	"286"	"201"	"18"	"7"	"14"	"26"	"580"	""	""
"244"	"200"	"14"	"7"	"5"	"448"	"42"	"23"	"10"	"9"	"11"	"569"	""	""
"245"	"201"	"10"	"5"	"5"	"458"	"57"	"13"	"6"	"7"	"24"	"585"	""	""
"246"	"202"	"7"	"1"	"3"	"240"	"18"	"6"	"1"	"1"	"1"	"278"	""	""
"247"	"203"	"20"	"1"	"3"	"365"	"72"	"14"	"0"	"5"	"13"	"493"	""	""
"248"	"204"	"21"	"3"	"3"	"261"	"224"	"16"	"7"	"10"	"27"	"572"	""	""
"249"	"205"	"8"	"3"	"2"	"438"	"106"	"14"	"4"	"6"	"5"	"586"	""	""
