"،"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..fof.k.ekU...er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"X..ksx"	"fufonRr..er.ksa.dh.l.a....k"
"156"	"137"	"132"	"222"	"46"	"194"	"5"	"58"	"71"	"2"	"4"	"3"	"17"	"14"	"636"	"0"	"636"	"0"
"157"	"138"	"133"	"2"	"34"	"317"	"1"	"4"	"55"	"4"	"0"	"2"	"11"	"6"	"436"	"0"	"436"	"0"
"158"	"139"	"134"	"15"	"24"	"305"	"5"	"214"	"11"	"5"	"4"	"7"	"6"	"9"	"605"	"0"	"605"	"0"
"159"	"140"	"135"	"12"	"34"	"382"	"3"	"55"	"5"	"2"	"5"	"3"	"6"	"12"	"519"	"0"	"519"	"0"
"160"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"161"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"162"	"141"	"136"	"27"	"70"	"596"	"12"	"86"	"3"	"5"	"3"	"3"	"2"	"5"	"812"	"0"	"812"	"0"
"163"	"142"	"137"	"77"	"47"	"499"	"18"	"135"	"23"	"7"	"10"	"8"	"39"	"17"	"880"	"0"	"880"	"0"
"164"	"143"	"138"	"40"	"21"	"696"	"5"	"48"	"7"	"1"	"5"	"6"	"38"	"9"	"876"	"0"	"876"	"0"
"165"	"144"	"139"	"60"	"14"	"438"	"6"	"143"	"6"	"4"	"3"	"4"	"9"	"18"	"705"	"0"	"705"	"0"
"166"	"145"	"140"	"24"	"3"	"141"	"3"	"40"	"0"	"1"	"0"	"4"	"5"	"8"	"229"	"0"	"229"	"0"
"167"	"146"	"141"	"15"	"15"	"281"	"13"	"17"	"2"	"4"	"4"	"4"	"5"	"17"	"377"	"0"	"377"	"0"
"168"	"147"	"142"	"60"	"20"	"303"	"9"	"105"	"5"	"9"	"7"	"11"	"13"	"48"	"590"	"0"	"590"	"0"
"169"	"148"	"143"	"54"	"9"	"76"	"5"	"159"	"3"	"1"	"3"	"2"	"2"	"11"	"325"	"0"	"325"	"0"
"170"	"149"	"144"	"50"	"16"	"310"	"3"	"55"	"5"	"0"	"2"	"2"	"2"	"9"	"454"	"0"	"454"	"0"
"171"	"150"	"145"	"141"	"33"	"255"	"9"	"202"	"3"	"3"	"9"	"9"	"18"	"19"	"701"	"0"	"701"	"0"
"172"	"151"	"146"	"46"	"69"	"486"	"14"	"118"	"10"	"5"	"6"	"8"	"13"	"25"	"800"	"0"	"800"	"0"
"173"	"152"	"147"	"20"	"212"	"247"	"9"	"14"	"7"	"12"	"7"	"15"	"14"	"32"	"589"	"0"	"589"	"0"
"174"	"153"	"148"	"50"	"113"	"738"	"6"	"70"	"13"	"10"	"6"	"5"	"7"	"12"	"1030"	"0"	"1030"	"0"
"175"	"154"	"149"	"59"	"92"	"377"	"7"	"49"	"6"	"9"	"5"	"15"	"21"	"18"	"658"	"0"	"658"	"0"
"176"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"177"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"178"	"155"	"150"	"33"	"20"	"476"	"14"	"338"	"15"	"9"	"8"	"11"	"19"	"3"	"946"	"0"	"946"	"0"
"179"	"156"	"151"	"16"	"32"	"448"	"14"	"17"	"7"	"1"	"5"	"7"	"15"	"17"	"579"	"0"	"579"	"0"
"180"	"157"	"152"	"17"	"22"	"355"	"7"	"105"	"10"	"11"	"4"	"5"	"14"	"12"	"562"	"0"	"562"	"0"
"181"	"158"	"153"	"7"	"7"	"271"	"1"	"204"	"2"	"3"	"3"	"9"	"6"	"3"	"516"	"0"	"516"	"0"
"182"	"159"	"154"	"123"	"4"	"150"	"9"	"170"	"6"	"2"	"5"	"3"	"23"	"8"	"503"	"0"	"503"	"0"
"183"	"160"	"155"	"15"	"107"	"312"	"8"	"81"	"3"	"11"	"12"	"6"	"10"	"15"	"580"	"0"	"580"	"0"
"184"	"161"	"156"	"8"	"12"	"318"	"5"	"77"	"2"	"3"	"2"	"2"	"2"	"0"	"431"	"0"	"431"	"0"
"185"	"162"	"157"	"26"	"26"	"723"	"10"	"72"	"8"	"4"	"8"	"8"	"11"	"13"	"909"	"0"	"909"	"0"
"186"	"163"	"158"	"12"	"33"	"309"	"9"	"100"	"5"	"6"	"3"	"2"	"86"	"5"	"570"	"0"	"570"	"0"
"187"	"164"	"159"	"5"	"22"	"262"	"10"	"67"	"3"	"5"	"4"	"6"	"66"	"5"	"455"	"0"	"455"	"0"
"188"	"165"	"160"	"21"	"59"	"165"	"8"	"148"	"4"	"8"	"2"	"6"	"29"	"13"	"463"	"0"	"463"	"0"
"189"	"166"	"160A"	"5"	"65"	"367"	"3"	"33"	"10"	"1"	"6"	"2"	"40"	"18"	"550"	"0"	"550"	"0"
"190"	"167"	"161"	"17"	"18"	"538"	"24"	"116"	"1"	"17"	"13"	"8"	"21"	"15"	"788"	"0"	"788"	"0"
"191"	"168"	"162"	"14"	"5"	"407"	"9"	"33"	"0"	"4"	"2"	"6"	"11"	"16"	"507"	"0"	"507"	"0"
"192"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"193"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"194"	"169"	"163"	"14"	"9"	"323"	"11"	"8"	"0"	"1"	"2"	"4"	"2"	"11"	"385"	"0"	"385"	"0"
"195"	"170"	"164"	"73"	"18"	"79"	"4"	"6"	"0"	"2"	"5"	"4"	"48"	"1"	"240"	"0"	"240"	"0"
"196"	"171"	"165"	"24"	"12"	"704"	"14"	"73"	"3"	"3"	"5"	"2"	"24"	"4"	"868"	"0"	"868"	"0"
"197"	"172"	"166"	"9"	"6"	"269"	"6"	"9"	"1"	"0"	"3"	"5"	"113"	"18"	"439"	"0"	"439"	"0"
"198"	"173"	"167"	"171"	"11"	"60"	"0"	"53"	"2"	"2"	"19"	"4"	"206"	"13"	"541"	"0"	"541"	"0"
"199"	"174"	"168"	"37"	"8"	"43"	"4"	"4"	"0"	"2"	"3"	"9"	"354"	"9"	"473"	"0"	"473"	"0"
"200"	"175"	"169"	"17"	"33"	"405"	"5"	"13"	"1"	"1"	"5"	"12"	"61"	"14"	"567"	"0"	"567"	"0"
"201"	"176"	"170"	"48"	"6"	"284"	"2"	"6"	"3"	"2"	"1"	"5"	"44"	"2"	"403"	"0"	"403"	"0"
"202"	"177"	"171"	"106"	"14"	"414"	"4"	"28"	"2"	"3"	"3"	"11"	"14"	"7"	"606"	"0"	"606"	"0"
"203"	"178"	"172"	"126"	"15"	"468"	"5"	"28"	"0"	"5"	"6"	"3"	"10"	"12"	"678"	"0"	"678"	"0"
"204"	"179"	"173"	"109"	"8"	"292"	"8"	"35"	"1"	"5"	"5"	"5"	"67"	"16"	"551"	"0"	"551"	"0"
"205"	"180"	"174"	"252"	"12"	"224"	"4"	"45"	"6"	"5"	"3"	"5"	"40"	"7"	"603"	"0"	"603"	"0"
"206"	"181"	"175"	"20"	"18"	"409"	"23"	"13"	"0"	"6"	"4"	"2"	"4"	"25"	"524"	"0"	"524"	"0"
"207"	"182"	"176"	"228"	"89"	"125"	"17"	"30"	"3"	"11"	"4"	"4"	"6"	"3"	"520"	"0"	"520"	"0"
"208"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"209"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"210"	"183"	"177"	"272"	"11"	"42"	"2"	"89"	"4"	"4"	"5"	"8"	"6"	"26"	"469"	"0"	"469"	"0"
"211"	"184"	"178"	"429"	"25"	"94"	"4"	"66"	"6"	"2"	"0"	"2"	"10"	"12"	"650"	"0"	"650"	"0"
"212"	"185"	"179"	"211"	"38"	"124"	"4"	"65"	"0"	"1"	"3"	"3"	"17"	"14"	"480"	"0"	"480"	"0"
"213"	"186"	"180"	"13"	"67"	"609"	"8"	"22"	"4"	"6"	"4"	"10"	"5"	"13"	"761"	"0"	"761"	"0"
"214"	"187"	"181"	"159"	"12"	"68"	"4"	"210"	"4"	"5"	"4"	"3"	"9"	"13"	"491"	"0"	"491"	"0"
"215"	"188"	"182"	"22"	"25"	"149"	"7"	"144"	"5"	"7"	"1"	"4"	"0"	"4"	"368"	"0"	"368"	"0"
"216"	"189"	"183"	"86"	"114"	"590"	"50"	"37"	"4"	"7"	"8"	"12"	"9"	"16"	"933"	"0"	"933"	"0"
"217"	"190"	"184"	"411"	"13"	"170"	"18"	"119"	"4"	"4"	"7"	"7"	"12"	"18"	"783"	"0"	"783"	"0"
"218"	"191"	"185"	"43"	"8"	"155"	"12"	"169"	"9"	"6"	"1"	"8"	"6"	"21"	"438"	"0"	"438"	"0"
"219"	"192"	"186"	"171"	"29"	"104"	"4"	"291"	"6"	"6"	"6"	"4"	"5"	"15"	"641"	"0"	"641"	"0"
"220"	"193"	"187"	"26"	"183"	"183"	"3"	"310"	"8"	"11"	"12"	"8"	"4"	"6"	"754"	"0"	"754"	"0"
"221"	"194"	"188"	"15"	"58"	"273"	"9"	"232"	"16"	"6"	"5"	"5"	"8"	"15"	"642"	"0"	"642"	"0"
"222"	"195"	"189"	"10"	"13"	"389"	"47"	"42"	"3"	"3"	"5"	"3"	"3"	"10"	"528"	"0"	"528"	"0"
"223"	"196"	"190"	"12"	"88"	"481"	"12"	"42"	"0"	"4"	"2"	"3"	"2"	"16"	"662"	"0"	"662"	"0"
"224"	"،"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"225"	""	""	"eat w nsoh"	"eukst   dqekj"	"egs' k i kl oku"	"j ke j kt   j ke"	"l quhr k nsoh"	"l hr k j ke nkl"	"nqxkZnkl"	"j at hr  dqekj  i kl oku"	"j kl ks _ f\"k"	"odhy  nkl"	"fgj k _ f\"k"	""	""	""	""
"226"	"197"	"191"	"104"	"6"	"242"	"8"	"63"	"2"	"3"	"2"	"4"	"2"	"10"	"446"	"0"	"446"	"0"
"227"	"198"	"192"	"263"	"28"	"175"	"7"	"33"	"8"	"2"	"2"	"3"	"7"	"28"	"556"	"0"	"556"	"0"
"228"	"199"	"193"	"159"	"21"	"266"	"6"	"53"	"5"	"4"	"3"	"4"	"11"	"11"	"543"	"0"	"543"	"0"
"229"	"200"	"194"	"264"	"24"	"94"	"5"	"189"	"8"	"11"	"6"	"3"	"8"	"10"	"622"	"0"	"622"	"0"
"230"	"201"	"195"	"33"	"11"	"440"	"9"	"33"	"1"	"3"	"3"	"3"	"6"	"9"	"551"	"0"	"551"	"0"
"231"	"er nku dsUnzksa i j vfHkfyf[ kr  er ksa dh
dqy  l a[ ; k"	""	"15955"	"8994"	"70998"	"2195"	"18568"	"1290"	"1062"	"1122"	"1215"	"3814"	"3191"	"128404"	"0"	"128404"	"0"
"232"	"Mkd  er i =ksa i j vfHkfyf[ kr  er ksa dh
l a[ ; k �l Hkk fuokZpu&
{ks= l s fuokZpu dh n' kk esa Hkj k t k,  �"	""	"1"	"6"	"22"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"38"	"0"	"38"	"0"
"233"	"Mky s x,  dqy  er"	""	"15956"	"9000"	"71020"	"2195"	"18576"	"1291"	"1062"	"1122"	"1215"	"3814"	"3191"	"128442"	"0"	"128442"	"0"
