"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"62"	"53"	"71"	"212"	"163"	"46"	"7"	"5"	"6"	"17"	"21"	"548"	"0"	"548"	"0"
"63"	"54"	"28"	"66"	"150"	"126"	"9"	"0"	"6"	"6"	"8"	"399"	"0"	"399"	"0"
"64"	"55"	"69"	"196"	"83"	"100"	"10"	"7"	"3"	"39"	"26"	"533"	"0"	"533"	"0"
"65"	"56"	"87"	"114"	"57"	"191"	"21"	"9"	"9"	"14"	"21"	"523"	"0"	"523"	"0"
"66"	"57"	"142"	"40"	"146"	"220"	"9"	"8"	"2"	"4"	"10"	"581"	"0"	"581"	"0"
"67"	"58"	"135"	"36"	"152"	"99"	"4"	"1"	"3"	"1"	"7"	"438"	"0"	"438"	"0"
"68"	"59"	"93"	"34"	"161"	"227"	"6"	"11"	"6"	"4"	"15"	"557"	"0"	"557"	"0"
"69"	"59A"	"69"	"15"	"52"	"196"	"4"	"4"	"1"	"1"	"4"	"346"	"0"	"346"	"0"
"70"	"60"	"138"	"60"	"271"	"161"	"7"	"6"	"6"	"6"	"3"	"658"	"0"	"658"	"0"
"71"	"61"	"151"	"34"	"213"	"200"	"6"	"3"	"7"	"8"	"17"	"639"	"0"	"639"	"0"
"72"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"73"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"75"	"62"	"45"	"334"	"27"	"119"	"16"	"6"	"13"	"33"	"28"	"621"	"0"	"621"	"0"
"76"	"63"	"38"	"415"	"53"	"125"	"21"	"12"	"13"	"43"	"27"	"747"	"0"	"747"	"0"
"77"	"64"	"59"	"158"	"18"	"213"	"9"	"4"	"4"	"12"	"17"	"494"	"0"	"494"	"0"
"78"	"65"	"41"	"87"	"12"	"187"	"3"	"3"	"3"	"6"	"11"	"353"	"0"	"353"	"0"
"79"	"66"	"236"	"134"	"16"	"155"	"16"	"13"	"51"	"16"	"32"	"669"	"0"	"669"	"0"
"80"	"67"	"330"	"120"	"23"	"142"	"8"	"6"	"104"	"8"	"18"	"759"	"0"	"759"	"0"
"81"	"68"	"56"	"196"	"32"	"160"	"13"	"8"	"16"	"29"	"36"	"546"	"0"	"546"	"0"
"82"	"69"	"19"	"264"	"26"	"127"	"14"	"4"	"5"	"10"	"40"	"509"	"0"	"509"	"0"
"83"	"70"	"104"	"85"	"134"	"99"	"41"	"5"	"2"	"11"	"6"	"487"	"0"	"487"	"0"
"84"	"71"	"66"	"38"	"129"	"80"	"10"	"3"	"1"	"0"	"2"	"329"	"0"	"329"	"0"
"85"	"72"	"111"	"218"	"139"	"105"	"10"	"12"	"3"	"28"	"19"	"645"	"0"	"645"	"0"
"86"	"73"	"64"	"305"	"47"	"102"	"8"	"1"	"2"	"14"	"6"	"549"	"0"	"549"	"0"
"87"	"74"	"36"	"70"	"65"	"17"	"2"	"5"	"9"	"9"	"3"	"216"	"0"	"216"	"0"
"88"	"75"	"87"	"139"	"226"	"135"	"7"	"2"	"4"	"4"	"1"	"605"	"0"	"605"	"0"
"89"	"76"	"131"	"144"	"81"	"12"	"5"	"2"	"4"	"9"	"9"	"397"	"0"	"397"	"0"
"90"	"77"	"197"	"49"	"84"	"127"	"5"	"4"	"7"	"2"	"4"	"479"	"0"	"479"	"0"
"91"	"78"	"152"	"15"	"76"	"58"	"1"	"1"	"5"	"1"	"2"	"311"	"0"	"311"	"0"
"92"	"79"	"69"	"63"	"335"	"168"	"13"	"10"	"12"	"9"	"7"	"686"	"0"	"686"	"0"
"93"	"80"	"105"	"110"	"146"	"140"	"8"	"3"	"13"	"8"	"6"	"539"	"0"	"539"	"0"
"94"	"81"	"139"	"51"	"28"	"185"	"6"	"7"	"5"	"5"	"3"	"429"	"0"	"429"	"0"
"95"	"82"	"133"	"30"	"30"	"150"	"3"	"3"	"3"	"3"	"9"	"364"	"0"	"364"	"0"
"96"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"97"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"98"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"99"	"83"	"70"	"85"	"101"	"191"	"6"	"4"	"1"	"2"	"7"	"467"	"0"	"467"	"0"
"100"	"83A"	"19"	"89"	"45"	"133"	"7"	"2"	"1"	"12"	"3"	"311"	"0"	"311"	"0"
"101"	"84"	"29"	"87"	"367"	"114"	"7"	"5"	"6"	"4"	"23"	"642"	"0"	"642"	"0"
"102"	"85"	"55"	"153"	"379"	"166"	"3"	"16"	"4"	"4"	"9"	"789"	"0"	"789"	"0"
"103"	"86"	"29"	"38"	"405"	"200"	"6"	"28"	"1"	"2"	"10"	"719"	"0"	"719"	"0"
"104"	"87"	"96"	"43"	"467"	"128"	"4"	"2"	"1"	"1"	"6"	"748"	"0"	"748"	"0"
"105"	"88"	"89"	"155"	"378"	"90"	"11"	"2"	"6"	"7"	"12"	"750"	"0"	"750"	"0"
"106"	"89"	"223"	"31"	"229"	"223"	"15"	"2"	"8"	"4"	"9"	"744"	"0"	"744"	"0"
"107"	"90"	"101"	"37"	"397"	"255"	"9"	"2"	"6"	"3"	"12"	"822"	"0"	"822"	"0"
"108"	"91"	"127"	"59"	"308"	"234"	"6"	"6"	"7"	"10"	"21"	"778"	"0"	"778"	"0"
"109"	"92"	"74"	"31"	"177"	"136"	"7"	"2"	"2"	"6"	"12"	"447"	"0"	"447"	"0"
"110"	"93"	"83"	"19"	"170"	"132"	"1"	"9"	"1"	"2"	"4"	"421"	"0"	"421"	"0"
"111"	"94"	"31"	"126"	"204"	"137"	"10"	"2"	"4"	"14"	"9"	"537"	"0"	"537"	"0"
"112"	"95"	"84"	"62"	"291"	"233"	"4"	"8"	"8"	"7"	"11"	"708"	"0"	"708"	"0"
"113"	"96"	"38"	"187"	"167"	"244"	"13"	"22"	"7"	"19"	"11"	"708"	"0"	"708"	"0"
"114"	"97"	"34"	"68"	"237"	"80"	"10"	"5"	"3"	"4"	"12"	"453"	"0"	"453"	"0"
"115"	"98"	"18"	"132"	"230"	"52"	"5"	"7"	"8"	"18"	"12"	"482"	"0"	"482"	"0"
"116"	"99"	"29"	"41"	"158"	"606"	"21"	"40"	"5"	"8"	"25"	"933"	"0"	"933"	"0"
"117"	"100"	"14"	"22"	"190"	"209"	"6"	"12"	"6"	"10"	"17"	"486"	"0"	"486"	"0"
"118"	"101"	"42"	"36"	"268"	"248"	"3"	"10"	"5"	"5"	"8"	"625"	"0"	"625"	"0"
"119"	"102"	"14"	"4"	"86"	"122"	"5"	"9"	"3"	"0"	"2"	"245"	"0"	"245"	"0"
"120"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"121"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"123"	"103"	"218"	"69"	"31"	"301"	"9"	"3"	"5"	"5"	"13"	"654"	"0"	"654"	"0"
"124"	"104"	"153"	"120"	"37"	"196"	"5"	"4"	"5"	"6"	"9"	"535"	"0"	"535"	"0"
"125"	"105"	"163"	"199"	"53"	"274"	"9"	"4"	"14"	"15"	"13"	"744"	"0"	"744"	"0"
"126"	"106"	"290"	"28"	"117"	"172"	"5"	"4"	"6"	"6"	"9"	"637"	"0"	"637"	"0"
"127"	"106A"	"34"	"56"	"25"	"115"	"6"	"9"	"1"	"9"	"6"	"261"	"0"	"261"	"0"
"128"	"107"	"215"	"54"	"89"	"118"	"9"	"2"	"12"	"6"	"15"	"520"	"0"	"520"	"0"
"129"	"108"	"172"	"78"	"20"	"249"	"17"	"19"	"162"	"10"	"18"	"745"	"0"	"745"	"0"
"130"	"109"	"359"	"29"	"47"	"174"	"13"	"2"	"64"	"1"	"14"	"703"	"0"	"703"	"0"
"131"	"110"	"253"	"38"	"87"	"281"	"20"	"29"	"94"	"4"	"25"	"831"	"0"	"831"	"0"
"132"	"111"	"132"	"109"	"40"	"365"	"15"	"13"	"25"	"13"	"15"	"727"	"0"	"727"	"0"
"133"	"112"	"85"	"94"	"22"	"184"	"3"	"5"	"8"	"4"	"7"	"412"	"0"	"412"	"0"
"134"	"113"	"327"	"143"	"42"	"189"	"10"	"6"	"5"	"12"	"17"	"751"	"0"	"751"	"0"
"135"	"114"	"88"	"105"	"34"	"279"	"9"	"10"	"18"	"10"	"6"	"559"	"0"	"559"	"0"
"136"	"115"	"83"	"77"	"33"	"355"	"14"	"7"	"58"	"7"	"5"	"639"	"0"	"639"	"0"
"137"	"116"	"50"	"112"	"47"	"261"	"5"	"9"	"5"	"19"	"15"	"523"	"0"	"523"	"0"
"138"	"116A"	"42"	"66"	"102"	"193"	"11"	"4"	"2"	"3"	"6"	"429"	"0"	"429"	"0"
"139"	"117"	"179"	"63"	"98"	"199"	"4"	"8"	"3"	"5"	"7"	"566"	"0"	"566"	"0"
"140"	"118"	"126"	"83"	"50"	"185"	"7"	"1"	"5"	"3"	"5"	"465"	"0"	"465"	"0"
"141"	"119"	"145"	"43"	"73"	"217"	"1"	"4"	"1"	"0"	"8"	"492"	"0"	"492"	"0"
"142"	"120"	"91"	"54"	"70"	"236"	"3"	"10"	"2"	"5"	"12"	"483"	"0"	"483"	"0"
"143"	"121"	"68"	"79"	"30"	"244"	"3"	"6"	"2"	"5"	"4"	"441"	"0"	"441"	"0"
"144"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"145"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"147"	"122"	"161"	"179"	"89"	"205"	"12"	"3"	"4"	"13"	"20"	"686"	"0"	"686"	"0"
"148"	"123"	"62"	"123"	"48"	"144"	"8"	"5"	"14"	"9"	"8"	"421"	"0"	"421"	"0"
"149"	"123A"	"72"	"69"	"87"	"70"	"3"	"2"	"0"	"8"	"11"	"322"	"0"	"322"	"0"
"150"	"124"	"150"	"100"	"21"	"108"	"10"	"11"	"3"	"10"	"13"	"426"	"0"	"426"	"0"
"151"	"125"	"105"	"117"	"33"	"136"	"3"	"18"	"5"	"6"	"12"	"435"	"0"	"435"	"0"
"152"	"126"	"421"	"62"	"49"	"74"	"11"	"0"	"21"	"8"	"27"	"673"	"0"	"673"	"0"
"153"	"127"	"321"	"29"	"66"	"140"	"6"	"3"	"6"	"3"	"17"	"591"	"0"	"591"	"0"
"154"	"128"	"239"	"80"	"99"	"153"	"9"	"6"	"38"	"4"	"32"	"660"	"0"	"660"	"0"
"155"	"129"	"54"	"183"	"156"	"203"	"17"	"5"	"8"	"23"	"14"	"663"	"0"	"663"	"0"
"156"	"130"	"99"	"1"	"88"	"2"	"0"	"0"	"0"	"0"	"3"	"193"	"0"	"193"	"0"
"157"	"131"	"102"	"144"	"195"	"289"	"14"	"11"	"5"	"5"	"24"	"789"	"0"	"789"	"0"
"158"	"132"	"80"	"16"	"202"	"65"	"0"	"2"	"0"	"1"	"5"	"371"	"0"	"371"	"0"
"159"	"133"	"91"	"116"	"94"	"164"	"11"	"6"	"2"	"10"	"6"	"500"	"0"	"500"	"0"
"160"	"134"	"267"	"50"	"146"	"40"	"6"	"1"	"6"	"5"	"5"	"526"	"0"	"526"	"0"
"161"	"135"	"175"	"24"	"462"	"220"	"6"	"16"	"2"	"1"	"7"	"913"	"0"	"913"	"0"
"162"	"136"	"40"	"131"	"135"	"459"	"24"	"14"	"9"	"14"	"29"	"855"	"0"	"855"	"0"
"163"	"137"	"22"	"64"	"53"	"255"	"11"	"6"	"3"	"10"	"6"	"430"	"0"	"430"	"0"
"164"	"138"	"32"	"130"	"43"	"215"	"10"	"5"	"1"	"14"	"10"	"460"	"0"	"460"	"0"
"165"	"139"	"36"	"18"	"179"	"216"	"7"	"5"	"3"	"4"	"3"	"471"	"0"	"471"	"0"
"166"	"140"	"15"	"116"	"32"	"211"	"9"	"2"	"4"	"10"	"9"	"408"	"0"	"408"	"0"
"167"	"141"	"61"	"179"	"214"	"280"	"10"	"14"	"14"	"29"	"36"	"837"	"0"	"837"	"0"
"168"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"169"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"170"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"171"	"142"	"64"	"15"	"65"	"112"	"2"	"6"	"1"	"4"	"6"	"275"	"0"	"275"	"0"
"172"	"143"	"91"	"217"	"60"	"131"	"14"	"5"	"6"	"24"	"20"	"568"	"0"	"568"	"0"
"173"	"144"	"118"	"58"	"163"	"107"	"3"	"6"	"9"	"12"	"10"	"486"	"0"	"486"	"0"
"174"	"145"	"287"	"92"	"79"	"258"	"10"	"15"	"27"	"13"	"11"	"792"	"0"	"792"	"0"
"175"	"146"	"277"	"27"	"180"	"38"	"2"	"2"	"15"	"2"	"6"	"549"	"0"	"549"	"0"
"176"	"147"	"298"	"16"	"338"	"14"	"6"	"3"	"41"	"7"	"11"	"734"	"0"	"734"	"0"
"177"	"148"	"17"	"9"	"372"	"43"	"2"	"7"	"5"	"2"	"2"	"459"	"0"	"459"	"0"
"178"	"149"	"54"	"6"	"640"	"71"	"1"	"2"	"3"	"1"	"2"	"780"	"0"	"780"	"0"
"179"	"150"	"14"	"7"	"536"	"148"	"5"	"11"	"3"	"4"	"3"	"731"	"0"	"731"	"0"
"180"	"151"	"32"	"6"	"345"	"64"	"3"	"0"	"1"	"1"	"1"	"453"	"0"	"453"	"0"
"181"	"152"	"115"	"21"	"355"	"118"	"1"	"18"	"3"	"2"	"4"	"637"	"0"	"637"	"0"
"182"	"153"	"37"	"7"	"220"	"45"	"1"	"5"	"2"	"2"	"2"	"321"	"0"	"321"	"0"
"183"	"154"	"41"	"57"	"443"	"93"	"3"	"9"	"4"	"4"	"4"	"658"	"0"	"658"	"0"
"184"	"155"	"33"	"43"	"339"	"59"	"4"	"7"	"6"	"4"	"1"	"496"	"0"	"496"	"0"
"185"	"156"	"51"	"140"	"83"	"185"	"7"	"4"	"5"	"10"	"14"	"499"	"0"	"499"	"0"
"186"	"156A"	"70"	"194"	"52"	"154"	"9"	"3"	"1"	"11"	"12"	"506"	"0"	"506"	"0"
"187"	"157"	"111"	"83"	"145"	"330"	"14"	"8"	"3"	"9"	"6"	"709"	"0"	"709"	"0"
"188"	"158"	"101"	"83"	"26"	"150"	"4"	"3"	"4"	"5"	"12"	"388"	"0"	"388"	"0"
"189"	"159"	"163"	"29"	"117"	"77"	"10"	"2"	"3"	"9"	"5"	"415"	"0"	"415"	"0"
"190"	"160"	"68"	"107"	"27"	"249"	"6"	"1"	"6"	"11"	"15"	"490"	"0"	"490"	"0"
"191"	"161"	"200"	"104"	"136"	"186"	"6"	"7"	"4"	"11"	"31"	"685"	"0"	"685"	"0"
"192"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"193"	""	"Jamshaid Ashraf"	"Pradip Ray"	"Ram Ratan Singh"	"Lalan Ku."	"Anil Kumar"	"Indu Devi"	"Manzoor Alam"	"Ramesh Poddar"	"Sri Ram Roy"	""	""	""	""
"194"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"195"	"162"	"319"	"99"	"127"	"231"	"11"	"7"	"9"	"11"	"19"	"833"	"0"	"833"	"0"
"196"	"163"	"67"	"285"	"54"	"148"	"10"	"8"	"10"	"29"	"15"	"626"	"0"	"626"	"0"
"197"	"164"	"13"	"79"	"19"	"84"	"6"	"5"	"1"	"11"	"10"	"228"	"0"	"228"	"0"
"198"	"165"	"59"	"7"	"717"	"126"	"5"	"16"	"3"	"2"	"11"	"946"	"0"	"946"	"0"
"199"	"166"	"33"	"7"	"518"	"81"	"3"	"14"	"2"	"2"	"3"	"663"	"0"	"663"	"0"
"200"	"167"	"47"	"5"	"337"	"51"	"3"	"8"	"6"	"0"	"3"	"460"	"0"	"460"	"0"
"201"	"168"	"65"	"5"	"357"	"70"	"2"	"70"	"3"	"2"	"4"	"578"	"0"	"578"	"0"
"202"	"169"	"118"	"3"	"604"	"83"	"2"	"32"	"2"	"0"	"9"	"853"	"0"	"853"	"0"
"203"	"170"	"49"	"9"	"378"	"76"	"3"	"6"	"2"	"2"	"9"	"534"	"0"	"534"	"0"
"204"	"171"	"106"	"16"	"465"	"106"	"6"	"8"	"8"	"1"	"12"	"728"	"0"	"728"	"0"
"205"	"172"	"88"	"3"	"152"	"155"	"4"	"151"	"2"	"1"	"4"	"560"	"0"	"560"	"0"
"206"	"173"	"84"	"5"	"227"	"79"	"2"	"37"	"1"	"3"	"1"	"439"	"0"	"439"	"0"
"207"	"174"	"61"	"22"	"264"	"224"	"4"	"21"	"6"	"3"	"4"	"609"	"0"	"609"	"0"
"208"	"175"	"138"	"48"	"222"	"267"	"11"	"12"	"3"	"4"	"12"	"717"	"0"	"717"	"0"
"209"	"176"	"84"	"67"	"611"	"94"	"7"	"5"	"6"	"11"	"15"	"900"	"0"	"900"	"0"
"210"	"177"	"27"	"120"	"469"	"111"	"9"	"11"	"4"	"13"	"6"	"770"	"0"	"770"	"0"
"211"	"178"	"41"	"49"	"427"	"49"	"0"	"3"	"3"	"4"	"1"	"577"	"0"	"577"	"0"
"212"	"179"	"22"	"9"	"302"	"174"	"2"	"10"	"6"	"1"	"3"	"529"	"0"	"529"	"0"
"213"	"180"	"169"	"66"	"210"	"290"	"15"	"9"	"8"	"9"	"16"	"792"	"0"	"792"	"0"
"214"	"181"	"103"	"23"	"142"	"325"	"5"	"4"	"4"	"7"	"8"	"621"	"0"	"621"	"0"
"215"	"182"	"59"	"5"	"68"	"304"	"7"	"4"	"0"	"3"	"4"	"454"	"0"	"454"	"0"
"216"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
