"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - Gaura Bauram Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 195425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"30"	"20"	"19A"	"47"	"0"	"2"	"102"	""	"14"	"4"	"7"	"4"	"20"	"2"	"3"	"25"	"3"	""	"7"	"240"	"-"	"240"	""	""
"31"	"21"	"20"	"54"	"4"	"2"	"75"	""	"105"	"5"	"2"	"4"	"5"	"4"	"9"	"8"	"9"	""	"21"	"307"	"-"	"307"	""	""
"32"	"22"	"21"	"122"	"1"	"4"	"63"	""	"180"	"11"	"8"	"5"	"35"	"19"	"19"	"82"	"13"	""	"46"	"608"	"-"	"608"	""	""
"33"	"23"	"22"	"237"	"11"	"5"	"11"	""	"172"	"11"	"10"	"3"	"10"	"12"	"5"	"17"	"7"	""	"26"	"537"	"-"	"537"	""	""
"34"	"24"	"23"	"93"	"5"	"3"	"14"	""	"380"	"13"	"8"	"5"	"11"	"15"	"10"	"15"	"23"	""	"53"	"648"	"-"	"648"	""	""
"35"	"25"	"24"	"58"	"9"	"1"	"70"	""	"123"	"6"	"3"	"2"	"5"	"6"	"10"	"6"	"10"	""	"33"	"342"	"-"	"342"	""	""
"36"	"26"	"24A"	"56"	"6"	"3"	"112"	""	"56"	"5"	"2"	"4"	"3"	"3"	"10"	"8"	"6"	""	"18"	"292"	"-"	"292"	""	""
"37"	"27"	"25"	"165"	"7"	"14"	"71"	""	"94"	"6"	"6"	"3"	"3"	"3"	"8"	"5"	"16"	""	"7"	"408"	"-"	"408"	""	""
"38"	"28"	"26"	"57"	"4"	"3"	"16"	""	"229"	"9"	"3"	"3"	"6"	"12"	"5"	"7"	"2"	""	"19"	"375"	"-"	"375"	""	""
"39"	"29"	"27"	"37"	"2"	"6"	"13"	""	"409"	"9"	"7"	"4"	"2"	"15"	"8"	"15"	"9"	""	"26"	"562"	"-"	"562"	""	""
"40"	"30"	"28"	"200"	"6"	"5"	"64"	""	"61"	"7"	"8"	"4"	"1"	"1"	"0"	"24"	"6"	""	"11"	"398"	"-"	"398"	""	""
"41"	"31"	"29"	"213"	"3"	"1"	"11"	""	"79"	"2"	"0"	"5"	"1"	"1"	"0"	"4"	"2"	""	"7"	"329"	"-"	"329"	""	""
"42"	"32"	"30"	"278"	"19"	"4"	"104"	""	"137"	"13"	"9"	"10"	"5"	"12"	"10"	"5"	"9"	""	"24"	"639"	"-"	"639"	""	""
"43"	"33"	"31"	"138"	"6"	"7"	"16"	""	"164"	"12"	"10"	"4"	"16"	"11"	"13"	"18"	"12"	""	"25"	"452"	"-"	"452"	""	""
"44"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"45"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"47"	"34"	"32"	"117"	"5"	"2"	"26"	""	"296"	"12"	"5"	"3"	"8"	"5"	"15"	"8"	"12"	""	"12"	"526"	"-"	"526"	""	""
"48"	"35"	"33"	"206"	"7"	"6"	"5"	""	"157"	"7"	"3"	"1"	"1"	"7"	"3"	"6"	"16"	""	"28"	"453"	"-"	"453"	""	""
"49"	"36"	"34"	"295"	"16"	"4"	"88"	""	"187"	"16"	"13"	"4"	"9"	"10"	"17"	"2"	"9"	""	"16"	"686"	"-"	"686"	""	""
"50"	"37"	"35"	"271"	"6"	"0"	"79"	""	"64"	"6"	"3"	"0"	"6"	"1"	"2"	"13"	"4"	""	"25"	"480"	"-"	"480"	""	""
"51"	"38"	"36"	"241"	"6"	"4"	"85"	""	"207"	"0"	"7"	"8"	"8"	"4"	"11"	"15"	"18"	""	"28"	"642"	"-"	"642"	""	""
"52"	"39"	"37"	"159"	"6"	"0"	"43"	""	"269"	"16"	"2"	"0"	"0"	"5"	"3"	"3"	"19"	""	"5"	"530"	"-"	"530"	""	""
"53"	"40"	"38"	"171"	"10"	"10"	"106"	""	"248"	"15"	"4"	"6"	"12"	"13"	"19"	"26"	"38"	""	"54"	"732"	"-"	"732"	""	""
"54"	"41"	"39"	"269"	"11"	"6"	"87"	""	"132"	"14"	"27"	"5"	"4"	"4"	"4"	"0"	"23"	""	"16"	"602"	"-"	"602"	""	""
"55"	"42"	"40"	"322"	"5"	"2"	"79"	""	"18"	"2"	"4"	"2"	"2"	"5"	"12"	"5"	"29"	""	"27"	"514"	""	"514"	""	""
"56"	"43"	"41"	"122"	"8"	"3"	"7"	""	"8"	"1"	"1"	"3"	"2"	"0"	"14"	"15"	"522"	""	"32"	"738"	"-"	"738"	""	""
"57"	"44"	"42"	"119"	"63"	"4"	"53"	""	"15"	"2"	"2"	"11"	"7"	"2"	"7"	"4"	"11"	""	"51"	"351"	"-"	"351"	""	""
"58"	"45"	"43"	"215"	"7"	"0"	"70"	""	"11"	"2"	"0"	"1"	"1"	"1"	"7"	"8"	"11"	""	"34"	"368"	"-"	"368"	""	""
"59"	"46"	"43A"	"169"	"5"	"2"	"64"	""	"15"	"2"	"4"	"2"	"1"	"2"	"9"	"4"	"53"	""	"21"	"353"	"-"	"353"	""	""
"60"	"47"	"44"	"289"	"7"	"2"	"78"	""	"36"	"1"	"4"	"3"	"0"	"3"	"6"	"4"	"49"	""	"10"	"492"	"-"	"492"	""	""
"61"	"48"	"45"	"149"	"8"	"4"	"136"	""	"87"	"9"	"6"	"3"	"13"	"2"	"7"	"8"	"10"	""	"39"	"481"	"-"	"481"	""	""
"62"	"49"	"46"	"245"	"6"	"6"	"21"	""	"64"	"0"	"3"	"2"	"2"	"9"	"5"	"2"	"5"	""	"9"	"379"	"-"	"379"	""	""
"63"	"50"	"46A"	"224"	"17"	"7"	"6"	""	"70"	"2"	"4"	"1"	"2"	"8"	"6"	"5"	"16"	""	"29"	"397"	"-"	"397"	""	""
"64"	"51"	"47"	"464"	"19"	"11"	"96"	""	"51"	"6"	"5"	"2"	"7"	"9"	"9"	"10"	"19"	""	"28"	"736"	"-"	"736"	""	""
"65"	"52"	"48"	"367"	"6"	"2"	"38"	""	"26"	"5"	"6"	"7"	"12"	"3"	"5"	"6"	"4"	""	"10"	"497"	"-"	"497"	""	""
"66"	"53"	"49"	"178"	"4"	"0"	"2"	""	"9"	"1"	"2"	"0"	"4"	"0"	"5"	"2"	"7"	""	"8"	"222"	"-"	"222"	""	""
"67"	"54"	"50"	"217"	"5"	"1"	"143"	""	"4"	"1"	"0"	"2"	"6"	"3"	"7"	"11"	"15"	""	"22"	"437"	"-"	"437"	""	""
"68"	"55"	"51"	"149"	"12"	"5"	"186"	""	"40"	"4"	"9"	"5"	"9"	"4"	"13"	"14"	"11"	""	"27"	"488"	"-"	"488"	""	""
"69"	"56"	"52"	"227"	"28"	"10"	"216"	""	"61"	"8"	"3"	"2"	"6"	"5"	"11"	"5"	"14"	""	"27"	"623"	"-"	"623"	""	""
"70"	"57"	"53"	"401"	"4"	"1"	"32"	""	"15"	"1"	"1"	"0"	"0"	"0"	"23"	"0"	"2"	""	"14"	"494"	"-"	"494"	""	""
"71"	"58"	"54"	"499"	"7"	"0"	"4"	""	"14"	"0"	"0"	"0"	"0"	"2"	"9"	"0"	"0"	""	"3"	"538"	"-"	"538"	""	""
"72"	"59"	"55"	"125"	"4"	"8"	"263"	""	"56"	"5"	"5"	"6"	"6"	"15"	"27"	"20"	"14"	""	"34"	"588"	"-"	"588"	""	""
"73"	"60"	"56"	"127"	"6"	"5"	"240"	""	"138"	"9"	"3"	"3"	"8"	"8"	"11"	"7"	"8"	""	"28"	"601"	"-"	"601"	""	""
"74"	"61"	"57"	"458"	"8"	"0"	"17"	""	"5"	"0"	"4"	"1"	"2"	"2"	"3"	"2"	"5"	""	"5"	"512"	"-"	"512"	""	""
"75"	"62"	"58"	"298"	"6"	"3"	"61"	""	"27"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"4"	""	"12"	"420"	"-"	"420"	""	""
"76"	"63"	"59"	"378"	"10"	"5"	"194"	""	"32"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	""	"9"	"633"	"-"	"633"	""	""
"77"	"64"	"60"	"284"	"6"	"3"	"150"	""	"15"	"0"	"3"	"1"	"1"	"4"	"3"	"4"	"4"	""	"12"	"490"	"-"	"490"	""	""
"78"	"65"	"61"	"329"	"2"	"3"	"100"	""	"82"	"1"	"0"	"0"	"2"	"3"	"2"	"4"	"2"	""	"5"	"535"	"-"	"535"	""	""
"79"	"66"	"62"	"91"	"5"	"1"	"314"	""	"20"	"0"	"2"	"5"	"3"	"6"	"6"	"1"	"2"	""	"7"	"463"	"-"	"463"	""	""
"80"	"67"	"63"	"119"	"0"	"2"	"85"	""	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	""	"4"	"231"	"-"	"231"	""	""
"81"	"68"	"64"	"154"	"6"	"1"	"193"	""	"30"	"5"	"7"	"2"	"5"	"8"	"11"	"5"	"5"	""	"19"	"451"	"-"	"451"	""	""
"82"	"69"	"64A"	"63"	"2"	"0"	"235"	""	"19"	"3"	"1"	"0"	"2"	"3"	"4"	"2"	"2"	""	"7"	"343"	"-"	"343"	""	""
"83"	"70"	"65"	"93"	"2"	"1"	"230"	""	"242"	"9"	"12"	"3"	"2"	"6"	"9"	"20"	"16"	""	"15"	"660"	"-"	"660"	""	""
"84"	"71"	"66"	"145"	"7"	"8"	"248"	""	"85"	"16"	"73"	"8"	"6"	"3"	"6"	"5"	"4"	""	"13"	"627"	"-"	"627"	""	""
"85"	"72"	"67"	"237"	"22"	"12"	"128"	""	"176"	"6"	"18"	"6"	"5"	"6"	"7"	"1"	"9"	""	"35"	"668"	"-"	"668"	""	""
"86"	"73"	"68"	"318"	"17"	"3"	"104"	""	"102"	"1"	"3"	"4"	"3"	"3"	"11"	"4"	"3"	""	"12"	"588"	"-"	"588"	""	""
"87"	"74"	"69"	"192"	"8"	"1"	"52"	""	"79"	"3"	"5"	"2"	"2"	"2"	"2"	"3"	"3"	""	"9"	"363"	"-"	"363"	""	""
"88"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"89"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"91"	"75"	"70"	"160"	"6"	"5"	"136"	""	"177"	"10"	"6"	"8"	"4"	"65"	"21"	"11"	"10"	""	"40"	"659"	"-"	"659"	""	""
"92"	"76"	"71"	"110"	"11"	"10"	"170"	""	"129"	"4"	"4"	"7"	"4"	"3"	"11"	"9"	"7"	""	"33"	"512"	"-"	"512"	""	""
"93"	"77"	"72"	"15"	"0"	"2"	"624"	""	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"10"	"0"	""	"1"	"660"	"-"	"660"	""	""
"94"	"78"	"73"	"3"	"0"	"0"	"546"	""	"2"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	""	"1"	"558"	"-"	"558"	""	""
"95"	"79"	"74"	"325"	"9"	"19"	"38"	""	"12"	"0"	"0"	"1"	"1"	"0"	"3"	"4"	"7"	""	"22"	"441"	"-"	"441"	""	""
"96"	"80"	"75"	"328"	"7"	"48"	"3"	""	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	""	"1"	"411"	"-"	"411"	""	""
"97"	"81"	"76"	"156"	"6"	"2"	"52"	""	"97"	"4"	"4"	"2"	"5"	"8"	"3"	"16"	"9"	""	"39"	"403"	"-"	"403"	""	""
"98"	"82"	"77"	"237"	"9"	"7"	"81"	""	"47"	"2"	"2"	"1"	"0"	"3"	"1"	"4"	"3"	""	"4"	"401"	"-"	"401"	""	""
"99"	"83"	"78"	"204"	"14"	"4"	"46"	""	"120"	"7"	"2"	"1"	"6"	"6"	"3"	"6"	"3"	""	"8"	"430"	"-"	"430"	""	""
"100"	"84"	"78A"	"93"	"10"	"5"	"66"	""	"95"	"4"	"4"	"3"	"4"	"5"	"2"	"0"	"3"	""	"15"	"309"	"-"	"309"	""	""
"101"	"85"	"79"	"52"	"1"	"2"	"186"	""	"36"	"2"	"4"	"0"	"0"	"0"	"4"	"11"	"0"	""	"6"	"304"	"-"	"304"	""	""
"102"	"86"	"80"	"173"	"7"	"4"	"214"	""	"103"	"5"	"3"	"0"	"5"	"6"	"12"	"18"	"6"	""	"16"	"572"	"-"	"572"	""	""
"103"	"87"	"81"	"222"	"4"	"1"	"183"	""	"21"	"0"	"2"	"0"	"0"	"2"	"4"	"0"	"2"	""	"5"	"446"	"-"	"446"	""	""
"104"	"88"	"82"	"182"	"10"	"4"	"315"	""	"60"	"5"	"5"	"1"	"3"	"8"	"9"	"19"	"7"	""	"18"	"646"	"-"	"646"	""	""
"105"	"89"	"83"	"248"	"12"	"4"	"222"	""	"70"	"6"	"5"	"1"	"8"	"2"	"10"	"16"	"3"	""	"18"	"625"	"-"	"625"	""	""
"106"	"90"	"84"	"274"	"6"	"3"	"168"	""	"109"	"6"	"4"	"5"	"2"	"1"	"6"	"2"	"4"	""	"14"	"604"	"-"	"604"	""	""
"107"	"91"	"85"	"424"	"14"	"6"	"116"	""	"50"	"6"	"3"	"3"	"2"	"1"	"18"	"5"	"18"	""	"43"	"709"	"-"	"709"	""	""
"108"	"92"	"86"	"108"	"8"	"3"	"27"	""	"162"	"5"	"5"	"2"	"3"	"2"	"0"	"8"	"3"	""	"5"	"341"	"-"	"341"	""	""
"109"	"93"	"86A"	"99"	"3"	"0"	"40"	""	"121"	"4"	"3"	"4"	"6"	"7"	"5"	"31"	"7"	""	"23"	"353"	"-"	"353"	""	""
"110"	"94"	"87"	"176"	"6"	"2"	"43"	""	"172"	"5"	"9"	"2"	"3"	"8"	"4"	"16"	"15"	""	"33"	"494"	"-"	"494"	""	""
"111"	"95"	"87A"	"49"	"2"	"1"	"70"	""	"151"	"7"	"70"	"1"	"8"	"16"	"11"	"14"	"8"	""	"19"	"427"	"-"	"427"	""	""
"112"	"96"	"88"	"161"	"6"	"4"	"151"	""	"132"	"8"	"125"	"10"	"11"	"31"	"17"	"55"	"14"	""	"47"	"772"	"-"	"772"	""	""
"113"	"97"	"89"	"287"	"6"	"2"	"37"	""	"18"	"0"	"2"	"3"	"1"	"8"	"5"	"1"	"5"	""	"22"	"397"	"-"	"397"	""	""
"114"	"98"	"90"	"400"	"3"	"1"	"50"	""	"93"	"6"	"3"	"2"	"4"	"9"	"9"	"4"	"7"	""	"28"	"619"	"-"	"619"	""	""
"115"	"99"	"91"	"122"	"9"	"7"	"78"	""	"126"	"6"	"2"	"5"	"8"	"17"	"12"	"55"	"9"	""	"54"	"510"	"-"	"510"	""	""
"116"	"100"	"92"	"60"	"5"	"6"	"47"	""	"73"	"3"	"4"	"1"	"0"	"3"	"2"	"24"	"3"	""	"9"	"240"	"-"	"240"	""	""
"117"	"101"	"93"	"153"	"4"	"7"	"205"	""	"154"	"5"	"8"	"2"	"14"	"17"	"19"	"12"	"23"	""	"31"	"654"	"-"	"654"	""	""
"118"	"102"	"94"	"106"	"2"	"0"	"20"	""	"219"	"7"	"2"	"0"	"0"	"5"	"3"	"15"	"4"	""	"26"	"409"	"-"	"409"	""	""
"119"	"103"	"95"	"187"	"8"	"5"	"139"	""	"68"	"6"	"44"	"2"	"5"	"2"	"6"	"61"	"6"	""	"13"	"552"	"-"	"552"	""	""
"120"	"104"	"96"	"113"	"0"	"4"	"88"	""	"19"	"5"	"4"	"2"	"11"	"2"	"5"	"133"	"20"	""	"51"	"457"	"-"	"457"	""	""
"121"	"105"	"97"	"41"	"2"	"3"	"107"	""	"6"	"0"	"5"	"1"	"1"	"2"	"7"	"72"	"4"	""	"4"	"255"	"-"	"255"	""	""
"122"	"106"	"98"	"39"	"2"	"5"	"124"	""	"74"	"4"	"11"	"3"	"10"	"11"	"25"	"46"	"14"	""	"16"	"384"	"-"	"384"	""	""
"123"	"107"	"99"	"227"	"8"	"0"	"109"	""	"77"	"3"	"4"	"5"	"1"	"3"	"4"	"12"	"9"	""	"11"	"473"	"-"	"473"	""	""
"124"	"108"	"100"	"237"	"7"	"1"	"24"	""	"210"	"9"	"4"	"3"	"11"	"9"	"10"	"6"	"8"	""	"45"	"584"	"-"	"584"	""	""
"125"	"109"	"101"	"308"	"4"	"3"	"20"	""	"11"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	""	"4"	"354"	"-"	"354"	""	""
"126"	"110"	"101A"	"320"	"6"	"1"	"3"	""	"33"	"0"	"1"	"1"	"3"	"2"	"3"	"0"	"3"	""	"8"	"384"	"-"	"384"	""	""
"127"	"111"	"102"	"281"	"15"	"2"	"85"	""	"136"	"5"	"4"	"4"	"1"	"3"	"6"	"6"	"12"	""	"21"	"581"	"-"	"581"	""	""
"128"	"112"	"103"	"112"	"4"	"3"	"103"	""	"289"	"16"	"7"	"7"	"10"	"21"	"18"	"9"	"20"	""	"51"	"670"	"-"	"670"	""	""
"129"	"113"	"104"	"191"	"8"	"4"	"8"	""	"177"	"1"	"1"	"2"	"6"	"4"	"10"	"50"	"7"	""	"35"	"504"	"-"	"504"	""	""
"130"	"114"	"105"	"141"	"9"	"2"	"100"	""	"228"	"8"	"4"	"5"	"8"	"8"	"12"	"30"	"17"	""	"29"	"601"	"-"	"601"	""	""
"131"	"115"	"106"	"161"	"20"	"2"	"51"	""	"79"	"7"	"3"	"5"	"0"	"9"	"10"	"2"	"2"	""	"16"	"367"	"-"	"367"	""	""
"132"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"133"	""	""	"Dr. Izhar Ahmad"	"Ganga Sagar Paswan"	"Tamanna"	"Nageshwar Pajiyar"	""	"Dr.
Mahavir Prasad"	"Abdhesh Prasad Singh"	"Krishan Mohan Singh"	"Ganesh Mukhiya"	"Sushil Kumar
Choudhary"	"Abbas Kujara"	"Khursid Alam"	"Rabindra Pandey"	"Shami m"	""	"Saroj Kumar
Choudhary"	""	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"135"	"116"	"107"	"119"	"7"	"1"	"38"	""	"87"	"5"	"1"	"2"	"2"	"6"	"3"	"1"	"1"	""	"9"	"282"	"-"	"282"	""	""
"136"	"117"	"108"	"264"	"6"	"4"	"99"	""	"48"	"4"	"3"	"2"	"2"	"2"	"7"	"24"	"5"	""	"18"	"488"	"-"	"488"	""	""
"137"	"118"	"109"	"264"	"9"	"4"	"51"	""	"146"	"6"	"7"	"4"	"6"	"22"	"7"	"14"	"3"	""	"43"	"586"	"-"	"586"	""	""
"138"	"119"	"110"	"92"	"7"	"5"	"110"	""	"90"	"2"	"1"	"4"	"15"	"5"	"7"	"16"	"4"	""	"13"	"371"	"-"	"371"	""	""
"139"	"120"	"111"	"100"	"9"	"4"	"43"	""	"158"	"8"	"3"	"2"	"9"	"13"	"13"	"82"	"9"	""	"37"	"490"	"-"	"490"	""	""
"140"	"121"	"112"	"176"	"2"	"235"	"13"	""	"3"	"6"	"2"	"2"	"2"	"3"	"8"	"19"	"11"	""	"23"	"505"	"-"	"505"	""	""
"141"	"122"	"113"	"272"	"7"	"2"	"18"	""	"83"	"3"	"2"	"2"	"1"	"6"	"4"	"1"	"8"	""	"48"	"457"	"-"	"457"	""	""
"142"	"123"	"114"	"288"	"0"	"10"	"42"	""	"93"	"3"	"0"	"0"	"2"	"3"	"1"	"4"	"4"	""	"12"	"462"	"-"	"462"	""	""
"143"	"124"	"115"	"151"	"11"	"3"	"39"	""	"201"	"13"	"7"	"8"	"2"	"7"	"7"	"6"	"19"	""	"29"	"503"	"-"	"503"	""	""
