"Polling.Station.No."	"Ashok.Kumar.Yadav"	"Kumar.Shailend.ra"	"Krishan.Kumar.Mandal"	"Renu.Choudhar.y"	"Shailesh.Kumar..Bulo.Mandal."	"Balmiki.Kumar"	"Sudhir.Yadav"	"Subod.Kumar"	"Gagan.Kumar.Sengupt.a"	"Pankaj.Choudh.ary"	"Ravin.Yaday"	"Bindeshw.ari.......Pr..Singh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"199"	"168"	9	266	3	7	203	4	24	6	3	4	11	27	567	0	567	NA
"200"	"169"	6	71	1	2	176	3	4	1	1	1	2	4	272	0	272	NA
"201"	"170"	11	283	10	9	391	8	5	8	6	8	5	25	769	0	769	NA
"202"	"171"	4	301	1	1	33	0	4	0	0	1	0	5	350	0	350	NA
"203"	"172"	6	566	4	0	6	0	0	1	0	0	1	3	587	0	587	NA
"204"	"173"	15	261	7	8	185	12	4	12	4	6	30	20	564	0	564	NA
"205"	"174"	16	157	13	8	449	9	2	7	3	8	17	49	738	0	738	NA
"206"	"175"	24	219	8	3	324	7	2	6	4	7	13	41	658	0	658	NA
"207"	"176"	23	184	4	11	359	17	2	8	2	3	5	29	647	0	647	NA
"208"	"177"	11	108	8	12	388	4	4	3	2	3	6	34	583	0	583	NA
"209"	"178"	4	74	0	2	115	4	0	2	0	0	6	3	210	0	210	NA
"210"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"212"	"179"	6	256	9	15	297	6	2	2	3	5	10	21	632	0	632	NA
"213"	"180"	22	385	12	25	115	3	6	4	2	10	12	27	623	0	623	NA
"214"	"181"	36	94	5	9	503	10	5	13	2	3	9	36	725	0	725	NA
"215"	"182"	4	145	9	3	124	4	2	2	1	2	6	22	324	0	324	NA
"216"	"183"	17	403	7	7	63	3	0	1	0	2	12	16	531	0	531	NA
"217"	"184"	16	204	2	11	87	1	3	1	1	0	5	14	345	0	345	NA
"218"	"185"	16	258	3	9	27	0	0	0	1	0	0	6	320	0	320	NA
"219"	"186"	31	261	19	9	221	9	6	5	5	10	17	40	633	0	633	NA
"220"	"187"	13	389	2	7	106	8	3	3	1	3	5	13	553	0	553	NA
"221"	"188"	5	294	1	1	39	0	0	0	0	0	1	3	344	0	344	NA
"222"	"189"	8	308	3	3	148	0	2	1	0	2	6	18	499	0	499	NA
"223"	"190"	4	5	2	4	548	7	3	3	1	5	1	6	589	0	589	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"226"	"191"	20	85	7	3	249	7	11	2	2	5	3	15	409	0	409	NA
"227"	"192"	20	228	3	4	343	9	4	2	1	2	12	29	657	0	657	NA
"228"	"193"	12	207	7	13	188	4	14	4	6	4	9	24	492	0	492	NA
"229"	"194"	8	25	5	10	447	14	17	8	3	5	5	36	583	0	583	NA
"230"	"195"	31	130	9	9	391	13	11	7	4	4	3	26	638	0	638	NA
"231"	"196"	16	95	8	8	302	8	24	2	5	3	7	22	500	0	500	NA
"232"	"197"	11	159	11	14	586	14	9	3	4	6	7	27	851	0	851	NA
"233"	"198"	48	27	3	11	350	4	5	6	2	5	10	46	517	0	517	NA
"234"	"199"	6	4	1	3	577	5	1	3	2	2	2	11	617	0	617	NA
"235"	"200"	19	34	5	2	438	8	5	3	1	4	6	44	569	0	569	NA
"236"	"201"	18	14	2	12	431	12	5	9	2	4	6	56	571	0	571	NA
"237"	"202"	11	325	3	3	212	7	6	9	6	3	13	20	618	0	618	NA
"238"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"240"	"203"	31	158	65	16	262	7	3	4	2	9	9	42	608	0	608	NA
"241"	"204"	49	67	3	20	555	9	2	15	2	3	14	43	782	0	782	NA
"242"	"205"	11	36	4	46	782	11	4	4	4	1	4	34	941	0	941	NA
"243"	"206"	15	5	1	4	463	19	1	6	5	3	6	42	570	0	570	NA
"244"	"207"	12	10	2	11	662	17	6	7	6	3	10	54	800	0	800	NA
"245"	"208"	7	15	3	8	686	2	2	0	4	1	1	27	756	0	756	NA
"246"	"209"	4	25	2	43	480	7	4	6	2	3	4	37	617	0	617	NA
"247"	"210"	28	16	3	4	772	21	6	11	4	7	15	63	950	0	950	NA
"248"	"211"	0	4	0	0	779	7	4	0	1	0	1	4	800	0	800	NA
"249"	"212"	4	1	0	3	488	1	6	0	0	0	1	10	514	0	514	NA
"250"	"213"	13	14	0	8	676	14	6	2	0	1	10	39	783	0	783	NA
"251"	"214"	10	23	0	5	737	12	7	4	5	3	5	41	852	0	852	NA
"252"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"254"	"215"	10	14	0	4	608	13	3	9	2	5	5	36	709	0	709	NA
"255"	"Total"	7302	47709	1846	2096	47322	1145	925	843	497	686	1667	4346	116384	0	116384	NA
"256"	"Postal
Ballot"	33	318	4	2	240	0	1	2	0	1	0	0	601	1	602	NA
"257"	"G. Total"	7335	48027	1850	2098	47562	1145	926	845	497	687	1667	4346	116985	1	116986	NA
"258"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"259"	"Place                                                                                                                                                                                                                           Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"152- Bihpur Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
